0.0147432+0.0196446j 0.00655742+0.0489536j -0.00252902+0.0441852j -0.00663054+0.0257007j -0.0126091+0.0338561j -0.00377451-0.00956809j 0.0276654-0.0102883j -0.021617-0.000826617j -0.0343538+0.00328145j 0.0342743+0.00436733j -0.0363031-0.0132863j -0.000480469+0.00410146j -0.0147434-0.0102147j -0.00349541-0.00320998j -0.0100868-0.0181182j -0.0104871+0.0128929j -0.00712618-0.00692874j 0.00559893+0.00252565j 0.00829634-0.00647382j 0.0113889+0.00298939j 0.0105132-0.0111453j 0.0213728+0.0183624j -0.00444813+0.00719815j 0.00069139-0.00460951j 0.0193831-0.0200352j 0.0196408+0.00600973j 0.00020888+0.00484609j -0.00628627-0.00562243j -0.00970886+0.0198407j -0.00604105+0.0132037j 0.0134853+0.0036664j 0.00171189-0.000988675j 0.00808886-0.00742937j -0.000364614-0.00205487j 
-0.0924845+0.00405801j 0.154953-0.0085601j 0.00262826+0.00621808j 0.38861-0.126915j 0.201866+0.101308j -0.030803+0.0709282j -0.0243414-0.0654485j -0.0252659-0.0505252j -0.00889802-0.0138308j -0.00309625+0.0435042j -0.0270493-0.043632j 0.0037921+0.0754394j 3.27116e-05-0.0257197j -0.00995047+0.0118858j -0.000711537-0.0452708j -0.00146015+0.00784278j 0.000579939+0.00419154j 0.00256202-0.00303778j -0.010319+0.00319221j 0.00115671-0.0214367j 0.00593083+0.00830835j -0.00125843+0.00797697j 0.00879243-0.00944443j 0.00366734+0.00934721j 0.0125741-0.00155734j 0.00903485-0.0129001j 0.00571967-0.00652372j -0.0209779-0.00852205j -0.00509197-0.0142764j -0.0033472+0.0193456j -0.0219148-0.00105057j 0.0121746-0.010536j -0.015615+0.0459656j -0.00923274+0.0155015j 
0.00933338-0.00850719j -0.016671-0.00651755j -0.488532+0.0438487j -0.0200765-0.0318689j -0.0400658+0.0208838j -0.00413427+0.00847934j 0.00412099+0.000488282j -7.71787e-05+0.0172289j 0.00364274-0.0826641j -0.00607413-0.0651181j -0.000300476+0.00498018j -0.000963097+0.00490635j 0.00410177-0.0273099j -0.000758337+0.00188046j 0.00158786+0.00799148j 0.000396831-0.00310531j 0.00671015+0.0282307j -0.0230037-0.0197439j -0.0154249+0.0202822j 0.00622374+0.0061173j -0.0186999+0.00569088j -0.00197001-0.000526713j -0.0206381+0.0149805j 0.0172917+0.0203854j -0.00099028-0.00367312j 0.00654632+0.00705494j 0.0228188-0.0185525j -0.0132053-0.0215965j 0.00065491+0.00711108j -0.0114234+0.0251406j 0.00213127-0.00234968j -0.001243-0.00332864j 0.000390094+0.00144712j -0.00573949-0.00085462j 
-0.0251556+0.00758107j 0.0712078+0.00830058j -0.0881226-0.00686415j 0.104742+0.11528j 0.421065-0.24676j 0.0271735-0.0430086j -0.0283115+0.0103364j -0.0148119-0.0162733j -0.00322258-0.00784668j -0.0136177-0.0327894j -0.00575067-0.0364391j 0.0173974-0.0289909j -0.0419722+0.15875j 0.00314701-0.00147187j -0.00368744-0.020371j 0.0068906+0.0094613j 0.00201047+0.00131692j -0.00189337-0.00826386j 0.00072161+0.00716535j 0.000866312+7.76544e-05j 0.00524602+0.0174773j -0.00189-0.00799807j -0.00812803-0.00684727j 0.0102077+0.00347587j -0.0141665-0.00134046j 0.00781077+0.0106994j 0.0101367-0.00932241j -0.0286363-0.021048j -0.00861636-0.0217873j -0.0230075+0.0195901j -0.00343674-0.0091238j 0.0116156+0.0258744j -0.00953392-0.00535645j 0.0396003+0.00147271j 
0.00595831+0.0434758j -0.093854-0.160115j 0.0147845+0.0271529j -0.0949443-0.63166j 0.0539569-0.118974j 0.0217904+0.0541591j -0.0123231+0.023789j -0.000511486+0.0258238j -0.00460811-0.00769595j -0.00962329-0.000554066j 0.00351646+0.035275j 0.00528218+0.00538382j -0.0148236+0.0144002j 0.00271254-0.00219368j 0.00235963-0.00806334j -0.00274733-0.019035j -0.01199-0.000855008j -0.00456623-0.00218593j 0.00433294-0.0117142j 0.00458169-0.0223434j -0.00651931-0.0105844j -0.017444+0.00304735j 0.0117131+0.016313j -0.00884952+0.0155467j 0.00952361+0.015017j -0.00685772-0.0223803j 0.00957217+0.00794159j 0.00836889-0.0295091j 0.0211287+0.00226935j -0.0205448-0.0125054j 0.0177735-0.0142286j 0.00840659-0.0080143j -0.0173066-0.00566916j 0.000517084-0.00384834j 
0.130018+0.057615j -0.389439-0.168765j -0.00219409-0.0127565j 0.251456+0.137892j -0.0190475+0.0301293j 0.0200433-0.0446252j 0.02971+0.0804899j 0.020072+0.00413376j 0.00653773-0.0394599j -0.00115243+0.0290607j 0.0048763-0.0255548j -0.00488729-0.0423732j 0.00532892-0.00359526j 0.00907861-0.0145079j 0.00821542+0.029331j -0.00239471-0.0195838j -0.00649929-0.00971094j 0.00808649+0.00397873j 0.0079795-0.00994092j -0.0191192-0.00113802j -0.0136425-0.000556383j 0.01832+0.00777276j 0.0119084-0.0125062j 0.0145332+0.00356527j 0.00362223-0.0192564j -0.0154143+0.00262303j -0.000372769-0.015892j 0.00223414+0.00315298j 0.00340584-0.0192805j 0.00391228-0.00922347j 0.00330458+0.00666852j -0.00161623+8.2024e-05j 0.00685117-0.0214973j 0.00154728-0.00900249j 
0.000616425+0.01959j 0.00220643+0.00856626j 0.000702635-0.698468j -0.000779157-0.0366826j -0.00200279+0.0187581j -3.82222e-05-0.000390917j 0.000394652-0.00142438j -0.000609377-0.00072808j 0.00373233-0.00209111j 0.00421572-0.0194095j 8.28973e-06+0.000215539j 0.000190168-0.000184989j 0.00061481-0.00062644j -0.000127582-0.00016873j 0.00424269-0.00157628j -0.00206056-0.0010619j 0.0276723-0.0199007j -0.0284666+0.0336793j 0.0287908+0.0232238j 0.00925953-0.00816796j 0.0126407+0.0227808j -0.00378068-0.00458298j 0.0206191+0.0240428j 0.0223792-0.0365845j -0.00594571-0.00161254j 0.0101999-0.0130288j -0.030336-0.0358633j -0.0263366+0.0243279j 0.00635053+0.0022587j 0.0300496+0.0114733j -0.00270414-0.00214514j 0.000213637+5.99862e-05j -0.00113952+8.40372e-05j -0.000220846+0.000965988j 
0.0632294-0.0419685j -0.0707664+0.172826j -0.0279225+0.00885993j 0.483045-0.140748j -0.05803+0.0325912j -0.0406515-0.0118979j 0.0294867+0.0143657j -0.00498197+0.0499843j 0.00909409+0.0357739j 0.00535783-0.0342071j -0.0304936+0.0720753j -0.0121666-0.0349563j 0.030549-0.0296901j -0.00385668-0.00237544j -0.00199895+0.0381487j -0.00183347+0.00273298j 0.00877602+0.00456789j -0.000226023+0.0153563j -0.00740728+0.0010733j -0.00514437+0.000942885j -0.00496512-0.00810775j 0.00793155+0.0250129j 0.018713+0.00166144j 0.00804646+0.011415j 0.0237511-0.00888722j 0.00130692+0.000221998j 0.0109012-0.00288691j -0.00135188+0.00181261j 0.00499539-0.0038306j -0.000843197+0.0101632j -0.0195482-0.0059405j -0.00887123-0.0035917j -0.0122428+0.00103003j -0.0138736-0.00768266j 
-0.08827-0.0312514j 0.181514-0.579783j -0.0398655-0.0138597j 0.0879984+0.13326j -0.0331017-0.025619j -0.0324142+0.0843514j -0.0195353+0.049298j -0.0209222+0.0679989j -0.0045025+0.0188439j -0.00116018-0.00745773j -0.019303+0.0612022j 0.00152202+0.0110292j 0.0111144-0.0244409j -0.00994148+0.00854744j 0.0207957-0.00746211j -0.0151289-0.0310005j -0.0226492+0.0106071j 0.00336608-0.00881106j -0.0218119-0.0166418j 0.00299697+0.00749055j 0.000546965-0.0144181j 0.0107255-0.017855j -0.00601331-0.00459148j 0.00984151-0.0144626j -0.010058-0.00837443j 0.00666632+0.00807367j -0.00966147-0.00153318j 0.00164392-0.0180144j -0.0122702+0.0185264j -0.0150159+0.00373519j -0.00327848-0.017029j -0.00131967-0.0102187j -0.0226637+0.0157942j -0.0136767-0.00258159j 
0.0954999+0.0720262j 0.0444172+0.0255801j -0.487415-0.0406494j -0.0356987-0.0117407j 0.00350875+0.0151748j -0.0010696-0.0165978j 0.007+0.000856099j -0.00196734-0.0163618j 0.00760357+0.0894489j -0.0112419+0.0799272j -0.000624703-0.00126151j -0.00531103-0.00399606j -2.3166e-05-0.00709117j 3.46132e-05-0.0106014j -0.00074575+0.000477513j -0.00514834-0.000295141j 0.0137299+0.014655j -0.0267387-0.0182441j -0.017082+0.0232982j 0.0071264+0.00433007j -0.0187849+0.0103219j -0.00123836-0.00187163j -0.020383+0.0148058j 0.0181992+0.0122558j -0.00400601-0.0061847j 0.00730898+0.00453573j 0.0222265-0.0233435j -0.0174345-0.0132629j -4.99993e-05+0.00314114j -0.0117893+0.0134963j 0.00267305-0.000688957j -0.000416271-0.000827396j 0.000451086-0.00297994j -0.00127527-8.10966e-05j 
-0.315567-0.373728j -0.223429+0.0884231j -0.0917346-0.0199773j -0.0244309+0.000550497j -0.00665951-0.0213902j 0.0125676+0.0880597j -0.012799-0.0205352j 0.00680062-0.0229526j 0.00690234-0.0187564j 0.00154773+0.0089362j 0.0127147-0.0133979j 0.0245542+0.031359j -0.00154447+0.0181584j 0.00377259+0.0458235j 0.0032061+0.0123177j 0.0303182+0.00464636j -0.0173505-0.0200481j 0.00352704+0.00102424j 0.0184393-0.0162627j 0.00149494+0.00831347j 0.00408884-0.00408433j -0.00847801+0.000358955j -0.00518106+0.00409593j 0.00299605+0.00596584j 0.00113263+0.0132349j 0.00275684+0.00211274j 0.00864856-0.0052922j -0.00218301+0.00477082j 0.00117476+0.0106741j 0.00315151+0.00989043j 5.69416e-05+0.0044013j 0.000431108+0.00663378j 0.00771976+0.0071296j 0.00475209+0.00348961j 
0.136295-0.205423j 0.42784+0.116618j 0.0167922-0.00196917j -0.0021857-0.0614689j -0.0222162+0.0323514j -0.0566966-0.0380182j 0.0150284+0.0833036j -0.0349626+0.0100347j 0.00748493-0.0410431j -0.00274856+0.0155135j -0.0287727-0.00436297j -0.00477732-0.0718846j 0.0202632-0.023768j 0.00460923+0.00148694j -0.00567989+0.0292476j -0.015528+0.0144541j 0.00143326+0.0292987j -0.00789814+0.00103703j -0.0241167+0.00197375j 0.0137877+0.00649466j 0.00499719+0.000105933j -0.00768172+0.00802858j -0.00645401+0.0028279j -0.00789621+0.000440996j 0.00603923+0.0139455j 0.0138894+0.000997226j -0.00242749+0.00578932j -0.00466804+0.00754262j -0.00431189-0.00565768j -0.00129782+0.0107463j -0.0123995+0.00109004j -0.00708835+0.00141033j -0.00860783-0.0134532j -0.00577942-0.00922537j 
-0.415013+0.423924j 0.0617297+0.139134j -0.0131434+0.00954277j 0.0114765+0.00599734j -0.0325333+0.017831j -0.0106612-0.0328254j -0.0516257+0.123431j -0.0207193+0.026922j -0.0030662-0.00251333j 0.00431427+0.00223862j -0.0124118+0.0162913j -0.0172812+0.0120592j -0.00117174-0.0044317j -0.0455127-0.0151718j -0.00613141+0.0335981j 0.0259374-0.00269983j 0.027059-0.0281383j -0.00388858+0.0176453j 0.0161543+0.0227611j -0.00190667+0.0149875j 0.0169126-0.00229827j 0.0110665-0.0171023j -0.00864842+0.00490261j -0.000168373-0.00404101j -0.0117572-0.00303351j 0.00366147+0.0140311j -0.00174383+0.00676904j 0.00181033-0.00458166j -0.0211398+0.0108216j -0.00899909+0.00354232j -0.00141133-0.0142567j -0.00264242-0.00298682j -0.0181783-0.00036685j -0.00542419-0.00765796j 
-0.32011-0.250439j -0.0080263-0.0804525j -0.0207814-0.00770673j 0.0154879-0.0330282j -0.017692+0.0248806j -0.0376761-0.186396j -0.0495732-0.0405454j -0.0101984+0.0033229j -0.0148141+0.0219186j -0.00568181+0.0101431j -0.00695496+0.00132228j 0.0146419-0.0719192j 0.00623618-0.0267802j -0.0056137+0.0203949j -0.00397734+0.00340671j 0.0210547+0.00903677j -0.0109181-0.0011345j 0.00297317-0.00555911j 0.0105486-0.0185173j 0.000453842-0.00514161j 0.0130205+0.00762057j -0.00483953+0.00236228j -0.00615198-0.00612792j -0.000475099+0.00143721j -0.00242104+0.011885j 0.00506-0.00373095j 0.000758414-0.00339805j -0.00481766+0.00217363j -0.0095962-0.0162585j -0.00250796+0.00487506j -0.00385272+0.00601438j -0.00320279+0.000815552j -0.00499597-0.0161928j 0.000208334-0.00511025j 
