-0.0320972-0.0478419j -0.0270102-0.0359054j 0.00783582-0.0644527j 0.00604155-0.0335489j 0.00757031-0.0258509j 0.00497294-0.0305245j 0.00194998-0.0308259j 0.0514576-0.0442731j 0.000635706-0.00734912j 0.00941792-0.00391797j -0.0104772+0.026474j 0.00255165+0.00314139j 0.0284579-0.00841632j 0.0311483-0.00697568j 0.012569-0.000514424j -0.00102125-0.0027558j -0.0199192+0.00915738j 0.0159007+0.00921725j -0.0107294+0.00519561j 0.0145352-0.00850776j 0.000602117+0.00349869j 0.00730853-0.0105362j 0.0271991+0.0109659j -0.00699954+0.000375436j 0.00961228-0.00146879j 0.0299998+0.00931717j -0.00634066+0.000174882j 0.01174-0.013317j -0.0312029-0.0116462j -0.0133539-0.00171724j 0.0259741+0.0124292j -0.0201736-0.0065271j 0.0160556+0.0132652j -0.00839584-0.0274614j 0.0108337-0.0107942j 0.0033542-0.00638717j 0.0329013+0.0272169j -0.0290244-0.0120424j 0.0216979+0.0189074j -0.00782698+0.00725097j 0.0272369+0.0030218j -0.0297207-0.00925917j -0.0143266+0.0212828j 0.00465314+0.0147777j -0.0330296+0.0210711j -0.0268462-0.112865j 0.0728896-0.036405j -0.074128-0.0190943j -0.0186316-0.0481492j 0.00976811+0.0475752j 0.0536951-0.0135989j 0.0169465+0.022286j 0.0319842-0.0646413j 0.0530403+0.0112597j -0.0394354+0.00745296j -0.117607-0.0951787j 
-0.060045-0.0423738j -0.0176807-0.0516911j -0.0152748-0.0468249j 0.000472808-0.0158387j 0.0135286-0.0599364j 0.0232003-0.054952j 0.0208609-0.0343004j 0.0788013-0.0121881j 0.0184206-0.0522542j -0.00780764+0.00420311j -0.00867387+0.0229348j -0.00956016-0.0340472j 0.037841-0.00127878j 0.00185727-0.0412123j 0.0119998-0.00233904j 0.00536207-0.0259269j -0.0313032+0.0106306j 0.0302731+0.00528685j -0.0126689-0.0248259j 0.00338689+0.0239033j -0.0310255-0.00897891j 0.0177188+0.020173j 0.0287532-0.00637792j -0.00919218-0.0207748j 0.0190415-0.00275425j 0.0364951+0.0280929j -0.00387136-0.000304233j 0.0687779+0.00432215j -0.0322935-0.00227298j -0.0236511-0.0416025j 0.0536536+0.0279582j -0.0378727-0.0452976j 0.00512613+0.0336035j -0.0160725+0.0201086j 0.0313836-0.000294747j 0.00674616-0.00942244j 0.017183+0.0479106j -0.0767109+0.0237842j 0.0775931-0.0484039j -0.0157289+0.00795123j -0.0482161-0.0415455j -0.0467096+0.0364302j 0.0377538+0.111654j -0.0544375+0.0480744j -0.0279355+0.0342095j 0.0207109-0.0661042j 0.080963-0.040539j -0.136382-0.0217792j 0.116298-0.0741357j 0.0342636+0.0652826j 0.0736016+0.0964807j -0.00503147-0.0808307j 0.00834694+0.0315081j 0.0687688+0.00746983j 0.026266-0.0626105j -0.0797378-0.0188643j 
0.0265002+0.011123j -0.0589434-0.0490431j 0.0174662-0.0854674j 0.033565+0.0344206j 0.00426394-0.0170207j 0.00500588-0.0292281j -0.0199178+0.0450734j 0.00657636-0.0374077j 0.0372908+0.0403446j 0.0302195+0.0018024j -0.00104904-0.037175j 0.0395799-0.026088j -0.0275368+0.0222584j 0.0553068+0.0228739j -0.0392758+0.0102891j -0.0383477-0.00105409j 0.0016656-0.0434222j 0.0407315-0.0195337j -0.036548+0.0522513j -0.0242684+0.0636401j 0.00605465+0.00690323j 0.0483755-0.0256279j 0.0713906+0.0214696j 0.058635+0.0145634j 0.0335972+0.0247472j 0.0140612+0.0198676j -0.0378242+0.0451616j 0.0610969-0.0417255j -0.0208097+0.0151027j -0.0243796+0.00873452j -0.0234611+0.00116359j -0.038724-0.0080852j 0.00588791+0.0300184j -0.0220816-0.050844j 0.0335857+0.0387946j 0.00448112-0.0266227j 0.0066359-0.00894763j -0.0558551-0.0427952j -0.0514641-0.0619908j 0.0776803+0.00957916j -0.0187102+0.0276858j 0.025832+0.0336148j 0.0306589-0.0335748j 0.0132698+0.0287173j -0.00853654+0.10914j -0.158494+2.45199e-05j 0.00839335-0.0773219j -0.0512563+0.194114j -0.0704287-0.0110786j 0.159682+0.0846941j 0.090291-0.108828j 0.00598307-0.0359329j -0.0317023-0.00947394j 0.117138-0.0161375j -0.106257-0.0794484j -0.0285016-0.105409j 
0.0184748+0.0374444j 0.0199493-0.0152619j 0.00266506+0.0550844j -0.0389173+0.0580401j 0.0297569+0.0238983j 0.0345343+0.00787265j -0.0286318+0.039371j -0.0319073+0.0949852j 0.0341197-0.0104919j 0.0309806+0.01315j -0.00948668-0.0612266j 0.0400806-0.016795j -0.0510659+0.014273j -0.020484+0.0237308j -0.0225534+0.0393871j -0.00534071-0.0114171j 0.0461313-0.0213388j 0.0106226-0.0169612j -0.00478815+0.00033824j -0.0140963+0.0641615j 0.0151083+0.00590348j 0.0219492+0.0151542j -0.00780072+0.00139169j 0.00739709-0.0160339j -0.020137-0.0277846j -0.0256602+0.000649572j -0.0200717-0.0295119j 0.0111288+0.00741486j 0.0542913+0.00230345j 0.0217072-0.0254381j -0.0623409-0.0135612j 0.014512+0.0160883j -0.0232338-0.0494946j 0.0206308+0.0127507j 0.0412176+0.0150353j -0.0199785-0.00614081j -0.0639629-0.00576755j 0.0069213-0.0264907j 0.0205701-0.0288983j -0.00140208+0.00733905j -0.0148753-0.0424482j -0.050325-0.0566286j 0.0670808+0.0429256j -0.00376554+0.00936313j 0.106149-0.00479807j 0.0347545+0.229503j -0.108559-0.0221083j 0.0831497+0.00962607j -0.00427289+0.00587398j 0.0881414-0.145597j -0.098054-0.041928j -0.125325-0.0326128j -0.131931+0.0645784j -0.0456185+0.0127889j 0.00730968-0.123067j 0.0613222+0.137803j 
0.035181-0.0497898j 0.0551034-0.00145476j -0.0467475+0.0590302j -0.00799194-0.0123196j -0.0106315-0.0324329j 0.0108932+0.0474422j -0.0188741+0.00937063j -0.010224-0.0186664j 0.00805275+0.00464428j 0.013025-0.0077701j 0.00376941+0.0192293j 0.023799+0.0195876j -0.0337278-0.00667209j 0.0148451+0.0207723j -0.00749911+0.0154703j -0.00865567-0.0341626j -0.0112417+0.000231464j -0.0170392-0.00147229j 0.0463709+0.0270834j 0.0256262+0.0318406j 0.0844706+0.0209159j -0.0176666-0.00352401j -0.00785332+0.016652j 0.0304093+0.0129996j -0.0246631+0.0558607j -0.00251412-0.0118882j 0.0038079+0.0241444j -0.0187305-0.0603749j 0.0570843-0.00190944j 0.0117257+0.0132554j 0.0241158-0.0478623j 0.0288662-0.0496366j 0.04247-0.0236247j -0.0131071-0.0542178j 0.0641304+0.0421488j -0.0348817-0.00475406j 0.0692068-0.0252752j -0.0472707+0.0050484j 0.0201719+0.0228897j 0.077357+0.059692j -0.0517736+0.120245j 0.0341348-0.134368j 0.044363+0.0866948j 0.107645-0.0284199j 0.0391786+0.00197782j -0.0898448-0.0543591j 0.0598431+0.101607j 0.0217025-0.000708626j 0.0234203-0.130473j 0.0459349+0.0617807j -0.00363098+0.0595777j 0.0258019-0.0486128j -0.0288611+0.0313798j 0.0664963-0.0094346j 0.0187525-0.14786j 0.133195-0.0883651j 
0.0132338+0.0417843j 0.0300933+0.030911j 0.0335354+0.00335385j 0.0360373-0.012487j -0.0326439+0.00435924j -0.00584976+0.0323583j -0.0120604-0.0213518j -0.011295-0.015826j -0.00846786+0.0321354j 0.00352634+0.0148954j -0.0515478+0.0110597j -0.043321+0.0226807j -0.00562551+0.00235591j -0.0407502+0.0100874j -0.0125252-0.0107388j -0.038594-0.00435395j -0.00481611-0.0191874j -0.0203553+0.0434713j 0.0347102-0.00920364j 0.0456445-0.0610001j 0.00791182-0.0427555j 0.0418701+0.0252426j -0.0473533-0.0254732j 0.0141153+0.0277347j 0.0257421+0.00132697j -0.0517001+0.00040513j 0.047996-0.0191159j -0.0307879-0.0221896j 0.123147-0.0608399j -0.0342455-0.0571234j 0.00806986-0.0259879j -0.0166045+0.00480348j 0.0313817-0.008435j 0.0143087-0.0112822j -0.0627314+0.10245j -0.0343471+0.00650031j -0.0455025-0.10846j -0.00648474+0.115495j -0.0763021-0.0535668j 0.0893817-0.0405804j -0.0735375+0.00724981j 0.0902359+0.0294111j 0.0215979-0.0480176j -0.0020287+0.0715933j -0.0882274-0.065412j -0.0384887-0.0999309j -0.0389723+0.185216j 0.0898425-0.0045466j 0.019924+0.0753792j -0.0504208+0.0625989j -0.129799+0.0415848j 0.150163-0.157438j 0.160581-0.18816j -0.0350343-0.139693j -0.0152962-0.0250309j 0.127704-0.0451619j 
-0.0339043+0.0174229j 0.00927057-0.0101449j 0.0199191-0.0257313j 0.00372004+0.000976159j -0.0137855-0.0319348j 0.0410369+0.0222217j 0.0200706-0.00169877j -0.00888634+0.00447367j 0.0472338+0.0226086j 0.0178816+0.0180714j -0.044022+0.018987j -0.00286648-0.0437155j -0.0136931+0.0329656j -0.0070898+0.0146904j -0.012148-0.0821897j 0.0413898-0.0201318j 0.00320297-0.0160471j -8.61639e-05+0.0444853j 0.04828-0.012303j 0.0365524-0.00459187j 0.0542531-0.00172399j 0.015025+0.00385581j 0.00021098-0.0347954j -0.017728-0.0107616j -0.0114174+0.00295007j -0.0647658-0.0207633j -0.0204304-0.0199557j -0.0155749-0.0254281j 0.013505-0.0375673j -0.00184352+0.0328261j -0.0264973+0.0250224j -0.00614507-0.0694006j 0.0127858-0.0302926j -0.119385+0.00399878j -0.00121263+0.0815912j 0.035647+0.0136727j -0.0304846-0.0350114j -0.0154998+0.0426769j 0.024594+0.085025j 0.0128836+0.0346396j 0.00896074-0.113269j -0.0405436-0.0962472j 0.0238624-0.00199333j 0.0568443-0.0396583j 0.0115591+0.0369284j -0.0338314-0.0657593j -0.0554021+0.0289826j 0.0301119-0.0426102j -0.0142295-0.0138948j 0.00724743-0.0287471j -0.0674342+0.0333426j -0.00322387-0.0219141j 0.016259-0.101434j 0.00304471-0.0609107j -0.00644043-0.0970544j 0.0481332+0.000539833j 
-0.0667087+0.0344261j 0.0148815+0.0216384j 0.0494447+0.00161717j -0.00745712-0.0199496j 0.0268284+0.0460652j -0.0156647-0.0599977j 0.0185886-0.0313988j -0.0167745+0.0324843j 0.0434225+0.069215j -0.0603697+0.00983616j -0.0441289+0.00915839j -0.0136719-0.00410487j -0.0304346+0.0260021j -0.0515553-0.054344j 0.0183115+0.0159885j -0.0056655+0.0175361j -0.0322238-0.0666127j -0.0439568+0.0106146j -0.0178976-0.00161213j -0.0349584+0.00776951j -0.0145444+0.067221j 0.0663441-0.00772551j -0.00204876-0.0700857j 0.00746231+0.00899386j -0.0527133+0.00810263j 0.0451399+0.0655286j 0.0374526+0.0794122j 0.0443234-0.0325455j -0.0154093+0.048554j -0.00411521+0.0451434j 0.0344889-0.069028j 0.0181722-0.0487005j -0.0172322-0.0188902j 0.0120396+0.0328414j -0.0749586+0.017305j 0.0480002+0.0220457j -0.00974795+0.0092032j 0.0140395+0.0390714j -0.0107232+0.0081034j -0.0200634+0.00911468j 0.0270233+0.0011612j 0.0159888+0.012226j 0.0791008-0.0687167j -0.0266996-0.115434j -0.0628642-0.00411317j -0.114355+0.0487738j 0.0783888+0.00421723j -0.0726813-0.0887373j 0.00478334+0.00426438j 0.00357173+0.0300445j -0.000731287-0.051616j -0.0745381-0.0629882j 0.0834234+0.000372613j -0.0811128-0.0777113j 0.14717+0.00559216j -0.0148428+0.15785j 
0.0562089+0.0521194j -0.0200755+0.0029716j 0.00530152+0.0545801j -0.00285379+0.0562864j 0.0196407-0.000307077j 0.00646773+0.0105665j -0.0344262+0.050224j 0.0364241+0.0145911j -0.0100549-0.0457121j 0.00910867-0.00141561j 0.0483718-0.0790457j 0.0329482+0.0230464j 0.0404051-0.0218051j -0.00382679-0.00286321j 0.0126593+0.0204372j -0.0287806+0.0011429j -0.00834965+0.0381056j 0.0478685-0.0460701j -0.0266212-0.0854655j -0.0451964+0.0351894j -0.0307073+0.0269416j -0.00818639-0.0114932j 0.0487291+0.0149154j 0.0134336-0.0187337j -0.0283742-0.018715j -0.0629987+0.0661493j 0.0224826+0.0376481j -0.0341727+0.0454608j -0.0352168-0.00546487j -0.00016139+0.0266811j -0.00791154+0.0323989j -0.0506806-0.0114753j 0.0665442-0.0226929j -0.0512155-0.000592034j 0.0338898-0.060866j -0.011871-0.101551j 0.0108254-0.134401j -0.0537122+0.0957265j 0.0151265-0.0858908j 0.030989+0.0472528j -0.0302207-0.00454274j 0.0494403+0.0525183j -0.0324166-0.133151j -0.147714+0.0155645j -0.149602+0.127725j 0.0697166-0.0335454j -0.110719+0.0917634j -0.0572955+0.141929j 0.00446972+0.15552j 0.123571-0.027977j -0.129675+0.120189j 0.161218-0.118706j 0.108338-0.116902j -0.0155941-0.00131389j -0.227702+0.06787j 0.056678-0.156049j 
-0.00201982-0.0107931j 0.0050694+0.00870277j 0.000507625+0.0267532j -0.049955-0.0111532j 0.0429222+0.0239865j 0.0187792+0.051861j 0.0455828+0.0505141j 0.0110787-0.0294414j 0.0151629+0.00805544j 0.00202056-0.0806186j 0.0646634-0.0706937j -0.00888086+0.0251472j 0.0204708-0.0589945j 0.0561198+0.0154041j 0.00712852-0.0212873j -0.00712002+0.0232277j 0.000344262+0.0223641j -0.000987273-0.016855j -0.0297762+0.0583041j -0.0205681+0.0260939j 0.00989192+0.0385047j -0.0181336-0.0409901j 0.0111713+0.065035j -0.0655996+0.00294732j -0.0473829+0.0353238j 0.0295993+0.0273492j 0.0525999+0.0340427j 0.0141993-0.0159187j -0.00952742+0.0551817j -0.0540636-0.0320381j 0.0350209-0.0923454j 0.0159809+0.0744675j -0.00301368+0.0413147j -0.0332567-0.048332j 0.0016659-0.0134329j 0.0658837-0.0523223j -0.0626068-0.00596255j -0.149662-0.100954j 0.0243495+0.0928814j -0.048069+0.022051j 0.0587234+0.0792866j 0.00713996-0.0816239j -0.0418516-0.148361j -0.0346186+0.0766939j -0.0560771-0.0584052j -0.0501563-0.0153024j -0.0268484+0.18718j -0.125152+0.0448204j -0.00193934-0.00308633j 0.0832941+0.00154385j -0.0213779-0.0291887j -0.0300071+0.0593228j 0.0587007+0.0606713j 0.069538+0.11626j -0.0946381+0.0974968j -0.0713401-0.121058j 
0.00775658-0.000373624j 0.0535046+0.0345088j 0.0130324+0.0470799j -0.00798344+0.0222999j -0.000142013-0.000358648j -0.0158494-0.0105318j -0.0468369+0.000809758j 0.0190861+0.0524521j -0.0227961-0.00547441j -0.00470183+0.00487345j -0.00633257+0.0605836j 0.0405782-0.041505j 0.0228607+0.0230817j -0.048075-0.0206214j -0.00856584+0.0203559j -0.00182589-0.0524183j 0.0561635-0.0133411j 0.0064853+0.076416j 0.0587113+0.019829j 0.01331-0.0314781j 0.00888498-0.0285462j 0.00968629+0.0318687j 0.0221685+0.0556993j 0.0129486-0.0304341j -0.0550154-0.0396929j 0.00928242-0.0237639j -0.0777752+0.0867002j -0.0234243-0.0383223j 0.00736053-0.0345027j -0.0322105-0.01487j 0.0530208+0.0395772j 0.0275398+0.0231464j 0.00317822+0.0695941j 0.0610754+0.0340033j 0.0384143-0.00210799j 0.0690409-0.03734j -0.0379106+0.00999926j 0.0207027-0.0226753j -0.106416-0.0231515j 0.0954564-0.05442j -0.0322512+0.0435028j 0.055682+0.100778j -0.147742+0.069913j 0.12175-0.0508821j -0.08168+0.00527279j -0.0194567+0.0672389j 0.188304-0.00643435j 0.0252752+0.136282j 0.00430173+0.0204205j -0.0213301+0.0895746j 0.0924047+0.0292603j -0.0624906+0.00114866j -0.00227365+0.0806346j 0.0203108-0.131701j 0.0545251-0.146172j 0.16839-0.00350138j 
-0.0205748+0.0199338j -0.0473264-0.0495325j 0.00704549+0.00554034j 0.0247994+0.0131815j 0.0163322-0.0139572j -0.00885185-0.0834986j 0.00295861+0.00773256j 0.0397656-0.000403191j 0.0309862+0.0331681j -0.0131432-0.010002j -0.0453009+0.0122562j 0.0101995-0.0444847j 0.0502239-0.00531636j 0.0300386-0.0297645j -0.00300572-0.00891873j 0.00984735-0.04697j 0.0518169+0.0757946j 0.0453864+0.0565322j 0.0373263+0.0553949j -0.0125554-0.0533903j 0.0284383+0.000517909j -0.00277819-0.0278645j 0.0187087-0.0086469j -0.0194087+0.00606503j 0.0596467-0.0294904j -0.0113678+0.0178235j -0.00785727-0.0958292j -0.00220165-0.0108952j -0.0858351-0.0544374j -0.0264342+0.00481526j 0.0216331-0.10792j 0.0130907+0.0242267j 0.080617+0.00732961j -0.0459209-0.0668925j 0.0356225-0.112568j -0.0581454-0.0252134j 0.0354009+0.0888248j 0.0568382+0.0686778j 0.101174+0.0419118j -0.111416+0.0204067j 0.041476+0.0421166j 0.0372552-0.0458452j 0.194921-0.0635701j 0.0667385+0.0320238j -0.0649291+0.0374751j 0.075813-0.0781839j -0.0763534-0.0740437j 0.0266683-0.228655j 0.0157198-0.0715003j 0.0442388+0.0128753j -0.0339056-0.00634462j 0.083124+0.00375215j 0.00804874-0.0944239j -0.119978+0.0987141j -0.0159396+0.100917j -0.110911+0.0777056j 
0.0127854-0.00681237j -0.0354206-0.00373363j 0.00264959+0.0233676j -0.000268093+0.0327746j 0.0419899-0.0237986j -0.029604-0.0618528j 0.016746+0.0211143j 0.0256351-0.00455551j 0.0607238-0.00301381j -0.0557532+0.00576615j 0.0222615+0.0439062j -0.0107532-0.0483601j 0.00531467+0.0103984j -0.020043-0.0405506j 0.0370166-0.0478648j -0.00769562-0.0193533j -0.040749+0.0212199j 0.0271216+0.00496284j -0.0281841-0.052657j -0.00606049-0.00871112j -0.0212667+0.0152614j -0.0383664+0.0108479j 0.0134975-0.0688303j -0.00137391+0.0382022j -0.0216334-0.0220094j 0.015738+0.0209837j -0.00994907-0.0165272j 0.0166849-0.00758976j -0.0586778-0.0388576j -0.037925-0.0150226j -0.00184851+0.0100265j -0.00345136+0.0947826j 0.0250507-0.0417689j 0.108664-0.00380962j -0.0401961-0.0821035j -0.0127832+0.0105247j 0.0442962-0.0366592j 0.0251163-0.00760958j 0.0443047-0.0695131j -0.0928528-0.0484207j 0.0848897-0.00938466j -0.00747669-0.00189551j 0.047829+0.0687115j -0.0784803+0.0532175j 0.0792765-0.0337386j -0.0733715+0.0856269j -0.095503-0.0659045j -0.00630749-0.0608324j 0.00718336-0.025348j 0.00570123-0.0826789j 0.0128933-0.0348034j -0.0638586-0.0425565j 0.0143107+0.0186595j -0.0382377-0.0852296j 0.025665+0.0422509j -0.040044+0.0573721j 
0.0855303-0.00878105j 0.00125947-0.000944189j 0.00683444-0.0450603j 0.0352934+0.0191536j 0.00169809+0.0146119j -0.0239322-0.015065j 0.0319891+0.00884336j -0.00409933-0.0628879j -0.0200411-0.0260984j 0.0340672+0.00685741j 0.0361953+0.00671451j -0.061762+0.0324898j 0.0575959-0.0338692j 0.00248509-0.0523898j -0.0724006-0.00133031j -0.038279+0.0838365j 0.0124288+0.0732616j 0.0414863-0.0125749j -0.00150222-0.0600622j -0.0479442-0.038617j -0.0850877+0.0274777j -0.0308593+0.025672j 0.0240214-0.0104339j -0.0204225+0.0321423j 0.0717382-0.0696092j -0.00743951+0.0528099j 0.0098094-0.0655098j 0.0307432+0.00697749j 0.0379665-0.0100891j 0.0194377-0.0188527j -0.00442734+0.052044j 0.110243+0.022685j -0.0660049-0.0658988j 0.0563164+0.0685142j -0.0248161+0.0573665j 0.0695966+0.0430836j 0.106213+0.0405052j 0.0724379-0.0510079j 0.0138884-0.0191503j -0.076461+0.0997564j -0.0341878-0.0192482j 0.152151+0.0903641j 0.00347515+0.0141563j 0.0469821-0.088396j 0.0854175-0.0168992j 0.0906009-0.0702058j -0.0479163-0.0344328j 0.0180659-0.0186416j -0.000414219-0.0555646j -0.0944992-0.0321269j 0.0700398+0.00156243j 0.00518695+0.0244937j 0.0219305+0.0719785j 0.0555373-0.0517734j 0.0111966+0.0826579j -0.0439463-0.0314244j 
-0.00328846-0.00706631j 0.0113104+0.0121554j -0.000720341-0.0386612j 0.0220639-0.00865574j -0.0418344-0.0873326j -0.00307269+0.0705971j -0.0371369+0.016411j 0.00598727-0.099807j -0.0229088-0.0472515j 0.00316638+0.0199435j 0.0011086-0.0194597j 0.00602127+0.0308586j 0.0167182-0.0189079j -0.00481419+0.0267816j 0.0282104+0.00650146j -0.041307-0.00565395j 0.00594617+0.0250014j 0.0113391-0.000101816j 0.0291207-0.0654831j -0.0485002-0.00812843j -0.0144493+0.0136013j 0.027723-0.0127585j 0.0275887+0.00723845j 0.0162199-0.040004j -0.0735901-0.0552847j -0.000194019+0.0408645j -0.0201383+0.0281982j -0.00504526-0.0477781j 0.0012517+0.0271897j -0.0187483-0.0499548j -0.0779824+0.0348572j -0.00898114+0.0335954j 0.0786197-0.181531j 0.0512327-0.0790051j -0.106355+0.0284101j 0.0417432+0.00194432j 0.00196827-0.0199732j -0.0694148+0.00891727j 0.0448862+0.0774004j -0.130846-0.0527811j 0.0862024-0.122566j -0.225149-0.154484j -0.0932668+0.186958j 0.127574+0.0725008j 0.0105217-0.143344j -0.0548713+0.0335901j -0.0324376+0.03318j 0.111194-0.0349403j -0.0648806+0.0139077j 0.023801-0.0475892j -0.0183158-0.0413197j -0.0354979-0.0080006j -0.186009-0.0345803j 0.128589+0.09011j -0.0502818-0.104812j 0.0293543-0.110832j 
-0.0399022-0.0108194j 0.000930017-0.0278685j -0.0206457+0.053777j 0.0432528-0.0162395j -0.0692532-0.0363649j -0.00534148+0.0255177j -0.0525646-0.0308061j -0.00807627+0.0403181j -0.0202642+0.0105657j 0.00989313+0.020952j -0.0128896-0.0350209j 0.0251791+0.026868j -0.0332675-0.00989875j 0.0582646+0.00954164j 0.0219558+0.0531223j -0.00131409-0.0766233j 0.0300531-0.0254052j -0.0238057-0.0170832j 0.0182751+0.0493002j -0.00932285+0.0406117j 0.00694835-0.000349658j -0.0145458-0.0393479j -0.0105165+0.0597245j 0.0576775-0.020619j 0.0471685+0.0329671j -0.00795142-0.0380977j 0.0125572-0.0234731j 0.049319+0.0231954j -0.00981273+0.0352443j 0.0146221+0.00822694j 0.0324672-0.0949444j -0.0342874-0.122009j 0.0397596+0.0809979j -0.0520203-0.0640428j 0.0896641-0.116737j -0.0867968-0.000115067j -0.0113776+0.0495368j 0.0412231+0.0826888j 0.00183288-0.0205722j 0.0280251+0.0489501j -0.136338+0.0960361j -0.0215689+0.0692637j 0.0953828+0.0549218j 0.0560902+0.0269495j -0.103901+0.0173143j 0.0708185+0.0526314j 0.00142634+0.0178351j 0.046445-0.0511093j 0.0170898+0.036308j 0.0134718+0.0960627j -0.0810045+0.0311893j 0.146507-0.0113111j -0.124914-0.00604334j -0.0694137+0.201078j 0.0222385-0.0205385j 0.0179471+0.0731534j 
0.0386227+0.0294114j -0.0433833+0.0185713j 0.00217408-0.00258549j -0.0150697+0.0449962j 0.0101514-0.0167679j 0.0550486-0.0261697j 0.00496873+8.02008e-06j 0.0206814+0.0241676j 0.0314958-0.0469458j -0.0131324+0.00527144j -0.000376376-0.0203639j 0.00876895-0.0297075j -0.00171464-0.00735421j -0.0150022-0.042671j 0.0262604+0.0196983j -0.0299075-0.00900756j -0.0471253+0.00226973j 0.0274605-0.0626471j 0.0166331-0.0334281j -0.0146372+0.0220865j 0.0358856+0.0259804j -0.0457313+0.0173243j 0.0395556-0.0147733j 0.0120485-0.102119j 0.037117-0.0140015j -0.0537036-0.0388002j 0.0672612-0.0116394j 0.0684942-0.0874429j -0.0857289+0.0973903j -0.0983093+0.0116037j -0.0118939-0.126493j -0.153726+0.0425643j -0.0208238+0.0867027j 0.0532716+0.00630487j -0.133289+0.0890303j 0.00129904-0.120102j -0.0409179+0.121612j 0.151787+0.0485856j 0.103034+0.028613j 0.00738309+0.00141365j -0.236085-0.0142371j -0.0283481+0.123014j -0.105407+0.0986108j 0.142027-0.071616j -0.0147555-0.0963063j -0.186853+0.00575602j -0.0512577+0.184766j -0.00197448-0.109609j 0.0250869+0.0254763j -0.116096+0.0521394j 0.0195022+0.00689243j 0.0076082+0.117355j -0.0180358+0.00243094j 0.0455266-0.0824595j -0.05673+0.00804003j 0.0446214-0.0172092j 
-0.0062106+0.019216j 0.0428394+0.0251734j 0.0281443+0.0424116j -0.00249986-0.0465785j -0.0125499-0.0147556j 0.0139034+0.0223238j -0.0314673+0.00782499j 0.0307559-0.0543752j -0.0250753+0.0103853j 0.0202678-0.00129911j -0.0493108-0.0510066j -0.0296892+0.0179285j 0.0708339-0.0660808j 0.0314684-0.0120369j -0.0145329-0.0394793j -0.0397495-0.0565921j 0.0375811+0.0163022j 0.00959627+0.0207757j -0.0133124-0.00113503j 0.058573+0.0101242j -0.0198996-0.0311864j -0.0757269-0.0105668j -0.0726645+0.0925888j 0.01838+0.0633549j 0.0570543+0.0488789j -0.0254084+0.0293812j 0.0192335-0.042722j 0.0351507-0.0830694j 0.0430203+0.0828757j -0.00640849+0.0279745j -0.0729423+0.0352718j -0.0250212-0.0316814j -0.125051-0.00789352j 0.155011-0.0476309j -0.0322803-0.0584481j 0.106787-0.106702j -0.0418395-0.0336875j 0.160173-0.0668025j -0.0240744-0.0145241j 0.110684-0.00623553j 0.170431+0.126376j 0.0568999-0.0645993j -0.100995-0.0409151j -0.0543667-0.158511j 0.0667264-0.0232695j -0.0382354+0.0968614j -0.00622738-0.0757024j 0.145923-0.0379328j 0.0163638+0.0566908j -0.0694752+0.0124385j 0.115791-0.0842219j -0.0753391+0.102411j -0.0651411+0.122957j 0.0862786+0.135302j 0.0365828+0.0574912j -0.0174414-0.0569178j 
-0.0349027+0.00748426j -0.029429-0.00086975j -0.0323989-0.0147036j -0.0459741+0.0101879j 0.0250274+0.00441678j 0.0918752-0.0374135j 0.0350195+0.0032645j 0.0258301-0.0315977j 0.0339755+0.0622226j 0.0281656+0.00647264j -0.0970335+0.043008j -0.0632782-0.000648918j 0.0199747-0.00350275j -0.0745812+0.00252793j -0.00632222-0.0578598j -0.0444032-0.015391j -0.0126635-0.0241991j 0.00621052+0.0417702j -0.0178402-0.00987849j 0.000243946+0.0510429j -0.0430306-0.0584637j 0.0696101+0.0707359j -0.0567396+0.035601j 0.00486444+0.0346045j -0.0091576+0.0410704j 0.00136176+0.0449553j 0.00548943-0.0144197j 0.0571414-0.0228145j -0.0472048+0.0340146j -0.139091-0.0263166j -0.0380214-0.0251204j -0.0709172-0.057316j 0.06378+0.159827j -0.0323858+0.0430173j 0.0281842+0.0208334j 0.0715105-0.0758613j -0.0876451+0.0389247j -0.146606+0.0372102j 0.094177-0.010018j -0.025461-0.0741551j -0.0244372+0.026357j -0.0139676-0.111809j -0.0572072+0.0503864j -0.106582+0.145359j 0.00149115-0.0590269j -0.0767512+0.0309572j -0.018137+0.098347j -0.0760394-0.0241696j 0.0755955-0.00654794j 0.0165443-0.00546329j -0.0660004+0.0433124j -0.070764+0.0273476j 0.0543015+0.00537252j -0.000824449-0.00454033j -0.0179959+0.044725j -0.0650821+0.018919j 
