-0.0173035+0.0322803j 0.0157272-0.0512696j -0.00197968+0.0075397j -0.0385265+0.0506935j 0.00815378-0.0240171j -0.0127335+0.0197798j 5.13718e-05+0.0190764j 0.00152221+0.00633667j -0.0129693-0.0105568j -0.00564018+0.0253989j 0.0136757-0.00332985j 0.0219516-0.0147135j -0.0328417+0.00458103j -0.0180599+0.0142609j 0.0358009-0.0159177j -0.00181198-0.0622743j -0.0995941-0.0232999j 0.0288257-0.011492j -0.0107234+0.0226631j 0.00952284-0.0318465j 0.0122859+0.00824902j 0.010977-0.00174364j 0.00759744+0.014712j -0.0222546-0.0144856j 0.00690004+0.00144228j -0.00150395+0.00299004j -0.0173609-0.00210429j -0.00312271+0.000830812j 0.00980526-0.0128284j -0.00750912-0.000936501j -0.000682448+0.0205828j 0.00368392-0.016055j 0.0335282+0.0285618j 0.00489376-0.0486126j 0.0191307-0.0368955j 0.0483722+0.0106338j 0.00518951+0.016325j 0.0221318-0.0113701j -0.0117234-0.0330265j -0.00434627+0.00555747j -0.0154737+0.00260655j -0.00592158-0.0134141j -0.022543+0.0166191j 0.000692864+0.0066161j 0.000277707-0.00882002j -0.00796618+0.00542232j 0.00459587-0.0243557j 0.00619599+0.00163873j 0.000216573+0.0111594j -0.00640616+0.0143047j 0.00169791-0.00550577j 0.00482507-0.00145872j 0.00862246+0.0134586j -0.0121347+0.00959691j 0.00978564+0.00561194j 0.00681253-0.0105463j 0.0063628+0.0115954j -0.0221975-0.0151947j 0.00963021-0.0080045j 0.0121554-0.00351487j -0.0148584+0.00227216j 0.000911044+0.00646672j 0.000106541-0.000908411j -0.00228958-0.0006622j -0.00296537+0.0133396j -2.99459e-05+0.00448699j 0.00107369+0.00554543j -0.00498641+0.00506321j 0.00343103-0.00122029j 0.000872403+0.000152015j 0.00283007+0.000356537j 2.49114e-06-0.00338851j -0.00123329+0.00482167j -0.00185558-0.00137778j -0.0042163+0.00314981j -0.00365205+0.0031558j 0.00359798+0.000416414j 0.00682555+0.00490252j -0.000467686-0.00111876j -0.000120202+0.0014399j 0.00175566-0.00315849j 0.00311619-0.00131727j -0.00708937+0.00246672j -0.00590938+0.00426678j 0.0025139-0.00045028j 0.0039382-0.0140485j -0.0119535+0.000842135j 0.0104884+0.00312141j -0.00479071+0.00874668j 0.00118263-0.00147611j 0.00346514-0.00254982j -0.00401701-0.00133691j -0.0117778+0.00836726j 0.00151521+0.0486167j 0.00963363-0.00755891j 
-0.0230252+0.0935234j -0.0546905-0.170653j -0.0501188+0.0629601j -0.0459212+0.186789j 0.0856087+0.0339441j -0.0162963-0.0030046j 0.0454312+0.0119745j -0.0282003+0.00823151j -0.0350047+0.0388003j 0.0166094-0.00461399j -0.0131511-0.00424054j 0.0141615-0.0396188j -0.0479239+0.0087644j -0.0480778+0.0899852j 0.0373047+0.0494727j 0.0647486+0.00683514j -0.0250993-0.0930427j 0.143243+0.178347j 0.0958728-0.0400171j -0.00674532+0.0689434j -0.00833177-0.0326911j 0.0297068+0.0125265j 0.0075512+0.0183287j 0.0100573-0.0296628j -0.0221145+0.0358794j -0.0468462-0.0173696j -0.0334885+0.0100256j 0.015157+0.0292709j 0.00142613+0.0384948j -0.0145533+0.000856909j -0.000551854+0.0475434j -0.0130168-0.0458526j 0.00263284-0.00303046j -0.0407481+0.00968769j -0.0442126-0.0122365j -0.038573+0.00636347j -0.00370348+0.0274709j -0.0115029+0.00354873j -0.000862513-0.0463098j 0.00231241+0.0149112j 0.0311541+0.0131056j 0.01243-0.00779101j 0.0134206-0.00758646j 0.011256+0.00792729j 0.00137682+0.0205551j 0.0107799+0.0115399j -0.00254541-0.0115824j 0.00162655-0.0105392j 0.0110775-0.010164j 0.00889129-0.00945063j -0.00466237+0.0156775j 0.00747375-0.00680071j 0.0001863-0.00711391j 0.00106623-0.000795074j 0.018653-0.0156072j -0.0166999+0.0093307j 0.00694611-0.00784639j -0.0205561-0.0228532j 0.00688888-0.0134568j -0.0168271+0.00879295j 0.0099635+0.00921831j 0.00248757-0.00310343j -0.0206873+0.00540899j -0.000872402-0.00400978j -0.0160984+0.0180657j 0.00656489-0.00258294j 0.0100771+0.00390373j 0.00071122+0.00639182j 0.00351575-0.00089004j 0.0100431-0.00989213j 0.0039656-0.00737291j -0.00709893+0.00139624j 0.00633359+0.00917516j -0.00077351-0.00846162j -0.00523471-3.06659e-05j 0.0127015+0.00484333j 0.0132462+0.00911741j -0.00192184-0.00378761j 0.00675131+0.000140021j -0.00484904+0.0171765j -0.00456049-0.00786734j 0.00686753-0.000250262j -0.0230165+0.00199803j 0.0117227+0.0107943j -0.00499654+0.0033692j -0.044162-0.0275573j 0.00238121-0.00594797j 0.0316159-0.0296106j 0.0105215+0.00823621j -0.00328459-0.00531257j 0.00668349-0.00555493j -0.00665354-0.000947968j 0.0116077-0.011517j 0.00803828+0.0203026j 0.00950123-0.0315327j 
0.0332883+0.0497886j -0.0117681-0.043791j 0.0090853+0.0149595j -0.121509+0.0729147j -0.0287173+0.00648692j -0.0377771-0.00319597j -0.0707213-0.0333372j 0.0921644-0.0477116j -0.0744355-0.0273379j -0.0193018+0.0511452j -0.0134708+0.0241375j -0.0942606-0.0416753j -0.0256387-0.100298j -0.0439364-0.0031644j 0.00873907+0.105969j 0.0429083-0.05166j -0.0260922-0.0232922j -0.0127692-0.0665733j -0.0177063-0.00360472j -0.0676082-0.0327533j -0.107065+0.0193703j 0.000347506+0.00671852j -0.0862343-0.00174703j -0.00391352-0.0576266j 0.126612+0.0249842j 0.0827714-0.0441786j 0.142179-0.0282815j 0.0249275-0.000250042j -0.0242989+0.0145763j 0.0145357-0.0461388j -0.0780383-0.00438807j -0.0888555+0.0698152j 0.0388675+0.00566708j 0.00384895-0.0718361j 0.0588739+0.0475867j 0.0101878+0.0143063j 0.0280116+0.0243951j -0.012895+0.0107145j 0.0306279+0.0472151j -0.00592671-0.000468873j -0.0348013-0.0391372j 0.0191443-0.0195104j -0.00164299-0.0192726j 0.00365238+0.00984862j 0.00355835+0.00322976j -0.0333372+0.00671079j 0.00475479-0.00540768j 0.00539634+0.00393504j 0.00104494+0.00830014j 0.00849082-0.0144932j 0.00846459-0.00135385j -0.00404578+0.000668871j 0.019632-0.0247876j 0.00694077-0.00360136j 0.00796389-0.0107832j 0.00114512+0.00716443j 0.00380936+0.00662809j -0.0133973-0.023901j -0.00479494+0.0138716j 0.0187185+0.0042688j -0.0163779-0.0435991j -0.0311633+0.00411833j 0.014404+0.0226513j -0.00806549-0.0152179j 0.0146193+0.0152537j 0.0142044+0.00221753j -0.00381763+0.00744852j -0.0075442-0.00330307j -0.000585716+0.0100612j -0.0119225-0.00320907j -0.00218218-0.00884535j 0.00491663+0.00876518j -0.00483847-0.00126529j -0.000874068-0.0119799j -0.00501428+0.00162782j -0.0142105+0.000549003j -0.0144044-0.00557088j -0.0271375+0.00145938j 0.00147781+0.00856573j -0.0194921+0.006132j 0.0180219-0.00399528j 0.0148662-0.000191577j 0.0349801+0.0239029j 0.0166591+0.0155376j 0.00271832-0.0016447j -0.00593698+0.0230965j 0.0273102-0.0455869j 0.0185082+0.0127253j -0.0212583-0.00103777j 0.00798669+0.00407446j 0.0214018+0.0123735j -0.0194779-0.0178364j -0.0184006+0.0326722j 0.0121604-0.0167885j 0.0121799+0.0506881j 
0.0374537+0.0509425j -0.00916148-0.0336942j 0.0462974-0.0479945j 0.0585804+0.074985j -0.0678035+0.00114358j 0.078402-0.0226308j 0.0229593-0.000830832j 0.0594328-0.0318281j -0.0497557+0.0356861j -0.00834764-0.00886539j -0.000692202-0.000643569j 0.0290217+0.013352j -0.0228373-0.0417907j -0.0160844-0.103312j 0.0267642-0.183996j -0.13208+0.0689159j -0.00374235-0.0394844j -0.0978202+0.0467537j -0.070919+0.0693156j 0.0095393+0.0990211j -0.0100063+0.0108391j 0.00609867+0.00201466j 0.00352666-0.0380056j -0.0466548+0.0688563j 0.0685981-0.0442768j 0.0740414+0.0417927j 0.037146-0.00502503j 0.0153563-0.0342923j 0.00243508-0.0335278j 0.00407594+0.0228701j 0.0183494-0.0489106j -0.0129138+0.0115066j 0.0273038+0.0124031j 0.0880534+0.0236332j 0.0687168-0.00601993j 0.0576642-0.043455j 0.010157-0.0051879j -0.00342195-0.0125376j -0.00574148+0.059708j -0.00516299-0.0165577j -0.0262929+0.0543826j 0.00819532+0.0102459j 0.00059755+0.00485908j 0.0110911-0.0139872j -0.00864172+0.00695916j -0.0117416+0.0141311j 0.00364596+0.0036397j 0.0117598-0.00908873j -0.00667825-0.00716288j 0.00465067+0.0121532j 0.0176675-0.0323154j 0.0116636-0.0154759j 0.0118657+0.0188826j -1.97662e-05+0.00278986j 0.00258656-0.0159729j 0.00786106-0.0048653j 0.00622228+0.00264306j 0.0132638+0.0130404j 0.0132531+0.0142374j 0.0106242-0.00670351j -0.00827521-0.0120442j -0.0174518-0.0106734j 0.0104259+0.00674864j 0.000642676-0.00159235j 0.0164072-0.00164968j -0.00684545+0.00352141j -0.00684804-0.005735j -0.00051955-0.00282979j -0.000762764-0.00138428j -0.0246955-0.00329493j -0.00910674-0.00752395j 0.000539429+0.00162514j -0.00491258-0.00350414j -0.00597449+0.00324138j -0.00501837-0.00442529j -0.0105751-0.000532645j -0.00183953-0.00677373j -0.0108763-0.00992935j -0.00939523+0.00576706j 0.00305171-0.0224179j 0.00974765+0.00369746j -0.00967814+0.00195932j 0.0217512-0.0116891j -0.00899848-0.0302696j 0.0205509+0.015384j -0.0204656-0.00414686j 0.00702966+0.0165212j 0.0214651+0.0107796j -0.0216524-0.0247731j 0.012837+0.00205475j 0.0235128-0.00504137j -0.0285282+0.00185553j -0.0024124+0.0635909j -0.0018677-0.00423867j 0.0159178-0.0247524j 
0.00704294+0.0650456j 0.0586978-0.0515848j 0.0365137+0.00505528j 0.004603+0.0616617j -0.0298035-0.0507326j 0.111962-0.0128853j -0.0334902+0.0433181j -0.0292683+0.0371674j 0.0697451-0.0330336j 0.0121854-0.0275361j -0.00409718+0.00339421j 0.0941539-0.0202413j 0.0294555+0.0883837j 0.0814678-0.0705828j -0.0577552+0.164186j 0.00249249+0.171502j -0.0116151-0.146683j -0.0925159-0.0901066j -0.0513723+0.0196315j -0.0280907+0.0231255j 0.048217+0.0190858j -0.0440958-0.0444312j 0.012999+0.102134j -0.0246739-0.0713871j 0.0380536+0.0193742j 0.0389123+0.0537981j -0.00738074-0.0124607j -0.0221341+0.0242311j -0.0171899-0.00422462j -0.0341375-0.0206188j -0.00529015+0.0757253j 0.0183307-0.00439251j 0.00865618-0.0727016j 0.0155781+0.0718744j 0.0216675-0.031235j 0.0288498-0.0370492j -0.00784004+0.0195003j -0.0114095-0.0211628j 0.0077687+0.0139732j 0.0100684+0.0366966j -0.00512047-0.0196499j 0.0151301+0.00204216j 0.00932158+0.00473166j -0.00264121+0.0231039j 0.00228666+0.0145305j -0.00436947-0.000340025j -0.00725595+0.0302477j 0.000267089-0.0324517j -0.00127819+0.00886375j 0.00372133-0.0024042j 0.0045707+0.0317475j 0.0022525+0.0238317j 0.00944884-0.017j -0.00896811-0.0341327j -0.0129318+0.0406912j 0.00556229+0.00048749j 0.00775651+0.00424566j -0.0099924+8.23404e-05j -0.00150012+0.00261258j 0.00403252-0.019079j 0.000268954-0.017633j -0.00505474+0.00945222j -0.000285535-0.00571599j -0.00463121-0.00962341j 0.010226-0.00438654j -0.0128179+0.000168246j -0.00629088-0.00373686j 0.00349184-0.000253334j -0.000121143-0.00332073j -0.0233341+0.0100263j -0.0195952+0.00158582j 0.0016856-0.00155209j -0.00391244+0.00302732j 0.00267339+0.0222679j 0.00315082+0.0190694j -0.004527-0.0173978j -0.00307527-0.0131468j -0.00744693+0.00577449j 0.00815799+0.00323932j -0.00475474-0.00758502j -0.00963562+0.00343767j -0.00953883-0.0193882j -8.16625e-05+0.00507514j -0.004853+0.0068941j 0.00105349-0.061676j 0.00269737-0.000878748j 0.00197058+0.0169874j 0.00128074-0.000705473j 0.00343859+0.00960707j -0.00663911-0.0028583j 0.00606593+0.00558098j -0.00149771-0.0106139j -0.0057751-0.00542891j 0.00452445-0.00532474j 0.00146508+0.009665j 
0.0301847-0.0235052j 0.0630781-0.0362241j 0.0248063+0.0455338j 0.123501+0.0275198j -0.0806234+0.0303921j 0.0119054-0.0076939j -0.0441062-0.0216864j -0.0221124-0.0113212j -0.0921272-0.013288j 0.0189384+0.00979098j 0.0703921+0.022834j 0.0238061-0.0124886j 0.143982-0.103158j 0.111914+0.107712j -0.0510597+0.0824661j -0.0395382-0.086153j 0.0614335-0.00067018j -0.21926+0.124467j -0.0906315-0.077956j 0.043875+0.0287755j 0.07782-0.0124945j -0.0231506+0.0152881j -0.00300939-0.0194686j -0.00529981-0.0397292j -0.0435143+0.0376659j 0.0043331-0.0617121j -0.0528414-0.0123079j -0.0566126+0.0193668j 0.029866+0.0536467j 0.0285381-0.0191245j -0.0320629-0.0102148j 0.0556754+0.0263681j 0.0350905-0.0374056j 0.0266605-0.0220134j 0.0576282+0.0439691j 0.100593-0.0364732j -0.000701041-0.0135508j 0.00611423+0.00879666j -0.0294435+0.0114198j 0.0149745-0.0109559j -0.0229334+0.0155761j -0.00634144-0.00516427j 0.00559166-0.00579611j -0.00271455+0.0284917j 0.0045201-0.0111885j -0.0125384+0.00673995j 0.0073801+0.00220908j -0.00673254+0.0239226j -0.00353417+0.000666883j 0.0159436-0.00878192j -0.00605898+0.0177151j -0.00219274+0.00971548j 0.00452543-0.0271841j 0.00111689+0.0103917j -0.00245996-0.00330836j 0.020966+0.0117073j 0.00525627-0.00356095j -0.0100486-0.0133569j 0.0175721+0.017496j 0.00646677-0.00465759j -0.0385198+0.0247132j 0.00765483-0.00410137j -0.00105805-0.0146191j -0.00719565+0.0089922j -0.000299669-0.00386786j 0.00437432-0.0132793j 0.00167636-0.00209657j -0.00322713-0.00776287j 0.00291381+0.00654707j -0.0156031+0.00335467j -0.00960781-0.00510284j 0.00203096+0.00414959j -0.00992699-0.00128636j 0.000910648+0.00925714j 0.00203802+0.0019134j -0.0069397+0.00078252j -0.00315485-0.000962136j 0.00223768-0.0125866j 0.00298009-0.00920903j -0.00169091+0.0186433j 0.00756516+0.00698247j -0.00231484-0.00466102j -0.0147761+0.00217026j 0.0114835+0.0135499j 0.00424358+0.00726294j -0.000506977-0.018657j -0.00832161-0.0035015j -0.00112017+0.0172061j 0.00795217+0.0209122j 0.00370037+0.00344828j 0.00189954+0.0118012j -0.00953718-0.0107948j -0.0074702-0.00422096j -0.00200626-0.0285598j 0.00701019-0.00684491j 
0.00511621-0.00406881j 0.00967146+0.00548112j -0.0196449-0.032343j 0.00769764+0.0200916j 0.0465784+0.0301495j -0.041085-0.0829354j -0.00316772+0.0116048j -0.00334814+0.0618343j -0.0197913+0.0177624j -0.0271601-0.0871538j 0.0106723+0.0261341j -0.0269449-0.0463963j 0.0445688-0.088163j 0.0147419-0.0843269j -0.0208711+0.0564012j 0.040401+0.108669j 0.0842689+0.100021j -0.0572764-0.0933736j 0.0541725+0.0218788j 0.05627+0.1459j -0.00818625-0.0456353j -0.0174079-0.0249929j -0.0516467-0.0306934j 0.00660532-0.0206718j 0.0024952+0.0272651j -0.00547202+0.00623757j 0.00552669+2.896e-05j -0.0336918+0.00284553j -0.00704668+0.00295637j 0.000520043+0.00233751j -0.0263933+0.0648226j -0.00695699-0.0151269j 0.0485368+0.00266315j -0.00081461+0.0277626j 0.00367599-0.0127939j 0.0469296+0.0185836j 0.00085813-0.00373316j 0.00683099+0.00521659j -0.0353653-0.0350921j 0.00200326+0.0134946j -0.00113224+0.00300864j -0.00796822-0.026378j -0.00111074-0.005028j -0.00324022+0.00748406j -0.0187637+0.00423237j -0.00763589+0.00896704j -0.00457329-0.0036017j -0.00884005-0.00233018j -0.0089917+0.013978j 0.0150861-0.0137072j -0.00577637+0.00027267j -0.00248157-0.00246976j -0.00190243-0.00913683j 0.00433508-0.00653447j -0.000937856+0.00965968j -0.00736922+0.0133992j -0.00721708+0.00201195j 0.029636+0.00461488j -0.0137409+0.0156652j -0.0112748-0.00553406j -0.0108133+0.0196861j -0.0047713-0.00692364j -0.00299096-0.00278967j -0.00461791+0.00777525j 0.0104722+0.0279529j 9.32431e-05-0.0154173j -0.0101392-0.00744934j -0.00368642+0.00220579j -0.00205241+0.00585233j -0.0138829-0.0173564j -0.00666729-0.00652365j 0.00148079+0.00529806j -0.00450805+0.000150293j 0.000760757-0.00851025j -0.00307638-0.0076321j 0.0043087-0.00608823j -0.000295148-0.00356285j 0.00105879-0.00137116j -0.00739697+0.00414254j 0.0142897-0.00675625j 0.0060018-0.00585292j -0.00973549+0.00222691j 0.0239075+0.00703331j -0.0133314+0.00961232j 0.00799515-0.00298945j 0.00469296-0.011825j -0.00666011+0.000879328j -0.00228893-0.0231123j -0.0325643+0.0278196j 0.000732343-0.00274978j 0.00171753+0.00214987j -0.00118007-0.00581543j 0.010167-0.00195108j -0.0105622-0.000902985j -0.00326701-0.00105394j 
0.0317185-0.0469013j 0.00826745+0.0233721j 0.0317538-0.0835228j -0.0229614-0.0539068j -0.0494351+0.0563518j 0.0890966+0.0134613j -0.0284561+0.0713703j -0.0122729+0.0622076j 0.0433639+0.0556958j 0.0180128-0.169772j -0.0299585+0.0597807j 0.0322271+0.130568j -0.0234893+0.0159971j 0.0167744+0.11202j -0.0244976+0.0217479j 0.0119412-0.0929503j -0.0823514+0.0495788j 0.0044599+0.0130084j -0.044978+0.0557411j -0.0539564+0.0308189j 0.00414486-0.017062j -0.0180699+0.00260241j 0.00664028+0.0782133j -0.0159359-0.0169588j 0.0315759+0.0134162j 0.0587393+0.00533785j 0.0204577+0.0161704j 0.0358487+0.0347139j -0.0124178+0.0203408j -0.0175489-0.0041306j -0.0284075-0.0598382j -0.0109964-0.074226j -0.0344806+0.00813079j -0.00411963-0.0762396j 0.00199964-0.0326587j -0.0288746-0.00187992j 0.00571478+0.00890814j -0.00843856-0.00117909j 0.0228491+0.0403233j -0.00768259+0.0108313j -0.00777382-0.0424226j -0.00526435+0.00457904j -0.00432453-0.00317599j 0.0038629-0.0271601j -0.0028594-0.0174105j -0.00930547-0.0215937j 0.00584452+0.00997405j 0.0120367-0.00590431j 0.00988666+0.00482527j -0.0115925-0.0200708j 0.00696355+0.0273928j -0.000215277-0.00383813j 0.0042037+0.00849013j 0.00567373-0.00180369j -0.0120203+0.0127638j 0.00221926-0.00708263j -0.00363539-0.00474311j 0.00430646-0.00610824j -0.00344731+0.00289041j 0.0142949-0.0240831j -0.00926009-0.0141639j -0.00375599-0.0224316j 0.00120153+0.0128244j 0.00312993-0.00150204j 0.00318157+0.029573j -0.0226612-0.00272765j -0.00607372-0.00923692j 0.0121526+0.0117344j -1.59194e-05-0.0140521j -0.0142146-0.010144j -0.0109474+0.0109775j 0.000206393-0.00160688j -0.0068112+0.0132809j -0.00662925+0.00118799j 0.000489472+0.00936429j -0.00298914-0.0192903j 0.000164727-0.00852696j 0.00387664-0.0144495j 0.000277862-0.00844629j -0.000779964-0.0113098j 0.00695876-0.00421221j -0.00347136+0.0120191j 0.0115647+0.0225232j 0.0019+0.0229441j 0.00375846-0.00774688j 0.0111464+0.0147587j 0.0220871+0.00991808j 0.0015729+0.0150787j -0.00627829-0.0280706j 0.00155854-0.00109995j 0.00762314-0.00891924j -0.00870121+0.0119675j 0.00988587+0.0343078j 0.00391669-0.0148232j 0.000596395+0.048932j 
0.0235805+0.0203463j -0.00652023-0.0110707j 0.0238857-0.0432916j -0.000955873-0.0242717j -0.0295766-0.0320426j -0.0566696-0.125351j -0.0278763-0.0109007j 0.0198063+0.0391042j -0.0617131-0.109128j 0.0252425-0.046843j 0.0355163+0.0271833j 0.00120015+0.0432711j 0.0072017+0.0733235j -0.00692329+0.048084j 0.0281523+0.196943j -0.0194079-0.00991483j -0.0554788+0.0259281j -0.00726373-0.0759964j -0.0446148-0.000580473j -0.0421015-0.0340393j -0.0231853-0.0350296j 0.0318546+0.0377729j -0.0277409+0.0209215j 0.0262899+0.0792367j -0.0466476-0.0569677j -0.0177639-0.00807077j -0.012186+0.0363513j 0.0096005+0.0177626j -0.00616054-0.0288898j -0.000104082+0.0216472j 0.0147379-0.0266599j 0.00225351-0.0874386j -0.00714267+0.0322766j 0.0075876-0.00785645j 0.0109757-0.0168449j -0.0164145+0.00957414j -0.00133469+0.0226718j -0.00941704-0.0192076j 0.0243148+0.0317431j -0.00669615-0.0166401j 0.00426098+0.0114288j 0.00915378+0.03718j 0.0164985-0.0109788j -0.00764125-0.00103976j 0.00531324-0.0158489j -0.00125004-0.00492667j -0.015198-0.0118932j -0.0105505+0.0147308j -0.00820067+0.0176734j 0.0125157+0.0058264j 0.0130378-0.018662j 0.00618434-0.00403452j 0.000331777+0.044683j -0.0196284-0.000320205j -0.0194029-0.0170133j 0.0134775-0.00859504j -0.000982608+0.012605j -0.00266625-0.00886969j -0.00379788-0.00544109j -0.00123406-0.0154082j -0.000443314+0.00697041j -0.00161825-0.0137748j 0.00852885+0.0107499j -0.00435805-0.00238014j 0.00327899+0.00169681j -0.00515141+0.00248838j 0.000931229-0.010879j 0.00833375+0.00231981j 0.000778403-0.0122237j -0.0102428-0.00234041j -0.0107276-0.00466251j -0.00084245+0.0034522j -0.000453129+0.00477859j -0.0020074-0.00225992j -0.00367153+0.00679013j -0.00271215-0.00164148j 0.000690776+0.00444238j -0.0186039+0.00166731j 0.00861998+0.0026474j -0.0130428+0.00600298j 0.00546502-0.00579459j 0.00744924+0.00690681j -0.00121368+0.00540848j 0.0133085-0.00304766j -0.0181124+0.0306899j -0.00542791+0.0121337j -0.00369161+0.0155539j 0.00316261+0.00865995j 0.0142269-0.0242471j -0.00382782-0.00116131j 6.05984e-05-0.010049j -0.000417826+0.0174398j -0.00200932+0.0270795j 0.00566853+0.00981351j -0.0034793+0.00317692j 
0.0134917-0.0103752j 0.0285917-0.0217276j -0.0314812-0.0162204j 0.0533846+0.0170686j 0.0389618+0.0676193j -0.0392497+0.0551095j 0.0449579+0.0219327j 0.0711711-0.027096j -0.0673859+0.0229402j -0.0239695+0.000788131j -0.0419111-0.00680634j -0.185843+0.0580473j 0.0854177+0.2581j -0.00405667-0.157589j -0.0423266+0.00295614j -0.0639207-0.0330103j 0.0540022-0.0559571j 0.0313162+0.0130592j -0.0111988+0.0374836j 0.023173-0.040489j 0.0131121-0.00849103j 0.0328552+0.027944j 0.00986826+0.067144j -0.0176341-0.0162418j -0.0234793+0.0188486j -0.0529416+0.0165485j -0.0231743-0.000793043j -0.0270434+0.0151003j 0.0582583+0.00168062j 0.00365107-0.0130543j -0.0122844-0.022005j 0.029025-0.00269571j 0.00465069-0.00578479j -0.00857785+0.00809802j 0.00290698-0.00622169j -0.0032702+0.0025438j -0.0032924+0.00128559j 0.00588963-0.00988263j -0.00432386+0.027032j -0.00607342-0.00527567j -0.0102683-0.0305702j 0.0174006-0.000998427j -0.00722438-0.00800868j -0.00723649-0.00680315j -0.0134367+0.0228156j -0.0121816-0.0128267j 0.0157842-0.00606547j -0.000176239-0.00248834j -0.0117734+0.02351j 0.00976046-0.0300775j 0.0153229-0.00478227j 0.0344031-0.0170231j -0.0152771+0.00639737j -0.0114668+0.0047301j 0.0167287-0.0126149j -0.0119222+0.0134845j 0.00755917-0.00665378j -0.00377879+0.001699j 0.0114125-0.00709799j -0.0117155+0.0177176j 0.000466808+0.00407528j 0.00690621-0.01776j 0.0134689-0.00449362j 0.00353396+0.00432008j -0.00279497+0.0112737j -0.0018927-0.00127929j 0.00716988+0.00275793j 0.002226+0.00673172j -0.00132525-0.000773031j 0.00552562-0.00269773j -0.00122273+0.00408736j -9.28287e-06-0.00452071j 0.00266715+0.00766708j 0.00267474-0.00538181j -0.000401853+0.00358977j -0.00326791-0.000652866j -0.000622971-0.00227087j -0.00729724+0.00897575j -0.00137488-0.0215054j 0.00283963-0.0228611j -0.0113196+0.00234636j -0.0084738-0.00185116j -0.00469539+0.00891116j -0.0222821-0.00302302j -0.0108328-0.000389215j 0.0060038+0.000556333j -0.00325167+0.0123138j 0.00064371+0.0115189j 0.0025135-0.00759842j -0.00192554-0.000732904j 0.00366319-0.000525321j -0.00420157+0.00439262j 0.000773081+0.000383295j 0.00189569-0.0060742j 0.00446635+0.0436977j 
0.00344095+0.0274517j 0.00239294+0.0121652j 0.0105908+0.0262409j -0.0187505+0.00574074j -0.00174411-0.00462868j -0.0281602-0.0139862j -0.0316824+0.0246799j -0.004642+0.0705102j -0.0122305-0.0284044j 0.0106186-0.0320496j 0.021569-0.074649j 0.0208643+0.0174947j 0.0291489+0.210447j -0.000124302+0.161519j -0.031027-0.147192j 0.0261059+0.34695j -0.0188048-0.0847053j 0.00608411+0.0866312j -0.0307452-0.108813j -0.00731907+0.0777758j -0.0208482-0.0368352j -0.0169956-0.05648j -0.0275523+0.00330386j -0.0131715-0.0377812j 0.0101813-0.000654624j -0.00469602-0.0372492j 0.0152892+0.0208966j 0.00611445+0.0409617j -0.00238036+0.0101118j -0.00365535+0.00945279j -0.0232149-0.0257158j -0.00402875+0.00158279j 0.00445845-0.0189948j -0.0329734-0.0565148j 0.0123699+0.00771914j -0.00102698-0.0104583j -0.0088806+0.00247628j 0.00505598-0.0125577j -0.00317639-0.0180811j 0.00553854+0.000667069j 6.50717e-05+0.005021j 0.00550772+0.00233325j -0.000513857-0.00149687j -0.00809126+0.00605786j 0.00266707+0.00667667j -0.0088341+0.00309892j -0.00681502-0.00907407j -0.00329771-0.000968485j -0.00395092-0.000811318j 0.00293183+0.00418888j -0.00477956-0.0081889j -0.00708509+0.00186528j -0.000998316-0.00197729j 0.0023241-0.00357266j 0.0056718+0.0072448j -0.000707867-0.00362909j -0.00623869-0.000274465j 0.0116009+0.0203544j -0.00856621-0.0106893j 0.0083766-0.00600503j 0.014881+0.00407099j -0.00250728+0.00431376j 0.00355737+0.00334101j 0.0024034+0.00581793j 0.00921807-0.00124562j -0.016141-0.00822737j -0.00510012-0.00733616j 0.0124974+0.00864859j 0.00399139-0.0154057j -0.00143185-0.00160073j -0.00585455+0.00903454j -0.00120648-0.00172245j 0.00173655-0.00197929j 0.00426614-0.00351695j 0.00593638-0.00991204j -0.0052426-0.0039742j 0.00137366+0.00851962j -0.000107946+0.004534j 0.00447442+0.00635108j 0.00454572+0.00672543j -0.00583703+0.00233974j -0.0111636+0.0135485j -0.00977259-0.00242337j -0.00147819+0.000203187j -0.00356749-0.0018242j 0.00563606-0.000185067j 0.0256969-0.0047642j -0.00283823-0.00249593j 0.000957726+0.00359156j -0.00369425+0.00140839j -0.000632167+0.00625728j 0.00264051-0.00257067j 0.00554894-0.00276692j -0.000809205-0.00970031j -0.00227283-0.00400781j 
