-0.00620249-0.00855634j 0.0167935-0.00985178j -0.0159348+0.0108868j 0.00704685+0.0149398j 0.016285-0.011377j 0.0145031-0.000444343j -0.00735168-0.00384991j 0.0145711+0.00735552j -0.0060737-0.0069641j 0.00880866-0.00287906j -0.00863072+0.0162048j -0.00891274+0.0130402j -0.00365665-0.00291005j -0.006169-0.00098036j -0.0145448+0.00495024j 0.00782272+0.00643151j 0.00522318-0.0101526j -0.0113086+0.00303304j 0.0139245+0.016314j -0.0205876+0.016334j -0.0179766+0.0136093j 0.00943078+0.0205807j 
-0.0013897-0.00838655j 0.00569886-0.0029252j -0.00353692-0.00352286j 0.00122152+0.0156911j -0.00017295+0.0135836j 0.00517542+0.0244035j -0.00303984-0.0116136j 0.000942635+0.00395536j -0.00319057-0.00921394j -0.000704253-0.0143023j -0.0097421+0.000319491j 0.00541978-0.00275798j -0.00615515-0.0232433j -0.00522192+0.00108875j 0.00558409-0.0152665j 0.00132742+0.0222865j -0.00116033+0.0101753j 0.00549523-0.00547196j -0.000832313+0.0196726j 0.0049022-0.0117566j 0.00973699-0.0120278j -0.00630681-0.00230895j 
-0.00518981+0.00832657j 0.000839696+0.0131073j -0.00179475+0.00845531j 0.00417474-0.0166806j 0.00986875-0.0198275j 0.000607506-0.00100854j -0.00910579+0.00509883j 0.00508648-0.00499067j 0.00694789-0.0301124j 0.0143994+0.00502668j 0.00417702+0.00169695j 0.00538506+0.00203287j 0.00157414+0.00188874j -0.0054339+0.00825549j 0.0242977-0.0272014j -0.00306324+0.00743499j -0.00961394+0.0133122j 0.0246696-0.00171484j -0.0136472-0.0017074j -0.00963016+0.000370146j -0.000490194-0.00752801j 0.00963539+0.00309335j 
0.00775003+0.0043456j 0.00035871-0.00474149j 0.00521791+0.00416896j -0.00473044-0.0028635j -0.00857154-0.00315001j -0.00810935-0.001873j 0.0102268+0.0134955j -0.0108363-0.0161535j -0.0240242-0.0123909j -0.00531509-0.0188175j 0.00266435-0.00217836j -0.0031627-0.0114388j -0.00158894-0.00952289j 0.00655127+0.0143256j -0.0198331-0.0324548j -0.00467945-0.00716842j 0.00579842+0.0102483j -0.00545733-0.0196339j 0.00651421+0.0213685j -0.00426923+0.00841576j 0.00246421+0.00935233j -0.000568252-0.0144606j 
-0.000665803+0.00513073j -0.00313876+0.00810008j 0.00214283+0.00125738j 0.000976996-0.00853955j -0.00874764+0.0223436j -0.00339583-0.0181693j -0.00146764+0.0055725j -0.00175346-0.000604377j 0.0040147-0.0110206j -0.00944211+0.0141639j -0.0175194+0.0252113j -0.000983258+0.0129947j 0.00971485-0.0196747j -0.00203472-0.00664327j 0.00507277-0.0108221j -0.00172802+0.000641926j 0.0128214+0.00117062j -0.0181399+0.0127508j -0.00750166-0.00134897j 0.00162255-0.000902347j 0.000383509+0.00299403j 0.00667723-0.0011537j 
0.00411179+0.012045j 7.02197e-05+0.00513715j 0.00379708+0.00855532j 0.000708263-0.0162651j 0.0131229-0.00612967j -0.0154427+0.0106558j 0.00527216+0.000225421j -0.0158619+0.0290353j -0.00897244+0.0173976j 0.000602638+0.0125255j 0.00674122+0.00843206j 0.00307493-0.00963532j -0.0118547+0.00599242j 0.0184839-0.0114448j -0.0130453+0.00971484j -0.00817419+0.00810231j 0.00651228-0.0125405j 0.0121745+0.00150163j -0.00239252+0.0106464j -0.0068106+0.00151819j 0.00257957+0.00117127j 0.00446659-0.0116466j 
0.00422477-0.00343853j 0.000764897-0.00740685j -0.00600659-0.00736153j -0.00525093+0.00451515j 0.0228328+0.0215218j -0.0135686-0.00369518j -0.00197781+0.0083216j 0.00327753-0.0193438j 0.000405032-0.0026219j 0.00491754+0.0061594j 0.0253191+0.017808j 0.00135826-0.00415647j -0.0169461-0.00640066j -0.00936263+0.0142898j -0.00165743-0.00646453j 0.00624677-0.0136871j -0.00524586-0.00882013j 0.00957527+0.026197j 0.0043122-0.000856702j 7.43424e-05-0.00730563j -0.000564876-0.00120892j -0.00674015-0.00380092j 
0.00365189-0.000539313j 0.00027466-0.0191665j 0.000531558-0.00752194j -0.0112551-0.0201408j -0.0203035-0.00502818j 0.00184236+0.0237157j -0.00753508+0.012961j 0.0185857+0.018454j 0.00444087+0.00890856j -0.00242904+0.0166438j 0.00198855+0.00318883j -0.0100806-0.00765713j 0.0073472+0.00944696j -0.00664771-0.0213754j 0.00863693-0.0100665j 0.00551199+0.00268828j -0.00944673+0.00890077j -0.0081234+0.00033227j 0.00732995-0.00265682j 0.00412523-0.00227977j -0.00171096+0.00608039j -0.00337998-0.00500072j 
-0.00648252+0.00859284j -0.00155811-0.0176146j -0.0130046-0.0264124j 0.0148253+0.00863745j 0.00603629-0.0263262j -0.0215128+0.00169139j -0.00793882+0.00192034j -0.0200086+0.00892239j -0.00260958-0.0243125j -0.0146634+0.00574153j 0.00470766-0.0143493j -0.00116579+0.00683562j -0.00915248-0.00287388j 0.0163638+0.0022233j -0.000365816-0.00419369j -0.00551965-0.00403572j -0.00874278+0.0105447j 0.0023492+0.00723871j -0.0014228+0.00236188j 0.00178891-0.00682772j -0.00359305+0.00458882j 0.00342265+0.00274635j 
0.0139813+0.0183293j 0.00291523+0.0091486j 0.00841095-0.0248365j -0.0182498+0.00312593j -0.000828685-0.0165967j -0.000109897-0.0149679j 0.00119596-0.0158527j 0.0230774+0.00126325j 0.0199981-0.023542j 0.0117333-0.00449935j 0.00659379-0.0020624j -0.00864004-0.00403718j 0.00201702+0.00139339j -0.0100607-0.00373543j 0.00234547+0.00747696j 0.00782892+0.00798394j 0.00062349-0.00765819j -0.0045111+0.00252899j 0.00274714+0.00946466j 0.000211988+0.00444114j 0.00255487-0.00610566j -0.00356967-0.013692j 
0.0179405-0.0114004j 0.0259757+0.0158196j -0.000377811+0.00652175j 0.0106148-0.00486807j -0.0102433-0.00615989j -0.0189426-0.00979225j -0.0186774-6.84035e-05j -0.00128577+0.00374958j -0.0255037-0.000456892j -0.011879-0.0045538j -0.00459479+0.00970971j 0.0060381+0.005342j -0.00291805-0.00493546j 0.00192591+0.00362339j 0.0126088+0.00373468j 0.0108773-0.000288272j -0.00916317-0.0101473j -0.0019396-0.00489229j 0.0122641-0.00239283j 0.00525042+0.0108862j -0.00576889-0.0126357j -0.00945217-0.000158656j 
0.0178413+0.00955317j -0.0191113+0.00785164j -0.0366389-0.00169169j -0.000149972+0.00691397j -0.0270451-0.00483142j 0.00208551+0.00436064j 0.0022902-0.0027806j 0.0114654+0.00644768j -0.0297683-0.0093597j 0.0120917+0.00190985j -0.0127635-0.0154846j 0.00473648+0.00204271j 0.0028243-0.00188503j -0.0107826+0.00485148j -0.00845848+0.00671361j 7.81313e-05+0.0027487j 0.0161838+0.00268115j 0.00914077+0.00726963j -0.000164645+0.00698771j -0.00774-0.00381889j 0.00649858+0.000920143j -0.00214775-0.0065775j 
