-0.0111729+0.00809243j -0.00623748-0.00930551j -0.0197863+0.0293271j 0.0067567-0.00915894j 0.00077147-0.0108038j 0.00734801+0.0371713j 0.00247804+0.00813768j -0.032879-0.0289846j 0.0172997+0.0299256j 0.0124026-0.0350525j -0.0212692-0.00676336j 0.00888119-0.00329022j 0.0150425+0.017135j -0.00522957+0.00566236j -0.016223-0.0307937j -0.00974049-0.0195887j 0.00186599+0.0465144j 0.0462737+0.0160812j 
-0.00535412+0.00192278j 0.0122831+0.00773788j -0.00903119+0.0175193j -0.0397913-0.00991758j 0.00554502+0.0123145j -0.000442937-0.0357083j 0.0354546+0.00930237j 0.0227006+0.00113252j -0.00867217-0.0248301j 0.0138307-0.0287405j 0.00404728+0.0108961j 0.0136883-0.014309j 0.0356988-0.00901456j 0.0313763+0.00893465j 0.0195604+0.00528299j -0.0184353-0.00699774j -0.0109433-0.00169957j 0.00328673-0.00641585j 
0.0102788+0.00609421j -0.0146993+0.0153276j 0.00428123+0.0210961j -0.000440567-0.0194311j 0.00437922-0.00462467j 0.00126027+0.0481223j 0.00601876+0.0147369j -0.00599219-0.0105222j -0.00809315+0.0224948j 0.0211449-0.0113068j 0.0327863-0.0115779j 0.0103056+0.00227444j 0.0389451+0.0275834j 0.0209377+0.00259092j -0.00349998-0.000400149j 5.45126e-05-0.0182482j -0.00226708+0.000651195j -0.00707172-0.0180187j 
0.0159529+0.012873j 0.0158412-0.0190051j 0.0250065+0.0250145j 0.0177396+0.0384304j -0.00115214-3.78456e-05j -0.00746236-0.0109963j 0.00245167-0.031447j -0.0162103-0.0293128j 0.0200532-0.00495064j -0.0129953-0.0183016j 0.00219234-0.00686974j -0.00189113+0.0128432j -0.0040838+0.00684j -0.0114081-0.0159583j -0.0224958-0.0139199j -0.00533246-0.00284963j -0.00487975+0.0013269j -0.0102798+0.00250213j 
-0.0124177-2.01036e-06j -0.0140307+0.0207694j -0.0261227+0.0180641j -0.0175591+0.0114685j -0.00228714-0.0154373j -0.0171414-0.0261606j -0.00402543+0.0273627j 0.00736456+0.0141789j -0.0170221-0.00521913j 0.00993356-0.0289577j 0.013062-0.0030906j -0.0177683+0.00722876j 0.00385338+0.00917312j -0.00105089+0.0086627j -0.00890881-0.0127487j 0.0175019-0.0300461j -0.00888733-0.00274143j 0.0065768+0.01904j 
-0.00340709-0.00393639j -0.0199493-0.00607386j 0.00655894+0.0045429j -0.000174057+0.0185341j 0.0219812-0.0188657j -0.0173537+0.00206786j -0.0233888-0.00183683j -0.0213315-0.00406212j -0.0268609+0.0020162j 0.0116393+0.0132697j -0.0082243-0.0112192j 0.0398389+0.00549482j 0.033847+0.00291894j 0.0209256+0.00674308j 0.0269669+0.0119829j -0.0118053+0.021531j 0.00540879-0.00792025j 0.0214768-0.00237165j 
0.00676945-0.00563426j -0.0247174-0.0115475j 0.0133102-0.000133501j -0.0074552+0.0139734j 0.00846444-0.0085893j -0.0194047-0.00680575j 0.0203891+0.000173791j -0.0269607-0.00928918j 0.00105188+0.00169525j 0.00647088+0.0168102j 0.0253866-0.0114173j -0.00598153+0.0041656j 0.0180573+0.000937987j -0.0112101+0.00301736j -0.00304404+0.000126858j -0.00235018-0.00462299j 0.0107459+0.0088267j 0.000999306+0.0116342j 
0.00369386+0.00887449j 0.00686638-0.00132026j -0.0161773-0.00911209j -0.0555185+0.014201j 0.00567513+0.00157142j 0.0012812-0.00235822j 0.00396863-0.0124289j -0.0416515-0.00533842j 0.0108996+0.00868798j 0.0052478+0.0181824j -0.00820552-0.00468984j -0.0423846+0.0112346j -0.00571527+0.00310356j -0.00200315+0.000284049j -0.0162931+0.0036752j -0.00686812+0.0106615j 0.0140073-0.00644039j 0.0250695+0.0115617j 
-0.00582153-0.00250809j -0.00304205+0.00463088j 0.00175805+0.0148643j 0.0176468+0.00612037j 0.0105541+0.00295405j -0.00974566+0.00425248j -0.0147103+0.00707415j 0.0120066-0.00498699j -0.0137155+0.00992948j -0.00247386-0.00577008j 0.0245082+0.00752517j 0.0214874+0.0291219j -0.0110364-0.00788591j -0.0188153-0.0422961j 0.00425563+0.0114429j 0.00324567+0.00150957j -0.00329365-0.00819538j 0.0018498-0.0116498j 
-0.0131925-0.00793714j -0.0112808+0.0124839j -0.0119108-0.00359701j 0.0123428+0.000499518j 0.00575302-0.000463776j -0.0240385+0.0183443j 0.00706337+0.000961412j -0.00105803+0.0384807j 0.0114558-0.0128054j 0.0160206-0.0197838j 0.00577186+0.0176864j 0.0395249-0.00139808j 0.000605057-0.00360889j -0.0329038-0.0240395j -0.00362598-0.00735502j -0.00596484-0.025154j -0.0100702-0.00593313j 0.0115189+0.0060135j 
-0.00418386+0.0107359j 0.00833465-0.0310645j 0.00251744-0.0446186j -0.00923912-0.0385158j 0.00233516-0.00254627j -0.0266468-0.00229426j 0.0349269-0.0074569j -0.00146822-0.0374975j 0.00550363+0.0100776j 0.0142958+0.0437278j -0.00776605-0.000842184j -0.00621326-0.0203328j 0.00375852+0.00891513j 0.0158442+0.0240702j 0.00459359+0.00550557j -0.000267503+0.0180562j -0.00753291+0.0214712j 0.00387027+0.0163202j 
0.013195-0.00436862j -0.0140782-0.0154071j 0.00590338-0.0274954j 0.0320979-0.00692623j 0.0128681-0.00628197j 0.029826-0.0135199j -0.0302767-0.00672515j -0.00102218+0.0214218j 0.0136043-0.0243334j 0.0003675+0.0100337j 0.0227389+0.0167684j 0.0137094-0.0240334j 0.0199377-1.95653e-05j -0.0149559+0.0287035j -0.00755969-0.00211165j 0.0040269+0.0153852j 0.00603685+0.00436024j -0.00153497+0.00137358j 
-0.0225149-0.00416789j 0.0183283+0.0092527j 0.0163925-0.00952378j 0.00882351-0.0115411j -0.0117357+0.00475352j -0.00693051+0.0036275j 0.0354528-0.0145516j 0.00195186+0.0328499j 0.0309707-0.0394417j 0.00565486-0.00767123j -0.04438+0.00142025j 0.015466-0.000640396j -0.0258559-0.00854393j 0.00363057-0.00199997j 0.0156307+0.0115709j -0.00743294-0.00532515j 0.00762878-0.0213989j 0.00238969-0.0118209j 
0.00111617+0.023953j 0.00329891-0.000749968j -0.0258064+0.000591183j 0.000324296-0.0259994j -0.0127947-0.0109237j -0.0229638+0.029626j 0.0110553-0.00994029j 0.0119386-0.0125792j 0.000318015-0.00551258j 0.0319996-0.0143784j -0.00127988-0.0124049j -0.00932597-0.0200048j 0.000669629+0.0116982j 0.00942937+0.0186563j -0.0156133+0.014286j 0.00646851+0.0026004j -0.0210304+0.00781521j 0.00442976-0.01094j 
-0.000253555+0.00230464j 0.01679-0.000703641j 0.0231949-0.0129962j 0.0114959-0.04106j 0.00835109-0.00207019j 0.0273036-0.0130189j -0.0130409+0.00360965j 0.00573003-0.0317993j 0.00721112-0.00728933j -0.0267803+0.0171648j 0.00657379-0.0111007j 0.00477819-0.00523994j -0.0134697+0.00375345j -0.00964104-0.00674254j -0.00279922-0.00155613j -0.0149269+0.00197111j 0.01649-0.0153742j -0.00497855+0.00171367j 
-0.0245701+0.0127853j -0.00125063+0.00659138j -0.0128369-0.0105345j 0.00609956-0.000417792j -0.0431578+0.0213404j -0.010346-0.00655729j 0.0148599-0.00522202j -0.020633-0.0130081j 0.0352075+0.0230844j 0.00967744+0.00397822j -0.00221595+0.00227987j 0.0375431+0.0197185j -0.00427016-0.000425716j 0.0260346-0.0190786j -0.000867628-0.0108804j 0.0279636-0.00804558j 0.0129857+0.000335795j -0.00360896+0.00382206j 
0.0174088-0.0198281j -0.00771766-0.0114587j 0.0100094-0.00164038j 0.0174278+0.00811296j 0.0467233-0.0342379j -0.00441352-0.00081397j 0.00949274+0.00714241j -0.0195403+0.00176443j 0.0399229-0.0019233j 0.0454786+0.00884993j -0.00935644-0.00563816j -0.0186352+0.00420493j 0.00323339-0.00163167j 0.0163841-0.0174663j 0.012795-0.0161668j 0.0227604-0.00811257j 0.0141915-0.00702326j -0.00576864+0.0089923j 
0.00604953+0.0129295j 0.00396271-0.014329j -0.00488353-0.00314722j -0.0169104-0.00766892j 0.00620964-0.0120338j 0.00126886+0.0107896j 0.00375453-0.00833176j 0.00389642-0.0174959j -0.00549568+0.00360819j -0.00427166-0.0199176j 0.000390985+0.0329027j -0.00655434+0.0301521j 0.00402752-0.000266976j 0.00038385-0.0478874j 0.00738341+0.00493376j -0.000415032-0.00698303j -0.00491735+0.0124285j 0.00103378-0.00318997j 
0.0179673-0.0070605j -0.032565+0.00188311j -0.0314243-0.00590383j 0.0477264-0.016947j 0.0158653-0.00304048j -0.0126997-0.00323109j -0.0592527+0.00698122j 0.0260895-0.00631988j -0.0338733+0.00437091j 0.0233747-0.00210206j 0.00664383-0.00264999j -0.000397535-0.00303184j -0.00104007-0.0166014j 0.00691971-0.0105624j -0.0013454+0.00601196j 0.0128155+0.00491672j -0.00675315+0.00548382j 0.00716546+0.000447935j 
0.00494344-0.0324234j -0.0170722+0.0350379j -0.0114771+0.00278827j 0.0214077+0.0317334j 0.00312493+0.0190752j -0.0184856-0.0368813j -0.0128855+0.0420426j 0.000784196+0.0715903j -0.0116564+0.00206222j 0.0182735+0.00146995j -0.00444315+0.00596196j -0.00572714+0.00978798j 0.00819495-0.0293127j -0.00319752+0.0122706j -0.00994928+0.00730969j 0.00494761-0.000554514j -0.013014-0.0179704j 0.0124721+0.000823978j 
0.00218656-0.00704469j 0.00549-0.00737454j 0.0201054+0.0180147j 0.0178378+0.03589j -0.00214261-0.0089938j 0.0167081+0.0249659j -0.01261-0.0408086j -0.00378108-0.00859469j 0.000858402+0.00124425j -0.00016218-0.01438j -0.0133622-0.00782024j 0.00151564+0.000872107j -0.00148647+0.0149531j 0.00527161+0.0168134j 0.00225652-0.0222066j -0.00413337+0.00916179j 0.00152239+0.00150936j -0.00601548+0.00312275j 
-0.00167383-0.0434232j -0.0238779-0.0118186j 0.00598345+0.00142136j -0.02887+0.00599167j -0.03946-0.0439069j 0.014309-0.00506174j 0.0178914+0.0292778j -0.0471834+0.00797114j 0.0101144+0.000897176j 0.0090421+0.00858505j -0.00663921-0.00382344j 0.0161295+0.00162685j 0.0112811-0.00207286j -0.0285005+0.00489224j 0.0118091-0.012384j 0.00571673+0.00669159j 0.00279825-0.00218099j -0.0112531+0.00696448j 
-0.0131373+0.00488861j 0.0179703+0.00687352j 0.0499907+0.00429115j 0.0208393-0.03674j -0.0135993-0.00334528j 0.0309909+0.00160464j 0.0296094+0.0268758j 0.0167472-0.027023j 0.0133969+0.0124465j -0.0218454+0.00435315j -0.0410738+0.00789175j -0.00802986+0.0128985j -0.00457905+0.00237171j 0.0118734-0.0175273j 0.0124689+0.0141768j -0.017039-0.00580598j 0.00743323+0.00234359j -0.0123966-0.00877324j 
0.0138633+0.0241898j 0.00207514+0.0263314j 0.00879213+0.035707j -0.0158409+0.0210036j -0.0082529+0.010953j 0.0147289+0.0204866j 0.00903703+0.00652986j -0.0226893+0.00281291j 0.0161735+0.018744j -0.0148907-0.0179195j -0.00756756-0.0414848j 0.000870495-0.024544j 0.0016976+0.00419645j -0.0263725+0.0278934j 0.00203077+0.0039405j -0.0046778-0.0128561j 0.00408289+0.00696952j -0.00963828-0.00940124j 
0.00956111-0.0164699j -0.0278288-0.00802838j 0.0123383-0.0187563j 0.038763-0.00637392j -0.0255976-0.0414662j 0.0138185-0.0200358j -0.0174681+0.0159728j -0.00329299-0.00341041j -0.00939737-0.00331374j 0.0139492+0.00262j -0.0408373+0.00439578j -0.0211972+0.0350821j 0.0105497-0.00978538j 0.0219724-0.0144248j 0.0020759+0.00377092j 0.00859544+0.000652184j 0.00136242-0.0020296j -0.00394291+0.00452142j 
0.0161598+0.0415381j 0.00123799-0.00357019j 0.0408401+0.00463581j 0.00194144-0.00746583j -0.000177572+0.0581649j 0.0375366+0.0129916j -0.010907-0.015738j -0.0382496-0.0205782j 0.0102242+0.0136893j -0.00440259+0.00130109j -0.0442109+0.0166999j -0.00619358-0.0289672j 0.0135536+0.018314j 0.00499739-0.0164772j 0.0148429+0.00283615j 0.00329475+0.00385045j -0.000191863+0.00628194j -0.017848+0.00212756j 
0.0758717+0.00975308j 0.00914579-0.045431j -0.0416688-0.0282605j -0.0202475+0.00712176j 0.020566-0.0107933j -0.00903863-0.0182946j -0.0573937-0.00846195j -0.0355601+0.00196343j 0.00537229-0.022892j -0.0210394+0.0345049j -0.00883195-0.00231452j 0.0130459+0.000497406j 0.00863438+0.000850159j -0.0085934-0.00435904j 0.00408005+0.0169319j 0.00374064+0.0065947j -0.000497027+0.00196715j 0.004056+0.00788498j 
-0.00957108-0.00587562j -0.0618332-0.0377154j -0.0518992+0.00116394j 0.00691598+0.0109039j -0.0320851+0.0126755j -0.0329792+0.00232473j -0.0106564-0.0159693j 0.00720729-0.00520687j -0.0352579-0.0254729j 0.0461598+0.0407337j 0.008352-0.000959622j 0.0034869-0.0202962j -0.0134888-0.00216309j -0.00677146-0.00142021j 0.00786032+0.00427513j 0.0111095+0.00428602j 0.0065734+0.00395166j 0.0198353-9.69535e-05j 
-0.0740942-0.0181111j 0.0441333-0.0386714j 0.0413026-0.00250193j -0.0149489+0.0175884j -0.00850417-0.0128808j 0.0251648-0.00384131j 0.0397499+0.0190498j 0.019715+0.021787j 0.0253662-0.0122477j -0.0427122+0.0223741j -0.0110337+0.0104176j -0.00101033-0.0215778j -0.0084077+0.00871738j 0.0054716-0.00355161j -0.0251845+0.00199174j -0.00502628+0.0121901j -0.0124664+0.00227822j -0.0014748+0.00810287j 
0.0418441-0.077952j 0.0210994+0.0341752j -0.0109224+0.0562663j -0.00582436-0.00718902j -0.0020027+0.0078162j -0.00584277+0.0321226j -0.02+0.0386713j -0.0164394+0.0150348j 0.000697136+0.0210142j -0.00233055-0.0199693j -0.00926794+0.0130284j 0.010096-0.00854397j -0.0061711-0.00155221j 0.00461191+0.00806439j -0.0033044-0.0200734j -0.0124764+0.00133265j -0.00446088-0.00768927j -0.0123709+0.00102263j 
