-0.00774753+0.00594094j -0.00979207-4.9644e-05j 0.00737114-0.0025076j -0.00612511+0.000402227j 4.25824e-05-0.000860115j -0.00765899+0.00397203j -0.00975904+6.30173e-05j 0.00685037-0.00197632j 0.00155153-0.00396138j -0.000682351+0.00134499j 0.00851417-0.001424j -0.00861403+0.00207884j 0.00383041-0.00260695j -0.00779755+0.00405665j -0.00670874+0.00176488j 0.000287108+0.0013247j -0.00558451+0.00351913j 0.00411812-0.000134802j -0.0023329-0.000864861j 0.00969217-0.00379894j 0.00609889+0.00208894j -0.00168144+0.00261197j 0.000436392-0.000846051j 0.00964059-0.00117709j -0.00581184+5.83497e-06j -0.000913176+0.0019689j -0.00952191-0.000692065j -0.00317829+0.00114647j 0.00351432-0.000519667j 0.0114518-0.000109782j 0.0011969+0.00248564j -0.0104551-1.72129e-06j -0.00195611-0.000939303j 0.00718669+0.00129683j -0.002702+0.00255376j 0.00102404-0.00327148j -0.00495514-0.00289868j 0.000379887-0.000248774j -0.00549816+0.00130661j -0.00433446-0.00205889j 0.010183+0.0037579j -0.00117891+7.56135e-05j 0.00436843+0.00342865j -0.00233901+0.000403925j 0.00935414+0.0015244j 0.000535842-0.000748723j -0.00123644+0.00084991j -0.0062195-0.00549816j 0.00437204-0.00203301j -0.00337923+0.00118038j -0.00818435-0.00364091j 0.00393309+0.00181376j 0.0069451+0.00368878j 0.00158884+0.00126186j -0.0114311-0.00143337j 0.00474645+0.00685971j 
-0.00169464+0.00660255j -0.00304175+0.00494178j 5.64082e-05-0.00298577j 0.000511867+0.0011693j -0.00366629+0.00690732j -0.00231665-0.000108564j 0.00194441-0.00191648j 0.00424236-0.0061365j 0.00147431+0.00139394j -0.000585009-0.00208738j -0.00142326+0.00363413j 0.00154482-0.00498338j -0.001308+0.00126597j 0.000585224+0.00232238j -0.00149713+9.64388e-05j -0.000702569-0.00248762j 0.00025868-0.000748652j 0.00170156-0.0041178j 0.000322316+4.2371e-05j 0.00314572+0.00384452j 0.00126747-0.00128153j 0.00187814-0.00221278j -0.00454741-0.00270639j -0.00156116+0.000742087j 0.00106596-0.000722233j 0.000126817+0.00158521j -0.00212906-0.00510598j -0.00149052-0.0130217j 0.00243888+0.00606929j -0.00078325+0.00588334j 0.00085216+0.00175197j 0.00361162+0.00166064j -0.00103577-0.00177317j 0.00415805-0.00313566j -0.00878307+0.00706489j -0.00400519-0.00100721j 0.00335863+0.000643718j -0.00289632+0.00695404j 0.00135003+0.0108421j -0.000701022-0.00282674j 0.00555663+8.80299e-06j -0.0088899-3.79066e-05j 0.0071103-0.00314804j -0.000377332-0.00271448j 0.00427588-0.00415266j 0.00587943-0.00429305j -0.00956682+1.25116e-05j 0.0058676-0.00781457j -0.00527183-0.000962033j 0.00230965-0.00114404j -0.00289299-0.000439272j 5.29859e-05-0.0037709j -0.00938004+0.00107014j 0.00272998-0.00473115j 0.0117804+0.00136791j -0.00425748-0.00118277j 
1.33753e-05-0.00010602j 0.0033921-0.00266612j 0.00300075-0.00294372j 0.00144383-0.00390891j -5.54103e-05-0.000873614j 0.00518098-0.00107214j -0.000241317-0.00175187j 0.00155625-0.00113022j 0.00023109-0.00147449j 0.00146319-0.00158674j -0.002293+0.00425302j 0.000898544-0.000877921j -0.00187388+0.000953964j -0.00602998+0.00402441j -0.00251495+0.00198101j 0.00122527+0.00192223j 0.000582246+0.00142046j 7.23344e-05+0.00406538j 0.000806908-0.000773138j -0.00207159-0.00242529j -0.00220765+0.00737173j -0.00138224-0.00348419j 0.0046301-0.00282257j -0.000637448+0.000272423j -0.000557031-0.00281061j 0.00146896-0.00554628j 0.00719692-0.0020908j -0.00148035+0.00690316j -0.0036674-0.00391772j -0.00541918-0.000272484j -0.00659814+0.00141674j 0.00103288-0.00238912j 0.00425166-0.00591424j -0.0019566+0.0046326j -0.00249612+0.00302521j 0.00384465-0.00228382j 0.00143165+0.00306112j 0.00238229+0.00077243j 0.00181921+0.00290054j -0.00637745+0.00646983j 0.00320666-0.00389535j -0.00672906+0.00476058j -0.00761178+0.0018989j 0.00278956-0.00230305j 0.000445549-0.000421845j 0.00155808+0.00142402j 0.00403746-0.00204585j -0.0118313+2.01436e-05j -0.00518188+0.000815799j -0.00492769-0.00369488j -0.00628811+0.000943906j -0.00596774-0.00461153j 0.000381665-0.00277246j 0.00981732+0.00291706j 0.000841345+0.000460389j 0.00478637+0.00266399j 
0.00310569+0.00244756j 0.000815098-0.00270759j -7.73274e-05+0.00222096j 0.000359468-0.00350814j 0.000623005-0.0011232j 0.00167527-0.00527352j 0.00254117+0.00160274j 4.95636e-05+0.0038523j 0.00207025-0.000250501j 0.000895283-0.000371985j -0.00191251-0.00370047j -0.00106928+0.00123024j 0.00249587-0.00230888j -1.9013e-05+0.00180907j 0.0010285+0.00256566j -0.000280128-0.00224387j -0.0022267-0.000479907j -0.000904309-0.000980183j -0.00062261-0.00116097j 0.00271046+0.00443579j 0.00306401-0.00125918j 0.000599959-7.28216e-05j 0.00172714-0.00429179j -0.000856072+0.000122185j -0.000209413+0.00390759j 0.00309243-0.000574317j -0.000735033+0.0010317j -0.00585649+0.00315319j -0.00057447+0.00252313j 0.00107381-0.00225297j -0.00158324+0.00082765j -0.000382606-0.00127j 0.00598527-0.00150962j -0.00284555-0.00305957j 0.00290959+0.00631293j 0.00176681+0.00284445j 0.000374685+0.000258253j 0.00432452+0.00383153j 0.00678736-0.0036998j 0.00132867+0.00333673j 0.000994322-0.00138939j -0.00383905+0.00116496j -0.00954868+0.00100357j -0.00218592+0.00106325j -0.00400553-0.00175824j 0.00108853-0.00125764j 0.00457594+0.0046371j -0.00631405-0.00200788j 0.0018019-0.00359666j -0.00824858+0.0017912j 0.00232332-0.00461024j -0.00121659+0.00274334j 0.00406366+4.69872e-05j 0.000154713+0.00494771j 0.000478618-0.00284339j 0.0068294-0.00279818j 
0.00212645-0.00119804j 0.00131064+0.00215118j -0.00171451-0.000312616j -0.000628354+0.000949825j 0.00123858+0.00230886j -0.00734181-9.77945e-05j 0.0040994-0.00128261j -0.00110669-0.00114615j -0.00259457-0.00164978j -0.000513011-0.000681174j -0.0036772+0.00105541j 0.00196209+0.00143193j 0.000535447-0.00187544j 0.000684891-0.000982529j -0.00072356-0.00110136j -0.00183057-0.0013623j -0.00198333+0.00159648j -0.00528516-0.00123323j -0.000651544+0.000593093j 0.00455851-0.00360038j -0.00269922-0.00398651j 0.00188074-0.0041429j -0.00435957-0.00169167j 0.00182262-0.00021901j 0.00554385-0.000346924j 0.000766697-0.0011743j 0.00107955+0.00245564j -0.00163633+0.0026188j 0.00422082+0.000966547j -0.000789789-0.00188558j -0.0022405-0.000849334j -0.00243053+0.000671872j -0.00348356-0.0033936j -0.0048232-0.000469543j 0.00233998-0.00111601j -6.57304e-05+0.0014642j -0.00142694+0.00156627j 0.00516908-2.95054e-05j 0.000329305-0.00234924j 0.000391127-0.00546276j 0.000101243-0.00259887j -0.00295844+0.000216008j -0.000558725-0.000552536j 0.00268846+0.00366853j -0.00127129+0.00337294j -0.00164819+2.14834e-05j 0.00346844+0.00274839j -0.00219455-0.00442476j -0.00136663+0.00234895j 0.00118064+0.00589953j -0.0057403-0.00688021j 0.00106405-0.00509188j 0.000543715+0.00169487j -0.00117043-0.00210168j -0.0014256-0.000677699j -0.00126096+0.0021031j 
-0.000539892-0.000208385j 0.00228311+0.00251163j 0.000510907-0.000607817j 0.0020074-0.000396497j 0.00147717+0.0015635j -0.00307605-0.000297405j 0.00213265+0.000550907j -0.00299455-0.00133837j -0.00262075-0.0025381j -0.00159527-0.00144173j -0.000863274+0.000352082j 0.000861617+0.00116256j -0.000563816-0.000742282j -0.000578246+0.000888673j -0.00255409-0.00124411j 0.00128502+9.48632e-05j -0.00138385-0.000567556j -0.00393314-0.00295994j 0.000212534+0.00080768j 0.000532029-0.000400339j -0.000719009+0.000183197j 0.0016106-0.00329928j -0.000827103-0.00302607j 0.00385358+7.02972e-05j 0.000797943+0.000347981j -0.00247546-0.00322549j 0.000657653+0.000937664j 0.00192277+0.00569911j 0.00107414-0.000920625j 0.00010115-0.00193946j -0.000392566-0.00351047j -0.00226904-0.00305949j -0.00483059-0.00520746j -0.00109678+4.50307e-05j -0.00165437-0.00441457j -0.00424011-0.00614839j -0.00288345-0.00137076j -0.00136919-0.000118138j -0.00106153+0.000674926j 0.00229002-0.00167808j -0.0010586-0.00259009j 0.0025406-0.00161835j 0.00247137-0.000489265j -0.00181316+0.00312042j 6.88704e-06+0.00469123j -0.00116603+0.00212631j -0.000375908-0.000733808j 0.00194912+0.000704988j -0.00199853+0.00695136j -0.00130405+0.003956j -0.000465317-0.00243669j -6.23323e-05-0.00284844j 0.000653318-0.00174459j 0.00114064-0.00114177j 0.00129144-0.000206383j -0.00165549+0.00307675j 
2.15172e-05-0.000735871j -0.00177388+0.000246381j -0.00262594+0.00284544j -0.00106927+0.00187164j -0.000485811-0.00219074j -0.000112072+0.00019962j -0.000527758+0.00164916j 9.29974e-05+0.0019294j 0.00177035+0.00065931j 0.000582726+0.00112198j 0.000798075-0.00349987j -0.00107698+0.00168602j 0.00207517-0.000472048j 0.00296261-0.00385039j 0.00290412-0.00172207j -0.00148915-0.000926814j 0.00070221-0.00021411j 0.00262878-0.00128031j -0.000125949-0.000148022j 0.000954323+0.00110645j -7.79911e-05-0.00306302j 0.00154498+0.0039242j -0.000356293+0.00294515j -0.000276618+0.000892011j 0.00021421+0.000905186j 0.000335995+0.00394389j -0.00385381+0.00139893j -0.00278634-0.00273893j 0.00196757+0.000596577j 0.00337442-0.000968744j 0.0037803+0.000583586j 0.0016756+0.00237337j 0.000413217+0.00373007j 0.000981574-0.00159399j 0.00404281-0.00357377j 0.00188108+0.00229598j 0.00108402+0.000964825j 0.000841428-0.00237165j -0.000585758-0.00416712j 0.00218441-0.00188076j -0.00107694+0.00236724j 0.00383971-0.00377919j 0.00247524+0.000628842j -0.00202948-6.95951e-05j -0.00201135-0.000955077j -0.0022632+0.00158861j 0.000680207+0.00114288j 0.00478044+0.00128657j 0.000728851-0.00471132j 0.00134319-0.000336287j 0.00372729-0.00204004j 0.00537629+0.00270657j 0.00168226+0.00151379j -0.00568621-0.00095701j -0.00285077+0.00157936j -0.000333514-0.000892813j 
-0.000392962+0.00158687j -0.00094845+0.00337106j 0.00172304-0.00128688j 0.000222664+0.000714601j -0.00143007+0.00131508j 0.00453799-0.00204318j -0.0033266+0.0033819j -0.000844426-0.00302897j 0.000816928-0.00193j -0.00066568-0.000696578j 0.0027516-0.00146956j -0.00158507+0.000547959j 0.00078923+0.00101618j -0.000970326-0.000213537j -0.00151364-0.00168454j 0.00131046+0.00220626j 0.0001995-0.00470668j 0.0020685-0.0068625j -0.000474068+0.000872089j -0.00174643+0.00402093j 0.00312912+0.00262181j 0.00166091+0.000474741j 0.00494391-0.000134387j 0.00077925+0.00121695j -0.0062097+0.00332915j 0.00153519-0.000348851j -0.00240893-0.000374576j -0.000950167-0.000283257j -0.00342243-0.00231256j 0.00287353-0.000238082j 0.00485256-0.00560916j 0.00101363-0.00600433j 0.0011454-0.00170307j 0.00519981-0.00325426j -0.0028776-0.00143781j -0.00189096-0.00617554j 0.000994381-0.0048676j -0.00742354+0.00307828j -7.27511e-05+0.00470765j 0.00266226+0.00340968j 0.000975139+0.000365406j 0.00540574-0.00315414j 0.00494982-0.00464659j -0.00682929+0.00195786j -0.00154342-1.51544e-05j 0.00169502+0.00132994j -0.00473157-0.000240404j 0.00752102-0.000990391j -0.00411795+0.00422195j -0.00341132-0.00546135j 0.00863997+0.00377502j 0.00176861+0.0001361j -0.000939386+0.000326867j -0.00119066+0.000581828j 0.00284002-0.000541921j -0.00336812+0.000703348j 
0.00179703+0.00374975j 0.0022148-0.0022997j 0.00391702+0.0031937j 0.000426242-0.00264349j 0.000351652+0.000183582j 0.000487504+0.00352004j 0.000544412-0.000874925j -0.00178248+0.00510164j -0.00195127+0.00355773j -0.00243492+0.00253175j 0.00105975-0.00182588j -8.12923e-05-0.00194592j -0.000373924-0.000727298j -0.000725164+0.00063937j -0.00265827+0.00288083j -0.000490635-0.00155339j -0.000327903+0.000490278j -0.00357584+0.00431956j -0.000490354-0.00158716j -0.0013073+0.00265979j 0.00396967-2.21947e-05j -0.00501373-0.00156242j -0.00145543-0.000289945j 0.00204947-0.00569685j -0.00349223-0.000274472j -0.00265832+0.00261581j 0.000897468+0.00182184j 0.0102324-0.00147741j -0.00374738-0.00127521j -0.00264523-0.002097j -0.00113682-0.00292919j -0.00202182+0.000477711j -0.00621431+0.00924572j 0.00206225-0.000130501j -0.0105416+0.00302604j -0.0109944+0.00186922j 0.00049245-0.00256449j -0.0085141+0.00370837j -0.000391395+0.00140474j 0.000825434-0.00291079j -0.00544503+0.00437416j -0.00123602-0.00212343j 0.00219992-0.00348136j 0.00107041+0.00222253j 0.00622673+0.000250735j 0.00570109-0.000940377j -0.00402663-1.67814e-05j 0.00630779-0.0015758j 0.0107109+0.00299241j 0.00299964+0.00293688j -0.000916784+0.00270979j -0.00331472+0.00195699j -0.00118245-0.00285274j -0.00396789+0.00700468j 0.00286272-0.00353532j 0.00386739-0.00299437j 
-3.91699e-06-0.00283398j 0.000746183-0.00354137j -0.000774949-0.00104943j -0.00129421-0.000394027j 0.00142042-0.00196718j -0.00303212+0.0044355j 0.00191-0.00328445j -0.000376849+0.00234628j -0.00284361+0.00341412j -0.00167749+0.0010751j -0.00248058+0.00516516j 0.00399041+0.00038329j -0.000579369-0.00283063j 0.00133365+7.02661e-06j -0.000270578+0.00314979j -0.001775+0.00297681j -0.00102667-7.39601e-05j 0.00105786+0.0024556j -0.000935826+0.00237279j -0.00141557+0.0030211j -0.00372095+0.00259852j -0.00196925+0.0012504j -0.00588329+0.00412367j -0.0047574-0.00349722j 0.00101704+0.00346584j -0.00477001+0.00350436j 0.00327588-0.00504472j 0.0041889-0.00217625j 0.0058214-0.002582j -0.00220001-0.000103167j -0.00387294+0.00121005j -0.00117156+0.00466782j -0.00300518+0.00127902j -0.0002595+0.000498512j -0.000483386+0.00238626j 0.00151627+0.0042997j -0.00133589+0.00469117j 0.00296187+0.00261551j -0.00173124-0.00284857j -0.0069542-1.39734e-05j -7.05575e-05+0.000474147j 0.0044901-0.00244828j 0.000967906+0.00289669j 0.000107003+0.00282674j 0.00498086-0.000849301j 0.00209135+0.000615249j 0.00787686-0.00170717j -0.00104521-0.00269121j 0.00445936-0.00228731j 0.00839326+0.00128545j -0.00565995+0.000301967j -0.00297832+0.00062715j -0.000890582-0.000227724j 0.00136634-0.00169243j -0.00325882+0.00171092j 0.00213793-0.000700544j 
-0.00185902-0.00366331j -9.59257e-05-0.00395821j 0.000301131-0.00433552j -0.00136065-0.00143327j -0.00181545-0.00281985j 0.00169953-0.00708964j 0.000570633+0.00429928j -0.000680719+0.00348447j -0.00302577+0.000441673j -0.000940541-0.000419734j 0.00029857-0.00161205j 0.0021058+0.00201272j -0.000806216+0.000782186j 0.000218318+0.00274377j -0.00030984+0.00378995j 0.00469481-0.00206527j -0.00127599+0.000945629j 0.00170935+0.00352408j 0.00146222-5.83722e-05j -0.000382038+0.00167108j 0.00630386-0.00310526j -0.00133797+0.00553171j 0.00126666-0.00496757j -0.00242417-0.00122859j 0.00302726+0.00560262j -0.00415557+0.00103329j -6.15977e-05-0.00317501j 0.00875643-0.00322275j -0.00868651+0.00713717j -0.00239478+0.00283331j -0.0069567+0.00331636j -0.00648827+0.00172604j -0.00175652+0.000561321j 0.00231929-0.000388893j -0.00215741+0.00207002j -0.00454046+0.00541727j -0.00408346+0.00300015j -0.0004771+0.00147933j -0.000666654-0.00304727j 0.00715511+0.000366503j -0.00160874+0.00181696j -0.000688642-0.00485326j -0.00120037+0.00433115j 0.0039727+0.000640437j 0.00400346-0.000169392j 0.0023206+0.000454825j -0.00251474-0.00134191j 0.00135894+0.000964067j 0.00884903-0.000969756j -0.00467859+0.00406011j 0.00585446-0.00393226j -0.000140882+0.00326218j -0.00384067-0.00276196j 0.00611205-0.00533809j -0.00279993+0.00468916j 0.00295451-0.0018402j 
-0.00096341-0.00108326j 0.0015719-0.00142623j 0.00151447-0.000365024j 0.00158688-0.00101492j 0.00144237-0.000514247j -0.00124351+0.00224631j 4.95674e-05-0.000966414j 0.00134812+0.000915391j -0.000731513-0.000297642j -0.000939434-0.00156375j -0.00394467+9.13972e-05j -0.000657027+0.0028008j 0.00272912-0.000354909j -0.00182867+0.000896015j -0.001969-0.000902117j -0.00428531+0.000186922j 0.00641904-0.00122616j 0.00854225+0.00261726j -0.00374158-0.000824027j -0.0109153-0.00104301j -0.00449943-0.000625901j -0.0010756+0.00148615j -0.0021925-0.00135289j 0.00164768-0.0041086j -0.00790769-0.00357442j -0.00559231-0.00150809j 0.006199-0.000477667j 0.0013733-0.00108203j 0.0044364+0.00252077j 0.00143436+0.00173707j 0.00393782+0.00127396j 0.00172914+0.00124379j 0.00448491+0.00143053j 0.0053665+0.00319768j -0.00499084-0.00191094j 0.00172563+0.0024088j -0.00153048+0.000437323j -0.00927728-0.00270721j -0.00205906+0.000593181j -0.00415838-0.00480642j 0.000520172+0.00242442j 0.00635684+0.00599851j 0.00183638+0.00297584j -0.00704085-0.00707147j 0.00175273+0.000949363j 0.000125383+0.00417953j 0.000717895+0.00373968j 0.00572442+0.00325936j -0.000226162-0.0024065j 0.00369995+0.00196188j -0.000408229+0.00229869j -0.00155962-0.00116805j -0.000282918-0.0013475j 0.00167343+0.000937938j -5.78758e-05+0.00205127j 0.00175609+3.21654e-05j 
0.00162744+0.00316876j 0.000124084+0.000314611j 0.000455548+0.00486154j -0.000320369-1.74385e-05j -0.00077552+0.000332993j -0.000296715+0.00298892j 0.000573393-0.00145784j -2.67739e-05+0.0021195j 0.000793411+0.00203367j -5.29676e-05+0.00136771j 0.00100929-0.00114065j -0.000401174-0.00229024j -0.000353775-0.001613j -0.000133021-0.00185326j 0.000307544+0.000400759j -0.000805925-0.000771578j -0.00191684+0.00121826j -0.00498245+0.000316092j 0.000582255-0.000703693j 0.00318992+0.0014127j 0.000871247+0.00118991j -0.00089834-0.00262122j -9.40719e-05+0.00244386j 0.00108316+0.000133233j 0.000792556-0.00140531j 0.00341331+0.00151365j -0.00205108+0.00228231j -0.000392028+0.00172924j 0.00102923-0.003032j -5.85327e-05-0.0026824j 0.00152691-0.000791815j 0.00180491+0.000990252j -0.00229169+0.00391768j -0.00285792-0.000607274j -0.000992287-0.000362339j -0.00134901-0.00167893j 0.003184-0.00129261j 0.000228069-0.00117244j 0.000992043-0.000790228j -0.000423065+0.000460989j -0.00202034+0.000917697j -0.00253299-0.00139753j -0.00110268-0.00150859j 0.00170241+0.00183276j -0.000145888-1.11111e-05j 0.00171698-0.00129441j 0.000385759-0.00208259j -0.000774189+4.51159e-05j 0.00151422-0.000568752j 0.000970568-0.000102626j -0.00290693+0.000427669j 0.000176779+0.00113531j 0.00192196-0.000864525j -0.00571029+0.0055289j 0.00169903-0.00220037j 0.00169066-0.00190992j 
0.000490422+0.000321781j 0.00217727+0.00018906j -0.00149111-0.00250627j 0.00115064+0.000525889j 0.00159126+0.000888741j 0.00316369+0.000148935j 0.000288933+0.00176984j -0.0016116+0.00115697j 0.000649056+0.00292534j 0.0010291+0.00159765j -0.00235869-0.00203064j 0.00108751+0.000361167j 0.00187751+0.00122497j 0.000551895-0.00031237j -0.00228464+0.00192693j 6.15326e-05-0.000977655j -0.00151399-0.00103546j -0.00137317+0.000432914j 0.00147359+0.000292607j 0.000807466+0.000657981j -0.0027634-0.00372409j 0.00188159+0.00173043j 0.00123737+0.000551546j -0.00365313-0.00211596j 0.00155301+0.00288192j 0.00272898+0.0036409j 0.00234472+0.00193168j -0.00607729-0.00938268j -0.00113988+0.00277441j -0.000278784-0.000425997j -0.00680115-0.0026905j -0.00250035+0.00164124j 0.0049941+0.0058826j -0.00084729-0.00375935j -0.00214678+0.00725811j 0.000347155+0.0092438j -0.00300125+0.00271133j 0.00376924+0.0101076j 0.00512571+0.00491319j -0.00522453-0.00507622j 0.00430384+0.0036644j -0.00661984-0.00600886j -0.0050139-0.00920086j 0.00336696+0.000411973j 0.00199938-0.00436365j -0.000526753-0.00157794j 0.00140827+0.00844278j -0.00327164-0.013646j 0.00400021-0.00515166j -0.00116987-0.00556597j 0.00233884-0.00459541j 0.000174548-0.00233358j -0.000132665+0.00458838j -8.12743e-05+0.00256017j -0.000785678-0.000377784j 0.00161774+0.00490542j 
0.00246423+0.00173712j -0.0023937+7.69393e-06j 9.9445e-05-0.000852873j -0.00414341-0.00172245j -0.000423449-0.00115752j 0.00318647-0.00320594j -0.00370617+0.00133351j -0.00313233+0.000132422j -0.00119637+0.0014188j -0.0065792+9.70419e-05j -0.00108605+0.00206338j 0.00286977-0.00176773j 0.00306259+0.00168042j 0.00898149+0.000240334j -0.00289833+0.00308522j -0.00210649+0.00018282j -0.00107497-0.00338493j 0.000265172-0.0036678j 0.00338774-2.29161e-05j 4.86061e-05+0.00088247j -0.00378996-0.0020511j 0.000392798-0.000711597j -0.00548904-0.000263853j -0.0061992+2.03752e-05j -0.00194758+0.0046716j -5.82862e-06+0.00214394j -0.000930634+6.82419e-05j -0.00448841+0.00150598j -0.000954259-0.00231537j 0.00359264+0.000124697j 0.00120348-0.00103069j -0.00730566-0.00101133j -0.00441586-0.00410927j 0.00385612-0.0020141j 0.00918754+0.00699836j 0.00641288+0.000731895j 0.0035494+0.000775593j 0.00484053+0.00231895j 0.00554898+0.000140164j -0.000640424-5.91147e-05j -0.00171069-0.00159827j 0.00311985+0.00352043j 0.000591372+0.00244503j -0.00504918-0.00055112j 0.00292818+0.00275411j 0.00039062+0.00141574j 0.00591362+0.00418215j -0.00521203-0.00225931j 0.00239243+0.00259749j -0.0036927+0.000298267j 0.00390348+0.00149338j -0.000245213+0.00433981j -5.01031e-05+0.000722381j -0.00173385-0.0030277j -0.000269881-0.00463901j -0.00100779-0.0027452j 
-0.00132727-0.000177336j -0.000632622+0.00294138j 0.00131693+0.00170027j 0.00103172+0.00222538j -0.00300813-0.00155065j 0.00437943-0.000142927j 0.000687029+0.00230416j 0.00121169+0.000579538j -0.00064541+0.00034607j -0.00107195+0.000288069j -0.00614393-0.00140813j 0.00559818+0.00113026j 0.000568177-0.000709134j 0.000769099-0.00501329j -0.00401169-0.00172002j -0.000356355+0.00130987j -0.00204877-0.000652994j -0.00643213-0.00449544j 0.00308655+0.000284983j 0.000649281-0.00320503j -0.00492803+0.000207426j 0.0012287-0.00395659j 0.00104683+0.000903805j -0.00068182+0.00148452j 0.000883275+0.00167056j 0.00241858-0.000769833j 0.0035054+0.00439572j 0.000573184+0.0035566j -0.00369448-0.00464444j -0.0015688-0.00396255j -0.00330798-0.0065834j -0.00397813-0.000645273j -0.00225067-0.000862711j 0.000195643-0.000291661j -0.00405734-0.00807662j 0.000775982-0.00585199j -0.000243401-0.0013826j -0.00169965-0.00376546j -0.00376088+0.0017965j -0.00350933-0.00364998j 0.000849947+0.0027867j -0.00381313-0.00776568j 0.000553072-0.00188912j 0.00235791+0.00349831j 0.00694872+0.00836226j 0.00271674+0.00641375j 0.00303587-0.00287322j -0.000178092-0.00296394j -0.00248875+0.00134871j -0.00230863-0.00232837j -0.00120208-0.00446528j 0.00362791-0.00420448j 0.00110218-0.00386075j -6.80579e-05+0.00557817j 0.00137881+0.00473484j -0.000864672+0.00141486j 
0.000508126+0.00213843j 0.000955396-0.000497515j 0.000156191+0.00153139j 0.000778967-0.00209849j -3.08223e-05-0.000252837j -0.00226721-0.00202322j 0.00163474+0.00310521j 0.000229685-0.00177357j -8.68261e-05-0.00331057j 0.00115087-0.000393956j -0.00204844-0.00129907j -0.000340669+0.00408361j 0.00175484-0.00203867j -0.00167509+0.00123982j -0.000654191+0.000103593j -0.000476654+0.001681j -0.000515589-0.00471273j -0.000437838-0.004984j -0.00327893+0.00116566j -0.00216189+0.01061j 0.000315131+0.000406236j 0.00110776+0.000567096j -0.000735259-0.00350128j 0.00255686-0.00422526j -0.00371223+0.00732397j -0.000689053+0.00167305j 0.00131612-0.00193007j -0.000600413+0.00431632j 0.00282436+0.00235256j 0.000656436-0.00400455j 0.00143922-0.00467836j 0.00137759-0.00123563j 0.00336466-0.00533777j 0.000456875-0.00439316j -0.00394873+0.00138342j -0.00116521+9.51166e-06j -0.00203466-0.0017022j -0.0048696+0.00860509j 0.00248569-0.00201053j -0.0022153-0.000229113j 0.00254296-0.00144818j 0.00291468-0.00389414j -0.00176964+4.05554e-05j -0.00622195+0.00657025j -0.00287837+0.000494565j 0.00327703-0.000914111j 0.00194543+0.00389605j 0.00517637-0.00396419j -0.0024057+0.00255429j -0.00151575+0.00375188j 0.00193232-0.0062847j -0.000738442-0.000723754j 0.000939587-0.000892716j 6.64212e-05+0.00143947j 0.000992904-0.00158132j 0.00139817-0.000196959j 
-1.09699e-05+0.0014716j -0.000939976+0.000443844j 0.000432506+0.00240142j -5.2298e-05-0.000194678j -0.00044923+0.000605807j -0.000415384+0.00207927j -3.81535e-05-0.00217308j -6.1388e-05+0.000349362j 9.68163e-05+0.000607358j 0.0018274-0.0033718j -0.00010626-0.00492088j -0.00113189+0.000340996j -0.00196861+0.00299855j 0.00225698+0.00164389j -0.000437524-0.0024792j -0.00273777-0.00339223j -0.00150493+0.00430281j -0.00214821+0.005726j 0.00201048-0.000912347j 0.00140496-0.00705588j 0.00106205-0.00629837j 0.000848493-0.000842938j -0.000347135-0.00141487j 0.00170844-0.00163041j -0.00153075-0.00585562j 0.00183414-0.00242154j -0.000175254+0.00485675j -0.000774166-0.00301927j 0.00174361+0.00151517j -0.00203193+0.00148651j 0.00233531+0.0031564j -0.00279189-0.00157829j -0.000391315+0.00275567j -0.00349821+0.00479852j -3.24173e-06+0.000719999j -0.00317333+0.00374082j 0.00357905+0.00114964j 0.00236644-0.00411599j -0.000760963+0.00020389j 0.0023778-0.00403948j 0.000261898+0.00244647j -0.00371703+0.00459874j -0.00258494+0.000801728j 0.00611657-0.0063351j -0.00209244+0.00373909j -0.00434969+0.000193314j -0.00392092+0.00333279j 0.000194351+0.000821795j 0.000777259-0.00105179j 0.000423579+0.000356574j -0.00262382+0.00181626j 0.00053867+0.000304223j 0.00129699-0.000656078j -0.00197272+0.00214744j 0.00118188-0.000724328j -0.000372901-0.00105761j 
