0.00204354-0j -0.000120919-0j 0.00693042-0j -0.00118475-0j -0.00129783-0j 0.000314185-0j 3.40824e-05-0j 0.00462028-0j 7.15463e-06-0j 0.00252036-0j 0.000257233-0j 7.58863e-06-0j 0.000408379-0j 0.0155094-0j 7.67915e-05-0j 0.0554433-0j 8.58555e-05-0j -0.0107471-0j 1.73952e-06-0j 3.16193e-07-0j 5.25755e-05-0j 0.000728508-0j 
-1.02758e-05-0j 0.0083454-0j -0.00010679-0j 4.41672e-06-0j -0.000935858-0j 2.42481e-09-0j -3.3849e-08-0j 3.6806e-07-0j -0.00049324-0j 3.25322e-08-0j 6.14697e-05-0j 0.0500724-0j 0.00182574-0j 4.0319e-07-0j 2.73694e-05-0j 4.41672e-06-0j -0.00591888-0j 4.00647e-05-0j 4.77339e-12-0j 0.0126928-0j 1.87386e-05-0j 0.000259649-0j 
-0.000212105-0j 0.0566216-0j -0.0014644-0j 2.99664e-05-0j -0.00634958-0j 8.365e-08-0j -1.40222e-06-0j 5.0472e-06-0j 7.07472e-05-0j 8.96893e-07-0j 0.00169468-0j -0.00718206-0j 0.0250364-0j 8.32231e-06-0j -3.92569e-06-0j 6.05664e-05-0j 0.000848966-0j 0.00027183-0j 2.63884e-10-0j -0.00182058-0j -2.68774e-06-0j -3.72424e-05-0j 
-0.00167499-0j -1.04217e-06-0j 0.000183362-0j -1.02111e-05-0j -1.11857e-05-0j 0.0182711-0j 0.00401186-0j 0.000122241-0j 3.06717e-08-0j 0.0469534-0j 0.00479216-0j 3.25322e-08-0j 1.08047e-05-0j -0.0127123-0j 3.29203e-07-0j 0.0014669-0j 3.6806e-07-0j -9.26268e-05-0j 0.000516415-0j 1.35551e-09-0j 2.2539e-07-0j 3.12309e-06-0j 
0.00165781-0j 1.03148e-06-0j -0.000181481-0j 1.01064e-05-0j 1.1071e-05-0j -0.0180837-0j -0.00397071-0j -0.000120987-0j -3.03571e-08-0j -0.0464718-0j -0.00474301-0j -3.21985e-08-0j -1.06939e-05-0j 0.0125819-0j -3.25826e-07-0j -0.00145185-0j -3.64285e-07-0j 9.16767e-05-0j -0.000511119-0j -1.34161e-09-0j -2.23078e-07-0j -3.09106e-06-0j 
0.0175806-0j -0.00104027-0j -0.000409102-0j -0.0101925-0j 7.66111e-05-0j 0.00270294-0j -2.01188e-06-0j 0.0797695-0j 0.000123525-0j -0.000148777-0j -1.51845e-05-0j -4.47956e-07-0j -2.41066e-05-0j -0.000915517-0j 0.000660639-0j -0.00327282-0j -5.06805e-06-0j 0.0006344-0j -1.02684e-07-0j -1.86648e-08-0j -3.10353e-06-0j -4.30038e-05-0j 
0.000854783-0j 0.0145815-0j -6.09521e-05-0j -0.000738617-0j -0.000534157-0j -4.05506e-07-0j -1.93199e-08-0j -0.000123525-0j 0.0823407-0j 3.73297e-08-0j -7.3695e-07-0j -0.00060031-0j -1.08496e-05-0j 4.62647e-07-0j -0.00457704-0j 5.06805e-06-0j -0.00337831-0j 4.5973e-05-0j 5.47732e-12-0j -5.01551e-05-0j 2.15019e-05-0j 0.000297939-0j 
5.15177e-07-0j 4.37142e-06-0j -0.00104875-0j -0.00839002-0j 4.6919e-05-0j 2.35145e-08-0j 1.69701e-09-0j 3.56925e-06-0j 2.47285e-05-0j -6.17983e-05-0j 3.21985e-08-0j -0.00513782-0j 3.1548e-07-0j 3.90992e-06-0j 0.000265414-0j 4.2831e-05-0j 0.000296742-0j 0.000388526-0j 4.62898e-11-0j 1.09285e-06-0j -0.0713734-0j 0.00251794-0j 
-5.20515e-07-0j -4.41672e-06-0j 0.00105962-0j 0.00847696-0j -4.74052e-05-0j -2.37582e-08-0j -1.7146e-09-0j -3.60624e-06-0j -2.49847e-05-0j 6.24387e-05-0j -3.25322e-08-0j 0.00519106-0j -3.18749e-07-0j -3.95043e-06-0j -0.000268164-0j -4.32748e-05-0j -0.000299817-0j -0.000392552-0j -4.67695e-11-0j -1.10418e-06-0j 0.072113-0j -0.00254403-0j 
-1.07441e-05-0j -2.99664e-05-0j 0.0145305-0j 0.0575142-0j -0.000321633-0j -8.19599e-07-0j -7.10286e-08-0j -4.94522e-05-0j 3.58365e-06-0j 0.0017214-0j -8.96893e-07-0j -0.000744572-0j -4.371e-06-0j -8.15416e-05-0j 3.84638e-05-0j -0.000593427-0j 4.30038e-05-0j -0.00266338-0j -2.58552e-09-0j 1.58376e-07-0j -0.0103434-0j 0.000364899-0j 
-0.0319851-0j -0.000123728-0j 0.00718103-0j 6.26736e-06-0j -0.000660562-0j 0.000158344-0j -0.00221049-0j -4.97573e-05-0j 2.41924e-06-0j 0.000840875-0j -0.0166003-0j 5.15865e-06-0j 0.00127823-0j 0.00252302-0j -2.69877e-07-0j -0.000597088-0j 2.90309e-05-0j 5.68522e-05-0j 1.76389e-06-0j 4.30999e-07-0j -1.84772e-07-0j -2.56028e-06-0j 
-0.0142073-0j 0.000840662-0j 0.000330604-0j 0.00823677-0j -6.19111e-05-0j -0.00218431-0j 1.62585e-06-0j -0.0644635-0j -9.98235e-05-0j 0.00012023-0j 1.22709e-05-0j 3.62003e-07-0j 1.94811e-05-0j 0.00073985-0j -0.000533877-0j 0.00264484-0j 4.0956e-06-0j -0.000512673-0j 8.2981e-08-0j 1.50835e-08-0j 2.50803e-06-0j 3.47523e-05-0j 
-0.0443107-0j -0.000171407-0j 0.00994825-0j 8.6825e-06-0j -0.000915111-0j 0.000219362-0j -0.00306231-0j -6.89314e-05-0j 3.3515e-06-0j 0.00116491-0j -0.0229972-0j 7.14654e-06-0j 0.0017708-0j 0.00349527-0j -3.73875e-07-0j -0.000827177-0j 4.0218e-05-0j 7.87603e-05-0j 2.44361e-06-0j 5.97085e-07-0j -2.55975e-07-0j -3.54689e-06-0j 
-0.0102554-0j 0.000606822-0j 0.000238643-0j 0.00594561-0j -4.46898e-05-0j -0.00157672-0j 1.1736e-06-0j -0.0465322-0j -7.20564e-05-0j 8.67864e-05-0j 8.8576e-06-0j 2.61308e-07-0j 1.40622e-05-0j 0.000534052-0j -0.000385373-0j 0.00190914-0j 2.95636e-06-0j -0.000370067-0j 5.98989e-08-0j 1.08878e-08-0j 1.81039e-06-0j 2.50855e-05-0j 
-0.000690769-0j -0.0117837-0j 4.92567e-05-0j 0.000596893-0j 0.000431664-0j 3.27698e-07-0j 1.56129e-08-0j 9.98235e-05-0j -0.0665413-0j -3.01669e-08-0j 5.95545e-07-0j 0.000485124-0j 8.76778e-06-0j -3.73875e-07-0j 0.00369881-0j -4.0956e-06-0j 0.00273009-0j -3.71518e-05-0j -4.42634e-12-0j 4.05315e-05-0j -1.73762e-05-0j -0.000240771-0j 
0.000171407-0j -0.0457572-0j 0.00118342-0j -2.42165e-05-0j 0.00513123-0j -6.75994e-08-0j 1.13317e-06-0j -4.07875e-06-0j -5.71724e-05-0j -7.24799e-07-0j -0.00136951-0j 0.00580398-0j -0.0202324-0j -6.72544e-06-0j 3.17244e-06-0j -4.8945e-05-0j -0.000686068-0j -0.000219672-0j -2.1325e-10-0j 0.00147125-0j 2.17202e-06-0j 3.00964e-05-0j 
-0.000498623-0j -0.00850589-0j 3.55554e-05-0j 0.00043086-0j 0.000311592-0j 2.36545e-07-0j 1.127e-08-0j 7.20564e-05-0j -0.0480321-0j -2.17756e-08-0j 4.29887e-07-0j 0.000350181-0j 6.32892e-06-0j -2.69877e-07-0j 0.00266994-0j -2.95636e-06-0j 0.00197068-0j -2.68176e-05-0j -3.1951e-12-0j 2.92572e-05-0j -1.25428e-05-0j -0.000173798-0j 
0.000271447-0j 8.365e-08-0j -1.96713e-05-0j 8.19599e-07-0j 8.97826e-07-0j 0.0530451-0j 0.0242559-0j -1.31142e-05-0j -1.96745e-09-0j -0.0157241-0j -0.00160484-0j -2.08679e-09-0j -1.15915e-06-0j 0.00206014-0j -2.11169e-08-0j -0.000157371-0j -2.36094e-08-0j 7.43471e-06-0j 0.00634043-0j -8.69497e-11-0j -1.44577e-08-0j -2.00332e-07-0j 
0.000123728-0j -0.0330293-0j 0.000854235-0j -1.74804e-05-0j 0.00370392-0j -4.87958e-08-0j 8.17963e-07-0j -2.9442e-06-0j -4.12692e-05-0j -5.23188e-07-0j -0.000988564-0j 0.00418954-0j -0.0146045-0j -4.85468e-06-0j 2.28999e-06-0j -3.53304e-05-0j -0.00049523-0j -0.000158567-0j -1.53932e-10-0j 0.001062-0j 1.56785e-06-0j 2.17247e-05-0j 
8.6825e-06-0j 2.42165e-05-0j -0.0117425-0j -0.0464785-0j 0.000259919-0j 6.62336e-07-0j 5.73998e-08-0j 3.99634e-05-0j -2.89603e-06-0j -0.0013911-0j 7.24799e-07-0j 0.000601705-0j 3.5323e-06-0j 6.58956e-05-0j -3.10834e-05-0j 0.000479561-0j -3.47523e-05-0j 0.00215233-0j 2.08942e-09-0j -1.27987e-07-0j 0.00835875-0j -0.000294883-0j 
6.26736e-06-0j 1.74804e-05-0j -0.00847615-0j -0.03355-0j 0.00018762-0j 4.781e-07-0j 4.14333e-08-0j 2.88471e-05-0j -2.09046e-06-0j -0.00100415-0j 5.23188e-07-0j 0.000434334-0j 2.54975e-06-0j 4.75659e-05-0j -2.24372e-05-0j 0.000346166-0j -2.50855e-05-0j 0.00155364-0j 1.50822e-09-0j -9.23862e-08-0j 0.00603366-0j -0.000212858-0j 
-4.62647e-07-0j -3.92569e-06-0j -4.80797e-06-0j -3.84638e-05-0j 0.010393-0j -2.11169e-08-0j -1.52398e-09-0j -3.20531e-06-0j -2.22071e-05-0j -2.83312e-07-0j -2.89154e-08-0j -2.35541e-05-0j -2.83312e-07-0j 0.000866082-0j 0.0587916-0j -3.84638e-05-0j -0.000266485-0j -0.00034891-0j -4.15699e-11-0j -9.81423e-07-0j -0.000163188-0j -0.0022612-0j 
-0.000158344-0j -4.87958e-08-0j 1.1475e-05-0j -4.781e-07-0j -5.23732e-07-0j -0.030943-0j -0.0141493-0j 7.64997e-06-0j 1.14768e-09-0j 0.00917242-0j 0.000936156-0j 1.2173e-09-0j 6.76168e-07-0j -0.00120175-0j 1.23182e-08-0j 9.17996e-05-0j 1.37721e-08-0j -4.33691e-06-0j -0.00369858-0j 5.07207e-11-0j 8.43367e-09-0j 1.1686e-07-0j 
3.73875e-07-0j 3.17244e-06-0j 3.88543e-06-0j 3.10834e-05-0j -0.0083988-0j 1.7065e-08-0j 1.23156e-09-0j 2.59028e-06-0j 1.7946e-05-0j 2.28951e-07-0j 2.33672e-08-0j 1.90346e-05-0j 2.28951e-07-0j -0.0006999-0j -0.0475108-0j 3.10834e-05-0j 0.000215352-0j 0.000281962-0j 3.35936e-11-0j 7.93109e-07-0j 0.000131876-0j 0.00182732-0j 
-0.000219362-0j -6.75994e-08-0j 1.58968e-05-0j -6.62336e-07-0j -7.25553e-07-0j -0.0428669-0j -0.0196018-0j 1.05979e-05-0j 1.58994e-09-0j 0.012707-0j 0.00129691-0j 1.68638e-09-0j 9.36731e-07-0j -0.00166484-0j 1.7065e-08-0j 0.000127175-0j 1.90792e-08-0j -6.00815e-06-0j -0.00512384-0j 7.0266e-11-0j 1.16836e-08-0j 1.61893e-07-0j 
2.69877e-07-0j 2.28999e-06-0j 2.80465e-06-0j 2.24372e-05-0j -0.00606257-0j 1.23182e-08-0j 8.88987e-10-0j 1.86977e-06-0j 1.29541e-05-0j 1.65266e-07-0j 1.68673e-08-0j 1.37399e-05-0j 1.65266e-07-0j -0.000505214-0j -0.0342951-0j 2.24372e-05-0j 0.000155449-0j 0.000203531-0j 2.42491e-11-0j 5.72497e-07-0j 9.51929e-05-0j 0.00131903-0j 
