0.000529194-0j 0.000669383-0j 0.000399143-0j -0.00698229-0j -0.00509915-0j -0.00832687-0j -0.00744778-0j -0.00314026-0j 0.0498881-0j 0.0470349-0j 0.0576058-0j 0.0420693-0j 0.0485775-0j 0.035476-0j 0.0115864-0j 7.39048e-05-0j 6.96781e-05-0j 8.53379e-05-0j 6.2322e-05-0j 7.19632e-05-0j 5.25545e-05-0j 1.71642e-05-0j 
-0.00661024-0j 0.00751445-0j -0.00498576-0j -0.00146884-0j 0.00300076-0j -0.00175169-0j 0.00140806-0j -0.000660604-0j -0.000238358-0j 0.000201964-0j -0.000275232-0j 0.000562284-0j -0.000232096-0j 0.00015233-0j -5.53581e-05-0j -0.000923156-0j 0.000782201-0j -0.00106597-0j 0.00217772-0j -0.000898903-0j 0.000589973-0j -0.000214401-0j 
0.00682703-0j -0.00765819-0j 0.0034998-0j 0.00151701-0j 0.00110787-0j -0.00160438-0j -0.00160778-0j 0.0028198-0j 0.000246175-0j 0.000232096-0j -0.000252085-0j -0.000184097-0j -0.000238172-0j 0.000118981-0j 0.000535506-0j 0.000953431-0j 0.000898903-0j -0.000976322-0j -0.000713005-0j -0.000922437-0j 0.000460813-0j 0.00207401-0j 
-0.0753056-0j -0.0952549-0j -0.0567991-0j -0.0167334-0j -0.0122203-0j -0.0199557-0j -0.0178489-0j -0.00752577-0j -0.00271543-0j -0.00256014-0j -0.00313551-0j -0.00228986-0j -0.0026441-0j -0.00193098-0j -0.000630654-0j -0.0105168-0j -0.00991537-0j -0.0121438-0j -0.00886857-0j -0.0102405-0j -0.00747864-0j -0.00244251-0j 
-0.0199557-0j -0.00142848-0j 0.0275478-0j 0.0624992-0j 0.045643-0j 0.00421799-0j -0.0591205-0j -0.0779636-0j 0.0210039-0j 0.0198027-0j 0.00137251-0j 0.00100234-0j -0.0181373-0j -0.0273365-0j -0.0181322-0j -0.00278692-0j -0.00262754-0j -0.000182113-0j -0.000132997-0j 0.00240656-0j 0.00362717-0j 0.00240588-0j 
0.00256014-0j -0.00291033-0j 0.00193098-0j -0.016605-0j 0.0339232-0j -0.0198027-0j 0.015918-0j -0.00746805-0j 0.0365858-0j -0.0309996-0j 0.0422456-0j -0.0863056-0j 0.0356247-0j -0.0233814-0j 0.00849698-0j 0.000357537-0j -0.000302945-0j 0.000412848-0j -0.000843426-0j 0.000348144-0j -0.000228496-0j 8.30371e-05-0j 
-0.0026441-0j 0.00296601-0j -0.00135547-0j 0.0171496-0j 0.0125243-0j -0.0181373-0j -0.0181757-0j 0.0318775-0j -0.0377857-0j -0.0356247-0j 0.0386929-0j 0.0282573-0j 0.0365573-0j -0.0182626-0j -0.0821955-0j -0.000369262-0j -0.000348144-0j 0.000378128-0j 0.000276146-0j 0.000357258-0j -0.000178472-0j -0.000803259-0j 
-0.00991537-0j 0.0112717-0j -0.00747864-0j -0.00220326-0j 0.00450114-0j -0.00262754-0j 0.0021121-0j -0.000990906-0j -0.000357537-0j 0.000302945-0j -0.000412848-0j 0.000843426-0j -0.000348144-0j 0.000228496-0j -8.30371e-05-0j 0.0406826-0j -0.0344709-0j 0.0469762-0j -0.09597-0j 0.0396138-0j -0.0259996-0j 0.00944845-0j 
0.0102405-0j -0.0114873-0j 0.0052497-0j 0.00227551-0j 0.0016618-0j -0.00240656-0j -0.00241167-0j 0.0042297-0j 0.000369262-0j 0.000348144-0j -0.000378128-0j -0.000276146-0j -0.000357258-0j 0.000178472-0j 0.000803259-0j -0.0420168-0j -0.0396138-0j 0.0430256-0j 0.0314215-0j 0.0406509-0j -0.0203076-0j -0.0913995-0j 
0.0691287-0j 0.0049484-0j -0.0954282-0j 0.0153608-0j 0.011218-0j 0.00103668-0j -0.0145304-0j -0.0191616-0j 0.0024927-0j 0.00235014-0j 0.000162887-0j 0.000118956-0j -0.0021525-0j -0.00324424-0j -0.00215189-0j 0.00965418-0j 0.00910205-0j 0.000630859-0j 0.000460714-0j -0.00833659-0j -0.0125649-0j -0.00833423-0j 
-0.0125421-0j 0.0142577-0j -0.00945981-0j 0.0392804-0j -0.0802478-0j 0.0468446-0j -0.0376552-0j 0.0176662-0j 0.0132008-0j -0.0111852-0j 0.015243-0j -0.0311407-0j 0.012854-0j -0.00843642-0j 0.00306586-0j -0.00175156-0j 0.00148412-0j -0.00202253-0j 0.00413193-0j -0.00170555-0j 0.0011194-0j -0.000406797-0j 
0.0129534-0j -0.0145304-0j 0.0066404-0j -0.0405686-0j -0.0296271-0j 0.0429051-0j 0.042996-0j -0.0754085-0j -0.0136338-0j -0.012854-0j 0.0139611-0j 0.0101957-0j 0.0131906-0j -0.00658947-0j -0.0296576-0j 0.00180901-0j 0.00170555-0j -0.00185244-0j -0.00135283-0j -0.0017502-0j 0.000874331-0j 0.00393515-0j 
0.0443429-0j -0.0504085-0j 0.0334455-0j 0.00985326-0j -0.0201297-0j 0.0117507-0j -0.00944558-0j 0.00443147-0j 0.00159895-0j -0.00135481-0j 0.00184631-0j -0.00377192-0j 0.00155695-0j -0.00102186-0j 0.000371353-0j 0.00619272-0j -0.00524717-0j 0.00715073-0j -0.0146086-0j 0.00603003-0j -0.00395766-0j 0.00143825-0j 
-0.0457971-0j 0.0513727-0j -0.0234774-0j -0.0101764-0j -0.00743179-0j 0.0107625-0j 0.0107853-0j -0.0189158-0j -0.00165139-0j -0.00155695-0j 0.00169104-0j 0.00123496-0j 0.00159771-0j -0.000798151-0j -0.00359229-0j -0.00639581-0j -0.00603003-0j 0.00654937-0j 0.00478298-0j 0.0061879-0j -0.00309123-0j -0.0139129-0j 
