-0.00571304-0.00119008j -0.0123739+0.00579336j -0.0102457+0.00650356j -0.00231753-0.00210341j -0.00209219-0.00713213j 0.00434653-0.00421952j -0.00625049+0.00628322j -0.00259668+0.0108025j -0.00645687-0.00500245j -0.00574578+0.0103213j 0.00107548+0.0166683j 0.0173438-0.00286784j -0.00359258-0.00476062j 0.0046056+0.00500635j 0.0165443-0.00465998j -0.00380815+0.00181077j -0.00860238+0.00443795j 0.014464-8.68049e-05j -0.015286-0.00839046j -0.0388653+0.0086986j 0.00534493+0.020797j 0.026418-0.0106309j 0.0242065-0.00334106j -0.00595431+0.00140241j -0.00294655+0.0401474j -0.00684609+0.000546506j -0.00912127+0.0113801j 0.00505521-0.00880895j -0.0123619-0.001197j -0.00790137+0.00677358j 0.0137081+0.00188729j -0.000571492-0.00206736j 0.00884722+0.00985804j 0.00668601-0.00728012j -0.0119852-0.0104662j -0.000612397-0.00864963j 0.0136475+0.00668482j 0.000836681+0.0023923j -0.0132397+0.00323829j 0.00260882-0.00696425j 0.00218438-0.00797679j -0.000122239-0.000254828j 0.00220521-0.00812377j -0.00585528-0.0105995j -0.00182742-0.00345829j 0.00264516+0.00399273j 0.00197129-0.00112867j 0.0130306-0.0232472j 0.006628+0.00387196j 0.004977-0.0154516j 0.00670437-0.00865232j -0.00433922+0.0113997j -0.00269702-0.00150961j -0.0129648-0.000101818j -0.00143252+0.00744313j 0.000968103-0.00440784j -0.00866156-0.00732977j -0.0186075+0.0117755j -0.00718581+0.0228313j -0.00512617+0.0103451j -0.0212964+0.013067j -0.0285592-0.0188969j 0.0760504+0.0207495j 0.0260013-0.0154909j 0.0317765-0.022159j 0.0146594-0.00830772j -0.0314246+0.0126293j 0.0100995+0.000862046j 0.0145038-0.00507939j -0.0353882+0.0269732j 0.00365531-0.00679693j -0.0051624-0.00510786j -0.00103665+0.000763943j -0.00163686-0.00426576j 0.0059815-0.00186537j 0.0112883+0.00853145j 0.000966519-0.00423434j 0.0177841+0.00617874j 0.0176382+0.00166857j -0.00485548+0.000587255j -0.00202558+0.0106848j -0.00927186+0.0101279j -0.00103418-0.00768881j -0.00399556+0.0070389j -0.00689347-0.00136963j 0.00890644-0.0183443j 0.000103283-0.00630001j -0.0209052+0.00675498j -0.00125851+0.053509j 0.00800802-0.0104054j -0.00851453+0.0407678j -0.05699+0.0045903j 
-0.00137292+0.00643185j -0.00778722+0.00281941j 0.00958379-0.0121242j 0.000505701-0.012054j -0.00295865-0.0224129j 0.0120859-0.000527394j 0.00210504-0.00612048j 0.0106096-0.0120306j -0.0102996-0.00987289j -0.0071487-0.00781052j 0.00664355-0.00459142j 0.00903499-0.00342083j -0.00156248+0.00998728j 0.0128899+0.00638248j 0.00502851-0.0131986j -0.00346677-0.0173951j -0.00496859-0.014437j 0.00458173-0.014675j -0.00861322+0.010131j -0.0111361+0.00712061j -0.0112371+0.00337866j -0.00812808-0.0012214j 0.0155197-0.00523317j 0.0105137-0.0116742j 0.00836736-0.0154335j -0.00201642+0.0109905j 0.0127221-0.014418j -0.00628753-0.00716822j -0.000799198+0.00449146j 0.00217567+0.00565128j -0.0038433+0.000791985j 0.0046085+0.000161423j 0.0208037-0.0030041j 0.0015365-0.00106505j -0.0115329+0.00974758j -0.00830394+0.00457132j 0.00757807-0.0023724j 0.002791+0.00342314j -0.00279371+0.00216927j -0.00610392+0.0186067j -0.0115117+0.0168928j 0.0016845-0.0108083j -0.0101623-0.0416014j -0.00668693+0.00212292j 0.000539941-0.0156951j 0.012904+0.00234027j -0.00709124-0.000460731j -0.00201544-0.0164246j 0.00416748-0.0159427j 0.00967282-0.0206264j 0.0212934+0.0281995j -0.00325793-0.0321439j 0.0103993-0.000433775j -9.65426e-05-0.0053721j 0.00544756-0.0174663j -0.0105722+0.0139908j 0.00484271+0.00884805j -0.00632279-0.00886146j -0.00351315-0.0314672j 0.0026147+0.00480744j -0.00202732-0.0121111j -0.0106732-0.0274837j 0.0133376+0.00957061j 0.00768208+0.0158083j 0.00845007+0.0177151j 0.00595274+0.0127667j -0.00327852-0.00832504j -0.000963483+0.0163774j 0.00234742+0.00479665j -0.00217247-0.0205641j 0.00239759+0.00807899j -0.000221461+0.00350359j -0.00460892-0.00444817j 0.00201901-0.00637052j -0.00254357+0.00216597j -0.00401755+0.00930616j 0.00631188-0.00256133j -0.0217487+0.00709824j -0.0112824+0.00900734j 0.0100144+0.000331255j -0.0038494-0.00947127j 0.0102627-0.00374588j -0.00167601-0.00325943j -0.000167951+0.0103839j 0.000306887+0.00183862j -0.00312847+0.00963297j -0.00399501-0.00189605j -0.0100415-0.00240316j 0.0123065+0.0124041j -0.0145129-0.0123202j 0.0143562-0.0132764j -0.0152396-0.000367208j 
-0.000227151+0.000209453j -0.00216332-0.00137254j -0.00913721+0.000978366j -0.000171566+0.00678628j 0.00169455+0.00666974j -0.00362303+0.00672261j -0.00461507-8.74598e-05j -0.00563956+0.0123733j 0.0015814+0.00286023j -0.00408824-0.00919579j -0.0114818+0.00407217j 0.00605504+0.00387505j -0.000756767-0.00309173j -0.0037058-0.0220802j 0.00883195-0.0041725j -0.000562767-0.0276765j -0.00684787+0.0232299j -0.00593377+0.00915776j -0.00563612+0.00164508j -0.0204498-0.0176771j -0.00119956-0.009494j 0.00262988+0.000545828j 0.00695405-0.000288006j -0.00560699+0.00909928j -0.0166296-0.0252866j -0.0118677-0.0186583j -0.00864919+0.0023152j 0.00880001+0.000461033j -0.00877215+0.00512734j -0.0044724-0.00434531j 0.00594835-0.00288352j 0.00169106-0.0142567j -0.00983661+0.000997238j 0.000571585+0.00718736j 0.00465991+0.0172261j 7.02907e-05-0.00176949j -0.000467492+0.0103686j -0.00134074-0.00817044j -0.00552734+0.00220903j 0.00986671+0.0209973j 0.00581852+0.0193166j -0.00255925-0.000379322j 0.00557389-0.0788011j 0.00615419+0.00201358j 0.00181745-0.0239171j -0.0119195+0.00256421j 0.00875537-0.0108787j 0.0082303+0.003597j 0.00371512-0.00867277j 0.005401-0.0339452j 0.00105336-0.0122119j 0.00765082-0.0176132j -0.00632779-0.0154914j -0.00361402+0.0171029j -0.00612692+0.00452949j 0.0115539+0.0204774j -0.00978737-0.00767028j 0.0108121-0.00234735j -0.00670568+0.00714191j -0.00270017+0.00235217j 0.00539467-0.00488333j 0.00693003+0.00737632j 0.0101182-0.0112512j 0.000480698-0.00637977j -0.00122263-0.0104446j -0.000701511-0.0121256j -0.0011238+0.0125258j -0.00233038+0.014623j -0.00106821-0.00258573j -0.00327229+0.00438142j -0.00266281+0.00980552j 1.34087e-05+0.01125j -0.00247869-0.00648238j 0.000870901-0.00808167j 0.00113376-0.00329805j 0.00297399-0.00196342j -0.00134096-0.0100828j 0.0100697-0.00207612j 0.00375948-0.00624864j -0.00615505-0.00136888j 0.00232723-0.011131j -0.0104531+0.00327267j 0.00165834-0.00213275j -0.00705539+0.0173202j 0.00189191-0.00654959j 0.0045073-0.0143123j -0.00123287+0.00408053j 0.00355023+0.00612481j -0.0159726+0.00282035j 0.000344023+0.00388757j -0.00798572+0.007276j -0.00672856+0.000780804j 
0.00464227+0.000880797j 0.000508564+0.00516628j -0.00345596+0.0105005j 0.000946618+0.0152686j 0.00331372+0.00178917j 0.00150438-0.0131677j -0.000154768+0.00982418j -0.00511335-0.00565443j 0.000218447-0.0174086j -0.00411657+0.0209504j -0.00726986-0.00933312j -0.00134616-0.0292462j 0.00258975-0.0219463j 0.0063936+0.00504725j -0.000272219-0.00777504j 0.00356737-0.0322516j -0.00333494-0.0213934j 0.0022424+0.00748787j 0.003453+0.00902298j 0.00086368+0.036758j -0.00692331+0.00865064j 0.00587045-0.00764712j -0.00071718+0.0128902j -0.00355455-0.014722j -0.0155376+0.0032443j -0.0070605+0.00834913j -0.00545489+0.011072j -0.00348966-0.000395864j -0.000154959+0.0120311j -0.000864311+0.000481472j 0.00301038+0.00248809j -0.000306784-0.0042632j -0.00835835-0.00258289j -5.86991e-05+0.0036678j 0.00226432+0.0091042j 0.000931126-0.0104318j -0.000409614-0.000751672j -0.0231944-0.00347156j -0.00765605+0.00347389j 0.00546373-0.00295955j -0.0248417+0.0139652j -0.00535313+0.00341985j 0.00356417-0.0136095j -0.0183735-0.000318578j -0.00471489+0.00942295j -0.00812425-0.00589997j -0.00269311-0.0121889j 0.0158499-0.00236502j -0.0203055+0.00909462j 0.000597829-0.00544858j -0.00827644-0.0130748j -0.00732733+0.00532458j 0.00548762+0.00148544j -0.00744385+0.000282596j -0.0145005+0.0105267j -0.00124463-0.0171775j -0.00101915+0.00468153j 0.00771829-0.000126001j -0.00473069+0.0138282j -0.000779035+0.000504587j -0.00406069+0.0112854j 0.00236232+0.00301421j -0.00926398-0.0158582j -0.00205991-0.00667619j -0.00401253-0.00500006j -0.00773506-0.00746168j -0.000139562+0.00518424j 0.000386724-0.000513314j -0.00150982+0.0142284j 0.0027196+0.0123055j -0.000556027+0.00650807j 0.00158973+0.0121692j 0.00163465+0.00147499j 0.000110532+0.00141678j 0.00307123-0.00599227j -0.00396298-0.00642566j -0.000131329+0.0025317j 0.000808228-0.00164722j -0.0043147-0.00146911j -0.000183288-0.0201628j 0.00091302+0.00112865j 0.000740708+0.00510337j 0.00541554-0.0027396j -0.00336349+0.00675855j -0.00123037-0.00434713j 0.00668696-0.00459209j 0.00051786+0.000492235j 0.00268559+0.00274382j -0.0149253-0.00125137j 0.00445752+0.0045383j -0.00878318+6.11473e-05j 0.0055228+0.00356371j 
-0.00369324+0.00386064j -0.0059945+0.000739343j 0.00122956+0.00386045j 0.00419195-0.0167194j -0.00187358+0.00286726j -0.00345764+0.00491949j -0.00626394+0.000982712j 0.00105945-0.00374204j -0.00943196+0.00935703j 0.00515519-0.00560383j 0.0086936+0.0117393j -0.000739867+0.012005j -0.00222892+0.00649215j 0.00236697-0.00505446j 0.00863335+0.00557973j 0.00300756+0.0181276j -0.0121174+0.00727857j -0.00151925+0.00162588j -0.00997998-0.00957256j -0.0174884-0.015119j 0.00622368-0.0175636j 0.00907177+0.00611526j 0.00495442-0.0144156j -0.0110959+0.00100986j -0.0145507-0.0162836j 0.00609642-0.00495201j 9.77688e-05-0.00976366j -0.0060903+0.0081339j -0.00933707-0.0111662j -0.000299361+0.0108877j 0.0021705-0.0160454j -0.00429201+0.0122234j 0.0036423+0.00335952j -0.0123927-0.0134817j 0.00896829-0.00459225j -0.000625081+0.0173048j 0.00455975+0.0047663j -0.0362522+0.00852112j 0.00218723+0.0128321j 0.0106502+0.018351j -0.00301339-0.00740352j -0.00182795-0.00461758j 0.0164259+0.020137j -0.0222354+0.00815768j -0.00115768+0.0089639j -0.00748766-0.00302866j -0.00885545-0.0026802j 0.00555795+0.0149398j -0.0156501-0.000428634j -0.0285977+0.0154175j 0.00742746+0.00929312j 0.00324266+0.000118612j -0.00048712+0.000536295j -0.00968691+0.00257634j 0.00770795-0.0212432j -0.0110553-0.00455645j -0.0150862-0.00389292j -0.00486885-0.000565368j -0.00197601-0.0185718j -0.000209791+0.00437889j -0.000995124-0.00602962j -0.010838-0.0109069j 0.0160751-0.00339985j 0.0105714+0.00104923j 0.00776305+0.00974562j 0.00194676-0.000595022j -0.0053462-0.00589273j 0.00221955-0.00723525j 0.00289492+0.0366484j -0.00826804-0.0045749j 0.00585124+0.00826884j -3.26258e-05+0.00905011j -0.00209178-0.00249736j 0.000601038+0.00507083j -0.0010563-0.0194617j 0.00103748+0.00261086j 0.00526961+0.00818663j 0.00562773+0.000977746j 0.00453916-0.00285211j 0.000251714-0.0257523j -0.00231012+0.00793833j -8.65912e-05+0.0145393j 0.00346955+0.00253775j 0.00558222+0.00496735j -0.00115111+0.00705713j -0.00157278-0.00151979j -0.00719252+0.00552222j -0.00365137-0.00336074j 0.000532497+0.00170251j -0.00182591-0.00892092j 0.0041736-0.00457812j -0.0223495+0.00134968j 
-0.00556667+0.0116652j -0.0101031+0.00369348j -0.00434445+0.00908826j 0.00062329-0.00910644j 0.000322705+0.00439337j 0.00064861-0.0110379j -5.65282e-05+0.013475j 0.00369298-0.00892902j -0.0113023+0.0013462j -0.00412761+0.00700749j 0.0116752+0.0146361j 0.00798834+0.000745165j -0.00132092-0.0204386j 0.01523-0.00893831j 0.0133588-0.00260882j -0.0132447-0.025011j -0.0148769+0.000395713j 0.00809536+0.0267174j -0.017261-0.00666551j -0.0308365-0.00327104j -0.00288968-0.0239264j 0.0182895+0.00764218j 0.0156521+0.00275339j -0.00615269-0.0197785j -0.0121778-0.0273672j -4.42107e-05-0.00204693j -0.00578067-0.00218863j 0.000157304-0.00854998j -0.00538216-0.031231j -0.00634542+0.00714621j -0.00135923+0.00354278j 0.00530482+0.0223417j 0.00394965-0.02342j 0.00255407+0.0106302j -0.00140417-0.00110649j 0.00105348-0.00706865j 0.0093814+0.00280974j 0.0221548-0.00042788j -0.00362674+0.0187082j -0.00510238-0.00424289j 0.00633667-0.00741634j -0.00709225-0.00626915j -0.00497683+0.0358244j 0.00516781+0.0107555j 0.00215962+0.0101325j -0.00467997-0.00822394j 0.00573012-0.00859089j -0.00982581+0.0095707j 0.0183676+0.00522291j -0.000729617+0.0252005j -0.00251728+0.00116042j -0.00130883+0.021504j -0.00522164+0.00425107j -0.00775571+0.0147027j -0.00771084-0.013873j 0.000790513-0.0174434j -0.00106266-0.00672641j -0.00534103+0.00297062j 0.000421516-0.0239539j 0.00151605+0.0060278j 0.00023362-0.0145868j -0.0100852-0.00140319j 0.023487-0.000923048j 0.00248552-0.0094843j 0.0060927+0.0162185j 0.00393951+0.00846888j -0.00831927-0.00551417j 0.00264623-0.00711034j 0.00310359-0.0168651j -0.00860143-0.0149594j 0.000230094+0.00071887j -0.00241482-0.0123105j -0.00354783-0.00531063j -0.000129743+0.00645823j -0.000438729-0.0012979j 0.0049244-0.00851023j 0.00410167-0.00557362j 0.0113145+0.00390347j 0.00708205+0.00444142j -0.00295336+0.0134357j 7.76111e-05+0.0073647j -0.0106677+0.00392783j 0.00491714-0.00766438j 0.00748398+0.00506118j -0.00764257+0.00901656j -0.0005996-0.00276662j -0.00882889+0.000549293j -0.00432114-0.00275644j -0.0013538+0.00140167j 0.00489514-0.00918774j 0.00926676-0.00228033j -0.0308262+0.00385932j 
-0.00234614+0.00254801j -0.00143261+0.000665609j 0.000758355+0.00572442j 0.00179391-0.00647892j -0.00336875+0.00922415j -0.000617773-0.00382667j -0.00094791-0.00233006j 0.0043479-0.00887813j -0.00452201+0.00108885j 0.00482499+0.00806892j 0.000758308-0.000548084j 0.00290309+0.00125967j -0.001615-0.00445224j -0.00108219+0.0144423j 0.00623998+0.0212039j 0.00041029+0.0576674j -0.00261745-0.0135614j 0.00228625+0.00665953j -0.0066969-0.0116398j -0.00147498+0.00622206j 0.00715699-0.00854851j 0.00162859-0.0110205j 0.00381821+0.0108208j 0.00113029-0.00911057j -0.00275025-0.00059523j 0.0038151+0.00413087j 0.00210449-0.00952191j -0.000189889-0.000625083j -0.00281849-0.00899236j -0.00127273-0.0162289j -0.000932793+0.0106615j 0.00273247+0.0189245j 0.00526154-0.00957817j -0.001575+0.0256178j 0.00309715+0.0157657j -0.00424051-0.0398521j 0.00226544+0.00635856j 0.00293365-0.0180429j 0.00500457+0.00990438j 0.00143161+0.00305685j 0.00115456+0.0232016j 0.000433757+0.000174063j 0.00137794-0.065378j -0.00387823+0.02111j 0.00111021-0.00835456j 0.000270275-0.0234571j 0.00125297-0.0418881j -0.00444234+0.0139135j 0.00750179-0.000560062j -0.00307765+0.00557474j 0.000869964-0.00355563j 0.00308101+0.00243342j -0.00139534-0.0039827j -0.00262851-0.00422076j -0.00645738+0.000880511j -0.00528696-0.0126157j -0.00230476-0.00146586j -0.0051809+0.00399881j 0.00158147-0.00927883j 0.0013874-0.000317366j 0.00136871-0.00158205j -0.00593987-0.000102917j 0.00304341+0.00398077j -0.000137627-0.00478139j 0.00323568+0.00773327j 0.00242401+0.00175601j -0.00213216+0.00346112j 0.00103256+0.00806392j 0.00162041-0.00536479j -0.0027133-0.00645891j 0.00193385+0.0023085j -0.00335475+0.00544884j 0.00127384-0.00654128j -0.00242887-0.00461753j -0.000680278-0.00445968j 0.000808909+0.00684578j 0.00084692-0.00897001j 0.00196952-0.000118583j 0.00411452-0.00310464j -0.00090863-0.000822737j -0.00044614-0.00487576j -0.00176861+0.00204694j 0.00249951-0.00148821j 0.00394158+0.00374416j -0.00165313+0.0031694j -0.000984163+0.00229069j -0.00551599+0.00153931j -0.00138758-0.00162691j 0.00304401-0.00191027j 0.00292253-0.00327491j 0.00402067-0.00204951j -0.00701509+0.00139981j 
-0.00808625-0.00254871j 0.00472119-0.00333047j 0.00346717+0.00341711j -0.00094764+0.00054875j -0.000641866-0.00371122j 0.00664578+0.00673123j 0.0115429+0.010756j 0.000689212-0.00461765j -0.00304626-0.00870123j -0.0100789-0.0110044j 0.00426675-0.00230143j -0.00977592+0.00888384j -0.0113661-0.0209623j 0.0133349-0.0121933j -0.00628496-0.00166432j -0.000761511+0.00414703j 0.00779302-0.00693922j 0.00454961+0.0298591j 0.00830466-0.00983838j 0.00237665-0.00772589j 0.000321296+0.00608105j -0.0192545+0.00861108j 0.0240903+0.0219515j 0.018567-0.0134316j 0.0597927+0.00873672j 0.00153914-0.00978569j 0.0100814-0.0147443j -0.00984099+0.00186225j 0.00437801-0.0185865j 0.00487951-0.0214754j 0.00187274+0.017756j -0.000627936-0.017462j 0.0126108-0.0245892j -0.00325562+0.0144352j -0.00479305-0.00661621j -0.00321106-0.0210399j 0.0014618-0.0147939j -0.00949515-0.00182711j 0.00208295-0.0237443j 0.00433981-0.0171968j 0.0020768-0.00612787j 0.00659169-0.0110205j 0.00240376-0.00482554j -0.00259517-0.00621343j -0.00303519-0.036968j -0.00664582+0.0196501j 0.00157671+0.0289974j -0.00199316+0.00104037j -0.0177919-0.0092304j -0.00909496-0.00530944j 0.00313039+0.00302927j -0.00228802-0.0240411j -0.00717058+0.0144541j 0.00662962-0.0182336j 0.0145559+0.00827417j -0.0144665+0.057785j 0.0168598-0.015057j -0.0025257+0.0187964j 0.0125476-0.000835386j 0.00850526-0.0037061j 0.00120568+0.00492942j 0.0103-0.0132338j 0.0131593+0.045573j -0.00210012+0.0198908j -0.0129491+0.00654647j -0.00519718+0.00278779j 0.00311515+0.00501006j 0.00109615+0.00537699j -0.000857491+0.00242921j 0.0103329+0.0101101j -0.00857944-0.00318275j -0.0101654-0.000676473j -0.00116086-0.00442848j -0.00434677-0.00866631j -0.00521267+0.00261801j 0.0165118+0.0125215j 0.00139007-0.00720859j 0.00515552-0.00183204j 0.00929817-4.14702e-05j 0.000591567-0.00960112j 0.00700986-0.00134761j -0.00310584+0.00191296j -0.00128852+9.54257e-05j 0.00411513-0.0171708j 0.00498351-0.00242175j -0.00361774-0.00100462j 0.0147747+0.00552532j -0.00663626-0.00546579j 0.0297718+0.00222466j 0.00573062-0.00280208j 0.030489+0.00880831j 0.0041017-0.00341148j 
0.004361-0.00299206j 0.00364427+0.00206037j 0.0110073+0.000229844j 0.000911047-0.0133193j 0.00451073+0.00252833j -0.006158+0.00663104j 0.00211845-0.00319865j 0.000427919+0.0213115j 0.00181134-0.00556129j 0.00719869-0.00692119j -0.00607001+0.0091125j -0.0029528-0.000380077j 0.00185191+0.0208486j -0.0150992-0.0251502j -0.0158372+0.00807251j 0.00665449-0.0283288j 0.00538776+0.0221144j -0.0110433-0.00769285j 0.00916766-8.46638e-05j 0.0254334-0.00373245j 0.00378683-0.000167506j -0.0100381-0.01517j -0.0127233+0.00453266j 0.00128983+0.000670822j -0.00880546+0.00538847j 0.0124403+0.00519129j 0.00143655+0.00526913j -0.00983148-0.00354393j 0.00413407+0.00171048j 0.00415285-0.016009j -0.017412+0.0203603j 0.0042308+0.0252789j -0.00193294+0.00495383j 0.000247465+0.02218j 0.00994317+0.0190128j -0.00223194-0.0534743j -0.00682669+0.00401039j -0.00381493-0.0199265j 0.00893435+0.00202231j 0.00800472-0.0462313j 0.00413896+0.0119165j 0.00263441-0.0137364j 0.00385808+0.00412139j 0.000680893-0.00163648j 0.00362739-0.0419606j -0.00237768+0.00213254j -0.00345053-0.00644269j -0.0030279-0.0193646j 0.00116505+0.00580224j -0.00764526-0.00275889j 0.00663411+0.00292917j -0.00171158+0.00657714j 0.00318263+0.00994054j -0.000311757-0.0217377j 0.00048958+0.00755944j -0.0115572-0.0239931j 0.00375494+0.00330134j -0.000156893-0.0160934j -0.00450244+0.019249j 0.00355271-0.00226475j 0.00140179+0.0128695j -0.00452669-0.0073381j -0.0238525+0.0138293j 0.000896421-0.00052657j 0.00912442-0.00502356j 0.00738678-0.0133959j -0.000830033+0.00823679j 0.0016105+0.013096j 0.000494815+0.00725638j -0.00373127+0.00663069j 0.00120072-0.00136609j 0.005932+0.00137418j 0.0040892-0.00169187j 0.00326649-0.0104638j 0.00299789+0.00775855j 0.00105112+0.00834406j -0.00273737-0.00739076j -0.00632772-0.00215913j -0.000832135-0.00312982j 0.00232276-0.00875095j -0.000740136-0.00457278j 0.00601988-0.00438967j 0.000141359+0.00782316j -0.000790208+0.00211248j -0.000464893+0.000840863j 0.00149732+0.00693749j -0.00247103+0.00105808j -0.00353013+0.00169415j 0.0108374-0.000671251j 0.0122385-0.00592662j -0.00773589-0.000151347j 0.0182236-0.00171399j 
-0.00511255+0.0070589j -0.00917242-0.00806869j -0.00854575-0.014991j -0.00613824+0.00889746j 0.000342918-0.00271793j 0.0030245-0.0121794j -0.00807607-0.0124187j 0.00109883-0.00722646j -0.00213744+0.0140613j 0.00156218-0.00431023j 0.00630464+0.00891291j 0.00475969-0.00335045j -0.00126694+0.00594363j 0.00910171-0.0058293j 0.0246263-0.014734j -0.00595485+0.00821836j -0.00622058+0.00588407j 0.00537772-0.0114793j -0.00964087-0.00292339j -0.0351033+0.0109158j -0.00369693-0.0192524j 0.00734009+0.0122378j 0.00856988-0.0165703j -0.00739002+0.00551392j 0.00238544-0.0642002j -0.0123779+0.00183877j 0.00147554-0.00797571j 0.0139533+0.00764789j -0.00333227-0.000499892j 0.0021689-0.0206249j 0.0203356-0.00277266j -0.0074821+0.0336503j 0.00832442-0.0268072j -0.00265215+0.0299513j -0.00669031+0.0242965j -0.00982774-0.013018j 0.0132024-0.0160669j -0.000479684-0.0158457j -0.0132133+0.0116497j -0.000677184-0.0125727j -0.00354878+0.0275862j -0.000598347-0.0154183j -0.0016987+0.025782j -0.0101168+0.0151603j -0.000929939-0.0265757j 0.00331206-0.00197523j -0.00475847+0.0118739j 0.0030539+0.0222177j -0.0032181-0.0174833j 0.00739582+0.0225416j -0.00180042-0.00453779j 0.014159+0.000597273j -0.00149356-0.00637936j 0.00549376+0.00552072j 0.00525643-0.00894551j 0.00874326+0.0234309j -0.0218701+0.0126657j -0.012599+0.0143246j 0.0063419-0.0271388j -0.00729738-0.0139264j -0.00758879-0.0163209j 0.00557291+0.00134904j 0.0211633-0.0481423j -3.86921e-05-0.00342223j 5.43975e-05+0.03257j -0.00479689+0.00384004j -0.00446607-0.00132516j -0.00441926+0.00214085j -0.0020957+0.00954206j -0.000858728-0.0289411j 0.00976379+0.0135969j -0.00628776+0.0111012j -0.0140338-0.0105342j 0.00361487-0.00206916j -0.00852604+0.000473918j -0.0118487-0.00704383j 0.00628395-0.00119825j -0.00171758-0.0079644j -0.00302643-0.00439787j 0.00112615+0.00269426j -0.00194267+0.00174478j -0.00122505+0.00274012j -0.00495093-0.00340713j 0.0115329+0.0115563j 0.000682678-0.00760006j -0.0098004-0.0161466j 0.00932249-0.00642017j 0.0266169-0.00119464j -0.0191329-0.0117295j -0.0444055+0.0108848j 0.000147022-0.0148494j -0.0341454-0.00407568j 
0.00849566+0.00689823j -0.00312608+0.0215293j 0.00168106+0.0126804j 0.0109016-0.00331842j 0.00565745-0.00680414j 0.00919726+0.0132566j 0.00457+0.0111203j -0.00290257-0.00282106j -0.009481+0.0171164j -0.00217955-0.00324071j -0.00808096-0.00573651j -0.001407-0.00888866j 0.00569089+0.00315937j -0.00151161-0.0142549j 0.00450974-0.0324434j -0.0023738+0.0139997j -0.00183608+0.0125375j -0.00154173-0.0219962j 0.00117019+0.0199899j -0.00979805+0.0567884j -0.00888249-0.00238468j -0.000633582-0.0521634j -0.00619691-0.0111817j 0.00232349+0.0329219j 0.000805584+0.048165j 0.0130057+0.0146396j 0.00258492+0.00602185j -0.00328195-0.009116j 0.000384335+0.0206196j -0.00918207+0.0183942j 0.00631577-0.0128701j -0.00348203+0.0156973j 0.00420139+0.0015454j -0.00125429-0.00207709j 0.00345173+0.0177252j -0.000920285-0.00983894j 0.0057236-0.0164609j 0.00161021-0.00514355j -0.00480657+0.0242256j -0.00108969-0.0184461j -0.00470329-0.00370167j 0.00379988-0.00870832j 0.00175479+0.00412962j 0.00851592-0.00498111j -0.00135306-0.0102295j -0.00283039+0.000572679j -0.00134248-0.00512787j -0.00155267-0.0275067j 0.000134211-0.0107702j 0.00365518+0.00131417j 0.014646+0.0151135j -0.00231164-0.00146792j -0.000373859+0.00548232j -0.0100263+0.0113557j 0.00283806-0.00134149j 0.000302446-0.00719461j -0.00185419+0.0124018j -0.00308193+0.019181j -0.0105529+0.0062567j -0.00805417+0.0250236j 0.0141801+0.0168401j 0.00503583+0.0198406j -0.00243749-0.0439703j 0.00614832-0.017096j -0.00322375-0.0283461j -0.00194428-0.0177119j -0.000334108+0.0302825j 0.00124908-0.00222346j 0.00418424-0.0102463j -0.0108622+0.0427073j -0.00308907-0.0101952j 0.00937455+0.00127802j 0.0112147+0.00788144j 0.000341984-0.002324j 0.00764976+0.00356441j -0.00777134+0.00267872j -0.00803613-0.00209344j -0.0122068-0.00904089j -0.0116708-0.00674603j -0.00419365-0.00283624j -0.00876326-0.00817483j -0.00461481+0.00654609j 0.00662626+0.00668161j -0.0203071-0.00483318j 0.00533469-0.000816943j 0.0243944+0.0195963j 0.00230946-0.0183226j -0.0222984+0.019455j -0.0471718+0.00912902j 0.0188912+0.0180633j -0.037622+0.00135227j 0.000465677+0.0341106j 
