0.168562-0.0816108j 0.308562+0.0569917j -0.41704+0.0677984j 0.75081-0.18147j -0.00286306-0.910457j 0.483335+0.0403717j 1.14313-0.23007j -0.271827+0.509319j 0.720018+0.348979j -0.126323-0.323334j 0.175742+0.0395891j 0.315534-0.619571j 0.40899-0.743213j -0.165428-0.9343j 0.427457-1.02399j -0.90613-0.060638j -0.043208+0.121316j -0.558941-0.0108567j -0.317176+0.341573j 1.47174+0.0460466j 1.4163+0.0654638j -0.0139451+0.657867j -0.349281+0.434333j 0.737149-0.572919j -0.27154+0.174303j -0.647672-0.970226j -0.842592-1.42929j 0.122649-0.772869j 0.055327-0.982086j -0.189202-0.383927j 0.210173-0.391041j 0.019468-0.879493j -1.13025-0.169967j -0.509694-0.901674j 0.123733-1.32924j 0.723684+0.989929j -0.0214289-0.992122j -0.210163+0.120607j -0.374375+0.220749j -0.38068-0.429058j 0.230302-0.699671j -0.948201-0.190832j -0.658551+0.139647j 0.931756-0.394685j -0.257518+0.548387j 0.917262+0.377916j 0.507968+0.849506j 0.624683+0.490157j -0.00997271+0.635327j -0.647101+0.0874588j 0.461632-0.218782j -0.823659-0.605596j 0.45076+0.310463j 0.316883-0.536761j 0.615719-0.245372j -0.688579+0.132481j 0.394118-0.00487369j -0.656889+0.934181j 0.526151+0.508181j 0.433796-0.382271j 0.83125-0.35919j 0.0350789-0.0337405j -0.228364-0.505272j 0.743655-0.214098j 0.00714747-0.13317j -0.217614+0.187203j 0.0556758-0.355417j 0.518984+0.640889j 1.3189-1.14225j 1.4369+1.13916j 
-0.107376-0.283803j -0.104458-0.499063j 1.30198+0.905485j -0.576338+0.0621595j -0.0718571-0.328212j 1.65881+0.655958j -0.242262-0.118851j -1.64233-0.2529j 2.1388+1.22245j -3.29966-1.18535j 0.43354+0.17735j 5.12475+0.960411j -2.0424-1.36507j -0.384213+0.0545185j 0.530542+0.0418717j 5.62608+1.62994j -4.22623-2.25881j 4.76355+1.89215j 4.74384+2.04824j -0.638367+0.77881j 1.53606+1.07081j 6.52503+3.76645j 5.73708+1.79728j 2.17089+2.58792j 4.05566+3.09303j -10.418-4.60163j -0.550183-0.757937j -2.7022-1.06429j 0.506468+0.0255371j -5.40139-2.87327j -2.80039-1.84258j 6.45582+2.27967j -6.72051-3.34445j 2.63572+1.32709j 5.87052+3.10596j 0.343482+0.370567j -2.9662-1.3018j 6.29067+2.89802j -6.17294-2.61882j 3.45754+1.41803j 5.25959+3.03579j -0.0560161+0.605609j -1.40816-0.812785j 1.88384-0.0200751j -9.94392-4.41733j 3.64488+1.61117j -3.6249-1.70439j 4.79875+2.56388j -6.99792-3.47332j 0.261256+1.79782j 0.467391-0.253464j 3.08389+2.15544j -4.93309-1.86675j 4.98741+1.7357j -4.39669-2.48699j 0.73178+1.22604j 1.26274-0.0125621j 1.70311-0.0922115j -4.33881-2.4841j 0.0152751+1.49347j -0.851263-0.430847j 1.57833+0.854774j -2.27989-0.345683j 0.351813-0.196655j -1.57664-0.210112j -1.00056-0.896464j -0.823384+1.41732j -0.935073-0.788504j -0.833706+0.289702j 1.492+0.274904j 
-0.0689618+0.0825098j -0.289601+0.240923j 0.70035+0.859836j 0.278373+0.152626j -0.0358149+0.0133994j 0.941335+1.68727j 0.225754-0.563864j -0.550777-0.784035j 1.37238+1.95114j -1.49586-1.59715j 0.315941+0.210377j 1.37452+2.73421j -1.06996-0.622464j 0.257834-0.451787j 0.382975+1.65647j 1.59237+3.37377j -2.45837-3.39915j 2.43332+4.66096j 1.91823+2.49994j 0.0785574+0.395502j 0.993209+1.08169j 3.69381+5.07545j 2.0196+3.92715j 2.81941+2.30525j 3.15052+3.6087j -4.75615-7.65232j -0.934462-0.484184j -1.01815-1.55971j -0.069263+0.23541j -2.57074-4.23305j -1.95747-3.02831j 2.49519+5.08907j -3.70604-4.13899j 1.66706+2.86369j 3.28757+5.13571j 0.152824-0.871512j -1.67986-2.02066j 4.041+5.4705j -2.95928-5.36201j 1.5562+1.99491j 3.25525+3.92673j 0.509072+0.615404j -0.824909-2.18127j 0.286971+1.43362j -4.93617-7.55682j 1.89042+4.89449j -1.67576-0.906865j 2.35708+4.55314j -3.77602-4.2733j 1.97095+1.93897j 0.148779-0.517894j 2.28958+4.04701j -1.48721-4.48535j 1.2436+2.95344j -2.75033-3.57201j 1.48983+2.41618j -0.321732-0.973744j 0.331794+0.558679j -2.1782-4.09945j 1.89906+1.12315j -0.509636-3.89791j 0.72464+2.746j -0.789495+0.103618j -1.25914-1.14945j -0.793018-3.12458j -0.247121+0.28025j 1.0625+2.14616j 1.05975-0.777383j -0.49138-0.320448j -0.637017-0.350946j 
0.178619-0.250947j 0.218875-0.94289j -0.673867-0.570641j 0.134284-0.887637j 0.0788445-0.432326j -0.527702-2.8491j 0.173416+0.442173j 0.154958+1.67691j -0.771698-2.48705j 0.869553+3.66506j -0.179642-0.799634j -0.345633-4.19265j 0.985007+1.48967j -0.0580958-0.312223j 0.0167509-2.46618j -1.0697-5.9367j 1.74408+6.66423j -1.72136-7.59867j -1.65376-4.55978j -0.889513-1.05525j -1.16098-2.61434j -3.22441-8.78617j -1.54397-6.37577j -2.17101-4.64892j -2.39106-6.13064j 3.79394+12.6757j 0.824897+3.46253j 0.817997+2.16759j -0.0914389-0.087822j 2.56184+6.90494j 1.42788+4.26789j -1.62269-8.78756j 2.8415+7.7454j -0.82222-3.85887j -2.41658-8.31232j -0.220403-0.196173j 0.857913+4.34416j -1.71584-8.05613j 1.94738+9.15734j -1.07258-3.48693j -2.43195-7.552j -0.620692-0.445757j 0.795609+4.02599j 0.432225-1.59761j 3.17169+14.038j -1.02146-6.35808j 0.695456+3.49019j -2.35677-7.44347j 2.43557+8.87627j -2.06392-3.54712j 0.558415+0.823178j -1.88645-6.26839j 1.71071+7.65256j -1.40819-5.91892j 1.94901+7.88581j -1.20093-1.86932j -0.0785727+1.72294j 0.350046-1.82033j 1.76965+4.687j -1.15866-0.728375j 0.98889+6.89046j -1.11048-3.37018j -0.197472+1.24069j -0.522478+1.02455j 0.21177+3.25472j 1.0126-1.50286j -1.71203+1.04658j 1.53671+1.13916j -0.559955-0.510092j -0.216371+1.98331j 
0.259535-0.0778898j 0.342447+0.201101j -0.281766-0.842491j -0.0311482+0.333665j 0.640272-0.0468514j -0.521596-0.0910441j 0.00822872+0.300502j -0.0180352+0.290165j -0.74966+0.206633j 0.120345+1.24717j 0.22809-0.148521j -0.739931-0.759393j 1.15401+0.469308j 1.37439+0.332351j -0.309875+0.0166233j -1.87298-1.22525j 1.59075+0.797844j -0.950263-1.10571j -1.12021-0.224053j -0.90301+0.779693j -0.201767+0.345468j -2.02627-0.935681j -1.44051-0.860326j -0.710815-0.55479j -1.73542-0.561669j 1.87306+1.9199j 0.627229+1.00123j 1.29625+0.368518j 0.946923+0.17293j 1.93242+0.546297j 0.337516+0.711796j -1.35309-1.3949j 1.379+1.05176j -0.81579-0.766295j -2.56765-1.85734j -0.885527-0.589935j 0.454694+0.123415j -1.1326-1.24615j 1.1908+1.55968j -0.366923-0.943904j -1.39117-0.910629j 0.184021+0.612834j 0.705746+0.105453j -0.899007-0.903432j 2.95608+1.89865j -0.626125+0.327408j 2.0495+0.513553j -1.40838-0.0713404j 1.99712+1.18264j -1.04447-0.568008j -0.608501-0.503782j -0.843438-2.35473j -0.1507+1.1749j -0.826963-0.363886j 2.33923-0.214447j -1.22101-0.24452j 1.04813-0.100488j 0.205159-0.449205j 1.72638+0.751538j 0.361608+0.156022j 0.900357-0.307912j -0.182173-1.06344j 0.470584-0.295517j 0.0849913+1.46309j 1.05609-0.488962j -1.78336-0.504397j -0.508751+0.533549j 0.777361+1.29735j -0.00700301-0.654637j -0.499621+0.21513j 
0.247344-0.0708439j 0.675596-0.30819j 1.09311+0.831704j -0.755125-0.0989744j 1.07964+0.133495j 2.43197+0.624859j -0.319086-0.34549j -2.05124-0.540629j 2.43049+2.0138j -3.77849-1.39356j 0.676035-0.0414087j 5.61238+2.38626j -1.94117-2.02929j -0.149755-0.550824j 1.0284+0.096405j 5.80095+3.09896j -5.14411-3.42542j 7.69938+3.47365j 4.70339+1.87068j -0.466597-0.256439j 2.69081+2.13628j 7.95435+3.90198j 7.33575+2.81203j 3.53778+1.82856j 4.57898+2.7483j -11.6551-6.2613j -1.69306-0.990095j -2.9905-1.45443j -0.0310327+0.138514j -5.96983-3.28243j -3.27918-2.58239j 6.60922+3.79507j -7.72537-3.06582j 3.65948+1.46029j 7.55109+3.85804j 0.0986697+1.28662j -3.41201-2.46264j 6.98452+4.04466j -7.17085-3.92304j 3.69794+1.81156j 5.6416+4.30115j -0.338697+0.331028j -2.41838-0.926004j 2.62689+1.49717j -11.3191-6.69698j 4.67565+2.73775j -1.85765-2.46939j 6.0121+3.49239j -6.8744-3.81037j 1.8246+0.819431j 0.824708+0.829978j 4.61641+3.3979j -5.52733-3.76453j 4.34158+2.87038j -5.39879-4.08745j 1.26623+1.39003j 0.229144+0.27306j 1.63211+1.26664j -2.38424-3.28986j 0.448771-1.05911j -2.9825-2.31119j 3.01955+1.94263j -1.80079-1.76388j 0.924825-1.55967j -2.51253-3.23055j 0.0436623-1.04689j -1.24115-1.32068j -1.4593-0.752318j -0.765671+0.220121j 0.673065+0.582768j 
-0.280103-0.283283j 0.165502-0.563394j -1.26366-0.480424j 0.442917-0.322588j -0.347955-0.683674j -0.477723-1.1757j 0.360788+0.0988294j 0.715588+0.989901j -0.0367068-1.1893j 2.2318+2.29176j -0.30939-0.692269j -1.91964-2.41435j 0.998409-0.144581j 0.114641-1.52241j 0.00100198-0.844106j -2.67406-1.88912j 1.86284+2.0879j -2.39258-3.00483j -0.961413-2.27805j 1.12326+0.415916j -0.187994-1.15615j -2.53626-3.55978j -1.85416-2.64336j -1.29868-2.19797j -1.48926-2.19585j 4.53431+6.64418j 1.64749+0.630696j 0.713869+0.150251j 0.0471334-1.33853j 1.75178+2.5245j 1.56705+2.54083j -3.06336-4.27457j 2.76265+3.94635j -0.993579-1.73408j -3.43485-2.12626j -0.90972+1.041j 0.604563+2.17153j -2.9281-4.35308j 3.16857+4.53606j -1.74749-1.97214j -2.77916-3.14737j 0.619699-0.762301j 0.611778+1.48788j -1.51446-0.108954j 4.39998+5.6311j -0.19604-3.89393j 1.22406+0.103405j -0.940888-2.98413j 2.89372+4.0107j -0.900853-0.100983j -0.707783+1.2694j -3.75045-2.48272j 2.74682+5.20182j -1.45076-3.18675j 0.522552+1.71683j -0.258661-0.112628j -0.680521-0.878987j -0.939712-1.1908j 1.76396+1.94439j 0.239092-1.44962j 0.0558666+1.97055j -1.79069-1.72321j 0.269277+0.763409j 2.04208+0.14417j -0.332644+0.486639j 0.234171+2.30782j 1.50629+0.167254j 1.74767-0.644368j -0.679609+0.285105j 0.229764+0.814012j 
0.216871-0.210623j 0.511062-0.297066j 1.32189+1.40491j -0.257266+0.81146j 0.0590008-0.541721j 2.79733+2.47822j -0.724798-0.976492j -1.66081-1.3539j 3.39019+3.32392j -3.72779-3.9743j 0.448615+0.482152j 5.29819+5.69523j -2.81594-2.25867j -0.323567-0.744426j 1.87535+2.65651j 8.05837+7.34404j -7.33435-6.80375j 7.98174+6.23678j 4.96512+5.74109j 0.21242+1.81984j 2.76956+1.11659j 9.21898+9.51181j 6.5022+6.88231j 4.31065+4.04108j 6.74513+6.84676j -13.9899-14.5764j -1.93852-1.78835j -2.9055-2.64747j -0.00472149+0.340955j -7.65705-8.2223j -5.07848-4.97867j 8.76056+11.3596j -7.67429-8.76921j 4.09729+4.65809j 9.091+9.06806j 0.767667+0.0634521j -4.13081-4.54631j 8.84134+8.94784j -8.714-11.222j 3.77244+4.39009j 9.26497+8.12427j 1.19294+1.15082j -3.65123-4.21039j 2.12463+2.44054j -14.4872-16.7249j 6.38558+8.37187j -4.24755-6.31472j 7.72169+8.09042j -8.36213-11.1828j 2.68045+1.71812j 0.101-1.05742j 7.06033+6.6224j -8.50965-8.5784j 6.73906+8.72367j -8.1267-7.90299j 2.37603+2.26632j -0.237558-1.27205j 2.05839+1.23439j -7.00141-8.58403j 0.127075+0.686666j -6.492-5.40074j 3.48852+3.60263j -2.91538-2.60352j -1.43791-1.67063j -4.98981-2.28907j -0.856624+1.21447j -1.69728+0.0522613j -1.46265-1.40648j -0.0598792+0.245048j 0.199476-0.0919546j 
0.327511-0.0224908j 0.881924-0.368527j 1.3018+0.541395j -0.646529-0.579997j 0.159075+0.748685j 3.54477-0.127252j -0.312741-0.292734j -2.42636+0.051519j 2.13526+0.53629j -4.83065-0.596726j 0.998302-0.0977718j 6.17941+0.892263j -1.58885-1.39495j 0.0354018-0.338825j 2.2455-0.421883j 8.21249+0.114399j -6.02009-1.004j 7.30547+1.35738j 6.50873+0.517664j 0.322241+0.606048j 0.654411+0.894433j 9.49202+1.57778j 7.61572+1.75611j 4.11108+1.64398j 6.39841+0.459271j -14.2638-1.25161j -1.34862+0.208938j -3.11227-0.411316j 0.0395449-0.574756j -7.61771-0.868623j -3.40571-0.946009j 9.27094+0.445273j -9.95974-1.38308j 4.38336+0.979927j 9.04833+1.71807j -0.962507-0.166524j -2.66785-0.668857j 8.07733+0.364149j -8.60912-1.62159j 4.49012+0.46047j 7.35182+0.488538j 0.857832-0.0569795j -3.60656-0.97428j 1.39042+1.27807j -13.4676-2.24143j 5.34325+1.30989j -3.47944+0.492453j 6.66239+1.09597j -9.16194-1.09166j 2.16016+0.439013j -0.949876+1.05994j 5.11826+1.59676j -6.88038-0.0153125j 6.58584+0.340093j -5.24654-0.974924j 1.14724+0.732522j 0.245323-0.593606j 1.60872-1.54239j -4.81072+0.877497j 2.09308+0.924749j -3.10585-0.300121j 1.71041+2.10515j -1.74653-0.3164j 1.76304+0.489325j 0.0659943-0.202468j 0.124047+0.132319j -0.489041-0.524422j -1.42253-0.667906j -0.970687+0.193448j 0.475979+0.943399j 
0.275749+0.0704568j 0.745343-0.0667917j 0.738673-1.15077j 0.240741-0.420032j 0.455668+0.329365j 2.41906-2.46188j -0.449139+0.257068j -1.49019+1.34686j 1.88111-2.38987j -3.1807+3.22356j 0.724988-0.589078j 3.9113-3.63112j -0.794597+1.80482j -0.0340417-0.0370475j 2.09079-1.60419j 5.00708-5.4076j -4.77544+5.53004j 6.17282-5.59398j 3.84782-4.90298j 0.538275-0.999582j 1.30087-1.80055j 6.88274-8.34162j 5.48092-5.40636j 3.47687-4.31745j 4.66234-6.26303j -10.0973+11.7652j -1.91452+2.24964j -1.8883+2.38331j 0.0718444-0.302317j -5.38378+6.77448j -3.16073+3.81827j 6.97848-7.47505j -6.38889+7.92011j 3.46482-3.36661j 6.92116-7.40283j -0.688916-0.147443j -2.82663+3.29316j 6.49542-7.51905j -7.20767+7.57466j 2.88039-3.52335j 5.26931-7.04452j 0.213073-0.924199j -3.2573+2.72226j 1.56294-0.600936j -10.6466+11.8745j 5.14856-4.84912j -1.91288+3.95661j 5.51277-6.42336j -6.64984+8.38147j 2.48736-3.3853j -0.640364+0.957039j 4.87925-4.89724j -5.66926+5.91932j 4.3739-5.27858j -4.94136+6.15786j 1.56666-2.39663j -1.2399+0.590955j 1.13807-1.14685j -3.51797+5.85561j 1.35588-1.8232j -4.68161+3.77373j 2.87609-2.13098j -0.449399+1.15316j -0.360094+0.811111j -1.89226+1.80758j 1.39979-0.0902586j 0.0164666-1.66809j -1.01238+0.956898j -0.10018-0.0836662j -1.02517+0.709177j 
0.12637+0.293819j 0.67703-0.12203j -0.40027-1.62195j 0.0180891-1.07371j -0.66851-0.350924j 0.537523-3.87436j 0.415662+0.77887j -0.353968+2.84302j -0.84188-5.28469j 0.274346+5.836j 0.120168-1.00526j -0.39555-8.69804j 0.830586+3.14085j 0.353164+0.455092j -0.000354035-2.52391j 0.704774-8.49911j 0.319214+9.78971j -0.154142-11.9548j 0.564352-8.96871j -1.3567-0.76765j 0.122922-4.80398j -0.617674-15.2967j 0.0270402-12.2356j -1.25867-6.41031j -0.240987-10.0241j 0.381442+22.8305j -0.660787+3.72196j -0.611751+4.99725j -0.0446236-1.17288j 0.776718+11.8051j 1.22521+7.10338j -1.16929-15.8699j 0.57025+14.7123j -0.448361-6.34271j -0.457993-13.0604j 0.474361-0.399924j 1.18017+8.34025j 0.0435231-14.7794j 2.522+16.0483j 0.245797-7.24459j -0.243751-10.7881j -0.556153-0.0405785j 1.73995+4.05127j -1.04596-3.87127j 3.41758+23.653j -3.29413-11.3417j 0.576515+7.03045j -0.929757-13.2058j 2.08845+16.9473j 0.471755-3.68318j -0.0614576+0.769814j -1.69546-8.20464j 0.9839+11.7864j -1.76052-10.6621j 1.43859+12.1735j -0.443718-3.85321j 0.832245+0.801168j 2.14169-4.00043j 1.55401+9.41511j -0.890519-0.631915j 1.24339+6.15774j -2.28624-4.77371j 0.399273+2.21234j 0.136495+1.57356j -0.733986+6.16437j -0.211373-0.672992j 0.298873-1.6549j 0.00831892+1.19323j -0.449671+0.690849j -0.414758+0.450626j 
-0.338395-0.40437j -0.682816+0.0558793j -1.01562+0.10572j 0.435735+0.809154j -1.0972-0.592501j -3.62524-0.0762417j 0.357627+0.0983471j 2.90493-0.480442j -3.12301+0.870086j 3.87276-0.680868j -0.721286+0.179141j -6.00271+0.871844j 1.5417+0.622929j 0.685168+0.37787j -1.76944+1.08085j -6.7843+0.366663j 6.03507-0.375824j -9.02752+0.619733j -4.65078+0.479889j 0.718059+0.629619j -2.20073+0.807463j -9.45372+0.496705j -6.2003+0.867944j -3.52244-0.0279772j -6.77242+0.136311j 13.8909-1.7358j 2.68986-1.19059j 3.17866-0.761427j -0.884144+0.775199j 7.32117-0.861067j 3.26345-0.226379j -8.59782-0.428279j 9.06034+0.0143099j -2.84398+1.11056j -7.62848+0.31493j 0.0484824+0.40133j 4.17841-1.4425j -8.36185+1.47948j 8.23086-0.827446j -3.6866-0.115378j -7.1424-0.252165j 0.0563788-0.699138j 2.60928-0.0718168j -1.57704+0.564139j 13.3393-1.28938j -5.66823+1.29132j 3.57283-0.783563j -6.64822-0.0485108j 8.90115+0.833986j -3.11408-0.0612752j 0.518053+0.319291j -4.4265-0.499754j 6.347+0.133019j -5.25835-1.11145j 6.39435-1.52355j -1.15342-0.594228j -1.0701+0.288191j -2.98711-0.340444j 6.06678-0.158015j 0.145041-0.606548j 3.56028+0.264607j -1.25897+0.352094j 0.68888-1.27741j -0.663179+0.248729j 1.99477+0.18143j 0.348338+0.865151j 0.47366+1.27496j 0.941379+0.087603j 1.0925-0.176058j 0.226345-0.706508j 
0.250861-0.189474j 0.629578-0.00755165j 0.0982914-1.19947j 0.280561-0.0526587j 0.164785-0.264285j 1.05385-1.41922j -0.0677913+0.35585j -0.723469+1.29761j 0.606086-1.46863j -1.38325+3.08505j 0.538755-0.524458j 1.42113-3.51308j 0.443743+1.38142j 1.06853+0.0937612j 0.686605-0.697043j 1.5223-3.95229j -1.36153+3.84738j 1.95099-4.79685j 1.75077-2.99913j -0.593918+0.5546j 0.546025-1.53915j 2.16123-5.72486j 1.63143-4.39225j 1.13497-2.59282j 1.47545-3.68028j -4.20375+9.29896j -0.453267+2.36495j -0.1444+1.6678j 0.95952-0.483729j -1.53907+4.27333j -1.31715+3.10447j 2.50883-6.17252j -2.36284+5.7679j 1.09335-2.14887j 1.12294-5.65382j -0.748364-0.84614j -1.09242+2.68748j 2.91727-6.1832j -2.21853+6.38176j 1.31635-2.99964j 1.92455-4.94404j 0.486103+0.379562j -0.607893+1.40439j -0.453671-1.94669j -2.74322+9.23548j 1.93367-3.10269j 0.146991+2.60862j 1.70661-4.09771j -2.0059+6.44065j 0.0523158-1.60665j -1.06076-0.135814j 1.03002-4.67438j -3.43182+5.30373j 1.66599-3.63669j -0.718651+3.5555j 0.00802319-1.23977j 0.724744-0.437074j 1.37549-1.80561j -0.975472+3.72187j 0.92687+0.00916029j -1.33604+1.84294j 0.288115-2.58492j -0.346926+0.714591j 0.247673+2.02303j -0.496437+1.50527j -1.5691+0.359727j 0.183811+0.5373j 0.626691+1.2924j -0.385224-0.205188j -0.750942+0.57446j 
0.269612-0.371723j 0.831361-0.0398342j 0.292738+0.39822j 0.304711-0.485404j -1.00346-0.503035j 1.16646-0.179502j 0.244217-0.923805j -0.117673-0.403209j 1.5864+0.737454j -1.761-0.835357j 0.00799404+0.581993j 1.73549+0.631396j -0.795597-0.167652j -0.932175+0.00377472j 0.0966627-0.954994j 2.01928+1.61757j -1.89085-1.37135j 1.54565+1.26674j 1.15569+1.44454j 0.196803-0.73005j 0.485854+0.900341j 4.09296+1.27489j 2.31307+1.25687j 1.24958+1.00224j 2.46839+1.91265j -4.78713-2.63374j -1.20315-0.230593j -1.14324-0.598916j 0.577494+0.178349j -2.76998-1.10558j -1.90727-1.6547j 1.74464+2.05467j -2.76323-1.43441j 0.680519+2.16251j 2.50249+0.734589j -0.831487-0.517095j -1.03657-2.2247j 2.97421+1.35173j -4.16257-2.01182j -0.0499634+1.39699j 1.99159+1.03963j -0.296044+0.58586j -0.775568-0.111667j 0.496369-0.0609055j -4.1801-2.50935j 1.89448+1.32516j -0.872909-1.16813j 2.39727+1.61723j -2.36955-1.51647j 1.24691+1.01983j -0.273305+0.604831j 1.51319+1.22073j -3.53833-2.33783j 2.1286+1.62842j -1.76264-1.65296j 1.53649+0.145562j 0.970026+0.366993j 0.61469+0.0128006j -2.04651-1.01011j -0.00621146+0.491399j -0.71642-1.1687j 0.659637-0.0406981j -0.781731-0.547506j 0.369325-1.05655j -1.23551-0.522002j 1.42649+0.412867j -0.191714+0.434703j -0.169535-0.387959j 0.160519+0.563622j -0.10163+0.516739j 
-0.0391692+0.0660018j 0.144339-0.141478j 0.930307-1.07781j 0.542381-0.323327j -0.449145+0.144062j 2.42934-1.96076j -0.557187+0.477392j -1.40488+1.35842j 2.39726-3.0109j -3.12386+2.84604j 0.529466-0.318111j 4.30325-4.31066j -1.25399+2.21685j -0.389475+0.270567j 2.12253-1.4363j 6.02225-5.81851j -5.13291+5.88829j 5.20656-6.39447j 4.40633-4.13181j 0.890968-0.242331j 0.746608-2.87053j 7.2815-7.7024j 4.93507-5.44324j 2.92159-3.34372j 5.52405-5.55325j -11.1986+11.6876j -1.66852+1.99492j -2.10011+2.55968j 0.420807-0.446196j -6.36629+6.43006j -3.38429+4.33402j 8.40586-7.1402j -6.867+6.29052j 3.14336-3.29525j 6.79188-7.05632j 0.0156666-0.967924j -3.02879+4.16346j 6.90633-7.83931j -7.76749+7.44715j 3.33708-3.22697j 6.41938-7.34429j 0.895664-0.54987j -2.8401+2.44371j 1.17395-1.79593j -11.9195+12.104j 5.4793-5.54013j -4.59773+4.04952j 5.86347-6.60978j -8.14308+7.24369j 1.82608-2.24115j -1.21817-0.132094j 4.56873-5.26927j -6.3859+6.88316j 6.18265-5.36226j -5.59651+7.23421j 1.51276-2.05792j -0.554731+0.127234j 1.72729-2.00609j -6.48142+6.18835j 0.42883+0.286793j -3.95742+4.93871j 1.71261-2.88228j -1.4412+2.45355j -0.977265+1.71184j -1.43219+4.55521j 0.769551+0.480029j 0.260837+0.346039j -0.947455+0.968564j -0.0458774+0.00117217j -0.48747+0.142267j 
-0.500857-0.134627j -0.671811+0.408168j -1.41421-0.596919j 0.523917-0.12616j -0.175751+0.152465j -3.10419-2.12826j 0.846763+1.23302j 3.17988+0.5925j -3.41511-0.213484j 4.70452+1.32921j -0.916362-0.0965187j -5.87218-2.51609j 2.20779+1.15978j 0.276671+0.980113j -2.00517-1.53781j -7.85095-3.1031j 6.78006+4.17022j -8.17616-3.85431j -6.17775-3.58253j -0.764271-0.574551j -1.9781-0.751559j -9.77352-5.36581j -8.96392-4.25362j -4.62575-1.80843j -6.10796-3.25636j 15.9081+6.84244j 2.57386+1.20391j 3.12304+1.35115j -0.455437-1.69756j 7.89107+3.65496j 5.77774+2.42002j -10.4654-4.73727j 11.063+4.09977j -5.11943-2.22776j -9.7168-4.48914j 0.038984+0.210264j 6.16374+2.71945j -9.94025-5.13138j 10.929+6.37227j -5.0919-2.88684j -8.06863-3.96469j -0.532691+1.06719j 3.05512+1.4422j -2.58959-0.508599j 16.0208+8.00953j -5.75417-3.24644j 4.11028+2.64756j -9.89345-4.21833j 9.62161+5.18709j -2.44131-1.59047j 1.16431-0.0948818j -7.12676-3.18825j 7.29596+3.81172j -7.00813-3.53878j 8.16892+3.77102j -3.26443-0.281225j -0.668397-0.429589j -1.65258-1.49112j 6.0881+3.02251j -0.605751-0.950325j 4.39843+3.13919j -2.22817-2.80292j 2.33653+0.514771j 0.415542+0.784968j 2.92719+1.19594j 0.623556+0.11174j 0.644397-0.0297262j 1.2964+0.84192j 0.577153+0.118927j 0.0877884-0.311802j 
-0.101001+0.241849j 0.567784-0.30755j 0.853969-1.05102j 0.488322-0.701591j -0.668282+1.2014j 1.67312-1.46273j 0.000725667+0.400115j -1.75962+0.809868j 1.77715-1.75039j -3.06952+3.55359j 0.605963-0.707413j 3.95445-3.98959j 0.039581+1.53926j 0.232158-0.908941j 2.80102-1.83182j 5.15362-5.99329j -3.56647+5.32311j 3.97483-4.0093j 3.21176-6.20337j 0.871935-0.66563j 1.24987-2.13672j 4.63055-6.69545j 4.04905-7.5022j 1.73652-3.09994j 2.98273-4.11395j -8.22218+11.8009j -2.19445+1.49079j -2.38239+2.71083j 0.979761+0.308891j -4.52112+5.62545j -1.71719+3.98222j 2.75486-7.92501j -3.54249+6.66425j 3.1285-4.86792j 4.63177-7.83898j 0.340141-0.69221j -2.40913+2.92084j 5.26764-7.9029j -4.09193+7.09606j 1.49925-4.65526j 3.77875-6.30096j -0.480086-0.679604j -1.80502+1.93972j 1.14739-1.84476j -6.7013+10.5218j 3.17334-3.84829j -2.35059+3.55372j 2.18282-6.44642j -1.66772+6.86752j 1.03924-1.06343j 0.123+0.118319j 1.94615-5.02385j -2.56147+6.69432j 0.918295-5.26198j -3.93262+5.51025j -0.503037-2.03524j 0.826736+1.16549j 0.22964-1.75729j -2.31765+3.26524j -0.180828-0.992458j -1.45692+3.27305j 1.33129-3.01195j -2.67266+2.92052j 1.04456+1.61106j 0.199484+3.55522j 0.705895-0.304259j 0.196154-0.741878j -0.945024+1.34549j -0.488545-0.157489j -0.636891+0.171726j 
0.298461+0.0422085j -0.0851541+0.777024j -0.496503-0.930017j 0.872599+0.333215j 0.478958-1.88432j -0.266574-1.15589j 1.22346+0.6618j 0.303998+1.90254j -0.423704-1.03867j 1.35097+1.95482j -0.367054-0.393853j -1.30091-3.6003j 0.734474+1.10767j -0.150295-0.824608j 0.950743-1.80135j -2.90767-4.42884j 2.2329+3.87949j -1.98371-5.81308j -1.90819-4.11641j 0.669812-0.316387j -1.15366-1.67446j -2.21495-4.31625j -2.25476-4.33629j -1.49459-2.6825j -2.7906-4.12912j 4.10039+8.65544j 0.301444+0.838223j 0.669817+1.87532j 0.00326671+0.239129j 1.3719+3.99596j 2.25345+1.71455j -3.08912-7.51001j 2.1805+5.58271j -3.47308-3.55387j -1.13912-5.70879j 0.266649-1.25034j 2.6397+3.15819j -2.13065-5.24634j 2.93156+4.51672j -1.97603-4.59264j -1.55945-5.5787j -0.835044-0.737831j 0.417885+2.4446j -0.0980044-1.99905j 3.82946+10.1935j -1.79735-4.66078j 1.34342+3.49429j -2.0267-4.74486j 2.30277+7.16502j -1.18811-1.13872j -1.18498+0.370579j -1.71237-4.16022j 3.50867+3.64672j -1.94769-4.37747j 1.96873+5.06091j 0.177724-0.493509j -0.364166+1.71965j 0.139549-1.0378j 1.37863+3.95171j -0.74183-1.03874j 1.46267+3.97286j -0.126793-3.4233j 1.07318+1.00122j 1.09466+0.988031j 0.363434+1.3214j -0.358426+1.69152j -0.324494+0.197714j 0.528096+1.12772j -0.603109+0.561006j -0.734224-0.319916j 
