-0.040967-0.0122127j -0.104027+0.0654976j -0.0705196-0.0308869j 0.00598398-0.0098359j 0.0854603+0.0507691j 0.00317426+0.122903j 0.0823042-0.0323929j -0.105387+0.0655697j 0.0735701-0.121437j 0.0035225+0.0265831j 0.000936018-0.0491756j 0.0632641-0.0120465j 0.00738193+0.0868941j -0.0573918+0.00908291j -0.0455115-0.0543993j -0.0144616+0.00377057j -0.0577645+0.00492149j 0.0117676-0.0307315j -0.0638111+0.0400288j -0.0569756-0.0140624j -0.0115066+0.0431022j 0.0638685-0.0274002j -0.119529-0.0669053j -0.0335569-0.091773j 0.101813+0.0278711j -0.0410475-0.130726j 0.0541352-0.0320204j 0.0519663+0.123699j 0.0192914+0.0794675j -0.0390979-0.0635528j 0.00184717-0.0774517j 0.0402786-0.0294925j 0.00511166+0.0567966j -0.0161471+0.0482904j 0.056441-0.00472634j -0.0433816-0.0223354j -0.0233914-0.00851544j -0.0188643-0.0070823j 0.0508419+0.0185619j -0.00998046+0.0266239j -0.021676+0.0459972j 0.0111128-0.0110481j 0.0552946+0.0762001j -0.0215905+0.0102649j -0.0222172-0.0244034j -0.0154891-0.0356947j 0.0365901+0.0455332j -0.0316593+0.051674j -0.0703838+0.0270433j -0.0841459-0.0617403j -0.018999-0.00424295j -0.0244857+0.019176j 0.0420421+0.131676j 0.0754615-0.0118982j 0.0027346-0.0232127j -0.0838684+0.0677901j 0.0394052+0.053974j -0.0697385+0.0619467j 0.0180406+0.024897j 0.0461646-0.0395853j -0.0650041-0.0705378j -0.111174+0.103749j 0.0511437+0.0113846j -0.0620055+0.035622j 0.0752122-0.00110585j -0.069013+0.0364237j 0.00881299+0.0139019j -0.0537612+0.062152j 0.0379861-0.0582172j 0.0341748-0.0277492j -0.0631484-0.0322462j -0.00454995+0.0283321j 0.0692704-0.034919j -0.0118262-0.00137267j -0.0687655-0.0306222j 0.100635+0.0338277j -0.0442387-0.0193904j 0.0373-0.0641251j -0.0516643-0.0861374j -0.0206954+0.0817542j -0.144561+0.00251776j 0.0990747-0.0605051j 0.0238902+0.0588956j -0.0379506-0.00825934j 0.0737114-0.0267056j -0.0211298+0.00233482j 0.0375166+0.0943894j -0.101045-0.143361j 0.0625279-0.0704497j 0.103068-0.0836883j -0.0300699-0.0487246j 0.0214531-0.00706903j 
-0.00159255+0.000934774j 0.001767-0.00133936j -0.0029138+0.00386772j 0.010124-0.00282106j 0.00235477-0.00253945j -0.000855393-0.0022876j 0.00263795-0.00299514j 0.00319841-0.00553734j 0.00462352+0.00250511j -0.00275106-0.00291597j 0.00650778+0.0121251j -0.00715473-0.0143707j 0.00369591+0.00532808j -0.0147924-0.00360564j 0.00318287+0.00725011j -0.0040984-0.0126404j -0.00104452+0.00114744j 0.00227828-0.0128986j -0.000714174-0.000173982j -0.00913295-0.0042988j -0.00406779+0.00419719j -0.00123366+0.00820614j 0.000633254+0.000490196j 0.000583969+0.00202118j -0.000148907-0.000947574j -0.00455861-0.00260179j 0.000596435-0.00417153j 0.00256838+0.00170292j -0.00731303+0.00135344j 0.00358444+0.00585006j 0.00657458+0.00191528j 0.00966744+0.00463237j -0.00400525+0.000780521j 0.00444205+0.0114869j 0.00250056+0.00476385j 0.00539242-0.00114966j -0.00315261-0.012866j 0.0058518-0.0010966j 0.000343512-0.00105829j 0.0179677+0.000729966j 0.0112368-0.00600873j -0.00334206-0.0111044j -0.00689446+0.00408039j 0.00182919-0.0135881j -0.0129473+0.00574295j 0.00222762-0.00297088j 0.000716648-0.00596385j -0.00283719+0.00180656j -0.000597081-0.00293691j 0.00639409-0.000136109j -0.00400609+0.000917913j 0.00749071-0.00572253j 0.00904313+0.00181613j -0.00217591+0.00527421j 0.00567646-0.0084639j 0.00145234+0.00471939j -0.00565896+0.00132615j 0.00335839+0.000109757j 0.000153722-0.00558404j 0.00152596+0.00133086j 0.00243797+0.00212203j 0.00214757-0.0073685j -0.00424465-0.00236834j 0.000819554+0.00673922j 0.00418997-0.00103427j -0.00101403-0.000249277j -0.00595754+0.000827309j -0.00165503+0.000163152j -0.00299541-0.000690272j -0.00172671+0.00183196j 0.00114586-0.00282027j -0.00100663-0.00632899j -0.00222502-0.00348977j -0.00409257+0.000519738j 0.00425742+0.00094391j 0.000796757+0.00398541j -0.00186938-0.00037811j -0.00093326-0.00162601j -0.00292682+0.000844267j 0.00232359+0.000366724j -0.00166161+0.00204097j -0.000825503-0.00353931j 0.000516583+0.000251326j 1.26081e-05+0.00109888j 0.00150174+0.0012736j 0.000774508-0.00221457j -0.00105332-0.000963325j 0.000121506-0.000139689j 0.00136438-0.000236189j 4.76168e-05-0.000263292j 0.000135121-1.87707e-05j -0.000600501+0.000466266j 
-0.00209686-0.00192041j 0.00131542+0.00173782j -0.00331181+0.00017448j 0.00561752-0.00427375j 0.00154772+0.0034036j -0.00137293-0.00144735j -0.00464016-0.00420006j 0.003248+0.00028675j 0.00395658+0.00296817j 0.00136976-0.00115784j -0.0077605-0.00578075j 0.00468147-0.00341832j 0.00388902-0.00363546j 0.00383403+0.00155016j 0.0127057+0.000236305j 0.00440888+0.00605279j -0.000434224+0.00115867j -0.00707082+0.00642539j 0.0027927-0.00215814j 0.000271984+0.00112855j 0.000536611+0.00333194j 0.00302862+0.00422411j -0.00112561+0.0054953j -0.000984801-0.00322967j -0.0023335+0.00152062j 0.00394522+0.00838727j -0.00334108-0.00158854j 0.00449784-0.003695j -0.00756324-0.00324159j 0.00403483+0.00122903j -0.00502682-0.00146564j -0.00551904-0.00152662j -0.00640256+0.00523088j -0.00982894-0.00879587j -0.000682198+0.00850205j 0.000612426-0.0040253j -0.00554329-6.57635e-05j 0.00253272+0.00750157j -0.00365869+0.000350255j -0.00862922-0.00202124j -0.0036734-0.000133356j 0.000525448-0.00963278j 0.0105236+0.00579292j 0.0116127-0.00325185j -0.00397432-0.0062504j -0.00272732+0.00142856j -0.00841221+0.00502871j -0.0144936+0.00455728j 0.00304465-0.010114j 0.00200819+0.00685425j 0.00304634-0.00211072j 0.00341641-0.00307663j 0.00269339-0.00495256j 0.00598723-0.00458606j 0.00734033-0.00852247j 0.00519982+0.00785428j -0.00428514-0.000471111j 0.00200653+0.000576724j -0.00322225-0.00787277j -0.00243585+0.00186791j -0.00207848+0.00291665j 0.00200932-0.00251268j -0.000301283+0.00348479j 0.00339991+0.000865863j 0.00303166+0.00167603j 0.00424159-0.00253398j -0.00545533+0.00931292j -0.0064801+0.00279734j -0.00201132-0.00279459j 0.00372427-0.000505581j -0.00224733+0.00029407j -0.00662962-0.00262781j 0.00248189-0.00116973j -0.011262+0.00204438j -0.00224086-0.00832028j -0.00103286+0.0071419j 0.00543584+0.00152814j -0.00460514-0.00815458j 0.000497861-0.00688492j 0.00290775+0.00648073j -0.00984058-0.00282464j -0.000649157-0.000653758j -0.00207285-0.000184088j 9.44794e-05+3.77534e-05j -0.00236416-0.000714031j 0.000306341+0.00036704j -0.00253624+0.00439534j 0.00137959+0.00262812j -0.0019589+0.000968104j -0.00205732-3.18061e-05j 0.00253603+0.0011952j -0.000211089+0.0018725j 
0.00160072+0.00218953j 0.00346246+8.39491e-06j 0.0077825+0.00434814j -0.00381585+0.000898539j 0.00165423-0.00237115j -0.0026789+0.000172j -0.000497955+0.00163062j -0.000158145-0.00312025j -0.0103256-0.00256709j -0.00697659+0.00105854j 0.00399643+0.00632559j -0.000275027-0.00170114j 0.0015854+0.00570119j -0.00631538-0.00292628j -0.0123265+0.00396989j 0.00108125-0.00719415j -0.000362795+0.00345172j 0.0023986+0.000749039j -0.00734938+0.00564909j -0.00574804+0.00358466j -0.00281939+0.00268184j 0.00278307-0.00615908j -0.00575399+0.00161092j -0.00913389-0.00281005j 0.00246137+0.000537218j 0.00601857-0.00123685j 0.00312748-0.00325214j -0.000503648-0.00434382j -0.00419695-0.00545014j 0.00883804-0.000424886j 0.00217979-0.00299024j -0.00456921+0.0013499j -0.0110608-0.00110539j 0.00322478-0.00635651j 0.0109734+0.00152741j -0.00513683-0.00588428j -0.00359515-0.0104443j -0.000886278+0.0134414j 0.00461919+0.000596658j 0.00730635+0.00237269j 0.00294886-0.00012319j 0.000809957-0.000605312j -0.00590751+0.00706331j 0.00010192-0.00399892j 0.00123944-0.00983869j -0.00564735+0.00200643j -0.00676719+0.000938278j -0.00334867+0.00454207j 0.00764701+0.000640198j -0.000605268-0.00489512j 0.00388481+0.00564607j 0.00595237-0.00284051j 0.00231854+0.00472162j 0.00317937-0.00504382j 0.000272002-0.00432347j -0.000718723-0.00650262j 0.000454127+0.00617099j -0.00345496+0.0037103j 0.00255454+0.0057419j 0.00171917-0.0026544j -0.000399662-0.0064783j -0.00604377+0.00953081j 0.00548619+0.00217127j 0.00241491-0.0107627j -0.00743533-0.00778315j 0.00123261-0.00208987j 0.013379-0.00587579j 0.00176101-0.00118615j -0.00252942-0.00250593j 0.00316965-0.00266884j -0.00183673+0.0039649j 0.00898751+0.00872865j 0.00707358+0.00784884j 0.00346509+0.000632406j -0.0107606-0.00410195j 0.00134534-0.00784993j 0.000424458-0.000659451j 0.005303+0.00627872j 0.00361795-0.000219548j -0.00530446-0.0010013j 0.000976667-0.00354682j -0.00301107+0.00510763j -0.00100194-0.00241788j 0.00171779-0.0009726j -0.000301391-0.00308187j -0.00184068+0.00135073j 0.00190639+0.0040739j -0.00158791+0.00202342j -0.00211617-0.000669321j -0.00109146+0.000626686j 0.00267695+0.000725961j -0.000191159+0.00254964j 
0.00139784+0.000335377j 0.00113924+0.00307852j 0.00711882+0.00369827j 0.00125751-0.00420666j 0.00225536+0.00184208j -0.00097432+0.002763j 0.000939537-0.00116258j 0.00882107+0.00431652j 0.00215148+0.00494232j -0.00526801+0.00602328j 0.00260133-0.0182952j 0.0107843-0.00619331j 0.00639802-0.00589745j 0.00872334-0.0114838j 0.00487735-0.00378632j -0.00784281+0.00792414j -0.0084778+0.00849324j 0.00117295+0.00750028j 0.00527549+0.000528577j -0.00465996+0.000497685j -0.000667114-0.00267836j 0.000623148-0.0095322j 0.00686131+0.000651389j -0.00624767-0.0063008j 0.00506087+0.00538924j -0.00227368+0.000701233j 0.00596708-0.00363704j -0.00730465+0.00353742j -0.00530764-0.00468684j 0.00255961+0.00030042j 0.00409947+0.00577285j -0.00350139+0.000307431j -0.00492309+0.00199503j 0.00982398+0.00410199j -0.00305931+0.000864723j -0.00482789-0.00337771j -0.0055646-0.0174929j -0.00307088+0.00203418j -0.00127479-0.000253347j -0.0133412+0.00350027j -0.0116811-0.00846929j 0.0107036-0.00486678j 0.0116623+0.00602104j 0.00471429-0.0138136j -0.00536697+0.00573753j -0.0033484-0.00374556j 0.00174424-0.00253881j 0.00124485+0.00193219j -0.00123104+0.00128914j -0.00120227-0.00206936j -0.0101613+0.00728655j 0.00888708-0.00484671j 0.00444396+0.00753142j -0.0030059+0.00273077j -0.00173632-0.000322977j -0.00299362-0.00463915j 0.000835956-0.000582714j 0.00189569-0.00514493j -0.00235318+0.00176849j 0.00441784-0.00104644j -0.000233562+0.000953742j -0.000317595-0.00099269j -0.00189608-0.00172593j -0.00369317-0.00160741j -0.00251364-0.0016661j -0.00252384+0.00130741j -0.000920154-0.00359703j 0.00224412-0.000307375j -0.00135877+0.0039289j -0.00128489+0.000356999j -0.0019772-0.000819122j 0.0026885-0.000770445j -0.00342254-0.00222648j 0.00267878+0.00137575j 0.000617599+0.00420778j 0.00170254-0.00112795j -0.00172171-0.000143613j 0.00172919+0.00439888j -0.00020651+0.003117j -0.000135852-0.00238342j 0.00307846+0.00226602j -0.00046124-0.000717489j 0.00190665-7.95227e-05j -0.00148645+0.00107514j -0.000146652+0.000829671j 0.000319157+0.000837238j 0.000795523-0.00114243j -0.000225837-0.00177029j 0.00102569+0.000437789j 0.00085323-0.000401136j -0.00171346-0.000679577j 0.000614638-0.0015803j 
-0.00206579+0.000902549j -0.000807205+0.00186382j -0.000434241+0.000381421j -0.00157188-0.000663527j 0.00136488-0.000647218j 0.00153587+0.00114686j 0.000922551-0.00220395j 0.00151617+0.00406425j 0.0015728-2.40452e-05j -0.000887555+0.00436835j 0.000237447-0.00444863j 0.000935668+0.0017381j -0.00209553-0.00124303j 0.004261-0.0018455j 0.00111075-0.000731075j -0.00041277+0.00224072j -0.00267114-0.0015104j 0.00262492+0.00180918j 0.00197372+0.00177784j 0.00128575-0.000577547j -0.00184144+0.000916816j 0.00149681+0.000289508j -0.00189184-0.00105274j -0.00167159+0.00370621j 0.00113837+0.00010913j -0.000180206-0.00200359j 6.70972e-05-0.000600067j 0.00455378+0.000482809j -0.00145299-0.00160292j 0.0006365+0.000343338j 0.00451663-0.0015775j 0.00514664+0.00112803j 0.00372122-0.00262745j 0.00089786+0.00265923j -0.0038759+0.00147496j -0.00109935+0.000770591j -0.00108578+0.00142881j -0.0030604-0.00510951j 0.00232303+0.0012182j -0.000678849-0.000810352j -0.00312083-0.00216546j -0.00300467+0.00454052j -0.000918749-0.00369011j 0.000369083-0.000904564j 0.000144828+0.00125558j 0.000577421+0.00151689j 7.76952e-06+4.35489e-05j 0.00118479-0.00292382j 0.000692277+0.00318086j 0.00129886-0.00177155j -0.00583282+0.000115757j 0.000464945+0.000654702j 0.000359292-0.000531035j -0.00200471+0.000185929j -0.0015173-0.00340743j -0.00433908+0.00107862j -0.00130483+0.00175823j -0.0017922+0.00339805j -0.00136956+0.000635826j -0.00118378+0.00167715j -0.00210183-0.00244598j 0.001176-0.00101518j -0.00231236+0.000221374j 0.00410898+0.00830058j 0.00277174+0.00164284j -0.00123529+0.00531916j -0.00232772-0.000618471j 0.00160035+0.000155798j 0.00028333-0.000289193j -0.00172681-0.000583064j 0.00277433+0.00358079j -0.000792371-0.00224167j -0.00101024+0.00402303j 0.00320383-0.00329721j -0.000921739+0.00209532j -0.00159134+0.00249851j 0.00383998-0.00206326j 0.000842997+0.00138927j 0.00100824-0.000610058j 0.00115732-0.00153422j 0.00089997-0.00414254j -0.00113068+0.00130863j 0.000935518+0.00191223j 0.000165063-9.22524e-05j 0.00156368+0.000921559j 0.000289797-0.001494j -0.00082957-0.00323656j 0.0012153+0.000217844j -5.44916e-05+0.000607165j -0.000175137+0.00131882j 0.000986028-0.000157827j -0.000299641+0.000768194j 
6.25795e-05+0.000218153j 0.00109818+0.000408047j -0.000656611+0.00114214j -0.00366587-0.000913113j 0.00367792+0.000134146j 0.0012403+0.000286036j 0.000755988+0.00278896j 0.00275459+0.00651858j 0.00269744+0.000801759j -0.00107327+0.0071364j -0.00234251-0.00957246j 0.00620892+0.00163534j 0.00124015-0.00464068j 0.00281947-0.00327641j 0.0018114-0.00115542j -0.00286077+0.00372039j -0.00464923-0.00383964j 0.00426174+0.00228305j -0.00187073+0.0042154j 0.00552796-0.000711165j -0.000971892+0.00122145j 0.000875839+0.000176622j -0.00242355-0.00308261j -0.000493466+0.00710209j -2.72965e-05-0.00320854j -0.000241186-0.00192537j 0.00161199+0.00201571j 0.00098798-0.00421998j -0.00426511+0.000561491j 0.000936172+0.00212985j 0.00663498-0.00528053j 0.0087898+0.00402998j 0.00498941-0.00142807j 0.0064916+0.00422357j -0.00293828+0.00253375j -0.000830729+0.00246113j -0.000245961+0.000907177j -0.00871129-0.000505788j 0.00428562+0.00367526j -0.00140081-0.00167042j -0.00755371-8.95655e-07j -0.00317262+0.00240506j 0.00376826+0.000675989j 0.000522909-0.0010446j -0.00254389+0.00617473j 0.00362288+0.0018226j 0.00184383-0.00557397j 0.00431694-0.00181161j 0.00288671+0.00977174j 0.00819525-0.00502711j -0.000225645-0.00461456j 0.00264745+0.00040445j 0.00012771+0.00180861j -0.00416478-0.000228901j -0.000378348+0.00100947j -0.000522328-0.00237456j 0.00117138+0.00158708j -0.00650559+0.00729506j 0.00134567+0.000831765j 0.00221551+0.00221462j 0.00271889+0.00156414j 0.00302681-0.00067169j 0.000658136-0.00317904j 0.00538574+0.00844916j -0.000599222+0.00121231j -0.00674938+0.00910585j -0.00128585-0.000561504j -7.99343e-05-0.00411822j -0.00273366-0.00367035j 0.00116259+0.000280951j -0.00178956+0.00206592j 0.00013234-0.00376396j -0.000355722+0.000779007j -0.00276626-0.00434987j 0.000845667+0.00400726j 0.000506848+0.00189963j 0.0021783-0.00118281j 0.00118024+0.00626594j 0.000374396-0.00421866j -0.00136081-0.00463727j 0.00176935-0.00137416j -0.000274134+0.0036889j -3.18892e-05-0.00217672j 0.00449073-0.00231882j 0.000583398+0.000846034j -0.000571581-0.00351438j -0.000265327+0.00044123j -0.00118895+0.00148467j -0.00114478+0.000592995j -0.00206338+0.000508976j 6.54897e-05+0.000910339j -0.00097973-0.000377535j 
-0.00445366+0.00207477j 0.00445105-0.00285425j -0.00580078+0.00267023j 0.000250851-0.00132053j 0.00289498-0.00424809j 0.00596128-0.00987087j 0.00334999-0.00487023j -0.00513956+0.00490822j 0.000390676-0.00128851j 0.00474835+0.00458813j -0.000111146-0.00354829j -0.00150401+0.00659939j -0.0037158+0.00803743j 0.00220223+0.00378197j -0.00475355-0.00195558j 0.00366797+0.00494343j -0.00238151-0.00190253j 0.00541866-0.00510955j -0.00849019+0.00751477j -0.00477527-0.0106502j 0.00167318+0.00683949j 0.0019044-0.0035696j 7.46117e-05-0.00303204j -0.0116869+0.00100179j 0.00274233-0.000798011j 0.00391302+0.00245387j -0.00139745+0.00395156j -0.00351674-0.000579782j 0.00143738-0.00669496j 0.00424731-0.00107589j 0.00253213-0.00699045j 0.000159531-0.000355175j -0.00159952-0.00371076j 0.00121214-0.00991032j 0.0125928+0.00060043j -0.00816925-0.00697791j -0.00345025+0.00451599j -0.000384194+0.00181051j -0.000941259+0.0031833j 0.00630055+0.00491353j -0.00249133-0.000925133j -0.00331499+0.0036474j -0.003615+0.00639626j 0.00320548-0.00287051j 0.000340986-0.00964714j -0.0100426+0.00755127j -0.0105542+0.0045304j -0.000568116+0.00376764j 0.00765736+0.00280983j 0.00587106-0.000476008j -0.00024363+0.00213718j 0.00842723+0.00439658j -0.0043684-0.00157999j -0.00336762-0.00828314j -0.0102568-0.00404287j -0.00129572-0.00408528j -0.000388858+0.00144208j -0.00282131+0.0109549j 0.00113353-0.00375303j 0.00966775+0.00527484j 0.000285816+0.00484602j 0.00631888-0.00544157j -0.000570258-0.00341519j 0.000846404+0.00585005j 0.00256682+0.00757034j -0.011073+0.0102299j -0.00887311+0.00740376j -9.44454e-05-0.00161529j -0.00304316+0.00394486j -0.000709649+0.000434458j -0.00698212+0.00141631j -0.0053142-0.00292328j -0.00747761-0.00632214j -0.00227134-0.00100556j 0.00263211+0.00526962j -0.0044453+0.00653218j 0.00475814+0.00186402j -0.00341965+0.0024485j -0.000908826-0.00601178j 0.00139602-0.000547176j -0.00153949+3.36497e-05j 0.00273443+0.00230466j 0.00355558+0.00146827j 0.000183522-0.00188436j -0.00136991+0.00450958j 0.00235338-0.0019718j -0.000487298-0.00204755j 0.00193128-0.00172916j 0.00221231+0.00190649j -0.000482831-0.00135661j -0.00428377-0.000387199j 0.000757246-0.00376033j 
0.000829371+0.00276484j -0.00287343+0.00393715j 0.00126102-0.001223j -0.00208442-0.000359485j 0.00545832+0.000385527j 0.000569807+0.00815236j -0.000600438-0.000723833j 0.00422007+0.0045698j 0.0010399+0.000671187j -0.00327752+0.0063333j -0.00194703-0.000947261j 0.00490961+0.000232362j 0.00262894-0.00289425j -0.00043774-0.00391443j 0.00288266+4.27998e-05j -0.00155403-0.00239652j -0.00266917-0.000529505j 0.000449617+0.00487393j 0.000622581+9.03944e-05j 0.0045275+0.00233476j -0.00179285+0.00328425j 0.00200264+0.00336583j -0.00906184-0.000302417j 0.00461541+0.0103229j -0.00206568-0.0030418j -0.000119655-0.00707952j -0.00236071-0.00132539j 0.00437611-0.00935328j -0.00930978+0.00393388j -0.00136692+0.00312802j 0.00353476-0.00580135j 0.00565877-0.00106356j 0.00491593+0.000956927j 0.00170072+0.00620754j -0.00279761+0.00182439j 0.00396611+0.00158388j 0.00266291+0.00047844j -0.00214253-0.001088j 0.0076512-0.000127775j -0.00129589-0.00415918j -0.00175072+0.00109659j -0.00524374+0.00231866j 0.00107753-0.00162628j -0.000778544+0.000976991j -0.00184849+0.000205615j 0.007877-0.00624044j -0.000463761-0.00363749j -0.00134775-0.00113295j 0.00442087+6.51278e-05j 0.00257727-0.00893826j -0.00386414-0.00542167j -0.00226414-0.000886809j 0.00396102-0.00168564j 0.000658485+0.000584354j 0.00269394-0.00555007j 0.000977388+0.00253842j 0.00188766+0.0039776j -0.00188103+0.00747509j 0.00436845-9.31027e-05j -0.0013265+0.00216454j 0.00354842-0.00159586j -0.00265565+0.00294612j 0.00251229-0.00117064j 0.00634941-0.00132617j -0.00227023-0.00422642j -0.00177274+0.00176031j 0.00404441-0.00237363j -0.00192715-0.00123629j 0.000759986-0.00483042j 0.00177394-0.0021979j -0.00101154+0.00252835j 0.00197772+0.00022543j 0.00510883+0.000584284j -0.00156702+0.000823319j -0.00656777-0.00397299j 0.00187882-0.000296754j -0.000263182+0.000498833j 0.000181737+0.00301734j 0.000852832-0.00381331j -0.0002767+0.00176917j -0.00466506-0.00467106j 0.00275201+0.00504915j -0.00232398+0.000181888j 0.00308623-0.00380602j -0.000354439+0.000268549j 0.000724393-0.00120721j 0.000267144+0.00403065j 0.00124837-0.000350377j 0.00131653-0.00044647j -0.000234195-0.000726263j -0.00106139+0.000480003j -0.000502233-0.000766751j 
-0.000458444-0.00161597j -0.00117034+0.00415039j 0.00055491+0.000221857j -0.000987683-0.000423271j 0.00215952-0.00408143j 0.00365001+0.00391651j 0.00116056+0.000938162j 0.00362556+0.00313074j 0.00116612+0.000120838j -0.000532101+0.00305142j -0.0016868-0.000309319j 0.00318846-0.00115207j 0.00285343-0.00270534j -0.0019214-0.000563596j 0.00160325-4.57364e-05j -0.00100964-0.00141789j -0.00137103-0.00138964j 0.000906885+0.00289493j -0.0021611+0.0020916j 0.00112046+0.000399779j 0.00278711+0.00387938j 0.00622649+0.00103088j -0.00466094+0.00239305j 0.00549937-0.000466476j -0.00402097+0.000472748j -0.000570633-0.00423387j 0.00122057-1.71691e-05j 0.000588469-0.00436444j -0.00479399+0.00576507j 0.00198245+0.00115403j 0.00123345-0.00389428j 0.0059981+0.000249285j 0.00212624-0.000110837j 0.00169551+0.00214356j 0.000218488+0.00381064j 0.000342752+0.00130042j 0.000861814-0.000475459j -0.0044711+0.00414825j 0.00543744-0.0024051j -0.000852524-0.00400635j -3.47484e-05+0.00182233j -0.00225585+0.00304274j 0.00178104+0.0001269j 0.000901233+0.000381225j -0.00393896+0.00416193j 0.00154573-0.00204371j -0.000825945+0.000523265j -0.00237151+0.00239796j 0.000701371-0.00123962j 0.00108533-0.00346842j 0.00130385-0.00623315j -0.00131631-0.000227272j 0.00216133-0.000779575j -0.00179616-0.000133731j -0.000580211-0.00110006j -0.000727051-0.00171921j -0.000948984+0.0014146j -0.00292144+0.00440551j 0.000174501-0.00390571j -0.0038627+0.00246669j -0.00266994-0.00470934j -0.00295291+0.00367196j 0.00258778-0.000941707j 0.00280505+0.00145282j -0.00120916-0.00343902j 0.000380824+0.00115731j 0.00297768-0.00114329j -0.00331323+0.00149001j -0.0034953-0.00294478j 0.00217865-0.00193529j 0.00111332+0.00417097j -0.00028979-0.000297749j 0.00661604+0.0035108j -0.00221393-0.00148014j -0.00493491-0.000440884j 0.00091706+0.00112932j 0.00205949-0.00442698j 0.00146318+0.00241201j 2.48306e-05-0.00577668j 0.00211239+0.00246932j -0.00197621-0.0027053j -0.000520268+0.0028476j -0.00179106+0.00276312j -9.87361e-05-0.00056958j 0.00208432-0.00132492j -0.000360282+0.000604989j 0.00104102+0.00594923j -0.00165713-0.00221153j 0.00113444-0.00126332j 0.000706959-0.00324994j -0.00258218-0.000859778j 0.00132148-0.00142846j 
0.000140344+0.000914045j -0.00077062+0.00262974j 0.000546034-0.00131073j 0.000788479-0.000346825j 0.00136309-0.00582832j 0.00796491+0.00124658j 0.00196867-0.00364054j -0.00138107+0.00408269j 0.0029097-0.00308821j -0.000533062-0.00137974j 0.00134887+0.00071461j 0.00360062+0.000189061j 0.00299635+0.00014302j -0.000146073+0.000965046j -0.0030555+0.000513451j -0.000451446+0.00279534j -0.000431653+0.00221934j -0.000301157-3.46741e-05j 0.00146594+0.0011494j -0.00484887-0.0018718j 0.00626403+0.000676823j 0.00238503-0.0018884j -0.00248604-0.00730215j 0.00206114+9.22484e-05j 0.000758271-0.000802152j -0.000270832-0.00192087j -0.00226687-0.00259045j 0.00156067+0.000873054j -0.003197+0.00513154j -0.00258784+0.00257418j -0.000659653+0.00308087j -0.00209869+0.00181963j 0.00178294+0.00235563j -0.000788765+0.000611528j -5.61449e-05-0.000240604j -0.00322131-0.00116615j 0.00124877+0.00075714j 8.755e-05+0.00260807j 0.00150969+0.00163983j 0.00161941+0.00285497j -0.000472307-0.00121082j -0.000703902-0.000668164j 0.000615991+0.00392478j -0.00142469+0.000468772j 0.000635263-0.00229701j 0.000708847-0.00169308j -0.00316961+0.000387976j -0.000140689-0.00277461j 0.00337006-0.00268766j 0.00211058-0.00274618j -0.000559476-0.00148356j -0.000572445+0.000102454j 0.00130863-0.00177177j -0.00134582+0.0025325j -0.00139648+0.0012532j -0.0019965-0.00175195j -0.00558151-0.00018565j -0.00317178-0.00242605j 0.00436097-0.00319001j -0.00469125+0.00679687j 0.00472369+0.000596573j -0.000805083+0.00102889j 0.00454964-0.00326756j 0.00307051-0.00179824j 0.00141984-0.00247234j 0.000615521-0.0010533j -0.00189032+0.00152701j 0.000641545+0.000748549j -0.000302348+0.00122016j -0.000183727+0.000596115j -0.00337003+3.10094e-05j -0.0018993+0.000219296j 0.00226167-0.00170255j 0.000232046-0.00261153j -0.000182269+0.000729771j -0.00226466-0.0021462j -0.00285061-0.00455339j -0.00159176+0.000523663j 0.0004686+0.00310956j 0.000958644+0.00479549j 0.000862077+0.0049231j 0.0021243+0.00467823j -0.0104004+0.00278106j -0.00360796+0.00176964j 0.00179119-0.000795921j 0.000711269+0.0132064j 0.0021851+0.000778304j -0.0022959-0.0100754j 0.00974619+0.00877239j 0.00208557-0.00528736j -0.0157081-0.00203724j 0.000164925-0.0143947j 
