0.0013416+0.00288376j -0.00525806-0.00227436j 0.00656799-0.00564127j 0.0165134-0.000725449j -0.000885641+0.0040458j 0.000555031+0.0200361j -0.00194198-0.00967028j 0.00360753-0.0359116j -0.00687257+0.010643j 0.0076258-0.00773629j 0.000591233+0.00360041j -0.00843423+0.00721691j 0.00252331+0.00251979j 0.00258744-0.0019768j 0.000808156+0.00884393j -0.00890496+0.00729192j 0.00102545-0.00732858j -0.000354077+0.000342782j 0.000921121+0.00605192j -0.00811491-0.0001524j 0.00637341-0.000617557j 0.0027333+0.00404764j -0.00589437+0.00790924j 0.0112079+0.00146826j 0.0116279-0.0030998j 0.000457042-0.0134899j -0.000553267+0.00126308j 0.00431369-0.00124695j -0.00331075-0.00139978j -0.00243315-0.00852271j -0.0180555-0.00197468j 0.00352607-0.0130952j -0.00645113-0.00510073j 0.00417652-0.0149343j 
-0.00558807-0.00476403j 0.00297342-0.00221926j 0.0059602+0.00110159j -0.0063143-0.0101293j -0.00497555+0.0136406j 0.00841134+0.0486652j -0.00734037-0.00462879j -0.00571962+0.0257411j -0.0146352-0.0419959j -0.000214733+0.00973824j -0.00376207-0.0072334j -0.00192066-0.00421664j -0.00736146-0.00772143j 0.00598199+0.0035275j -0.0010413-0.00372363j 0.000447494-0.00580602j 0.00348142+0.00783441j 0.000411401-0.00156325j 0.00245047-0.0109554j -0.0104032-0.0285311j 0.00481734+0.00260763j -0.00145882-0.00419601j -0.000507107+0.00529566j 0.000590053+0.0021022j -0.00125453-0.00192345j 0.000404764-0.00226794j 0.00136208-0.00770323j -0.00160625+0.00415228j -0.000734069-0.00172172j -0.00133319-0.00487757j -0.000414489+0.0085362j 0.00368029+0.00210408j 0.000184536-0.0065097j 0.00319237+0.00349397j 
0.00187883-0.00896405j 0.00363311+0.00893027j 0.00929528+0.0128605j -0.00267272-0.00776706j 0.0193223+0.00187989j 0.000482153-0.00799977j 0.00658514+0.00680295j 0.00953705+0.000898312j 0.0141427+0.0193885j 0.0114197-0.00734362j 0.00510892-0.00117543j 0.00547001+0.016037j -0.00681956-0.00502509j -0.0103071+1.18181e-05j 0.0019192+0.00328129j -0.00567754-0.00188933j -0.00730787-0.00175871j 0.000946034+0.0094677j -0.0123124-0.0154753j -0.0111898-0.01806j 0.00281758+0.00280523j -0.00476261-0.00439449j 0.00588819+2.82186e-05j -0.000829497-0.000834532j -0.000907609-0.00661278j -0.000564427+0.00197801j 0.0011995-0.00489977j -0.00310669+0.00535457j -0.000227425-0.00571261j -0.000682664+0.00833201j -0.000578829+0.0078718j 0.000579543-0.00789907j 0.00367859+0.00586128j -0.00171473-0.0069242j 
-0.00232692+0.00733227j -0.00773368-0.00173877j -0.0104463-0.00971726j 0.00398036+0.00926889j 0.00612901-0.0078961j 0.00309187-0.00299559j -0.00710935-0.0114119j 0.0118093+0.000527388j 0.0154749+0.0030067j -0.0157694+0.00338602j 0.011506+0.00494276j -0.00124758-0.0131809j -0.00797038+0.00438948j 0.00324474-0.00470266j 0.00729548+0.000965334j 0.00518626+0.00857589j 0.0108124+0.0157404j 0.00677728-0.00290197j -0.0102557-0.0125247j -0.0162666+0.00473545j 0.000333944-0.0090655j 0.000134065+0.00404145j -0.00239559+0.00192689j -4.9062e-05-0.00161019j -0.00286491+0.00468928j 0.00207994-0.00598495j -0.00259682-0.00709046j 0.00424499+0.0039834j -0.00346533+0.0108233j 0.000179754-0.0064864j 0.00431743+0.00264627j -0.00214722-0.00381746j -0.00412956-0.00566822j -0.000961783-0.00136541j 
0.00742385-0.00913067j 0.00285128+0.001361j 0.00208191+0.00236902j -0.000464096+0.00180116j 0.0114668-0.00549327j 0.0161196+0.0220463j 0.00748996+0.00212266j 0.0112773+0.00823124j -0.00257143-0.0280456j 0.0145975+0.00943532j -0.0077509-0.00089047j 0.0132521+0.00252341j 0.00310119-0.00237448j -0.00662312+0.00260507j 0.00313782-0.0085574j -0.00361814+0.00651345j -0.0109472+0.00797278j -0.00279352-0.0117161j -0.0026532+0.00759058j -0.00441212+0.0229085j 0.00440966-0.00300152j -0.00213184+0.00333665j 0.00335261-0.00209813j 0.00118058+0.00309064j -0.00229982-0.000807554j 0.00651441-0.00873115j -0.00034796+0.00468234j 0.00468636-0.00324834j -0.00946614-0.000593638j 0.00559459-0.00014585j 0.000849957-0.0010941j 0.00419129-0.00434475j 0.00180559+0.0116506j -0.000662226-0.00760209j 
0.00896579+0.000874864j -0.00219068-0.0103853j -0.00969468-0.0112997j 0.0104319+0.00884048j -0.00477263-0.00148567j -0.0062363-0.0130969j 0.0128381-0.011799j -0.0066471+0.000153616j 0.00158679+0.0152824j -0.000538164+0.00262394j -0.00424966+0.0115925j 0.0096444-0.0090004j 6.02243e-05-0.0116316j 0.00176621+0.00303072j -0.00165085+0.00204139j -0.000424277+0.00787933j -0.00985671+0.0210874j -0.000182219-0.00797953j 0.00077257+0.00352828j 0.00661756-0.0206209j 0.000674281+0.0104334j 0.00367889-0.00687759j 0.00129572+0.00251915j 0.0039551-0.0047864j -0.00174957+0.00090834j 0.00699489-0.00650169j 0.00678355-0.00400458j 0.00126896-0.0021488j -0.000705742-0.00101073j 0.00472265-0.00708195j -0.00802578+0.00711183j -0.000215804+0.00307537j 0.00042892+0.00802642j -0.00246663-0.000292916j 
-0.00404693-0.00461276j 0.0164215+0.00484619j 0.00923167+0.00197973j -0.00778024-0.00811593j -0.0302577-0.0201643j -0.0433274-0.0137613j 0.00226443+0.0122413j -0.0309056-0.0195163j 0.0212835+0.00254658j -0.00510608-0.000229976j -0.00346549-0.00183215j 0.00154832-0.00108356j 0.00451475+0.000928648j 0.000374869-0.00133392j -0.00204412-0.00458787j 0.00029071+0.000802975j -0.00449041+0.00592385j 0.00290639-0.00447037j -0.00360431-0.00716053j -0.00448289+0.00265768j 0.00227181-0.00232893j -0.000152052+0.000752673j 0.00322701+0.00176898j -0.00160897+0.00228925j -0.00215866-0.00196478j 0.0037842-0.00195034j -0.00153468-0.00380705j 0.00125076+0.00270911j -0.000332852+0.00110481j 0.00273553+0.0022255j 0.00152587+0.00490988j 0.00445641-0.00204678j -0.00257173+0.00217754j 0.003015-0.00284289j 
-0.0057312-0.00682247j 0.00479643-0.00475134j 0.0141597-0.00232004j -0.010707-0.00653101j 0.0243098-0.0157609j -0.00175204+0.000423367j -0.00501182-0.00481048j 0.0054535-0.0024055j 0.00694216+0.00283897j -0.0143627-0.00117384j -0.00729898-0.00355072j 0.00466528-0.00183103j 0.00203859-0.00136656j 0.0123404-0.000410505j 0.00678065-0.000864336j 0.00634629+0.00164992j -0.00972837+0.00202403j 0.00805048-0.0100304j 0.0278449+0.00149957j -0.00166943+0.00733419j 0.00343349-0.000929799j 0.000205089+0.00363556j -0.00647459+0.00231188j -0.00974428+0.000441063j 0.0050454+0.00397776j 0.00929179-0.000493151j 0.00369317+0.00186182j -0.00234625-0.00449315j -0.00334477+5.10736e-05j -0.00351604-0.00399441j -0.00661413-0.00338336j 0.0109872+0.00931657j -0.0117263-0.0040385j 0.0152465+0.00526807j 
0.0167614-0.000649727j -0.00297291-0.000370061j -0.00615697+0.00428393j 0.00963214+0.00275811j -0.00523483+0.0273669j -0.0387694+0.0215635j 0.0110816-0.00165297j -0.0232938+0.0186114j 0.0289441-0.00244718j -0.00959576-0.000887833j 0.00235412+0.00552069j 0.00279289+0.008442j 0.00695757-0.00132339j -0.00304397-0.0045082j 0.00268674+0.00233685j 0.00211225+0.00394046j -0.000403116-0.00114632j -0.00176555-0.00101846j 0.0197442-0.00333497j 0.00185901+0.0157576j 0.00736056-0.00763448j -0.00592495+0.00404796j -0.00260204-0.00274008j -0.00704322-0.000299491j 0.00140049+0.00243807j -0.000475789-0.00159566j 0.000785546+0.00389672j -0.00287356-0.00306953j -0.0072418+0.000653203j -0.00036336-0.00288175j 9.2061e-05-0.0036846j 0.00657247-0.000875198j 0.00525796+0.000162813j 0.00331236+0.00101209j 
-0.0186476+0.00743698j 0.0142478-0.0173044j 0.0208041-0.00938826j -0.0262153+0.00396988j 0.00307728+0.0164227j 0.000283301+0.0193133j 0.00767169+0.00679855j -0.00360055+0.0195446j -0.00064576+0.00696576j -0.00703202-3.65556e-05j -0.00286071-0.00382889j -0.00425609+0.003143j -0.00218784-0.00785817j 0.0038109-0.00170865j -0.00842614+0.0066655j 0.00294266+0.0047804j 0.00168951+0.00896738j 0.00549956-0.00677605j -0.0151519+0.00192823j 0.00168902-0.000307799j -0.0109654-0.00167206j 0.00865062-0.00105118j 0.00131627-0.000211972j 0.00328842-0.00372572j 0.000946925+0.00365925j 0.0044282-0.00491397j -0.00328226-0.00203589j 0.00647665-0.00279714j 0.00838892+0.00469116j -0.00177481-0.00432122j -0.0013987+0.000915965j -0.00280017-0.0039431j -0.0165285+0.00177754j 0.00336518-0.00410503j 
-0.0303872-0.0101651j -0.0187742-0.00900249j -0.00073127+0.0105926j -0.0173504-0.0157792j -0.00689257-0.000163331j -0.0090281+0.013435j -0.0192673-0.00766978j 0.000892484+0.011714j 0.00988129+0.0050435j 0.00744864-0.00249995j 0.00852286+0.00666868j -0.00325276-0.00966648j -0.000257634-0.000556263j 0.000271451-0.000768837j 0.000759204-0.000335037j -0.00746495-0.00369286j -0.00818196-0.00681323j -0.0129432+0.00361005j 0.00578228+0.00227348j 0.00433401+0.00749852j 0.00852917+0.000879345j 0.00077058+0.0013835j 0.00404288+0.000805217j 0.00762707+0.00572695j -0.000509732-0.00381212j 0.00163965+0.00302942j 0.00185344+0.00609366j -0.00271854+0.000642476j -0.00781008-0.00663002j 0.0038507+0.00518804j 0.00356594-0.00157895j 0.00138156-0.00322484j 0.0102762+0.00518512j -0.00394309-0.00376876j 
0.00533467-0.0381323j 0.0154347-0.00202801j -0.00614875+0.00941274j 0.0162919-0.021324j 0.00209713+0.00224713j -0.00901844+0.00283293j 0.00473006-0.0188851j -0.00893015+0.00830454j -0.00706899+0.00523848j -0.00253156+0.0017377j 0.00432446+0.00954879j 0.00716761-0.0129546j 0.00596784-0.0036464j 0.000630013+0.00510016j -0.00372062-0.00180585j 0.00226096+0.000537572j -0.000271607-0.00389424j 0.00508976+0.00317286j -0.0126907+0.00233653j -0.00146618+0.00093242j -0.00694116-0.000564458j 0.00171781+0.00482325j 0.00241864-0.0013209j -0.00150402+0.00146588j 0.000417056-0.00220584j -0.00185258+0.00353079j -0.00347106+0.000413191j 0.00284681+0.00204896j 0.00652624+0.00143339j -0.0031582+0.00361283j 0.000207292+0.00217218j -0.00250844-0.00280457j -0.00580567-0.0081773j 0.0022492-0.00487512j 
