-0.10331+0.086397j 0.0860519+0.0995823j 0.0906617+0.198345j 0.206346-0.0729318j 0.127236-0.147228j -0.153897-0.202526j 0.0850937-0.130741j 0.0385912+0.00918102j -0.0790881+0.0623931j -0.0268382-0.00546498j 0.0881512+0.0434177j 0.155294-0.00549924j -0.0574408-0.251284j -0.161953+0.0308811j -0.112761+0.011843j 0.126434-0.000267351j -0.0508725-0.0973509j -0.0562681+0.109863j 0.131408+0.00488745j -0.0580248-0.0342639j 0.0556716-0.014j 0.019126-0.0121724j -0.0505104-0.046068j 0.0313656-0.0290233j -0.0638704+0.0591282j 0.00852243-0.022771j -0.0226327-0.0195014j -0.0197486+0.0455342j -0.0370354+0.0493339j 0.0169656-0.0245158j 0.00588261-0.0194203j -0.0248207+0.0948103j 0.00911437-0.0739482j 0.0129628-0.113381j -0.0410932-0.104879j -0.0690342-0.0209369j -0.0799483-0.0501783j 0.0390745+0.0964511j -0.056653+0.0838757j -0.0806622-0.0336799j 0.0225528-0.0761105j -0.0552639+0.0397417j 0.0628194-0.0269758j -0.0284146-0.0497517j -0.0816423-0.000797921j -0.0330309+0.000394608j 0.0633561-0.0252458j 0.00305764+0.0262478j 0.0189204-0.0212597j 0.0477802-0.0181993j 0.0982261+0.0388246j 0.0498812-0.0357083j 0.111775-0.0786835j 0.0618643+0.00874569j -0.0301457+0.048882j 0.0868028-0.0506168j 0.0791524-0.0495417j -0.0345574-0.0360243j 0.0141562-0.0314967j 0.0426516+0.0266048j 0.0294431+0.0644788j 0.0307174+0.0939994j -0.00644619-0.0747904j -0.00219521-0.100107j -0.0367866-0.0746576j 0.0997478-0.0304746j -0.0866525-0.0878604j 0.112236-0.018716j -0.0887324+0.0594728j 0.0903709+0.0252491j -0.114309-0.0856591j -0.0290804+0.151616j -0.0777127+0.0443203j 0.184589-0.147572j -0.146104-0.177196j -0.049775-0.119638j 0.118819-0.0501368j 
-0.00165905-0.0065554j -0.0077291+0.0021872j -0.000184148-0.00981056j -0.0078254-0.00261233j 0.00234195+0.000623444j -0.00361998+0.00233517j -0.00543796+0.00956426j -0.00186083-0.000563587j -0.00189-0.00670627j -0.000152744-0.00294923j -0.00184584-0.0104588j 0.00216754-0.00165756j 0.00394857-0.00316307j -0.00554602-4.95974e-05j -0.00531711+0.000527745j -0.000581155+0.0080305j 0.000888325+0.00610393j -0.00150412+0.0104888j -0.00619556-0.00393164j 0.0117614-0.00379987j -0.00547642-0.0109607j 0.00505655-0.000476535j -0.00218089-0.00214509j 0.00602976-0.00542752j -0.00163619-0.00836634j -0.00222708-0.00805399j -0.0032858+0.0059146j -0.00359448+0.00319495j 0.00808574+0.00945549j -0.00664339+0.0118135j 0.000825885-0.00223462j -0.00418628+0.00303271j -0.00811977-0.0019159j 0.0060944+0.00506468j 0.0072266+0.00987743j 0.016953+0.0052242j -0.0048555+0.00472525j 0.00514791+0.000442653j 0.00295335+0.00629722j 0.00770477-0.00250786j -0.00335035+0.00645663j -0.0003387-0.0133746j -0.00506552-0.0164218j 0.00889199-0.0145079j -0.00633555+0.00733627j 5.24745e-06-0.0175251j 0.0099953-0.00547585j -0.00301241-0.00295229j -0.00342038-0.00904296j -0.00786537+0.0103612j 0.00140536-0.000679001j -0.00950563-0.000482504j -0.000950672-0.00066422j -0.00488424-0.00831945j 0.0218185-0.00429224j 0.00589962+0.0103334j 0.00237428+0.00207139j -0.00831688+0.000531032j -0.00213101-0.00498991j -0.0010099+0.00126599j -0.0012925-0.00654513j 0.0113872+0.000469491j -0.000708988-0.000794444j -0.014312+0.00814945j 0.00244166-0.00398735j -0.00247154+0.00937824j -0.00284581-0.0100985j -0.00437049-0.00973606j -0.0132641-0.0151791j -0.00554491+0.00139423j -0.000311029-0.0126805j -0.00165181+0.00718487j 0.00696921+0.0189841j -0.00536513+0.000957133j 0.00234827+0.0120438j 0.0096814-0.00583194j 0.00658045+0.0105781j 
-0.00369974+0.000621942j -0.00040895+0.00318958j 0.00391917-0.00853259j -0.00742721-0.00253157j 0.00773463-0.00353939j -0.00327738-0.0132604j -0.00460075+0.00262321j 0.000923049-0.00906809j -0.00320092+0.00453201j 0.00250583-0.000794836j -0.00659351+1.65692e-05j 0.00210095-0.0107466j -0.00288582-0.000397559j -0.00175261-0.00444517j -0.00745301-0.0054968j 0.000365904-0.00891219j 0.00448866-0.00567165j -0.00375336+0.00462668j -0.00908008+0.014003j -0.00261353+0.000636215j 0.000766787-0.00226751j -0.0165739-0.000376507j -0.00120115+0.00685659j -0.00160739+0.00636029j 0.00420898+0.00236084j 0.000611422+0.00472798j 0.00721038-0.000506249j 0.0166145+0.00343852j -0.00634322-0.00697634j -0.00143445-0.00617157j 0.00316634+0.000816794j 0.00170481-0.00253819j 0.0039796+0.00104759j 0.00373625-0.00276066j 0.00238973+0.00323858j -0.00395346-0.00160168j 0.0013262-0.00144767j 0.00484174-0.00029837j -0.00538479-0.0152993j -0.00595175+0.00318898j -0.00112292-0.0137097j -0.00572407+0.00708977j 0.00046935+0.00352365j -0.00908303+0.00518692j -0.000697237-0.000983257j -0.00194289+0.0040688j -0.00164311+0.00434143j 0.00540146+0.00781753j -0.00274759+0.00101433j 0.010551-0.00361949j 0.00537646+0.00664834j 0.0120248-0.00721101j -0.0026379-0.00207211j 0.000845351+0.000221848j -0.0132201-0.00855076j 0.000279242-0.0049958j 0.00277514+0.00248905j 0.00862147-0.00474437j -0.0021969+0.00502771j 0.00162793+0.00627233j 0.00911723-0.00583158j -0.00659746+0.00682656j -5.73399e-05+0.00228787j 0.0138031+0.000969569j -0.00419813+0.000121421j -0.00572379-0.0108809j 0.000381867+0.000720913j 0.00378587+0.00790454j 0.00568642+0.0059945j 0.0102374-0.00228878j 0.00146992-0.00321144j -0.000362165-0.00204088j -0.000618777-0.00102661j -0.00906321+0.000984765j 0.00111842+0.00747979j 0.00285792-0.00137624j 0.00171158+0.00312759j 
-0.00144472+0.00260054j 0.00237488+0.00128342j 0.00177318+0.000623744j 0.000596773-0.00198576j 0.00340333-0.00328745j -0.0029464-0.00665231j 0.00185706+0.000103277j 0.00114128-0.00120794j -0.0036425+0.00114864j -0.00109361-0.000693072j -0.00223006-0.000772445j -0.00227267-0.00257262j -0.000592199-2.90411e-05j -0.000498949-0.00297355j -0.00600293+0.00226422j 0.000234166+0.00305416j 0.00250595-0.00216084j 0.000890208+0.00207638j -0.00119414-0.0023295j 0.00658849+0.00448213j -0.000290258-0.00172521j -0.00412792+0.000735356j -0.0038962+0.00341014j 0.000942921+0.00397342j 0.00192956-0.00287357j 0.00284094-0.00110823j -0.00217757-0.0001303j 0.00551717+0.00591226j -0.000206792+0.00134549j -0.00886422-0.00231611j -0.000797709+0.00488672j 0.00174746-0.00330854j 0.00170613-0.000963859j 0.00292191+0.00215847j -0.000159925-0.00309111j -0.00235143-0.00535537j -0.00281393-0.00435857j -0.00130378+0.00229677j 0.00229271-0.00354557j -0.00165415+0.00237797j 0.000252682-0.00610912j -0.00708928+0.0031944j 0.00532748+2.03456e-05j -0.00381658+0.00419976j 0.00254657-0.00185482j 0.00104319+0.000711765j -0.00380048+0.000676033j -0.000793362+0.00241862j -0.00459796+0.00100809j 0.00171881+0.00256948j 0.00377152-0.000694323j 0.00358274-0.000922795j 0.00448547+0.000430367j 0.00331547-0.00140227j -0.00533244-0.000687899j -0.000415364-0.00349884j -0.000826149+0.00184892j -0.00134724-0.00155189j 0.00275164+0.00269624j -0.00390125+0.00595975j 0.000681535+0.00236018j -0.00131089+0.00295662j 0.000249627+0.00602742j 0.00448507-0.00274206j -0.000343877+0.00304924j -0.00343772-0.00527601j -0.00231539+0.00127486j -0.00223879+0.00287616j 0.00151968-0.00339627j 0.00105422-0.00228599j -0.00106152+0.00110078j 0.00140531+3.55908e-05j 0.000234287+0.000421987j -0.00141784-3.86247e-05j 0.000116872+0.000995454j -0.000115543-0.00243332j 0.0025647-6.34391e-05j 
-0.000451727-7.58174e-05j 0.000748542+0.000540495j -0.00048936+0.00325678j 0.00212476+0.000392212j 0.000704874-0.00264435j -0.00224202-0.00126414j 0.0048676-0.00354196j 0.00288322+0.00349866j -0.00202985-0.0024229j -0.00121468-0.00183387j 0.0027728-0.00181623j -0.00298911+0.00712909j -0.000875282+0.000692122j 0.00331499+0.000220162j -0.0046126+0.00483531j 0.00295556+0.0104748j 0.00351651-0.00127422j 0.00177233-0.000133587j -0.00301638-0.00357842j 0.0103531+0.00353175j 0.000805818-0.00114335j 0.00164697+0.00205919j 0.00172865+0.00634372j 0.0045195+0.001616j -0.000128284-0.00739124j 0.00272326-0.004586j -0.00787951+0.00576003j 0.00180208+0.00625866j 0.00220289+0.00712867j -0.00789644+0.00245163j 0.00050818+0.00667658j -0.00227546-0.00869755j 0.0004207-0.00141474j 0.00464591+0.00056962j -0.00219629-0.00291858j -0.00170462-0.00610528j -0.00310108+0.000301122j -0.00434374+0.00364848j 0.00385126+0.00430482j 0.00489478-0.00186866j -0.00350685-0.00168272j -0.00536721+0.0051398j 0.00407637-0.00436285j 0.00316153+0.000314315j 0.00492721-0.00091657j 0.0023015-0.000315316j -0.00602204-0.000480578j -0.00389373-0.0020645j -0.00500174-8.93635e-05j 0.0010325+0.00399596j 0.000613848-0.00218186j -0.00341959-0.000889362j 0.00819771+3.00109e-05j 0.000656351-0.00321065j 0.000890928+0.00397682j 0.00255911+0.00119173j 0.00250425+0.00180759j -0.00764436+0.00419897j 0.00414617-0.000525137j -0.000510573+0.00739128j -0.00180714+0.00510974j 0.00162588+0.00145666j 0.00189812+0.00394161j -0.00598971-0.000100319j 0.00208341+0.00622916j 0.00277638-0.0014368j -0.000910163+0.00171217j -0.0090843+0.000778251j 9.76355e-05-0.00545316j -0.00513641-0.00137635j -0.00238447+0.0091256j 0.00740332+0.00198575j -0.00418436+0.00261707j -4.66069e-05-0.00106348j -0.00209348+0.000118516j 0.000184939-0.00094292j 0.00048535-6.29447e-05j 
-0.0010282-0.00107883j -0.000385949+0.00172398j 0.00194512+0.0051941j 0.00178222-0.00312468j -0.0041034-0.00325811j 0.000180161+0.00728127j 3.44754e-05-0.0050951j 0.00721801-0.00225233j -0.002185-0.00206869j 0.00490533+0.00838368j -0.00323183+0.00385448j -0.00175298+0.0112574j 0.00960351-0.00522908j -5.11482e-05+0.0021695j 0.00510926+0.00718829j 0.00174143+0.0157657j 0.0004374+0.00465019j 0.00487581-0.00247354j 0.00189581-0.021122j 0.00593831-0.00566697j -0.000990698-0.000908209j 0.0158486-0.00546299j -0.00408407-0.00737777j -0.0101095-0.00285868j -0.00421783-0.00166451j 0.00485964-0.00359082j -0.00720738-0.010183j -0.00941113-0.000909511j 0.00471275-0.00546324j -0.00852544-0.000262093j -0.00598497+0.0113732j 0.00267753+0.00471897j 0.00261286-0.00458123j 0.00619291+0.0106218j -0.0167859-0.0137499j -0.0209142-0.000817421j -0.00690623-0.00821165j 0.00163344+0.0108951j 0.00324001-0.00274804j -0.00253409+0.00533156j 0.00844625+0.00630913j -0.00194521+0.00436548j 0.00382691+0.00343872j 0.00527558+0.0132988j 0.00542632-0.0116851j 0.00339081+0.0100599j 0.00383068+0.00655932j -0.0113331+0.00399675j 0.00697401+0.00882531j -0.0093839+0.0108658j -0.00299896-0.0102604j 0.00511152+0.00949716j 0.00991602-0.00598297j 0.00798824-0.00225816j -0.000718713+0.0101242j -0.00669421+0.00392765j -0.00911158+0.00177695j 0.000785082+0.0110384j 0.0103427+0.00105678j -0.00559158+0.000301371j 0.00334956+0.0186517j -0.00395198-0.0042177j 0.00257991+0.00534057j -0.000134766-0.00570128j 0.00184685-0.00429877j 0.00521604+0.00628449j -0.00446982+0.00470964j 0.00138049+0.00069293j -0.00934324+0.00958231j -0.00306364-0.00241275j -0.00873807+0.00663686j 0.0034778-0.00433091j 0.0183341-0.0132824j -0.00430866-0.00438891j 0.000506543+0.00178853j 0.0047047+0.0024842j -0.00199109+0.00393371j 
-0.000571927-0.000832598j -0.000679483+0.000347234j -0.00165924-0.000958655j -0.000613453+0.00310593j 0.00205177+0.00174997j 0.0009552-0.00252143j 0.000700427-0.004599j 0.00333204+0.000124778j 0.00519246+0.00159601j -0.00383934+0.00194645j -0.00621837-0.000137279j 0.000294731-0.00869779j -0.00402908+0.00288903j -0.00241243-0.00276836j -0.000332475+0.00413036j 0.00310179-0.000344773j -0.00323067-0.00322714j 0.0102306-0.00960107j -0.00219041-0.01315j 0.0101575+0.00241391j -0.00176851+0.0040625j -0.00677202+0.00534976j -0.0170494+0.00236775j 0.00801356+0.00547498j 0.000313601-0.00558456j -0.00417699-0.00185024j -0.00877722-0.00319887j 0.0131623+0.0114289j 0.00441826+0.00341763j -0.00854634+0.0106125j -0.000134826+0.00522826j 0.00024972-0.00324062j 0.00715697-0.00362788j -0.000513853-0.00660969j 0.00335922+0.000898995j 0.00275008-0.00524509j -0.000376912-0.00561959j -0.000162672-0.00229874j 0.00945891+0.00178118j 0.00245056+0.00708483j -0.00154943-0.0111983j -0.00895405+0.00593945j 0.0118713-0.00801839j -0.00126724+0.00508795j -0.00118887+0.00157269j -0.000509253-0.0124486j -0.00672237-0.00162575j 0.00319954+0.00225046j -0.00869664-0.000115526j 0.000504899+0.00280834j 0.000985864-0.00305854j 0.00589663+0.00336156j 0.00100451+0.006383j 0.0065166-0.000485765j 0.000261216-0.00428417j 0.00400044-0.000741102j 0.00416759+0.00127189j -0.00739429+0.00271494j 0.00674232-0.0046346j -0.00752046+0.0113446j -0.0067305+0.0067139j 0.00263729+0.00479574j 0.0153664+0.00710539j 0.000528336-0.00741029j 0.010907+0.00198181j -0.00553113-0.0016105j 0.00219495+0.00219558j -0.004623+0.0140944j -0.00422253-0.0106275j -0.00545299-0.00526197j -0.00335254+0.00194552j -0.00151947+0.00227876j -0.00383866+0.00115693j -0.00109656-0.000456067j -0.0019125+0.0015714j -2.41153e-05-0.000738456j 0.000370086+6.9656e-05j 
0.00119957+0.00194398j 0.00138704-0.00143009j 0.0021663-0.00428378j -0.00327936-0.00221859j -0.00246381+0.000778986j 0.000987911+0.00289275j -0.0044315+0.00318513j -0.00229702-0.0013723j 0.00514886-8.19988e-05j 0.00374339+0.00661399j -0.00468708+0.00489539j -0.00402457-0.0130912j -0.0053473+0.00780628j -0.00348688+0.00812021j 0.0041099-0.000879723j -0.00547885-0.00953205j -0.0109815+0.00794074j 0.0112621-0.00714616j -0.00191451-0.0101419j -0.0146256+0.00441133j 0.0113525+0.00774494j 0.00846621-0.00625192j -0.0127288+0.00084634j -0.00121387-0.000289212j 0.00405963+0.00929188j -0.00949865+0.00348669j 0.0023112-0.0165489j -0.00502739-0.00370706j 0.00481905-0.00236395j 0.00451338+0.001541j 0.00285207-0.0092744j 0.00940874+0.00927973j 0.00328209-0.0110249j -0.00888135-0.00735406j 0.0042441+0.00412543j 0.00217489-0.00380668j 0.000598241-0.00217576j -0.00171327-0.00132813j -0.00198342+0.00475084j -0.000508821+0.000569927j 0.00461567+0.00338257j 0.00395633-0.00714061j 0.00562248+0.000391364j 0.00633372-0.00282828j -0.00307456+0.00339444j -0.01105-0.00569831j 0.00871066-0.00301202j 0.00597916+0.00576967j 0.00467172+0.00243623j -0.00692245-0.00195654j -0.00266423+0.0020587j 0.00219159+0.000426425j -0.00513513+0.0131387j 0.00295711+0.0068057j -0.000519049-0.00528416j 0.00213295+0.00968176j 0.00210654+0.000624438j 0.010979-0.00282453j -0.000734692-0.00276626j -0.00953311-0.00224368j -0.00833759-0.00226841j -0.00655148+0.00408243j 0.0097967+0.00293958j 0.0032628-0.00405137j 0.00577352-0.00960052j 0.00431265+0.0089783j 0.0102769-0.00970349j 0.0128245+0.0102069j -0.00630276+0.00519325j 0.0012812+0.00161759j -0.00135675-0.0108902j -0.0127244+0.00289917j 0.000327199-0.00592341j 0.00297873-0.00141865j -0.000932315-0.00283857j -0.00233267-9.91713e-05j 0.000336901-0.00206289j 
-0.000333997-7.83008e-05j -0.000602338+0.000197094j -0.00606427+0.000236259j 0.00171179+0.00669593j 0.000486826+0.00679425j 0.00560412+0.000936129j -0.00323209-0.00412546j 0.000749877-0.00138858j 0.00876528+0.00073158j -0.00481691+0.00319217j -0.00219563+0.00370674j 0.00353338-0.00719311j 0.00547933-0.00587354j -0.00679014-0.00695498j 0.00837011-0.00390242j 0.00195856-0.00746788j 0.00204522-0.00479652j -0.00551657-0.0115466j 0.00760522-0.00743005j 0.00638209-0.00545101j -0.0122949-0.000890372j -0.0131006+0.00908896j -0.0141562-0.00752274j 9.83796e-05+0.000342284j -0.00349637-0.000960334j 0.00135297+0.00548551j -0.00665431+0.0021384j 0.0135827+0.000934759j -0.00163307-0.00661762j 0.00353717+0.00581525j -0.00802812+0.00309159j -0.0016218+0.00161702j -0.00118054+0.00795878j -0.00574071+0.00179918j 0.0047743-0.00190786j 0.00398699+0.0110051j 0.0022529-0.010397j 0.00614078-0.00805952j 0.00848655-0.00636752j -0.00408281+0.0120619j 0.00277455-0.0105166j -0.00397327+0.00189114j 0.0015525-0.00691034j -0.0112042+0.0110873j -0.00595014+0.00235035j 0.00354649-0.00813716j -0.00472265+0.0010209j 0.00258732-0.00592338j -0.000746142-0.000498484j -0.00115767+0.00459072j 0.00026256-0.00309004j 0.00776677+0.009114j -0.00579074-0.00357201j 0.00801717-0.00137356j 0.00186936-0.00344804j -0.00359786-0.00952971j -0.00558688-0.00892598j -0.0104335-0.00198066j 0.000127973-0.00299813j -0.00287836+0.00131593j -0.000300508+0.00903446j 0.00801705-0.00603701j 0.00756952-0.00651254j -0.00188129-0.0101987j 0.002782-0.00907542j -0.0115346-0.00607352j -0.0115063+0.00532667j 0.00833025-0.000815766j -0.00380246-0.00611495j -0.00537127-0.0031835j -0.00224206-0.00433226j -0.0103086+0.000849466j 0.00380898-0.0052768j 0.00123637-0.00279289j -0.00236337-0.000960228j 0.000267091-0.00111095j 0.00130367+0.000517807j 
-0.00049799+0.00054953j 0.000794148+0.000344711j 0.000174636+0.00106562j 0.000391708+0.000406796j -0.00101858+0.00270925j 0.00451234+0.00264604j 0.00328127+0.00295712j -0.00445459+0.00553179j -0.00168386+0.00190372j 0.00506026-0.00153971j 0.00641839+2.63103e-06j 0.00545536+0.0118498j 0.0049881-0.00267713j 0.00601375-0.00115622j 0.0078407-0.00265376j -0.000366906-0.00515421j 0.00232304+0.00403934j -0.00549409+0.00632199j 0.0130318+0.00574828j -0.015049-0.000200813j -0.00510569-0.00459879j 0.00199732-0.00349056j 0.0104268-0.0121561j -0.00477681-0.00243786j 6.71845e-05+0.00481496j 0.00228805+0.00268545j 0.00555777-0.000719238j -0.0113361-0.00623842j -0.00708478+0.00104534j 0.00861451-0.0120785j -0.00599042-0.00346953j -0.000654202+0.00420394j -0.00470954+0.0080271j -9.70125e-05+0.00321765j -0.00482634-0.000553617j -0.000722596+0.00834383j 0.00501865+0.00400549j 0.00295265-0.0020989j -0.0054127+0.00167922j -0.0074821-0.00493472j 0.00104105+0.00511907j 0.00721528-0.0114756j -0.00718324+0.0124114j -0.00379153-0.00412015j 0.00196848+0.000950895j 0.00681339+0.00774439j 0.00513795-0.0017806j -0.00303647-0.00542438j 0.00606057-0.00823798j -0.00380799-0.00334835j -0.000934359+0.00547511j -0.00491695-0.0016476j -0.00568588-0.00837649j -0.00489804+0.00645992j 0.00348694+0.00376537j -0.0046379+0.0018563j -0.00255891-0.0057663j 0.00014171-0.00204397j -0.00897696+0.00456351j -0.000900192-0.0125497j 0.00437099-0.00603758j -0.0050857-0.010151j -0.0131761-0.00429275j -0.00216741+0.00434533j -0.00855648-0.000739831j 0.00654284-0.00148229j -0.00488604+0.00158523j -0.00224559-0.0142303j 0.00605458+0.00541642j 0.0031233+0.00373556j 0.00375299-0.00390838j -0.00479136-0.00305202j 0.00192739-0.00503262j 0.00505108-0.00381833j -0.00317694-0.00559321j -0.000785624+0.00178572j -0.00187415-0.000857691j 
0.00188266-0.001834j -0.00250517-0.00233698j 0.000961167-0.00422056j -0.00287896+0.000525092j 0.00975193-0.00441265j -0.00332161-0.012167j 0.00268933+0.00307973j 0.00147297+0.00128114j -0.0028831-0.00799267j 0.0150836-0.00318881j 0.00713981+0.00650143j -0.000681276+0.013506j 0.00642499+0.00306196j -0.00184545-0.00952493j 0.00668268+0.00704231j -0.00291631-0.00727829j 0.00487311-0.00913423j 0.00516804+0.00358518j 0.00545349-0.0019731j -0.00115981-0.00182547j -0.00557507-0.00339558j -0.00460413+0.00975295j -0.00368459+0.00194735j 0.00277183-0.000169033j -0.0126047-0.00548501j -0.00365899+0.00133134j 0.00430783+0.00161154j 0.0131879-0.000478768j -0.00356008-0.000347689j -0.00529028+0.00299407j -0.00655593+0.00369251j -0.00940987-0.0094738j -0.00810671+0.00780339j 0.00530787-0.00417875j -0.00141691-0.00496636j 0.00289691+0.00321556j 0.00287832-0.00667925j 0.000288953-0.00514987j 0.00228398+0.00218441j -0.00219224+0.00583393j -0.0037035-0.000936769j -0.00015759+0.00810633j -0.00764568+0.00166469j 0.0022176+0.00462931j 0.0157414+0.00711815j 0.00886636+0.00211524j -0.00199783+0.00330758j -0.00301245-0.0106013j 0.00332189-0.00557113j 0.0032189+0.00915654j 0.00654437+0.00297555j -0.00230337-0.00251293j -0.000359719-0.0210973j -0.0113131-0.0012744j -0.000865336-0.00264612j -0.000965533+0.00275729j 0.00423681-0.00390006j -0.0183992+0.0151164j 0.00653949+0.0143564j -0.00480828-0.00128574j 0.0157767+0.00141825j -0.00654479-0.0206283j -0.0158619+0.0127375j -0.0086809-0.00292722j 0.00960289+0.000486964j 0.000327555-0.00741451j 0.0017603-0.0068301j 0.0039505+0.000364067j 0.00694923+0.00182853j 0.00122723-0.00348288j 0.00201639+0.00126299j 0.00319962-0.000624874j -0.00169825+0.00615267j -0.000380778+0.0025914j 0.00179813+0.000912662j -0.000848015-0.00066724j 0.00072919-0.000455951j 
-0.000168618+0.00251024j 0.00239075+0.00101208j -0.000163665+0.00288954j 0.00235009-0.00248032j 0.000971918+0.00133932j -0.00139633-0.00148048j -0.00035193+0.00352428j -0.0044669-0.00505371j -0.00535542+0.00519901j -0.0169601-0.00431343j -0.00239436-0.00827625j 0.00212885-0.00131893j 0.00499329-0.00969906j -0.00242526-0.00628626j -0.0111435-0.00369109j -0.000592848+0.00319566j -0.000292913-0.00241899j -0.0107742+0.0124669j 0.00144941+0.0106831j 0.0123772-0.00578415j -0.0107061+0.000270786j -0.00993029-0.00111506j 0.00731509-0.00136948j -0.000748994+0.000816122j 0.00301774-0.00395734j 0.0063309-0.0060686j 0.00459853+0.0105697j 0.00102103-0.00294242j -0.00105082-3.25712e-05j -0.00601333-0.00564478j 0.00730847+0.00343214j -0.00552679+0.00563243j -0.00357396+0.00777067j 0.00875397+0.0101128j 0.000709391+0.00287638j 0.00247791+0.00134114j -0.00483239+0.00214759j 0.00343034+0.00277545j -0.00770767-0.0120984j -0.00526988-0.00179357j -0.00297915-0.00390096j -0.00546491+0.0010055j -0.00110212-0.00226051j -0.00847093+0.0067318j -0.0069013-0.0055539j 0.00538392-0.000227032j -0.00657619+0.00243201j -0.00300726+0.00487723j -0.00709552-9.44216e-05j 0.0044463-0.00352445j 0.00152851-0.000847822j 0.00018015+0.000431862j -0.00407273-0.00442184j 0.00170739-0.00326756j -0.00113812+0.00690812j -0.00667214-0.01062j -0.0101552+0.004616j -0.000390195-0.00598988j -0.00970577-0.000560015j 0.00908103+0.00243292j 0.00198456-0.0136462j 0.00307409+0.00143093j -0.00416075-0.00430324j 0.00883686+0.00193246j -0.00463048+0.00721477j -0.0121306-0.00175962j -0.00977149+0.00919493j -0.00985898-0.00507413j -0.00284213-0.00944957j 0.00104734-0.00164463j 0.00164009+0.000134764j 0.00574236-0.00552904j 0.00922832+0.00531434j -0.00740024+0.00484212j 0.00614812+0.00832853j 0.00188644-0.00213649j 0.00262798+0.00168115j 
0.000467974+0.00203022j 0.00229348+0.00014894j 0.00164652+0.00153298j 0.00118195-0.00402545j 0.00163822-0.000963882j -0.00260214-0.00294614j 0.00318957+0.00757256j -0.0112352-0.00221023j -0.00943033+0.00461143j -0.011133-0.00856217j 0.0038176-0.000500227j -0.00660628+0.00837867j 0.0105876+0.00462683j 0.00513473-0.00397499j 0.0024534+0.00675304j -0.00529888-0.0146227j -0.0119042+0.0150011j 0.00761709-0.00156023j -0.00204738-0.0111299j 0.000121088-0.00135307j -0.000708634+0.00874317j -0.00676218-0.0123612j -0.00814061+0.00672415j 0.00840294+0.00542283j 0.000338707-0.0033557j -0.010582-0.0016985j -0.00120033-0.00236863j 0.00387996-0.00132849j 0.00571278+0.000360267j -0.00172467-0.00442736j 0.00778154-0.00534312j -0.00230889+0.00689724j -0.0124294-0.00460395j -3.65424e-05-0.000287143j -0.00607111+0.00658091j 0.000748653-0.00607733j -0.00677629+0.000189438j 0.00425176+0.00321726j -0.00702718-0.00818184j -0.0128343-0.00870752j -0.00388654-0.00430791j -0.00840874-0.00123715j 0.00154673-0.00331467j 0.00457415-0.000695035j 0.00422476+0.00269967j 0.0032845-0.00145305j -0.00899284-0.00330116j 0.0037276+0.00220242j -0.00435285-0.0126329j -0.00118424-0.00431055j -0.00236567+0.0129224j 0.00355491-0.00159569j -0.000466319-0.0107618j 0.00214603+0.00932714j -0.00740294+0.0101763j -0.00231801+0.00247277j -0.00425352+0.00619588j -0.00797551+0.00446297j -0.0242213-0.000360514j -0.00823575+0.012243j 0.00191124-0.0154954j -0.015466-0.00848136j 0.00219532-0.00126691j 0.00434171-0.0136228j 0.0120678+0.000673314j 0.0122916+0.00756644j 0.00219763-0.0133365j 0.00402178+0.00582738j -0.00588958-0.00344169j -0.00561091-0.001549j -0.00577556+0.00339002j 0.00273209+0.00290687j 0.00285882-0.000702666j -0.00108842-0.000509746j 0.00031663+0.00132121j 0.00134704+0.000361145j -0.000190412+0.00107922j 
