0.0734481-0.100212j 0.156624-0.0381823j -3.81386e-06-0.0133672j 0.15572+0.0405087j 0.0701499+0.0999481j 0.0941227+0.0352069j 0.06467+0.129266j 0.00411328-0.0572222j -0.000193014+0.13128j 0.00422315+0.0560665j -0.0655343+0.128452j -0.0934417+0.03311j -0.0084617+0.0527402j 0.0655365-0.0431561j 0.0607065+0.0108641j -0.0395275+0.055202j -0.0634319-0.0631336j 0.0427448-0.0322577j -0.0690666-0.0386272j 0.00702287-0.0240017j -0.0279194+0.054974j -0.0165326+0.0283786j -0.0130216+0.0372623j -0.0121932-0.0390911j 0.0161529+0.0284629j -0.0266791-0.0539746j 0.00598152+0.0247994j 0.0694687-0.0379735j -0.043149-0.0320986j 0.0639016-0.0625113j 0.04074+0.053556j 0.0590053-0.0086982j -0.0645923-0.0433385j 0.0070903+0.0514684j 
0.0153833+0.178047j 0.00587744-0.127369j -0.0699973+0.0976706j -0.114049+0.0481881j 0.17507-0.0455212j 0.0257748+0.119503j -0.0489254-0.0494232j 0.019628-0.0702762j 0.106728-0.149434j -0.0602423+0.0446854j 0.0594118+0.0308648j -0.123062+0.0149438j -0.0237453+0.0517662j 0.0150738+0.00769111j 0.0414758+0.0220268j -0.0184523+0.0393102j -0.0076062+0.0105014j -0.0468573-0.0176141j 0.0227862-0.0101943j 0.0267745-0.0032552j -0.00415491+0.00700042j 0.00487932-0.0434545j 0.0918904-0.0202307j 0.0101761+0.0938041j 0.0386797-0.0188058j 0.00523912-0.00824026j 0.0054211+0.0266197j 0.00227626-0.023646j 0.0322587+0.0381432j -0.005347+0.0104176j -0.0313432+0.0310157j 0.0341399+0.0321097j -0.0113239-0.0122201j -0.0402959+0.0389091j 
0.227878+0.200556j 0.0507257-0.232158j 0.104623+0.0754652j -0.21136-0.0491622j -0.00269222+0.0667466j -0.00934609+0.00438339j -0.0564216+0.0942295j 0.0308867+0.0441971j 0.0216803-0.0889723j -0.00422009-0.0777594j 0.0731788+0.0888588j -0.00254069-0.0347908j -0.0249236-0.0497376j -0.0160134+0.0243778j -0.058227+0.0488762j -0.0116167-0.0673168j 0.0386413+0.0139909j 0.0199354-0.0345032j 0.0242012+0.0618011j -0.066172+0.0499779j 0.0445434-0.0498386j 0.0765235+0.0707015j -0.07272+0.0202454j -0.0419197-0.0683814j 0.0199743-0.0108977j -0.0427222-0.0351092j 0.0591519+0.00212763j 0.0126257-0.0487107j -0.0258228+0.0112678j 0.0256284-0.03448j 0.00609379-0.0198735j -0.000371643+0.02456j -0.0332251-0.0172615j -0.0203159-0.00934561j 
-0.0931853-0.155273j 0.165998+0.164065j 0.188884+0.00252171j -0.123096-0.0743968j 0.00213244+0.042734j -0.0658779+0.0534381j -0.0510378+0.0586575j 0.105984+0.0385673j 0.069026-0.0415513j 0.014697-0.0882584j 0.0953314+0.0805148j -0.00205892-0.0397308j 0.0360552+0.0260618j 0.02614+0.0526309j 0.0402222-0.0593495j 0.0112031+0.0223816j 0.0362742-0.0154382j 1.35742e-05+0.0381751j -0.0190255+0.0186943j -0.0108166+0.0125287j 0.0217902+0.0342658j -0.0341628+0.0540434j 0.0675203-0.0244852j 0.0653021+0.0391563j -0.0399101-0.029779j 0.024462+0.0306071j 0.0156353-0.0265835j -0.0195256+0.0282562j 0.0116981-0.033596j 0.0259092-0.0468738j 0.00125518+0.00733752j -0.00163402+0.00225475j -0.0550788-0.0146036j -0.00913496-0.0156452j 
-0.183392+0.132072j 0.25314-0.0324692j 0.0356795-0.0391335j -0.0663026-0.0641287j -0.016258+0.00999739j 0.0705577-0.171262j 0.00724526+0.172241j -0.125918+0.114059j -0.183155-0.107092j -0.0295437-0.0137305j 0.0296284+0.0691439j 0.0184331+0.00242793j 0.011384+0.0528863j 0.0144422+0.017491j 0.0441941+0.0407294j -0.0263058+0.00434743j 0.035126+0.00776831j -0.0211498+0.00120127j -0.00740395-0.0173705j 0.0124112-0.000559529j -0.0361619-0.000990557j 0.0158234-0.0370132j 0.0249224+0.010815j -0.0493718+0.0562133j -0.00386271-0.0200009j -0.000997025+0.00648635j 0.0219883-0.028546j -0.0672244-0.0149656j 0.037143-0.00505946j 0.012303-0.00938366j -0.0106467-0.00120114j 0.0100366+0.00276026j -0.0228287-0.0168446j 0.0066052-0.000795382j 
0.00479135+0.00291753j 0.00196025-0.00934998j 0.0167535+0.015654j -0.00576827-0.0468964j -0.166857+0.160907j 0.0137519-0.00183721j 0.00656439-0.0314682j 0.0706904+0.0342487j -0.124833-0.0040108j -0.0189488-0.101553j 0.176063+0.255099j -0.0308695-0.232828j 0.0112657-0.0038401j 0.00319605+0.0139384j -0.00384282-0.0034552j -0.0369095-0.00281383j -0.0206151+0.000929986j 0.0353523-0.0194054j -0.031908-0.000122398j 0.0115243-0.0137241j -0.0126021+0.0346488j -0.0154828+0.0128094j -0.034231+0.00170026j 0.0441031-0.00147548j 0.0113991-0.017551j 0.0153005+0.052777j -0.0568687+0.031151j -0.127658-0.00366432j 0.0895246+0.0195616j -0.0387305+0.0710985j 0.00711006+0.138831j 0.0552061-0.027258j -0.0724106+0.137484j -0.0324307+0.100664j 
0.00929553+0.00443807j 0.0065118-0.00502295j 0.00896334-9.88914e-05j 0.0557719-0.076029j 0.235497+0.171385j 0.0115909+0.0207696j 0.0612657-0.0219999j 0.0836922+0.0589545j -0.0454676-0.00774166j -0.186066-0.15802j 0.0676375-0.00195083j -0.016138+0.152005j 0.0198157+0.0136092j -0.0396054+0.0221361j -0.001852-0.00830312j -0.0309814-0.0375464j -0.0296379+0.00232423j 0.042297-0.00314324j -0.0157482-0.0411753j 0.0265114-0.00958049j -0.0304787+0.0111796j -0.0228682-0.00162165j -0.0595603-0.00607325j 0.0458867-0.0593079j 0.0297335-0.00531446j -0.0552259+0.0237556j 0.0173168+0.0132388j 0.047182+0.00462939j 0.0137628+0.101409j -0.0900899-0.00999968j -0.0979061+0.052923j -0.00196428+0.0200082j -0.0596877+0.00683444j -0.0500777-0.0994743j 
-0.015984-0.00635951j 0.0106048+0.00577835j 0.0292677-0.0350506j -0.0306192+0.190878j 0.0323491+0.414149j -0.012729-0.0260265j -0.0860439+0.0179874j -0.119919-0.0938415j 0.0655072+0.0744045j 0.136261+0.0655817j 0.0690415-0.165998j -0.197395+0.0146406j -0.00549824-0.0154858j 0.0456359+0.00284311j 0.00363859+0.00311039j 0.0244451+0.0233311j 0.0513437-0.0177349j -0.0199816+0.0329412j 0.00477704+0.00774898j -0.0202728+0.0096892j -0.0112088-0.0120197j -0.00136851+0.00774712j 0.0659024+0.0175932j -0.0872885+0.0716468j -0.00188311+0.004155j -0.0669186+0.00618875j 0.00488602-0.0685146j -0.000933211-0.100565j 0.0180167+0.0292307j 0.0278931-0.0264157j -0.028324+0.0120746j 0.0255403+0.0824946j -0.0177227-0.0487526j -0.0777027+0.0300169j 
-0.00891509+0.0189294j 0.0634957+0.0071953j 0.0312537-0.018386j 0.22348+0.0839236j -0.0723637+0.0144081j 0.0086754-0.0036895j -0.00542463-0.0228271j -0.0937332+0.0137783j -0.0165802-0.0817551j 0.0272025-0.147338j -0.10359+0.0575129j 0.0441114+0.163181j 0.0146917-0.0204454j 0.0366171+0.0291623j 0.00310523+0.00840034j -0.0170728+0.0357774j 0.0169059+0.0213879j 0.0157667+0.0122245j -0.0409467+0.03686j -0.012611+0.00373438j -0.0321327-0.0140464j -0.0161592+0.0168068j -0.00524914+0.0866369j -0.0131193-0.0470149j -0.0255485-0.0320815j -0.0130124-0.0702438j 0.108818+0.0706482j 0.016035+0.0114486j 0.00485138-0.000888654j 0.00785021+0.0706046j -0.0434434+0.00846592j -0.0400203-0.0075597j 0.0482284+0.0752939j -0.0241784-0.0256327j 
0.0214001-0.0107494j -0.0503996+0.0983575j -0.06177+0.179507j -0.133014+0.150191j -0.287125+0.0979814j -0.0174796+0.0395032j 0.119331+0.0397659j 0.137338+0.0700075j 0.11701+0.00342483j -0.0577303-0.0761909j -0.10287-0.141784j -0.0601622+0.153953j -0.00992314+0.00949772j -0.0459859-0.02046j -0.0080964-0.00116801j -0.0290056-0.0225953j -0.0541215+0.0184644j 0.034772-0.048415j 0.0445042+0.0333446j 0.0131811-0.0453747j 0.045926+0.0196789j -0.011663-0.0204055j -0.0148715+0.012801j -0.0128789-0.0632214j -0.0551651+0.0493541j -0.073556-0.0785281j -0.0598672-0.135264j -0.0557774-0.0508576j -0.043199+0.016521j 0.0731598+0.0665618j -0.0796958+0.0631251j -0.0663811+0.0405012j -0.0419808-0.00393997j -0.00466099+0.0262094j 
0.00934525+0.00415725j 0.0291333+0.0542133j -0.0631589+0.200976j 0.127588+0.230962j 0.202397+0.0767844j -0.00423344+0.0191345j 0.0503421+0.0157488j 0.116114+0.0836286j 0.0685738+0.00318494j 0.0226433-0.0872251j -0.061334+0.0923461j 0.00316963-0.0954699j 0.00247657-0.000627471j -0.0128906+0.00642514j -0.00599731+0.0140262j -0.0228567-0.00214097j -0.0515487-0.000421567j 0.0225487-0.0186523j 0.00505858+0.0356755j -0.0107147-0.0684144j 0.0924065-0.00471118j -0.0265977-0.0412466j 0.0152383+0.00950403j 0.0115168-0.0383493j -0.0551667+0.00682287j -0.0244109+0.139065j -0.0501469-0.0683113j 0.113627-0.0322564j 0.0593982-0.103801j -0.0372291+0.0202604j 0.0767181+0.012195j 0.0871459-0.0382232j 0.0653997-0.0404269j -0.0261434-0.0461907j 
-0.0112965+0.0304153j 0.0525943-0.181602j -0.0251795+0.16565j 0.0932168-0.0469375j 0.269109-0.0688548j 0.0309135-0.0271184j -0.151177-0.0553015j -0.0305241-0.00192627j 0.0973779+0.128941j -0.0624145-0.0284959j 0.0286244-0.0198703j 0.0216971-0.00383332j 0.0141731-0.0045893j 0.0524243+0.0160537j 0.0169172-0.00998102j 0.000501788+0.0229524j 0.0578019-0.0182463j -0.00185729+0.0686646j 0.0726083+0.0210049j -0.0285164-0.0787886j 0.0516715-0.0186093j -0.100041-0.0330712j 0.000891634-0.0139899j -0.0327635-0.00721149j 0.00214716+0.0445588j -0.0588415-0.127475j -0.0605917-0.0652097j -0.105698-0.0504967j -0.068294+0.0555287j 0.0635517+0.0425833j -0.0379127+0.0263484j -0.0831009+0.0233616j -0.0297887+0.0839469j 0.0479173+0.0666927j 
-0.013728+0.0333262j -0.0207341-0.196601j -0.0102397+0.142749j -0.169597-0.155194j -0.321568-0.056076j 0.0392746-0.0335969j -0.158851-0.0831381j -0.050516-0.035651j 0.064002+0.122692j -0.0791314-0.026268j 0.0433548-0.0126331j 0.0314189+0.0240199j 0.0189573-0.00282932j 0.0575696+0.0230975j 0.018204-0.00652736j 0.00733814+0.00139328j 0.0523291-0.0439909j -0.00890849+0.0879097j 0.0255685-0.00704082j -0.033792-0.0558634j 0.0468814-0.0379372j -0.0926523-0.042806j 0.023344-0.0435552j -0.0162062+0.0259616j 0.0137647+0.013503j -0.0280059+0.0881925j -0.00535474-0.0281673j 0.111154-0.0856526j 0.0101146+0.00880101j -0.085949-0.0510679j 0.014908-0.0405366j 0.0516768-0.0128307j 0.019191-0.049438j -0.0423445-0.0694749j 
0.00920531-0.00254756j -0.0230101+0.0353149j 0.215127+0.213235j 0.00318086+0.142069j 0.01538+0.00267117j 0.0261121-0.00642907j 0.0269662-0.0583049j 0.0323448-0.0667495j -0.0300051-0.134281j -0.0359622-0.102519j -0.0468494+0.168174j 0.0384049+0.0479059j -0.0080913+0.00790036j 0.00733421-0.0240788j -0.0179631-0.0244666j -0.0107054-0.0351344j 0.0254236-0.0790847j -0.048106-0.0209343j -0.064534-0.0325122j 0.072987-0.0134253j 0.0598135+0.0700283j 0.0454371+0.0319589j -0.0634981-0.0490946j -0.0517117+0.0104608j -0.00380091-0.0943484j 0.0413073-0.0694582j 0.0577527-0.072291j 0.0806669+0.0357446j 0.145015+0.0305444j -0.0460803+0.00900519j 0.0854699-0.0447453j -0.0451588+0.0516026j 0.0218642-0.025035j 0.00285403+0.0186614j 
0.0241606-0.0174019j 0.00996531-0.0155717j 0.301655+0.167251j 0.155531+0.0109166j 0.0348774-0.0162069j -0.00488114-0.0070153j -0.0330192+0.0212438j 0.0222403-0.0873262j 0.0605969+0.0140097j -0.0288343+0.184472j 0.0380578-0.105677j -0.0259503-0.048842j -0.0108595-0.00280868j 0.0104525-0.013736j 0.0219763+0.000190691j 0.0210586-0.0302884j 0.0115391+0.0166376j 3.84864e-05+0.00174358j -0.00811225+0.108707j 0.085285-0.00711453j -0.101893-0.0348171j -0.0161166-0.0152803j 0.0678555-0.0183745j 0.0555527+0.0247722j -0.116679+0.119498j -0.119886+0.0283149j 0.118066+0.110683j -0.0268028+0.0172563j -0.0522365-0.0190929j 0.0133434-0.0405169j -0.136064+0.0331515j 0.0332878-0.0560577j 0.000295084+0.0394934j 0.00620303-0.00897022j 
-0.0492394-0.254014j -0.138837-0.0880679j 0.000903496+0.0336953j -0.134316+0.102099j -0.0409352+0.254357j -0.178095-0.0439125j 0.0405599+0.0722871j -0.0606431-0.0264697j -0.00044351-0.0460114j -0.0616934+0.0283777j -0.0364848+0.0705801j 0.177325-0.0463363j -0.0585634-0.0333744j -0.0366662+0.0181634j -0.0498613+0.0407813j 0.00366943-0.0578143j 0.00624539+0.00466956j 0.0500512+0.00807749j -0.00993722+0.0608136j 0.0484796-0.0625724j 0.0318213+0.0467452j -0.0189125+0.000650337j 0.00609142+0.0261796j 0.00636502-0.0266213j 0.0186804+0.00118956j 0.0308784-0.0450985j 0.0479243+0.0614958j 0.00879415+0.0618022j -0.0489587+0.00842175j -0.00697512+0.00508098j -0.00459295-0.0565985j -0.0495323-0.0419205j 0.034487+0.0193299j 0.0581985-0.0326301j 
-0.00227512+0.296594j -0.0020761+0.206674j 0.0137707+0.000447675j -0.0510666+0.201687j -0.0715298+0.281794j 0.167275+0.0675728j -0.0742112-0.0820739j 0.0294333+0.0980223j -0.0357431-0.0022816j -0.055307+0.0876529j -0.0875266+0.0603192j 0.18107-0.0230566j 0.0586235+0.0454239j 0.0225363+0.00464145j 0.0592598-0.0290788j 0.00852203+0.0650868j 0.0109379+0.0166581j -0.0677661+0.00891172j 0.0374316-0.0562017j -0.0313525+0.0444222j -0.036421-0.0720653j 0.0083182-0.00319725j -0.0387122-0.040372j 0.0487707-0.029187j 0.00931566+0.00593646j 0.0522831-0.0595471j 0.0189919+0.0516758j 0.0205247+0.0637792j -0.0641875-0.0246521j 0.0123032-0.0136663j 0.0257022-0.0613406j -0.0500598-0.0444719j 0.0206125+0.00265807j 0.0676777-0.0289951j 
0.0589159-0.0879639j 0.334122+0.0511728j 0.000198842-0.00562393j 0.326175-0.0558335j 0.047349+0.0889687j -0.0371317-0.017771j 0.00577159-0.0255929j -0.00851482-0.0901444j 0.000162089+0.0156519j -0.00873624+0.0899817j -0.00452735-0.0263184j 0.0381468-0.0168867j -0.0287919-0.00506452j 0.00614048-0.0525014j -0.0138866-0.0107687j -0.014793-0.06078j 0.0096736-0.0363359j 0.034444+0.0382032j 0.00119866-0.0541255j -0.081936+0.072693j 0.0949827+0.0498143j -0.0404202-0.0765271j -0.0037528-0.0285229j -0.00276403+0.0272738j 0.0399622-0.077386j 0.0949568-0.0509032j -0.0823715-0.0727937j -0.00251909-0.0554316j -0.035638+0.0386322j -0.0109914-0.0353752j 0.0154524-0.0619522j -0.0137288+0.0115377j -0.00657552-0.0543384j 0.0281463-0.00536024j 
0.0208785-0.00372417j -0.147929-0.103299j 0.270619-0.00705128j 0.146027-0.107708j -0.023526+0.000244528j -0.0227404+0.00717853j -0.0122658+0.0804504j -0.00815608+0.047774j 0.0720742-0.00105714j 0.00974707+0.0462528j -0.0145861-0.0803198j -0.0226678-0.00561329j 0.0114079+0.00521468j -0.0488763+0.0666747j -0.00135332+0.0354299j 0.070391+0.0506684j 0.000793074+0.0165388j -0.0203984-0.00825341j 0.035078-0.0404788j 0.0766256-0.068514j 0.012865-0.00897693j 0.0636794+0.0256714j 0.0139027-0.0106825j -0.0119079-0.0109946j 0.0624689-0.0275795j -0.0140331-0.00458188j -0.0790485-0.0659496j 0.0362272+0.0397168j -0.0235962+0.00724559j -0.00159052-0.0147093j 0.0686778-0.05191j 0.0040288+0.0342276j -0.0496469-0.0670574j 0.00966786-0.00720283j 
0.0109968-0.0250576j 0.0956865+0.0350087j -0.00197516-0.114214j 0.0927062-0.0362303j 0.00754798+0.0253159j -0.0129259+0.0160038j 0.027277-0.0177721j 0.0189272+0.146275j -1.17e-05+0.140323j 0.0187521-0.149125j -0.0273806-0.015971j 0.0140398+0.0157331j -0.00838258+0.0065854j -0.00265221-0.0181261j -0.0212878-0.0296142j -0.0286678-0.0417818j 0.000269151-0.0579623j -0.112971-0.0382694j -0.00958651+0.0147458j 0.0141968-0.14156j -0.0629208-0.127351j 0.012887+0.173133j -0.0980239-0.0812j -0.0982142+0.0836135j -0.011327+0.174876j -0.0618941+0.128492j 0.0131096+0.140841j 0.0130812+0.0149079j 0.114303-0.03721j -0.00254418-0.0551321j 0.0310279-0.0431512j -0.0208424+0.030355j 0.00276689-0.0198863j 0.00810557+0.00577778j 
0.0373552+0.0158232j 0.155289-0.0151291j -0.298298+0.174795j 0.00782752+0.0156674j 0.0204378+0.0180333j 0.0241279-0.052424j -0.0382319-0.101084j -0.029071-0.184383j -0.0602312+0.0143335j 0.0229324+0.0895316j 0.0342987+0.0194194j 0.00490467-0.00795098j -0.00539276-0.0118343j -0.00218084+0.0392471j 0.035707+0.058573j 0.134258+0.0351654j -0.00676337-0.0371501j 0.0540044-0.0203419j 0.0245078+0.017783j 0.115608-0.110277j -0.119208-0.0317881j 0.118062+0.116128j 0.0606014-0.0237267j 0.0682169+0.0206243j 0.0164767-0.0159339j -0.103267+0.0367219j 0.0871064+0.00732756j 0.00958209+0.109572j -0.00194141-4.49606e-05j -0.0102988+0.01508j -0.0228891-0.0300491j 0.0231588-0.00243212j -0.0103966-0.0128093j 0.0102637-0.00348789j 
