0.0119728-0.00609632j 0.00562249+0.00463796j 0.00586124-0.00502784j -0.00831242-0.000423244j 0.004584-0.0014038j 0.00142163+0.00328261j 0.00699943-0.0064204j -0.00544224-0.00250273j -0.00666764-0.00157405j -0.000179657+0.00350824j -0.00274734-0.00233342j 0.00175441-0.00688698j -0.00402024-0.00313614j 0.00102437+0.00541379j -0.00284245+0.00132664j 0.004217-0.00365254j -0.000960059-0.00301318j 0.00306013-0.00321j -0.00208844-0.00353043j -0.0023345-0.00160662j 0.00625156+0.000179909j -0.00219416-0.00544629j 0.000163518+0.00447707j -0.00304191-0.000514546j 0.00311137+0.00196381j -0.00282023-7.99426e-05j 0.00197913+0.00125543j 0.00124995-0.000797336j -0.00130467+0.00181918j -0.000706859+0.00190305j -0.0017123+0.00147319j -0.00403773-0.00256725j 0.00250477+0.000731276j 0.00231272-0.00227357j -0.00060469-0.00090501j 0.00079977-0.000746455j 0.00338952-0.000371705j 0.00176605-0.0024548j 0.00270981-0.00317394j -0.00625942+0.000303339j -0.00146271-0.00235235j -0.00309671-0.000688215j -0.00411055+0.00340693j 0.003926-0.00420036j 0.00192829-0.00215297j 0.00448073-0.00446381j -0.00621582+0.00458084j -0.000415218+0.00668523j 0.00397007-0.00812594j 0.00601851-0.00500508j 0.00194939+0.00192212j 0.0060282-0.00716149j -0.0043779-0.00140222j -0.00145873+0.0102958j 0.00641303+0.00304054j 0.0112931-0.00577694j -0.00379925+0.00772742j 0.0069777-0.0025722j -0.00864527+0.014231j -0.00256428-0.0106288j 0.0192092+0.0118169j 0.00626592-0.0140725j 0.00446233+0.00365535j -0.0015314+0.00945086j 0.00649541-0.0138966j 0.0238587+0.015541j 0.0121274-0.0133769j 0.0277194-0.000657781j -0.0481977+0.0126483j 0.0200517+0.0494939j 
0.00112127+0.000246315j -0.00154878-0.00489342j -0.00414854-0.00834147j 0.000327663+6.85625e-05j 0.00113144+0.00639496j 0.00167347+0.00398381j 0.000172155-0.000987706j -0.00592108-0.00841039j -0.00148906+0.00274751j -0.00564777-0.00105004j 0.00346571+0.0107655j -0.00174758+0.00134621j -0.00248627-0.0033103j 0.00244258+0.00297114j 0.00216706-0.00445327j 0.00191096+0.00158199j 0.00202014+0.00648392j 0.00370059+0.00262249j -0.00661848+0.00105169j -0.00386707-0.00491873j 0.00116933-0.00247185j -0.00096717-0.00178933j -0.0019604-0.00701674j -0.000937303+0.00395893j 0.00365855+0.000551627j -0.00131291+5.95254e-05j 0.00141293+0.00169316j -0.00925285-0.0134167j 0.000126954-0.00135157j 0.0012373-0.000209121j 0.000899482-0.00380766j 0.00380824+0.0147509j -0.000342886-0.00326903j 0.00531577+0.00316721j -0.00202578-0.0012476j -0.0223344+0.000160769j -0.000685203+0.00768469j 0.00677429+0.0106472j -0.00274152-0.0131881j -0.000298395+0.0143257j 0.00480531+0.00586824j 0.00204616+0.000208308j -0.0042986-0.0196523j 0.00404731+0.0329874j 0.00147046+0.00862483j 0.00733335-0.0156859j 0.00371932-0.023773j 0.00605111-0.0167088j 0.00534385-0.0263996j 0.00309597+0.00025524j 0.000479992+0.0100751j -0.00476423+0.00762704j 0.00450713+0.0215011j 0.00381795+0.0152158j -0.0060012-0.000716471j -0.00593378+0.0180456j -0.00321176-0.0137143j 0.0189764-0.029203j -0.00625074-0.00315365j 0.005544-0.0191777j -0.00453008-0.00249489j -0.00142339-0.000337775j -0.00691093+0.0156398j -0.0017707+0.00855681j 0.00320983+0.000888926j 0.00339842-0.00307218j 0.00350314-0.00173688j -0.00559456+0.00731723j -0.000770991+0.00104659j 0.00179304-0.00240709j 
-0.000306259-0.00141076j -0.000327499-0.00139393j -0.00140651-0.00349446j 0.000549919+0.00503541j 0.000957924-0.000533876j -0.000971645-0.00417301j 0.00119501+0.0045986j -0.00222299+0.00218649j -0.0030721-0.0107177j 0.00150928-0.00200486j -0.00123489-0.00424444j -0.00379014-0.00431367j -0.000480547+0.0038159j 0.000693963+0.000190248j 0.000179982-0.00281844j 0.00215652+0.00268855j 0.00017299+0.00545764j -0.00088007+0.00995786j -0.00194786-0.0034657j -0.00244501+0.00214298j 0.00417958-0.00424535j -0.00240642-0.00174461j -0.0013309-0.00693892j -0.00664206-0.0194068j 0.00144993+0.0105494j 0.00241881+0.00548075j -0.00219091-0.00651663j -8.327e-05+0.00402818j -0.00025998+0.00260564j 0.000742032-0.00783927j 0.00313707-0.00852082j 0.00135057+0.00104834j 0.00918871+0.0310367j 0.00188116-0.0155098j -0.00545008-0.0101898j 0.0121365+0.00424195j 0.0115292+0.0329034j -0.0115948-0.0376705j -0.000988092+0.0100137j -0.00852025-0.00416979j -0.000488493-0.000804777j 0.00771809+0.0276973j -0.0031578-0.00621655j 0.00210326-0.0176048j 0.00121358+0.0156719j -0.0015059-0.0141197j 0.00143463-0.0171585j -0.00823311-0.0118069j 0.00110398-0.0115677j 0.0102066-0.0292089j 0.00429087-0.00882242j 0.0189066-0.0406849j -0.00352636-0.000923371j 0.0116249-0.0289045j 0.00376663-0.00994208j -0.0172936+0.0179458j 0.0111248-0.013973j 0.000537044+0.000263952j 0.0113325-0.0144796j -0.0060122-0.00374254j -0.0101513+0.0211214j -0.00933301+0.0035448j -0.000597573+0.00514313j 0.00196696-0.000408599j -0.00466685+0.007555j 0.00199028-0.00163504j 0.00118979-0.00327454j 0.00354304+0.000479165j -0.000987835+0.00179108j 0.00275961-0.000479017j 
0.000534105+0.000444457j -0.000918028-0.00475465j 0.000405636+0.00615303j 0.000107793+0.00167097j 0.000160617-2.93376e-05j 0.00276386+0.00700224j -0.00424882+0.000180087j 0.00160908+0.00490442j 0.00201512+0.00702557j -0.0034308-0.0110269j -0.00529009-0.00967044j -0.00365549-0.00685818j -0.00124426+0.000418662j 0.00150836+0.00121806j 0.00252449+0.00661585j -0.00732391-0.000886577j 0.00458748+0.0102321j 0.00391921+0.00722945j 0.00730072+0.0144862j 0.00225858+0.00241309j -0.00128938-0.00168809j 0.000712738-0.00941323j 0.00039486+0.00322424j -0.00472933-0.00653179j 0.00124562+0.00847879j -0.00361974-0.004345j 0.00162804+0.0125867j -0.00931907-0.0175942j 0.0101187+0.00731435j 0.00258613+0.00314758j -0.00138258-0.0137838j -0.00423475+0.0137097j 0.00167487-0.00216595j -0.0110908-0.000138333j 0.000877414+0.0125467j 0.0174966-0.0118637j 0.0175893+0.00899668j -0.00175575+0.0312735j 0.00409034-0.0117305j -0.000578719-0.0171735j -0.00328545+0.00119457j -0.00710317-0.00990416j 0.00948413-0.00961003j 0.00993255-0.0292307j 0.0025283+0.0116546j -0.000544899-0.0131907j 0.00309533+0.0066613j -0.00191124-0.0131741j -0.00378793+0.0110516j 0.00597472-0.00625815j -0.0021611+0.0240933j 0.0032156+0.00539219j 0.002383+0.00659822j -0.00226058+0.00392116j -0.00250779+0.00182812j -0.00590296+0.0065595j 0.0019508+0.00177045j 0.00952741-0.0182473j -0.00155216-0.016093j -0.0168084+0.0260319j 0.0076956-0.00386195j -0.000931381+0.00323873j 0.000734053-0.00574044j -0.00574881+0.0106606j 0.00609688-0.0109826j 0.00129291-0.0056773j -0.00379461+0.000668089j 0.000715335-0.00116646j 0.00123942+0.00119628j 0.00332222-0.00165048j 
-0.000862472-0.00317008j 0.000232523+0.00185273j 0.00240114+0.0037914j -0.000350068+0.00232367j 0.00119429-0.0014919j 0.000702884+0.00251114j 0.000401173+0.000698572j 0.00152284+0.00312276j -0.00104525-0.00268188j 0.00453526+0.00123675j -0.00169053-0.0025054j -0.000779217-0.00931599j 0.0004393+0.00324891j 0.000551193-0.00522693j -0.002186-0.00586733j -0.00344684-0.0087809j 0.000432672-0.00162962j 0.00212719-0.00179586j 0.00551451-0.0020057j -0.00482344-0.00876895j 0.00799614+0.0188059j 0.00158665+5.15019e-05j 0.00117322+0.00459073j 0.00303369-0.00701793j -0.00493571+0.00618373j -0.00356397-0.000897942j -0.00633383-0.0134552j 0.00314555-0.000162919j 0.00735519+0.00677094j -0.00133331-0.00110536j -0.00425473-0.0107724j 0.00305956-0.00912253j 0.00299765-0.00389991j 0.00449966-0.0147762j -0.00541623-0.0227778j -0.0085574+0.00414539j 0.00291864-0.000329321j -0.00089621+0.0289365j 0.00421356+0.00433694j 0.00188094-0.000127887j 0.00247799-0.033592j -0.00142705+0.0465475j 0.00467825+0.00685636j -0.00628064+0.00324065j -0.000108865+0.014545j 0.00231912+0.0468953j -0.00158943+0.0150195j 0.0106776-0.00753814j 0.00420453-0.0304207j 0.00038965-0.00149971j 0.00474323-0.0103689j 0.00460361-0.00077194j 0.00661138+0.00813859j 0.00181785+0.00264193j 0.0105181-0.00963842j 0.00241156+0.00712306j -0.0131632+0.0317226j 0.00383193+0.00696373j 0.0073153-0.00984653j 0.000713891-2.26677e-05j 0.00394397-0.00165345j -0.000125387+0.00789005j 0.00054503-0.00503951j -0.00337788+0.00226552j 0.000852017+0.0037409j 0.00200497-0.00645836j -0.00158409+0.00114548j 0.00504262-0.00436233j -0.00254106+0.000611144j -0.000223289+0.00136149j 
-0.00020603+0.00263903j 0.000851627+0.00285823j 0.000910927+0.00214172j 0.000888961-0.000176656j -0.0010542-0.000319191j -0.001083-0.00038036j 0.00156799+0.00524542j 0.00378014+0.00677677j 0.003796+0.00607918j -0.000556025-0.00465326j 0.00280375-0.000892812j 0.00138165+0.00647515j 0.00555366+0.00771075j -0.00320592-0.00276191j 0.00176147+0.00464894j 0.00157709+0.00464701j -8.70525e-05-0.00605172j -0.00347199+0.00257353j 0.000531738-0.00131176j 0.00775938+0.00242711j -0.00500115-0.00971095j 0.000268439-0.00250847j 0.00228617+0.00625989j -0.00298449-0.000249396j 0.00231253+0.00148635j -0.000995095-0.00339803j 0.00417855+0.00771769j -0.00683963-0.0212022j 0.000854358+0.0125292j -0.0015694+0.000699262j -0.00556982-0.0103036j -0.0118194-0.00476678j -0.00449036-0.011564j -0.00369346-0.0181372j -0.00343773-0.0201406j -0.0187121-0.00426624j 0.00166503-0.0197478j 0.00449865-0.0212197j 0.000297597-0.0215403j -0.00192196+0.0102778j 0.0017735-0.0414347j 0.00345699-0.00220501j -0.000554793-0.0132404j 0.00348452-0.00642324j 0.00246457-0.0042224j -0.00611557+0.0323474j 0.00342633-0.00757056j 0.0132871-0.0284261j -0.00371033-0.028875j 0.00840249-0.0040281j -0.00482742+0.00517085j 0.0032786-0.00601573j -0.0111106+0.00921401j 0.010413-0.0191637j -0.00636794+0.00892291j 0.00199356-0.0123666j -0.000101456-0.00694087j -0.00132775-0.00416247j -0.0062212+0.0117245j -0.00164843+0.00782551j 0.00558411-0.00874943j -0.000255722+0.00452094j 0.00308488-0.00347435j 0.00192344-0.00634671j -0.00377658+0.00143724j -0.00149022+0.00372422j -0.00031285-0.00137725j 0.00151484-0.00251021j 0.00281715-0.00122567j -0.00142687+0.000301681j 
-0.000541923-0.00190123j 0.000196769+0.00201634j 0.000713214-0.00110781j -0.000831371-0.00178121j 0.000289823-0.000118938j -0.00221821-0.007338j 0.000995878-0.00272623j -0.000688779-0.00416513j -0.00352794-0.00662307j 0.00237508+0.00388318j -0.00127957-0.00362415j 0.00163647-0.00011259j -0.00137107-0.000455929j 0.00111014+0.00455574j -0.00570646-0.00794741j 0.00458279+0.00319832j -0.00380511-0.00327721j -0.00200197-0.00605868j 0.00288172+0.00148674j -0.00308253-0.00264912j 0.00272079+0.0130609j 0.000211572-0.000221559j -0.00214274+0.00334716j 0.00879234+0.0113592j -0.00187715-0.00410573j 0.00660951+0.0138779j 0.0040486-0.00537883j -0.00539656-0.0242959j -0.01217-0.0255846j 0.00154719-0.011646j 0.00147386-0.0152103j 0.00491183-0.0137521j 0.00625807+0.000576924j -0.00637831-0.0127838j -0.0051313+0.0330447j -0.00207824+0.0117648j -0.00515879+0.00142336j -0.00198465-0.00278159j 0.00213929+0.00671424j -0.0104774+0.027848j -0.00122325+0.041452j 0.000503023-0.0252848j -0.00475311+0.00358796j 0.00215517-0.0385925j -0.00335627+0.01303j -0.00438139+0.0121573j 0.00883306-0.012357j 0.00781664-0.0213029j -0.000997494+0.000487312j 0.00421863-0.00115322j -0.00777111+0.0179406j 0.00494258-0.0157724j 0.00528228-0.0224475j -0.00538169+0.0141884j -0.0112065+0.0182407j 0.00740982+0.00347084j -0.00117448+0.00518683j 0.000497082+0.00397021j 0.00391033-0.00754446j 0.00169594-0.00805764j -0.00175116+0.00640386j 0.000931971+0.000373177j 0.00135729-0.0021612j 0.00276062-0.00577698j -0.00113264+0.00406775j -0.000985123+0.00138441j 0.000310578+0.00229114j -0.000710292+0.000368597j -0.0017546-0.000142353j -0.00131814+0.000883548j 
-0.000308739-0.00222617j -0.000345871-0.0018654j 0.000719042+0.00259606j -0.000609789+0.00142496j 0.00115788-0.0023963j 0.00113269-0.000205314j -0.00195431-0.00252882j 0.000655393+0.0053936j -0.000108981+0.00183361j 0.00256766+0.00389004j -0.00256698-0.00355693j 0.00184193+0.00406029j -0.00210192+0.00105159j 0.00025638-0.00348259j -1.75301e-05+0.00906025j -0.0104531-0.0178816j -0.00185844-0.0103937j 0.00228897-0.00335409j -0.00542087-0.0211529j 0.00156285-0.00105662j 0.00114125-0.00729155j 0.000810733+0.00416388j 0.00763495+0.0111572j -0.000799825+0.00367917j -0.00568414-0.0154346j 0.000417172+0.00704321j -0.00260421-0.00610083j 0.003056+0.00223721j -7.38871e-05-0.0064667j -0.00465878+0.0463256j -0.00892717-0.0287733j -0.00893048-0.0089539j 0.00508995+0.0326849j -0.00302472+0.0159212j -0.00125573-0.00980372j 0.00221063+0.00354012j -0.00025308+0.0152358j -0.00636578+0.0179962j -0.00262131+0.00353551j 0.00808251-0.014645j 0.00435068+0.0580991j -0.0036868-0.0128868j 0.000369779-0.00671395j 0.00159537-0.00588446j -0.00228156-0.0122739j 0.00372279-0.0141329j 0.00137973-0.00510933j 0.0106021-0.018571j -0.0018245+0.00482391j 0.000172325-0.0124136j -0.00388781-0.00275656j -0.00540047+0.004388j 0.00327949+0.00578652j 0.000448239-0.00190616j 0.0111038-0.0245222j 0.00416691-0.0134653j -0.00103553+0.011092j -0.00072253-0.00090683j -0.00344852+0.00415328j 0.0024625+0.000553363j -0.000738028-0.00498288j 0.00416612-0.00734276j 0.00174813-0.00471333j 0.000256151+0.00399243j 0.00260673-0.00584571j 0.000446054-0.0044116j -0.00237521+0.00123339j 0.00107567-0.000646979j -0.000534585+0.00136552j 0.00268204+0.000212219j 
-0.000866596-0.00344634j 0.000183185+0.00262899j 0.0026403+0.00383981j -0.00136945-0.00182898j 0.00190309-0.000270457j -0.000935571-0.00523554j 0.0008063-0.000818194j 0.00255179+0.00320687j -0.00205512-0.00203447j 0.00599927+0.00710337j -0.00242691-0.00809558j 0.00440824+0.0016896j -7.18565e-05-0.00425557j 0.00248572+0.00887464j -0.00596601+0.00645755j -0.00196669-0.00310035j -0.00636247-0.012079j -0.00559407-0.0199076j -0.00112647-0.011019j -0.00132611-0.000621064j -0.00139529-0.00355675j -0.000351165-9.32346e-05j -0.00390457-0.00935187j 0.00558256+0.00399124j -0.00279625-0.00494899j 0.00452138+0.0109242j 8.84133e-05+0.0309841j 0.00569194+0.0104329j 0.00116259+0.0156241j -0.0025278-0.0585699j -0.000485053-0.0229396j 0.00208306+0.0281497j -0.00264574-0.00310949j -0.00589078-0.00399934j -0.00450501-0.0346327j 0.000313583+0.0076004j 5.61689e-05+0.00530153j 0.00896646-0.010389j -0.00645291-0.0232539j 0.000664119+0.00226171j 0.00212515-0.00636408j -0.00948999+0.0261198j 0.000526124-0.010827j -0.000749828+0.0270249j -0.0048041+0.012335j -0.000267165-0.00798607j 0.00780189-0.0208987j -0.000357861+0.00485869j -0.00166469-0.00287887j 0.00669035-0.0120041j -0.00370725+0.0116843j -0.00123318-0.0041943j -0.00175713-0.000689671j 0.000501642-0.00436898j -0.000394362+0.00575633j 0.00375002-0.0067265j -3.18974e-05+0.00717409j -0.00272345+0.00847447j 0.0009029-0.000815682j 0.00140028-0.000794152j -0.00130359+0.000530663j 0.00265283-0.00391747j 0.00349589-0.00864065j 0.0013523-0.00241628j -0.000910423+0.00233131j -3.84419e-05-0.00137862j -0.0018776+0.00339338j 0.000915861-0.00194989j -0.00180088+9.8755e-05j -0.0010385+0.00154047j 
-0.000783215+0.000101168j 0.000368152+0.00520104j 0.00283284+0.00443851j -0.000211065-0.00288808j 0.001236+0.00524459j -0.00195458-0.00127203j 0.0045193+0.0108359j 0.0059469+0.00441566j 0.00125718+0.00336677j 0.0030795+0.00323886j 0.00435003+0.00364628j 0.00370565+0.00655901j 0.00683895-0.00234022j -0.0023875-0.0029976j 0.00423343+0.0149496j 0.00405183-0.00368469j -0.00145785+0.00595066j -0.00537367-0.00832783j 0.000581975+0.0119045j 0.00586104-0.0013878j -0.00487581-0.0117804j -0.00200787-0.00832016j 0.0110384+0.0221098j 0.000665579-0.000668507j 0.00368482+0.0248509j -0.00140901+0.0213137j -0.00244889-0.0173975j -0.00232515+0.00732364j -0.00303347-0.0266101j -0.00159136+0.00202776j 0.002135+0.0161067j 0.00671135+0.0104563j 0.00338818-0.0174206j 0.00256729-0.0125453j 0.00435181-0.00127084j -0.00867837-0.00497586j 0.00319301-0.00339307j 0.00488923+0.00601722j -0.0140903+0.0212535j 0.00554846-0.0184119j 7.92184e-05+0.0188896j 0.00703586-0.00117671j -0.00170283+0.0153302j -0.00380445+0.00156481j 0.00362891+0.00630133j 0.00130179-0.0210163j 0.000778825-0.00382686j 0.00118702-0.00144562j -3.65147e-05-0.0175836j 0.00253418-0.000420052j -0.00331511+0.0100986j -0.00242385+0.0128148j -0.0051443+0.00116099j 0.00527176-0.0206157j -0.00334899+0.0104701j -0.00309443+0.0044797j -0.000852471-3.3248e-05j -0.00571199+0.0153838j 8.02888e-05+0.00680646j -0.000520292+0.00109213j 0.0017294-0.00245311j -0.00156631+0.00298985j 0.00334185-0.00738211j -0.000824266-0.00483758j -0.00532892+0.00660834j 0.00108884+0.00310304j -8.52761e-05+0.00109492j 4.77798e-05-0.00252176j 0.00140502-0.00155714j -0.00452581+0.00105634j 
0.000213467-0.000999354j 0.000279363+0.000397254j -0.00264753-0.0121016j 0.000361592+0.00392751j 0.000410615+0.00288311j -0.00159792-0.00334216j 0.00449617+0.000458951j -0.0074698-0.00698287j -0.00170051+0.00121727j -0.00146643+0.00951745j 0.0057245+0.00564292j 0.00465307+0.0101211j 0.000299153+0.000573267j 0.00542431+0.0108507j 0.00269849+0.0010001j 0.0095575+0.00876975j -0.00446301-0.0149322j -0.00405132-0.00924541j -0.00877343+0.000880039j 0.00103188-0.00137895j 0.00230628+0.00364673j -0.00333924-0.00156082j -0.00184319-0.0107983j 0.00170685-0.0281974j -0.00343688-0.0427445j 0.000761271+0.0132178j -0.00460615+0.0248855j -0.00325006+0.00781028j -0.0012015-0.0301805j -0.00180578+0.0350109j 0.00241998+0.0052092j -0.00911622+0.0038456j -0.00581934-0.0221919j 0.00682562-0.0040767j -0.00371413+0.00720225j 0.00239065-0.00158345j 0.00319291+0.0151095j 0.000861274+0.0142887j 0.00115074-0.00941972j -0.00177394+0.00419126j 0.000320761-0.0032099j 0.00618306-0.00523533j -0.000190887-0.00440919j -0.00203571-0.00169102j 0.00164302-0.00125804j -0.00367919-0.00173789j 0.000881881+0.0214745j -0.00208592+0.00522773j 0.000663262+0.00531385j 0.00776633-0.0236532j -0.00525044+0.00963734j -0.00924759+0.00989954j -0.000529879+0.00277719j -0.00113937+0.00503496j -0.00171002+0.00638257j 0.00164531-0.00423315j 0.00197676-0.0138834j -0.000824798-0.00780225j -0.00588932+0.00494641j 0.00333687-0.00932195j -0.00108556+0.00288102j 0.00320793-0.00242717j -0.0040182+0.00775298j 0.000973995-0.00205632j -0.00383417+0.00933417j -0.000451897-0.00261837j 0.00584811-0.00257013j 0.00122317+0.00229918j -0.00287234+0.000188478j 0.00119698+0.00011089j 
1.17368e-05+0.00240432j -8.73189e-05+0.000758502j 0.000565616+0.0032033j 7.04335e-05-0.00323426j -0.00127771+0.00351991j -0.00176351-0.00248316j 0.000778261+0.00485305j 0.00216886-0.00635613j -0.000436128+0.00068077j -0.00454269-0.0077739j 0.00537423+0.0127424j -0.00533845+0.00362252j 0.00702203+0.0148815j -0.00521458-0.0105699j -0.000529835+0.00135848j -0.00736075-0.0306725j -0.00183649+0.00178813j 0.00152547-0.0019462j -0.000994878+0.0145597j -0.00896615-0.0282696j 0.00348629-0.00214082j -0.00144791-0.00580857j -0.00154546-0.0160354j 0.00365448+0.00771224j -0.00403497+0.000537306j 0.00374919+0.0175834j 0.00797477+0.0296903j 0.000364582-0.0133195j 0.00063514+0.0286228j -0.00339917-0.00663651j -0.00291158-0.00274667j 0.00214641-0.0177393j 0.00746468-0.0118375j 0.00823339+0.00653647j 0.00492659-0.0244758j -0.00393828-0.00279192j -0.0129976+0.00939826j 0.0020543+0.0083725j 0.0034277+0.0110413j -0.000232962+0.00697163j 0.00134312+0.003731j 0.0020237+0.00747018j 0.0170983-0.0336688j 0.00652861-0.0208408j 0.00262536+0.00448975j 0.00157549-0.00269994j 0.0017576-0.00896156j -0.00112716+0.00353075j -0.00115973-0.0122409j -0.00642295+0.00598889j 0.00402393-0.00329407j -0.00447939+0.0152432j 0.00218109-0.00703149j 0.00300931-0.0084327j 5.2605e-05-0.00705837j -0.00329592+0.00765403j -0.0020681+0.000932146j -0.000644112+0.00417102j 0.00465478-0.00141215j 0.000898724-0.00657565j 0.00225816-0.00197149j -0.00321733+0.00656433j 0.00181224+0.000456906j 0.000792566-0.00388158j -0.00087244-0.0014032j 0.000302901+0.00427532j -0.000219455+0.000271378j -0.00239481-2.11041e-05j 0.00267001-0.000797301j -0.00222881-0.0007246j 
-0.00117765-0.00376876j -6.19723e-05+0.00153298j 0.00253093+0.00513761j -0.00192999-0.00269719j 0.00248112+0.00670862j -0.00337284-0.0128519j 0.00210277+0.0062147j 0.00355541-0.00212479j -0.00893981-0.0100369j 0.00187475-0.0135622j -0.00475033-0.00235113j -0.00682122-0.0162699j 0.00149465+0.00619355j 0.00518146+0.00647433j -0.00892539-0.0117567j 0.00305169-0.0134627j -0.00940198-0.0099174j -0.000183466+0.00271461j 0.00933723+0.0354943j -0.00534381+0.013077j -0.00330485-0.0234868j -0.00568056-0.0194878j -0.00711054+0.0134003j 0.000725283-0.00993166j -0.0025307-0.0451841j 0.00250938-0.00245723j -0.00604387-0.0292644j 0.000657088+0.000155796j -0.00446367-0.0078347j 0.00144844+0.026575j 0.0049408-0.0100386j 0.00558994-0.00873843j 0.00915291-0.0217224j -0.00865978+0.0377751j 0.00266908+0.00586983j 0.0172402-0.00131967j 0.00109839-0.00833015j -0.00546063+0.0250174j 3.04267e-05-0.00561332j -0.000525885-0.0163887j -0.000787504-0.00950002j 0.00298461-0.00541794j 0.00128898-0.00450246j 0.000283453+0.00581758j 0.00591041-0.010081j -0.00077996+0.00553083j 0.00782538-0.0255371j -0.00302415+0.00936123j -0.00337491-0.00314405j -0.000129892-0.00141511j 0.00183079+0.00553796j -0.00173048+0.00227022j 0.000859901-0.0086306j -0.000122612+0.00246246j -0.00509535+0.00805842j -0.00216544+0.0052675j -0.000177203+0.000989565j -0.00214672+0.0104877j 0.00560132-0.00841524j -0.00128738-0.000215855j 0.000675824+0.00157931j -0.00283949+0.00684152j 0.00458543-0.00688398j 0.00184347-0.00315651j -0.0024118+0.00575013j 0.00265855-0.00233652j -0.00239429+0.00387137j -0.000476076-0.000383295j -0.000735982+0.000554431j -0.000578131+0.000762666j 
0.000120504+0.00108845j 0.000403282+0.00371803j 0.00203807+0.00478639j 0.000803734-0.000970789j 0.000157369-0.000657573j 0.0013931+0.0113341j 0.00103425+0.00394335j 0.00522549+0.00897315j 0.00634296+0.0113754j 0.00160755-0.00179678j 0.0011014-0.0039607j 0.00304693+0.000548494j 0.00810581+0.00243325j 0.00243258+0.00564765j 0.00325349+0.00774645j -0.0017861+0.00707819j 0.0110586+0.0194962j 0.000798753+0.0060407j -0.00431024-0.0185408j 0.00928249-0.00105273j 0.00697773+0.00108831j 0.000338387-0.0514488j -0.0117344-0.0318617j 0.00400593+0.0232445j 0.00641891-0.0154526j -0.00285734+0.0148973j -0.000837877-0.0150686j 0.00323357-0.00985434j 0.00540595-0.0286376j 0.00732671+0.0253537j -0.0028607-0.00825867j 0.00207335-0.0118873j 0.00265406+0.0109581j 0.00150616-0.00531187j -0.006234+0.0268472j 0.0261511-0.000270795j 0.00255778+0.0192832j 0.00587135-0.00450745j -0.00175428+0.0045882j -0.00232754+0.0199345j -0.00181177+0.0131817j 0.0019415-0.00921943j 0.00624284-0.0138543j -0.000259564+0.00708962j -0.000546252+0.005285j 0.00239422-0.0127368j -0.00128999+0.000790913j 0.000480304+0.0025946j 0.000323578-0.0104821j 0.00198355-4.07761e-05j -0.00163897+0.00642374j 0.00338109-0.00591003j -0.00460166+0.0109567j 0.00240333-0.00884745j 0.000792939+0.00511555j 0.000127826-0.00240682j -0.000390981+0.00166116j 0.000711995+0.00122605j -0.000956969+0.00445747j -0.00250976+0.00773513j 0.0038582-0.00593474j -0.00266048+0.00431093j -0.000688302-0.00285781j -0.00336795-1.44489e-05j -0.00104971+0.00277548j 0.000804838+0.000739034j -0.00051566-0.000243103j 0.0024773-0.00415678j 0.000126816-0.00126072j -0.00317394+0.000611072j 
0.000308223+0.00240184j -0.000954169-0.00479158j -0.00220632-0.000333874j 0.00110776+0.00211644j -0.000503598-0.000399173j 0.00164661+0.00381723j -0.0035273-0.000337024j -0.00147704+0.0046372j 0.00404476+0.014303j -0.00986602-0.0141336j -0.00693448-0.00818774j -0.00352136+0.00525987j 0.00136814-0.00144449j 0.00623413+0.0107923j -0.00444636+0.000842203j -0.00640351+0.0063219j -0.004263-0.0414821j -0.00368884+0.0191263j 0.00808575+0.0100791j 0.00528724-0.030181j 7.41651e-05-0.00830022j 0.00264859+0.0119996j -0.00625452-0.00299701j -0.00500133-0.0064806j 0.00955433+0.0238904j -0.00160983-0.0156746j -0.00163533-0.0215976j -0.0011754+0.0114616j -0.00666095+0.0247463j 0.00342926-0.0148529j 0.00268578-0.00213459j -0.00330641-0.00886147j 0.00105537-0.0407344j -0.000877678-0.000226187j -0.0048994-0.00502759j 0.0111178-0.000508857j 0.00298789-0.00793711j -0.00724973+0.0148477j -0.00173214+0.00776208j -0.00472239+0.0176284j 0.000670856+0.00335869j -0.0026134+0.00974694j 0.00144502-0.00174932j 0.00161885+0.00129185j -0.0027699+0.000975325j -0.00201351+0.00851924j 0.000714961+0.00219344j 0.000574447-0.00087584j -0.00101285+0.00715787j 0.0023783-0.00857407j -0.000700338-0.00357689j -4.97918e-05-0.0028771j 0.000421197-0.000247586j -0.000110738+0.00249555j 0.000426751-0.00154747j 0.00257089-0.0112766j 0.000233689-0.00291019j 0.000878748-0.00822589j -0.00296742+0.0045032j -0.00296267+0.00654537j -0.00177059-0.000571648j 0.00156743-0.00514556j -0.000354435+0.00235547j -0.00117946+0.00538692j 0.00283067-0.00887187j -0.000481594+0.000721828j -0.000994413-0.00295426j -0.00266881+0.00200118j 0.00304771+0.00116786j 0.00201188-0.00106014j 
