-0.0242103-0.00589183j -0.0178576-0.00145758j -0.0112009-0.00155489j 0.00401932+0.0120725j -0.0466839-0.00214402j 0.011078-0.000272158j -0.0318556+0.00684744j 0.000476581+0.0180923j 0.0230779+0.00502821j -0.00225334+0.0100358j 0.00660415-0.00793729j -0.00209912+0.000947458j 0.00703506-0.0418115j -0.0189762-0.00981574j 0.025816-0.0114379j 0.0380459+0.0113726j -0.0234627+0.0288135j -0.00455727+0.0170106j -0.00143768-0.00840161j -0.000689236+0.0364265j -0.00956832-0.0135468j -0.0136227+0.0256534j 0.0445994+0.00292344j 0.018861+0.0100028j 0.0358289+0.00980865j -7.67345e-06-0.000678486j 0.0161896+0.0359564j 0.000503868-0.0301409j 0.0653531+0.0682204j -0.105069-0.191465j 0.130344-0.00718504j 0.00645006-0.073039j 0.151507+0.0238529j 0.45676-0.0482435j 
-0.166993-0.0166622j -0.0492571-0.0309577j -0.0839773-0.110126j 0.0422111-0.0252006j -0.0369086-0.0184504j -0.00554684-0.0909966j -0.0166495+0.0591929j -0.106307+0.0779331j 0.0989592+0.000779098j -0.0119541+0.0527663j -0.205191+0.0132277j 0.0113644+0.00864957j 0.0131583-0.0888734j 0.070016-0.0418626j -0.237729+0.00566509j 0.26549+0.0907614j -0.0549797+0.26275j 0.236903-0.0109435j -0.150261-0.27468j 0.0437329-0.000139954j 0.0829596-0.385373j -0.0762266+0.0611388j 0.101595+0.229723j 0.0548022+0.0768082j 0.103763-0.133765j 0.0996992-0.0243844j 0.051144+0.0151535j 0.0537993-0.104429j -0.0495496+0.11166j -0.0210123+0.0040704j 0.0030389-0.00368737j 0.0990144-0.0716852j -0.0238257+0.00903111j 0.023387-0.0274104j 
0.101028+0.0414977j -0.11373+0.0161979j -0.102743-0.0315386j -0.0336301-0.0311751j 0.0675926-0.071064j 0.0556992+0.0319974j -0.0367219+0.0119619j -0.0850816-0.0181995j 0.0622647-0.0837687j -0.0112973-0.00651533j -0.0271603-0.0232277j 0.0570968-0.0936282j 0.0218125+0.1218j 0.0587619+0.0672906j -0.0745637-0.0112768j 0.0428818+0.00166901j 0.0154039+0.143005j -0.00691448-0.0594715j 0.0368369-0.0784644j 0.0437581+0.0351789j -0.011429+0.0402786j -0.0269204+0.0776296j -0.0255459-0.0455307j 0.0448182+0.216999j -0.0349294+0.172613j -0.0835675-0.132359j 0.084138-0.0633187j 0.108565-0.0623741j 0.0622801-0.0814668j 0.0303223+0.0269297j -0.000468625-0.0640144j -0.0624405+0.0156152j -0.103463+0.0101826j -0.0131532+0.0260327j 
0.130524+0.0931993j -0.0845104-0.00293125j 0.287508+0.109369j -0.0976677+0.089141j 0.00921235-0.04944j -0.00750353+0.00989287j 0.0544726+0.0173089j 0.154271+0.0436735j -0.0454961+0.0173092j -0.114381+0.0158867j -0.0147008-0.0848951j -0.0218421-0.131072j -0.110289-0.0113897j -0.0223295+0.0472771j 0.0643203-0.142512j -0.0239021+0.0136305j 0.0122363-0.335602j -0.0348292-0.0563642j -0.075408+0.0954894j 0.00323894-0.0264466j 0.00941056-0.0641687j -0.00286822+0.0261236j 0.038468+0.0726383j 0.0462094+0.151315j 0.00931995-0.178911j 0.0690262+0.0827594j 0.0998852-0.0421845j 0.0107659-0.0847428j -0.125193+0.162525j -0.0493227+0.0697482j -0.00587486+0.00101095j 0.102818-0.0670353j -0.00453929+0.0180759j 0.00386425-0.0128999j 
0.14657+0.141278j -0.37029-0.023358j -0.0066477+0.00436705j -0.183205+0.020414j 0.0562568-0.165226j -0.0260208-0.0346205j -0.0170319-0.0558522j -0.104932+0.0123004j -0.108377-0.135636j -0.0815715+0.138875j -0.0397416-0.038815j 0.0823602-0.310348j -0.0230165+0.092838j 0.0717443+0.181068j -0.0867459-0.124819j 0.0123167-0.0780721j -0.00404664+0.146369j 0.0909972-0.0165789j 0.048638-0.0561401j -0.00702372-0.031707j -0.021178+0.00858993j 0.0549386-0.128507j 0.0372111+0.0748984j 0.0145163-0.103522j 0.0167743-0.00744908j 0.0645139-0.0884933j 0.0110673+0.00163597j -0.00317204+0.0131896j -0.0473168-0.0381956j 0.00095333+0.0437714j -0.0210579+0.0189153j 0.000403897+0.0307754j -0.00570861-0.0147667j -0.0511687+0.0274586j 
0.333998+0.0357979j 0.0853405+0.12285j -0.206358-0.0124872j 0.03304-0.150595j 0.169933-0.10012j 0.0304358+0.0166418j 0.00571917-0.0545385j -0.105718-0.00321636j 0.160709-0.0223404j 0.0348743-0.224094j -0.0156251-0.106958j 0.12436+0.00841679j 0.0142276+0.381892j 0.112845+0.11392j -0.0775193+0.0471036j 0.0242916-0.0106745j -0.0044499+0.10869j -0.00955456-0.0544096j -0.00942663-0.149275j 0.0829342+0.0662315j 0.00178254-0.00923978j -0.0707454+0.137959j -0.0104067-0.0950797j 7.87124e-05-0.00880198j -0.0107093-0.0623301j -0.0556922+0.134577j 0.012735+0.0109906j -0.0266955+0.0309776j 0.0285925+0.0485478j -0.00693901-0.041773j 0.0158383+0.0131318j 0.0289257-0.020098j 0.0416115+0.00463762j 0.0849951-0.0139863j 
-0.0684753+0.0709018j -0.280621-0.0822041j 0.0655356-0.0388203j -0.091036+0.0875174j -0.0710969-0.0786025j -0.0179869+0.00121885j -0.062052-0.020224j -0.0241304+0.0519213j -0.0176485-0.0568389j -0.0850176+0.181712j 0.0170498+0.0614909j -0.013889-0.206369j 0.00925554-0.132761j -0.0122718+0.103324j -0.0130173-0.0807482j 0.00804425-0.0162592j -0.0101193+0.0405675j 0.0324491-0.00159116j 0.00704992-0.0448674j -0.00868329+0.0436845j -0.00267356-0.00866648j 0.0175239-0.0371954j -0.0069198-0.11243j -0.0175643+0.0123522j 0.012278-0.0149956j -0.0289158+0.0648319j -0.0404406+0.00840396j -0.0264643+0.0251405j 0.0888531+0.015935j -0.0105196-0.0669414j 0.0206605+0.0231496j 0.0577454-1.4252e-05j 0.0329656-0.00674995j 0.0811471-0.0116962j 
0.195451+0.0297261j 0.0747547+0.0795524j -0.0396052+0.0754672j -0.0229414-0.069512j 0.0613228-0.0241718j -0.0260572-0.0252582j 0.0326947-0.00606514j 0.0179832-0.0416862j -0.0153676-0.0115875j 0.0299151-0.103924j -0.007675-0.10517j 0.0673564+0.0086453j -0.0281188+0.188828j 0.00735951+0.00521537j -0.0136641-0.0176421j -0.0120161-0.0351144j 0.0151178-0.0165809j 0.0114238-0.0150736j 0.00524048+0.0282587j -0.0184775-0.0613406j 0.00318823-0.0026604j 0.0288305-0.0687005j -0.0155169+0.122493j -0.0337+0.0144329j 0.042724-0.0367947j 0.0386929-0.0830594j -0.0782808-0.0360643j 0.00408097-0.0326028j 0.0288098+0.00452256j 0.0205838+0.0335557j 0.00656883+0.0122231j -0.0314491-0.01585j 0.017444+0.00604352j -0.0366786+0.00280422j 
-0.024297-0.0520067j 0.10172+0.029167j -0.0956329-0.0252063j -0.00585976-0.0691083j 0.0275873+0.028027j 0.0242778-0.00734228j -0.0438875-0.0169226j -0.00666614-0.0235944j 0.0227648+0.00523933j 0.0542513-0.0462642j -0.0556518+0.00207826j 0.0209994+0.0959738j -0.00803864+0.0476311j 0.038514-0.0385937j -0.0273347+0.0803702j -0.0117048-0.0187453j -0.0285003+0.141669j -0.0043593+0.044926j 0.0150369-0.0245466j 0.0436496-0.0232625j -0.0250882+0.0286435j -0.0108298-0.0976133j 0.0556096-0.0548648j 0.0174653+0.0225422j 0.0153466+0.00469445j 0.0500094+0.0650415j 0.0389013+0.034492j -0.0563545-0.0150096j -0.0684791+0.012455j -0.0419217-0.0225743j 0.00238526+0.0341521j 0.0922617-0.00544392j 0.0475013-0.00453999j 0.0166148-0.00650782j 
0.00639068+0.0182852j -0.055649-0.00875434j 0.0018548+0.0066738j 0.00630783+0.012408j -0.00706238-0.0153685j 0.0249219+0.0146141j 0.00887186-0.0223086j -0.00529174-0.00823048j -0.00500221-0.0229364j -0.0257979+0.0351073j -0.0436117+0.00308199j 0.0116128-0.041566j -0.00917402-0.0107279j 0.00407383+0.0267373j -0.0258987-0.00309681j 0.0108528-0.0287469j -0.00402902+0.0404987j 0.0113754+0.020418j -0.0316851+0.0397118j -0.0156234+0.009464j 0.00981467+0.112462j -0.00492326-0.0515509j 0.0209212-0.00841543j 0.0160753+0.00628469j 0.0395426+0.0125876j 0.0250567+0.0107059j 0.0122646+0.0216896j 0.0447834-0.0215752j 0.0458503+0.00734669j -0.0139186-0.0411634j 0.0223774+0.00129073j 0.0302861-0.00909015j 0.0157073+0.00222401j 0.047878-0.00667489j 
0.0860827+0.0375116j -0.0324308+0.0335836j -0.00870857+0.0476092j 0.0305181-0.01154j 0.043493-0.0411736j -0.00252071-0.00365877j -0.011798-0.0216734j 0.021572-0.0158441j 0.0520553-0.0157067j -0.0209723-0.0262501j 0.0567658-0.0593264j -0.00631478-0.0483815j 0.0295759+0.0958138j -0.0297139+0.0395127j 0.0508493-0.0476392j 0.0438289-0.0328706j -0.0160906-0.073378j -0.0226609-0.00866909j -0.0486656+0.0410615j 0.0666012-0.0344914j 0.0288585+0.00560485j -0.0539513-0.0588666j -0.0505034-0.0106632j -0.0247056-0.0100494j -0.0771295-0.0273265j -0.0796951-0.00294982j -0.00871007-0.0223545j -0.0835152+0.0135957j -0.0372235-0.00503294j 0.0136126+0.0027659j -0.00350567+0.0438261j -0.0312036+0.0125971j 0.0653564-0.00735042j -0.0333455+0.00334511j 
0.0065905+0.0295452j -0.0336545-0.0036716j 0.00447418+0.0134183j -0.0248761+0.0269396j 0.0072373-0.0190514j 0.0663176-0.00316167j -0.00395578-0.00250702j -0.0123553+0.00122759j 0.033795-0.0169741j 0.000463706+0.0340094j 0.017128-0.00693062j -0.0100942-0.055521j 0.0216944-0.0106334j -0.00635968+0.026092j 0.0437278-0.0412861j -0.0241674-0.0116611j 0.0400551-0.0407065j -0.0755511-0.00583487j 0.0968467+0.0216763j 0.0630258-0.00554582j -0.0562345+0.00849293j -0.0310421-0.000534654j -0.00898959-0.00536461j -0.00125454-0.00606887j -0.00355546+0.00619235j -0.0298995-0.0165165j -0.00294842-0.0093489j 0.00791769+0.00523667j 0.0264681+0.0015443j 0.0152732-0.0137644j 0.00990944+0.00394211j -0.0257376-0.000245912j 0.0125956-0.00046609j 0.0150211-0.00186245j 
-0.00782396-0.0248789j 0.00801153+0.0162484j -0.0677011+0.0102421j -0.0175856-0.0317694j 0.0117401+0.0385862j 0.00485541-0.00106207j -0.0650344+0.000853753j -0.0844325-0.0204985j -0.0972613+0.0215472j 0.0484212-0.0475002j 0.0367391-0.00727281j 0.0141132+0.0736136j 0.0263996+0.0290874j 0.0140696-0.0366058j -0.00783069+0.0263227j -0.0382633-0.00719098j 0.0180425-0.0313129j 0.0834293+0.0105767j 0.101942+0.0374642j -0.0642342-0.0253062j -0.0403957+0.0195026j 0.106179-0.0312729j -0.0339754-0.0139891j -0.0133857-0.0174589j -0.0543574+0.0127498j -0.0171679-0.0122938j -0.0358896-0.0123503j -0.0178162+0.013927j 0.00877314-0.0360173j 0.0338443+0.0201712j -0.0126684+0.0261763j -0.0382245+0.0207934j 0.0265633-0.0061741j -0.0596154+0.00468131j 
0.0653672-0.0233763j -0.0109065-0.00342297j 0.182457-0.0109736j -0.00272581+0.0152357j 0.0143458+0.0298786j -0.0266081+0.000378982j 0.0524248+0.00965734j 0.104077-0.0019774j -0.0682753+0.0201555j -0.086974+0.021124j 0.0206666+0.0194298j 0.00707986+0.0333348j -0.0802728-0.0573363j -0.0167804-0.0321347j 0.057875+0.0112665j -0.0748164+0.0126722j 0.0193054-0.0192716j -0.0795328+0.0102987j -0.0759576+0.0153778j -0.0418752-0.00393225j 0.0254721-0.00920474j 0.00405178+0.00284882j 0.000455842+0.0245159j 0.00101805+0.0110552j 0.0286278-0.0106542j 0.0350668-0.000674177j 0.016264-0.00102111j 0.0247158-0.00863825j -0.024288+0.0103964j -0.0189611+0.0229186j -0.006832-0.0186439j 0.018232-0.00511243j -0.034089+0.00399443j -0.0130995+0.00174011j 
-0.0428476-0.00135014j -0.298004-0.00631823j 0.0378563-0.0147196j -0.104112+0.0182693j -0.089995-0.0144902j 0.0110835+0.00196674j -0.0466034-0.00315861j -0.0561204+0.00919188j -0.0325222-0.0121608j -0.120497+0.0308332j 0.0344526+0.00762309j -0.00715606-0.0445139j -0.0118364-0.00678889j -0.00769089+0.0211487j -0.0100342-0.0155938j 0.0691527-0.00556998j 0.00462176+0.0163105j 0.0530229-0.00292468j 0.0494338-0.00889692j 0.0493888+0.00934465j -0.0201708+0.00784684j -0.00574321-0.00396122j -0.00859166-0.0210902j -0.000343719-0.00917131j -0.0202972+0.00630951j -0.0267816-0.0015804j -0.0144077-0.00360096j -0.0112119+0.0131421j 0.0170996-0.00745924j 0.0176385-0.0235954j 0.0103494+0.015729j -0.0177449+0.00736816j 0.0274313-0.00515112j 0.0155947-0.000979505j 
0.298091+0.0101232j -0.0514073+0.00287771j 0.0091136+0.0120995j -0.100099-0.00594038j 0.132503-0.0261391j -0.00548311-0.00026519j 0.0143553-0.0105213j -0.0161469-0.007325j -0.0146078-0.00878912j -0.023702-0.0192233j 0.0221094-0.0198551j 0.10651-0.0178115j -0.0736998+0.0480306j 0.0876311+0.0163541j -0.0371213-0.0122281j -0.0426819-0.00812903j 0.0176784-0.018021j -0.0215623-0.00596794j -0.0246265+0.00867376j 0.0190113-0.00902934j 0.00482137+0.00167762j 0.00261042-0.0123043j -0.02607+0.00490534j -0.00849317-0.00231988j -0.0112354-0.0162197j -0.00619455-0.00689118j 0.000283763-0.0162949j -0.0139733+0.00481609j -0.0250776-0.0041249j 0.0107451+0.018891j -0.00758995+0.0137077j -0.0144656+0.00538102j 0.0140633-0.0010455j -0.0294635+0.00503856j 
