0.112184+0.0170158j -0.0393321-0.0134033j 0.136859+0.0179079j -0.0311085+0.0268135j 0.103806+0.00323246j 0.019591-0.0521742j -0.163385+0.00916863j 0.0300347+0.125639j -0.0222699-0.047979j 0.103596-0.0733004j 0.0193278-0.0810412j 0.0286319-0.0321583j -0.0181591+0.0298801j -0.117113+0.00740593j 0.063366-0.0758506j 0.1118+0.012207j 0.0463239+0.00333724j -0.0424447+0.0391586j 0.049154+0.0560228j 0.0856217-0.0250039j -0.0697283-0.00106346j -0.0606749+0.0428985j 0.0668706-0.0850817j -0.116021+0.0031692j 0.0177713+0.0230574j -0.0256685-0.0108509j 0.0113132+0.00848682j -0.0629581+0.00825452j 0.0224466+0.156294j 0.0601945-0.0039127j 0.0866921+0.0327537j 0.0367778-0.00216156j 0.0262697-0.0514265j -0.0708393-0.0626716j -0.0641156-0.102104j 0.022968+0.0399903j 0.084161-0.0760632j 0.00617786-0.0505405j -0.0141136+0.190475j -0.390391-0.103518j 
0.0402414-0.0474971j -0.01789+0.0377213j -0.0470499-0.0414398j -0.0041344+0.0315536j 0.0920052-0.0121781j 0.0214747-0.0513067j 0.0752627+0.0347518j -0.096566-0.0414739j -0.0379005-0.0128965j 0.0274691+0.0314848j 0.0473909-0.0376424j -0.0757694-0.0405004j -0.134725-0.118646j -0.0967241-0.0140436j -0.0263501-0.15452j -0.0863445+0.0393927j 0.0835412-0.00912847j -0.0430591-0.0847195j -0.10454+0.194381j -0.0640415+0.0258958j 0.0321305-0.161495j 0.118048-0.063129j 0.158999+0.00747515j 0.111657+0.0491729j 0.234015+0.231273j -0.0467578+0.019954j 0.0460593+0.0478118j 0.0662536+0.239487j 0.100596-0.137629j 0.166885+0.0535451j 0.215661-0.136992j 0.228645+0.185745j -0.018735+0.0201537j 0.267077+0.0983173j -0.155957-0.137054j 0.0146536+0.0147749j -0.0308905-0.00816937j -0.0343421+0.0260014j -0.0812301+0.00875555j -0.0128308-0.00491977j 
0.0208632-0.0107334j 0.00519518-0.00158292j 0.0402345-0.0167689j -0.0557064+0.0239679j 0.0480788-0.00434406j 0.0208658-0.0139957j 0.0356281-0.00876838j -0.00699292-0.0448164j -0.0385989-0.0105156j -0.00398664+0.0153355j 0.0816704-0.0216806j 0.0719856+1.58433e-05j 0.0717598+0.031393j -0.0847524+0.00730667j 0.0815433-0.132101j 0.124773+0.0288782j 0.17749+0.00390209j -0.0464955-0.0479399j 0.069456+0.0328617j 0.0369284+0.0139724j 0.01546+0.0227616j 0.0532009-0.0648024j 0.0288359+0.0612711j -0.0941725+0.00998804j 0.0220636+0.00723154j -0.146797+0.129473j 0.0855058-0.138403j 0.0267753-0.0834829j 0.0966292-0.063914j -0.0209934-0.0931661j -0.0162379-0.116164j -0.222108+0.0682539j 0.122211+0.18909j 0.184956-0.0942568j 0.180452-0.149013j 0.118975+0.0504634j -0.0728956+0.201354j 0.239295+0.0115679j 0.207119-0.0249704j 0.17186+0.109728j 
-0.116967+0.0159158j 0.0559327-0.00937814j -0.0520439+0.0385202j 0.00657638+0.0382844j -0.0690025+0.0368693j -0.017653-0.017981j 0.019415-0.00683807j 0.0196319-0.072422j 0.00559724+0.0845385j 0.00179635+0.00534364j -0.0426105-0.00977988j -0.0312188+0.0332778j 0.0120316+0.0419996j 0.103766-0.0915827j -0.0533669+0.130917j -0.00164064+0.032282j -0.0929921+0.106828j -0.0174683-0.0143682j 0.224181+0.129423j 0.195556-0.155317j -0.151572-0.0536193j 0.00556947-0.113958j -0.0654331+0.0360596j -0.128592+0.0534818j -0.0853381+0.193335j -0.064201+0.180034j 0.0398935+0.00803538j -0.036874+0.506596j 0.080472+0.194003j -0.106587+0.201917j -0.136881+0.117116j 0.0642215-0.0583927j 0.0955044+0.17679j 0.0246879-0.21743j -0.0281082-0.0582247j 0.0319344+0.0427621j 0.025448+0.00126745j 0.0428434+0.0133092j 0.0625168+0.0173708j -0.07582+0.0150434j 
0.0547854+0.0198811j 0.0116756+0.0108117j 0.0757074-0.0114323j 0.0156575-0.0358874j 0.056987-0.0760047j -0.0641855-0.0318169j -0.0260094-0.0471311j 0.0729664-0.0290353j -0.04705+0.00332875j -0.0619735-0.0328664j 0.0613541+0.000881207j -0.0546001-0.0411174j -0.0641476-0.0181667j -0.00737447+0.0389556j 0.0605681+0.025812j 0.101038-0.0232181j -0.0299682+0.0202832j 0.0257209-0.0222431j 0.0128998-0.175648j 0.0912165+0.124972j 0.0159455-0.01787j -0.0793539-0.151319j -0.0886072-0.0232746j -0.0553729-0.00614292j 0.0174744+0.0846487j -0.195237-0.21305j -0.00171266+0.0948128j 0.0378386-0.00306625j 0.0592255-0.146642j -0.0367157+0.00932339j -0.10466-0.103883j 0.130439+0.142038j 0.180436+0.00253014j -0.172987-0.108488j 0.0123806-0.148989j -0.0281964+0.165273j -0.189137-0.04872j -0.154837+0.0752056j -0.163622-0.0299019j -0.045765-0.0529503j 
0.0118368+0.0253305j 0.0454749-0.00689985j -0.029342-0.00753596j 0.0495336-0.0542199j -0.0250747-0.0909399j -0.100117-0.0665394j -0.0854777-0.0399251j 0.0281012-0.0572883j 0.0742875-0.00840167j -0.0605531+0.032847j 0.10286-0.0486222j 0.00880553-0.0829025j -0.0225666+0.111405j 0.0788397+0.0456424j 0.0969897+0.134651j -0.0177846-0.0358776j 0.0461635-0.0228904j 0.0458228-0.106649j 0.0936565-0.179476j 0.160901+0.245741j 0.0772209-0.0857442j -0.145487-0.343066j 0.017679-0.0710756j 0.0250856+0.0106478j -0.0267481+0.317863j -0.180175+0.0530998j -0.217224+0.0685752j 0.0238311+0.0101864j 0.186604-0.0182624j 0.0113122-0.0120056j -0.014933-0.16708j -0.0385012-0.0884064j -0.032212+0.020004j 0.0334176+0.158744j 0.00690875+0.181692j 0.0690549-0.140567j 0.0863953+0.0199741j 0.024425-0.0214632j 0.00583883+0.0151451j 0.0884368+0.0194129j 
0.0369884-0.0545537j -0.00628418-0.0142166j -0.0387029-0.0172464j -0.0779116-0.0104756j -0.192488-0.00821895j 0.0963316-0.0124599j -0.097378+0.033673j -0.0844944+0.00498809j 0.0929212-0.0740984j -0.0261592+0.0113876j -0.0648619-0.0706097j 0.123063-0.086788j 0.0998195+0.135581j -0.0165633+0.0581403j 0.0775101+0.0590774j -0.139299-0.00395056j 0.140571-0.0783612j 0.0398057-0.0826776j 0.141714-0.0948075j -0.0436478+0.0874798j 0.035416+0.000192272j 0.0471993+0.109739j 0.153952-0.170601j 0.0493057-0.122509j -0.0160114-0.0440905j -0.0778458+0.142733j 0.05531+0.108444j -0.00156585+0.0157609j 0.0483141+0.202096j 0.158739-0.0797683j 0.16487-0.115766j -0.00433133+0.0805756j 0.133658-0.0657431j 0.0159419+0.0199633j -0.0454242-0.161388j -0.0562717-0.01581j 0.0946849-0.00339465j 0.102973-0.0519651j -0.0419803+0.105548j -0.252069-0.0903045j 
-0.107747+0.0337147j 0.0313078-0.0268482j 0.0209939+0.0906037j 0.0175659-0.0441785j -0.126609-0.0378139j 0.0100044+0.0658239j 0.053168-0.0228099j 0.0481401-0.0241211j 0.0836925+0.0114321j 0.103504+0.009531j 0.0207635+0.000806835j 0.0115585+0.0431848j -0.0463323-0.0499624j 0.0300489+0.0411587j -0.0586019-0.00522449j 0.0670974-0.0685372j -0.0591099-0.0145859j 0.0488771+0.0324045j -0.0249021-0.0376951j -0.000505164-0.0706862j 0.178088+0.0952253j 0.0673534+0.202394j 0.0474362+0.0477115j -0.0993712-0.0951788j 0.000688116-0.137702j 0.0487044+0.0355596j 0.0435799-0.00478471j 0.0548642+0.211777j 0.120205+0.0182147j -0.15248-0.0514578j -0.0259737-0.219604j -0.0420533-0.0381802j 0.169909-0.0117787j 0.0317221+0.148079j -0.0452981+0.0599245j -0.0760149-0.0847878j -0.104128-0.0483857j 0.133522+0.0588638j -0.189049-0.0639908j 0.0963649+0.0329451j 
-0.115202+0.0924742j 0.0425397-0.00243959j 0.238253+0.0187333j 0.0579341+0.0523967j 0.164519-0.00429048j -0.0723153-0.0885273j 0.0475247-0.108339j 0.00255268+0.0168297j -0.149381+0.084853j 0.00299934-0.0968785j 0.0975327-0.100728j -0.0434294-0.00620374j 0.0458077-0.0117388j -0.0488381-0.0258211j -0.0699379+0.0382906j 0.0781954-0.0144207j -0.0897678+0.0993673j -0.0993657+0.0869173j -0.244707+0.0557637j 0.0618475-0.00284149j 0.125863-0.0653918j -0.0978575+0.0653314j -0.16864+0.0281864j 0.0654536+0.0129456j 0.117311+0.0159037j -0.00146665-0.149235j -0.0682204-0.142131j 0.0010201+0.1219j 0.0335616-0.0428164j 0.11059+0.0467685j 0.0958125-0.0552572j 0.0893735-0.00578884j 0.032159+0.0430187j 0.0349228+0.0553983j -0.049496-0.0399819j -0.00254259-0.0559222j 0.0859246+0.013969j 0.0333653-0.0753987j 0.0246247+0.03929j -0.0564247-0.0144124j 
-0.0955632-0.0101841j 0.0302068-0.0108168j -0.0963332-0.0231443j -0.021038+0.0415938j -0.0550209+0.081332j 0.103291+0.0425215j 0.0604778-0.0247959j -0.00644577+0.0107416j -0.0318615+0.0357275j 0.0224041+0.0226781j -0.0144353-0.0416773j 0.0786448+0.048748j 0.0781145+0.0136085j 0.0603177-0.0743857j -0.0607048-0.00878081j -0.0762593+0.0342749j 0.013663-0.00882276j -0.0473624+0.0412954j 0.0471752+0.161648j -0.0160242-0.229851j -0.0701114-0.0220445j -0.02733+0.0186853j 0.0719574+0.0607919j 0.0293638+0.102284j -0.134286-0.0536996j 0.0880918-0.00785504j 0.0871787+0.0602642j -0.0452069-0.0835132j 0.110419+0.0105103j -0.0811973-0.024283j -0.0293115-0.13927j 0.0888305-0.0212403j 0.0612754+0.0114004j -0.112059+0.0582762j 0.0694782+0.121654j 0.108328-0.0405939j 0.00710646-0.0315054j -0.0456121-0.028674j -0.0902768+0.024926j -0.0181874-0.0026104j 
0.0634045-0.0285744j 0.000983216+0.0118628j -0.127992-0.00145222j -0.00513396-0.0321613j -0.113256-0.0531434j -0.0301417+0.00762559j -0.00313382+0.0473871j 0.0248086-0.0871597j 0.075024-0.0315537j -0.0288615+0.0655335j -0.0683822+0.0457661j -0.0115495-0.0399508j -0.084118-0.0340624j 0.00869994+0.0252454j 0.0414668-0.00546453j 0.0107009-0.0316658j -0.0154679-0.0662141j 0.123228-0.0422219j 0.0795993-0.0988371j -0.0181009+0.0919908j -0.00174633+0.0360332j 0.0847458-0.0543365j 0.0445362-0.041712j -0.0130541-0.0498049j 0.0168583+0.0642736j 0.00678098+0.0469233j -0.0450045+0.109684j 0.0451092+0.0765808j -0.0469967-0.0103455j -0.063075+0.00526332j -0.064638+0.104233j 0.0369519+0.0237269j -0.040738-0.0987363j 0.00869339-0.0353914j -0.0637082+0.00767082j -0.0833896-0.0163033j -0.0565063-0.00458179j -0.0339372+0.0530746j -0.0520878-0.0560671j 0.0679828+0.000873163j 
0.0525013+0.013437j -0.0446043+0.0174203j 0.137338-0.00161828j -0.0534178+0.0220478j 0.020793+0.0245451j 0.021982-0.0177426j -0.0515402-0.0413914j -0.0426516+0.0102829j -0.0567107-0.00840267j -0.00672224-0.0336729j 0.0221616-0.0201795j -0.0358605-0.00349708j -0.0465635+0.0216782j -0.00370976+0.0474315j 0.0140998+0.0268667j -0.0204373-0.0256573j -0.0252963-0.0159679j -0.0199102+0.0227601j 0.0499103-0.0570394j 0.0342628+0.0495231j 0.0181294+0.0376616j -0.0606458+0.0359988j -0.00253513-0.0171539j -0.0146415-0.0739213j 0.0147303-0.0563583j -0.00533402-0.0218762j -0.0400024-0.010798j -0.0614673+0.0637372j -0.0598495+0.0375663j 0.0524243+0.044255j -0.0015362+0.0388174j 0.0193295+0.0263401j 0.0471988+0.0276987j -0.102075+0.0298488j -0.0184945+0.0165606j -0.0319786+0.0231394j 0.03315+0.0301879j 0.0143736-0.0674105j 0.0534708+0.00506029j -0.0602348+0.00996123j 
-0.0306766-0.0513862j 0.000850545+0.0067846j -0.150009-0.0369015j 0.0301311-0.00147189j 0.00909227+0.0254045j 0.010948+0.0298473j 0.0699295+0.0937269j -0.0249382-0.0220645j 0.0217705+0.019222j 0.0259402+0.00801319j -0.0505026-0.0110257j 0.0266028+0.0235984j 0.0109159-0.0390273j -0.011843-0.0774556j -0.0444909-0.0700641j 0.000926826+0.0333009j 0.00808816+0.000836934j 0.0311184-0.0533541j -0.0667116+0.151309j -0.0460121-0.0681114j -0.00348514-0.0926167j 0.08741-0.0346555j 0.0503944+0.0199499j 0.0656375+0.104177j 0.012427+0.135831j 0.0493889+0.0182833j 0.0459732+0.049392j 0.0687292-0.0177591j 0.0567647-0.00708826j -0.00760202+0.0604256j 0.0423335+0.018421j 0.0937194+0.0393098j -0.0760025-0.0781721j 0.103983-0.0524565j -0.0499768-0.0228376j 0.0201449-0.0356114j -0.0419475+0.0214847j -0.0355001+0.0520538j -0.0581187-0.0337479j 0.0712425-0.0103189j 
0.130888-0.0325944j -0.049872+0.00761366j -0.0312587-0.0663688j -0.0911924+0.0355968j -0.0190701+0.060065j 0.080512-0.031946j -0.0335212-0.0345246j -0.0488026-0.0114943j -0.0378445-0.0492517j 0.0379418+0.0170457j -0.0291007+0.00376097j 0.0443269+0.0155817j -0.0257385-0.0573181j -0.00592374-0.0267312j -0.0524152+0.041771j -0.0426816+0.0110955j -0.0238245-0.0490996j -0.0547565-0.00201324j 0.0611182+0.0796305j 0.0252323-0.0422906j -0.0656306+0.0280028j 0.0222434-0.0160053j 0.036042+0.0346799j 0.0424792+0.0307056j 0.014789+0.00945088j -0.0203015+0.0624464j 0.0515726+0.0316038j -0.084362+0.139645j 0.0758993-0.0191656j 0.000186163+0.0469052j -0.0224769-0.0148053j 0.0275196+0.0213501j 0.0409281+0.118314j -0.0255649+0.0840885j 0.0392447+0.0245706j 0.0470524+0.0761345j 0.0558053+0.00692962j -0.00152508-0.047746j 0.0137457+0.0257139j -0.0105631+0.00331257j 
0.0845918-0.0325842j -0.0379024+0.00228335j -0.0682249-0.0328597j -0.0595563+0.0300965j -0.0514239+0.0106802j 0.0713335+0.0221732j 0.00917149+0.0317985j -0.0270674+0.0150188j 0.0283207-0.0138798j 0.00949545+0.00857452j -0.0833504+0.0224669j 0.0756492+0.0290545j -0.0117747-0.00823467j -0.0345502-0.0005738j -0.0286263+0.0429216j 0.0297608+0.0301977j 0.00888163-0.0424456j 0.00821823-0.0194658j 0.0316633+0.0156607j -0.0240784-0.0149929j -0.0498493+0.0240196j 0.0277625+0.0106839j 0.0364579-0.0167516j 0.0190249-0.00640096j 0.0191613-0.00719629j 0.0239775+0.0396736j 0.0222555+0.0264586j -0.0478148-0.00289628j -0.0546223-0.0207034j 0.0365121-0.0280855j -0.0265221+0.0847137j 0.0284201+0.0256724j -0.0059173+0.033094j -0.016313+0.0369443j 0.0271974+0.0115537j 0.0383466+0.0459127j 0.0294081+0.00791486j -0.0362752-0.0161932j 0.0335321+0.00498166j -0.00792803-0.00216414j 
0.123341-0.0307409j -0.0327848+0.0115286j -0.00225858-0.0294597j -0.0704778+0.0325558j -0.00591613+0.0523357j 0.0547114+0.00554823j -0.00346076+0.000903006j -0.059986-0.00794157j -0.0090132-0.0426059j 0.00630216+0.0108297j -0.0106669+0.0552028j 0.0281111+0.0179399j -0.0443651-0.0394899j -0.0413442+0.0090697j 0.0187849+0.0164603j 0.00988307+0.0192155j 0.0257284-0.00501659j -0.0153487-0.0276479j -0.00257623-0.0110128j -0.0578882+0.00939149j 0.000183028+0.079468j 0.0102854+0.0383373j 0.0494814+0.0369019j 0.0475997-0.00472822j 0.0400509+0.00039195j 0.0136537+0.00810367j 0.0196776+0.0295865j 0.0231235+0.0371023j -0.0163626-0.0932356j 0.0219777-0.0368802j -0.0183019-0.0466677j 0.0460992+0.0358722j 0.0102755+0.0876029j -0.0230938+0.074991j 0.00466621+0.0517437j 0.00377892+0.0615288j 0.000558176-0.00465448j -0.00726311-0.0485604j 0.00502135-0.0124458j 0.0399739+0.0156026j 
