-0.0745744-0.0929834j -0.0890681+0.168612j -0.0163962+0.0325321j -0.183669+0.0286652j 0.000527547+0.105707j 0.119146-0.162474j -0.132701-0.00762829j -0.0787246-0.0853451j -0.0454583-0.169954j -0.0119349-0.118248j -0.201359+0.0431434j -0.0104846-0.142039j 0.167343+0.0572239j 0.124495-0.103479j -0.0161367+0.0172427j 0.0989501-0.107195j 0.248349-0.0344963j 0.0882041-0.26268j 
0.0402735+0.139822j 0.113055-0.00918573j -0.0270188-0.0079842j -0.0494819-0.0415396j 0.0425311+0.00806206j -0.0301373-0.0176304j -0.00900498+0.0882378j 0.0374762-0.013755j -0.00845598+0.0182197j 0.00611951-0.00181622j 0.0161552-0.134601j 0.023552-0.0748449j 0.036555+0.0265224j 0.0244091+0.0821827j -0.000450707+0.0703549j -0.0109699+0.0474172j -0.0432456-0.133848j -0.106434+0.0752531j 
0.0311931-0.0792156j -0.0995638-0.042349j 0.0541973+0.0106511j 0.00158247+0.0182315j -0.0289113-0.0909878j -0.00351083-0.0164727j 0.0585527-0.0362123j -0.040237+0.0367946j 0.0443594+0.00974933j -0.12726-0.0811332j -0.0278664-0.0194731j 0.0053053-0.0806099j -0.0446502-0.0339491j -0.172084+0.129404j -0.0758671-0.078922j 0.0722082-0.00646261j 0.0371356+0.0907876j 0.0684034-0.0388483j 
-0.0084222-0.0681291j -0.0805503-0.0122359j 0.0211368+0.0273404j -0.00252678+0.0217104j -0.00538219-0.0185j -0.00822893+0.0262234j 0.00392941-0.0051065j -0.00695574-0.00934496j 0.0300694-0.00616036j -0.0353208+0.0154303j 0.0254015+0.00654712j -0.0376188-0.017174j -0.0538706-0.0368604j -0.0884717+0.0333821j -0.0463378-0.0077194j 0.0095117-0.00645429j 0.0136497+0.055099j 0.0320089-0.016443j 
0.0978228-0.0342227j -0.0849636-0.104786j 0.0404032+0.0430675j -0.0243026+0.00293126j 0.00329236-0.036002j -0.0383164-0.023548j -0.00151728+0.0133902j -0.0263438-0.0234768j 0.0104284-0.0176202j -0.021193-0.0206764j 0.0628927+0.0577609j 0.126047+0.069645j 0.069462-0.00300624j -0.0159273+0.0120689j -0.112815-0.0509205j 0.0148997-0.0179409j -0.00950366+0.0223273j 0.0213274+0.0386323j 
0.00939848-0.0179256j -0.0284258-0.0336409j 0.0181787+0.000687404j 0.0425894+0.00883093j -0.01971+0.0231382j 0.000904959+0.035757j -0.0149915+6.98263e-05j 0.0029606-0.00798985j -0.014425-0.002344j 0.0109367+0.0193697j 0.0370839-0.00232724j -0.000507657+0.0137205j 0.00333336-0.0429639j -0.0585322-0.0153516j -0.00376024+0.0209177j -0.0252458+0.00864722j -0.0161855+0.0128135j 0.00456698+0.0166212j 
-0.023346+0.00389307j 0.0409558+0.0575981j -0.00186934+0.0221729j -0.0050361+0.0324252j -0.00156857+0.041903j 0.00927478+0.00283836j -0.0488511-0.0188882j 0.0309775+0.0338499j -0.00542763-0.0258202j 0.0116804+0.00483081j -0.0650039-0.0219964j -0.0198905-0.0824957j -0.0334201+0.000464576j 0.063569-0.0246561j 0.057336-0.0130896j 0.0236459+0.0143621j 0.0204223-0.00142594j -0.00550047-0.0554607j 
0.0117037-0.0409675j -0.0151768-0.0210509j 0.00166387-0.0204294j -0.015897+0.00236995j 0.0123178+0.00746285j 0.0124916+0.0292563j 0.0214964+0.0093854j -0.0295909-0.0383175j -0.000622021-0.0135058j 0.00459824+0.0163114j 0.00808297+0.0412735j 0.00779722+0.0572285j -0.0193143+0.0389404j 0.017444-0.00151782j -0.022023-0.00608715j 0.00349882-0.0203836j -0.00193074+0.0210979j 0.00717694+0.0157662j 
0.015511+0.00743164j -0.0143834-0.0258995j 0.0219109-0.0223235j 0.0587947-0.0286548j -0.0301136-0.0179739j -0.0243106+0.0122056j 0.0282341+0.00518621j 0.0135974+0.0128287j 0.00460038+0.021287j -0.0255319+0.000626389j -0.00243655+0.0137803j -0.033807+0.088864j -0.0132373-0.00181775j 0.00452099+0.013677j 0.00347496+0.0220791j -0.0273978+0.00644494j 0.00421983-0.0177415j -0.0225133+0.0269689j 
0.0468259-0.0122087j -0.0625995-0.0857862j 0.012337+0.0499952j -0.00444733+0.0106938j 0.0213096-0.0207968j -0.0134331-0.0190721j 0.00103413+0.00678822j -0.00234262+0.00635963j 0.0110792+0.0123281j -0.00688791+0.0236978j 0.0305527-0.00487497j 0.03661+0.0446895j 0.0187163+0.0376939j -0.0122301+0.0441443j -0.0486517-0.0113969j 0.00343511+0.00746717j -0.0115278-0.0187962j -0.0187261+0.063875j 
0.0760331+0.159998j 0.157604+0.028135j -0.0350026-0.0419483j -0.019559-0.0229914j 0.0778815+0.0401552j 0.0111587-0.0119466j 0.0182649+0.0558415j 0.0140736+0.0225558j -0.0209414-0.00185148j 0.0550579+0.0446955j -0.0303989-0.0612833j 0.0541177-0.0895438j -0.0308378+0.0473009j 0.0805961+0.00707507j 0.0420826+0.0723009j 0.0357469-0.0152352j 0.00159333-0.102845j -0.0317502-0.0142274j 
-0.122237-0.0496724j 0.0439591+0.120319j -0.00618415-0.0400094j 0.0517193+0.0315946j -0.0514306+0.0123197j 0.0118563+0.00660995j -0.0519497-0.0689102j 0.0419629+0.0616984j -0.0217776-0.0376705j -0.00333668+0.0257709j -0.0117839+0.0423973j -0.0964064-0.0620588j -0.0347925+0.0479058j 0.0333768-0.0638701j 0.0554426+0.014945j -0.0341849-0.0272254j 0.00233509+0.0107591j -0.00911828-0.0497853j 
