-0.216755-0j -0.229691-0j 0.164635-0j -0.172976-0j -0.148265-0j 0.176432-0j -0.107023-0j -0.137267-0j -0.132612-0j -0.160144-0j 0.286681-0j 0.134752-0j -0.149801-0j -0.0577991-0j -0.103785-0j 0.117621-0j -0.12358-0j 0.111585-0j 0.31286-0j -0.077357-0j -0.117238-0j 0.0849035-0j -0.0749006-0j -0.028209-0j 0.130183-0j 0.0891301-0j 0.233804-0j -0.0789686-0j -0.0873841-0j -0.0540661-0j 0.244852-0j 0.221226-0j 0.0469855-0j 0.0396134-0j 0.103985-0j -0.0127462-0j -0.0416201-0j 0.26411-0j -0.0446023-0j 0.182502-0j 0.159689-0j 0.151121-0j 0.049527-0j 0.0237362-0j 0.21788-0j -0.0164552-0j -0.00544205-0j 0.107591-0j 0.093152-0j 0.109085-0j 0.0113053-0j 0.0497343-0j -0.00224473-0j 0.0113657-0j 0.000890394-0j -0.000126143-0j 
-0.00657855-0j 0.0203615-0j -0.00519598-0j -0.0246113-0j -0.00449985-0j 0.016264-0j -0.00397443-0j -0.00416605-0j -0.00402479-0j 0.0141964-0j -0.00297637-0j -0.0199374-0j 0.0132795-0j 0.0241405-0j 0.00920031-0j -0.00371219-0j -0.0175832-0j -0.00352169-0j 0.00948734-0j -0.00234779-0j -0.0166809-0j -0.00327874-0j -0.00227324-0j 0.0158892-0j 0.0120006-0j 0.00821628-0j -0.00145262-0j -0.00293259-0j 0.00774638-0j -0.00200781-0j -0.0119174-0j -0.0022968-0j 0.0204067-0j -0.00125022-0j -0.0153853-0j -0.0118742-0j -0.00592179-0j 0.00479283-0j 0.0186287-0j 0.00553428-0j -0.00202862-0j -0.0006699-0j -0.0019126-0j 0.013903-0j -0.0063461-0j 0.00926869-0j -0.0330366-0j 0.00108281-0j 0.013309-0j -0.00059168-0j -0.010952-0j 0.00573471-0j -0.03935-0j -0.0236025-0j -0.0357937-0j -0.0159794-0j 
0.000949532-0j -0.00293893-0j 0.000749975-0j 0.00355234-0j 0.000649498-0j -0.00234751-0j 0.00057366-0j 0.000601318-0j 0.000580928-0j -0.00204907-0j 0.000429602-0j 0.00287772-0j -0.00191673-0j -0.00348438-0j -0.00132795-0j 0.000535808-0j 0.00253791-0j 0.000508312-0j -0.00136938-0j 0.000338875-0j 0.00240767-0j 0.000473245-0j 0.000328114-0j -0.00229341-0j -0.00173214-0j -0.00118592-0j 0.000209668-0j 0.000423283-0j -0.00111809-0j 0.000289802-0j 0.00172013-0j 0.000331514-0j -0.00294546-0j 0.000180454-0j 0.00222067-0j 0.0017139-0j 0.000854737-0j -0.000691785-0j -0.00268882-0j -0.000798805-0j 0.000292806-0j 9.66917e-05-0j 0.00027606-0j -0.00200673-0j 0.000915981-0j -0.00133782-0j 0.00476843-0j -0.000156291-0j -0.00192099-0j 8.54016e-05-0j 0.00158078-0j -0.000827734-0j 0.00567968-0j 0.00340673-0j 0.00516637-0j 0.00230643-0j 
0.0114025-0j 0.012083-0j 0.00900611-0j 0.00909944-0j 0.00779952-0j 0.00965142-0j 0.00562999-0j 0.00722096-0j -0.0273001-0j 0.00842445-0j 0.0051589-0j 0.00737139-0j 0.00788035-0j 0.00304054-0j -0.0481911-0j 0.00643428-0j 0.00650096-0j -0.0238876-0j 0.00562999-0j -0.0159251-0j -0.0241351-0j 0.00464451-0j 0.00394017-0j 0.00148394-0j -0.0278688-0j 0.00487572-0j -0.00985312-0j -0.0162568-0j 0.00459687-0j 0.00284417-0j -0.017243-0j 0.00398101-0j -0.0100584-0j 0.00216699-0j 0.00568834-0j -0.00262398-0j 0.00218944-0j 0.00284417-0j 0.00234632-0j 0.00328416-0j 0.00287364-0j 0.00116113-0j 0.0027093-0j 0.00129845-0j 0.00234632-0j 0.000865633-0j 0.000286281-0j 0.000642566-0j 0.00167629-0j 0.000838146-0j 0.000618438-0j 0.000535583-0j 0.000118085-0j 0.000204529-0j 4.87076e-05-0j 6.63579e-06-0j 
-0.0020157-0j -0.00213599-0j -0.00159207-0j -0.00160857-0j -0.00137877-0j -0.00170615-0j -0.000995252-0j -0.0012765-0j 0.00482602-0j -0.00148925-0j -0.000911973-0j -0.00130309-0j -0.00139306-0j -0.000537497-0j 0.00851906-0j -0.00113743-0j -0.00114922-0j 0.00422277-0j -0.000995252-0j 0.00281518-0j 0.00426653-0j -0.000821041-0j -0.000696531-0j -0.000262326-0j 0.00492656-0j -0.000861913-0j 0.0017418-0j 0.00287383-0j -0.00081262-0j -0.000502783-0j 0.00304815-0j -0.000703749-0j 0.00177809-0j -0.000383073-0j -0.00100557-0j 0.000463859-0j -0.000387042-0j -0.000502783-0j -0.000414775-0j -0.000580564-0j -0.000507993-0j -0.00020526-0j -0.00047894-0j -0.000229536-0j -0.000414775-0j -0.000153024-0j -5.06079e-05-0j -0.000113591-0j -0.000296329-0j -0.000148165-0j -0.000109325-0j -9.46786e-05-0j -2.08747e-05-0j -3.6156e-05-0j -8.61037e-06-0j -1.17305e-06-0j 
0.000167975-0j 0.000177999-0j 0.000132673-0j 0.000134047-0j 0.000114898-0j 0.000142179-0j 8.29376e-05-0j 0.000106375-0j -0.000402168-0j 0.000124104-0j 7.59978e-05-0j 0.000108591-0j 0.000116089-0j 4.47914e-05-0j -0.000709921-0j 9.47859e-05-0j 9.57681e-05-0j -0.000351897-0j 8.29376e-05-0j -0.000234598-0j -0.000355544-0j 6.84201e-05-0j 5.80443e-05-0j 2.18605e-05-0j -0.000410547-0j 7.18261e-05-0j -0.00014515-0j -0.000239486-0j 6.77183e-05-0j 4.18986e-05-0j -0.000254013-0j 5.86458e-05-0j -0.000148174-0j 3.19227e-05-0j 8.37971e-05-0j -3.86549e-05-0j 3.22535e-05-0j 4.18986e-05-0j 3.45645e-05-0j 4.83803e-05-0j 4.23328e-05-0j 1.7105e-05-0j 3.99117e-05-0j 1.9128e-05-0j 3.45645e-05-0j 1.2752e-05-0j 4.21732e-06-0j 9.46589e-06-0j 2.46941e-05-0j 1.23471e-05-0j 9.11046e-06-0j 7.88989e-06-0j 1.73956e-06-0j 3.013e-06-0j 7.1753e-07-0j 9.77544e-08-0j 
-0.0128805-0j -0.000270151-0j -0.0101735-0j 0.00987203-0j -0.0088105-0j -0.000215786-0j 0.0123419-0j 0.0238854-0j -0.00788035-0j -0.000188354-0j -0.0058276-0j 0.00799725-0j 0.000515921-0j 0.0100321-0j -0.000122067-0j -0.00726829-0j 0.00705292-0j 0.020191-0j -0.000125875-0j -0.00459687-0j -0.0195927-0j 0.0101815-0j 0.0305174-0j 0.00653928-0j -0.000159221-0j 0.00074743-0j -0.00284417-0j 0.00910664-0j 0.000300954-0j -0.0427493-0j 0.00478027-0j 0.0131683-0j 0.0084804-0j -0.00244787-0j -0.018071-0j 0.0036972-0j 0.00237533-0j 0.000186206-0j -0.0226689-0j -7.34272e-05-0j -0.0184464-0j -0.00131163-0j 0.00593923-0j -0.0167549-0j 0.00254553-0j 0.00381458-0j -0.00555054-0j -1.43665e-05-0j 0.0055308-0j 0.00183736-0j 0.00341004-0j 0.00236015-0j 0.000912617-0j 0.00135423-0j 0.000430367-0j 7.33272e-05-0j 
-0.0105169-0j -0.0111445-0j 0.00798804-0j -0.0083927-0j 0.0139869-0j 0.00856039-0j -0.00519272-0j -0.00666011-0j -0.00643428-0j 0.0151076-0j 0.0139097-0j 0.00653811-0j -0.00726829-0j -0.00280439-0j -0.00503562-0j -0.0110961-0j 0.0116582-0j 0.00541407-0j 0.0151798-0j 0.0183487-0j -0.00568834-0j 0.00411948-0j 0.00706594-0j -0.00136869-0j -0.0122811-0j 0.00432455-0j 0.0113441-0j 0.00744971-0j 0.020727-0j -0.00262326-0j 0.0118801-0j -0.0208699-0j 0.00227971-0j -0.0150551-0j -0.0098097-0j -0.000618438-0j 0.0158178-0j 0.0128145-0j 0.00420767-0j -0.0432885-0j 0.00774804-0j -0.0142564-0j -0.0117475-0j 0.00115167-0j -0.0205542-0j 0.00390309-0j -0.000264046-0j 0.00522028-0j -0.00878773-0j 0.00529274-0j -0.00106651-0j 0.00241309-0j 0.000211763-0j 0.000551461-0j 4.32015e-05-0j -6.12039e-06-0j 
0.00227697-0j 4.77564e-05-0j 0.00179844-0j -0.00174514-0j 0.00155749-0j 3.8146e-05-0j -0.00218176-0j -0.00422238-0j 0.00139306-0j 3.32965e-05-0j 0.00103018-0j -0.00141373-0j -9.12027e-05-0j -0.00177343-0j 2.15786e-05-0j 0.00128486-0j -0.00124679-0j -0.0035693-0j 2.22518e-05-0j 0.00081262-0j 0.00346354-0j -0.00179986-0j -0.00539477-0j -0.00115599-0j 2.81466e-05-0j -0.000132128-0j 0.000502783-0j -0.00160984-0j -5.32016e-05-0j 0.00755707-0j -0.00084504-0j -0.00232785-0j -0.00149914-0j 0.000432726-0j 0.00319453-0j -0.000653578-0j -0.000419904-0j -3.29168e-05-0j 0.00400734-0j 1.29802e-05-0j 0.00326089-0j 0.000231866-0j -0.00104992-0j 0.00296188-0j -0.000449991-0j -0.000674328-0j 0.000981207-0j 2.53966e-06-0j -0.000977717-0j -0.000324802-0j -0.000602816-0j -0.000417219-0j -0.000161329-0j -0.000239397-0j -7.60789e-05-0j -1.29625e-05-0j 
0.0106259-0j -0.0108143-0j 0.0083927-0j -0.00847303-0j -0.0141319-0j -0.00863802-0j 0.00463581-0j 0.00672913-0j 0.00650096-0j 0.0146599-0j 0.00480752-0j -0.00686394-0j -0.00705292-0j 0.0132833-0j -0.0048864-0j -0.0116582-0j 0.0117698-0j 0.00568834-0j -0.00503885-0j -0.0185388-0j -0.00574278-0j 0.00382435-0j -0.00713917-0j 0.0144013-0j 0.0123925-0j -0.00436377-0j 0.00234632-0j -0.00665074-0j 0.0201128-0j 0.00234193-0j -0.00410284-0j -0.00721315-0j 0.0112288-0j -0.0158178-0j 0.0102986-0j 0.0112858-0j 0.0159692-0j -0.00254553-0j -0.0199301-0j 0.0143693-0j 0.0023662-0j -0.00210384-0j -0.0109059-0j 0.0126011-0j 0.00424794-0j -0.0410683-0j 0.00737146-0j -0.000575097-0j -0.0142387-0j 0.00069014-0j -0.0202389-0j 0.0051977-0j -0.0083704-0j 0.00526642-0j 0.00238454-0j 0.000526393-0j 
-0.000189748-0j -3.9797e-06-0j -0.00014987-0j 0.000145429-0j -0.000129791-0j -3.17883e-06-0j 0.000181813-0j 0.000351865-0j -0.000116089-0j -2.77471e-06-0j -8.58486e-05-0j 0.000117811-0j 7.60023e-06-0j 0.000147786-0j -1.79822e-06-0j -0.000107072-0j 0.000103899-0j 0.000297442-0j -1.85432e-06-0j -6.77183e-05-0j -0.000288628-0j 0.000149988-0j 0.000449564-0j 9.63326e-05-0j -2.34555e-06-0j 1.10107e-05-0j -4.18986e-05-0j 0.000134153-0j 4.43347e-06-0j -0.000629756-0j 7.042e-05-0j 0.000193988-0j 0.000124928-0j -3.60605e-05-0j -0.000266211-0j 5.44649e-05-0j 3.4992e-05-0j 2.74307e-06-0j -0.000333945-0j -1.08169e-06-0j -0.000271741-0j -1.93222e-05-0j 8.74931e-05-0j -0.000246823-0j 3.74992e-05-0j 5.6194e-05-0j -8.17672e-05-0j -2.11638e-07-0j 8.14764e-05-0j 2.70668e-05-0j 5.02346e-05-0j 3.47683e-05-0j 1.34441e-05-0j 1.99497e-05-0j 6.33991e-06-0j 1.08021e-06-0j 
0.00185914-0j 0.00197009-0j -0.0014121-0j 0.00148363-0j -0.00247256-0j -0.00151328-0j 0.000917951-0j 0.00117735-0j 0.00113743-0j -0.00267068-0j -0.0024589-0j -0.00115579-0j 0.00128486-0j 0.00049575-0j 0.00089018-0j 0.00196153-0j -0.0020609-0j -0.000957081-0j -0.00268344-0j -0.00324362-0j 0.00100557-0j -0.000728228-0j -0.00124909-0j 0.000241952-0j 0.00217102-0j -0.00076448-0j -0.00200537-0j -0.00131693-0j -0.00366406-0j 0.000463732-0j -0.00210013-0j 0.00368931-0j -0.000403-0j 0.0026614-0j 0.00173413-0j 0.000109325-0j -0.00279622-0j -0.0022653-0j -0.000743818-0j 0.00765239-0j -0.00136967-0j 0.00252019-0j 0.00207669-0j -0.000203588-0j 0.00363351-0j -0.000689976-0j 4.66772e-05-0j -0.000922823-0j 0.00155347-0j -0.000935633-0j 0.000188535-0j -0.000426578-0j -3.74347e-05-0j -9.74854e-05-0j -7.63702e-06-0j 1.08194e-06-0j 
0.00920227-0j 0.000193005-0j -0.0212474-0j -0.00705292-0j 0.00629452-0j -0.00045067-0j -0.00881747-0j 0.0058276-0j 0.00562999-0j 0.000134566-0j 0.00353697-0j 0.0167023-0j 0.000125875-0j -0.00716725-0j 8.7209e-05-0j -0.0151798-0j -0.00503885-0j -0.0144009-0j 7.6398e-05-0j 0.00328416-0j -0.00478027-0j 0.0212642-0j 0.00317988-0j -0.00467188-0j -0.000332534-0j -0.00022767-0j 0.0250308-0j -0.0065061-0j 7.34272e-05-0j -0.00445442-0j -0.00290131-0j 0.0027294-0j 0.0177113-0j -0.00511238-0j 0.0128888-0j -0.00264141-0j -0.00169702-0j 0.000559638-0j -0.0055308-0j 4.45655e-05-0j -0.00382338-0j 0.0295025-0j 0.0124041-0j 0.0119501-0j -0.0224026-0j -0.00272527-0j -0.00135423-0j 0.000598845-0j -0.00335683-0j -0.0413275-0j 0.00712188-0j -0.0207711-0j -0.000652005-0j -0.00082193-0j 0.000898824-0j -5.23875e-05-0j 
-0.000154928-0j -0.000164174-0j 0.000117675-0j -0.000123636-0j 0.000206047-0j 0.000126106-0j -7.6496e-05-0j -9.81127e-05-0j -9.47859e-05-0j 0.000222556-0j 0.000204909-0j 9.63154e-05-0j -0.000107072-0j -4.13125e-05-0j -7.41817e-05-0j -0.000163461-0j 0.000171742-0j 7.97568e-05-0j 0.00022362-0j 0.000270302-0j -8.37971e-05-0j 6.06857e-05-0j 0.000104091-0j -2.01627e-05-0j -0.000180918-0j 6.37067e-05-0j 0.000167114-0j 0.000109745-0j 0.000305338-0j -3.86443e-05-0j 0.00017501-0j -0.000307442-0j 3.35834e-05-0j -0.000221783-0j -0.000144511-0j -9.11046e-06-0j 0.000233018-0j 0.000188775-0j 6.19848e-05-0j -0.000637699-0j 0.000114139-0j -0.000210016-0j -0.000173058-0j 1.69657e-05-0j -0.000302792-0j 5.7498e-05-0j -3.88977e-06-0j 7.69019e-05-0j -0.000129455-0j 7.79694e-05-0j -1.57112e-05-0j 3.55481e-05-0j 3.11956e-06-0j 8.12379e-06-0j 6.36419e-07-0j -9.01619e-08-0j 
