-0.321702-0j -0.00678126-0j -0.256964-0j 0.249349-0j -0.224296-0j -0.00549345-0j -0.20981-0j 0.314198-0j -0.145361-0j -0.00484476-0j -0.149895-0j -0.00459615-0j 0.205703-0j 0.258041-0j -0.189604-0j -0.129813-0j 0.183986-0j -0.122389-0j 0.125967-0j -0.00328365-0j 0.265601-0j -0.00423917-0j 0.170587-0j -0.00163166-0j -0.0757244-0j 0.242459-0j -0.087439-0j 0.127272-0j 0.119993-0j 0.225786-0j -0.00174857-0j 0.150524-0j 0.0984358-0j -0.017108-0j 0.173221-0j 0.037121-0j 0.157338-0j 0.0931319-0j 0.0521225-0j 0.0703259-0j 0.026617-0j 0.00515768-0j -0.044245-0j -0.000927979-0j -0.0349463-0j 0.0339108-0j -0.0302644-0j -0.000741234-0j 0.0423949-0j -0.0280194-0j -0.0270693-0j -0.000647002-0j -0.020018-0j 0.0274709-0j -0.000605215-0j 0.0344605-0j -0.000419305-0j -0.0249669-0j 0.024227-0j -0.0236857-0j -0.000432387-0j -0.0157904-0j 0.0229838-0j 0.034974-0j -0.015289-0j 0.0224627-0j -0.000546931-0j -0.000374458-0j -0.00976983-0j 0.0312817-0j -0.000353042-0j 0.0214171-0j 0.0164204-0j -0.0154475-0j 0.0291305-0j -0.00840853-0j 0.0211987-0j 0.0127-0j 0.00815937-0j -0.000218434-0j 0.0265924-0j -0.000252226-0j 0.021639-0j -0.00450551-0j 0.0204015-0j 0.0196548-0j 0.008744-0j 0.0131032-0j 0.00651122-0j -4.93494e-05-0j 0.0189985-0j 0.00631139-0j 0.0117136-0j 0.00810721-0j 0.00313488-0j 0.00465184-0j 0.00147833-0j 0.000251882-0j 
0.00835837-0j 0.000176189-0j -0.0195169-0j -0.00647852-0j 0.0058276-0j -0.000417239-0j 0.00545122-0j -0.00816339-0j 0.00377671-0j 0.000125875-0j 0.00330853-0j 0.000119416-0j 0.0156236-0j -0.00670435-0j -0.0144009-0j -0.0098596-0j -0.00478027-0j 0.00317988-0j -0.00327283-0j 7.24775e-05-0j 0.020173-0j -0.000321974-0j -0.00443214-0j 4.23932e-05-0j 0.024236-0j -0.0062995-0j 0.00192998-0j -0.00280918-0j 0.00911374-0j 0.0171489-0j 0.000559638-0j -0.00391087-0j -0.00255753-0j 0.0259339-0j -0.00382338-0j -0.0303648-0j 0.0119501-0j -0.0298073-0j -0.00135423-0j -0.00155225-0j 0.00202162-0j -0.000134005-0j 0.00114956-0j 2.41105e-05-0j -0.00265425-0j -0.000881061-0j 0.000786321-0j -5.62984e-05-0j -0.00110149-0j 0.000727992-0j 0.000703307-0j 1.68102e-05-0j 0.000441843-0j 0.00208647-0j 1.57245e-05-0j -0.000895343-0j 1.08943e-05-0j -0.00189629-0j -0.00062946-0j -0.00179898-0j 9.54375e-06-0j 0.000410263-0j -0.000597158-0j 0.00265635-0j 0.000397235-0j -0.000583619-0j -4.15406e-05-0j -2.84409e-05-0j 0.00312688-0j -0.000812751-0j 9.17264e-06-0j -0.000556453-0j -0.000362436-0j 0.00034096-0j 0.00221253-0j -0.000638647-0j 0.00161009-0j -0.000329968-0j -0.000211994-0j 6.99108e-05-0j -0.000690916-0j 5.56719e-06-0j -0.000477623-0j 0.00368549-0j 0.00154954-0j 0.00149283-0j -0.00279856-0j -0.000340444-0j -0.000169173-0j 7.48086e-05-0j -0.000419341-0j -0.00516269-0j 0.000889675-0j -0.00259475-0j -8.14495e-05-0j -0.000102677-0j 0.000112282-0j -6.54432e-06-0j 
0.00159207-0j 0.00169558-0j -0.00122291-0j 0.00128486-0j -0.00215823-0j -0.0013209-0j 0.00103833-0j 0.000801254-0j 0.000719374-0j -0.00235531-0j -0.00216855-0j 0.00114922-0j -0.00101931-0j 0.000437211-0j 0.00175445-0j -0.000617793-0j -0.00184332-0j -0.00296101-0j 0.00064909-0j -0.00240014-0j -0.000651347-0j 0.00198186-0j 0.000216408-0j -0.00319568-0j -0.00183064-0j -0.00120219-0j 0.00618407-0j -0.00191714-0j 0.00290676-0j -0.000367887-0j 0.00415258-0j -0.0012468-0j 9.98e-05-0j -0.000745754-0j 0.00251078-0j -0.00130961-0j 0.000373202-0j -0.000770833-0j -8.5565e-05-0j -0.000208433-0j -1.85149e-05-0j 2.89986e-06-0j -0.0102979-0j -0.0109125-0j 0.00782172-0j -0.00821796-0j 0.0136957-0j 0.00838216-0j -0.0050846-0j -0.00652145-0j -0.00630032-0j 0.0147931-0j 0.0136201-0j 0.00640198-0j -0.00711696-0j -0.002746-0j -0.00493078-0j -0.0108651-0j 0.0114155-0j 0.00530135-0j 0.0148638-0j 0.0179667-0j -0.0055699-0j 0.00403371-0j 0.00691883-0j -0.00134019-0j -0.0120254-0j 0.00423451-0j 0.0111079-0j 0.0072946-0j 0.0202955-0j -0.00256865-0j 0.0116328-0j -0.0204354-0j 0.00223225-0j -0.0147417-0j -0.00960546-0j -0.000605562-0j 0.0154885-0j 0.0125477-0j 0.00412007-0j -0.0423872-0j 0.00758673-0j -0.0139595-0j -0.011503-0j 0.00112769-0j -0.0201263-0j 0.00382183-0j -0.000258549-0j 0.00511159-0j -0.00860477-0j 0.00518254-0j -0.00104431-0j 0.00236285-0j 0.000207354-0j 0.000539979-0j 4.23021e-05-0j -5.99297e-06-0j 
-0.00689531-0j 0.0142512-0j 0.00529647-0j -0.00491702-0j -0.00480752-0j -0.011102-0j -0.00449703-0j -0.013263-0j -0.00311563-0j 0.0101815-0j 0.00939205-0j 0.00965905-0j 0.00390076-0j -0.00231696-0j 0.00390808-0j 0.00267568-0j -0.0036281-0j -0.00262326-0j -0.00248399-0j -0.020173-0j 0.0107816-0j -0.00856716-0j 0.0117741-0j 0.00342902-0j 0.00792856-0j -0.0102348-0j 0.0054787-0j 0.00733668-0j 0.00227544-0j 0.00194959-0j -0.0179507-0j -0.00135156-0j 0.0186666-0j 0.00322988-0j 0.0213753-0j 0.00501173-0j -0.0104431-0j 0.00408496-0j 0.0183544-0j -0.0389851-0j -0.0142376-0j 0.00561502-0j -0.000948339-0j 0.0019502-0j 0.000720306-0j -0.000668701-0j -0.000648682-0j -0.001498-0j -0.00178959-0j -0.000600563-0j -0.000580199-0j 0.00135971-0j 0.00125428-0j 0.000520934-0j 0.00127189-0j -0.000309423-0j 0.000881193-0j 0.000514611-0j -0.000477743-0j 0.000488203-0j -0.00265635-0j -0.000338449-0j -0.000453227-0j 0.00141971-0j -0.000327702-0j 0.0015504-0j -0.00110532-0j -0.000756762-0j 0.00102293-0j -0.00132047-0j 0.000741937-0j -0.000904066-0j 0.000946566-0j 0.000967897-0j 0.000251533-0j 0.000173315-0j 0.000401993-0j 0.00240833-0j -0.000160898-0j -0.00224243-0j -0.000238774-0j -0.00154954-0j 0.00267024-0j 0.000661177-0j 0.000828165-0j -0.00130457-0j 0.000842294-0j 0.000904399-0j 0.00229286-0j -0.000913506-0j 0.000498681-0j 0.00182406-0j -0.00213608-0j -0.00273346-0j 0.00174374-0j -0.00478864-0j -0.00113983-0j 0.000356884-0j 
-0.000243735-0j -5.13777e-06-0j -0.000194686-0j 0.000188917-0j -0.000169936-0j -4.16207e-06-0j 0.000465473-0j 0.000238049-0j -0.000110131-0j -3.6706e-06-0j -0.000113567-0j 1.01968e-05-0j 0.000155849-0j 0.000195503-0j -0.000143652-0j 0.000674346-0j 0.000139395-0j 0.000271526-0j -0.000654363-0j -2.48783e-06-0j 0.00020123-0j 9.4048e-06-0j 0.000129244-0j -1.23621e-06-0j 0.000167998-0j -0.000537907-0j -6.62474e-05-0j -0.000282359-0j 9.09119e-05-0j -0.000500917-0j -1.32479e-06-0j 0.000114043-0j -0.000218385-0j -1.29617e-05-0j 0.00013124-0j 2.81244e-05-0j 0.000119206-0j 7.05607e-05-0j 3.94902e-05-0j 5.32819e-05-0j 2.01662e-05-0j 3.90768e-06-0j 0.0031866-0j 6.68346e-05-0j 0.0025169-0j -0.00244231-0j 0.0021797-0j 5.3385e-05-0j -0.00305335-0j -0.00590918-0j 0.00194958-0j 4.65982e-05-0j 0.00144173-0j -0.0019785-0j -0.000127637-0j -0.00248191-0j 3.01991e-05-0j 0.00179816-0j -0.00174487-0j -0.00499521-0j 3.11412e-05-0j 0.00113725-0j 0.00484719-0j -0.00251889-0j -0.00754993-0j -0.0016178-0j 3.93909e-05-0j -0.000184912-0j 0.00070364-0j -0.00225296-0j -7.44552e-05-0j 0.0105761-0j -0.00118263-0j -0.00325781-0j -0.00209803-0j 0.000605597-0j 0.00447071-0j -0.000914677-0j -0.000587652-0j -4.60668e-05-0j 0.00560823-0j 1.81657e-05-0j 0.00456359-0j 0.000324495-0j -0.00146935-0j 0.00414513-0j -0.000629758-0j -0.000943717-0j 0.00137319-0j 3.55423e-06-0j -0.00136831-0j -0.000454557-0j -0.000843635-0j -0.000583895-0j -0.000225779-0j -0.000335034-0j -0.000106472-0j -1.8141e-05-0j 
0.00097494-0j 0.00103833-0j -0.000748878-0j 0.000786816-0j -0.00132164-0j -0.000808881-0j 0.000635843-0j 0.000490666-0j 0.000440525-0j -0.00144233-0j -0.00132796-0j 0.000703749-0j -0.000624195-0j 0.000267736-0j 0.00107437-0j -0.000378319-0j -0.0011288-0j -0.00181324-0j 0.000397485-0j -0.00146978-0j -0.000398867-0j 0.00121364-0j 0.000132522-0j -0.00195695-0j -0.00112103-0j -0.000736189-0j 0.00378695-0j -0.00117401-0j 0.00178002-0j -0.000225284-0j 0.00254293-0j -0.000763504-0j 6.11148e-05-0j -0.000456679-0j 0.00153753-0j -0.000801971-0j 0.000228539-0j -0.000472037-0j -5.23977e-05-0j -0.000127638-0j -1.1338e-05-0j 1.7758e-06-0j 0.000134087-0j 0.00014209-0j -0.000101845-0j 0.000107005-0j -0.00017833-0j -0.000109143-0j 6.62058e-05-0j 8.49147e-05-0j 8.20354e-05-0j -0.000192618-0j -0.000177345-0j -8.33592e-05-0j 9.26689e-05-0j 3.57552e-05-0j 6.42029e-05-0j 0.000141472-0j -0.000148639-0j -6.9028e-05-0j -0.000193539-0j -0.000233941-0j 7.25249e-05-0j -5.25223e-05-0j -9.0089e-05-0j 1.74504e-05-0j 0.000156581-0j -5.51369e-05-0j -0.000144634-0j -9.49819e-05-0j -0.000264264-0j 3.3446e-05-0j -0.000151468-0j 0.000266086-0j -2.90658e-05-0j 0.000191949-0j 0.000125071-0j 7.88493e-06-0j -0.000201673-0j -0.000163382-0j -5.36467e-05-0j 0.000551917-0j -9.87856e-05-0j 0.000181765-0j 0.000149778-0j -1.46835e-05-0j 0.000262061-0j -4.97634e-05-0j 3.36652e-06-0j -6.65572e-05-0j 0.000112041-0j -6.74811e-05-0j 1.35978e-05-0j -3.07663e-05-0j -2.69992e-06-0j -7.03099e-06-0j -5.50809e-07-0j 7.80335e-08-0j 
-0.00160857-0j 0.00164534-0j -0.00128486-0j 0.00129716-0j 0.0021806-0j 0.00133288-0j -0.00104909-0j -0.000715321-0j -0.000726829-0j -0.00228552-0j -0.000749504-0j 0.00111516-0j 0.0010701-0j -0.00207089-0j 0.00184332-0j -0.00064909-0j -0.00186097-0j 0.00299169-0j 0.000655302-0j 0.000796712-0j -0.000604683-0j -0.00199983-0j -0.00227704-0j -0.00310098-0j -0.000378636-0j 0.00107326-0j 0.00213737-0j 0.000662093-0j -0.00305162-0j -0.00181203-0j -0.000824888-0j 0.00590558-0j -0.00182124-0j -8.55429e-05-0j 0.000766773-0j 0.000193111-0j 0.00408344-0j -0.000747425-0j 0.00238875-0j -0.00130116-0j -0.000761033-0j -0.000198849-0j 0.0104046-0j -0.0105891-0j 0.00821796-0j -0.00829662-0j -0.0138377-0j -0.00845818-0j 0.00453929-0j 0.00658903-0j 0.00636561-0j 0.0143547-0j 0.00470743-0j -0.00672103-0j -0.00690607-0j 0.0130067-0j -0.00478467-0j -0.0114155-0j 0.0115247-0j 0.0055699-0j -0.00493394-0j -0.0181528-0j -0.00562322-0j 0.00374472-0j -0.00699053-0j 0.0141015-0j 0.0121345-0j -0.00427291-0j 0.00229747-0j -0.00651227-0j 0.0196941-0j 0.00229317-0j -0.00401742-0j -0.00706297-0j 0.010995-0j -0.0154885-0j 0.0100842-0j 0.0110508-0j 0.0156367-0j -0.00249253-0j -0.0195151-0j 0.0140701-0j 0.00231693-0j -0.00206003-0j -0.0106789-0j 0.0123388-0j 0.0041595-0j -0.0402132-0j 0.00721798-0j -0.000563123-0j -0.0139423-0j 0.000675771-0j -0.0198175-0j 0.00508948-0j -0.00819613-0j 0.00515678-0j 0.00233489-0j 0.000515433-0j 
1.43622e-05-0j 3.02746e-07-0j 1.1472e-05-0j -1.11321e-05-0j 1.00136e-05-0j 2.45252e-07-0j -2.74283e-05-0j -1.40272e-05-0j 6.48955e-06-0j 2.16292e-07-0j 6.692e-06-0j -6.00851e-07-0j -9.18348e-06-0j -1.15201e-05-0j 8.46479e-06-0j -3.97362e-05-0j -8.21396e-06-0j -1.59998e-05-0j 3.85587e-05-0j 1.46597e-07-0j -1.18576e-05-0j -5.54183e-07-0j -7.61576e-06-0j 7.28445e-08-0j -9.89939e-06-0j 3.16965e-05-0j 3.90367e-06-0j 1.66382e-05-0j -5.35703e-06-0j 2.95168e-05-0j 7.80639e-08-0j -6.72006e-06-0j 1.28684e-05-0j 7.63776e-07-0j -7.73337e-06-0j -1.65725e-06-0j -7.02426e-06-0j -4.15783e-06-0j -2.32698e-06-0j -3.13966e-06-0j -1.1883e-06-0j -2.30262e-07-0j -0.00037752-0j -7.91796e-06-0j -0.000298179-0j 0.000289343-0j -0.000258231-0j -6.32457e-06-0j 0.000361734-0j 0.000700066-0j -0.000230969-0j -5.52054e-06-0j -0.000170804-0j 0.000234395-0j 1.51213e-05-0j 0.000294034-0j -3.57772e-06-0j -0.000213029-0j 0.000206717-0j 0.000591787-0j -3.68933e-06-0j -0.000134732-0j -0.000574251-0j 0.000298415-0j 0.000894448-0j 0.000191662-0j -4.66668e-06-0j 2.19068e-05-0j -8.3361e-05-0j 0.00026691-0j 8.82078e-06-0j -0.00125296-0j 0.000140107-0j 0.000385956-0j 0.000248556-0j -7.17457e-05-0j -0.00052965-0j 0.000108363-0j 6.96197e-05-0j 5.45758e-06-0j -0.000664413-0j -2.15211e-06-0j -0.000540653-0j -3.84432e-05-0j 0.000174075-0j -0.000491077-0j 7.46081e-05-0j 0.000111803-0j -0.000162683-0j -4.21073e-07-0j 0.000162105-0j 5.38518e-05-0j 9.99463e-05-0j 6.91746e-05-0j 2.67483e-05-0j 3.96918e-05-0j 1.26138e-05-0j 2.14918e-06-0j 
0.00220308-0j -0.00915308-0j 0.00175974-0j 0.0185159-0j 0.00153603-0j -0.00741484-0j 0.00143682-0j -0.0139284-0j 0.000995459-0j -0.00653928-0j 0.00102651-0j -0.0062037-0j 0.0152749-0j -0.0112283-0j 0.00129845-0j 0.000888988-0j 0.0136623-0j 0.000838146-0j 0.00935391-0j -0.00443214-0j -0.0117741-0j -0.00572187-0j 0.0146397-0j -0.00220235-0j 0.000518576-0j -0.0107482-0j 0.0005988-0j 0.00945085-0j 0.00891034-0j -0.00982475-0j -0.00236015-0j -0.00654984-0j 0.0193128-0j 0.000117159-0j -0.00767891-0j 0.0027565-0j 0.0135026-0j -0.0040525-0j -0.000645026-0j 0.0137977-0j -0.0263999-0j -0.040386-0j 0.000302999-0j -0.00125255-0j 0.00023932-0j 0.00251812-0j 0.000207257-0j -0.00100049-0j -0.00187937-0j 0.000191883-0j 0.000185376-0j -0.000873299-0j 0.000137088-0j 0.00203991-0j -0.000816896-0j -0.0014995-0j -0.000565962-0j 0.000170978-0j 0.00179903-0j 0.000162204-0j -0.000583619-0j 0.000108136-0j 0.00170671-0j -0.0015504-0j 0.000104702-0j 0.00192774-0j -0.000738226-0j -0.000505429-0j 6.69059e-05-0j -0.00138672-0j -0.000476523-0j -0.000949422-0j 0.00121933-0j 0.000105787-0j -0.00126757-0j 5.75834e-05-0j 0.00157415-0j 0.00249171-0j 0.000605891-0j -0.000294833-0j -0.00115713-0j -0.000340444-0j -0.00095926-0j 3.08547e-05-0j -0.000904399-0j 0.00168677-0j 0.000649305-0j 0.00112451-0j -8.05776e-05-0j -6.661e-05-0j -0.000826694-0j -0.000279784-0j 0.00229818-0j 0.000695757-0j -0.00310931-0j -5.75674e-05-0j -0.00494644-0j -0.00386536-0j 
-0.000199009-0j -0.000211948-0j 0.000152864-0j -0.000160608-0j 0.000269779-0j 0.000165112-0j -0.000129791-0j -0.000100157-0j -8.99218e-05-0j 0.000294414-0j 0.000271069-0j -0.000143652-0j 0.000127413-0j -5.46514e-05-0j -0.000219306-0j 7.72241e-05-0j 0.000230416-0j 0.000370126-0j -8.11362e-05-0j 0.000300018-0j 8.14184e-05-0j -0.000247732-0j -2.7051e-05-0j 0.00039946-0j 0.00022883-0j 0.000150274-0j -0.000773008-0j 0.000239643-0j -0.000363345-0j 4.59859e-05-0j -0.000519073-0j 0.00015585-0j -1.2475e-05-0j 9.32192e-05-0j -0.000313848-0j 0.000163702-0j -4.66503e-05-0j 9.63541e-05-0j 1.06956e-05-0j 2.60541e-05-0j 2.31437e-06-0j -3.62483e-07-0j 0.00260185-0j 0.00275712-0j -0.00197622-0j 0.00207633-0j -0.00346033-0j -0.00211782-0j 0.00128467-0j 0.00164769-0j 0.00159182-0j -0.00373759-0j -0.00344121-0j -0.00161751-0j 0.00179816-0j 0.000693799-0j 0.0012458-0j 0.00274515-0j -0.00288421-0j -0.00133943-0j -0.00375545-0j -0.00453942-0j 0.00140728-0j -0.00101915-0j -0.0017481-0j 0.00033861-0j 0.00303832-0j -0.00106988-0j -0.0028065-0j -0.00184304-0j -0.00512782-0j 0.000648989-0j -0.00293911-0j 0.00516316-0j -0.000563995-0j 0.0037246-0j 0.00242689-0j 0.000153-0j -0.00391328-0j -0.00317027-0j -0.00104097-0j 0.0107095-0j -0.00191685-0j 0.00352699-0j 0.00290631-0j -0.00028492-0j 0.00508506-0j -0.000965615-0j 6.53243e-05-0j -0.00129148-0j 0.00217406-0j -0.00130941-0j 0.000263853-0j -0.000596992-0j -5.23895e-05-0j -0.00013643-0j -1.06879e-05-0j 1.51417e-06-0j 
-0.000985044-0j 0.00100756-0j -0.000786816-0j 0.000794346-0j 0.00133534-0j 0.000816216-0j -0.000642432-0j -0.000438043-0j -0.00044509-0j -0.00139959-0j -0.000458976-0j 0.000682896-0j 0.000655302-0j -0.00126816-0j 0.0011288-0j -0.000397485-0j -0.00113961-0j 0.00183203-0j 0.000401289-0j 0.000487884-0j -0.000370291-0j -0.00122464-0j -0.0013944-0j -0.00189896-0j -0.000231866-0j 0.000657234-0j 0.00130886-0j 0.000405448-0j -0.00186873-0j -0.00110964-0j -0.000505139-0j 0.00361642-0j -0.00111528-0j -5.23841e-05-0j 0.000469551-0j 0.000118256-0j 0.00250059-0j -0.000457703-0j 0.0014628-0j -0.000796792-0j -0.000466036-0j -0.00012177-0j -0.000135477-0j 0.000137879-0j -0.000107005-0j 0.000108029-0j 0.000180178-0j 0.000110133-0j -5.91054e-05-0j -8.57947e-05-0j -8.28855e-05-0j -0.000186911-0j -6.12947e-05-0j 8.75135e-05-0j 8.99229e-05-0j -0.000169358-0j 6.23004e-05-0j 0.000148639-0j -0.000150062-0j -7.25249e-05-0j 6.4244e-05-0j 0.000236365-0j 7.3219e-05-0j -4.87595e-05-0j 9.10226e-05-0j -0.000183613-0j -0.000158001-0j 5.56369e-05-0j -2.9915e-05-0j 8.47953e-05-0j -0.000256434-0j -2.9859e-05-0j 5.23102e-05-0j 9.19658e-05-0j -0.000143164-0j 0.000201673-0j -0.000131304-0j -0.000143891-0j -0.000203603-0j 3.24549e-05-0j 0.000254103-0j -0.000183205-0j -3.01684e-05-0j 2.68234e-05-0j 0.000139048-0j -0.000160661-0j -5.41602e-05-0j 0.00052361-0j -9.39842e-05-0j 7.33234e-06-0j 0.00018154-0j -8.79911e-06-0j 0.000258041-0j -6.62694e-05-0j 0.00010672-0j -6.71456e-05-0j -3.04022e-05-0j -6.71137e-06-0j 
-0.00139306-0j -2.93648e-05-0j 0.00325282-0j 0.00107975-0j -0.000971266-0j 6.95399e-05-0j -0.000908536-0j 0.00136056-0j -0.000629452-0j -2.09792e-05-0j -0.000551422-0j -1.99026e-05-0j -0.00260393-0j 0.00111739-0j 0.00240014-0j 0.00164327-0j 0.000796712-0j -0.00052998-0j 0.000545471-0j -1.20796e-05-0j -0.00336216-0j 5.36624e-05-0j 0.00073869-0j -7.06554e-06-0j -0.00403933-0j 0.00104992-0j -0.000321663-0j 0.000468197-0j -0.00151896-0j -0.00285816-0j -9.3273e-05-0j 0.000651812-0j 0.000426255-0j -0.00432231-0j 0.00063723-0j 0.0050608-0j -0.00199169-0j 0.00496789-0j 0.000225705-0j 0.000258709-0j -0.000336937-0j 2.23342e-05-0j 0.00901067-0j 0.000188987-0j -0.020805-0j -0.00690607-0j 0.00616347-0j -0.000441287-0j -0.00863389-0j 0.00570627-0j 0.00551278-0j 0.000131765-0j 0.00346333-0j 0.0163545-0j 0.000123255-0j -0.00701802-0j 8.53932e-05-0j -0.0148638-0j -0.00493394-0j -0.014101-0j 7.48074e-05-0j 0.00321579-0j -0.00468074-0j 0.0208214-0j 0.00311367-0j -0.00457462-0j -0.00032561-0j -0.00022293-0j 0.0245097-0j -0.00637064-0j 7.18985e-05-0j -0.00436168-0j -0.0028409-0j 0.00267257-0j 0.0173426-0j -0.00500594-0j 0.0126204-0j -0.00258641-0j -0.00166169-0j 0.000547986-0j -0.00541565-0j 4.36376e-05-0j -0.00374378-0j 0.0288882-0j 0.0121458-0j 0.0117013-0j -0.0219361-0j -0.00266853-0j -0.00132604-0j 0.000586377-0j -0.00328694-0j -0.040467-0j 0.0069736-0j -0.0203386-0j -0.00063843-0j -0.000804817-0j 0.00088011-0j -5.12968e-05-0j 
-0.000853073-0j -1.79822e-05-0j 0.00199194-0j 0.000661211-0j -0.000594777-0j 4.25843e-05-0j -0.000556363-0j 0.000833172-0j -0.000385459-0j -1.28471e-05-0j -0.000337675-0j -1.21878e-05-0j -0.00159457-0j 0.00068426-0j 0.00146978-0j 0.00100629-0j 0.000487884-0j -0.000324545-0j 0.000334031-0j -7.3972e-06-0j -0.00205889-0j 3.28614e-05-0j 0.000452353-0j -4.32674e-06-0j -0.00247357-0j 0.00064294-0j -0.000196977-0j 0.000286711-0j -0.000930167-0j -0.00175026-0j -5.71178e-05-0j 0.000399151-0j 0.000261027-0j -0.00264687-0j 0.000390222-0j 0.0030991-0j -0.00121966-0j 0.0030422-0j 0.000138216-0j 0.000158426-0j -0.000206331-0j 1.36769e-05-0j -0.000117327-0j -2.46077e-06-0j 0.000270898-0j 8.99229e-05-0j -8.02536e-05-0j 5.74593e-06-0j 0.00011242-0j -7.43004e-05-0j -7.1781e-05-0j -1.71569e-06-0j -4.50954e-05-0j -0.00021295-0j -1.60488e-06-0j 9.13806e-05-0j -1.11189e-06-0j 0.000193539-0j 6.4244e-05-0j 0.000183607-0j -9.74055e-07-0j -4.18722e-05-0j 6.09472e-05-0j -0.000271113-0j -4.05426e-05-0j 5.95653e-05-0j 4.23972e-06-0j 2.90274e-06-0j -0.000319136-0j 8.29511e-05-0j -9.36179e-07-0j 5.67927e-05-0j 3.69909e-05-0j -3.47991e-05-0j -0.000225815-0j 6.51816e-05-0j -0.000164329-0j 3.36772e-05-0j 2.16366e-05-0j -7.13524e-06-0j 7.05163e-05-0j -5.68199e-07-0j 4.87472e-05-0j -0.000376149-0j -0.000158149-0j -0.000152361-0j 0.000285627-0j 3.47465e-05-0j 1.72661e-05-0j -7.63512e-06-0j 4.27988e-05-0j 0.000526915-0j -9.08021e-05-0j 0.000264826-0j 8.3129e-06-0j 1.04794e-05-0j -1.14598e-05-0j 6.67927e-07-0j 
0.00114922-0j -0.0023752-0j -0.000882745-0j 0.000819503-0j 0.000801254-0j 0.00185033-0j 0.000749504-0j 0.0022105-0j 0.000519272-0j -0.00169692-0j -0.00156534-0j -0.00160984-0j -0.000650127-0j 0.00038616-0j -0.000651347-0j -0.000445947-0j 0.000604683-0j 0.000437211-0j 0.000413998-0j 0.00336216-0j -0.00179694-0j 0.00142786-0j -0.00196235-0j -0.000571503-0j -0.00132143-0j 0.00170579-0j -0.000913116-0j -0.00122278-0j -0.000379241-0j -0.000324931-0j 0.00299179-0j 0.00022526-0j -0.00311109-0j -0.000538314-0j -0.00356256-0j -0.000835289-0j 0.00174052-0j -0.000680827-0j -0.00305906-0j 0.00649752-0j 0.00237293-0j -0.000935837-0j -0.00743343-0j 0.0152864-0j 0.00564602-0j -0.00524152-0j -0.0050846-0j -0.0117419-0j -0.0140274-0j -0.00470743-0j -0.00454781-0j 0.0106579-0j 0.00983148-0j 0.00408327-0j 0.00996955-0j -0.00242537-0j 0.00690711-0j 0.00403371-0j -0.00374472-0j 0.00382671-0j -0.0208214-0j -0.00265289-0j -0.00355256-0j 0.0111282-0j -0.00256865-0j 0.0121526-0j -0.00866391-0j -0.00593177-0j 0.0080181-0j -0.0103503-0j 0.00581557-0j -0.0070864-0j 0.00741953-0j 0.00758673-0j 0.0019716-0j 0.0013585-0j 0.00315097-0j 0.0188773-0j -0.00126118-0j -0.017577-0j -0.0018716-0j -0.0121458-0j 0.0209303-0j 0.00518254-0j 0.00649146-0j -0.0102257-0j 0.00660221-0j 0.00708901-0j 0.0179722-0j -0.00716039-0j 0.00390884-0j 0.0142976-0j -0.0167434-0j -0.0214258-0j 0.0136681-0j -0.0375351-0j -0.00893441-0j 0.00279739-0j 
1.17267e-05-0j 1.24891e-05-0j -9.00761e-06-0j 9.46392e-06-0j -1.58969e-05-0j -9.72933e-06-0j 7.648e-06-0j 5.90179e-06-0j 5.29869e-06-0j -1.73485e-05-0j -1.59729e-05-0j 8.46479e-06-0j -7.5079e-06-0j 3.22036e-06-0j 1.29227e-05-0j -4.55048e-06-0j -1.35774e-05-0j -2.18099e-05-0j 4.781e-06-0j -1.76787e-05-0j -4.79762e-06-0j 1.45978e-05-0j 1.594e-06-0j -2.35384e-05-0j -1.3484e-05-0j -8.85498e-06-0j 4.55499e-05-0j -1.41211e-05-0j 2.14103e-05-0j -2.70975e-06-0j 3.05866e-05-0j -9.18353e-06-0j 7.35097e-07-0j -5.493e-06-0j 1.84936e-05-0j -9.64622e-06-0j 2.74889e-06-0j -5.67772e-06-0j -6.30246e-07-0j -1.53525e-06-0j -1.36375e-07-0j 2.13595e-08-0j -0.000308244-0j -0.000326639-0j 0.000234125-0j -0.000245985-0j 0.000409949-0j 0.0002509-0j -0.000152196-0j -0.000195204-0j -0.000188585-0j 0.000442796-0j 0.000407684-0j 0.000191628-0j -0.000213029-0j -8.2195e-05-0j -0.000147591-0j -0.00032522-0j 0.000341695-0j 0.000158683-0j 0.000444912-0j 0.000537789-0j -0.000166722-0j 0.00012074-0j 0.000207099-0j -4.01154e-05-0j -0.000359953-0j 0.00012675-0j 0.000332488-0j 0.000218347-0j 0.000607498-0j -7.68864e-05-0j 0.000348199-0j -0.000611684-0j 6.68171e-05-0j -0.000441257-0j -0.000287517-0j -1.81261e-05-0j 0.000463611-0j 0.000375586-0j 0.000123324-0j -0.00126876-0j 0.000227091-0j -0.000417846-0j -0.000344314-0j 3.37548e-05-0j -0.000602433-0j 0.000114397-0j -7.73904e-06-0j 0.000153003-0j -0.000257563-0j 0.000155127-0j -3.12589e-05-0j 7.07262e-05-0j 6.20664e-06-0j 1.6163e-05-0j 1.26621e-06-0j -1.79385e-07-0j 
