-0.0508361-0j -0.00517216-0j -0.00522576-0j -0.00297678-0j -0.000429662-0j -0.00368358-0j -0.000531679-0j -0.00214876-0j -0.000310146-0j -0.0020983-0j -0.000370931-0j -0.00244802-0j -3.09109e-05-0j -0.0014991-0j -0.000432752-0j -0.00214202-0j -0.000265006-0j -3.60627e-05-0j -0.000883536-0j -2.20838e-05-0j -0.000378658-0j -0.000156189-0j -3.15549e-05-0j -1.30157e-05-0j -0.00162024-0j -0.00027004-0j -0.00183025-0j -0.000165365-0j -3.3755e-05-0j -0.0014944-0j -1.98903e-06-0j -0.000305042-0j -0.00150988-0j -0.0001868-0j -0.0013076-0j -0.000249066-0j -3.81303e-05-0j -0.00107871-0j -0.000152521-0j -0.000251647-0j -2.24685e-06-0j -0.000344654-0j -3.11333e-05-0j -0.000217933-0j -0.000154102-0j -0.000133456-0j -3.14559e-05-0j -0.000179785-0j -1.83454e-06-0j -2.72416e-05-0j -0.000110096-0j -5.74423e-05-0j -1.85356e-06-0j -3.51761e-05-0j -1.60523e-06-0j -2.24732e-05-0j -7.18029e-06-0j -1.32424e-06-0j -4.23102e-07-0j 
7.20616e-05-0j -0.000698725-0j -0.000705966-0j 4.21968e-06-0j 0.00270753-0j 5.22158e-06-0j 0.0033504-0j 3.04592e-06-0j 0.0019544-0j -0.000861765-0j -5.01103e-05-0j -0.00100539-0j 0.00059693-0j -0.000615675-0j -5.8462e-05-0j -0.000879718-0j -3.58005e-05-0j 0.000696418-0j -0.000362865-0j 0.000426467-0j -5.11543e-05-0j -2.11001e-05-0j 0.000609366-0j 0.000251351-0j 2.29673e-06-0j 0.0105694-0j 2.59444e-06-0j 2.3441e-07-0j 0.000212708-0j 2.11835e-06-0j 7.73618e-05-0j 0.0119394-0j 2.1403e-06-0j 2.64794e-07-0j 1.85356e-06-0j 0.0097485-0j 0.00024028-0j 1.52911e-06-0j 2.16203e-07-0j 0.00984953-0j 8.73895e-05-0j 4.88557e-07-0j 0.000196187-0j 0.00852994-0j 2.18444e-07-0j 1.89178e-07-0j 0.000198221-0j 0.00703684-0j 7.13532e-05-0j 0.000171664-0j 1.56064e-07-0j 0.00224831-0j 7.20926e-05-0j 4.98631e-08-0j 6.24341e-05-0j 0.000141616-0j 4.52469e-05-0j 5.15055e-05-0j 1.64562e-05-0j 
-6.36941e-06-0j 0.000124166-0j 0.000125453-0j -3.7297e-07-0j -0.00147709-0j -4.61527e-07-0j -0.0018278-0j -2.69224e-07-0j -0.00106622-0j -2.62902e-07-0j 8.90481e-06-0j -3.0672e-07-0j 0.0100558-0j -1.87827e-07-0j 1.03889e-05-0j -2.6838e-07-0j 6.3619e-06-0j 0.0117318-0j -1.10701e-07-0j 0.00718424-0j 9.09032e-06-0j 3.74957e-06-0j 0.0102653-0j 0.00423424-0j 3.92668e-05-0j 6.48275e-06-0j 4.43565e-05-0j -2.07191e-08-0j -0.000116043-0j 3.6217e-05-0j -0.0295221-0j 7.32305e-06-0j 3.65923e-05-0j -2.34047e-08-0j 3.16898e-05-0j 5.97924e-06-0j -0.000131084-0j 2.61428e-05-0j -1.91098e-08-0j 6.04121e-06-0j -0.0333487-0j 8.35275e-06-0j -0.00010703-0j 5.23184e-06-0j -1.93079e-08-0j -1.67211e-08-0j -0.000108139-0j 4.31605e-06-0j -0.0272291-0j -9.36511e-05-0j -1.37942e-08-0j 1.379e-06-0j -0.0275113-0j -4.40732e-09-0j -0.0238255-0j -7.72582e-05-0j -2.46844e-05-0j -0.019655-0j -0.00627988-0j 
8.82571e-05-0j -0.00042339-0j -0.000427778-0j -0.000993347-0j -7.10896e-05-0j -0.0012292-0j -8.79689e-05-0j -0.000717036-0j -5.13152e-05-0j -0.0005259-0j 0.0058363-0j -0.00061355-0j -7.69837e-06-0j -0.000375721-0j 0.00680902-0j -0.000536856-0j 0.00416966-0j -8.98144e-06-0j -0.000221442-0j -5.49998e-06-0j 0.00595789-0j 0.00245751-0j -7.85876e-06-0j -3.24157e-06-0j 2.81291e-06-0j 0.0031912-0j 3.17752e-06-0j 0.00524794-0j 0.00107348-0j 2.59444e-06-0j -6.61643e-07-0j 0.00360484-0j 2.62132e-06-0j 0.00592818-0j 2.27013e-06-0j 0.00294334-0j 0.00121262-0j 1.87276e-06-0j 0.00484034-0j 0.00297385-0j -7.47406e-07-0j 5.98357e-07-0j 0.000990104-0j 0.00257543-0j 0.0048905-0j 0.0042353-0j 0.00100036-0j 0.00212462-0j -6.10254e-07-0j 0.000866341-0j 0.00349394-0j 0.000678826-0j -6.16578e-07-0j 0.00111633-0j -5.33972e-07-0j 0.000714695-0j 0.000228348-0j -4.40505e-07-0j -1.40743e-07-0j 
2.20643e-05-0j 2.24486e-06-0j 2.26813e-06-0j -0.000497966-0j 1.86485e-07-0j -0.000616201-0j 2.30763e-07-0j -0.000359451-0j 1.34612e-07-0j 9.10721e-07-0j -6.20504e-05-0j 1.06251e-06-0j 1.34162e-08-0j 6.5065e-07-0j -7.23922e-05-0j 9.29694e-07-0j -4.4331e-05-0j 1.56522e-08-0j 3.83479e-07-0j 9.58499e-09-0j -6.33432e-05-0j -2.61277e-05-0j 1.36957e-08-0j 5.64918e-09-0j 7.03229e-07-0j 1.17205e-07-0j 7.94381e-07-0j 0.00798249-0j -5.64664e-06-0j 6.4861e-07-0j 8.63295e-10-0j 1.32397e-07-0j 6.55331e-07-0j 0.00901719-0j 5.67533e-07-0j 1.08102e-07-0j -6.37856e-06-0j 4.68191e-07-0j 0.0073625-0j 1.09222e-07-0j 9.75195e-10-0j 1.49589e-07-0j -5.20807e-06-0j 9.45889e-08-0j 0.0074388-0j 0.00644219-0j -5.26204e-06-0j 7.80319e-08-0j 7.96243e-10-0j -4.55706e-06-0j 0.00531453-0j 2.49316e-08-0j 8.04495e-10-0j 0.00169802-0j 6.96713e-10-0j -3.75938e-06-0j -1.20114e-06-0j 5.74759e-10-0j 1.83638e-10-0j 
-1.04012e-05-0j 0.000151808-0j 0.000153381-0j 5.8229e-05-0j -0.00119762-0j 7.20547e-05-0j -0.00148197-0j 4.20319e-05-0j -0.000864485-0j 6.19779e-05-0j -0.00104087-0j 7.23075e-05-0j 0.00397513-0j 4.42791e-05-0j -0.00121434-0j 6.32691e-05-0j -0.000743631-0j 0.00463766-0j 2.60972e-05-0j 0.00283997-0j -0.00106255-0j -0.00043828-0j 0.00405795-0j 0.00167382-0j -3.31505e-07-0j -0.00114421-0j -3.74475e-07-0j 6.50326e-06-0j 0.00899518-0j -3.05757e-07-0j 0.00105665-0j -0.00129253-0j -3.08926e-07-0j 7.34621e-06-0j -2.67538e-07-0j -0.00105534-0j 0.0101611-0j -2.20707e-07-0j 5.99816e-06-0j -0.00106628-0j 0.00119362-0j -7.05171e-08-0j 0.00829654-0j -0.000923425-0j 6.06032e-06-0j 5.24839e-06-0j 0.00838251-0j -0.000761786-0j 0.000974585-0j 0.00725947-0j 4.3297e-06-0j -0.000243394-0j 0.000984685-0j 1.38336e-06-0j 0.000852762-0j 0.00598876-0j 0.00191344-0j 0.000703493-0j 0.000224769-0j 
-6.36941e-06-0j 6.17592e-05-0j 6.23992e-05-0j 0.000107719-0j -0.000239314-0j 0.000133296-0j -0.000296136-0j 7.7756e-05-0j -0.000172746-0j -2.62902e-07-0j -0.00127921-0j -3.0672e-07-0j -5.27617e-05-0j -1.87827e-07-0j -0.00149241-0j -2.6838e-07-0j -0.000913912-0j -6.15553e-05-0j -1.10701e-07-0j -3.76947e-05-0j -0.00130586-0j -0.00053864-0j -5.38609e-05-0j -2.22165e-05-0j -2.03005e-07-0j 3.22446e-06-0j -2.29318e-07-0j -0.00114818-0j 0.00543-0j -1.87237e-07-0j -6.83788e-06-0j 3.64241e-06-0j -1.89178e-07-0j -0.00129701-0j -1.63833e-07-0j 2.97402e-06-0j 0.00613383-0j -1.35155e-07-0j -0.001059-0j 3.00484e-06-0j -7.72421e-06-0j -4.31827e-08-0j 0.00500825-0j 2.60227e-06-0j -0.00106998-0j -0.000926628-0j 0.00506015-0j 2.14676e-06-0j -6.30679e-06-0j 0.00438222-0j -0.000764429-0j 6.859e-07-0j -6.37215e-06-0j -0.000244239-0j -5.51844e-06-0j 0.00361515-0j 0.00115506-0j -4.55248e-06-0j -1.45454e-06-0j 
4.74748e-07-0j -1.15806e-05-0j -1.17006e-05-0j 2.77996e-08-0j 0.000184134-0j 3.44002e-08-0j 0.000227854-0j 2.00668e-08-0j 0.000132915-0j -2.82889e-06-0j -8.30522e-07-0j -3.30037e-06-0j -0.00189367-0j -2.02106e-06-0j -9.68943e-07-0j -2.88783e-06-0j -5.93354e-07-0j -0.00220928-0j -1.19117e-06-0j -0.0013529-0j -8.47825e-07-0j -3.4971e-07-0j -0.00193312-0j -0.000797371-0j 1.51311e-08-0j 8.72859e-05-0j 1.70924e-08-0j 1.54431e-09-0j 1.44659e-05-0j 1.39559e-08-0j 0.0114896-0j 9.85999e-05-0j 1.41005e-08-0j 1.74448e-09-0j 1.22114e-08-0j 8.05065e-05-0j 1.6341e-05-0j 1.00739e-08-0j 1.42436e-09-0j 8.13408e-05-0j 0.0129789-0j 3.21865e-09-0j 1.33424e-05-0j 7.04432e-05-0j 1.43912e-09-0j 1.24632e-09-0j 1.34806e-05-0j 5.81126e-05-0j 0.0105973-0j 1.16746e-05-0j 1.02816e-09-0j 1.85673e-05-0j 0.0107071-0j 3.28502e-10-0j 0.00927259-0j 9.63102e-06-0j 3.07716e-06-0j 0.0076495-0j 0.00244405-0j 
6.50075e-07-0j -1.26727e-05-0j -1.2804e-05-0j -7.31669e-06-0j 0.000150755-0j -9.05394e-06-0j 0.00018655-0j -5.28147e-06-0j 0.000108821-0j 2.68324e-08-0j 0.000174689-0j 3.13044e-08-0j -0.00102632-0j 1.917e-08-0j 0.000203804-0j 2.73914e-08-0j 0.000124804-0j -0.00119737-0j 1.12984e-08-0j -0.000733239-0j 0.000178328-0j 7.35566e-05-0j -0.0010477-0j -0.000432155-0j 2.07191e-08-0j -6.61643e-07-0j 2.34047e-08-0j 3.86548e-05-0j -0.00227645-0j 1.91098e-08-0j 0.00301308-0j -7.47406e-07-0j 1.93079e-08-0j 4.36652e-05-0j 1.67211e-08-0j -6.10254e-07-0j -0.00257153-0j 1.37942e-08-0j 3.56525e-05-0j -6.16578e-07-0j 0.00340364-0j 4.40732e-09-0j -0.00209964-0j -5.33972e-07-0j 3.60219e-05-0j 3.11959e-05-0j -0.0021214-0j -4.40505e-07-0j 0.00277906-0j -0.00183719-0j 2.57353e-05-0j -1.40743e-07-0j 0.00280786-0j 8.22256e-06-0j 0.00243168-0j -0.0015156-0j -0.000484242-0j 0.00200603-0j 0.000640937-0j 
-3.4262e-08-0j 1.00361e-06-0j 1.01401e-06-0j 1.91809e-07-0j -1.99748e-05-0j 2.37351e-07-0j -2.47176e-05-0j 1.38455e-07-0j -1.44186e-05-0j -1.41419e-09-0j -6.88121e-06-0j -1.64989e-09-0j 0.000274764-0j -1.01035e-09-0j -8.02808e-06-0j -1.44365e-09-0j -4.91617e-06-0j 0.000320558-0j -5.95476e-10-0j 0.000196301-0j -7.02457e-06-0j -2.89749e-06-0j 0.000280489-0j 0.000115696-0j -1.09199e-09-0j 5.23985e-08-0j -1.23353e-09-0j 2.1422e-08-0j 0.000150029-0j -1.00718e-09-0j -0.00252294-0j 5.91904e-08-0j -1.01761e-09-0j 2.41987e-08-0j -8.8128e-10-0j 4.83288e-08-0j 0.000169476-0j -7.27019e-10-0j 1.97582e-08-0j 4.88296e-08-0j -0.00284996-0j -2.32286e-10-0j 0.000138376-0j 4.22877e-08-0j 1.99629e-08-0j 1.72884e-08-0j 0.00013981-0j 3.48855e-08-0j -0.00232699-0j 0.000121079-0j 1.42622e-08-0j 1.11461e-08-0j -0.0023511-0j 4.55684e-09-0j -0.00203611-0j 9.98853e-05-0j 3.19138e-05-0j -0.00167971-0j -0.000536675-0j 
9.34571e-10-0j -3.65325e-08-0j -3.69111e-08-0j 5.47252e-11-0j 1.01949e-06-0j 6.7719e-11-0j 1.26156e-06-0j 3.95028e-11-0j 7.3591e-07-0j 3.85752e-11-0j -2.61999e-09-0j 4.50044e-11-0j -2.10954e-05-0j 2.75595e-11-0j -3.05666e-09-0j 3.93788e-11-0j -1.87181e-09-0j -2.46113e-05-0j 1.62429e-11-0j -1.50713e-05-0j -2.67457e-09-0j -1.10321e-09-0j -2.15349e-05-0j -8.8827e-06-0j 2.97865e-11-0j -1.90737e-09-0j 3.36474e-11-0j 3.04007e-12-0j 8.00933e-08-0j 2.7473e-11-0j 0.00032477-0j -2.1546e-09-0j 2.77577e-11-0j 3.43413e-12-0j 2.40389e-11-0j -1.75923e-09-0j 9.0475e-08-0j 1.98311e-11-0j 2.80395e-12-0j -1.77746e-09-0j 0.000366866-0j 6.33612e-12-0j 7.38725e-08-0j -1.53932e-09-0j 2.83301e-12-0j 2.45346e-12-0j 7.46381e-08-0j -1.26988e-09-0j 0.000299545-0j 6.46385e-08-0j 2.024e-12-0j -4.05732e-10-0j 0.000302649-0j 6.46678e-13-0j 0.000262102-0j 5.3324e-08-0j 1.70373e-08-0j 0.000216223-0j 6.90843e-05-0j 
