0.115222+0.193019j 0.0766969-0.481475j 0.403788-0.169506j -0.402304-0.190437j 0.0114386+0.289689j 0.0524311+0.00733019j 0.0266363-0.0490138j -0.0120352-0.016605j 0.0284266+0.0307641j -0.00319573-0.0424667j 0.0447022-0.00324417j -0.0191618+0.056553j 0.0186893+0.0120327j -0.00094408+0.032845j -0.0183493-0.00489327j 0.0245771-0.00400739j -0.0217779+0.0226593j -0.0559571+0.00301617j 0.0162577+0.0280996j -0.0145573-0.088863j -0.0725087-0.0697976j -0.0163164+0.0237429j 0.00750584-0.0302975j -0.0175465-0.0184707j -0.0138097+0.015613j -0.0137029+0.0147055j -0.00168219+0.00597698j -0.0230964-0.0201193j 0.0159721+0.00335148j 0.0108966+0.00168296j 0.0323442+0.0327944j 0.0152485+0.0284496j 0.00466723+0.0223662j -0.0352519+0.0173208j -0.0052725+0.0130926j -0.00747894-0.00995631j 0.0351809+0.00616407j -0.0179168+0.0178651j 0.0302104-0.00913173j 0.00970456-0.0040649j -0.0216878-0.0234411j -0.00893442+0.00640962j 0.00953984-0.038597j 0.041859+0.00481682j 0.00441613-0.0219701j 0.00625008-0.0236473j 0.0243051+0.0274866j -0.0197684+0.0147773j 0.00204213+0.0180252j 0.0059926+0.0222836j 0.0323702+0.0107545j -0.0213339-0.026528j 0.0369202-0.0215319j 0.0142496+0.0205808j 0.0118542-0.0200751j 0.0305303-0.0197948j -0.0151878+0.0191822j -0.00226712-0.0559608j 0.019575+0.0362397j 0.0144268+0.0102448j -0.0247757-0.0086356j 0.00400172+0.00329703j 0.0138982+0.00512675j 0.00552622+0.00315543j -0.014985-0.00237336j 0.00302423-0.00168235j 0.0128602-0.000732146j 0.0129702-0.0134893j 0.0133395+0.00598321j -0.00491843-0.0083227j 0.0190815+0.0127065j 0.00547088-0.000419296j -0.0023696-0.00190331j -0.00058329-0.000884762j 0.00724428-0.0161092j 0.0379305+0.0194295j -0.0110011+0.00998428j -0.000162534-0.00520777j -0.00250651+0.00221843j 0.00300879-0.0217556j -0.00454661+0.00391222j 0.0263578+0.0355059j 0.0057194+0.00291128j 0.00727338+0.019258j -0.000150545+0.00694985j -0.013232+0.00350316j 0.00588437+0.00146759j 0.0116119+0.00620482j -0.00475883+0.00358535j 0.0212048+0.00772572j -0.00484918-0.0190178j 0.0136154+0.00609356j 
-0.153654-0.0465446j -0.0519853+0.0831581j 0.0525981-0.0187929j 0.0435371-0.0415976j -0.0156608+0.04818j 0.00718625+0.00475549j 0.0169069-0.0609687j 0.0417729+0.00705943j -0.0135513+0.0126781j -0.0460942+0.0579033j -0.00191024-0.0395352j 0.0271177-0.0754855j -0.0935831-0.0659729j 0.00189349-0.0849415j 0.0358679-0.0126072j -0.0399051+0.0840393j -0.0428954-0.101066j 0.0103344+0.0721129j -0.0162679+0.0151502j 0.0728837-0.0944067j 0.00669089+0.00373434j 0.0642907+0.110294j -0.0749779+0.00957506j -0.036113-0.0280879j 0.0146232+0.00244015j 0.00351856-0.00530836j -0.0800218+0.0173059j -0.0264411+0.0385633j 0.0361163-0.0286442j 0.0210704+0.0174527j 0.0359487-0.014199j 0.0278569+0.0103876j 0.062446-0.00212466j 0.0034898-0.0264344j -0.0347259+0.047395j 0.0266834-0.0438189j 0.0138979+0.0124899j 0.0929149+0.0157043j -0.0329216-0.0288287j 0.0910253+0.00489587j -0.0228923-0.0560707j -0.00583276-0.0047764j 0.00240874-0.0272093j -0.0356864+0.0637491j 0.00310171-0.0876971j -0.0150584+0.039328j -0.0915517-0.0040392j -0.00784699+0.0486739j -0.0237849+0.120041j 0.00911575-0.0530439j -0.0245319-0.112427j 0.0311017+0.00563652j 0.071622+0.00311053j 0.0566395-0.0684816j -0.155935-0.031289j 0.0954122-0.0333057j -0.0437947-0.00289599j 0.0182787+0.0214225j 0.073542+0.130793j -0.0485612-0.00931837j 0.0319373+0.030186j -0.00708019+0.00361618j -0.010507+0.0206913j 0.0124968+0.0149994j 0.0113491-0.0108548j 0.0644265-0.0353935j -0.0227723+0.0284304j 0.013048-0.0253975j 0.106102-0.0452356j 0.00628993-0.037742j 0.0664616+0.0492397j 0.0109535+0.0163816j -0.00328257+0.0159974j 0.033945+0.0266859j -0.0205266-0.0896325j 0.0073782+0.0585762j -0.0572641+0.0393286j 0.0575756+0.0368148j 0.00549397-0.0514858j -0.0720493-0.127357j -0.0146816-0.0355729j 0.0511799-0.0291184j 0.0251919+0.0605032j 0.0114735+0.0446955j -0.00634599+0.0580591j -0.0915945+0.0746215j -0.0077242+0.0353274j -0.00106749-0.0259886j -0.0520599+0.0304184j 0.0471208-0.0685681j 0.0327674-0.0963505j 0.0356452-0.0211481j 
-0.0504064+0.00220621j -0.0157037-0.0323248j -0.00679806-0.00948609j 0.00134892+0.00354773j -0.0139046-0.011807j 0.0182345-0.0144244j -0.00477272+0.0194725j -0.0181467-0.022728j 0.0501768-0.0512518j 0.00931248+0.0611152j -0.074283-0.0528386j 0.00886134+0.00604112j 0.0455739+0.012953j -0.0347576+0.0154811j 0.0679723+0.0279903j -0.0374564-0.00757592j -0.0174917+0.00706425j 0.00338801-0.0255097j 0.0609568+0.106084j -0.00387949+0.0624645j -0.0235696+0.0426024j -0.018001+0.0387886j 0.000110357+0.0232578j 0.0464343+0.0417816j 0.0367915+0.00180386j 0.0112124-0.0178396j -0.0643736-0.00398392j -0.0236325-0.0487438j -0.00839851-0.0138751j -0.017674+0.0745405j -0.0308923-0.0245332j 0.0462492+0.0225956j -0.00462397-0.0295001j -0.0225515-0.0141797j -0.109232+0.0477317j -0.0194511-0.0164569j -0.0213073+0.0548122j -0.00785281-0.0555002j 0.0645249+0.0239548j 0.0929253+0.0139541j 0.0957985-0.0355224j -0.0389822-0.0317447j -0.0130637-0.0236623j -0.0522529+0.00911539j -0.04444-0.0102772j 0.0223106+0.0387914j -0.00606779+0.0602744j 0.0198578-0.0597544j 0.0113352+0.000789372j -0.0818772-0.10853j -0.0843963-0.119075j -0.108049-0.0189635j -0.0622164+0.00652007j 0.0381918+0.0487984j 0.000973295-0.0869751j -0.0632543-0.0340663j 0.0865545+0.0815293j -0.0309237-0.0661361j 0.0721844+0.128422j 0.0420361-0.00268218j 0.0389903-0.0737166j -0.0188711+0.00658104j -0.076413+0.0414837j -0.0236076-0.0468426j -0.0226265-0.0176474j -0.0462195+0.025334j 0.0218967+0.0445315j 0.103207-0.119829j -0.0703947+0.0179263j -0.0613563-0.0722259j 0.0705805-0.0300176j 0.0396021-0.0287043j -0.0381086-0.0410016j -0.0583977-0.0394271j -0.0927914-0.0767758j 0.129555+0.0406296j 0.0674852+0.0193266j 0.0339899+0.0708888j -0.0913026+0.0399182j 0.19595+0.0897917j -0.0109992+0.0179932j 0.128159+0.12958j -0.137056-0.107625j 0.139664+0.0982567j 0.00469287+0.0413956j 0.0318262-0.0346911j 0.09683-0.0619433j 0.137106+0.0764384j -0.0327483-0.0549922j -0.0711866+0.0231668j -0.0405376-0.0179317j -0.0362835+0.0364326j 
-0.0138935+0.00133509j -0.00501378-0.0022132j -0.0167256-0.00468911j 0.00823101-0.0227783j 0.00706936-0.0335975j -0.00708069+0.0696298j -0.0289073+0.0691689j 0.0472966-0.126531j 0.0575678-0.0627721j -0.0449544+0.0323291j -0.0125303-0.0154564j -0.0801188+0.0509033j 0.0623514+0.0108407j -0.0227505+0.00136496j 0.058431+0.0290354j -0.0379118+0.080957j 0.0829928+0.0803233j 0.0215667+0.0279643j 0.0176825+0.111055j -0.00609879+0.0300982j -0.0171973+0.0647569j 0.0116716+0.00123822j -0.0502762+0.0324181j -0.00690916+0.109476j -0.00128578+0.0250105j -0.00156493-0.0562711j -0.0643759+0.0490401j -0.0994495-0.0180133j -0.0452196-0.016111j -0.0629575-0.0146629j -0.0604955-0.000528741j -0.0188939-0.0272364j -0.021823+0.0205673j 0.0474847-0.00354228j -0.000592532-0.00883402j 0.0619873-0.0235512j -0.0157588+0.0536578j 0.118619-0.0351192j 0.0424383+0.0512195j 0.0787608+0.0250417j -0.00635418-0.0991155j 0.15366-0.0264461j -0.0307212-0.0873923j 0.0261032+0.0712008j -0.0683296-0.0419647j 0.00769576+0.0405138j 0.00976801-0.0689034j -0.122618+0.0865279j 0.0466419+0.0687208j 0.0896552-0.0637524j 0.109185-0.0012011j 0.127495-0.00327258j 0.0657796+0.0921415j -0.0368837-0.0184637j 0.0244577-0.10358j 0.044067-0.0241658j 0.00904534-0.0415961j -0.0547997+0.0788631j 0.160988+0.0899512j -0.0113832+0.0218754j -0.0838614-0.0159456j 0.00863148-0.00902789j 0.0225601-0.00860233j -0.0255284-0.021568j 0.00293251-0.067754j 0.00338433+0.0676658j -0.00444275+0.0256956j 0.0316463+0.0486683j -0.020405+0.0446109j 0.0360809+0.0428042j -0.0859385+0.110503j -0.0230555+0.0314606j -0.0639312-0.033934j 0.00780427-0.0087937j -0.00136721-0.110192j 0.135831+0.0347721j 0.0398988-0.0132402j -0.0306833+0.0400589j -0.0277095+0.0431794j -0.113555-0.078137j 0.138099-0.0393145j 0.0165545+0.0627494j 0.0850309+0.0214008j -0.0117001+0.0218269j 0.0339523-0.0683708j 0.0126652-0.021339j -0.03133+0.0152855j 0.0522809-0.0242645j 0.132425-0.0328192j 0.0420579+0.0417632j -0.097204-0.0151926j -0.0197171+0.0496985j 
-0.0209223-0.0334991j -0.0205085+0.0077993j -0.014654-0.0301528j 0.0575267-0.005923j -0.0475739+0.0272328j 0.00548467+0.00457615j -0.0778402+0.0327383j 0.00790029-0.0174685j -0.00347777+0.00821343j -0.0554887+0.00353994j 0.0833657-0.0663846j -0.00249383+0.053573j -0.0608747+0.057918j 0.0310547-0.0269166j 0.0772929-0.0322546j -0.00477965+0.0589458j 0.0566233-0.0276651j 0.0143436+0.0293147j 0.0541009+0.0818154j -0.0763344-0.0369892j -0.0415093+0.0187492j -0.0648847+0.0376517j -0.043319-0.0426407j -0.0271428+0.00863443j -0.0639748+0.061543j -0.0342246-0.0109648j -0.13057-0.0454783j 0.0102663+0.0173476j -0.0406866+0.00406717j -0.00121165-0.00466829j -0.0148448-0.0396329j -0.0313433-0.0081475j -0.0360459-0.0183005j 0.037565-0.0503606j -0.0137323-0.0761082j 0.0447865-0.012998j 0.047333+0.0593947j 0.0281761+0.0515018j -0.0355552+0.117431j -0.0406879-0.0229525j 0.0264573+0.0401446j 0.0115998-0.0782362j -0.0186449-0.0102231j -0.105271-4.89129e-05j 0.0212537-0.0255789j -0.0708029+0.138384j 0.0334-0.141051j -0.0224461+0.0484012j 0.0322043-0.0337091j -0.0722868+0.00983858j -0.0200269+0.097742j -0.0996857-0.11688j -0.0315612+0.0159065j -0.00361975+0.0795955j -0.0369493-0.0450182j -0.0423625+0.0802326j 0.0491209+0.033348j 0.026578-0.0159558j -0.0161752-0.00505825j 0.0107617-0.0452728j -0.047297-0.0101942j 0.0254475+0.00391259j 0.0403856-0.0322118j -0.112312+0.0337101j -0.0453013+0.0239244j 0.0141201+0.0430977j 0.148078+0.0103595j -0.0983634+0.0686546j 0.03236+0.0832306j 0.00411337+0.0551295j 0.00744979+0.0212192j 0.127723+0.0150662j 0.0819818-0.00604488j 0.136257-0.0327182j 0.0761079+0.0461383j 0.122912-0.0566697j -0.0439929-0.0681573j 0.0756104+0.0484271j -0.123594-0.0684302j 0.0502083-0.0135809j -0.0333543-0.0358221j -0.0818962+0.0171989j 0.015493+0.00967668j 0.00854671-0.0173039j 0.089062-0.0343639j 0.0657982-0.0293032j 0.0617266-0.0580051j 0.0546914+0.101145j 0.0434567-0.0921571j -0.0324316+0.0393532j -0.0784929-0.000954955j -0.0138611+0.0630002j 
-0.00549978-0.00610632j 0.00142892-0.00294207j -0.00472654-0.0135808j -0.0479921+0.0081896j -0.0295416+0.00285185j -0.0105704-0.0569217j 0.0266895+0.0107461j -0.0154622+0.0302358j -0.0221622-0.00251139j -0.00555697+0.102123j -0.0411682-0.0188191j -0.0126882+0.100161j -0.0391771+0.0278766j 0.0592631-0.014563j 0.0142046+0.0154873j -0.078499-0.0275723j 0.0382545-0.0742564j -0.00404009-0.0602082j -0.0188964-0.166468j -0.0161704+0.064049j -0.0266163-0.0127723j -0.012144-0.000702824j 0.0312012+0.0321546j 0.0246907+0.0334603j 0.0254937+0.000616005j 0.0161088-0.0442921j 0.0382021+0.0227175j 0.0113977-0.0735238j -0.0123878+0.0113364j 0.0645007-0.0213389j -0.0245913+0.0193807j -0.0401153-0.00352051j -0.0436684+0.0179006j 0.035041+0.0448985j 0.0488519-0.093128j -0.12355-0.00587752j -0.0999508-0.0238644j 0.0703466-0.0138098j -0.111732-0.000300043j 0.0418922-0.0228787j 0.0326987-0.103682j -0.0827239-0.0950592j -0.00312431+0.0161791j 0.0318055+0.0628149j -0.0118891+0.0196859j -0.101233-0.141608j 0.0146935-0.0722256j -0.0411995+0.0767947j 0.0366465+0.0657448j 0.0944132+0.00551226j 0.0715707+0.0344806j -0.0323599+0.115937j 0.0870194+0.0340064j -0.18723-0.151838j 0.136921-0.0462459j 0.0957547+0.0896648j -0.112409-0.0995925j 0.101772+0.0415713j -0.020054-0.0673111j 0.0605852-0.0304577j -0.0103803-0.0226701j 0.0531005+0.0155122j 0.0409335+0.0261717j 0.014686+0.0821379j 0.029912+0.00412407j 0.0223538+0.058096j -0.047999-0.0395516j -0.0922538+0.0257396j -0.0479543+0.050705j -0.036765-0.0558106j 0.0452859+0.00776263j -0.0641106-0.0141394j -0.04022+0.0885557j -0.0206359+0.0200218j -0.0717131-0.0131486j -0.107418-0.0692844j -0.0240218-0.0650559j -0.0788532-0.0154583j -0.0100784+0.0656464j 0.0079628-0.0697717j 0.00928103-0.0355232j -0.0674954+0.00822238j 0.0242146-0.0232997j 0.00969953+0.0450668j 0.00838353+0.0261817j 0.0812548+0.0180332j 0.0356099+0.0157024j -0.00616942-0.0280357j 0.0546268-0.0190905j -0.0690116+0.0108547j -0.02424-0.0205456j -0.0555051+0.0292135j 
-0.0257359+0.00307348j -0.0234697+0.0692468j -0.00877249+0.00551208j -0.0139445-0.0331422j -0.0100007+0.0319981j 0.0466721+0.0192791j -0.029222-0.0461556j 0.00779104+0.0420585j 0.00354592-0.0150786j 0.0510577-0.0914122j 0.00594378+0.0509049j -0.0623838-0.0899004j 0.00557766-0.105456j 0.0447838+0.0321656j -0.0184561+0.0138988j 0.095649-0.0537673j 0.0322689+0.123445j 0.022401+0.0074674j 0.0198988-0.0438054j 0.0674659+0.00700049j 0.0157149+0.0243632j -0.00109132-0.00432774j -0.00938024-0.0123394j -0.0242337+0.00634731j 0.0232975+0.0373564j -0.0730714+0.00058137j -0.0851048+0.000785192j -0.0456155+9.2121e-05j 0.0432399+0.00310999j 0.0560835-0.0314058j 0.0171737-0.0472403j 0.0467029+0.0138139j 0.0207785+0.0260391j 0.0390025-0.0390327j 0.04621+0.0718463j 0.0473357+0.0665743j -0.0213055+0.0503308j -0.0293344+0.0227274j -0.102741+0.0451323j 0.0385893+0.00614272j -0.0360115+0.170817j 0.0393242-0.0857025j 0.0253537+0.0161029j 0.0361708-0.0203172j -0.0584842-0.0194929j -0.13282-0.0644801j 0.0201081-0.188942j -0.0148939+0.0307875j -0.0783182-0.0225845j 0.0262817+0.0238453j -0.0292893+0.0641132j 0.0744278+0.0753107j -0.0109888-0.0182996j -0.0577662+0.0263581j -0.0550773+0.037502j -0.0130492+0.0248269j -0.0666215-0.0270036j 0.136736+0.0594857j 0.0635791+0.00702627j -0.0233817+0.0042859j 0.121896+0.0138604j -0.0145615+0.0382044j -0.0422696+0.0107591j 0.00125951-0.0229067j -0.0352114-0.0790652j 0.00777007-0.143036j 0.0141888+0.0527364j -0.0174529-0.0236222j 0.0377026+0.0480753j 0.00381274-0.0482435j 0.0684647-0.0333042j -0.00694924+0.0443338j -0.0239402+0.00411767j 0.0145482+0.00956101j -0.000706118+0.0489663j 0.0396888+0.0755235j -0.0923287+0.0615192j -0.015699-0.00829253j -0.0432497-0.0670418j -0.0163962+0.0702726j 0.0305927+0.0139175j 0.028785-0.0111313j -0.0286851-0.00655569j 0.104524-0.00459295j 0.0369825-0.0119089j -0.0396998-0.0382035j 0.0298644+0.0117641j 0.0495834+0.0488355j -0.0576945+0.0465687j 0.0172104+0.0382623j -0.0078682+0.0390112j 0.0480167-0.0191297j 
0.0418451+0.00790833j -0.0164932-0.00470332j 0.00845035-0.002517j 0.0584217+0.0203677j -0.000705904+0.0159724j -0.0112351-0.0173681j 0.00260804-0.0658379j -0.0576266+0.0231921j -0.0567941+0.0132217j -0.0463576-0.0188943j 0.0116167+0.0390717j -0.0528483+0.0480666j 0.0233131-0.0388986j -0.0569055-0.0578245j -0.0206212-0.0697795j 0.0453814-0.0306095j 0.0146507+0.0401065j -0.04142-0.0211146j -0.0147122-0.0669605j -0.0111551-0.0893834j 0.0493669-0.0309179j 0.0102331+0.00121689j 3.59942e-05-0.0152704j -0.0662954-0.00629536j 0.0339947-0.00861232j -0.0787483-0.082707j 0.0542231+0.07648j 0.0340353+0.00968106j -0.0246867+0.0744452j 0.096329+0.0289093j 0.00399936-0.00891279j -0.0128669-0.00330228j -0.104642+0.0897849j 0.0303377-0.0623505j -0.0624335-0.0940781j -0.00373015-0.0170619j 0.0445744+0.0985071j 0.0584423+0.10752j 0.0867585+0.013914j 0.0708779+0.0321391j 0.0149761+0.0246676j 0.0291182+0.00907719j -0.106873-0.0894812j -0.0216902-0.0333179j 0.083015+0.108298j -0.0163924+0.0120334j 0.177999+0.00111097j 0.136242+0.0270119j -0.0380536+0.0345392j 0.0137148+0.00742594j 0.0150181+0.0133586j 0.0059655-0.045483j -0.0112754+0.00966276j -0.120356-0.0735532j 0.00995768-0.0671746j -0.0374817+0.0353617j 0.0736999+0.0501573j 0.00240312-0.0854373j -0.0903216-0.0673336j -0.0355147+0.0423965j 0.056719+0.0689677j -0.0343131+0.0176183j 0.0348611+0.020395j 0.0414474-0.00530445j 0.146399-0.0306204j 0.151927+0.0762829j 0.0754758+0.0271044j 0.0696134+0.0104871j 0.0267678-0.0209945j 0.0447757+0.0534465j -0.0421517-0.0329791j 0.149396-0.0239276j -0.0895474-0.0756871j -0.0395208-0.00934876j -0.03821-0.0314302j 0.0464901-0.0231052j -0.0797794-0.033195j 0.00701397+0.118815j -0.0648403-0.00501588j -0.00285338-0.00689022j 0.0288064-0.00550691j -0.0748346-0.0648662j 0.00364954+0.0344506j 0.0280679-0.0140801j 0.0202673-0.0157683j -0.0325799+0.0437147j 0.016838+0.0248898j -0.0119434-0.0149977j -0.0342527+0.0186365j -0.0133916-0.00274016j 0.0152128-0.00575j 0.0164076-0.0115347j 
0.0131294-0.0108085j -0.00963894-0.00706231j -0.0348992-0.000481073j -0.0150997+0.0259347j 0.0193688-0.0197038j 0.00625589+0.0228986j -0.00326324+0.00404947j -0.0159898+0.0277829j -0.0156203-0.0272378j 0.00127534-0.0026643j -0.0153979-0.0201458j -0.0429295-0.121263j -0.0496364+0.159158j 0.0101651-0.0227624j -0.0650928+0.0528847j 0.00448782-0.115061j 0.0486133+0.0830462j 0.0842446-0.0578197j -0.0359163-0.158843j 0.00673618-0.0135961j -0.00565744-0.0316826j -0.00291461+0.00485537j -0.000468212+0.0303256j -0.0550528+0.0225641j 0.0167643+0.00118632j 0.0251646+0.00222755j 0.0769381-0.024885j 0.0499629+0.0620122j 0.0243232+0.00720948j 0.0899995+0.0844576j 0.0699211-0.0202812j 0.034167-0.0274868j 0.0337018-0.106767j -0.0606664+0.0805944j -0.0132985-0.0428037j -0.0884478-0.0162172j 0.074827-0.0167935j 0.0651198+0.062892j 0.106395+0.127344j -0.00455148+0.0775345j 0.0975543-0.0484191j -0.10324-0.0326308j 0.0170843-0.0616708j -0.0529612-0.0522823j -0.0394076-0.0270408j 0.0826667+0.063416j -0.0726113+0.0352098j 0.0381588+0.0670543j -0.0758134+0.043991j 0.0572931-0.067936j -0.0197718-0.0148054j -0.0489369-0.147387j 0.049326-0.0257873j -0.0144882+0.127534j -0.0468334+0.055684j 0.0951568+0.00902997j 0.0027412+0.0584899j 0.00829189+0.0334403j 0.00944701+0.00961483j -0.0214515-0.0252159j 0.0280895-0.00082175j -0.0124475-0.00366703j -0.0261572+0.0332629j 0.00849179+0.0632898j 0.0630309+0.0318639j 0.000637123-0.0119485j -0.0313102-0.00583815j 0.0492201-0.036261j 0.0625882+0.00421513j 0.0405085+0.0690818j 0.0737061+0.0114083j 0.0439434-0.00118684j 0.0299355-0.0384692j -0.0369156-0.00569637j 0.00775499+0.0267909j -0.0459172-0.0838182j 0.0173487+0.0760566j 0.054377-0.0368121j -0.0277248-0.0075956j -0.0796562-0.031013j -0.0117234-0.0227898j 0.035942+0.0132298j 0.0139965-0.0290147j 0.0354449+0.0339736j -0.0219323-0.0660555j -0.0320686-0.0118187j 0.0103356-0.0161138j -0.00435264-0.0135103j -0.0228646+0.0427533j 0.0377357+0.0185767j -6.61919e-05+0.00816357j 0.0376094-0.00445206j 
-0.00401509+0.0117106j 0.0320623-0.0215901j -0.0119357+0.0238773j 0.0552304-0.011439j -0.00918467-0.00365915j 0.00234031-0.0168158j 0.0616283-0.0359292j 0.00699054+0.0119986j -0.0258042-0.096699j -0.0195286+0.182972j 0.00295312-0.0185465j -0.0591251-0.0796276j -0.01598+0.186989j -0.0264491-0.00837826j 0.0728883+0.138381j 0.0462807+0.0973997j 0.00749378-0.0722423j 0.0722176+0.215295j 0.066406+0.223408j -0.151899-0.152987j -0.0381417-0.0359711j -0.0187288-0.0614161j 0.0472086-0.0479573j -0.0497915-0.0209884j -0.0623253-0.0687255j 0.0254724+0.0276753j 0.0824439+0.000952225j -0.0109731+0.0157438j 0.0475031+0.0803684j 0.0212684+0.00393993j 0.0448817+0.0241208j -0.0473042-0.0481767j 0.073719-0.00293825j -0.0132236+0.0600191j -0.0509604-0.0879014j -0.106111+0.0103678j -0.0386918+0.0391392j -0.0110606+0.0432899j -0.134035+0.0417705j -0.0239943-0.0290459j -0.0407891-0.126111j 0.0734214+0.0462348j -0.17368-0.0105852j -0.125068+0.0544281j 0.113742+0.103825j 0.0624189+0.0930756j 0.0242515-0.0165093j -0.0982248+0.0246656j -0.0158092+0.0187035j 0.041877+0.0550238j -0.0156322+0.0307945j -0.0375406-0.0392426j 0.0659879+0.0294309j 0.0912695-0.015379j -0.0330103+0.0262418j 0.0357761-0.00753415j 0.0572668-0.0235976j -0.00591702-0.0358711j -0.00554812-0.0545728j 0.0554433-0.0285327j -0.0177392-0.0215474j 0.00252588-0.0206862j 6.94412e-06+0.00873244j 0.0401124+0.0314521j 0.0800381+0.0456936j 0.00895543-0.0170661j -0.0310682+0.0874914j -0.0416125-0.000802628j 0.00822058+0.0467757j 0.0118692-0.0433841j 0.0524163+0.00484513j -0.00457729+0.0953946j -0.00593708+0.0431642j -0.0666161-0.0237169j -0.0276111+0.0350095j -0.0710743+0.0223881j -0.0149669-0.0275002j -0.00793609+0.026508j 0.0193483-0.0244486j 0.0384856-0.0110262j -0.0230634-0.0111843j -0.016936-0.00556628j -0.0112521-0.018913j -0.0138163+0.00754043j -0.0114693+0.0180335j 0.0225919+0.0155907j -0.00374828+0.016764j -0.0398057-0.0246527j -0.0213597+0.0148132j -0.0403431-0.0100348j 0.0389628+0.00481877j -0.0176219-0.0121331j 
0.0570252-0.0218785j 0.0372708-0.0409941j 0.0386266-0.00168072j 0.0458349+0.0463516j 0.0172527-0.0268221j 0.00356324-0.0247574j 0.0157206-0.0221785j -0.0600809+0.0219618j -0.0241167+0.0570568j -0.0175394-0.0810938j -0.0459187+0.00505771j -0.0336115+0.163399j -0.130458-0.0290872j 0.0251015-0.0562964j -0.000333556-0.0685442j -0.0597446+0.0210102j 0.0398493-0.0962949j -0.0326281-0.118577j -0.00152996-0.0439838j -0.132027+0.0377027j 0.0308844-0.0166066j 0.0128863+0.0201808j -0.00790099-0.0215486j 0.000122073-0.0134309j 0.0227165-0.0663089j 0.0824891-0.0105341j 0.121492+0.0222842j 0.113805+0.0224623j -0.0213936-0.0416258j -0.020471+0.0149741j 0.0330702-0.0615911j -0.0751246+0.0326475j 0.00516497+0.024384j -0.0429351+0.0403059j 0.0771274-0.0950597j -0.000378965-0.00403658j -0.0971095+0.016067j -0.0534888-0.070709j -0.0371594+0.0190246j 0.0224234-0.0662836j 0.000200515-0.0093804j -0.0103162-0.136176j 0.0323511-0.00318049j 0.0883722+0.0245019j 0.0387636-0.0525765j -0.0831108+0.0491604j -0.0634939-0.156737j -0.00787388+0.0745911j -0.0375125+0.0309535j -0.0573271+0.0221788j -0.0831292+0.0064686j 0.0566436+0.0109241j -0.0912001+0.0290498j -0.0118904-0.0517701j 0.00293846+0.00228605j -0.0454785-0.0624115j -0.0535949-0.0693334j 0.0704827-0.00112862j -0.0500269+0.0506999j -0.0511362-0.0503193j -0.0478481+0.0500014j -0.110268+0.0134967j -0.0851317+0.0138929j 0.00438547+0.00181166j 0.0477615-0.0012406j 0.00333488+0.0808993j 0.00772264-0.0212704j 0.0785812-0.0509791j -0.03832-0.00156351j 0.0634787+0.00962111j -0.0382651+0.00576965j 0.0993178-0.0768013j -0.0420934-0.0600345j -0.0938694-0.0320515j -0.0809373-0.0210658j 0.0260601-0.00700275j 0.0539896+0.0233572j 0.0386635+0.175049j 0.00422144+0.00770354j 0.153493-0.0600851j -0.0088951-0.0347909j -0.00216728+0.0304543j -0.0838139-0.0230806j -0.0533065+0.0100666j -0.025758+0.0145675j -0.0266734+0.0317748j 0.0137041-0.0545624j -0.0257328-0.0351235j -0.0627263-0.00242707j -0.0397991-0.0360686j 0.0789488-0.025481j -0.0152062-0.0147745j 
