0.137302-0.0901711j 0.0259561+0.178813j 0.0374961-0.0103277j 0.020624-0.0958933j 0.0320163+0.0350487j 0.0243808-0.00535751j -0.0949765-0.00768463j 0.000215354-0.0205694j 0.0285926+0.0110282j -0.00328996+0.0284875j -0.0561697+0.00262672j 0.112204-0.048898j -0.0437181-0.00393727j 0.076028-0.00490705j 0.0351822+0.0567045j -0.0276272-0.0120409j -0.209618-0.0130512j 0.0784511+0.0142018j -0.00221429-0.0166439j 0.00938578+0.0238605j 0.101311+0.0624108j 0.0510571-0.00350338j 0.0208607+0.059193j 0.087947-0.031812j 0.0173103+0.00278266j -0.0721777+0.00343026j -0.0148643+0.0912335j -0.0452658+0.00825408j -0.0286209-0.010855j 0.0124557+0.0177728j 0.052439+0.0137182j 0.0744418+0.037042j -0.0349826+0.00616346j -0.0436246-0.0366302j 0.0135486-0.00881241j 0.0361742-0.00434712j 0.03173-0.00716613j -0.0222052-0.0380746j 0.0249112-0.0191334j -0.0241574+0.0256208j -0.0341654+0.00108275j -0.00787259-0.0130987j -0.0453695-0.0188192j -0.0515525-0.0105105j -0.0117107+0.0185103j -0.017771-0.0210525j 0.0058034-0.0057746j -0.0442847+0.00637313j -0.0588428+0.01183j 0.0720651+0.0445855j 0.00671872-0.0307367j -0.0211072-0.00415034j 
0.036711+0.00807003j 0.00412962+0.00904252j -0.0541195+0.0402446j 0.00616747-0.0692536j 0.0407602+0.139141j -0.0601075-0.120037j -0.0875303+0.00180742j 0.0171273-0.0229503j -0.0988441-0.0157606j 0.00216492-0.0553205j -0.0283711-0.140784j -0.0777034+0.0775704j -0.022807+0.0116805j 0.00791755+0.0100287j 0.0619005+0.0233955j 0.0535602+0.00449971j -0.0719209+0.0592717j 0.100276-0.0143566j 0.0263958+0.0917089j 0.0205447+0.0142273j -0.217597-0.117028j -0.0994914+0.0342998j -0.0122225+0.0968325j -0.0491931+0.0211635j -0.0463323-0.0223511j 0.0213932+0.0648306j 0.0095202-0.0239537j -0.0762262-0.0204157j -0.109089+0.0744722j 0.0642204-0.0446016j 0.0508692-0.0269444j 0.0399723+0.0046216j -0.102063-7.47121e-05j 0.0265723-0.0800208j 0.0427743+0.0346211j -0.183662+0.0496939j 0.0277602+0.0448082j -0.0761379-0.134634j 0.0861504+0.0486967j 0.0116844-0.0104299j -0.0145907+0.0507979j -0.0370314+0.0105861j 0.0142353+0.015907j -0.0530507-0.0572581j 0.0117534+0.0120227j -0.0206445+0.0499829j 0.0505765-0.0369246j -0.0187581-0.0499359j -0.0115466+0.0393066j -0.000988043+0.0171647j -0.00473489+0.00757195j -0.00609963+0.00686997j 
0.0168815-0.00197062j -0.0415231+0.0258736j -0.0462771-0.0107395j 0.0246617+0.00237224j 0.0110815-0.00400961j 0.0165813+0.119867j 0.00613515+0.0466231j -0.0204502+0.0560782j 0.062535+0.00568659j 0.0440629+0.0160774j 0.0368551+0.160496j 0.117197-0.00711215j 0.033229+0.0176858j 0.01961-0.0235704j -0.104329+0.111059j -0.114569+0.0442203j 0.0956351+0.0274378j 0.0730159-0.00173144j 0.0740185+0.0482838j -0.109968-0.0609236j 0.0354776+0.205565j 0.0119366-0.0364996j 0.0349491-0.0562609j -0.0956486-0.0708499j -0.00769288-0.0252519j -0.0752375+0.0684351j 0.0473444+0.0749302j -0.0483379-0.0207899j -0.0613739+0.0208758j -0.0111993+0.00449911j 0.0146127-0.00304712j -0.0333397+0.0255866j -0.174348+0.0291079j -0.0673981+0.0341485j 0.027877+0.0954754j 0.0424186-0.0856447j -0.0570347-0.0372387j 0.0163423-0.0637256j 0.0548906+0.0491489j 0.0551139+0.0881818j -0.01765-0.00180757j 0.0227466+0.0297795j -0.0544505-0.0710618j -0.0614094-0.0218535j -0.00341348-0.00471351j 0.000711846+0.0453684j 0.0267982+0.0284334j 0.00995047-0.00207532j -0.0184765-0.0228479j 0.0300111-0.018589j -0.0278206-0.0202892j -0.00677207-0.00864292j 
0.00135814-0.0026914j 0.0130124-0.0190656j 0.0234561+0.0587189j -0.0413551-0.0588929j -0.0806271+0.0844247j 0.082953-0.066576j 0.0853832-0.0584911j -0.0694186-0.000304388j 0.0714973+0.0339295j 0.0281555+0.0433657j 0.00228155-0.0584525j -0.124577-0.0495969j 0.0208036-0.0346336j -0.0876034-0.00270783j 0.120313-0.0912065j 0.033897-0.0102119j -0.0672904-0.129761j 0.151731+0.0167841j -0.0231312-0.117193j 0.110732-0.0708437j 0.0418555-0.0573782j 0.0570241-0.0166106j -0.032755+0.0136199j 0.0279635+0.00449281j 0.0653842+0.0502146j -0.0297306-0.0663793j 0.0603324-0.00546216j 0.113897+0.0218677j -0.0331295-0.0133261j -0.0376437+0.00674753j -0.0639919+0.121094j -0.0148794+0.0734754j 0.112131-0.102107j -0.184349+0.0919727j -0.0551111+0.0489919j 0.16848+0.0407977j 0.0642465-0.00814574j 0.110791+0.0219167j -0.0244026-0.0809786j 0.0321595-0.0515237j -0.0166975-0.0134104j -0.00298597-0.0104185j 0.128409+0.0926649j -0.052549-0.0278517j -0.0134885+0.00340153j -0.0103096-0.0399866j 0.0279199+0.00300219j 0.0316685+0.0387475j 0.0767312-0.0570722j 0.0349858-0.0358692j -0.0275189-0.0135753j 0.0209484-0.0119316j 
0.0302984-0.0529214j -0.0101464+0.0132198j 0.0788421+0.0766539j 0.00981466+0.0181704j -0.0394311-0.0541607j 0.0854271+0.0253738j -0.0132708-0.00154074j 0.0888092-0.0213091j 0.0922157-0.039823j -0.158762-0.0448767j 0.0738258-0.00384352j 0.000233384-0.0376706j -0.0746213-0.0455163j 0.0796279-0.0278777j 0.0409084-0.0688035j 0.0145187-0.0375575j 0.0540932-0.1304j -0.0310626+0.0215363j 0.113945-0.162797j 0.0116336-0.0566496j 0.0543564-0.0508642j 0.00761484-0.0742281j 0.0448152-0.00498997j 0.0153489+0.0728338j 0.149624-0.0103563j -0.0108672+0.0206781j -0.0474173+0.029694j 0.112345+0.042435j -0.0197875-0.0469618j -0.0129415+0.0474056j -0.0439886+0.0133334j -0.080651+0.0464478j 0.0686405+0.00563279j 0.0605086+0.0374505j -0.00213515-0.00266775j -0.0266829-0.00464832j 0.00134593-0.0698562j 0.0214714+0.0171024j -0.0477287-0.0608254j 0.0119335+0.0275008j -0.0857041-0.0610923j -0.0127903+0.0342694j -0.0376894+0.0694084j -0.122424+0.0250368j -0.061705+0.00929051j 0.0299853-0.0334672j 0.00262343-0.00446786j -0.056546-0.0353558j -0.0556506+0.0673242j 0.0125092+0.00339234j 0.0300873+0.0104081j -0.0125731+0.026482j 
0.030927-0.021659j 0.0959148-0.0545843j -0.124585+0.314087j -0.119816-0.0548992j 0.0545973-0.0834131j -0.0438569-0.101807j 0.0424889-0.0553904j -0.00284137+0.00259994j -0.0443686+0.0258978j -0.0496813+0.0375758j 0.0846182-0.103662j -0.0456552+0.093264j -0.0367602-0.0285057j 0.0570676+0.054742j 0.124148+0.0305542j -0.0439592-0.0671755j 0.105265+0.0555257j -0.092358+0.00776553j 0.109688+0.0288429j 0.0513369-0.0517635j 0.0612481+0.0449979j 0.0708551+0.0767485j 0.107427+0.0623438j 0.153851-0.0146421j -0.00708529-0.0473254j -0.0138989-0.0194266j -0.0546658-0.0150531j -0.0441698-0.0727506j 0.00532001+0.02429j -0.041465+0.0102765j 0.0433612-0.0384661j -0.0240164+0.0261538j 0.0298809+0.0396387j -0.0964707+0.0451414j 0.0505687+0.063079j 0.131007-0.105015j 0.0421841+0.0328164j -0.0634201-0.0518796j -0.0153019+0.00606969j 0.0108161+0.0709773j 0.0614377-0.014474j -0.0214103-0.00536046j 0.0266369-0.0113723j 0.0290677-0.047414j 0.0120295+0.00964171j -0.0312408-0.00860503j -0.0577921+0.0642968j 0.02568+0.0353356j 0.0138446-0.0448993j 0.00977126+0.003472j -0.0124301+0.000849274j 0.00133125-0.0122314j 
0.0239237-0.0103125j 0.0723289-0.033497j -0.0167591+0.256873j -0.0718875-0.0373234j -0.0218813-0.0394195j 0.0172545-0.207232j -0.0331145-0.0637521j 0.0285679-0.0520138j -0.104478+0.0848146j 0.0249114-0.0176221j -0.0740676+0.14517j -0.0362869-0.0871516j 0.069424-0.0291078j -0.0138464-0.0579054j -0.120348+0.074022j -0.0424927+0.063993j -0.0731332-0.187992j -0.0712814+0.0974521j -0.130923+0.0449412j -0.0272805+0.149072j 0.0819228-0.000388875j 0.0768941-0.0143085j 0.126645-0.0520457j -0.0577239+0.0569544j -0.0880309-0.00178678j 0.045733+0.0358431j -0.042019-0.116228j -0.0496519+0.0629579j 0.0494163-0.018309j 0.0349896+0.0155347j -0.0453141+0.00770076j 0.0840506-0.0297136j -0.00436249-0.000444514j 0.0911052+0.0539978j 0.0087929-0.0222344j -0.203942-0.036916j -0.0972307-0.0160893j 0.0277746+0.0374788j 0.0228883+0.0192751j 0.0899539+0.0246397j -0.0847189+0.00537491j 0.00352836-0.0294789j 0.0556841-0.00601952j -0.0101867+0.0143546j 0.0202362-0.0386396j 0.0328195+0.0591034j 0.033538-0.0672552j -0.0297668-0.0441026j 0.032379+0.0205708j -0.00941479+0.0176319j -0.00609291+0.0110579j 0.00895733+0.000426778j 
0.0282137+0.0202936j -0.0567363+0.0497165j 0.0291484-0.156753j 0.0619098-0.0054577j 0.0952888+0.0572278j -0.00729088+0.0123853j -0.0566699+0.052022j -0.0828771+0.132438j -0.0241125-0.0673546j 0.212963+0.000681307j -0.0568014+0.0608777j 0.0653681-0.0177101j -0.0893498+0.0671303j -0.032141-0.0171679j -0.00605174+0.143516j -0.101396+0.0694405j 0.0389465+0.013077j -0.0234037+0.0527618j 0.0336058+0.0454653j -0.0883281-0.0398441j 0.0853581+0.0436237j -0.053099-0.0238676j 0.0847989-0.0899227j 0.00545076-0.0429706j 0.0245202-0.0264571j -0.0807428-0.0379491j -0.0201462+0.0625822j -0.093178-0.00720807j 0.258675-0.0462361j 0.0393134-0.0215582j -0.0365875-0.00394291j 0.055723-0.0380014j 0.0790363-0.0260668j 0.00597257-0.00404641j -0.0763919-0.0260996j -0.00768799+0.0855855j 0.0736543+0.0660811j 0.0520801+0.0853065j -0.094622-0.0634668j 0.0736588+0.00694663j -0.0328667-0.0595176j -0.0256937+0.032819j 0.0675654+0.0145863j -0.0365225-0.0170267j 0.0141512+0.0392592j -0.0792001-0.0311177j -0.00858568-0.0589985j -0.0426497+0.0472405j -0.107508+0.0398282j 0.0679718+0.0614558j -0.00679934-0.00655831j -0.0436502+0.0178945j 
0.0181032+0.0358291j -0.076671+0.101828j -0.0297878-0.0661238j 0.0553089-0.00446063j 0.0317503+0.0590338j -0.0110134+0.0574624j -0.155249+0.151036j -0.0520037+0.151868j 0.0950273-0.0734006j -0.014739-0.0665812j -0.0403447-0.0106855j -0.00637958-0.00324294j 0.0194852+0.0276952j 0.0883049+0.00240408j -0.0014989+0.103232j -0.0579569+0.016306j 0.00448799-0.00256382j 0.126943-0.0145972j 0.111349-0.01631j -0.0223263-0.0620857j -0.0821761+0.00684034j -0.0539428+0.0118298j -0.0128212-0.019025j -0.124236+0.0274273j -0.0437713-0.00823294j -0.069253+0.0399731j 0.0609631+0.0163362j 0.0496845-0.0994119j -0.0581145+0.0103537j 0.0601564+0.00495583j -0.0607444+0.0400459j 0.0118264+0.0256716j -0.0485897-0.0677992j -0.0157631+0.0070724j -0.0479402+0.0658615j -0.123011-0.00257453j -0.0430414+0.0158422j 0.0746119+0.0132063j -0.00854679-0.0343156j 0.0838955+0.0355239j -0.094271-0.02125j -0.0459811-0.00958725j 0.0678399+0.0538171j -0.112177-0.0451486j -0.0405103-0.00535426j -0.00334217+0.0449157j 0.0547003-0.0631127j -0.0224279-0.0436466j 0.0376773+0.0145241j 0.0308876+0.00683667j -0.0040711+0.0149311j 0.0108619-0.000476249j 
-0.0134232+0.0289082j -0.0161299-0.0446324j 0.0566228-0.125346j 0.0186307+0.0150743j -0.0919032+0.0721845j 0.077433-0.0632021j 0.158056-0.0931553j 0.0696506-0.115977j -0.163259+0.0287762j 0.187+0.0875141j 0.0590751+0.0417564j -0.00263112-0.0271683j -0.0680775-0.027578j -0.101693-0.0403979j 0.0241955-0.0430032j -0.0434865+0.0690526j -0.0821776-0.0603058j 0.0432935-0.0230585j 0.00526904+0.029213j 0.0174723+0.0176819j -0.0199801-0.048991j -0.0103842-0.0627754j 0.0183816+0.00894135j 0.0614249-0.0535888j 0.154014-0.0204817j -0.00224771-0.00929167j 0.000678418+0.0134325j -0.124604+0.12441j -0.000384388+0.0861249j 0.00236951-0.0588792j 0.0540326+0.00263037j -0.0373703+0.045845j -0.120761+0.0298841j -0.0801715+0.0470391j 0.0439204+0.14259j 0.00477831+0.0563616j 0.136777-0.0533358j -0.01371-0.0555158j 0.109488+0.0308966j 0.0132475-0.0195989j -0.0342461+0.0410482j 0.0538969+0.0391953j -0.0554273-0.0108184j -0.0948975-0.0561872j 0.0853386-0.00606581j -0.112355+0.00345573j 0.0131981+0.00151871j 0.00790629+0.00211375j -0.0685431+0.0717956j 0.029014+0.0216044j -0.0564587+0.0514385j -0.00989808+0.0347802j 
-0.0609198+0.00572511j -0.0689921-0.0196823j 0.0589026-0.186005j 0.101097+0.0496016j 0.00527915-0.00431782j 0.092002+0.165735j 0.0734795-0.0762196j -0.016804-0.0376475j -0.000820444+0.0165768j 0.0933668+0.0477306j 0.00757352-0.0110149j 0.000589503-0.0453766j 0.0300434-0.0212821j -0.108879-0.040663j 0.0465016+0.0128111j 0.00771377+0.0172385j 0.00288322+0.0511041j 0.0372432+0.000533113j -0.0145958-0.0125046j -0.0629127+0.00899419j -0.0200177-0.0552313j 0.0535274-0.0418555j -0.0678371-0.0213011j 0.0760565-0.0290727j -0.101679+0.000312906j 0.0199653-0.0469027j -0.0146845+0.0621109j -0.0141701+0.0856109j -0.0230661+0.0130565j -0.0246669+0.0114905j -0.00662804+0.00503522j 0.10662+0.0743675j -0.0882352-0.0217206j -0.0569799-0.00340072j 0.0253429+0.0432378j 0.0323651-0.0402115j 0.0421671-0.0204749j -0.00189998-0.0603289j 0.0696923+0.0118864j 0.0282084+0.0106904j 0.0167148+0.048575j 0.0400986-0.0174926j 0.00934628-0.0289234j 0.0439444+0.04071j 0.0324448+0.0635257j 0.0231827+0.0306256j 0.0073555+0.00111733j 0.0440568+0.04086j -0.0171139-0.048569j 0.0105254-0.0386382j -0.0453392-0.0879737j -0.00930551-0.0252858j 
-0.0147206-0.00248726j -0.000785072-0.0479146j -0.0152176+0.0123859j -0.00815294+0.0292663j 0.00944751-0.01007j -0.0361861+0.0305938j 0.024808-0.00510072j -0.0214608+0.003224j -0.016738+0.0346545j 0.0151279-0.00369189j -0.0326513-0.00589408j 0.000897026-0.0381169j 0.0332844+0.00401353j 0.0186682+0.00649227j -0.00852808-0.0741052j 0.00466191-0.00857458j -0.0361442+0.00139649j -0.0179308-0.0213398j -0.0321947+0.0169534j 0.034689-0.0231444j -0.0959464-0.0310801j 0.0420966+0.0196081j 0.0181732+0.0628536j -0.0569018+0.0437762j -0.00938026-0.0352418j -0.00861047-0.00675409j -0.0584207+0.0738194j -0.00326539+0.0103163j -0.0776616-0.00444011j 0.00778171-0.0275483j 0.00283749-0.0174247j 0.00864156+0.0139479j 0.00276342+0.00251087j -0.0679563+0.0476716j -0.0151604-0.0334115j 0.0066783+0.0150766j -0.0237063-0.0716081j -0.0679368-0.0556051j -0.0136993-0.045141j 0.0330388+0.0294836j 0.014864+0.016883j -0.0534629+0.0360903j 0.100871+0.142124j -0.0992838+0.017605j 0.00902265+0.00668698j -0.0472752-0.0303613j 0.008386-0.00588304j -0.0500672-0.0316129j -0.0858037+0.112412j 0.00276684-0.0864339j 0.00516155-0.104686j 0.00959562-0.00321521j 
-0.00377623-0.0264218j -0.00774578+0.030239j -0.0204068-0.0611226j 0.0400889+0.0108351j 0.048121+0.0195182j -0.00803833+0.00742179j 0.00109577+0.00707235j 0.0166032+0.00853689j -0.0369028-0.0513321j -0.0207979-0.00402899j 0.0392626-0.0312798j 0.0314683-0.0188438j 0.00480197-0.00688425j 0.00792519-0.00622597j -0.0109192-0.0194498j 0.0409234+0.0349284j -0.0295972-0.00807433j -0.00658897+0.0242874j -0.00767277+0.00902713j 0.0345014-0.0037213j -0.0297147+0.0112524j -0.02214+0.0218416j -0.0104651-0.0282986j -0.0354796-0.00703837j 0.0372879+0.00152228j 0.0255083+0.0296133j 0.0394007-0.0573955j -0.00118343+0.0171447j 0.0574447+0.0281812j 0.0121848+0.0179546j -0.0519771+0.0688114j -0.0391978-0.000356239j 0.0245583-0.0470192j -0.00820385+0.0300212j -0.0121321+0.02254j -0.0549897-0.00250993j 0.0122848+0.0419217j 0.0234994-0.0778856j 0.0114984-0.00783513j 0.0425222+0.018026j 0.0123362-0.0119126j 0.0160469-0.00836447j -0.0094565-0.0278051j 0.0601257+0.0244346j -0.0235347+0.0364852j 0.0383749-0.00363206j -0.0436743+0.00877886j 0.0582418-0.0228987j 0.017212-0.1286j -0.058264+0.00857097j -0.0111431-0.0404015j 0.0360563-0.0401984j 
-0.0197088+0.0241633j -0.00847947-0.0257532j 0.0227001-0.0521326j 0.0318354+0.0265559j -0.0407928-0.0168797j 0.0204406+0.0879198j 0.0280709+0.0154548j 0.00761467+0.0164579j 0.0315891-0.00701133j 0.0441227+0.0110508j 0.074921-0.00438937j 0.0157821-0.0570156j 0.0584556-0.0415885j 0.0184699+0.0219854j 0.0417436-0.0431165j -0.00165001+0.0293194j 0.0136602-0.0285341j 0.0162297+0.0653903j -0.028368+0.0428619j 0.0189786-0.0166822j 0.0685545+0.053789j -0.0335182-0.0207651j -0.00295921-0.00339345j 0.0238948-0.0257359j 0.0474838+0.0558095j 0.0151756+0.104708j -0.0532239-0.0464588j 0.0198823-0.0242674j 0.0546341+0.0276835j -0.0287259+0.0196713j 0.0165633+0.0468639j 0.113428-0.0651564j 0.0120373+0.014062j -0.0189089+0.0765622j 0.0461627-0.0742449j -0.00409575+0.0406332j -0.0166712-0.0248037j -0.0255842-0.073921j -0.00565128-0.106783j -0.0757671-0.000946511j 0.00123353-0.0206252j -0.12741+0.0353158j -0.0253906+0.0195663j -0.169683-0.0357089j 0.0183831-0.0241644j -0.041506-0.0364005j 0.0404412-0.0566996j 0.04311-0.145606j 0.132296-0.0693063j 0.135574+0.0971402j -0.10507-0.0644226j 0.0502835-0.0203247j 
0.0277558+0.0357844j -0.00841515-0.0139511j 0.00845034+0.037061j -0.018554-0.00357804j -0.0134382-0.00187197j 0.00695223-0.0160471j 0.0267713-0.0401718j 0.0373499-0.0379542j -0.0165803+0.0475369j 0.011951+0.0303173j -0.00296087-0.0120395j -0.0329153+0.0282457j -0.00560823+0.0388845j -0.0204352+0.0679674j 0.0166185+0.0191895j -0.0118986-0.0356506j 0.000281281+0.0513758j 0.06714+0.0498757j 0.0109641-0.0122892j -0.0675759+0.0776476j 0.0471095-0.001658j 0.0196033-0.0382848j -0.0230822+0.00359267j 0.0897439+0.0310265j -0.0273991+0.0571952j -0.00721135+0.0688384j 0.0108997-0.00258313j -0.0241855-0.0312844j 0.00382164+0.0260615j -0.0661577+0.00295429j 0.0680626-0.0117534j 0.0311443-0.0496364j 0.0138359+0.0241894j 0.00672896-0.0319882j -0.0138732+0.00885681j 0.0825808+0.0091284j -0.0616763+0.0162176j 0.0111049+0.0722144j -0.0158709+0.0534396j -0.0202563+0.0267001j -0.0688178-0.0132796j -0.041083-0.0223709j -0.0328113-0.0201094j -0.0440609+0.024243j 0.000695483-0.0506965j -0.00311215-0.0230704j 0.101467+0.00581336j -0.074975+0.0545578j 0.0083768+0.0706156j 0.073914+0.0489257j 0.00206383+0.0844038j -0.0243714+0.0639952j 
-0.0102131-0.000288143j -0.00686601-0.00178j -0.00522814+0.0215376j 0.0119159-0.0218206j 0.00317053-0.00316518j 0.0257686-0.0318772j -0.0170379-0.00372824j -0.000477178-0.0263265j 0.00158966+0.00110748j -0.0493723-0.0276757j -0.0166327-0.00347294j -0.0165198+0.0107951j -0.0468743-0.0088725j 0.0055137-0.00810487j 0.0133257+0.0137317j 0.0507345-0.00751298j 0.0513152-0.00293811j 0.0107363+0.00550789j 0.0195974-0.00436848j -0.0424869+0.0105883j -0.0299553-0.0573324j 0.0202068-0.00935899j 0.0364032+0.0447914j 0.0282957+0.0278215j -0.000100815-0.00979255j 0.033828+0.0636436j 0.0614244+0.0580929j 0.0152111-0.00543513j -0.0168997-0.0274116j -0.00888635-0.0108301j -0.0312314-0.00433993j -0.0237779+0.0153389j 0.0247938-0.0389884j 0.0182459-0.0567513j -0.0441586+0.0489964j -0.0453186-0.0335571j -0.00026762+0.0165696j 0.00530969+0.0592869j 0.0159714+0.0684364j -0.00630187-0.0061789j -0.0294419+0.0224795j -0.0218338-0.00383458j -0.0330308-0.063164j 0.0577542-0.0174539j -0.0184413-0.0335936j 0.0243762+0.0686659j -0.0280024-0.0378199j 0.0133021+0.0736322j -0.0344394+0.0275907j 0.0309602+0.0309254j -0.0183233+0.083981j -0.0491702+0.00845026j 
-0.00669338+0.018834j 0.013622+0.0037594j 0.0101422+0.0260513j -0.0220362+0.0136006j -0.0220235-0.00367243j 0.00608084-0.0310346j -0.0200957+0.00306666j -0.00828817-0.00402947j 0.0223133-0.0052985j 0.0150621-0.0267812j 0.0138825+0.0322811j -0.06471+0.0738558j -0.0161985+0.0316959j 0.0263416+0.00980343j 0.0161573+0.0415701j -0.00495891-0.0504168j 0.0267318-0.0119477j 0.0441392-0.0395923j 0.0153942-0.0188797j -0.0636712+0.068919j -0.0019952-0.0361601j 0.00297681-0.028671j -0.0285288-0.00813938j 0.0508529-0.00650782j -0.0058028+0.00472532j -0.0117624-0.0812362j -0.0539265-0.0414647j 0.0364097-0.0272918j -0.0231888-0.0160218j 0.04631-0.0128108j -0.00551625-0.0536951j -0.00213944-0.0027119j -0.0760758+0.0455401j 0.0278072-0.0506071j 0.00299906-0.00342352j 0.0262737-0.00279072j 0.0456493-0.0153314j -0.00861803+0.0546761j 0.003047+0.0274357j 0.0318602+0.00490934j -0.0490522-0.0144826j 0.0542491-0.0448211j -0.056707-0.00109931j 0.00937328+0.0201568j 0.0437099+0.001815j -0.0353158-0.0129573j 0.0596929-0.0296011j -0.0471078-0.0110972j 0.0397261+0.0655205j 0.0429982-0.0140375j -0.0349562+0.0738107j 0.0104559+0.0241384j 
-0.000775596+0.0132043j -0.0343912-0.00600952j -0.0136311-0.0132379j -0.0159071+0.00984701j 0.0107023+0.0240162j -0.0060965+0.00352511j -0.00777868-0.0401642j 0.0178466+0.0147695j 0.051461+0.000308781j 0.0420559-0.00493392j -0.0558103-0.0241191j 0.00215424+0.0127456j 0.0165406+0.0275416j 0.0122843-0.0415546j 0.0410037+0.0486145j -0.0301544-0.0357411j 0.014285+0.0546857j -0.00901281-0.0258902j -0.0010628-0.0211533j -0.0119645-0.107286j -0.0382139+0.0186764j 0.0111133-0.0303746j 0.0287411+0.055664j 0.00119433+0.0459052j 0.00808263-0.0141584j -0.0714506+0.0550917j -0.0184244+0.0356209j -0.0559811-0.0317565j -0.0141955-0.0209737j -0.0356247-0.0147899j 0.061777-0.0260783j -0.0199792+0.0792982j -0.0036957-0.0031955j -0.0261481-0.0511152j 0.000796899+0.0103142j 0.0227626+0.0119539j -0.0326591-0.0123245j -0.00639401+0.0798191j 0.0134763+0.00608854j 0.0224466-0.00574302j -0.0478169+0.0364904j -0.0463256-0.0221443j 0.0511982+0.102707j 0.0127095+0.008815j -0.0302796+0.00296044j 0.0414321+0.00328389j 0.102456+0.0230388j -0.0525259+0.0377032j -0.00103356-0.0139717j 0.0642889+0.0258569j 0.0596074-0.0202661j 0.00843901-0.0577974j 
0.0236037+0.00211912j -0.0117693+0.00231236j -0.00504058+0.0214406j 0.00906161-0.0192734j 0.00530204-0.0205683j -0.0146104-0.0148708j 0.0138565+0.0115549j 0.0325997+0.0332479j -0.0182614-0.0104582j 0.0465796+0.00995906j -0.0420993+0.024805j 0.0155835-0.0159085j 0.0679271-0.027302j 0.00519426+0.0343034j -0.062375-0.0489054j -0.0436475-0.0161127j 0.0270892-0.00793527j 0.0130893+0.0466884j -0.0467552+0.0298489j 0.0488997-0.00267712j 0.0192314-0.00721183j -0.0414515-0.0478158j 0.0761072+0.0356426j -0.00268806+0.0186533j 0.028601+0.0168883j 0.0115522+0.0343169j 0.0595205+0.0654398j -0.0141203-0.0171496j 0.041261-0.022735j -0.0622409-0.0334j -0.00471885+0.0584365j -0.011787+0.0177559j 0.0414922-0.0557066j 0.0389661+0.0922439j -0.0608912+0.0723123j -0.0091913+0.017981j -0.0472134-0.038359j 0.0495787+0.0214869j -0.00992806-0.0322407j -0.0501944-0.038392j 0.0163761+0.0558717j -0.107266-0.0118525j -0.00682881+0.0212234j -0.0107773-0.0268438j 0.0291793-0.0243819j -0.0528217-0.0324243j -0.124212-0.0374269j 0.0466107+0.0422063j -0.0415903+0.0507897j -0.0608942+0.0222864j 0.0733629+0.0211728j -0.000846617+0.0279608j 
0.00578082+0.0315023j 0.0102335-0.0201198j 0.0299252+0.0407214j 0.00974662+0.00219589j -0.00776469-0.0302728j 0.0849403+0.0369819j -0.00226089+0.0216773j -0.00515193+0.00333053j 0.0351229-0.00494812j 0.0014597+0.0205705j 0.0351645-0.00398167j -0.0337926+0.0538054j 0.0488528+0.00280724j -0.0456367+0.0612611j 0.0368289-0.00582663j -0.0139452+0.0157611j -0.00630226+0.00260015j 0.0246955+0.0364733j -0.0304103+0.0901996j -0.0493767+0.125503j 0.060205+0.0105089j 0.00358235+0.00695775j -0.0339587-0.00909318j -0.00375693-0.0604992j 0.0372197+0.0288339j 0.0300201+0.00984811j -0.114557-0.0710434j 0.00302356-0.0429219j 0.0124819+0.037369j -0.0417227+0.0146699j -0.00886081-0.00266592j 0.0915459-0.0710325j -0.0195356+0.0079811j 0.0141433+0.0119816j 0.092633+0.0824582j -0.00212284-0.0256055j -0.0452241+0.0428088j 0.0585207+0.0753878j -0.0268574+0.0207116j -0.0193283+0.0188346j -0.0181993+0.0580865j -0.0671775+0.0684244j 0.0251288+0.0156496j -0.122569-0.0463189j 0.00734848-0.102547j -0.0187877+0.0491374j -0.0408033-0.015016j 0.0451855+0.000803935j -0.00337876+0.0120475j 0.0689786+0.127953j -0.123979+0.0344808j -0.00207246+0.0477613j 
0.00294221-0.0037752j -0.00170343-0.002291j -0.00147952+0.0109628j 0.00148806-0.015426j -0.0237754+0.0155674j 0.021914+0.0189124j 0.0145546-0.000642281j 0.0405316-0.0607919j -0.00480382+0.0245907j -0.0437226-0.00621286j 0.0418398+0.00570318j 0.00353827-0.0391506j 0.00468925-0.0254415j 0.0525834-0.0110008j 0.043786-0.0503625j -0.0344748+0.0503706j -0.0138583-0.030497j 0.0684646+0.0644722j 0.0295929+0.0118507j 0.0340729-0.0191237j -0.0220672+0.0966162j -0.021785+0.0590742j 0.0138661-0.0827385j 0.0587944-0.048394j 0.0149936+0.0837476j 0.0304539+0.0329666j 0.0895486-0.0390576j 0.00599801+0.00987146j -0.0270032-0.0109089j 0.0311641+0.0059416j -0.0121358-0.0137658j -0.0174009-0.0529256j 0.0162001+0.00878416j -0.0581203+0.0560047j -0.0103889-0.00868141j 0.0117226-0.00919451j 0.0155785+0.033624j -0.0639094+0.0930758j 0.0271433-0.0214636j 0.0798311-0.0477355j 0.00401966-0.0563984j 0.0584316+0.0236165j 0.0930096-0.00803887j -0.0286615-0.0228857j 0.055173-0.0627836j 0.0340518+0.0372909j 0.0857979+0.060351j -0.0338835+0.0232777j 0.0618928-0.0335485j -0.00819789-0.00957892j -0.0300147+0.0247232j 0.0150874+0.0216982j 
