-0.033415-0j -0.00590699-0j -0.000492249-0j -0.029055-0j -0.0048425-0j -0.00296541-0j -0.000605312-0j -3.56683e-05-0j -0.0182609-0j -0.0184501-0j -0.00294684-0j -0.00297737-0j -0.00240608-0j -0.00243102-0j -0.000347288-0j -0.00030076-0j -0.000350887-0j -0.000303877-0j -3.54449e-05-0j -3.58123e-05-0j -1.61783e-06-0j -1.6346e-06-0j -0.0135256-0j -0.0167371-0j -0.0097633-0j -0.00213859-0j -0.00264637-0j -0.0016907-0j -0.00154371-0j -0.00112713-0j -0.000244032-0j -0.00209214-0j -0.00139476-0j -0.000281783-0j -0.00122041-0j -0.000301974-0j -9.96255e-05-0j -0.000813608-0j -2.3482e-05-0j -0.000176151-0j -2.49064e-05-0j -0.000348689-0j -0.00012328-0j -0.000203402-0j -2.90574e-05-0j -2.07553e-06-0j -7.19135e-05-0j -3.08201e-05-0j -1.69502e-05-0j -7.73505e-08-0j -2.56834e-06-0j -1.79784e-05-0j -9.57163e-08-0j -1.4982e-06-0j -5.58345e-08-0j 
-0.00212714-0j 0.0361792-0j -3.13357e-05-0j 0.00179694-0j 0.000299489-0j -0.0354745-0j -0.00360188-0j 2.20595e-06-0j 0.00114381-0j 0.00117403-0j 0.000184581-0j 0.000189458-0j -0.0145004-0j -0.0148835-0j 2.17531e-05-0j -0.00364394-0j 2.23278e-05-0j -0.00374021-0j -0.000213611-0j -0.000219255-0j 1.01336e-07-0j 1.04014e-07-0j -0.000861017-0j -0.00101852-0j -0.000569191-0j -0.000136139-0j -0.000161042-0j 0.0103552-0j -8.9997e-05-0j -7.17514e-05-0j -1.55346e-05-0j 0.0122495-0j -8.48765e-05-0j 0.00172587-0j 0.00684552-0j -1.83763e-05-0j 0.00184325-0j -4.74326e-05-0j -1.49482e-06-0j -1.02695e-05-0j 0.000306679-0j 0.00204158-0j 0.00218042-0j 0.00114092-0j -1.76826e-06-0j 1.27122e-05-0j 0.00121851-0j 0.000362779-0j -9.88179e-07-0j -4.924e-09-0j 1.50376e-05-0j 0.000202736-0j -5.82472e-09-0j 8.40366e-06-0j -3.2551e-09-0j 
-0.000214874-0j 0.00363152-0j -0.0433974-0j -0.000186837-0j 0.00297709-0j -1.90689e-05-0j -0.017415-0j -0.00633324-0j 0.00034851-0j -0.000118643-0j -0.00537688-0j 0.00183044-0j 4.59202e-05-0j -1.56325e-05-0j 0.0296541-0j -0.000548776-0j -0.0100951-0j 0.000186819-0j 0.00927439-0j -0.00315726-0j 0.0014259-0j -0.000485415-0j -8.69758e-05-0j 0.000319428-0j -6.27825e-05-0j 0.00131477-0j -0.00482863-0j -1.0872e-05-0j 0.00094905-0j -7.24798e-06-0j -0.00702085-0j 3.99285e-05-0j 2.6619e-05-0j 0.000173236-0j -7.84781e-06-0j 0.0257849-0j -6.40637e-07-0j -5.23187e-06-0j -0.00207021-0j -0.00506792-0j -0.000716563-0j -0.000636228-0j 2.35281e-06-0j 0.000125048-0j 0.00760306-0j -0.000368529-0j -4.62436e-07-0j 0.00263166-0j -0.00149435-0j -3.45272e-05-0j 0.00135346-0j -0.000517242-0j 0.000126805-0j -0.000266019-0j -2.4923e-05-0j 
-0.000202585-0j 0.00342383-0j -0.0409155-0j -0.000176151-0j 0.00280683-0j -1.79784e-05-0j -0.016419-0j -0.00597103-0j 0.000108934-0j -0.000111857-0j -0.00168066-0j 0.00172576-0j 1.43533e-05-0j -1.47385e-05-0j 0.00926903-0j -0.000171531-0j -0.00951776-0j 0.000176134-0j 0.00289891-0j -0.0029767-0j 0.000445694-0j -0.000457654-0j 0.000409138-0j 9.9844e-05-0j -5.91919e-05-0j -0.00618473-0j -0.00150929-0j 5.11422e-05-0j 0.000894773-0j 3.40948e-05-0j 0.0330264-0j 1.24805e-05-0j 8.32034e-06-0j -0.00081491-0j -7.39898e-06-0j 0.0080596-0j 3.01359e-06-0j -4.93266e-06-0j 0.00973833-0j -0.00477808-0j 0.00337074-0j -0.000198867-0j 7.35421e-07-0j 0.000117897-0j 0.0023765-0j 0.00173358-0j -4.35989e-07-0j 0.000822579-0j -0.00140889-0j 0.000162417-0j 0.000423054-0j -0.000487661-0j 3.96355e-05-0j -0.000250805-0j -2.34976e-05-0j 
-0.00141809-0j 0.0241195-0j -2.08905e-05-0j 0.00119796-0j 0.00019966-0j -0.0236497-0j -0.00240125-0j 1.47063e-06-0j -0.000774971-0j 0.000782684-0j -0.00012506-0j 0.000126305-0j 0.00982454-0j -0.00992233-0j -1.47385e-05-0j 0.0024689-0j 1.48852e-05-0j -0.00249347-0j 0.000144729-0j -0.00014617-0j -6.86589e-08-0j 6.93423e-08-0j 0.00286397-0j 0.000690082-0j -0.000379461-0j 0.000452833-0j 0.000109112-0j -0.0344442-0j -5.9998e-05-0j 0.000238664-0j 5.16722e-05-0j -0.00829944-0j 5.75068e-05-0j -0.0057407-0j 0.00456368-0j 1.24506e-05-0j -0.00613112-0j -3.16217e-05-0j 4.97216e-06-0j -6.8463e-06-0j -0.0010201-0j -0.00138324-0j -0.00147731-0j 0.000760613-0j 1.19806e-06-0j -4.22842e-05-0j 0.000812342-0j -0.000245795-0j -6.58786e-07-0j 1.63785e-08-0j -1.01885e-05-0j 0.000135157-0j 3.94645e-09-0j 5.60244e-06-0j -2.17007e-09-0j 
0.000307026-0j -0.00518897-0j 0.0620093-0j -0.000259365-0j 0.00413277-0j -2.64714e-05-0j -0.0241753-0j -0.00879175-0j -0.000165095-0j -0.000169456-0j 0.00254711-0j 0.0026144-0j -2.17531e-05-0j -2.23278e-05-0j -0.0140476-0j 0.000259964-0j -0.0144187-0j 0.000266831-0j -0.00439342-0j -0.00450949-0j -0.000675468-0j -0.000693313-0j 0.000124277-0j 0.00014701-0j 8.21556e-05-0j -0.00187863-0j -0.00222228-0j 1.55346e-05-0j -0.0012419-0j 1.03564e-05-0j 0.0100319-0j 1.83763e-05-0j 1.22509e-05-0j -0.000247532-0j 1.02695e-05-0j 0.011867-0j 9.15387e-07-0j 6.8463e-06-0j 0.00295805-0j 0.00663176-0j 0.00102387-0j -0.000292811-0j 1.08283e-06-0j -0.000163635-0j 0.00349915-0j 0.00052658-0j 6.05133e-07-0j 0.00121117-0j 0.00195547-0j 4.93348e-05-0j 0.000622905-0j 0.000676851-0j 5.83594e-05-0j 0.000348106-0j 3.26137e-05-0j 
0.0008774-0j -0.0149232-0j 1.29253e-05-0j -0.00224531-0j -0.000374219-0j 0.0443262-0j 0.00450064-0j -2.75638e-06-0j 0.000479489-0j 0.00231313-0j 7.73771e-05-0j 0.00037328-0j -0.00607862-0j -0.0293243-0j 9.11898e-06-0j -0.00152755-0j 4.39915e-05-0j -0.00736918-0j -8.95466e-05-0j -0.000431988-0j 4.24806e-08-0j 2.04933e-07-0j 0.000355151-0j -0.00129341-0j 0.000298298-0j 5.61543e-05-0j -0.000204506-0j -0.00427131-0j 4.7165e-05-0j 2.95959e-05-0j 6.40771e-06-0j 0.0155555-0j -0.000107784-0j -0.000711886-0j -0.00358755-0j -2.3336e-05-0j -0.000760301-0j 2.48581e-05-0j 6.16582e-07-0j 5.38195e-06-0j -0.000126499-0j 0.00259259-0j 0.00276891-0j -0.000597925-0j -2.2455e-06-0j -5.24353e-06-0j -0.00063859-0j 0.00046069-0j 5.17878e-07-0j 2.03105e-09-0j 1.90962e-05-0j -0.000106249-0j -7.39678e-09-0j -4.40414e-06-0j 1.70591e-09-0j 
-0.0017368-0j 0.0295402-0j -2.55855e-05-0j -2.14957e-05-0j -3.58261e-06-0j 0.000424361-0j 4.30872e-05-0j -2.63885e-08-0j 0.00281697-0j 0.000931677-0j 0.000454587-0j 0.000150349-0j -0.0357116-0j -0.0118112-0j 5.35736e-05-0j -0.0089743-0j 1.77188e-05-0j -0.00296813-0j -0.000526082-0j -0.000173995-0j 2.49571e-07-0j 8.25425e-08-0j 0.0014023-0j 3.67504e-05-0j 0.00099326-0j 0.000221724-0j 5.81075e-06-0j -0.0168652-0j 0.000157048-0j 0.000116859-0j 2.53007e-05-0j -0.000441988-0j 3.06254e-06-0j -0.00281086-0j -0.0119457-0j 6.63059e-07-0j -0.00300203-0j 8.27716e-05-0j 2.43456e-06-0j 1.79206e-05-0j -0.000499477-0j -7.36647e-05-0j -7.86746e-05-0j -0.00199095-0j 6.38028e-08-0j -2.07039e-05-0j -0.00212635-0j -1.30899e-05-0j 1.72441e-06-0j 8.01953e-09-0j -5.42592e-07-0j -0.000353782-0j 2.10169e-10-0j -1.46647e-05-0j 5.68027e-09-0j 
0.000204684-0j -0.00345931-0j 0.0413395-0j -0.00017291-0j 0.00275518-0j -1.76476e-05-0j -0.0161169-0j -0.00586117-0j 0.000111857-0j -0.000112971-0j -0.00172576-0j 0.00174294-0j 1.47385e-05-0j -1.48852e-05-0j 0.00951776-0j -0.000176134-0j -0.00961249-0j 0.000177888-0j 0.0029767-0j -0.00300633-0j 0.000457654-0j -0.000462209-0j -0.000413378-0j -9.96047e-05-0j 5.47704e-05-0j 0.00624882-0j 0.00150567-0j -5.16722e-05-0j -0.000827937-0j -3.44481e-05-0j -0.0333686-0j -1.24506e-05-0j -8.30039e-06-0j 0.000823355-0j 6.8463e-06-0j -0.00804028-0j -3.04481e-06-0j 4.5642e-06-0j -0.00983925-0j 0.00442117-0j -0.00340567-0j 0.00019839-0j -7.33658e-07-0j -0.00010909-0j -0.0023708-0j -0.00175154-0j 4.03422e-07-0j -0.000820608-0j 0.00130365-0j -0.0001641-0j -0.00042204-0j 0.000451234-0j -3.95405e-05-0j 0.00023207-0j 2.17424e-05-0j 
-0.000126642-0j 0.00214034-0j -0.0255775-0j 0.000324083-0j -0.005164-0j 3.30766e-05-0j 0.0302076-0j 0.0109855-0j -6.92082e-05-0j -0.000333872-0j 0.00106776-0j 0.00515105-0j -9.11898e-06-0j -4.39915e-05-0j -0.00588881-0j 0.000108978-0j -0.0284086-0j 0.000525727-0j -0.00184174-0j -0.00888485-0j -0.000283159-0j -0.00136601-0j -5.12617e-05-0j 0.000186688-0j -4.30556e-05-0j 0.000774896-0j -0.00282206-0j -6.40771e-06-0j 0.000650849-0j -4.2718e-06-0j -0.00413794-0j 2.3336e-05-0j 1.55573e-05-0j 0.000102102-0j -5.38195e-06-0j 0.0150698-0j -3.77578e-07-0j -3.58796e-06-0j -0.00122013-0j -0.00347553-0j -0.000422327-0j -0.000371839-0j 1.37508e-06-0j 8.57569e-05-0j 0.00444355-0j -0.000217203-0j -3.17134e-07-0j 0.00153805-0j -0.00102481-0j -2.03496e-05-0j 0.000791023-0j -0.000354719-0j 7.41102e-05-0j -0.000182433-0j -1.7092e-05-0j 
-0.0004342-0j 0.00738505-0j -6.39638e-06-0j -0.000377546-0j -6.29243e-05-0j 0.00745338-0j 0.000756775-0j -4.63481e-07-0j 0.00164577-0j -0.000239744-0j 0.000265585-0j -3.86886e-05-0j -0.020864-0j 0.00303931-0j 3.12995e-05-0j -0.00524309-0j -4.55949e-06-0j 0.000763777-0j -0.000307355-0j 4.47733e-05-0j 1.45808e-07-0j -2.12403e-08-0j -0.000175754-0j 0.00150844-0j -0.000126866-0j -2.77892e-05-0j 0.000238505-0j 0.00211375-0j -2.00593e-05-0j -1.46462e-05-0j -3.17099e-06-0j -0.0181416-0j 0.000125703-0j 0.000352292-0j 0.00152579-0j 2.72155e-05-0j 0.000376251-0j -1.05722e-05-0j -3.05129e-07-0j -2.28894e-06-0j 6.26007e-05-0j -0.0030236-0j -0.00322924-0j 0.000254298-0j 2.61882e-06-0j 2.59488e-06-0j 0.000271592-0j -0.00053728-0j -2.20254e-07-0j -1.00511e-09-0j -2.22709e-05-0j 4.51875e-05-0j 8.62649e-09-0j 1.87308e-06-0j -7.25524e-10-0j 
0.000250686-0j -0.00423678-0j 0.0506303-0j 3.10264e-06-0j -4.9438e-05-0j 3.16661e-07-0j 0.000289195-0j 0.000105171-0j -0.000406595-0j -0.000134476-0j 0.00627303-0j 0.00207472-0j -5.35736e-05-0j -1.77188e-05-0j -0.0345965-0j 0.000640239-0j -0.0114423-0j 0.000211751-0j -0.0108201-0j -0.00357861-0j -0.00166354-0j -0.000550196-0j -0.000202405-0j -5.30447e-06-0j -0.000143365-0j 0.00305966-0j 8.0185e-05-0j -2.53007e-05-0j 0.00216717-0j -1.68671e-05-0j -0.0163385-0j -6.63059e-07-0j -4.42039e-07-0j 0.000403145-0j -1.79206e-05-0j -0.000428187-0j -1.49086e-06-0j -1.19471e-05-0j -0.00481767-0j -0.0115727-0j -0.00166754-0j 1.05653e-05-0j -3.90711e-08-0j 0.00028555-0j -0.000126257-0j -0.000857621-0j -1.05598e-06-0j -4.37016e-05-0j -0.00341238-0j -8.03497e-05-0j -2.24758e-05-0j -0.00118113-0j -2.10574e-06-0j -0.000607457-0j -5.69121e-05-0j 
0.00143279-0j -0.0243694-0j 2.1107e-05-0j -0.00243848-0j -0.000406413-0j 0.0481396-0j 0.00488782-0j -2.99351e-06-0j -0.000770441-0j 0.000724514-0j -0.000124329-0j 0.000116918-0j 0.00976712-0j -0.00918488-0j -1.46524e-05-0j 0.00245447-0j 1.37789e-05-0j -0.00230815-0j 0.000143883-0j -0.000135306-0j -6.82577e-08-0j 6.41887e-08-0j -0.00115684-0j 0.00138215-0j 0.00162093-0j -0.000182913-0j 0.000218537-0j 0.0139131-0j 0.000256291-0j -9.64035e-05-0j -2.0872e-05-0j -0.0166228-0j 0.000115179-0j 0.00231884-0j -0.0194945-0j 2.4937e-05-0j 0.00247655-0j 0.000135077-0j -2.00841e-06-0j 2.92451e-05-0j 0.000412048-0j -0.00277046-0j -0.00295888-0j -0.00324908-0j 2.39956e-06-0j 1.70799e-05-0j -0.00347005-0j -0.000492298-0j 2.81411e-06-0j -6.61577e-09-0j -2.04064e-05-0j -0.000577346-0j 7.90426e-09-0j -2.39317e-05-0j 9.26978e-09-0j 
0.0008774-0j -0.0149232-0j 1.29253e-05-0j -0.000741198-0j -0.000123533-0j 0.0146325-0j 0.0014857-0j -9.09907e-07-0j -0.00237437-0j -0.000484261-0j -0.000383162-0j -7.81473e-05-0j 0.0301006-0j 0.00613913-0j -4.51561e-05-0j 0.00756425-0j -9.20975e-06-0j 0.00154276-0j 0.000443424-0j 9.04379e-05-0j -2.10358e-07-0j -4.29034e-08-0j 0.000355151-0j 0.00211428-0j 0.000234779-0j 5.61543e-05-0j 0.000334298-0j -0.00427131-0j 3.71219e-05-0j 2.95959e-05-0j 6.40771e-06-0j -0.025428-0j 0.00017619-0j -0.000711886-0j -0.00282363-0j 3.81463e-05-0j -0.000760301-0j 1.95649e-05-0j 6.16582e-07-0j 4.23593e-06-0j -0.000126499-0j -0.00423799-0j -0.00452622-0j -0.000470605-0j 3.67063e-06-0j -5.24353e-06-0j -0.000502611-0j -0.000753072-0j 4.07603e-07-0j 2.03105e-09-0j -3.12158e-05-0j -8.36244e-05-0j 1.20912e-08-0j -3.46633e-06-0j 1.34266e-09-0j 
6.26714e-05-0j -0.00105919-0j 0.0126576-0j 5.4494e-05-0j -0.000868318-0j 5.56177e-06-0j 0.00507937-0j 0.00184719-0j -0.000237547-0j 3.46041e-05-0j 0.00366492-0j -0.000533879-0j -3.12995e-05-0j 4.55949e-06-0j -0.0202125-0j 0.000374049-0j 0.00294441-0j -5.44888e-05-0j -0.00632148-0j 0.000920868-0j -0.000971899-0j 0.000141579-0j 2.53679e-05-0j -0.000217724-0j 1.83115e-05-0j -0.000383474-0j 0.00329123-0j 3.17099e-06-0j -0.000276806-0j 2.114e-06-0j 0.00204775-0j -2.72155e-05-0j -1.81437e-05-0j -5.05272e-05-0j 2.28894e-06-0j -0.0175751-0j 1.86853e-07-0j 1.52596e-06-0j 0.00060381-0j 0.00147814-0j 0.000208997-0j 0.000433657-0j -1.60369e-06-0j -3.64724e-05-0j -0.00518229-0j 0.000107488-0j 1.34877e-07-0j -0.00179375-0j 0.000435853-0j 1.00704e-05-0j -0.00092253-0j 0.000150862-0j -8.6431e-05-0j 7.75887e-05-0j 7.26921e-06-0j 
-0.000457783-0j 0.00778615-0j -6.74378e-06-0j 0.00156388-0j 0.000260646-0j -0.0308735-0j -0.00313472-0j 1.91984e-06-0j -0.000250173-0j -0.00267351-0j -4.03715e-05-0j -0.000431436-0j 0.00317152-0j 0.0338929-0j -4.75782e-06-0j 0.000797-0j -5.08452e-05-0j 0.00851725-0j 4.67209e-05-0j 0.000499289-0j -2.21642e-08-0j -2.36861e-07-0j 0.000369617-0j 0.000900869-0j 0.00173303-0j 5.84415e-05-0j 0.00014244-0j -0.00444529-0j 0.000274016-0j 3.08014e-05-0j 6.6687e-06-0j -0.0108345-0j 7.50724e-05-0j -0.000740881-0j -0.0208427-0j 1.62536e-05-0j -0.000791268-0j 0.000144419-0j 6.41696e-07-0j 3.12677e-05-0j -0.000131651-0j -0.00180575-0j -0.00192856-0j -0.00347379-0j 1.56401e-06-0j -5.45711e-06-0j -0.00371004-0j -0.000320874-0j 3.00873e-06-0j 2.11377e-09-0j -1.33006e-05-0j -0.000617276-0j 5.1519e-09-0j -2.55868e-05-0j 9.91088e-09-0j 
-0.000206805-0j 0.00349516-0j -0.0417679-0j 0.000351964-0j -0.00560825-0j 3.59221e-05-0j 0.0328064-0j 0.0119306-0j 0.000111204-0j -0.000104575-0j -0.00171567-0j 0.0016134-0j 1.46524e-05-0j -1.37789e-05-0j 0.00946213-0j -0.000175105-0j -0.00889808-0j 0.000164667-0j 0.0029593-0j -0.00278289-0j 0.000454979-0j -0.000427857-0j 0.000166976-0j -0.000199496-0j -0.00023396-0j -0.00252409-0j 0.00301568-0j 2.0872e-05-0j 0.00353666-0j 1.39147e-05-0j 0.0134786-0j -2.4937e-05-0j -1.66247e-05-0j -0.000332578-0j -2.92451e-05-0j -0.0161037-0j 1.22989e-06-0j -1.94967e-05-0j 0.00397437-0j -0.0188857-0j 0.00137565-0j 0.000397351-0j -1.46943e-06-0j 0.000465996-0j -0.00474842-0j 0.000707501-0j -1.72328e-06-0j -0.00164358-0j -0.00556875-0j 6.62851e-05-0j -0.000845294-0j -0.00192752-0j -7.91948e-05-0j -0.000991325-0j -9.28763e-05-0j 
-0.000126642-0j 0.00214034-0j -0.0255775-0j 0.000106983-0j -0.00170468-0j 1.09189e-05-0j 0.00997182-0j 0.00362641-0j 0.000342711-0j 6.98971e-05-0j -0.00528741-0j -0.00107839-0j 4.51561e-05-0j 9.20975e-06-0j 0.0291607-0j -0.000539644-0j 0.00594743-0j -0.000110062-0j 0.00912005-0j 0.00186007-0j 0.00140217-0j 0.000285977-0j -5.12617e-05-0j -0.000305171-0j -3.38875e-05-0j 0.000774896-0j 0.00461311-0j -6.40771e-06-0j 0.00051226-0j -4.2718e-06-0j -0.00413794-0j -3.81463e-05-0j -2.54309e-05-0j 0.000102102-0j -4.23593e-06-0j -0.024634-0j -3.77578e-07-0j -2.82396e-06-0j -0.00122013-0j -0.00273546-0j -0.000422327-0j 0.000607831-0j -2.24779e-06-0j 6.74961e-05-0j -0.0072637-0j -0.000217203-0j -2.49605e-07-0j -0.00251419-0j -0.000806592-0j -2.03496e-05-0j -0.00129305-0j -0.000279187-0j -0.000121145-0j -0.000143586-0j -1.34525e-05-0j 
-0.000626845-0j 0.0106616-0j -9.2343e-06-0j 0.00160413-0j 0.000267355-0j -0.0316682-0j -0.00321541-0j 1.96925e-06-0j 0.0010167-0j -0.00165258-0j 0.000164069-0j -0.000266684-0j -0.012889-0j 0.0209503-0j 1.93357e-05-0j -0.003239-0j -3.14291e-05-0j 0.00526479-0j -0.000189873-0j 0.000308627-0j 9.0075e-08-0j -1.46412e-07-0j -0.000253732-0j -0.00274252-0j -0.000213114-0j -4.01186e-05-0j -0.000433631-0j 0.00305157-0j -3.36963e-05-0j -2.11444e-05-0j -4.57789e-06-0j 0.0329836-0j -0.000228544-0j 0.000508596-0j 0.00256307-0j -4.94812e-05-0j 0.000543185-0j -1.77595e-05-0j -4.40507e-07-0j -3.84505e-06-0j 9.03751e-05-0j 0.00549727-0j 0.00587114-0j 0.000427178-0j -4.76133e-06-0j 3.74616e-06-0j 0.000456231-0j 0.00097684-0j -3.6999e-07-0j -1.45105e-09-0j 4.04912e-05-0j 7.59076e-05-0j -1.5684e-08-0j 3.14647e-06-0j -1.21876e-09-0j 
6.60753e-05-0j -0.00111672-0j 0.013345-0j -0.000225726-0j 0.00359676-0j -2.30381e-05-0j -0.0210398-0j -0.00765148-0j 3.61093e-05-0j 0.000385888-0j -0.000557102-0j -0.00595355-0j 4.75782e-06-0j 5.08452e-05-0j 0.00307248-0j -5.6859e-05-0j 0.0328345-0j -0.000607632-0j 0.000960925-0j 0.0102691-0j 0.000147738-0j 0.00157882-0j -5.33496e-05-0j -0.000130029-0j -0.000250141-0j 0.000806459-0j 0.00196558-0j -6.6687e-06-0j 0.00378126-0j -4.4458e-06-0j -0.00430648-0j -1.62536e-05-0j -1.08358e-05-0j 0.00010626-0j -3.12677e-05-0j -0.0104962-0j -3.92957e-07-0j -2.08451e-05-0j -0.00126983-0j -0.0201919-0j -0.000439528-0j 0.000258989-0j -9.57755e-07-0j 0.000498225-0j -0.00309497-0j -0.00022605-0j -1.84246e-06-0j -0.00107126-0j -0.00595388-0j -2.11784e-05-0j -0.000550953-0j -0.00206082-0j -5.16182e-05-0j -0.00105989-0j -9.92997e-05-0j 
9.04773e-05-0j -0.00152913-0j 0.0182735-0j -0.000231536-0j 0.00368934-0j -2.36311e-05-0j -0.0215814-0j -0.00784842-0j -0.000146748-0j 0.00023853-0j 0.00226406-0j -0.00368009-0j -1.93357e-05-0j 3.14291e-05-0j -0.0124865-0j 0.000231074-0j 0.0202961-0j -0.000375597-0j -0.00390519-0j 0.00634764-0j -0.000600405-0j 0.000975922-0j 3.66231e-05-0j 0.000395849-0j 3.07604e-05-0j -0.000553613-0j -0.00598385-0j 4.57789e-06-0j -0.000464989-0j 3.05192e-06-0j 0.00295629-0j 4.94812e-05-0j 3.29874e-05-0j -7.29449e-05-0j 3.84505e-06-0j 0.0319537-0j 2.69755e-07-0j 2.56337e-06-0j 0.000871706-0j 0.00248304-0j 0.000301725-0j -0.000788442-0j 2.9157e-06-0j -6.12677e-05-0j 0.00942203-0j 0.000155177-0j 2.26572e-07-0j 0.00326126-0j 0.000732161-0j 1.45384e-05-0j 0.00167727-0j 0.000253424-0j 0.000157142-0j 0.000130336-0j 1.22111e-05-0j 
0.000231263-0j -0.00393342-0j 3.40683e-06-0j -0.000988267-0j -0.000164711-0j 0.01951-0j 0.00198094-0j -1.21321e-06-0j -0.000124355-0j 0.00233969-0j -2.00678e-05-0j 0.000377566-0j 0.00157649-0j -0.0296609-0j -2.36501e-06-0j 0.000396171-0j 4.44965e-05-0j -0.00745377-0j 2.32239e-05-0j -0.000436947-0j -1.10173e-08-0j 2.07286e-07-0j 9.36101e-05-0j 0.000560158-0j -0.00298909-0j 1.4801e-05-0j 8.85687e-05-0j -0.00112582-0j -0.000472616-0j 7.80084e-06-0j 1.68893e-06-0j -0.00673688-0j 4.66798e-05-0j -0.000187637-0j 0.035949-0j 1.01065e-05-0j -0.000200399-0j -0.000249091-0j 1.62517e-07-0j -5.39297e-05-0j -3.33423e-05-0j -0.00112281-0j -0.00119917-0j 0.0059915-0j 9.72496e-07-0j -1.38208e-06-0j 0.00639898-0j -0.000199519-0j -5.18939e-06-0j 5.35339e-10-0j -8.2703e-06-0j 0.00106466-0j 3.20344e-09-0j 4.41316e-05-0j -1.70941e-08-0j 
-3.338e-05-0j 0.000564147-0j -0.00674167-0j 0.000142644-0j -0.00227292-0j 1.45585e-05-0j 0.0132958-0j 0.00483523-0j 1.79491e-05-0j -0.000337705-0j -0.000276923-0j 0.00521018-0j 2.36501e-06-0j -4.44965e-05-0j 0.00152726-0j -2.82633e-05-0j -0.0287348-0j 0.000531762-0j 0.000477654-0j -0.00898685-0j 7.34372e-05-0j -0.00138169-0j -1.35114e-05-0j -8.08518e-05-0j 0.000431438-0j 0.000204246-0j 0.0012222-0j -1.68893e-06-0j -0.00652182-0j -1.12595e-06-0j -0.00109067-0j -1.01065e-05-0j -6.73765e-06-0j 2.69117e-05-0j 5.39297e-05-0j -0.00652651-0j -9.95212e-08-0j 3.59531e-05-0j -0.000321601-0j 0.0348265-0j -0.000111316-0j 0.000161038-0j -5.9553e-07-0j -0.000859326-0j -0.00192444-0j -5.725e-05-0j 3.17784e-06-0j -0.000666109-0j 0.0102691-0j -5.3637e-06-0j -0.000342581-0j 0.00355446-0j -3.20961e-05-0j 0.00182807-0j 0.00017127-0j 
-4.41576e-05-0j 0.000751049-0j -6.50503e-07-0j 0.000264399-0j 4.40665e-05-0j -0.00521968-0j -0.000529977-0j 3.2458e-07-0j -2.41316e-05-0j -0.000966609-0j -3.89422e-06-0j -0.000155986-0j 0.000305924-0j 0.012254-0j -4.58938e-07-0j 7.68783e-05-0j -1.83831e-05-0j 0.00307942-0j 4.50668e-06-0j 0.000180518-0j -2.13795e-09-0j -8.56372e-08-0j -1.7874e-05-0j 0.000152307-0j 0.00233867-0j -2.82612e-06-0j 2.40818e-05-0j 0.000214966-0j 0.000369776-0j -1.4895e-06-0j -3.22486e-07-0j -0.00183175-0j 1.26922e-05-0j 3.58276e-05-0j -0.0281266-0j 2.74795e-06-0j 3.82642e-05-0j 0.000194889-0j -3.10312e-08-0j 4.21947e-05-0j 6.3664e-06-0j -0.000305292-0j -0.000326055-0j -0.00468776-0j 2.64421e-07-0j 2.63895e-07-0j -0.00500657-0j -5.42491e-05-0j 4.06019e-06-0j -1.02218e-10-0j -2.24869e-06-0j -0.000832994-0j 8.71015e-10-0j -3.45286e-05-0j 1.33744e-08-0j 
6.3736e-06-0j -0.000107719-0j 0.00128726-0j -3.81627e-05-0j 0.000608092-0j -3.89497e-06-0j -0.00355713-0j -0.00129361-0j 3.48309e-06-0j 0.000139518-0j -5.37379e-05-0j -0.00215251-0j 4.58938e-07-0j 1.83831e-05-0j 0.000296371-0j -5.4846e-06-0j 0.0118713-0j -0.00021969-0j 9.26905e-05-0j 0.00371279-0j 1.42507e-05-0j 0.000570824-0j 2.57988e-06-0j -2.19836e-05-0j -0.000337558-0j -3.89988e-05-0j 0.000332315-0j 3.22486e-07-0j 0.00510269-0j 2.1499e-07-0j 0.000208253-0j -2.74795e-06-0j -1.83197e-06-0j -5.13854e-06-0j -4.21947e-05-0j -0.00177456-0j 1.90026e-08-0j -2.81298e-05-0j 6.14066e-05-0j -0.0272483-0j 2.12547e-05-0j 4.37863e-05-0j -1.61924e-07-0j 0.000672338-0j -0.000523255-0j 1.09314e-05-0j -2.48635e-06-0j -0.000181115-0j -0.00803458-0j 1.02415e-06-0j -9.31477e-05-0j -0.00278102-0j -8.72692e-06-0j -0.00143028-0j -0.000134002-0j 
