-0.0063643-0j 0.0458029-0j -0.000726223-0j 0.0100214-0j -0.000633899-0j 0.00530066-0j -0.000592959-0j 0.00134384-0j -0.000410814-0j 0.00467474-0j -6.05186e-05-0j 0.00443485-0j 0.00118104-0j 0.000139915-0j -7.65506e-05-0j -5.24106e-05-0j 0.00105635-0j -4.94132e-05-0j 0.000723236-0j 0.00045263-0j 0.000162284-0j 0.000584343-0j 1.23797e-05-0j 0.000224914-0j -4.36755e-06-0j 0.000148145-0j -5.04322e-06-0j 0.00010439-0j 9.84199e-05-0j 1.74893e-05-0j 3.44327e-05-0j 1.16596e-05-0j 9.79379e-07-0j -1.40962e-07-0j 1.51199e-05-0j 4.34959e-06-0j 1.63117e-06-0j 1.03057e-06-0j 7.20132e-08-0j 9.99575e-08-0j 5.14571e-09-0j 1.38469e-10-0j 
-0.000303599-0j 0.00218496-0j -3.46433e-05-0j 0.000478057-0j 0.00440706-0j 0.000252859-0j -2.82861e-05-0j 6.41058e-05-0j -1.95972e-05-0j -0.0325002-0j -2.88694e-06-0j 0.000211557-0j 5.63396e-05-0j 6.6744e-06-0j 0.000532203-0j -2.50017e-06-0j -0.00734408-0j 0.000689428-0j 3.45008e-05-0j 2.1592e-05-0j 7.74151e-06-0j -0.00406252-0j 5.90553e-07-0j -0.00471246-0j -2.08347e-07-0j -0.00102994-0j 7.03644e-05-0j 4.97976e-06-0j -0.00137318-0j 8.34301e-07-0j -0.000239387-0j -0.000162678-0j 4.67197e-08-0j -6.72437e-09-0j -0.000105118-0j 2.0749e-07-0j -1.13404e-05-0j 4.91616e-08-0j -5.00657e-07-0j 4.76831e-09-0j 2.45468e-10-0j 6.60546e-12-0j 
0.00131489-0j 0.000200055-0j 0.000150041-0j 2.16566e-05-0j 0.000130967-0j 2.31519e-05-0j -0.0239977-0j 1.92932e-06-0j 8.48761e-05-0j 2.0418e-05-0j 1.25034e-05-0j -0.00379437-0j 2.55225e-06-0j 1.50393e-07-0j 1.58157e-05-0j -0.00425306-0j 2.2828e-06-0j -0.00199981-0j -0.000613877-0j 1.97697e-06-0j 2.32988e-07-0j -0.000499952-0j 1.06344e-08-0j 9.82362e-07-0j -0.00017676-0j -4.16627e-05-0j 1.04195e-06-0j -4.41899e-05-0j 2.12688e-07-0j -3.68249e-06-0j 1.50393e-07-0j 1.25327e-08-0j -1.37238e-07-0j 2.91235e-08-0j 2.17073e-08-0j 9.39956e-09-0j 1.4012e-09-0j 1.10775e-09-0j 4.41337e-11-0j 7.15048e-11-0j 2.75836e-12-0j 5.93504e-14-0j 
-0.000185915-0j -2.82861e-05-0j 0.0041035-0j -3.06206e-06-0j -1.85176e-05-0j 0.000633183-0j -1.73217e-05-0j -2.7279e-07-0j -1.20008e-05-0j -2.88694e-06-0j -0.0327293-0j -2.73879e-06-0j 6.98019e-05-0j -2.12643e-08-0j 0.000432547-0j 0.000296144-0j -3.2277e-07-0j -1.44347e-06-0j -2.20985e-07-0j -0.00517496-0j 6.37201e-06-0j 6.98019e-05-0j -1.50362e-09-0j -1.38898e-07-0j -0.00716026-0j -3.00723e-08-0j -0.00272744-0j -0.000590508-0j 5.81683e-06-0j 5.1414e-07-0j -0.00119338-0j -1.77203e-09-0j -9.90594e-11-0j -0.000774315-0j -5.68217e-05-0j -0.000149688-0j 3.83217e-08-0j -8.79005e-06-0j -6.24015e-12-0j -1.87173e-07-0j 7.54388e-11-0j -8.39167e-15-0j 
0.000375684-0j -0.00270374-0j 4.28689e-05-0j -0.000591565-0j -0.00545345-0j -0.000312898-0j 3.50023e-05-0j -7.93269e-05-0j 2.42503e-05-0j 0.0402169-0j 3.57241e-06-0j -0.000261789-0j -6.97166e-05-0j -8.25915e-06-0j -0.000658567-0j 3.0938e-06-0j 0.00908784-0j -0.000853123-0j -4.26926e-05-0j -2.67187e-05-0j -9.57963e-06-0j 0.00502712-0j -7.30773e-07-0j 0.00583137-0j 2.57816e-07-0j 0.00127449-0j -8.70715e-05-0j -6.16214e-06-0j 0.00169923-0j -1.03239e-06-0j 0.000296226-0j 0.000201303-0j -5.78127e-08-0j 8.32099e-09-0j 0.000130077-0j -2.56756e-07-0j 1.4033e-05-0j -6.08344e-08-0j 6.19532e-07-0j -5.90048e-09-0j -3.03751e-10-0j -8.17383e-12-0j 
3.79498e-05-0j -0.000552013-0j -0.000416646-0j 0.00279647-0j 3.77989e-06-0j 0.00614644-0j 3.53577e-06-0j 0.000763415-0j 2.44965e-06-0j -5.63396e-05-0j -6.98019e-05-0j -5.34484e-05-0j -0.031709-0j 0.000119853-0j -4.39184e-05-0j -3.00689e-05-0j 0.000294774-0j 2.94647e-07-0j 0.000201818-0j 0.00105516-0j -0.00887008-0j 0.000677582-0j 1.4174e-05-0j -2.71064e-06-0j -7.5693e-06-0j 8.41586e-05-0j -5.81683e-06-0j -0.00563454-0j -0.00264242-0j -0.00144144-0j 0.000120611-0j 9.98771e-06-0j 1.40361e-06-0j -4.07724e-07-0j -0.00166143-0j -0.000470759-0j -0.000179688-0j -0.000256578-0j 1.23958e-07-0j -2.77096e-05-0j -9.94862e-07-0j 3.58034e-10-0j 
0.000230059-0j 3.50023e-05-0j -0.00507782-0j 3.78911e-06-0j 2.29144e-05-0j -0.000783525-0j 2.14345e-05-0j 3.37561e-07-0j 1.48502e-05-0j 3.57241e-06-0j 0.0405004-0j 3.38908e-06-0j -8.63755e-05-0j 2.63133e-08-0j -0.000535249-0j -0.00036646-0j 3.99407e-07-0j 1.7862e-06-0j 2.73456e-07-0j 0.00640368-0j -7.88496e-06-0j -8.63755e-05-0j 1.86063e-09-0j 1.71878e-07-0j 0.00886037-0j 3.72126e-08-0j 0.00337504-0j 0.000730717-0j -7.19796e-06-0j -6.36215e-07-0j 0.00147673-0j 2.19277e-09-0j 1.2258e-10-0j 0.000958166-0j 7.03133e-05-0j 0.000185229-0j -4.74207e-08-0j 1.08771e-05-0j 7.7218e-12-0j 2.31615e-07-0j -9.33507e-11-0j 1.03842e-14-0j 
-0.000219149-0j 0.00157718-0j -2.50069e-05-0j 0.00034508-0j 0.00318118-0j 0.000182524-0j -2.0418e-05-0j 4.6274e-05-0j -1.4146e-05-0j -0.0234599-0j -2.0839e-06-0j 0.00015271-0j 4.0668e-05-0j 4.81784e-06-0j 0.000384164-0j -1.80471e-06-0j -0.00530124-0j 0.000497655-0j 2.4904e-05-0j 1.55859e-05-0j 5.58812e-06-0j -0.00293248-0j 4.26284e-07-0j -0.00340163-0j -1.50393e-07-0j -0.000743454-0j 5.07917e-05-0j 3.59458e-06-0j -0.000991216-0j 6.0223e-07-0j -0.000172798-0j -0.000117427-0j 3.37241e-08-0j -4.85391e-09-0j -7.58784e-05-0j 1.49774e-07-0j -8.18591e-06-0j 3.54867e-08-0j -3.61393e-07-0j 3.44195e-09-0j 1.77188e-10-0j 4.76807e-12-0j 
-2.23622e-06-0j 6.53955e-05-0j -2.55172e-07-0j -0.00101698-0j -2.22732e-07-0j 7.56806e-06-0j -2.08347e-07-0j 0.0086009-0j -1.44347e-07-0j 6.6744e-06-0j -2.12643e-08-0j 6.3319e-06-0j -0.000119853-0j -0.0306906-0j -2.68975e-08-0j -1.84155e-08-0j -0.000107199-0j -1.73623e-08-0j -7.33944e-05-0j 6.46246e-07-0j 0.00103866-0j 8.34301e-07-0j -0.0113299-0j 3.21122e-07-0j -1.53462e-09-0j 0.00094816-0j -1.77203e-09-0j -1.05936e-05-0j -9.98771e-06-0j -0.00383633-0j 4.91616e-08-0j -0.00255755-0j -0.00227099-0j -4.95297e-11-0j 9.67711e-05-0j -4.41399e-07-0j -0.00149284-0j -0.000226058-0j -0.000336143-0j -0.000231782-0j -4.21937e-05-0j -2.73658e-06-0j 
-0.000134201-0j -2.0418e-05-0j 0.00296206-0j -2.21031e-06-0j -1.33667e-05-0j 0.000457056-0j -1.25034e-05-0j -1.96911e-07-0j -8.66263e-06-0j -2.0839e-06-0j -0.0236253-0j -1.97697e-06-0j 5.03857e-05-0j -1.53494e-08-0j 0.000312229-0j 0.000213768-0j -2.32988e-07-0j -1.04195e-06-0j -1.59516e-07-0j -0.00373548-0j 4.59956e-06-0j 5.03857e-05-0j -1.08537e-09-0j -1.00262e-07-0j -0.00516855-0j -2.17073e-08-0j -0.00196877-0j -0.000426251-0j 4.19881e-06-0j 3.71126e-07-0j -0.000861425-0j -1.27912e-09-0j -7.15048e-11-0j -0.00055893-0j -4.10161e-05-0j -0.00010805-0j 2.76621e-08-0j -6.345e-06-0j -4.50438e-12-0j -1.35109e-07-0j 5.44546e-11-0j -6.05743e-15-0j 
-4.69605e-05-0j 0.000683081-0j 0.000515573-0j -0.00346046-0j -4.67738e-06-0j -0.00760584-0j -4.37529e-06-0j -0.000944678-0j -3.03129e-06-0j 6.97166e-05-0j 8.63755e-05-0j 6.6139e-05-0j 0.0392379-0j -0.00014831-0j 5.43462e-05-0j 3.72083e-05-0j -0.000364764-0j -3.64607e-07-0j -0.000249737-0j -0.00130569-0j 0.0109762-0j -0.000838465-0j -1.75394e-05-0j 3.35424e-06-0j 9.36653e-06-0j -0.000104141-0j 7.19796e-06-0j 0.00697239-0j 0.00326982-0j 0.00178369-0j -0.000149248-0j -1.23592e-05-0j -1.73688e-06-0j 5.04533e-07-0j 0.00205592-0j 0.000582534-0j 0.000222352-0j 0.000317499-0j -1.53391e-07-0j 3.42888e-05-0j 1.23108e-06-0j -4.43045e-10-0j 
2.73936e-05-0j -0.000398464-0j -0.000300751-0j 0.0020186-0j 2.72847e-06-0j 0.00443674-0j 2.55225e-06-0j 0.000551062-0j 1.76825e-06-0j -4.0668e-05-0j -5.03857e-05-0j -3.85811e-05-0j -0.0228888-0j 8.65142e-05-0j -3.1702e-05-0j -2.17048e-05-0j 0.000212779-0j 2.12688e-07-0j 0.00014568-0j 0.000761655-0j -0.00640276-0j 0.000489104-0j 1.02313e-05-0j -1.95664e-06-0j -5.46381e-06-0j 6.07489e-05-0j -4.19881e-06-0j -0.00406723-0j -0.0019074-0j -0.00104048-0j 8.70613e-05-0j 7.20951e-06-0j 1.01318e-06-0j -2.94311e-07-0j -0.00119928-0j -0.000339812-0j -0.000129705-0j -0.000185208-0j 8.94779e-08-0j -2.00018e-05-0j -7.18129e-07-0j 2.58443e-10-0j 
2.76718e-06-0j -8.09229e-05-0j 3.15759e-07-0j 0.00125845-0j 2.75617e-07-0j -9.365e-06-0j 2.57816e-07-0j -0.0106431-0j 1.7862e-07-0j -8.25915e-06-0j 2.63133e-08-0j -7.83532e-06-0j 0.00014831-0j 0.0379777-0j 3.3284e-08-0j 2.2788e-08-0j 0.000132652-0j 2.14847e-08-0j 9.08209e-05-0j -7.99689e-07-0j -0.00128527-0j -1.03239e-06-0j 0.01402-0j -3.97369e-07-0j 1.899e-09-0j -0.00117329-0j 2.19277e-09-0j 1.31089e-05-0j 1.23592e-05-0j 0.00474721-0j -6.08344e-08-0j 0.00316481-0j 0.0028102-0j 6.12899e-11-0j -0.000119748-0j 5.46203e-07-0j 0.0018473-0j 0.000279732-0j 0.000415956-0j 0.000286815-0j 5.2212e-05-0j 3.38635e-06-0j 
-1.61419e-06-0j 4.7205e-05-0j -1.84193e-07-0j -0.000734097-0j -1.60777e-07-0j 5.46292e-06-0j -1.50393e-07-0j 0.00620846-0j -1.04195e-07-0j 4.81784e-06-0j -1.53494e-08-0j 4.5706e-06-0j -8.65142e-05-0j -0.0221537-0j -1.94156e-08-0j -1.3293e-08-0j -7.73806e-05-0j -1.25327e-08-0j -5.29789e-05-0j 4.66485e-07-0j 0.000749742-0j 6.0223e-07-0j -0.00817832-0j 2.31798e-07-0j -1.10775e-09-0j 0.000684418-0j -1.27912e-09-0j -7.64684e-06-0j -7.20951e-06-0j -0.00276921-0j 3.54867e-08-0j -0.00184614-0j -0.00163929-0j -3.57524e-11-0j 6.98531e-05-0j -3.18618e-07-0j -0.00107759-0j -0.000163177-0j -0.000242641-0j -0.000167309-0j -3.0457e-05-0j -1.97537e-06-0j 
0.00140216-0j 0.000213332-0j 0.000159999-0j 2.30939e-05-0j 0.000139659-0j 2.46884e-05-0j 0.000130639-0j 2.05737e-06-0j -0.0447404-0j 2.17731e-05-0j 1.33333e-05-0j -0.00509495-0j 2.72164e-06-0j 1.60374e-07-0j -0.00416001-0j 1.15469e-05-0j -0.000600445-0j 1.08866e-05-0j 1.66666e-06-0j -0.000520001-0j -6.12827e-05-0j 2.72164e-06-0j -2.79716e-06-0j 1.04756e-06-0j 9.62245e-07-0j 2.26803e-07-0j 1.1111e-06-0j 2.40561e-07-0j 2.26803e-07-0j 2.00468e-08-0j 1.60374e-07-0j 1.33645e-08-0j 7.47099e-10-0j 3.10563e-08-0j 2.3148e-08-0j 1.00234e-08-0j 1.4942e-09-0j 1.18127e-09-0j 4.70628e-11-0j 7.62505e-11-0j 2.94143e-12-0j 6.32894e-14-0j 
-0.00163586-0j -0.000248887-0j -0.000186666-0j -2.69429e-05-0j -0.000162935-0j -2.88031e-05-0j -0.000152412-0j -2.40026e-06-0j 0.0521971-0j -2.5402e-05-0j -1.55555e-05-0j 0.0059441-0j -3.17525e-06-0j -1.87103e-07-0j 0.00485334-0j -1.34714e-05-0j 0.000700519-0j -1.2701e-05-0j -1.94443e-06-0j 0.000606668-0j 7.14965e-05-0j -3.17525e-06-0j 3.26335e-06-0j -1.22215e-06-0j -1.12262e-06-0j -2.64604e-07-0j -1.29629e-06-0j -2.80655e-07-0j -2.64604e-07-0j -2.33879e-08-0j -1.87103e-07-0j -1.55919e-08-0j -8.71615e-10-0j -3.62324e-08-0j -2.7006e-08-0j -1.16939e-08-0j -1.74323e-09-0j -1.37814e-09-0j -5.49066e-11-0j -8.89589e-11-0j -3.43166e-12-0j -7.38376e-14-0j 
-0.000226273-0j 0.00162845-0j -2.58197e-05-0j 0.000356297-0j -2.25373e-05-0j 0.000188457-0j 0.00412963-0j 4.77782e-05-0j -1.46058e-05-0j 0.000166203-0j -2.15164e-06-0j -0.0308863-0j 4.199e-05-0j 4.97445e-06-0j -2.72164e-06-0j 0.000731885-0j 3.7557e-05-0j 0.000344136-0j -0.0100996-0j 1.60926e-05-0j 5.76977e-06-0j -0.00406962-0j 4.40141e-07-0j 7.99646e-06-0j 3.04176e-05-0j -0.00103174-0j -1.79304e-07-0j -0.000727019-0j 3.49917e-06-0j -0.000121804-0j 1.2242e-06-0j 4.14537e-07-0j -6.82083e-06-0j -5.01169e-09-0j 5.37566e-07-0j 1.54643e-07-0j 5.79937e-08-0j 3.66403e-08-0j 2.56032e-09-0j 3.55383e-09-0j 1.82948e-10-0j 4.92306e-12-0j 
-0.00100175-0j -0.000152412-0j -0.000114309-0j -1.64991e-05-0j -9.97769e-05-0j -1.76382e-05-0j -9.33328e-05-0j -1.46985e-06-0j 0.0319641-0j -1.55555e-05-0j -9.52574e-06-0j 0.00364001-0j -1.94443e-06-0j -1.14577e-07-0j 0.00297205-0j -8.24953e-06-0j 0.000428979-0j -7.77773e-06-0j -1.19072e-06-0j 0.000371507-0j 4.37825e-05-0j -1.94443e-06-0j 1.99839e-06-0j -7.48413e-07-0j -6.87461e-07-0j -1.62036e-07-0j -7.93811e-07-0j -1.71865e-07-0j -1.62036e-07-0j -1.43221e-08-0j -1.14577e-07-0j -9.54807e-09-0j -5.33753e-10-0j -2.21877e-08-0j -1.65377e-08-0j -7.16105e-09-0j -1.06751e-09-0j -8.43938e-10-0j -3.36233e-11-0j -5.4476e-11-0j -2.10146e-12-0j -4.52161e-14-0j 
0.00143137-0j 0.000217776-0j 0.000163332-0j 2.3575e-05-0j 0.000142568-0j 2.52027e-05-0j 0.00013336-0j 2.10023e-06-0j -0.0456725-0j 2.22267e-05-0j 1.3611e-05-0j -0.00520109-0j 2.77834e-06-0j 1.63715e-07-0j -0.00424667-0j 1.17875e-05-0j -0.000612955-0j 1.11134e-05-0j 1.70138e-06-0j -0.000530834-0j -6.25594e-05-0j 2.77834e-06-0j -2.85543e-06-0j 1.06938e-06-0j 9.82292e-07-0j 2.31528e-07-0j 1.13425e-06-0j 2.45573e-07-0j 2.31528e-07-0j 2.04644e-08-0j 1.63715e-07-0j 1.36429e-08-0j 7.62663e-10-0j 3.17033e-08-0j 2.36303e-08-0j 1.02322e-08-0j 1.52533e-09-0j 1.20588e-09-0j 4.80433e-11-0j 7.7839e-11-0j 3.00271e-12-0j 6.46079e-14-0j 
-0.000184751-0j -2.8109e-05-0j 0.00202836-0j -3.04289e-06-0j 0.00268186-0j 0.000312982-0j -1.72132e-05-0j -2.71082e-07-0j -1.19256e-05-0j 0.000418108-0j 0.000339816-0j -2.72164e-06-0j 3.45031e-05-0j -2.11311e-08-0j -0.0311603-0j 0.000146384-0j 4.67459e-05-0j 0.000419542-0j -2.19601e-07-0j 5.37297e-05-0j 3.14968e-06-0j -0.00502848-0j -1.4942e-09-0j 6.06247e-05-0j 3.68496e-05-0j 4.35529e-06-0j -0.00828246-0j 6.13103e-06-0j -0.000840955-0j 2.54139e-07-0j -0.000895077-0j 5.15037e-07-0j -9.84389e-11-0j 1.98492e-06-0j -8.59806e-05-0j 5.1224e-07-0j -2.76067e-06-0j 4.52371e-08-0j 9.03744e-10-0j 1.94335e-09-0j 3.72893e-11-0j -8.33911e-15-0j 
-0.000590411-0j -8.98282e-05-0j -6.73712e-05-0j -9.72419e-06-0j -5.88064e-05-0j -1.03956e-05-0j -5.50083e-05-0j -8.663e-07-0j 0.0188389-0j -9.16805e-06-0j -5.61426e-06-0j 0.00214534-0j -1.14601e-06-0j -6.75291e-08-0j 0.00175166-0j -4.8621e-06-0j 0.000252831-0j -4.58403e-06-0j -7.01783e-07-0j 0.000218958-0j 2.58044e-05-0j -1.14601e-06-0j 1.17781e-06-0j -4.41098e-07-0j -4.05175e-07-0j -9.55006e-08-0j -4.67855e-07-0j -1.01294e-07-0j -9.55006e-08-0j -8.44114e-09-0j -6.75291e-08-0j -5.62742e-09-0j -3.14583e-10-0j -1.3077e-08-0j -9.74699e-09-0j -4.22057e-09-0j -6.29165e-10-0j -4.97399e-10-0j -1.98168e-11-0j -3.2107e-11-0j -1.23855e-12-0j -2.66494e-14-0j 
