0.999998+5.42101e-20j 0.524998-0.000293442j 0.0177821-0.207318j 0.295413+0.000497729j -0.114638-0.0252785j -0.0176677-0.207725j 0.0767089+0.030752j -0.0619201+0.00177579j -0.0378059+0.177959j 0.218146+0.00106268j 0.0648575+0.0014508j -0.0832888-0.0592891j 0.035668+0.178209j -0.0616305+0.00461642j 0.0769023-0.0309285j 0.0187373-0.0260294j -0.010097+0.0219575j 0.0747036+0.0496517j -0.0406101+0.0280529j 0.0508638+0.00766348j -0.0218619+0.0940181j -0.0448396-0.00290035j 0.0317435-0.118267j -0.00231477+0.0222675j -0.0417572-0.00439j 0.132362+0.00225669j -0.0115244+0.0846346j -0.119928-0.00149729j -0.000305377-0.0300637j -0.0307289-0.000242466j -0.0410128+0.00362704j -0.00102053+0.0223722j -0.0282974-0.120038j 0.0448679-0.00328111j 0.0183528+0.0928075j 0.050349-0.00921699j -0.0408235-0.0291471j -0.0752094+0.0486566j -0.00997064-0.0219959j 0.0183429+0.0257748j 
0.0833192+0.0592463j 0.168156+0.119336j 0.0210581-0.122463j 0.105534+0.0757462j -0.0101222-0.0100875j 0.108472-0.0593611j -0.0495545+0.102057j -0.174582-0.103143j -0.14258+0.0932455j -0.156981-0.10947j -0.447524-0.317364j 0.079796+0.229929j -0.0371068+0.170915j -0.16686-0.115306j 0.0795935-0.0793306j 0.0231356-0.0218919j 0.0940052+0.00311697j 0.0801745-0.0135212j -0.0330174+0.0326774j -0.0349969+0.00107243j 0.0143343+0.0405564j -0.112283-0.13577j 0.0879201+0.086065j -0.0479795+0.0174293j -0.0387387-0.0189106j 0.00220786+0.000952289j -0.0105329+0.0103389j 0.165068+0.117759j -0.0900421+0.132873j 0.0259165+0.0187018j -0.0293519-0.0304675j -0.00445228+0.0499618j -0.109371-0.0541736j 0.166002+0.0590991j -0.0434968-0.00199077j -0.012895-0.0330486j 0.0180976-0.0431245j -0.0135233-0.0796106j 0.0320684+0.0872003j -0.0113837+0.0270205j 
0.035668-0.178209j -0.0659688+0.0231137j 0.118684+0.0533712j -0.0355014+0.203878j -0.0386718+0.00262013j 0.150115+0.0968567j -0.207232-0.199612j 0.241471+0.316856j -0.0140782-0.209446j 0.13327+0.018627j 0.123713+0.208919j -0.149302+0.0910924j 0.0622429+1.11439e-14j 0.0685102-0.00171062j 0.0358623-0.00312528j 0.1711+0.0335441j -0.0234629-0.122056j -0.0355462-0.0882211j 0.018426+0.0707905j 0.107515+0.089075j -0.180081-0.0918461j 0.0680285-0.0433138j -0.034074+0.00626425j -0.0227555+0.118184j 0.069342+0.174354j 0.0514015-0.0769953j 0.0862511-0.0168625j 0.0289597+0.104726j -0.101383-0.0223543j 0.0237945+0.157217j -0.0410564+0.00877004j 0.062673-0.0953255j 0.155202-0.03712j 0.0582329+0.0407116j -0.0394267+0.0484663j 0.0424982-0.00399579j 0.065452-0.0824127j 0.0470284+0.0528675j -0.0238483+0.0419575j -0.00256087+0.0121287j 
-0.0617299+0.00300911j -0.026814+0.0936682j -0.106701-0.186642j 0.0796008-0.0330416j 0.0917741+0.0968875j 0.130388+0.0308469j 0.223104-0.0493159j -0.224167+0.214022j -0.250152-0.310889j 0.198411-0.0953485j -0.135672-0.00637366j 0.177153+0.0987659j 0.0681993-0.0067401j 0.0210977-0.00261832j 0.0225187-0.00354124j -0.214663+0.00176283j 0.0203266-0.00568438j 0.0418669+0.0299979j -0.179696-0.241889j -0.0572037-0.00251834j 0.0918939-0.10224j -0.114224+0.0929333j 0.114756-0.0341834j 0.154729+0.198582j -0.122662-0.0198417j -0.0579014-0.0239272j -0.0262056-0.016353j 0.0304725+0.0898771j 0.104814-0.129049j 0.0349893+0.0825833j -0.0579213-0.0602973j 0.0326345-0.107471j -0.0343184-0.0298435j -0.102832-0.0160213j 0.000488174+0.00307682j -0.0425776+0.0347777j 0.1091-0.105316j -0.0412437+0.0452822j -0.0769446+0.0205224j -0.00296629+0.00229132j 
0.0769023+0.0309285j -0.196055-0.121841j -0.00389944-0.107524j 0.135266+0.0718994j -0.0740163+0.116418j 0.0755063+0.00292181j -0.136265+0.526914j 0.229318-0.0423737j 0.211295+0.197075j -0.0678177+0.0303586j -0.101879-0.0191142j 0.0488499-0.101204j 0.0358623+0.00312528j 0.0227834+0.000740884j 0.00291718+6.10623e-15j 0.00920514-0.128481j 0.0831656+0.0917117j 0.0175989+0.064055j -0.0753625-0.183252j -0.0820932-0.0447224j 0.0284416+0.00669986j 0.00890998-0.14168j -0.0286712+0.131121j 0.0445493+0.100372j 0.0201288-0.106234j 0.042655+0.00422662j 0.00325588+0.0513306j -0.139306+0.134948j -0.0799944+0.0881736j -0.00605344+0.0701945j 0.0270639+0.0275936j 0.0472175-0.0780242j 0.0220333+0.0598915j -0.0174013+0.054843j -0.0434884+0.00197242j 0.00431519+0.0486306j 0.0723271-0.0372766j -0.00794467+0.0490289j -0.00526623+0.0164923j 0.00371627+0.00908309j 
0.0187373+0.0260294j -0.092144-0.0729629j -0.0309912-0.040408j 0.0624814+0.0550669j 0.0430567+0.00302446j 0.186012+0.0113215j 0.0027032+0.00821083j -0.00419334+0.00177003j 0.00397651-0.0113866j -0.061868-0.0413275j 0.0668746+0.0155755j 0.0130966-0.0290343j 0.1711-0.0335441j -0.213245+0.0246884j 0.00920514+0.128481j -0.000539585+1.09912e-14j 0.00284659-0.00104857j 0.00186753+0.00354362j -0.000706573+0.000350145j -0.00426796-0.00158092j -0.00414411-0.0099692j 0.00347354+0.00419497j 0.00401948+0.0147576j -0.0133131+0.00753836j -0.015726-0.000415154j -0.00493975-0.0349831j 0.0193656+0.0255733j -0.0427513-0.0115429j 0.0360022+0.00962344j -0.0207651+0.00711107j 0.00322552-0.00432589j -0.00835867+0.013228j 0.14883+0.0590085j -0.104384-0.0885397j 0.00301318+0.0801097j -0.045759+0.0731896j -0.0537925+0.122578j -0.134553+0.163038j 0.115747+0.0253521j -0.0728336-0.407581j 
-0.00966541-0.0221509j 0.0549766+0.0269141j 0.00226292-0.0500361j -0.0156469+0.0442431j 0.00899306+0.11412j 0.0235343+0.121392j -0.00522213+0.0156908j -0.0777121+0.0175295j 0.0244923-0.0416172j -0.123988-0.0300397j 0.142725-0.0536068j -0.0320411-0.0884311j -0.0258468+0.121573j 0.0208065+0.00354553j 0.0849444-0.0900667j 0.00282553+0.00110408j -0.00128827-2.52146e-05j 0.00565415-0.00616169j 0.0135577-0.000368015j -0.0268893+0.0126383j 0.00114853+0.00773569j 0.0259704-0.013312j 0.0283213-0.00497761j 0.00145968+0.0181108j -0.0208773-0.0110758j -0.0369245+0.0442902j 0.089352-0.0606752j -0.0748668-0.0140933j 0.0318828-0.00305111j -0.026129-0.0286567j 0.00578775+0.0719162j 0.0173164+0.0854388j -0.117794-0.0446851j 0.0877194+0.142206j -0.0285547-0.0157022j -0.103232+0.134438j -0.0995558-0.0755765j 0.217357-0.112487j -0.15994-0.244236j 0.119231+0.0245307j 
0.0747036-0.0496517j -0.0692196+0.0968117j 0.0124345+0.0526381j -0.0656418-0.000424763j 0.0428771-0.0126569j 0.000653102+0.0229982j 0.00870926-0.0484173j 0.0428643-0.044692j 0.0431739+0.0547466j 0.171641-0.0111415j -0.0215307-0.0519467j -0.0135124-0.080176j -0.0355462+0.0882211j 0.0378537-0.0349258j 0.0175989-0.064055j 0.00186753-0.00354362j 0.00553249+0.00627116j -0.0104837-1.31561e-14j -0.00712147-0.0190487j 0.00485876+0.00602081j -0.0140793-0.00208465j -0.00100558-0.000191745j 0.0154341-0.000969995j 0.0382852+0.0236456j 0.0157286+0.0101468j -0.162088+0.014439j 0.132527+0.0133034j 0.00871834+0.0021719j -0.0338237-0.0212322j -0.0079488+0.00589561j 0.0606247-0.0428763j 0.101626-0.0217332j 0.0574811-0.142548j -0.00823987-0.023025j -0.180656+0.201135j -0.22894+0.124491j -0.115223+0.128169j 0.0387146+0.264954j -0.219153+0.113241j 0.136011-0.158121j 
-0.0406101-0.0280529j 0.0542462+0.0357706j -0.104917+0.0696415j 0.0385939-0.0851956j 0.0337112+0.014641j 0.0330558+0.00749618j 0.071191-0.0370751j 0.111044-0.103503j -0.065068+0.0807094j -0.104692+0.0990367j 0.0315563+0.00463637j -0.020046+0.041906j 0.018426-0.0707905j -0.148537+0.262179j -0.0753625+0.183252j -0.000706573-0.000350145j 0.0135479+0.000633253j -0.00712147+0.0190487j -0.00394178+1.15075e-13j 0.0501616-0.0145425j 0.00975768-0.0208416j -0.0614691+0.0220975j -0.0532887+0.0463932j 0.0669059+0.0409565j -0.0239309-0.0408496j -0.00845354-0.00994896j 0.0293655-0.00307367j -0.0429629-0.137953j -0.00748493+0.0262745j -0.00799442+0.00927361j 0.0779845+0.0128325j 0.180341+0.106337j -0.125637-0.0676704j 0.0185935+0.0811945j 0.0828336-0.0425699j -0.0793058+0.18509j -0.145344-0.188176j 0.1129-0.131089j -0.100878-0.0729036j -0.0570228+0.118568j 
0.0506403-0.00902299j 0.0912147+0.0262466j 0.0779146+0.0137627j -0.0528747+0.0314565j -0.11495-0.0656701j 0.100098+0.0340588j 0.00356752+0.0490974j -0.0446765+0.0340505j -0.0414165+0.00231783j -0.104787-0.0139683j 0.02953+0.0378955j 0.0113522+0.0331219j 0.105091-0.0919226j -0.0561822+0.011053j -0.0808659+0.046905j -0.00422408+0.00169466j -0.0269798-0.0124439j 0.00469576-0.00614878j 0.0505331+0.0131938j -0.0131576+0.00035252j 0.0250347+0.00288213j -0.0316943+0.00211382j -0.0434162-0.00380822j -0.00384495-0.0556491j -0.0772869+0.0123179j -0.0510311-0.0556197j 0.012602+0.148041j 0.101107+0.0251297j -0.0836764-0.0241064j 0.0505093-0.0939486j 0.16175-0.0731539j 0.0456646-0.0866428j 0.0192688-0.115729j -0.00134516+0.111232j -0.212319+0.384015j -0.0208109-0.0246599j -0.0825637+0.179845j 0.234787-0.12669j -0.105192+0.133183j -0.0458895+0.0727323j 
-0.0218619-0.0940181j 0.0163769-0.0752625j 0.0538284+0.010059j 0.0339712+0.13688j 0.0675115-0.102376j -0.0145147-0.106967j 0.0435522+0.000321673j -0.000641385-0.00423187j -0.0410681+0.0476092j -0.118641+0.0981638j 0.048435-0.0419002j -0.0430143-0.000245097j -0.180081+0.0918461j 0.103786+0.0901437j 0.0284416-0.00669986j -0.00414411+0.0099692j 0.00129968-0.00771174j -0.0140793+0.00208465j 0.00975768+0.0208416j 0.0249485-0.00355159j 0.0186125-3.52496e-15j -0.0638088-2.21109e-05j -0.0759386+0.00656714j -0.0519921-0.0272045j -0.107312-0.0343852j -0.0751292+0.101663j 0.058971-0.0467412j 0.0141782+0.0688036j -0.0927014-0.0126806j 0.0599443-0.0691299j 0.118103-0.0136206j -0.00366993-0.0057085j 0.074834+0.094028j -0.077818+0.043679j -0.0895141+0.187023j 0.21202-0.388534j -0.0828711+0.0380139j -0.183128+0.201838j 0.0285477+0.0140761j -0.00436815-0.0764995j 
-0.0445647+0.00574313j 0.00578993-0.0510308j -0.00205257+0.0503134j -0.0211706-0.043372j -0.0798459-0.120778j 0.132973-0.105494j 0.0150539-0.0543473j 0.102345+0.0165093j 0.0598962+0.0352643j 0.0589583+0.0353586j 0.00223+0.126987j 0.168656+0.0509507j 0.0706427+0.0389045j -0.129513-0.0700716j 0.0178928+0.140828j 0.00320002-0.00440717j 0.0265308+0.0121568j -0.000991366+0.000255242j -0.0627488-0.0181478j -0.0317557+0.000754732j -0.0636785+0.0040758j 0.002697-0.000171685j 0.0233647+0.0100407j -0.102704+0.0439251j -0.079352-0.0857882j 0.0064132-0.00542467j 0.0373147-0.0951239j -0.0922177+0.017151j -0.0627656-0.0340865j -0.00142291-0.0953056j 0.038273+0.0599644j -0.0592906+0.0738381j -0.197011+0.242876j -0.0516946+0.295456j -0.0794379+0.0528926j -0.0057744-0.109261j -0.0264018-0.0808831j -0.0109714-0.0217353j -0.0973462-0.137118j 0.109484+0.0823061j 
0.0317435+0.118267j 0.00336446-0.040534j 0.0246493+0.0253921j 0.00229053+0.0545479j 0.0943313-0.061207j -0.0512055-0.0813155j -0.0186665-0.0611131j 0.0329651+0.0289359j 0.157152-0.0299736j -0.0485331-0.117684j -0.0210101-0.107592j -0.110134-0.0548428j -0.034074-0.00626425j 0.118092+0.0197898j -0.0286712-0.131121j 0.00401948-0.0147576j 0.0282185+0.00553087j 0.0154341+0.000969995j -0.0532887-0.0463932j -0.0432987+0.00496965j -0.0759386-0.00656714j 0.0226796-0.0115048j 0.0368508-9.05526e-14j -0.10111+0.0130385j -0.0444597-0.0588528j 0.129672-0.108574j -0.0743109+0.0020214j -0.0359509-0.0399915j -0.0382867-0.0137851j 0.00489258-0.0753478j -0.0116968-0.0295181j -0.101241-0.0270408j -0.129427+0.23126j -0.211954+0.231149j 0.0691926+0.101442j -0.0188982+0.109072j 0.124763+0.0734628j 0.0555855-0.133592j 0.117578+0.0477616j -0.145917-0.0653947j 
0.00150331-0.022337j -0.0159239-0.0352255j -0.0256619-0.00283406j -0.0916494+0.0127693j 0.179763+0.0047903j -0.0142456-0.0357882j -0.0479547+0.0754799j -0.0391908+0.104526j 0.0617031-0.0937565j 0.203298-0.0864834j -0.115197+0.0457076j -0.00939913+0.0501744j -0.00233888-0.120332j 0.163946-0.191042j 0.0609596-0.0913406j -0.0118383-0.00969128j 0.00485995-0.0175075j 0.0417468-0.016795j 0.0728932-0.0289899j -0.0117907+0.0545214j -0.0558592+0.0179726j -0.0974144-0.0546626j -0.0974229-0.0300326j -0.00924566-0.00159451j -0.126959-0.0218976j -0.0239514+0.0144575j 0.0454309+0.0162377j 0.00205166-0.183191j -0.0255784+0.0954129j 0.194915+0.0914148j 0.115055-0.159845j 0.282744+0.137335j -0.0993003-0.0283538j -0.0681002+0.0620363j -0.000838153-0.0152828j -0.0414601+0.0906307j -0.180634-0.108404j 0.0983865-0.0195392j -0.0132785-0.0861852j 0.00708845-0.0170929j 
-0.0417572+0.00439j -0.0517317-0.00770767j 0.0582265+0.172018j 0.117251-0.00323847j 0.00555717+0.0436628j 0.0270792+0.12592j 0.0259363+0.0291922j -0.0567765-0.0596102j 0.0415998-0.0104041j -0.0462556-0.0768559j 0.092744+0.115868j 0.0305663+0.0303974j 0.069342-0.174354j -0.119284+0.0347976j 0.0201288+0.106234j -0.015726+0.000415154j -0.02109+0.0106652j 0.0157286-0.0101468j -0.0239309+0.0408496j -0.0775891-0.0102436j -0.107312+0.0343852j -0.0737417+0.0906561j -0.0444597+0.0588528j -0.128834+2.16184e-06j 0.036187+1.95651e-13j -0.0150787+0.0175057j -0.0106353-0.0305797j -0.0231963+0.116381j 0.0259898-0.0208218j 0.0761171+0.162766j -0.167666+0.0100395j -0.116457+0.160707j 0.0125788+0.0239268j -0.0313835-0.0664361j -0.122164+0.0124411j 0.158239-0.0690482j 0.0810839+0.0116836j -0.0572746+0.0405791j 0.00441143+0.0716346j 0.00531993-0.00173382j 
0.132362-0.00225669j 0.0658373-7.04425e-05j 0.0153341-0.0155994j 0.0637564+0.000513118j -0.0653373-0.0143518j -0.0142809-0.0155102j 0.0426225+0.00760022j -0.0573417-0.0258084j -0.0559569+0.0774539j 0.0700381+0.00275012j 0.0413221+0.00190509j -0.00162353-0.0017736j 0.0514015+0.0769953j -0.0545138+0.0308761j 0.042655-0.00422662j -0.00493975+0.0349831j -0.0360507-0.0450043j -0.162088-0.014439j -0.00845354+0.00994896j -0.0495232+0.0569665j -0.0751292-0.101663j 0.00674488+0.00500628j 0.129672+0.108574j -0.0211458-0.0183177j -0.0150787-0.0175057j 0.523473-6.6444e-12j 0.0672218-0.495326j 0.0664801+0.00337123j 0.000520313+0.0531458j 0.0386779+0.00149252j -0.0119989+0.019231j 0.0255102-0.0126997j -0.125582+0.107854j -0.00636513-0.000893791j 0.0681455-0.0995088j -0.0494797-0.0630932j -0.0127891-0.00758194j 0.156847-0.00799419j -0.0383225+0.0451094j -0.000987359-0.0351067j 
0.010848-0.0847239j 0.0174798-0.13768j -0.0774709+0.00395808j 0.0149953-0.110308j -0.00730345+0.0215493j -0.0731194-0.0242167j -0.00204462-0.0522022j 0.0266065+0.0178863j 0.087124-0.0148543j 0.0100237-0.0696891j 0.00375732-0.0210382j -0.00956165+0.0112432j 0.0789138+0.038681j -0.0282212+0.0125586j 0.0164733-0.0487244j 0.0253419-0.0196674j 0.0689173+0.0831605j 0.131435+0.0215662j 0.02756+0.0105936j 0.0468522-0.140996j 0.0448108+0.0604509j 0.0177623+0.100625j -0.0712369-0.0212484j 0.0480494+0.00434569j -0.0182111+0.0267691j -0.0637057+0.49579j -0.438156-0.117818j -0.023537+0.163878j -0.00568919-0.00101891j -0.00665303+0.0449486j 0.00894166+0.034243j 0.045667+0.0173967j -0.0784761+0.00850302j 0.0397379-0.0929613j 0.0606143-0.0514297j -0.0161548-0.148011j -0.0300409+0.00152186j 0.130751+0.0133093j -0.0880578+0.0592527j -0.017864-0.0254912j 
