-0.16985+5.01335e-16j -0.0272573+0.016319j 0.051396+0.0889038j -0.0346563-0.0835198j -0.0248757+0.0273286j -0.0273805-0.0159774j -0.00409047+0.0632596j -0.00799272+0.0347759j 0.0076438+0.0317241j -0.0133442-0.00153764j 0.000699519+0.0212953j 0.00759073+0.0247522j -0.053792-0.0118621j -0.0142501+0.0457406j 0.000364811-0.0196818j 0.00791718-0.0172142j 0.0020301-0.00520058j 0.00962334-0.0202277j -0.0141726+0.0133386j -0.00158507-0.0118107j 0.00191382+0.0208575j -0.00826894+0.0260368j 0.00139555+0.00162942j -0.0106652+0.0138053j -0.0264307+0.0114814j -0.00104908+0.0251589j -0.015197+0.0467951j -0.0383877-0.027157j -0.016086-0.000838978j 0.00417645-0.018193j 0.0401822-0.0108757j 0.00812193-0.00734647j -0.0111168-0.0425782j -0.000954063-0.00860295j -0.00188866+0.0124985j -0.0209718-0.00139893j -0.00976021-0.010719j -0.000948851+0.00998639j 0.00247179-0.0331757j -0.0364828+0.00260545j 0.00572097-0.00726952j 0.0159598+0.00393124j -0.0102894+0.036527j -0.00751412+0.00947277j -0.00168693+0.00487654j 0.00461026+0.00197542j 0.0144471-0.0196283j -0.00850716-0.00350134j 0.0149457+0.00130174j 0.00641474-0.010858j -0.022197+0.00391343j 0.0284221-0.000991551j -0.0104035-0.00866478j -0.013143+0.0128463j 0.0188241-0.039401j -0.008522-0.00707199j -0.000582847+0.00722891j -0.028263+0.0406179j 0.00937956+0.0157883j 0.0151348+0.0420027j -0.0151445+0.024265j -0.0158029+0.0143111j 0.0223684-0.00482837j -0.00523808-0.0088016j 0.0314911-0.0125768j 0.0199424-0.00283932j 0.028643-0.0323037j 0.0315055+0.0225025j -0.0115376-0.0316987j -0.0170432-0.000109823j 0.0419523+0.0062154j 0.0223073-0.00261074j 0.0218925+0.0251874j 0.0257607+0.000386888j -0.0373043-0.00291173j -0.011264+0.0518009j -0.0433507+0.0332348j 0.00545798+0.0380242j -0.0150482-0.043998j 0.0203655-0.0471747j -0.0100774+0.00409089j 0.0456833+0.00828712j 0.00334689-0.00153179j 0.117159-0.052392j 0.0434784-0.106813j -0.0248388-0.311359j -0.366311-0.0769218j -0.0053387-0.163582j -0.0107847+0.166786j 0.124812+0.00958465j -0.01548-0.0046264j -0.180787-0.0238217j 
-0.0264307-0.0114814j 0.00241866-0.0148296j -0.00364841+0.00690163j 0.0273108+0.00763163j -0.0208533+0.0126111j 0.0700501-0.0934822j 0.00212943-0.0176883j 0.00765302-0.00431967j 0.0358959-0.0417422j -0.0216166+0.0743732j 0.0372727-0.0939882j 0.0080673-0.0519795j -0.0195835-0.123669j 0.040848+0.011162j -0.0520734+0.0630805j -0.0265648-0.007558j 0.029227+0.0104824j 0.121606+0.0831037j 0.0229295+0.00159582j 0.111743-0.0259269j -0.00492519+0.0157683j -0.0805577+0.036609j -0.0357085+0.00178717j 0.0555499-0.00657332j 0.00506986-2.66454e-15j -0.0193756+0.0760935j 0.0579664+0.206443j -0.0545299+0.0442979j -0.0465098+0.00638577j 0.0694322+0.0472594j -0.166675-0.0476073j 0.0702357+0.0637166j 0.0159635-0.0922226j 0.063539+0.0294028j -0.0299813-0.0686429j -0.116262-0.0519843j -0.0217646+0.0596259j -0.0378914-0.027043j 0.00285904+0.0186718j 0.134752-0.0477268j 0.0536496-0.138104j 0.0332018-0.0950843j 0.0452208-0.0212582j 0.034219-0.014838j 0.0544424-0.0211043j -0.0996038-0.0274836j 0.0853857-0.0359108j -0.0221599-0.0288821j -0.0847879-0.119051j -0.0878281-0.0238092j 0.07336-0.150285j 0.0328395+0.0136493j 0.0217378-0.0222347j -0.000754582-0.0656697j -0.0427766+0.0773621j -0.0565527-0.0424742j -0.0815059+0.0210681j -0.0447676+0.0280711j 0.0269015-0.0570123j -0.0401064-0.0190187j -0.0238421+0.0137317j 0.0192236-0.0402037j -0.0270533+0.0367336j -0.0770206+0.00989909j 0.000319781-0.0377888j 0.00959499-0.10767j 0.0345704+0.0406476j -0.0351912-0.0905633j -0.0102471+0.00603625j 0.0371959-0.0293915j 0.0075105+0.0291645j -0.0566495-0.00668952j 0.0210522+0.0959022j -0.0585316+0.0667637j 0.00190544-0.0711392j 0.0316763+0.0128736j -0.0713577+0.014417j 0.0947926-0.0391697j -0.0178662-0.0921375j 0.0368219-0.0525771j 0.00827587-0.0204766j -0.0191495+0.0639853j -0.0420587-0.0157212j -0.0352356-0.0240659j -0.0290381+0.0678048j -0.0210146-0.0571065j -0.0293847-0.0317609j -0.0437478+0.0613155j 0.0758356-0.0200841j -0.0285509-0.0350663j 0.0267405+0.00862121j 0.0123308-0.0526328j 
-0.00104908-0.0251589j -0.0306649+0.0344637j -0.0446835-0.0777202j 0.0442522+0.014736j -0.0221076+0.0752771j 0.00592358-0.0268546j -0.0429442+0.0341064j -0.0245761+0.00545178j 0.0275415-0.0364673j 0.0440131-0.0578253j -0.0272393+0.0167021j 0.0124861-0.106685j 0.00641279+0.036566j 0.0351467+0.069769j 0.0228919+0.0992867j 0.0164552+0.111025j -0.0662991-0.0477991j -0.0209329-0.040225j -0.0902116-0.0727346j 0.0651185-0.0289702j 0.002704+0.0366236j -0.0105647-0.0196209j 0.00199033-0.00317121j -0.062912-0.00487005j -0.0193756-0.0760935j -0.0354822-5.59231e-16j 0.0162429-0.0237627j -0.0126581+0.0150194j -0.0376675+0.0390826j 0.0255174+0.00650155j 0.0730549-0.0267499j -0.0147935-0.0721655j -0.0508692+0.136895j -0.0495279-0.021603j -0.00182288+0.0174729j -0.0144291-0.0130721j 0.0098419+0.0470896j 0.0405951-0.00560809j 0.00566816+0.0149834j -0.0687865+0.0372813j -0.0780479+0.0985249j -0.0552464+0.0556933j -0.0160841-0.0413226j -0.0178271+0.041388j 0.00254645+0.0315659j 0.021424+0.0172641j -0.0405909+0.0571609j -0.0691156-0.0146221j 0.0282956+0.00211015j -0.0437303-0.0535189j 0.0158405+0.0145534j -0.032249+0.045376j 0.0410567+0.00311045j -0.00264558-0.018664j -0.051222-0.123755j 0.0174129-0.163047j -0.0388705-0.0288949j 0.0275022-0.0123489j 0.0228489-0.0294329j -0.0817541+0.060673j 0.0180048+0.0213017j -0.0154515-0.0850097j -0.0246123+0.0125j 0.0191862-0.0107471j -0.0605549-0.0812338j 0.0181792-0.142679j 0.0206841+0.046557j 0.0902859-0.0271931j 0.0186309+0.0491558j -0.0033804+0.0139264j 0.0167921-0.0248912j 0.0242355+0.0195582j 0.0247891+0.0367188j -0.00912825-0.0597465j -0.0859859+0.0356408j -0.00199676-0.00797062j -0.0472142-0.0535672j 0.0311758+0.0184304j -0.0770693-0.0478727j 0.109697-0.133192j -0.115381+0.0357056j -0.0236852+0.101556j 0.116096+0.0109319j -0.150215+0.04254j -0.0599586+0.156046j -0.0579325-0.0612815j 0.00594671-0.0461662j 0.00235716-0.0335729j 0.094696-0.0564949j 0.0195959-0.0715455j -0.00206324+0.00469014j -0.0190791-0.0291836j 
-0.015197-0.0467951j 0.0251047+0.00960128j -0.0348704-0.0318772j -0.0294916+0.0217246j 0.00855847+0.0429914j 0.0228165+0.0250197j 0.0347875-0.0119247j -0.0253391+0.0635852j 0.00197662+0.0973233j 0.0405989-0.0728501j 0.0210823+0.000448734j 0.0432911-0.0203909j 0.0497147-0.038135j -0.0126725+0.029546j -0.0529441+0.050142j -0.0124227+0.0788238j -0.0372945+0.00421765j 0.064813-0.0059999j -0.0246362-0.0507663j -0.043771+0.0399657j 0.0494011+0.0869059j -0.0699099-0.0515336j -0.0529386-0.0586396j 0.0674897+0.0604468j 0.0579664-0.206443j 0.0162429+0.0237627j -0.0120914-8.60423e-16j 0.0353278+0.0758223j -0.0188216+0.077035j 0.0329772+0.0304553j 0.0664113-0.0969623j -0.0637389+0.0116329j 0.00667297+0.0213749j 0.0385533-0.00506675j -0.0302542-0.00858209j 0.020747-0.0548524j 0.0881259-0.0395199j -0.0136968-0.0258739j 0.00412703-0.0310335j -0.0698209+0.111258j 0.00338621-0.0278169j 0.0158805+0.082824j -0.0619834+0.153104j -0.0236607-0.0107745j 0.00957158-0.158378j 0.00440919-0.0203948j 0.0283187+0.0359082j 0.0236301-0.048097j 0.0623163+0.0169444j -0.0968403+0.0840556j 0.0173357-0.0739861j 0.0118549+0.0418085j 0.0302969-0.00170708j -0.00586252+0.0471384j -0.0839471+0.0574048j -0.0354818-0.0450362j -0.0283077+0.0198459j 0.0501524-0.019926j 0.037688-0.0652435j -0.0236884-0.132398j -0.0435992-0.0938544j 0.00864824+0.0929346j -0.117554-0.0113206j -0.00418246+0.116603j 0.0309827-0.0808779j 0.00103605+0.0504641j 0.0180477-0.0259365j -0.00225313+0.044323j -0.030483+0.045693j -0.0771183-0.0189018j 0.004853-0.00445691j -0.0298865-0.00677369j 0.00100909-0.00595258j -0.0131584-0.0619929j 0.0976916-0.0982722j 0.0568865-0.00467366j 0.0628224-0.0579255j 0.0440279-0.00294485j 0.020938+0.00382474j 0.0747927-0.0692686j -0.0516781+0.0219067j -0.0533487+0.0508722j 0.0691361+0.125613j -0.0908087+0.0624349j -0.0731662+0.0139107j 0.0102768-0.0642195j 0.0106827+0.057419j 0.0820238-0.0517385j -0.0113952-0.0716832j 0.0268184+0.0431162j -0.0215423+0.0495466j 0.0198588+0.0371456j 
-0.0383877+0.027157j -0.0127855-0.012085j 0.0103512-0.0363813j -0.0496626-0.01525j 0.00938848+0.0203457j -0.00548938+0.0146449j 0.0652997+0.0385421j -0.0421688+0.0462281j -0.0482918-0.0333515j -0.0903502-0.0425319j 0.0107703-0.0217918j 0.00775983+0.0253955j 0.121139+0.103599j -0.0463704-0.0317016j -0.0101091-0.00460937j 0.0377562+0.0200615j -0.115907-0.0395015j -0.0497349+0.0284367j -0.00647252-0.0310012j 0.206206+0.00696981j 0.0380193-0.121547j -0.00666018+0.0603446j 0.00112903-0.0735114j -0.0271774+0.0516771j -0.0545299-0.0442979j -0.0126581-0.0150194j 0.0353278-0.0758223j -0.0239644-9.15934e-16j -0.0148935-0.0740457j -0.00487316-0.0769185j -0.0566333+0.0258544j 0.0302845-0.00731784j 0.0114526+0.0517799j 0.0942754+0.0458601j -0.0793532-0.0158189j -0.0292868-0.00690879j -0.0157178-0.0410129j -0.00518128+0.130528j -0.0111467+0.0632877j -0.0169034-0.0359827j -0.0189209-0.00240339j -0.0269996-0.0402969j 0.0651083-0.0729359j -0.0118355+0.122962j 0.00999173+0.0727444j 0.0278277-0.0115293j 0.0206308+0.0806835j -0.030443+0.0150349j -0.0587148-0.0302307j 0.0435038+0.0823243j -0.0411749-0.00684805j 0.00711739-0.0435524j -0.0546059+0.0526924j -0.0175672-0.00395689j 0.0199929-0.034115j 0.0321666+0.119546j 0.0455931-0.0636156j -0.0176441+0.0420093j 0.0108096+0.131525j 0.0761287-0.0669219j 0.0615496+0.0906547j -0.0402841-0.0808259j 0.0327707-0.0265294j -0.00640533+0.00943627j -0.0147077+0.07092j -0.00472353+0.0412887j 0.00650925-0.0404672j -0.0712109+0.00494547j 0.0286177-0.0397351j 0.110094-0.0492451j -0.0770112-0.0882232j 0.0281357-0.0394818j 0.0287307+0.0660026j -0.179351-0.017566j -0.0649888-0.0314991j -0.0108589+0.101917j -0.0398428-0.0485665j -0.0213357+0.0470292j 0.0187815-0.0988787j 0.0739947+0.0530381j -0.129304+0.124022j -0.0310337-0.0384665j 0.0207405+0.0699755j -0.0780107+0.0358955j 0.0678141+0.0636287j -0.0459302-0.0792131j 0.0819842-0.062089j -0.103675-0.103692j 0.0289546+0.0354837j -0.00689351+0.0455873j 0.0695996+0.0309177j 0.0038658-0.0152314j 
-0.016086+0.000838978j -0.0364915-0.0158178j -0.00560834-0.044415j -0.00309048+0.0299412j -0.0115993-0.0152836j 0.00569188+0.0362748j 0.02094+0.0485701j 0.0105933+0.0823476j 2.10194e-05+0.0652468j -0.0148188-0.0781898j 0.0538069-0.0539468j -0.104355+0.0405278j 0.0873361+0.0849583j 0.0224009-0.0466347j -0.00118004-0.0200967j 0.0324392-0.031501j 0.00589291-0.0103188j -0.104692-0.176976j 0.066088-0.0734038j -0.0609908-0.0151383j -0.0295457-0.101075j -0.0021135+0.0109863j 0.0554959-0.00727695j 0.0275536+0.0499303j -0.0465098-0.00638577j -0.0376675-0.0390826j -0.0188216-0.077035j -0.0148935+0.0740457j 0.0141458-6.23416e-16j 0.0287081-0.0706056j 0.00067028+0.0277394j 0.00339275+0.0730724j 0.0809214+0.0273634j 0.00950458-0.0150527j -0.1041+0.087161j -0.00704178+0.0743655j -0.043478+0.0236643j -0.0051357+0.00985573j -0.0181946+0.0169688j 0.0355208-0.0436435j 0.080447-0.0426923j 0.0873181-0.0298534j 0.0836923+0.026511j -0.132092+0.0392218j -0.00596378-0.052126j -0.00765709+0.0426312j 0.0519695-0.0834983j 0.0738549+0.0775838j 0.0434896-0.0196944j -0.015193+0.0733697j 0.0396566+0.0586336j -0.0332412+0.0363188j -0.0398619+0.0574171j -0.0652597+0.00625622j -0.0316034-0.000755193j 0.00117678+0.0350429j -0.022839-0.0345151j 0.0434407+0.132493j -0.0495286+0.023964j 0.00754355+0.100271j -0.0398289-0.00752121j 0.00722688-0.00164289j -0.0289044+0.0343048j 0.00893427+0.0238062j -0.018671+0.0249245j -0.0141317-0.0232864j -0.094056-0.0554771j -0.0112987+0.0134955j 0.0109874+0.0641877j -0.10109-0.0756899j 0.0359189+0.036919j 0.0219899-0.0525574j -0.074055-0.0514866j 0.055647-0.049581j 0.110667+0.0624693j 0.0408017-0.0187399j 0.130877-0.0999647j 0.0348244+0.0571679j 0.012825+0.142222j -0.0043741-0.0162009j -0.0131286-0.0474141j 0.0159052-0.0365596j -0.011398-0.037586j -0.116793+0.0240367j -0.0605002+0.101291j 0.0264934+0.0096994j 0.0234096+0.0209616j 0.0916363+0.0803876j 0.0120495-0.0908927j -0.0376664-0.00850727j 0.00861163+0.00447657j -0.0100105-0.0378816j 
0.00417645+0.018193j 0.00663876-0.0170524j -0.0349363-0.0450595j -0.0236597+0.0263048j -0.0425948-0.0299629j 0.0184732-0.0375102j 0.0121237-0.0152347j 0.0135254+0.0140596j 0.0855284+0.0571518j 0.00489001+0.00233812j -0.00749859-0.0848593j 0.041425+0.0607646j 0.0563566+0.0377036j 0.064848+0.0313954j 0.0359524+0.0661493j 0.0589773+0.0528967j -0.0134332+0.0946684j 0.0299644-0.0375695j -0.0270379-0.0703031j -0.00974211-0.0190335j -0.0198298-0.0416341j -0.106121+0.0376734j -0.0161188-0.116097j 0.0155086-0.0688598j 0.0694322-0.0472594j 0.0255174-0.00650155j 0.0329772-0.0304553j -0.00487316+0.0769185j 0.0287081+0.0706056j -0.0591323+2.91434e-16j -0.0745494+0.0577408j 0.11107+0.0476116j -0.0337649-0.0592135j 0.0504207-0.00444076j -0.0383981-0.0998538j -0.10461+0.0442996j -0.0317524-0.00588754j 0.0454191-0.00291766j -0.0248966+0.00269141j 0.0262253-0.0270895j -0.0448119-0.0474912j 0.0798834-0.00518119j -0.141778-0.0185935j 0.0743487+0.0502734j 0.0570942-0.131997j -0.0291753+0.0861377j -0.0200776-0.0798102j 0.111686-0.0138395j 0.00796311-0.00522992j 0.152393+0.0159426j -0.0859493-0.023694j 0.0346668+0.00841583j 0.108889-0.105081j 0.0291821-0.032012j 0.00299475+0.0914818j -0.0146671+0.0308712j 0.0622645+0.0403633j 0.0410665-0.0822356j -0.068701+0.0681004j -0.0277267+0.0470977j -0.0131784-0.00579622j -0.0942112+0.0417307j 0.0311505-0.0275895j 0.0214588-0.014406j -0.033016-0.049517j 0.0371292+0.137555j 0.0825747+0.0403396j 0.00289842+0.0462455j -0.132529-0.0581363j -0.0559025-0.0700885j 0.0136796+0.00180618j -0.0671842-0.0110492j -0.04888-0.00866413j -0.0907719+0.00974892j 0.045707-0.0860947j 0.0244298+0.0570689j -0.0592615+0.0154051j 0.0816287-0.0366423j -0.0764361-0.0127732j -0.010136+0.0116985j 0.0417263-0.0527185j -0.019684-0.00434983j -0.0140795+0.074773j 0.0436753+0.00252997j -0.0309491-0.0457897j -0.0517323-0.0151493j -0.000236915-0.0188474j 0.00938488+0.0506612j 0.0362844-0.131j -0.1012+0.0100334j 0.0495922-0.024334j -0.000999954-0.00667235j 
0.0401822+0.0108757j 0.0185874-0.0108157j -0.014711+0.0485726j -0.0367198+0.0142647j 0.0263087-0.0840755j -0.00573917+0.0318714j 0.00323884+0.0517709j 0.0288298-0.0080641j -0.0604053+0.0114557j -0.0536132+0.042798j -0.0245631-0.0135517j -0.0572846+0.0162845j -0.0682681-0.0447642j -0.0119209-0.00299308j 0.0208904-0.0363929j 0.0580602+0.0251297j 0.0152697+0.0325012j 0.0139024+0.05066j 0.0336671-0.0278888j 0.000822903-0.0161075j 0.00872608-0.196567j -0.017397-0.0829568j -0.0390693+0.0132838j -0.0124123+0.049196j -0.166675+0.0476073j 0.0730549+0.0267499j 0.0664113+0.0969623j -0.0566333-0.0258544j 0.00067028-0.0277394j -0.0745494-0.0577408j -0.0228469-1.31284e-14j 0.0134826+0.0854703j -0.0350425-0.0506749j -0.0085282+0.014952j -0.0511931+0.120391j -0.0390165-0.0431697j -0.0620773-0.0140773j -0.0066821+0.0379739j 0.0753996-0.00946001j -0.00334914+0.146416j -0.0344078+0.0101604j -0.0740045+0.041262j -0.0535818+0.0123798j -0.0176666+0.00930804j 0.0493973-0.0375232j 0.00613317-0.024977j -0.0298511+0.00993318j -0.100747+0.107346j -0.104562-0.00834429j 0.0305899-0.0465615j -0.0265229+0.00358853j -0.0608114+0.0133699j 0.0370809+0.0885718j -0.116237+0.0220932j 0.0829183+0.0148764j 0.0559709-0.0507536j 0.0143686-0.0514196j -0.0312969+0.0960136j -0.0114841-0.00897633j -0.091664+0.011316j 0.0595255-0.00370571j 0.0010559+0.0422878j 0.0109409-0.0293029j -0.0477975+0.0377506j -0.0946002-0.0553044j 0.000347704+0.0150643j -0.0254646-0.00868905j 0.044323+0.0388197j -0.103044+0.00843709j 0.0442901+0.10124j 0.0460411-0.10526j -0.0224104-0.0491488j 0.0346279-0.0509087j -0.0342428+0.0722069j -0.0575369-0.00683596j 0.0604148+0.0203362j 0.00299821-0.0344915j -0.0593528+0.00968285j -0.00766628-0.0877388j -0.017785+0.0914772j -0.00254922-0.0485135j 0.0216781+0.0662136j -0.0721481+0.0866156j -0.0276784+0.104596j 0.026377+0.0115041j 0.0516659-0.0486831j 0.0768388+0.109104j 0.0652857+0.0352559j 0.0301153+0.0359882j 0.0231962-0.00359074j 0.00753779-0.0254197j 0.0536014+0.0124204j 
0.00812193+0.00734647j 0.00337979-0.0125871j 0.0119369+0.00677993j -0.0109806+0.0166524j 0.0230124-0.0452017j 0.0265704+0.0224789j 0.0013547+0.027094j 0.0429084-0.0746666j -0.00540487+0.0242219j 0.0366004+0.0410479j -0.0389198+0.094845j 0.0167988+0.0301077j -0.0817821+0.00693921j -0.0141077-0.0255114j 0.037899+0.00489989j -0.0412848-0.0222103j 0.0327324-0.0307651j -0.0711004+0.00544599j 0.0220545+0.0317583j -0.0300835+0.0109733j 0.00318815+0.0591931j 0.0595489-0.0100132j 0.0944735+0.0347874j 0.0318401+0.0180263j 0.0702357-0.0637166j -0.0147935+0.0721655j -0.0637389-0.0116329j 0.0302845+0.00731784j 0.00339275-0.0730724j 0.11107-0.0476116j 0.0134826-0.0854703j 0.0300047+1.88044e-15j -0.00115517-0.00885506j -0.113858-0.00787263j 0.113711+0.0106529j 0.0172851-0.0656226j 0.0492688-0.024608j -2.42503e-05-0.047372j 0.067867+0.0247378j -0.0184511+0.0955275j -0.0178785+0.104405j 0.0134292+0.0455464j -0.0465638+0.0333818j 0.0352375-0.0285478j -0.0693955+0.0387905j 0.0208361+0.0227584j -0.0656062-0.0261178j 0.0986247+0.0202802j 0.0795567+0.00934409j 0.00606582+0.0511506j 0.0399312-0.0911346j 0.00142239+0.0394789j 0.0563383-0.0272576j 0.0480347+0.000669216j -0.0761798+0.0740836j -0.042176-0.00371552j 0.0313022-0.0194474j -0.024061+0.010284j -0.0255605+0.0042903j 0.0556639+0.0735861j -0.0389744+0.0109174j -0.0561641+0.0378107j 0.0257402+0.0924712j -0.0725004-0.0218986j -0.0166812-0.0486994j 0.010439-0.00812413j 0.0039584+0.018686j -0.120707+0.02786j 0.0291225+0.0358576j -0.0654812-0.0524583j 0.0421198-0.0755006j -0.00928122-0.0251785j -0.0985348+0.0531974j -0.0497487+0.0164862j 0.0105134-0.0182721j -0.0418864+0.0937309j -0.0631568-0.00103585j 0.107276+0.0324392j 0.0632139-0.0284671j -0.033097+0.0186991j 0.0442924+0.100498j -0.113361+0.0411733j -0.00900376+0.0516699j -0.0389194-0.0560628j -0.133714+0.118982j -0.0736226-0.026457j -0.0370791-0.125714j -0.0788378+0.0985751j 0.00174319+0.0102797j -0.06628+0.0159515j -0.0207583+0.0184687j 0.030441-0.0123392j 
-0.0111168+0.0425782j -0.0241578-0.0111078j 0.00632438-0.00457481j 0.0157213+0.0176104j 0.00726076+0.00798361j 0.00120428+0.050074j 0.0245473+0.0295586j -0.000165075-0.0665645j -0.000345116-0.12626j -0.0469345+0.0221652j 0.013831+0.0277829j -0.00462039-0.0794707j 0.00412178+0.0544028j -0.0395987-0.0254901j -0.0625963-0.0606681j 0.0458247-0.0176289j 0.0567884-0.0541175j 0.0445759+0.0742382j 0.0340523+0.143788j 0.0072715-0.11767j -0.0334973+0.00510915j 0.0190174-0.0486516j -0.013937+0.0424713j 0.0686377-0.0893383j 0.0159635+0.0922226j -0.0508692-0.136895j 0.00667297-0.0213749j 0.0114526-0.0517799j 0.0809214-0.0273634j -0.0337649+0.0592135j -0.0350425+0.0506749j -0.00115517+0.00885506j 0.152997-5.37374e-15j -0.0276947+0.114985j 0.0340298-0.00451227j -0.0485593-0.0354206j -0.146719-0.0448405j -0.00994546+0.0249139j 0.094192+0.061599j 0.0809267+0.0433999j 0.0223837+0.0809321j -0.0169099+0.0857829j -0.0217946-0.0283087j 0.00445565-0.102914j -0.0327079-0.0117288j 0.0462958-0.122509j 0.000556963+0.00797573j 0.0112773+0.0595153j -0.0221917+0.0597965j -0.00220796+0.0825762j -0.0326041-0.0652611j -0.00237758-0.0594855j -0.0332731-0.0268807j 0.0532784-0.0182393j -0.0542087-0.0119371j -0.00505473-0.0934308j -0.0189151+0.0128425j 0.0916415-0.0693054j 0.00877652-0.0648723j 0.0731471+0.070843j 0.0592853+0.0694045j 0.0388682+0.0247632j 0.0400728-0.00828218j 0.0336657-0.0461138j 0.04689+0.0131107j 0.0526476+0.0478888j 0.00243593-0.013012j -0.029912+0.0414369j -0.0644845+0.0354874j 0.0581098+0.0194257j 0.0409442-0.0315393j -0.00379586-0.00477445j -0.0201237+0.0758762j -0.0151148-0.111044j 0.0127467+0.0626281j -0.0683351-0.00585364j 0.0499771+0.0313084j -0.0173005+0.02871j -0.00269511+0.151267j -0.016203+0.0216945j -0.0388757+0.0205705j 0.00625166-0.118604j 0.0551132+0.106568j -0.00808626+0.000125509j -0.044573+0.00179984j -0.0136595-0.0851386j 0.0876817+0.0066912j -0.00409277-0.121015j 0.000865415-0.0877645j -0.0667376-0.0184421j 0.0095088-0.0585789j -0.0437719-0.0198996j 
-0.000954063+0.00860295j 0.00650031+0.0157502j -0.0226-0.0218169j 0.0353771+0.0155902j -0.0449861-0.0475654j -0.0400161-0.00496494j -0.0243803+0.0137367j -0.00193491-0.0828941j 0.0652775-0.0328667j 0.0450651+0.100865j -0.0296266-0.0602493j 0.0955137-0.0579181j -0.0685769-0.0686761j 0.0675365+0.0135296j 0.0384047+0.0433465j -0.023911+0.00158999j 0.0447581-0.0106517j -0.00470067+0.000379331j -0.0334044+0.0293298j 0.0190716-0.0828507j -0.0197872+0.120883j 0.0820031+0.0385332j 0.11858+0.0913047j -0.0233677-0.0843144j 0.063539-0.0294028j -0.0495279+0.021603j 0.0385533+0.00506675j 0.0942754-0.0458601j 0.00950458+0.0150527j 0.0504207+0.00444076j -0.0085282-0.014952j -0.113858+0.00787263j -0.0276947-0.114985j 0.0164887+1.66533e-16j 0.0405474-0.00913391j -0.0810233-0.0222311j -0.055999-0.0431339j 0.0655959+0.00357272j 0.00841035+0.0238542j -0.0104226+0.00499922j -0.0311005+0.0702224j -0.024123+0.0278089j 0.0457534-0.0281152j -0.00682413-0.00780996j 0.0239494+0.086874j -0.0300107-0.00432798j 0.0913803+0.0223405j 0.00180373-0.00298308j 0.00126052-0.0124253j 0.0654713-0.0480298j -0.00329757-0.058034j -0.0826376+0.00158939j -0.0476075+0.0699222j -0.0640685-0.0461711j -0.0313133+0.0614349j -0.0625405+0.0395711j -0.0684885+0.0938261j 0.0169772-0.0893723j 0.0429707+0.0788241j -0.049524+0.00581285j -0.032912+0.0764996j 0.0603233+0.00865797j -0.0816657-0.00403908j 0.0278546-0.0499053j 0.0307013+0.0116267j -0.0261616-0.017295j 0.0712189-0.0395647j 0.030122-0.0380757j 0.0321858-0.038723j 0.000134697+0.0527933j 0.00100834-0.0862505j 0.0143757+0.0107992j 0.0565716-0.0252998j -0.0158277+0.0310758j 0.076327-0.0506099j -0.00105586+0.108959j 0.103196-0.10256j 0.0131784-0.0463791j 0.0199733+0.0102532j -0.0524724+0.017116j -0.0721323-0.044764j -0.0116282-0.109587j -0.108013+0.0143649j 0.0375308+0.00308573j 0.0341629-0.0628114j -0.0119335-0.0797489j 0.150384+0.0271246j -0.0196987-0.0221864j 0.00962261-0.066487j -0.054832+0.0224987j 0.0242179+0.00471231j -0.00763327+0.0173825j 
