-0.0816972+3.33067e-14j 0.315908+0.100518j 0.0860032-0.249291j 0.249911+0.0156523j 0.37195-0.800588j -0.00238509+0.0182349j 0.041535+0.0970235j -0.0551831+0.148913j 0.0567823+0.159878j 0.127992-0.129701j -0.147392+0.280655j 0.0555107-0.115793j 0.00493648+0.00579558j -0.0226096+0.0138855j -0.00300901+0.0108927j -0.0112336+0.0192605j -0.0657646-0.032688j -0.00851366+0.0645227j 0.0617252+0.0176543j 0.00237453+0.0627473j 0.0601573+0.0282523j 0.000879951-0.0229415j -0.0440032-0.0799943j -0.0402437+0.113041j -0.0588767+0.0313411j 0.0194791+0.135996j -0.113997-0.0193282j -0.0159355+0.0715082j 0.115288-0.0129979j 0.0341456+0.0106838j -0.0555485-0.0976923j 0.0920245+0.0264747j 0.041497-0.0584751j 0.0195241+0.0490352j 
0.00493648-0.00579558j -0.0182643-0.0410752j -0.026049+0.000954315j 0.0588862-0.0479825j 0.0178452+0.0507805j 0.0277686-0.024115j -0.0331046+0.0471399j -0.145149-0.0140523j -0.147573+0.0317757j -0.114892+0.131241j 0.156165+0.012923j 0.151881-0.189278j 0.0480293-6.245e-15j -0.00929345+0.000754658j -0.00706532+0.0100964j 0.0597772+0.0339512j 0.0277859+0.0168882j 0.0699828+0.0763439j -0.0155612-0.0302519j 0.0328357-0.0176093j 0.0489179+0.055783j -0.0189798-0.0429864j -0.0408213+0.0533876j -0.067664+0.105547j 0.00922885+0.00201171j 0.0286249+0.00560788j -0.0195358-0.086604j 0.0142838-0.0580952j 0.0349207-0.0291845j 0.146116-0.0793018j 0.187142-0.0814074j -0.00570525-0.0563059j -0.114596+0.0714806j 0.192136-0.309501j 
-0.0226096-0.0138855j -0.0193847+0.0518761j -0.0127585+0.0371243j -0.0340075-0.0894151j 0.0445643-0.0563773j 0.0128744-0.04275j 0.140141-0.115496j 0.0288278+0.0787505j 0.0782328-0.0266977j 0.111787+0.158247j 0.113879+0.0853017j 0.227875-0.264127j -0.00929345-0.000754658j -0.124114-2.35284e-13j -0.0128382-0.0079493j -0.13085-0.0418546j 5.95003e-05-0.0618792j -0.0508362-0.0155044j 0.0468294-0.0060195j -0.0371069-0.0189399j -0.0314291+0.0345438j -0.00117297-0.0604437j 0.0564914-0.0172384j 0.0591872+0.0967807j 0.0241263-0.0174736j -0.0487595-0.022398j -0.116463-0.00953584j -0.0285669-0.244548j -0.123145+0.112999j 0.0192237-0.0579959j -0.0695849-0.0298309j 0.0607293-0.0460592j 0.0231228-0.145168j -0.116515+0.0625408j 
-0.00300901-0.0108927j -0.0881339-0.0127574j -0.00683114+0.0329588j -0.0447347-0.105205j 0.0932938+0.0319136j -0.00060736+0.00372751j -0.0286834-0.0106234j 0.000462061-0.0500664j -0.00623311-0.0280956j -0.061972-0.0896016j -0.041894-0.0138446j -0.0171265+0.113267j -0.00706532-0.0100964j -0.0128382+0.0079493j -0.0710826+3.29847e-13j 0.0180363-0.0177204j -0.0728796-0.0354162j 0.120829+0.0373363j 0.0942948+0.0968245j 0.0377111+0.0784628j 0.119485+0.0186686j -0.0272076-0.0541489j 0.0236116-0.159251j -0.124212+0.0547884j -0.0297486-0.0601399j 0.024872-0.111628j 0.1429-0.106654j -0.126657+0.112966j -0.270456+0.0493851j 0.228286-0.11208j -0.012824+0.000311305j 0.339979-0.457593j 0.0620201-0.0435441j -0.00180698-0.0584336j 
-0.0112336-0.0192605j -0.0494057-0.027563j -0.0370634-0.0378368j 0.101523+0.0135257j 0.0525814+0.0975563j -0.00865718-0.0914388j 0.0448472-0.106796j -0.111677+0.0371818j -0.0153321+0.0610837j -0.110311-0.00214199j 0.109389-0.156969j 0.0555373-0.134002j 0.0597772-0.0339512j -0.13085+0.0418546j 0.0180363+0.0177204j 0.0600087+7.8007e-14j -0.0693657-0.0815801j 0.1151+0.0624232j 0.09103-0.00821001j 0.0127946-0.0490681j 0.0818486-0.00898883j -0.0349823+0.0276348j 0.0406799+0.0816421j -0.0602073-0.0717744j 0.134932-0.116877j 0.0330453+0.249362j 0.042807-0.0427484j 0.0965913+0.164434j -0.061986-0.187013j 0.0308486+0.0150076j 0.0208167+0.176693j 0.0177301+0.00496788j 0.0761692+0.0308441j -0.181648+0.080923j 
-0.0657646+0.032688j 0.0649829+0.0248529j 0.0138774+0.0277973j -0.0791361-0.0242552j -0.0275692-0.00601675j 0.0121208-0.0503089j 0.0263221-0.0152183j -0.154434+0.00310224j -0.0418512+0.0702906j -0.217601-0.0242016j 0.0498056-0.091026j 0.0984575+0.0422189j 0.0277859-0.0168882j 5.95003e-05+0.0618792j -0.0728796+0.0354162j -0.0693657+0.0815801j 0.236827-3.88506e-12j 0.0454676-0.0757992j -0.0645929-0.0308724j 0.0185902-0.019892j -0.0551298-0.00699956j -0.0346708-0.0939165j -0.0611578-0.0823488j 0.06486-0.0715413j -0.166572+0.101083j 0.00822386-0.197514j -0.110089-0.0847216j 0.127916+0.0393477j -0.0294431+0.00897837j 0.0108703+0.202446j 0.0329298+0.0222796j -0.226375+0.0965125j -0.0111609+0.0559546j -0.15138+0.0814947j 
-0.00851366-0.0645227j -0.0366936+0.0260013j 0.0130122-0.0064696j -0.0129919+0.0831201j -0.11702+0.00836822j -0.0586702-0.0996703j 0.0240067+0.028698j -0.0639427+0.0332898j -0.0487075+0.0196277j -0.143465+0.0717928j 0.0509689-0.179843j 0.0481097-0.0285172j 0.0699828-0.0763439j -0.0508362+0.0155044j 0.120829-0.0373363j 0.1151-0.0624232j 0.0454676+0.0757992j -0.110428+3.15581e-14j -0.0562393-0.0690596j -0.0552239-0.0395846j -0.0382116+0.0536281j 0.0879012+0.084295j 0.00437775-0.0822686j -0.00894987+0.0806164j 0.0756992+0.266839j -0.084853-0.212802j 0.146595-0.0420347j -0.00511145+0.0554936j 0.195834+0.265764j -0.0166224+0.0177516j -0.0696316-0.185733j 0.273497-0.0571013j 0.12113-0.114084j -0.0315584+0.0270502j 
0.0617252-0.0176543j 0.077484+0.017706j -0.0302743+0.0346206j 0.0523363-0.000351238j 0.0138567-0.0744828j -0.0213672+0.087399j -0.106655-0.0742738j -0.00833263+0.10386j 0.139959-0.0840829j -0.0386798-0.00693483j 0.0837209+0.192969j 0.0194833-0.206392j -0.0155612+0.0302519j 0.0468294+0.0060195j 0.0942948-0.0968245j 0.09103+0.00821001j -0.0645929+0.0308724j -0.0562393+0.0690596j -0.0230681-1.17573e-13j -0.0851257-0.0576936j -0.083049-0.0686367j -0.12676-0.0950616j 0.0116603-0.0399509j -0.0209778-0.0823456j -0.00624027+0.111485j -0.0833363-0.00171875j -0.148305+0.125411j -0.168799+0.0891965j -0.00782513+0.0527819j 0.130134+0.0330728j 0.097097+0.167149j 0.118982-0.108247j 0.0265801+0.249525j -0.0158091+0.064883j 
0.00237453-0.0627473j 0.0369783-0.0330788j 0.020577-0.120933j -0.0674852-0.115522j -0.112088-0.0161195j 0.0224347+0.0079682j -0.00495365-0.059564j 0.00565434-0.0776289j -0.0932034+0.210352j 0.135694+0.104318j -0.223841-0.0146286j 0.00926776+0.115877j 0.0328357+0.0176093j -0.0371069+0.0189399j 0.0377111-0.0784628j 0.0127946+0.0490681j 0.0185902+0.019892j -0.0552239+0.0395846j -0.0851257+0.0576936j 0.0255544-7.49692e-13j 0.136971-0.146513j 0.0271617+0.0853363j -0.0183468+0.00853982j 0.05962-0.105777j -0.0824704+0.0838973j -0.0850567-0.089236j -0.340846-0.200134j 0.143267-0.128094j -0.157374+0.0376547j 0.120287+0.0814194j -0.0384191+0.0471396j 0.13391-0.10865j -0.119771-0.00776613j -0.0220944-0.0888326j 
0.0601573-0.0282523j 0.0804198-0.0462831j 0.0769448+0.110945j 0.103458-0.0517436j -0.0207744-0.135699j -0.0613095-0.0928681j 0.0338262+0.0298456j -0.00212691-0.107892j -0.0801618+0.142452j 0.0730308+0.0682668j -0.114883-0.0261388j 0.124225+0.0900387j 0.0489179-0.055783j -0.0314291-0.0345438j 0.119485-0.0186686j 0.0818486+0.00898883j -0.0551298+0.00699956j -0.0382116-0.0536281j -0.083049+0.0686367j 0.136971+0.146513j -0.126355-7.30124e-13j -0.0810654-0.122968j 0.036955+0.107097j -0.103451-0.0129755j 0.054714+0.159319j -0.253165+0.175708j 0.0853335+0.090162j -0.0804625-0.0042149j -0.0793733-0.203404j 0.00430024-0.202979j 0.0314219+0.243329j -0.0252492+0.122451j 0.0466914+0.0211764j -0.0258316-0.00869696j 
0.000879951+0.0229415j -0.0301243+0.11678j 0.112552+0.0760217j 0.186928+0.0750186j 0.0538665-0.0341065j 0.0374865+0.0273379j -0.0592208-0.0273944j -0.00225876-0.0379943j 0.0341146+0.083334j 0.106618-0.0147621j -0.0407711+0.127761j 0.0152117+0.00422993j -0.0189798+0.0429864j -0.00117297+0.0604437j -0.0272076+0.0541489j -0.0349823-0.0276348j -0.0346708+0.0939165j 0.0879012-0.084295j -0.12676+0.0950616j 0.0271617-0.0853363j -0.0810654+0.122968j 0.0181613-1.18544e-13j 0.180737-0.116017j -0.0372547+0.1209j 0.514931+0.292579j 0.0535979+0.155982j 0.0741869-0.0896582j -0.000591582+0.112738j 0.0818322+0.264269j -0.166833+0.110368j 0.131011-0.117125j 0.0377681+0.0527874j -0.0233221+0.0177712j -0.0111048-0.00164011j 
-0.0440032+0.0799943j 0.0214093+0.0419191j -0.0092007-0.0617952j 0.0238363-0.00436292j -0.0415098+0.109645j -0.0791402-0.105061j -0.118601+0.0640954j 0.156208-0.126083j -0.153503-0.0286005j 0.0738605+0.186853j 0.051692+0.131764j 0.131672-0.0547263j -0.0408213-0.0533876j 0.0564914+0.0172384j 0.0236116+0.159251j 0.0406799-0.0816421j -0.0611578+0.0823488j 0.00437775+0.0822686j 0.0116603+0.0399509j -0.0183468-0.00853982j 0.036955-0.107097j 0.180737+0.116017j 0.0286747-4.37044e-13j -0.0751659-0.0117664j 0.0403591-0.115952j 0.100261+0.0161174j 0.05907-0.0995978j 0.0225609+0.0771222j 0.0122149-0.0852233j -0.0715394+0.0693875j 0.0581384+0.0785718j -0.117707+0.0572289j 0.0622926+0.0974875j -0.0661437+0.107788j 
-0.0402437-0.113041j -0.0212701-0.00769683j -0.0111956+0.0625173j -0.0201216+0.0393932j -0.0448688-0.0807604j -0.13275-0.0534708j -0.0549105+0.13317j 0.0720083-0.188116j -0.153567+0.0318384j 0.157203+0.123127j 0.118127+0.0638759j 0.0744335-0.104835j -0.067664-0.105547j 0.0591872-0.0967807j -0.124212-0.0547884j -0.0602073+0.0717744j 0.06486+0.0715413j -0.00894987-0.0806164j -0.0209778+0.0823456j 0.05962+0.105777j -0.103451+0.0129755j -0.0372547-0.1209j -0.0751659+0.0117664j 0.0232649-9.59771e-13j -0.183354+0.111379j -0.0408311-0.103102j -0.0156448+0.0104666j -0.0170286+0.0415523j -0.0124402+0.0767307j 0.0612564+0.0783439j -0.0364694-0.0739469j 0.0158591-0.165447j 0.0589243-0.0168437j -0.0412651+0.0540441j 
-0.0588767-0.0313411j 0.184394-0.0771965j -0.11312+0.0744206j -0.0336914-0.114419j -0.00175352+0.0276938j 0.0145848-0.00685806j -0.0407978-0.127371j -0.104831-0.0144864j -0.0337346+0.0822391j 0.00290018-0.0374323j -0.0588408+0.0257221j 0.038802-0.0268937j 0.00922885-0.00201171j 0.0241263+0.0174736j -0.0297486+0.0601399j 0.134932+0.116877j -0.166572-0.101083j 0.0756992-0.266839j -0.00624027-0.111485j -0.0824704-0.0838973j 0.054714-0.159319j 0.514931-0.292579j 0.0403591+0.115952j -0.183354-0.111379j 0.0195388-5.90805e-13j -0.0797818-0.124136j -0.0295885-0.0881705j -0.122357-0.0930521j 0.0949201+0.0886152j -0.0363556-0.0904405j -0.0393026+0.0218055j 0.028656+0.0579757j -0.00108618+0.0583315j 0.0194366+0.04473j 
0.0194791-0.135996j 0.106934+0.0491123j -0.0769382+0.109943j 0.0778737+0.0415861j -0.0629957-0.0280781j 0.124548-0.0866862j -0.114503+0.0252856j -0.0731726+0.0723226j 0.08275+0.139806j -0.00162124-0.108495j 0.0287467-0.0267708j -0.0633412+0.0947953j 0.0286249-0.00560788j -0.0487595+0.022398j 0.024872+0.111628j 0.0330453-0.249362j 0.00822386+0.197514j -0.084853+0.212802j -0.0833363+0.00171875j -0.0850567+0.089236j -0.253165-0.175708j 0.0535979-0.155982j 0.100261-0.0161174j -0.0408311+0.103102j -0.0797818+0.124136j -0.129229-2.66939e-13j -0.13642+0.148594j -0.0858342-0.0692194j -0.0376241+0.0511398j -0.0590673-0.0104224j 0.0827342-0.00443185j -0.115464-0.0194478j 0.0328593-0.0323851j -0.0469412-0.0593505j 
-0.113997+0.0193282j 0.0611352-0.113769j 0.019319+0.118891j -0.0391779-0.0276023j 0.00370203+0.064713j -0.00607903+0.113533j 0.224489-0.01642j 0.133935-0.106511j -0.094272-0.208968j 0.00619357+0.0775775j 0.00877364-0.0628171j -0.0220955+0.00751828j -0.0195358+0.086604j -0.116463+0.00953584j 0.1429+0.106654j 0.042807+0.0427484j -0.110089+0.0847216j 0.146595+0.0420347j -0.148305-0.125411j -0.340846+0.200134j 0.0853335-0.090162j 0.0741869+0.0896582j 0.05907+0.0995978j -0.0156448-0.0104666j -0.0295885+0.0881705j -0.13642-0.148594j 0.0202941+4.31835e-13j 0.0903006+0.0581806j 0.0585021+0.0413626j -0.0131177+0.0248502j -0.0160893+0.0456082j 0.0415113+0.0790277j -0.0379513-0.0188738j 0.032121-0.0176485j 
-0.0159355-0.0715082j 0.054835-0.00362187j 0.0308344+0.0358136j 0.073077-0.0191584j -0.063506-0.0182963j 0.0198342+0.206596j 0.0882749-0.199779j 0.0372974-0.00375129j -0.140607-0.0858092j 0.00803828+0.104766j -0.109842+0.0679296j -0.0201203-0.0870658j 0.0142838+0.0580952j -0.0285669+0.244548j -0.126657-0.112966j 0.0965913-0.164434j 0.127916-0.0393477j -0.00511145-0.0554936j -0.168799-0.0891965j 0.143267+0.128094j -0.0804625+0.0042149j -0.000591582-0.112738j 0.0225609-0.0771222j -0.0170286-0.0415523j -0.122357+0.0930521j -0.0858342+0.0692194j 0.0903006-0.0581806j -0.0220687-1.75783e-13j -0.0555627-0.0746348j -0.0715956-0.0377589j 0.0925011-0.00286607j -0.0920012-0.0946503j -0.0460678+0.00607758j 0.0143391+0.0301686j 
0.115288+0.0129979j -0.00902428-0.086253j -0.0126846-0.005948j -0.0373727-0.0263147j 0.0105254-0.0613544j 0.0484316+0.0313891j 0.0534849+0.183505j 0.143558+0.069429j 0.048048+0.0156797j 0.0623737+0.0332151j 0.0262855-0.0246685j -0.0588882+0.100944j 0.0349207+0.0291845j -0.123145-0.112999j -0.270456-0.0493851j -0.061986+0.187013j -0.0294431-0.00897837j 0.195834-0.265764j -0.00782513-0.0527819j -0.157374-0.0376547j -0.0793733+0.203404j 0.0818322-0.264269j 0.0122149+0.0852233j -0.0124402-0.0767307j 0.0949201-0.0886152j -0.0376241-0.0511398j 0.0585021-0.0413626j -0.0555627+0.0746348j -0.103782+2.38726e-13j 0.0354221-0.0772667j 0.119059+0.0630367j -0.119948-0.0314585j 0.0569397+0.0186917j -0.0693071-0.0775642j 
0.0341456-0.0106838j -0.0794696+0.0218893j -0.0148254+0.027354j 0.0708133-0.0255337j 0.063224+0.0333682j 0.101067-0.0375873j 0.0479416+0.0874029j 0.211784-0.0197973j 0.0375498+0.0695142j 0.150209+0.00434507j 0.029838+0.0159612j 0.0108106+0.047058j 0.146116+0.0793018j 0.0192237+0.0579959j 0.228286+0.11208j 0.0308486-0.0150076j 0.0108703-0.202446j -0.0166224-0.0177516j 0.130134-0.0330728j 0.120287-0.0814194j 0.00430024+0.202979j -0.166833-0.110368j -0.0715394-0.0693875j 0.0612564-0.0783439j -0.0363556+0.0904405j -0.0590673+0.0104224j -0.0131177-0.0248502j -0.0715956+0.0377589j 0.0354221+0.0772667j 0.242717+2.11402e-12j -0.062187-0.0848696j 0.0595183+0.0314723j -0.000499054+0.0608489j -0.0290674-0.0141974j 
-0.0555485+0.0976923j 0.0955908-0.009131j 0.0358733-0.0359315j -0.0497157+0.02661j 0.0144516-0.0177809j 0.0626549+0.137779j 0.111102+0.153689j 0.109021-0.0019763j 0.0138149+0.0573802j 0.111109+0.0357484j 0.0487329+0.111579j -0.0088523+0.0879355j 0.187142+0.0814074j -0.0695849+0.0298309j -0.012824-0.000311305j 0.0208167-0.176693j 0.0329298-0.0222796j -0.0696316+0.185733j 0.097097-0.167149j -0.0384191-0.0471396j 0.0314219-0.243329j 0.131011+0.117125j 0.0581384-0.0785718j -0.0364694+0.0739469j -0.0393026-0.0218055j 0.0827342+0.00443185j -0.0160893-0.0456082j 0.0925011+0.00286607j 0.119059-0.0630367j -0.062187+0.0848696j 0.0515702-8.1754e-14j -0.010185+0.0160495j 0.134238+0.0464802j -0.0573592-0.0334217j 
0.0920245-0.0264747j 0.0499529-0.106282j -0.00509547-0.0331808j 0.0863283-0.00929024j -0.00653807+0.0109922j 0.0166667+0.115973j 0.0409237-0.0156359j -0.0647716+0.0904378j -0.00742913+0.0255782j -0.00249016+0.0493651j 0.0265423-0.00857652j -0.000501391+0.0035741j -0.00570525+0.0563059j 0.0607293+0.0460592j 0.339979+0.457593j 0.0177301-0.00496788j -0.226375-0.0965125j 0.273497+0.0571013j 0.118982+0.108247j 0.13391+0.10865j -0.0252492-0.122451j 0.0377681-0.0527874j -0.117707-0.0572289j 0.0158591+0.165447j 0.028656-0.0579757j -0.115464+0.0194478j 0.0415113-0.0790277j -0.0920012+0.0946503j -0.119948+0.0314585j 0.0595183-0.0314723j -0.010185-0.0160495j -0.0772227-7.49401e-15j -0.0117508-0.0103051j -0.00694076+0.0100458j 
