-0.0091423+1.42178e-14j 0.0463277+0.000233631j -0.0160773-0.033342j 0.182686+0.0402003j 0.69337-0.109816j -0.0107263-0.0100943j -0.0183984+0.0200164j 0.0253335-0.049287j -0.0395945+0.113341j 0.0710274-0.0861594j 0.360091-0.0476495j -0.423191-0.151433j 0.00496472-0.00749114j 0.0130212+0.0138265j -0.00806116-0.00159231j -0.021941-0.00278778j -0.00335405-0.0220661j 0.0285493-0.0143472j -0.0300031-0.0199469j 0.00753358-0.00672311j -0.0162994+0.0422636j 0.000794327+0.0181871j 0.0262869-0.00190662j -0.0287315+0.0766909j 0.0207528-0.0109891j -0.0992302+0.157356j -0.104272-0.0756637j -0.103751-0.102859j 0.16455+0.0697617j -0.0484909+0.00651067j -0.013829+0.208238j 0.147245+0.0874748j -0.117381+0.0590184j -0.142341+0.108716j 
-0.00806116+0.00159231j 0.00566164-0.0261375j -0.00631087-0.0145826j 0.0139732+0.0459276j 0.147002+0.0843513j -0.0111418-0.00152256j -0.0100267-0.013284j -0.0267637-0.00585215j 0.0242322+0.00961844j 0.0158129-0.0431723j 0.0812512+0.238207j -0.190553+0.246973j -0.00173639-0.00476109j 0.00323261+0.0188831j 0.00524512+2.51188e-15j 0.0068571-0.00808018j -0.00646585+0.00126525j 0.00114605-0.0154658j -0.00252667+0.00504601j 0.00524262+0.0116572j -0.00343767+0.00980698j -0.0114628+0.00665842j -0.0179482-0.0289513j -0.0172779+0.0313585j 0.00849088+0.00365692j 0.00787303+0.0113675j -0.00286749-0.0249517j 0.0411315-0.00295455j 0.0425769+0.0255846j 0.0566008-0.0384327j 0.0239281-0.0853461j 0.257895+0.0865355j 0.0583017+0.129703j 0.0384481-0.438512j 
-0.021941+0.00278778j 0.0369293-0.0743403j 0.0454275-0.0730388j -0.0563178+0.0713705j 0.0145635-0.207793j 0.00126094+0.000413398j -0.00272483+0.0316794j -0.0221497+0.00213953j -0.00122466+0.0165943j -0.0817489-0.0365388j 0.021971+0.207728j 0.0587606-0.264997j 0.0124874-0.0102809j 0.0290503-0.00561967j 0.0068571+0.00808018j -0.0403787-3.64847e-14j -0.0169234+0.0479137j 0.0145496-0.00397964j -0.0127746+0.0492956j 0.0428723+0.0100004j -0.0212215-0.0192201j -0.0151977+0.0281811j -0.0685964+0.0116817j 0.0532294+0.112546j 0.022444-0.0180392j -0.0192639-0.00519811j -0.00354279-0.128592j -0.0178292+0.0840461j -0.10899+0.200313j 0.222484+0.171109j 0.188703-0.0727999j -0.0290883+0.0777409j -0.11798+0.135639j 0.107666+0.0475374j 
-0.00335405+0.0220661j -0.0130347-0.0291165j 0.0403262-0.0545246j -0.193542-0.0395589j 0.0562315-0.0108002j 0.00725301+0.0180074j -0.0453706+0.0165182j -0.0046503+0.0676111j -0.0384002-0.0724211j -0.135989-0.17191j 0.248515-0.0754228j 0.0294384+0.194049j 0.00561286+0.0178105j 0.027077+0.00551766j -0.00646585-0.00126525j -0.0169234-0.0479137j -0.0208357-1.31284e-14j -0.0412192+0.0268109j -0.0105698-0.0100904j 0.032345+0.011422j 0.0344305-0.03177j 0.0034157+0.0306086j -0.0742018+0.0377818j 0.0420661+0.0950732j 0.0514063+0.0193244j -0.0382271-0.0946702j 0.00310847-0.0911001j -0.0996401+0.0873391j -0.0935571+0.0172565j -0.0952114+0.102553j 0.223513+0.179017j -0.0481734+0.0387875j -0.00597149-0.323697j -0.0188373+0.0322689j 
0.0285493+0.0143472j -0.0504588+0.0368476j -0.0361022-0.000757642j 0.0301238+0.200185j -0.164822-0.0752741j -0.0138686-0.0112676j -0.014918-0.0259729j -0.00244449-0.027673j 0.0396258+0.0200385j -0.00180369-0.241755j -0.143256+0.274479j 0.0606537+0.0154499j 0.00508071-0.00210573j -0.0311667+0.0445742j 0.00114605+0.0154658j 0.0145496+0.00397964j -0.0412192-0.0268109j 0.0239852+1.71189e-13j 0.0218529-0.014302j -0.013912+0.0638246j 0.0231018+0.0537814j -0.0232377+0.0214406j 0.0274072-0.0987989j -0.0684925+0.0116277j -0.118328+0.140974j 0.103433-0.0291003j 0.158821+0.107527j -0.106044-0.203699j 0.0304519-0.118992j -0.0891003+0.0215795j -0.110728+0.202012j -0.0412391-0.0231385j 0.114986-0.023525j 0.0197438+0.0368148j 
-0.0300031+0.0199469j 0.0283832-0.117927j -0.0705297+0.0865212j -0.0464667+0.087999j 0.105196+0.101106j -0.00278474+0.0265338j -0.066391+0.0168866j -0.024691-0.0174424j -0.100145-0.172131j 0.150831+0.0206882j 0.0713327+0.0887141j -0.0711174+0.0460192j 0.000469341+0.011622j 0.0332317+0.0172447j -0.00252667-0.00504601j -0.0127746-0.0492956j -0.0105698+0.0100904j 0.0218529+0.014302j -0.0693342-2.29358e-13j -0.0272886+0.0135181j -0.0219044-0.0427997j -0.0110915-0.0688784j -0.0130921-0.100484j -0.116559+0.106524j 0.0636274-0.0209796j -0.202214+0.187068j 0.132843+0.0636378j 0.217895+0.233348j -0.107789-0.20745j -0.0963881+0.0816559j -0.022457+0.0843428j -0.037463-0.00373199j -0.0414709-0.063788j 0.00511881+0.0529129j 
0.00753358+0.00672311j -0.0353189+0.00879877j -0.107313-0.221661j -0.000145691-0.147239j -0.104618-0.0740043j -0.00934777+0.011661j -0.0177942-0.0280985j -0.0629671-0.00780046j -0.0144156+0.0610007j 0.19039+0.0736114j 0.0180936+0.111358j 0.0269995-0.0096694j -0.0143449+0.000291251j 0.00524998+0.0169325j 0.00524262-0.0116572j 0.0428723-0.0100004j 0.032345-0.011422j -0.013912-0.0638246j -0.0272886-0.0135181j 0.00220966-3.08337e-13j -0.0268215-0.0122911j -0.0143812+0.00596008j 0.0267497-0.0708361j -0.0921446-0.102474j 0.227806-0.170139j 0.16811-0.160658j -0.217128-0.323941j -0.137994-0.0690388j -0.155116-0.108192j -0.000829688+0.0858j 0.000240758+0.124731j -0.000952419-0.0250576j 0.0210076-0.00871987j -0.00253124-0.00424463j 
-0.0162994-0.0422636j 0.0703006+0.05323j -0.182987+0.0141539j -0.0767074-0.0370846j -0.0999637+0.159903j 0.0224698+0.00416953j 0.0370692+0.0270682j -0.0419203-0.0341937j -0.122543+0.165303j 0.0567912-0.0599144j -0.0258133-0.0824697j 0.0789982+0.0926515j -0.000891468+0.000749519j 0.022777-0.0414324j -0.00343767-0.00980698j -0.0212215+0.0192201j 0.0344305+0.03177j 0.0231018-0.0537814j -0.0219044+0.0427997j -0.0268215+0.0122911j -0.000949377-1.76442e-13j -0.0501381-0.0370654j -0.10752+0.062934j 0.123834+0.15751j 0.0167333+0.0522678j 0.0623186+0.329537j 0.164257-0.16044j 0.20494-0.192132j -0.104335+0.0280631j 0.0335462+0.0906601j 0.0180054+0.00784441j 0.00358456+0.00892067j -0.0321979+0.0519936j 0.0165741-0.00723078j 
0.000794327-0.0181871j 0.0548024+0.0214371j 0.14489-0.101457j 0.159142-0.0381548j -0.0250492+0.0103202j 0.0242175-0.0039246j 0.00844684+0.0189621j 0.0563901+0.0262983j 0.0022579+0.100432j 0.122148-0.296888j -0.0333325-0.0896328j 0.0124973+0.0458664j 0.00391347+0.0140826j 0.0049111-0.0208673j -0.0114628-0.00665842j -0.0151977-0.0281811j 0.0034157-0.0306086j -0.0232377-0.0214406j -0.0110915+0.0688784j -0.0143812-0.00596008j -0.0501381+0.0370654j -0.0228516-2.64649e-13j -0.0397542-0.0616015j -0.0832016+0.0818002j -0.0860543-0.340147j -0.0140861-0.0562536j -0.227436+0.170401j 0.05848-0.019903j -0.122185+0.138696j 0.046893+0.0208285j 0.0208692-0.0117463j -0.0108557-0.00523095j 0.000263945+0.0335123j 0.00141345+0.0101198j 
0.0262869+0.00190662j 0.131035-0.088354j 0.0259461-0.0987662j -0.120571+0.0415285j -0.0255158+0.0726361j 0.022766-0.0436238j 0.0124088+0.0616166j 0.0703747+0.184397j -0.166197-0.130085j -0.104793-0.104196j 0.0269099-0.0543667j -0.0254154+0.0134716j 0.0332781+0.0105348j -0.0311503-0.0190946j -0.0179482+0.0289513j -0.0685964-0.0116817j -0.0742018-0.0377818j 0.0274072+0.0987989j -0.0130921+0.100484j 0.0267497+0.0708361j -0.10752-0.062934j -0.0397542+0.0616015j 0.226293-3.31085e-12j -0.0286707-0.309537j 0.0803536-0.0819614j 0.121971+0.157673j -0.093928-0.0969594j 0.112389-0.10212j 0.0651936-0.0097708j -0.0437255-0.0898171j -0.0507707-0.109202j -0.0180198+0.0303053j -0.0100764+0.00187468j 0.012393+0.03648j 
-0.0287315-0.0766909j -0.119791-0.0334972j -0.0229627-0.0977286j 0.135917+0.0875117j 0.0235738-0.00375299j 0.0232035+0.0116116j -0.0220479-0.0625627j -0.105299+0.0992452j 0.1694-0.122011j 0.071964-0.184282j -0.0195201+0.0679363j -0.0228938-0.0457083j -0.014438+0.0359346j 0.0105348+0.00930168j -0.0172779-0.0313585j 0.0532294-0.112546j 0.0420661-0.0950732j -0.0684925-0.0116277j -0.116559-0.106524j -0.0921446+0.102474j 0.123834-0.15751j -0.0832016-0.0818002j -0.0286707+0.309537j 0.222274+1.75332e-13j 0.0387362+0.0566827j -0.11003+0.0605263j 0.0242823-0.0691404j 0.0112448+0.0988403j -0.0289784+0.0937336j 0.0705732-0.0378407j 0.0670465-0.00797963j -0.0170892-0.0280717j 0.0340174-0.0177629j -0.0313993+0.0072758j 
0.0207528+0.0109891j -0.161265-0.0392706j 0.14603+0.102741j -0.0528578+0.0215297j 0.00352117-0.018672j 0.0112972-0.0443j -0.0342305+0.092166j -0.120544-0.295623j 0.00138056-0.107112j -0.0556873+0.0304004j 0.00943424-0.020234j 0.0234692+0.0040239j 0.00201447-0.00822172j -0.00109123-0.0360009j 0.00849088-0.00365692j 0.022444+0.0180392j 0.0514063-0.0193244j -0.118328-0.140974j 0.0636274+0.0209796j 0.227806+0.170139j 0.0167333-0.0522678j -0.0860543+0.340147j 0.0803536+0.0819614j 0.0387362-0.0566827j -0.0234539-3.4478e-13j 0.0441916+0.0374024j 0.0157818-0.00156828j -0.0110895-0.0618285j -0.0229447+0.0199941j 0.00326509+0.0302286j -0.0152005+0.028191j 0.010643-0.00615255j 0.00381544+0.0201542j 0.00432577-0.0122004j 
-0.0992302-0.157356j -0.0708805+0.0409668j 0.184635+0.0161748j 0.0699136-0.0539853j -0.0178009+0.0438964j -0.0787802+0.0889457j 0.0304589-0.077707j 0.0573757+0.0551133j 0.119799+0.173583j -0.0458883+0.0347261j -0.0384097+0.0223684j -0.0220458+0.00370325j -0.0191504-0.0124209j 0.0332369+0.0554934j 0.00787303-0.0113675j -0.0192639+0.00519811j -0.0382271+0.0946702j 0.103433+0.0291003j -0.202214-0.187068j 0.16811+0.160658j 0.0623186-0.329537j -0.0140861+0.0562536j 0.121971-0.157673j -0.11003-0.0605263j 0.0441916-0.0374024j 0.00447354-3.13083e-13j -0.0280089-0.0066903j 0.0224415+0.0361339j -0.0210847-0.051067j -0.0333566+0.0286173j 0.0180374+0.017642j -0.00152029+0.00793545j -0.0220714-0.0368802j 0.000132039-0.00179651j 
-0.104272+0.0756637j 0.000266844+0.142153j 0.108283-0.223439j -0.0335313-0.0102983j 0.00890997-0.00891999j -0.0267114-0.00489139j -0.0204144+0.115985j 0.192326-0.0656283j 0.0170567+0.0560783j -0.0642697+0.00547429j 0.0212848-0.030143j 0.00880204+0.0121404j 0.00364468-0.00260561j -0.0222631-0.0149094j -0.00286749+0.0249517j -0.00354279+0.128592j 0.00310847+0.0911001j 0.158821-0.107527j 0.132843-0.0636378j -0.217128+0.323941j 0.164257+0.16044j -0.227436-0.170401j -0.093928+0.0969594j 0.0242823+0.0691404j 0.0157818+0.00156828j -0.0280089+0.0066903j -0.003011+5.7454e-15j 0.0256783-0.011957j 0.0137725-0.0613051j -0.0301228-0.0112688j -0.0411958-0.0132388j 0.00471621+0.0119222j -0.00686517+0.0157237j 0.0135181+0.0021019j 
-0.103751+0.102859j 0.0507003+0.0874362j -0.0683486-0.0893585j -0.027993-0.121251j 0.029433+0.0230235j -0.0680173-0.0488543j 0.07075-0.0841513j -0.145574+0.009501j -0.107074+0.177053j 0.0247789-0.0177481j -0.0666725-0.0211242j 0.00014935-0.0269388j 0.00871538-0.0595971j -0.0428961+0.0694679j 0.0411315+0.00295455j -0.0178292-0.0840461j -0.0996401-0.0873391j -0.106044+0.203699j 0.217895-0.233348j -0.137994+0.0690388j 0.20494+0.192132j 0.05848+0.019903j 0.112389+0.10212j 0.0112448-0.0988403j -0.0110895+0.0618285j 0.0224415-0.0361339j 0.0256783+0.011957j -0.0638141-1.29313e-13j 0.0197699-0.0120942j -0.0080549-0.00660759j -0.012938+0.0462457j 0.00452713-0.0029452j 0.0290482-0.0137806j 0.00322394-0.0130988j 
0.16455-0.0697617j -0.0328201+0.204162j -0.0344701+0.00154703j 0.0495663+0.0355048j -0.0312217+0.0114272j 0.0576323-0.0246011j -0.142071-0.267485j 0.00306627-0.249962j 0.0433525-0.0185395j 0.000683728-0.0211616j -0.0137411+0.0269598j -0.0137053+0.0107999j 0.0146771-0.0378754j 0.12119+0.0301537j 0.0425769-0.0255846j -0.10899-0.200313j -0.0935571-0.0172565j 0.0304519+0.118992j -0.107789+0.20745j -0.155116+0.108192j -0.104335-0.0280631j -0.122185-0.138696j 0.0651936+0.0097708j -0.0289784-0.0937336j -0.0229447-0.0199941j -0.0210847+0.051067j 0.0137725+0.0613051j 0.0197699+0.0120942j 0.0228797-3.39589e-14j -0.040726+0.0271402j 0.0131231-0.00160977j 0.000526418+0.0129848j -0.0301376-0.0417042j 0.00351391-0.000262386j 
-0.0484909-0.00651067j 0.191174-0.0449961j 0.0398+0.0525359j 0.0107326-0.026044j 0.00182053+0.0234909j 0.0381003-0.194893j 0.244404+0.0993636j 0.141532-0.169548j -0.0420792+0.0712253j 0.000156414+0.0690663j -0.0440233-0.0209046j 0.00910344-0.0182459j -0.0201408-0.0495739j -0.0116716+0.329048j 0.0566008+0.0384327j 0.222484-0.171109j -0.0952114-0.102553j -0.0891003-0.0215795j -0.0963881-0.0816559j -0.000829688-0.0858j 0.0335462-0.0906601j 0.046893-0.0208285j -0.0437255+0.0898171j 0.0705732+0.0378407j 0.00326509-0.0302286j -0.0333566-0.0286173j -0.0301228+0.0112688j -0.0080549+0.00660759j -0.040726-0.0271402j -0.0185505+2.38004e-14j -0.0189375+0.0430052j 0.00818063-0.000125966j 0.0236051-0.000947536j 0.00693594-0.0181211j 
-0.013829-0.208238j 0.0567612+0.0743397j 0.0444579+0.075657j -0.0341657-0.0765342j 0.0227463+0.0062972j 0.0599766+0.255066j 0.0229783-0.214406j 0.0892354-0.0446224j -0.00290615-0.0139506j 0.0202959+0.00461919j -0.00431621-0.0316373j 0.00238703+0.000311107j 0.113592-0.0418357j -0.123249-0.126731j 0.0239281+0.0853461j 0.188703+0.0727999j 0.223513-0.179017j -0.110728-0.202012j -0.022457-0.0843428j 0.000240758-0.124731j 0.0180054-0.00784441j 0.0208692+0.0117463j -0.0507707+0.109202j 0.0670465+0.00797963j -0.0152005-0.028191j 0.0180374-0.017642j -0.0411958+0.0132388j -0.012938-0.0462457j 0.0131231+0.00160977j -0.0189375-0.0430052j -0.0406847+6.91391e-14j -0.0060573+0.0106435j 0.0257824+0.00335251j 0.0145969+0.0101256j 
