-0.0226323+0.0073934j 0.00226834+0.0174601j -0.015853+0.0193888j -0.0210574-0.0270577j -0.0169385-0.0194308j 0.0182467-0.0114305j -0.00632995-0.0534562j -0.0368783-0.0175998j 0.00634435-0.00579962j 0.0174713+0.00859049j -0.0201464+0.01663j 0.0309906-0.0119191j -0.000210177+0.0123839j -0.0136314+0.0158924j 0.0300164+0.00435429j 0.0119574+0.00439936j -0.00182496+0.0225966j -0.0163097-0.00152604j 0.00141343-0.012852j -0.00428109+0.00809285j -0.000263825+0.00450967j -0.0183616-0.0090578j -0.00523531-0.0160289j 0.000277839-0.00375609j -0.000124903-0.0114752j 0.00426763-0.00727129j -0.0119712-0.00204443j -0.0165724-0.00123259j -0.0034035-0.00620058j -0.00146292+0.0130735j 0.00712831+0.00927437j 0.0265684+0.0121118j 0.00441098-0.00892521j 0.00425153+0.0169221j 0.0173257-0.00136571j 0.00415514+0.0029121j 0.00559295-0.00821719j -0.0136047+0.00512096j -0.0100018+0.00567684j 0.0192606+0.0192074j 0.0191693+0.00631271j 0.00470505-0.00410628j -0.0103585+0.00551743j 0.0204861-0.00632202j 0.00960129-0.0124927j -0.0125915+0.00169301j 0.0220909-0.0103914j -0.0159653+0.00397098j 0.00994997+0.00246548j 0.0166613+0.00456679j 0.00350888-0.000318587j 0.0104001+0.000842924j 0.00480989-0.00132989j -0.00818947-0.000176321j 0.00764324+0.000712629j 0.015342+0.0051806j 0.00221787-0.00506143j 0.00105364-0.00329688j 0.00543978-0.00096967j 0.0039838+0.0122297j 0.000388681+0.0184732j 0.00656545+0.004401j -0.00668638+0.0276677j 0.00450922-0.00669041j 0.00430291+0.00777902j -0.00692544+0.00494011j -0.0153175-0.0211874j -0.00106993-0.00152784j 0.0203401+0.00567831j 0.000738227+0.00273549j -0.00743615-0.0326018j 0.00454308+0.00101811j -0.00400671-0.00889841j 0.0173703+0.000509907j 0.0168788-0.00283649j 0.00527351+0.00692865j 0.00348922-0.0049306j -0.0110006-0.00493737j 0.00295662+0.00445023j 0.00108431+0.0183158j 0.0302938+0.0182805j 0.0129627+0.017553j 0.0170814-0.00947773j -0.0206353+0.0108876j 0.0140672+0.00634463j -0.0154646-0.0290631j -0.00728338-0.0192614j 0.0709558+0.00485675j -0.0195627+0.0129963j -0.0274741-0.0323336j 0.028779+0.00339262j 0.00411364+0.0256176j 
-0.00813584-0.00736075j -0.0114102+0.00632095j 0.00982029-0.00680763j -0.00050999+0.0125937j -0.0088913+0.0095709j 0.0210404-0.00359691j -0.00953798-0.0262608j -0.0117424-0.00152601j -0.00143394+0.00641794j 0.019969-0.00135694j -0.0215378-0.00232885j 0.0216509+0.00523919j 0.017493+0.0106801j 0.00313992-0.0070957j -0.0101936+0.0050818j 0.0100053+0.0159066j 0.00121334+0.021682j 0.0179813-0.0116995j 0.00779925+0.00602626j -0.00942421+0.0178567j 0.00576414+0.00522604j 0.0124791+0.0179186j -0.0182279+0.0194285j 0.0186127-0.00457716j 0.00815484+0.00298083j -0.000352841+0.00242474j 0.000622577-0.000983095j -0.00108048-0.0154187j -0.0223815-0.00150366j -0.00173005+0.0115106j -0.0104932-0.00569383j 0.015429+0.040837j -0.0185304+0.00124844j -0.0230721-0.00278489j -0.00838534+0.0156231j -0.00239908-0.00280585j 0.00767515+0.00454943j 0.00197604+0.00983625j 0.00932366+0.012528j 0.00876864-0.00558317j 0.00823421-0.00191775j -0.00328488+0.00195388j -0.0116775-0.0225485j 0.000254576+0.00246387j -0.000483313+0.000221001j -0.0182516+0.00568217j 0.00896703+0.00963238j -0.0310807-0.0221952j -0.0280933+0.00858232j 0.0070226-0.0128838j 0.02013+0.0177895j 0.00966382+0.0215925j 0.0163135-0.00769934j -0.0144296+0.0231625j 0.0139629-0.0212017j 0.00182092-0.0181284j 0.00645939+0.0121679j 0.00646454-0.00265439j 0.0058373+0.0041936j -0.0129676+0.0234772j 0.00147939+0.00550044j -0.00578025+0.00648825j 0.00430417+0.0201364j -0.00652715+0.00693299j -0.000351893-0.0148195j 0.00882264-0.0090191j 0.00304168+0.018767j -0.00888513+0.00786629j 0.0166815+0.0035093j 0.00112594+0.0202737j -0.00471669-0.00345053j 0.0153084+0.00545883j -0.00411277-0.00577733j 0.000725489-0.00204391j -0.00463121+0.0241014j 0.00281089-0.00680368j -0.010493+0.035627j -0.010387-0.0153902j 0.0074902+0.0062094j 0.0052759-0.00836778j -0.00647305+0.0157515j -0.00570319+0.0239247j 0.000723102+0.0159114j -0.0157251-0.0173722j -0.00172704-0.00874663j -0.00451422-0.00175728j -0.0146158-0.000796019j 0.0189908-0.0211406j 0.00566069-0.0091929j 0.0107163+0.000634257j 0.00894048-0.002054j 0.00130424-4.12838e-05j 
0.0122641-0.00475065j -0.000673014-0.00423577j 0.0226304-0.0120716j 0.0136641+0.0238341j -0.0120256+0.0191228j 0.014053+0.00219831j -0.00894568+0.0181007j 0.0181025-0.00410322j 0.0150074-0.00323205j 0.00749652+0.00640888j -0.00566279+0.00116947j -0.0240938+0.0145757j 0.00961067+0.0061298j 0.0125948-0.000806488j -0.0068143+0.0135166j -0.0178424+0.00300335j -0.0102916-0.0108716j 0.0145556-0.0152783j -0.022002-0.00574762j 0.0148043-0.0168557j 0.0156009-0.0209707j 0.00776102+0.00883703j -0.00721485-0.0117995j 0.0128769+0.000388838j -0.00875434+0.00114555j -0.0200732+0.00331259j -0.00285303+0.0154292j -0.00517016-0.000501596j -0.00448747-0.00411903j 0.000346335-0.000518636j -0.00150344-0.00916953j 0.00432179-0.00979836j 0.0074639+0.00745631j 0.00120176-0.0114096j -0.011059+0.0314033j 0.006119-0.0172867j -0.012197-0.000694059j -5.76866e-05+0.0300676j 0.0148858-0.000837603j 0.00796344-0.0128705j -0.00922592-0.0122771j 0.000597703+0.00716544j 0.0301316-0.00120779j -0.00930628-0.017156j 0.00459456+0.00689849j -0.00811124-0.0101101j 0.000383003-0.00761154j 0.00388182+0.0108183j -0.0152649-0.00758122j 0.0101746-0.000424924j -0.00178326+0.00557435j 0.015284+0.00200493j 0.00152285-0.00864669j 0.00904688+0.00979056j 0.00264436+0.00531527j -0.0139739+0.00112616j -0.000648345+0.000198275j -0.00709127+0.0048644j -0.0145431+0.00432579j 0.00656693-0.00676445j 0.00021541-0.00885367j -0.0141815+0.0108163j -0.000117965-0.00834486j 0.0115534+0.0069882j 0.00964013+0.012777j 0.00155814-0.0028701j 0.00574999-5.29422e-05j -0.00771054+0.0160461j -0.0117249+0.005983j 0.015052+0.00968149j -0.00181266+0.000992497j 0.0152751+0.000171645j 0.0257784-9.9214e-05j -0.00339754-0.00138621j 0.00811666+0.00141689j 0.00574101+0.0303436j 0.0224939+0.00226618j -0.00616395-0.00566776j 0.00361041+0.00762866j -0.00235075-0.022541j -0.0119403-0.00837556j -0.00341747+0.00407852j -0.00797472+0.00186371j 0.00591189-0.0197375j -0.0185274-0.00898899j -0.00568823+0.00255312j -0.0118362+0.00668381j -0.00951808+0.000374229j 0.0162324-0.0221982j 0.018405+0.0237534j -0.00878423-0.001746j -0.00533833-0.0090561j 
-0.00929867+0.0122159j 0.0145141-0.00456247j -0.0192497+0.00430236j -0.0130135-0.0276884j 0.0231172+0.00844939j 0.0209567-0.00234611j 0.0406678-0.0354758j -0.0255369-0.0318703j -0.00218015-0.00807036j 0.00213548-0.0109949j -0.0030707+0.013135j 0.0303955-0.00850837j -0.00939222+0.000622858j -0.0211834+0.0200959j 0.0222647-0.00182829j 0.0242695+0.00537667j -0.016656+0.012981j -0.00297383+0.00803799j 0.0175114-0.0204223j 0.0130585+0.0259759j -0.00345498-0.00909386j -0.0193776-0.0164401j 0.000244709+0.00976033j 0.00678472+0.0194662j -0.00165526-0.00407555j -0.0133778+0.0007014j 0.0100181-0.00922588j -0.00195573+0.0133995j -0.00342446-0.00504161j -0.00498402-0.00630938j -0.00114962+0.00390447j 0.0269648-0.0230624j -0.0181964+0.0156351j 0.00860644+0.00598648j 0.00224414+0.00703633j -0.018474+0.00261614j 0.00726957-0.0123224j -0.010066-0.00581302j -0.00682718+0.00238022j -0.000366105-0.00585887j 0.0225961+0.0055226j 0.00260596-0.00557437j 0.0123828+0.0069641j 0.0223049+0.0167865j 0.00242947-0.000531098j -0.0166984+0.00403311j 0.0138517-0.0283858j -0.00400413+0.00811809j 0.0210524+0.0255904j -0.00467994-0.00845265j 0.00737791-0.00877572j 0.0167581+0.0273069j 0.0142183+0.00224211j -0.0120476+0.00462622j -0.00691734-0.00809567j 0.017247+0.00348153j 0.000595662-0.019207j 0.0253944-0.0207286j -0.0104941+0.00569006j -0.00736437-0.00237836j -0.00163388-0.011033j 0.0243746+0.00337726j 0.0136644+0.0157249j -0.0104661-0.0180372j 0.0281098+0.0116674j -0.0127976-0.00338456j -0.0219809-0.0165375j -0.00146714+0.0135021j -0.00848328+0.0162385j -0.0172441+0.00560636j -0.0232327-0.0251084j -0.0312566+0.0054709j 0.00188395+0.00453032j -0.00629557+0.0114562j -0.0204355-0.0187501j -0.00789392-0.00843847j 0.0092239+0.00161109j -0.012064+0.00184088j -5.77872e-05+0.00550253j -0.0155188-0.00788591j 0.00794948-0.00215015j -0.0312673+0.0106571j 0.00781851-0.0206959j 0.0132395+0.00354673j 0.0203982-0.0160187j -0.0160377-0.0476351j -0.0231927-0.007273j 0.0256934-0.00760194j -0.0253319+0.0286279j -0.020912-0.0338881j 0.0120104+0.0104313j 0.0102661+0.00720073j 
0.0034025+0.00345672j 0.000443363-0.00353653j -0.000367644-0.00521297j 0.000334328+0.00547867j 0.00115593-0.00171596j 0.0202416+0.0104774j 0.00683529-0.0110112j 0.0124364-0.0102884j 0.00321011+0.00879529j -0.0146898-0.00374909j -0.00522098+0.0054044j 1.76484e-05-0.00311819j -0.0113879-0.0101315j -0.0101684+0.00907073j 0.00810797+0.0110057j -0.000224298-0.00408646j -0.00473832+0.0100275j 0.000614062-0.00489215j 0.00324681-0.00603394j 0.017842-0.00581021j 0.00883452-0.0241711j -0.0028548-0.00327821j 0.00424949-0.0150028j 0.00691992+0.00767987j -0.0051618+0.013965j -0.0339865+0.00230194j 0.0137398-0.0106878j -0.00923001+0.00179875j 0.0108334+0.0069924j 0.0138775+0.0067901j 0.00110528+0.00499209j -0.00486211-0.00199904j 0.015888+0.00665308j 0.00883795+0.00575762j 0.00889008+0.0140901j 0.0123813-0.00808052j -0.00879705+0.00205079j -0.00123491+0.00735949j 0.00861289+0.00811647j 0.00026981-0.00447816j -0.0125991-0.0115981j 0.00461347-0.00907918j 0.0190572-0.00628135j 0.0124006+0.0128296j 0.0130873+0.0126485j -0.0151617+0.00185263j 0.0145265+0.0013881j 0.0156368+0.00609942j 0.0101104+0.00877903j -0.00939046+0.00612529j -0.00465572-0.00859013j -0.00554994+0.00171024j 0.000525293+0.000669726j -0.0154705-0.0080772j -0.00456944+0.00846504j -0.00430373+0.0150361j -0.00181438-0.00537746j 0.0171144+0.00629896j 0.00404202-0.00353211j -0.00412871+0.000399527j -0.00271132-0.00828027j 0.00117502+0.0243919j -0.00675307-0.0103345j 0.00628127-0.00387894j 0.00154511-6.81433e-05j -0.00782942+0.00870135j -0.0141889-0.00960308j -0.00711397+0.0102709j -0.00416538-0.00196436j 0.00501609-0.000135578j 0.00166129-0.0120305j 0.00374047+0.0034329j 0.00496163+0.0177962j 0.00451563+0.0110686j -0.00725196+0.0208893j 0.0169464+9.29104e-05j 0.00523768-0.0253724j -0.00262309-0.011234j -0.00656134-0.00546371j 0.0111538+0.00336728j -0.00212182-0.01566j 0.00574256+0.00273817j 0.00443913-0.00920642j 0.0202774+0.0185939j 0.00387907+0.000355586j 0.00387778-0.00424201j -0.0138894+0.00361912j 0.00810482-0.0223038j 0.00914875-0.00590425j -0.0040973-3.92062e-05j -0.00116705+0.0104208j -0.00910808-0.00553754j 
-0.0081859+0.00782437j 0.00762674-0.00011818j -0.0090615+0.00129388j -0.00711223-0.0105009j 0.0218917+0.0124109j 0.0113456-0.00402505j 0.0163969-0.0181314j -0.00604651-0.00826505j 0.00479008+0.00377436j -0.0105037+0.00596738j -0.00203216+0.00172588j 0.0185887+0.00782994j -0.0144367+0.00384856j 0.00134842+0.00809007j 0.00256018+0.000714143j 0.0108785+0.00880275j -0.0110863+0.0106105j -0.013894-0.0105468j -0.0022637-0.00692043j 0.0226122+0.0198829j 0.0020589-0.0194936j 0.0010708-0.00993166j -0.0138703-0.00513756j 0.0152254+0.00876355j -0.00578672-0.00214978j -0.00912414+0.00419044j -0.00276666-0.00339197j -0.00130422+0.00199939j -0.00387371-0.0086822j -0.0105432+0.00467084j -0.000208431+0.00255348j 0.0200832-0.00012042j -0.00379291-0.00225688j 0.0130999-0.010229j 0.00899472+0.00386301j -0.00302414-0.0027269j -0.00025223+0.00714923j -0.0202035+0.0167288j -0.0144538+0.00743924j 0.000869356+0.00122155j 0.0129491+0.00533885j 0.00610628-0.00409892j -0.00524191+0.00986036j 0.00453118-0.0148111j 0.0100235-0.00547903j 0.000406642-0.00174608j 0.00907334-0.00283789j 0.0107924+0.011869j 0.00916063+0.00397108j 0.020683-0.00541941j 0.0108355-0.00120919j 0.00673329+0.00878715j -0.00711818+0.00251735j 0.0162642+0.000109646j 0.00193147+0.00240836j 0.00807926+0.00346772j -0.00493392-0.0130774j 0.0138236+0.00228069j -0.00997088+0.0034656j 0.000337615-0.00520593j 0.00113306+0.00582255j -0.0105401+0.00808085j 0.0101861+0.0067702j 0.00815286-0.000738436j 0.0170949-0.00676229j -0.00892722+0.0112783j -0.0117869-0.00296509j -0.0112611-0.00320974j 0.00289418-0.00568357j -0.00706703-0.00720884j -0.0173972-0.00839494j 0.00746239+0.00732304j 0.00298402-0.0126435j 0.00310667+0.0149321j -0.0025408-0.00103523j -0.00876561-0.00786446j 0.0054547-0.0102663j -0.0108525-0.0175025j -0.00682633-0.00719959j -0.00169199+0.00987281j 0.00949509-0.0066615j -0.0158502+0.0169138j 0.0114915-0.0157275j 0.00202385+0.0125372j 0.0117186-0.000356749j -0.0046928-0.0260412j -0.0159632-0.00975448j 0.0168304-0.00617763j -0.00735463+0.018567j -0.001688-0.00812034j 0.0105381+0.00081297j 0.00273117+0.00233899j 
0.0112594+0.00714863j 0.0137164-0.00558819j 0.0212977-0.0149127j 0.0215307+0.0268488j 0.015903+0.030672j 0.00819678-0.00445647j 0.00829788+0.0348127j 0.0249015-0.00184297j -0.0101253+0.00157761j -0.0196973-0.0102116j 0.0177883-0.00434663j -0.0233699+0.00236218j 0.00281643+0.00236236j 0.0162511-0.0237554j -0.00151595+0.00335704j -0.0229977+0.00145796j 0.00500582-0.0156653j 0.00288588-0.0154907j -0.0201895+0.00505357j 0.00657898-0.00488535j 0.00858442-0.00866188j 0.00975861+0.00520486j -0.0157636+0.00435553j 0.0171602-0.00606511j -0.00849489+0.0145236j -0.0141636-9.80419e-05j 0.00419609-0.0154036j 0.0138171+0.00139871j -0.0078227-0.00325736j 0.0128875-0.0159053j -0.00143678-0.0115239j 0.00216531-0.017928j -0.00767682+0.0128983j 0.00315996-0.0157262j -0.0118981+0.0231508j -0.0105036-0.0279966j -0.0225691-0.00460489j -0.000521977+0.0169706j 0.00106899+0.010839j 0.00313523-0.0147312j -0.0219223-0.014042j -0.00892603+0.00207614j 0.00895305+0.00912567j -0.0246193-0.0137819j -0.00778702-0.0010143j 0.00615089+0.00252825j -0.0353333+0.000101633j 0.0135462-0.000329656j 0.00706538+0.0155282j 0.00408461-0.0139366j -0.00192977-0.0121464j 0.00378903+0.00460178j 0.00355643-0.0213231j 0.032835-0.00288569j -0.0081023-0.0169487j -0.00500782-0.00576468j -0.0106688-0.00294775j 0.00204322+0.00430978j -0.00206056-0.00298665j -0.0203312-0.0132539j 0.00519008-0.00708462j -0.0140573+0.00948007j 0.0149743-0.0257376j 0.00227145+0.00410143j -0.00733522-0.00968436j -0.0083407-0.00456343j 0.00316929+3.45671e-05j -0.0122001+0.00714674j -0.00340515-0.0123421j 0.00140619-0.0252211j 0.00237365+0.01968j -0.0224749+0.0224792j -0.00618988+0.0089309j 0.00208664-0.000257463j -0.00428769+0.0294151j 0.0046445+0.0104847j 0.00656004+0.00623864j 0.0081213-0.0153812j -0.0185191+0.00527162j 0.0161533-0.0225271j -0.0283533-0.00836237j -0.0184323+0.000690057j -0.00836649+0.00869639j 0.0143183-0.022022j -0.00895353+0.00775284j 0.0127183-0.00247913j -0.016232+0.0164451j -0.0163433+0.00235889j -0.00061423-0.0221692j 0.0217094+0.0172652j -0.0219068-0.0123191j 0.00268089-0.0225369j 
-0.01571+0.00490219j 0.00818904+0.00935858j -0.0137633+0.00444104j 0.00173134-0.0229085j 0.00745433-0.00917207j -0.0120699-0.0145444j 0.0144562-0.026311j -0.0256798-0.00349938j -0.0120548-0.0309832j 0.00934316-0.00752841j 0.00558706-0.000536529j -0.0069353+0.0175807j 0.006644+0.0218063j 0.0186921-0.0168092j 0.0103675+0.0119019j -0.00246558+7.86187e-05j 0.012212-0.00877441j 0.00987244-0.0119414j -0.00299887+0.0162981j -0.0261784+0.0269125j 0.011161+0.0205113j -0.00555196+0.00675908j -0.0235902+0.0252068j 0.00883611-0.0171458j -0.0117292-0.0133674j -0.00847271-0.0123568j -0.0221937-0.0148441j -0.0146596+0.00267995j -0.0228427+0.00481442j 0.0063696-0.00500584j -0.00867223-0.00463082j 0.0339691+0.00230787j -0.000902688-0.00298985j 0.011083+0.00366387j -0.001311-0.00975261j 0.0119893+0.000566076j -0.029836-0.00899652j -0.0157268-0.00791781j 0.00252946+0.0126766j 0.0164801-0.00708525j 0.00515318-0.00418304j -0.0177549+0.00881037j 0.00335733-0.0021966j -0.00615796-0.0225739j -0.0184146-0.00293357j -0.00240875-0.0129779j -0.0162073-0.00793741j 0.00216209+0.00830215j 0.0139198-0.012188j -0.0126741-0.00593791j 0.0208733-0.00919746j 0.0179526-4.56619e-05j 0.00202737+0.00629689j 0.0144209+0.0160249j 0.0119926-0.00874847j 0.00587878-0.0144116j -0.0227204-0.00450021j -0.00928126+0.0143012j 0.015646+0.0264758j 0.00910878-0.0093138j -0.0162718+0.00594668j 0.00866207-0.00301917j -0.00703992-0.00177188j -0.00960629+0.0126395j 0.0100558-0.0146633j -0.00106652-0.00933719j -0.015599-0.00298521j -0.00363204-0.00453099j -0.00957143-0.00647819j 0.0184108+0.00757417j 0.010589-0.00983585j -0.00150074-0.000972198j -0.0272856+0.00121773j 0.00357757+0.00478918j -0.00664609-0.0126531j -0.0153848+0.00606832j -0.0214409+0.0109361j 0.020113-0.0157255j -0.00605229-0.0145221j 0.0165212+0.00116991j 0.0050755+0.030847j -0.00410601+0.0118648j -0.0167774-0.00754535j 9.86517e-05-0.0241304j -0.0017339+0.00232979j -0.000525003-0.00487317j 0.00457414+0.00136209j 0.0125055+0.0126495j -0.0275097+0.0119183j -0.00805452-0.0341309j 0.00963893-0.0106581j 0.0129178+0.0103208j 
-0.00918384-0.000411405j -0.00073449+0.00537363j -0.0050422+0.00520664j -0.00482581-0.0111809j -0.00269839-0.00305031j 0.00925131-0.000925727j 0.00992098-0.0215318j -0.0136445-0.00977723j 0.00253017+0.00485813j 0.000251675-0.00159844j -0.00851276+0.00445888j 0.00483334+0.00203965j -0.0075552-0.00168363j -0.011138+0.0131645j 0.0163379+0.000112935j 0.0038665-0.00120043j 0.00631625+0.00287872j -0.00706444-0.00510623j -0.00949828-0.0104445j -0.00543036+0.00825841j -0.00362588+0.00106369j -0.00355251-0.00225637j 0.0132895+0.00429293j -0.00295989-0.00563593j -0.00173104-0.0147205j 0.0126108+0.00935108j -0.000418181-0.00458732j 0.000790432-0.00384537j 0.0216017-0.00656947j 0.0108942-0.00244059j 0.00320273+0.0052952j 0.0158609-0.00772345j 0.0116992-0.0132702j 0.0129847+0.000159372j 0.0075045-0.000396298j -0.0120477+0.0222933j 0.0183825+0.00705957j 0.00781182-0.00650398j -0.0261257-0.00589865j -0.00230398-0.0148933j 0.00634104-0.00137469j 0.00535659-0.0230941j 0.00445107+0.00864256j -0.00729762+0.0106038j -0.0130372+0.0101652j 0.000967934-0.00158785j -0.000634408-0.00100066j -0.00151181-0.00810568j 0.0095246+0.00320673j -0.0116042-0.00759626j 0.0114446+0.0108938j -0.0123069-0.016956j -0.0048701+0.0160669j -0.0116382+0.00795431j 0.0159415+0.000430543j 0.0130087-0.00245685j -0.00625007-0.00167661j 0.00847569-0.00640195j -0.0204769-0.00461841j -0.00255919+0.0052991j -0.0177333+0.00328766j 0.0136569+0.004248j -0.0100475+0.0135456j 0.00452644-0.00116735j -0.00419033+0.0159606j -0.0048167-0.00447436j -0.00821506-0.0153973j 0.00118745-0.00424331j 0.000308044+0.00513458j 0.00213174+0.00789421j -0.0101528-0.01171j 0.0042768-0.0101981j 0.00576504+0.00151184j 0.0204155+0.0144405j -0.00619611+0.00541824j -0.00806332+0.011153j -0.00399108+0.00144158j 0.0112418-0.00519903j 0.0195363-0.0125004j -0.00698688+0.00977747j 0.0123184+0.00463812j 0.00905093+0.0103726j -0.00262903-0.00710113j 0.00406594+0.00671473j 0.00369235-0.00487369j 0.00400957-0.00664638j -0.00708001+0.000709498j 0.0167785-0.00874474j -0.000158539+0.00541392j -0.00964581-0.0109533j 0.00889971-0.000310001j 0.000431112+0.0133462j 
0.00286801-0.00152064j 0.000456441+0.0012138j -0.000167398+0.0103699j -0.00562931-0.0045362j -0.0139559-0.011851j -0.0270215-0.00616262j -0.011374+0.0151474j -0.00754367+0.00600203j -0.00225219-0.000688106j 0.00686736-0.010383j 0.000120551+0.00149654j -0.0179937-0.00989882j 0.0270304+0.00941961j 0.00816774-0.0108333j 0.00854559+0.00516238j 0.00420279+0.00922627j 0.0215227-0.0136387j 0.0170453+0.0097552j 0.00120008-0.0069344j 0.00322498+0.000973148j 0.016328+0.000775632j -0.00148168+0.0113867j -0.00277598+0.00922365j 0.00285545+0.00302696j 0.00639564+0.00976353j 0.00373193-0.00504499j 0.0152892-0.0184834j 0.00431041+0.0060464j -0.0187527-0.0011998j 0.00213656+0.00437017j -0.00571657-0.0119061j -0.00224309-0.00121579j -0.00583918+0.0248856j 0.00348857-0.00540681j -0.00204806+0.0157598j -0.00823993-0.000230991j -0.00918042+0.0125677j 0.013691-0.0001333j -0.012296+0.00128138j 0.000755141-0.00495205j 0.00852051-0.0152999j -0.00115946+0.00349602j 0.0100249+0.00103004j -0.0179822+0.00523605j -0.00357536+0.00175186j 0.00146714-0.00368444j -0.0203116-0.000497361j -0.0155687-0.0134207j 0.00125343-0.0108517j 0.00467188-0.00100284j -0.000506534+0.00426904j 0.0034791+0.00295271j -0.00800803+0.00722946j 0.00858814+0.00246053j 0.00383148-0.00451087j -0.00524507-0.0062144j 0.000874303+0.0149837j 0.00980005+0.0065834j -0.000486644-0.00204907j -0.00303602+0.00553705j -0.0164121+0.00934604j 0.00892785-0.0051344j 0.000950853-0.00936825j -0.00353571+0.000835306j -0.00853257-0.0173237j 0.0259631+0.00487528j -0.00455783-0.00100212j -0.0128589+0.0044805j 0.00966448-0.0119503j 0.0175095+0.011513j 0.00790964-0.00156841j 0.00823253-0.00827405j -0.00104166-0.00744254j -0.00284914-0.0179808j -0.0083955+0.00663473j 0.00457645-0.0230405j -0.0255529+0.00427239j -0.00638173+0.00574897j -0.0084768+0.00836038j -0.00801057+0.00108202j -0.020647+0.0125367j 0.00603402-0.00591767j 0.00992534+0.0171382j -0.0121581+0.00333671j 0.00797104+0.00193777j 0.00621412+0.0104681j 0.020599-0.00526397j -0.0253869+0.0291049j -0.0178371+0.00361362j 0.00576934-0.00854571j -0.00242144-0.00428972j 0.00276526+0.000254709j 
0.0181979-0.012879j -0.0121493-0.0106074j 0.0255304-0.0231855j 0.019786+0.0303978j -0.0188161+0.0278165j 0.0149157+0.0105138j -0.00976214+0.0189106j 0.0217101+0.00404888j 0.0158639+0.00504966j 0.00678046-0.00308179j 0.000339023+0.0124945j -0.0147243-0.00841002j 0.0067242-0.020898j -0.000731129+0.0124673j -0.00614423+0.00927585j 0.00164293+0.000559883j -0.00970926-0.00292624j 0.0166728+0.00134444j -0.00588402-0.00774595j 0.0280189-0.027043j -0.000510317-0.0237007j -0.00598552+0.00887227j 0.0148477+0.0153518j 0.00853901+0.0136515j -0.00821704+0.00267136j -0.0119471+0.0132469j 0.0159773-0.00534157j 0.0229899+0.00408139j 0.00991884-0.00424979j 0.00153947-0.0069285j -0.0178975-0.0122225j -0.0194196-0.0016612j -0.00972491-0.000505226j -0.0119053+0.00833284j -0.00858378+0.01706j -0.0127553+0.00672501j 0.000425742-0.00298181j 0.00676161+0.0153799j 0.00779429-0.0108231j -0.0204248-0.00963479j 0.0128455+0.0260501j 0.00968222+0.00511056j 0.00147176+0.0059563j -0.00799724+0.0170454j -0.00269137+0.00147259j -0.00344861-0.00815708j 0.00718132+0.0075766j -0.00682818-0.010501j 0.00498329+0.000542792j -0.00845839-0.0035125j -0.00826776+0.0076599j 0.00411411+0.00852738j 0.0097529-0.00669405j -0.00443466-0.00221214j -0.000595957+0.0190267j -0.00875869+0.00177565j 0.0123251+0.00632476j -0.0170521-0.021242j 0.00959907-0.00115747j -0.0069877-0.0136005j -0.0017592-0.0123563j 0.00450163-0.00983585j 0.0169918-0.021134j 0.00523855-0.00543886j 0.00496703+0.010694j -0.00727768+0.0121099j -0.00160165+0.00379499j -0.0321827+0.0229405j 0.013985+0.00479401j -0.00171576-0.00299918j 0.00616573-0.0042069j 0.0266224+0.00978554j 0.021808+0.0134728j 0.00395008+0.0191593j 0.00577808+0.00390788j 0.0213278+0.0247684j -0.00688326-0.00421076j -0.0371522+0.0147892j 0.0063376+0.025649j 0.00249634-0.0125602j -0.00505523-0.00999845j 0.00317246+0.00243969j -0.00491986+0.01153j 0.00270595+0.0063625j -0.0172136+0.000871289j -0.00489148+0.0108026j -0.0202344+0.0152515j 0.000700856-0.00955339j 0.0245028-0.0274367j 0.0224462+0.0351426j -0.0135518+0.017669j -0.0185628-0.00997369j 
