-0.00692559-0.00382964j 0.00408572+0.00385643j -0.00646563+0.00303131j 0.0050326+0.00600747j -0.00417986+0.000893047j -0.00329974+0.00190986j -0.00599391-0.00613504j -0.000718484-0.000634952j 0.000860582+0.00354652j 0.00619431+0.00464886j -0.00471211-0.00271211j 0.00230326-0.00268746j -0.0128962-0.00702226j -0.0226396+0.00151677j 0.000169438+0.0106859j -0.0234619+0.016915j 0.0400708+0.0104856j -0.0216161+0.00252941j 0.00328558-0.0137573j 0.00688715+0.00141014j 0.00896958+0.00181361j 0.00560626-0.0132078j -0.00322074+0.00632328j 0.00207689-0.00198291j 0.00275194-0.00629361j 0.00729532+0.00182563j -0.00251884+0.00632204j 0.00290653+0.00391798j 0.000976899-0.00580379j 0.00465757-0.00528928j -0.00304322-0.00694882j -0.00577619-0.00071756j 0.00463714+1.53971e-05j 0.00104172+0.0125956j -0.0181575+0.000300419j 0.00608728-0.0274237j -0.0240263-0.0162756j -0.0135926-0.00106187j -0.00199505+0.0177609j 0.00696866-0.0265808j -0.00618408-0.0329203j -0.0156978+0.0147855j 0.0239289+0.0185568j 0.00482972-0.00788126j 0.0141998+0.00869094j -0.00334659+0.0275007j 0.010243+0.00407265j 0.00645761+0.00470309j 0.0168393+0.0187421j -0.00204092+0.00198211j -0.00410559+0.00249714j 0.00472765-0.00927362j -0.00458017-0.00444425j 0.00309045+0.00557337j -0.00487745+0.0030885j -0.00733288+0.012975j -0.0153006-0.0169595j 0.00656886+0.00327301j -0.00669536-0.00270329j -0.000853369+0.000622471j 0.007891+0.00432942j -0.00181268-0.0063384j -0.00855446+0.00761722j 0.00687233+0.00675181j 0.00114819+0.00060391j -0.00294203-0.00506781j 0.00168056-0.00859645j -0.00773933-0.0109779j -0.00496764+0.00369859j 0.00564831+0.00405738j -0.00283381-0.00567804j 0.00583699+0.00906079j 0.00397937-0.00202395j 0.000442877+0.00633841j -0.00221844-0.000975014j -0.0015999+0.00119164j 0.00671347-0.000672744j 0.00590176-0.00525456j 0.0144063+0.0128261j -0.00320764-0.00116324j -0.00395296+0.00572796j 0.0127601+0.0192746j 0.0009453+0.00191385j -0.00589949-0.00271867j -0.00337972-0.00309135j -0.0158046-0.0127579j -0.00180535-0.00334666j 0.00166542+0.019414j 0.0100261+0.0108508j -0.0214274-0.0199087j 0.00220965-0.0111781j 0.0127013-0.325238j -0.15871-0.143576j -0.00545984-0.0315879j 0.0227803-0.0485763j 0.089263+0.0693238j -0.62919+0.0350655j 
-0.0107401+0.00172782j -0.0199141-0.011976j -0.00850765+0.00164019j -0.0033892+0.000321665j -0.00510992-0.0184393j -0.00446828-0.0179603j 0.00740401+0.00551537j 0.0153413-0.0369341j -0.00604712+0.0399686j 0.00704872-0.0206641j -0.0185502-0.044089j 0.0156857+0.052125j -0.00383763+0.0165015j -0.00363115+0.0029087j -0.00105498-0.0145766j -0.00354172-0.0199625j -0.0183769+0.00703138j 0.0189711+0.00577983j -0.000182777-0.00669283j -0.00564862+0.00512593j -0.0314706+0.0113581j -0.0201557+0.00448024j 0.018445+0.00663128j -0.0021649-0.00137554j 0.0281639+0.0152194j -0.0142803-0.000557399j 0.014478+0.0109038j -0.0524967-0.00868515j -0.0823291-0.00756113j -0.0103756-0.00203777j 0.0723908-0.013248j -0.00765142+0.00145316j -0.0527326-0.00596307j 0.0349004+0.0105442j -0.0183829+0.00698706j 0.00112861-0.0104182j 0.00613123+0.00674532j -0.0196255+0.00456728j 0.00644561+0.0127117j 0.00283724+0.00289894j -0.0116786+0.0186469j -0.00269353+0.00548691j 0.000952098+0.00386549j -0.00159594-0.000581427j -0.000778747-0.0131261j -0.00449852-0.00681305j -0.00154558-0.00520159j -0.00047502+0.0059812j -0.0128162-0.00813445j 0.00504945-0.00237264j 0.00260812+0.000311915j 0.0166606+0.0249404j 0.00412052+0.000668206j 5.99009e-05-0.0106759j -0.0094369-0.0104774j -0.00875634-0.00861538j 0.0324096-0.0158439j -0.00541243-0.0227289j 0.0219388+0.00802467j 0.0142797+0.0229376j 0.0239885-0.00298365j 0.00301379+0.023883j -0.00358538-0.0468953j 0.0107498-0.00254022j -0.022776+0.0162519j -0.0723826+0.0378533j -0.00200816+0.00176445j 0.0152981+0.0503233j 0.00617194-0.0195548j -0.088967-0.30706j -0.0126742-0.0646908j -0.158927-0.438691j 0.0552956+0.257809j -0.0663423-0.066035j -0.0976676+0.189249j -0.048558-0.0937953j 0.090347-0.0176493j -0.483755+0.14952j -0.387056+0.092935j 0.0741905-0.0296663j 0.0772911+0.0723932j 0.0613273+0.0187064j 0.00837351+0.0256454j -0.022764+0.00710801j -0.0236874-0.02436j -0.0223645-0.00999463j -0.0321133-0.0329503j -0.0041415+0.0135259j -0.00560313+0.0109415j -0.0308184-0.00672116j 0.0158195-0.00382162j -0.00788196-0.0514025j -0.0157319-0.0172361j 0.0221101-0.00400011j -0.00484413-0.0187307j -0.004032+0.0179613j -0.0415668+0.00361672j 
0.00814166+0.00334567j -0.00752911+0.00298787j -0.0049702+0.00122061j -0.0110382+5.77442e-05j -0.00830252+0.0175698j -0.00718899-0.000143868j 0.0190483-0.00701206j 0.0048321+0.0254239j -0.00915879+0.0165966j -0.0110985-0.0460622j 0.00464707+0.0498807j -0.00835843-0.0271073j 0.00393901-0.0397246j 0.0101553-0.00674431j 0.0063437+0.0106798j 0.00525165+0.00224533j 0.00262728-0.00543817j 0.000952832-0.000801392j -0.0207017-0.000803772j 0.0113435+0.00554215j 0.00778513-0.00602112j -0.0341742-0.00917752j 0.00390494-0.00662453j -0.0215387-0.0117442j -0.0176148+0.000581998j 0.0516061-0.00125294j 0.0994441+0.0173292j 0.06585-0.00151716j -0.0296817+0.00667036j -0.00646299+0.00610469j -0.0169167-0.00672796j -0.0586874-0.00468572j 0.0331723-0.000391064j -0.055973-0.00316243j -0.00630231-0.00708906j 0.0334987+0.0074592j 0.0208446+0.0024746j -0.00710085+0.00301118j -0.00427944-0.00706883j -0.000885176+0.00802909j -7.90853e-05-0.000612575j -8.49141e-05-0.00583775j 0.00755664-0.00418002j 0.003424+0.00741631j -0.000222691-0.00476132j -0.000650477-0.00133656j 0.00578598+0.0168039j 9.58342e-05-0.00177836j 0.011246+0.0043401j 0.00343795+0.0102561j 0.00751663+0.00240674j 0.00826415+0.0167405j -0.000386434-0.0148124j -0.00233387+0.0178114j 0.00174273+0.00541305j 0.00883051-0.00941157j -0.0243574-0.0075444j 0.00401596-0.0108751j 0.00459554+0.00615059j 0.0140184-0.025781j 0.0333322+0.0103882j -0.016573-0.0221406j 0.0108081-0.00767942j 0.0476316+0.00564955j -0.00243615+0.0161452j 0.00852775-0.0696517j -0.0202043-0.0939098j -0.103466-0.265654j -0.0671318-0.210939j 0.00508673+0.0701377j -0.253349-0.414022j 0.0466409-0.10867j 0.00459787-0.19403j 0.182566-0.0793156j -0.10521+0.202306j -0.35482+0.156364j 0.421493-0.131143j 0.143037-0.0437822j -0.0903591-0.0357346j -0.0801891-0.026808j 0.00960999-0.023311j 0.0154085-0.00261841j -0.0113549+0.00660815j -0.00331576-0.012052j 0.0098114+0.000321597j 0.0279525+0.0229262j -0.0163269-0.0240597j -0.014024-0.0165367j 0.00979777-0.00975199j 0.0156639+0.0163339j -0.00415587-0.00542712j 0.011439+0.0443293j 0.00735437+0.00796765j -0.00283113-0.0085266j -0.0194696+0.00906174j 0.00363261-0.0131109j 0.0268356-0.000987866j 
0.000383085+0.0098923j -0.0169619-0.00291968j -0.0082079+0.00894286j -0.00288227-0.0091963j -0.0103093+0.0107559j -0.00943539+0.0130333j 0.00169705+0.00719752j -0.00693052+0.0292971j -0.0111189+0.0347246j -0.00963347-0.0318725j 0.0105833+0.0612615j -0.000878464+0.0575272j 0.00270444+0.00749342j -0.000990256+0.00511314j -0.0019469+0.0199713j 0.000891255-0.015082j -0.010483-0.00935097j 0.0126552+0.00897291j -0.000376093+0.00317464j -0.0300712-0.00595454j -0.0185403-0.00569221j -0.0184552-0.0102544j 0.0475703-0.000887866j 0.0140323+0.00278621j -0.0211144-0.000125898j -0.114022-0.00873615j 0.0224571+0.0102046j -0.0256637+0.00507384j -0.034148+0.00328571j 0.00921694-0.0060277j -0.0138016-0.00747021j -0.0304629-0.00388064j 0.0468909+0.00446j 0.0165668+0.00889073j 0.004802-0.00402732j 0.00492176+0.000830389j -0.0323032-0.0096972j 0.000188549+0.00827302j 0.00661052+0.00151793j -0.00556996+0.00797907j -0.00759256+0.00772953j 0.00204753+0.00379885j -0.00248532-0.000780582j -0.00338345-0.00890598j 0.00363386-0.00114288j 0.00129199-0.0052911j -0.00344894+0.000409372j -0.00514515+0.00706139j -0.0124028-0.0184411j -0.0123379+0.00288292j 0.0209427-0.00201261j -0.00601514+0.00871217j -0.00334349-0.0119864j -0.018038-0.0147156j -0.0212428-0.0110402j -0.0320253+0.00804038j 0.0173819-0.00853469j 0.0180509-0.0289199j 0.0160967-0.0160053j -0.00775516-0.020185j 0.0202209+0.0287852j 0.0354586+0.0422269j -0.0840329-0.0358493j 0.0136805-0.00262638j -0.0651066-0.162871j -0.14175-0.152988j 0.00925571-0.00995214j 0.219138+0.381557j -0.188624-0.309217j 0.0276659-0.0796294j 0.101145-0.150484j -0.224107+0.27498j -0.23843+0.117429j 0.465896-0.155273j -0.00797359+0.0838316j 0.0356875+0.00851822j -0.0953901+0.0170797j 0.0363523-0.0135773j -0.058164+0.00109291j -0.0360482-0.0237315j -0.029376+0.0227721j 0.0130044+0.00765038j -0.0154582-0.018441j 0.0127734-0.00844834j 0.0200557+0.0149456j -0.0202952-0.00916368j 0.00520184-0.00514395j 0.00670451+0.0188332j 0.0183429+0.00997045j 0.000758696+0.0146845j -0.0107235+0.00162075j 0.00235127-0.00649293j -0.0116481-0.0477136j 0.0155565-0.00210162j 0.0123237-0.0118314j 0.0282286+0.00381846j -0.0115994+0.0143869j 
-0.0112342-0.00992819j 0.0174571+0.00238706j 0.00919842-0.0246592j 0.00400407-0.00169171j 8.687e-05+0.00548299j 0.0164536-0.0021254j -0.0105327-0.0180585j 0.000523524+0.0133421j 0.00808353+0.0640788j 0.0270194+0.00532146j 0.00324509+0.0274821j 0.00712064+0.00119803j -0.0108867-0.0149894j -0.0103074-0.0137179j 0.00207204-0.0310661j -0.00352715+0.0131312j 0.000108509+0.00390793j 0.00732445-0.0194835j 0.0113736+0.00984926j 0.0161577+0.000732406j 0.0127102-0.000215057j 0.0550475-0.00036108j -0.0546094-0.010286j -0.00810718-0.00489525j 0.111914+0.00414949j 0.00912681-0.00631994j -0.0289865+0.0137947j -0.0401473-0.00275882j 0.0563444-0.000467812j -0.0522846-0.00867478j 0.0311584+0.00471874j 0.0293791+0.00542668j 0.00877136-0.00151393j 0.0180751-0.00708326j 0.00669196+0.0100305j -0.0508032-0.0172241j 0.0412595+0.0058974j -0.00362334-0.0122383j -0.00428734+0.00933553j 0.00958067-0.00987313j 0.00636631+0.000526078j 0.000456212+0.0043853j -0.00200676-0.00273233j 0.00510937+0.00866913j 0.000813374+0.000422554j -0.0101167-0.00845791j -4.20345e-05-0.00940694j -0.00405355+0.00398124j -0.0175881+0.017389j 0.0115394+0.000778381j -0.0131761-0.00706753j -0.0235352-0.0272092j -0.00791692+0.0226971j -0.00443616-0.0260577j 0.0356378-0.000102338j 0.0393156-0.0184293j -0.0154841+0.0909528j -0.0480208+0.00583745j 0.00716959+0.0360067j 5.68565e-05+0.000815137j -0.0981716-0.0734663j -0.0305264+0.0392402j 0.181175+0.148172j -0.115671-0.0986872j 0.107857+0.206258j 0.245471+0.343139j 0.0161603+0.017158j 0.17436+0.128622j 0.0727218-0.282149j -0.360736+0.306239j -0.154765-0.0516124j 0.064679-0.0934087j -0.32533+0.16263j 0.055174+0.0183577j -0.0424657-0.0502357j 0.0474942-0.0319774j 0.0609138-0.0288498j -0.0686226-0.07187j 0.0655846+0.0205433j -0.0124863+0.030823j 0.00986248-0.0301432j -0.00692873+0.0244998j 0.00451272+0.0322282j -0.0279952+0.00835849j -0.0336891-0.0320027j -0.00707708-0.00947241j -0.00382635+0.0219891j 0.00158238+0.00559609j -0.0242055-0.00291506j -0.0194446-0.0120552j 0.0197575+0.00769469j -0.0152185-0.0653242j -0.00141316+0.0262026j -0.0118344+0.00668406j 0.00988625-0.00183121j -0.0268453+0.0181633j -0.0380357-0.00954174j 
-0.0126047-0.00681561j 0.00242558-0.00168925j -0.00452707-0.00589023j 0.000927478-0.00320077j 0.00279404-0.00554176j 0.00811733+0.0227351j 0.0020349+0.0188639j 0.00467914-0.0289937j 0.00220522+0.0378396j 0.0132707-0.0263222j -0.00018725-0.030695j -0.00422427-0.00488795j -0.00204174-0.0110472j 0.00478937-0.0118006j 0.00610174+0.00587871j -0.0121464+0.00283229j -0.00392983+0.00831641j 0.000489242-0.00159157j 0.00879174+0.00242873j 0.00733197-0.0113965j -0.00194903-0.00459676j 0.00925082+0.000418943j 0.00942753+0.011688j 0.020147+0.00930352j 0.0380716+0.00421053j 0.0843172-0.00251134j 0.0938485+0.00473945j -0.102109-0.00453139j 0.0158693-0.00344j 0.0217147-0.00306152j -0.0132712+0.00425656j -0.0374084+0.00471905j -0.016686-0.00099293j -0.0293302-0.00372875j 0.00916057+0.00623487j 0.0194455+0.00576002j 0.00371454+0.00977617j -0.00514714-0.00759417j -0.0185473+0.00203837j 0.00672977-0.0116381j 0.00477586+0.00849124j -0.00494426-0.000565935j 0.00190155-0.00262981j -0.00398424+0.0067015j -0.0134215+0.00220901j 0.000816174-0.00423867j -0.00570118-0.0101777j 0.00135568-0.00289815j 0.00809597+0.00288678j -0.000501891-4.62152e-05j 0.00049052-0.00674992j 0.00273414-0.00905291j 0.00187999+0.0183184j -0.0109446-0.000247901j -0.0253823-0.0131287j 0.00584954+0.0131294j -0.0252615-0.0369629j -0.0289387-0.0129064j 0.0171808-0.00156867j 0.0234107-0.0315774j 0.0300053-0.027513j 0.134804+0.0271487j 0.0488423-0.0478285j 0.156986+0.105363j 0.353224+0.328638j -0.0881561-0.207829j -0.177321-0.295506j -0.174016+0.280951j -0.287147+0.2616j -0.210801+0.151971j 0.25988-0.147352j 0.138949-0.0493976j 0.00883894-0.0198569j 0.0436587-0.0548194j 0.0610542-0.0279214j -0.00578817-0.0255125j 0.0194842+0.00661847j -0.0200001+0.0129135j 0.00534171+0.0236844j 0.0118401-0.00164801j 0.0523768-0.0152594j -0.0170344-0.0205387j 0.00477761+0.00882201j 0.00639607-0.00702377j -0.0095829+0.00130251j -0.00400857+0.00650284j 0.00829804+0.0106821j 0.00653464+0.00274353j -0.0134133+0.0035951j 0.00722164-0.00256198j 0.00338875+0.00109077j -0.00753405+0.00036201j 0.00813831+0.0480168j -0.00615179+0.00954555j 0.00929227-0.000590265j -0.0351939-0.00133857j 0.00958976-0.0151009j 
0.0189046+0.00312379j 0.00642327+0.00485477j 0.00806508+0.0152404j -0.00162008+0.015095j -0.000503656-0.00626612j 0.00474316-0.0559366j 0.00174931+0.0395244j -0.014444-0.0380763j 0.00821069+0.0319708j -0.0145033+0.0347691j -0.000449553+0.00754253j -0.00339535-0.006834j 0.00386282-0.00463788j 0.00426745+0.00424886j -0.00191912+0.00327866j 0.00733585+0.0042919j 0.0126177-0.00327648j -0.0244567+0.00619522j -0.00401584-0.00844282j 0.00196941+0.0128736j 0.0277439+0.00992272j -0.00677289+0.0139303j -0.0130102-0.00931545j -0.0155869+0.00383389j -0.110673+0.00250285j 0.0552842-0.00438818j -0.036617-0.00665934j 0.0756259+0.00564622j -0.0131202+0.00113361j 0.0360687+0.00492529j 0.03074+0.00067393j 0.00137416-0.00584024j -0.0280135-0.00377564j -0.00654452-0.00400179j -0.00525114-0.00592645j 0.0136548+0.00715448j 0.00100888-0.00122365j 0.00950268+0.00388053j 0.00940127-0.0115239j -0.00780904+0.00374048j 0.00194453-0.0154546j 0.00379027-0.00522439j -0.00330902+0.00397556j 1.05046e-05-0.00836739j 0.0183774+0.0072626j 0.00597057+0.0148715j 0.00297174+0.0107975j 0.00843223-0.010537j 0.016181+0.0037314j -0.0138691-0.00737001j -0.000711665+0.00816074j -0.00286362+0.00537154j -0.00640731-0.0152424j 0.0141327+0.0198391j 0.00174443+0.00538697j -0.00864541+0.021274j -0.0201748-0.0141755j 0.0760812+0.0401687j -0.128779-0.0338656j -0.00314001+0.0152773j 0.244863+0.139333j -0.418121-0.302364j -0.0942161-0.0595059j 0.104205+0.0883159j 0.271222-0.187529j -0.0142147+0.254966j 0.299253-0.471735j 0.0737829+0.0518013j -0.071599-0.0629934j -0.0516447-0.0281506j -0.0198179+0.0810902j -0.00478305-0.018618j -0.0314603+0.0177841j -0.0298766-0.00321821j -0.0311526-0.0214877j 0.0314077+0.0114519j -0.0204309-0.0140899j 0.00568709+0.0140854j -0.0193202-0.0330892j 0.0379196+0.0157426j -0.00849948+0.00831265j -0.00110666-0.0116516j -0.00838504-0.0134959j -0.00279616-0.000628498j 0.012808+0.0087964j 0.0218148+0.00228986j 0.00454209-0.00311959j -0.00358508-0.0258636j 0.00283834-0.0103431j 0.00382786+0.00203854j -0.0114276-0.000318625j 0.00999368+0.0507701j 0.0086158+0.00322257j -0.0093888-0.00357126j -0.0167983+0.0143186j 0.0104657-0.0155281j 0.0332546+0.000198113j 
0.0114532+0.000906052j 0.0170079-0.00328601j 0.02177+0.0139208j 0.0225528+0.00813588j 0.0112325-0.0343698j 0.00671564+0.0187907j -0.0295898-0.0150238j -0.0106471+0.0433397j 0.00842386+0.0114184j -0.00685851-0.0324129j -0.00742576-0.0177543j 0.00427164+0.0221235j -0.00631961+0.00165399j -0.0102106-0.0152196j 0.00396458-0.00722941j 0.00303355-0.00861559j 0.000375916+0.00142494j -0.0349176+0.00702816j 0.0508782-0.00116173j -0.0381312-0.0132232j 0.0193351+0.0145353j 0.0927896+0.00247896j -0.0977092-0.00479279j 0.0121566-0.00167587j -0.0577411-0.00305403j -0.039644-0.00388133j -0.10926-0.00554077j 0.002598-0.00372601j -0.0816524+0.00580387j -0.000493616+0.000207495j 0.0083795+0.00462981j 0.00471563+0.0014645j 0.00807604-0.00280694j 0.00401584-0.0014779j 0.0503522+0.0116086j -0.00893393-0.0112676j 0.0257668+0.00932626j 0.00392758-0.00616953j 0.016307-0.0034618j -0.00212626-0.00192508j 0.0015269-0.00621309j 0.000101392-0.00375019j -0.0154799+0.0138454j -0.00174961-0.0242782j 0.00299633+0.0202239j 0.0136844+0.0107697j -0.00628041-0.0241954j -0.00368022-0.0143604j -0.025058-0.0123939j -0.0420774-0.0369721j 0.0318044+0.0132651j -0.0909971-0.0497555j 0.0304697+0.047162j -0.0443735-0.0654797j 0.034402-0.00767117j 0.116668+0.0304831j 0.223986+0.104829j 0.180585+0.0597759j -0.281019-0.228329j 0.289261+0.109248j -0.168104-0.126744j 0.0482218-0.11075j 0.128483-0.173471j 0.312045-0.476093j -0.0668048+0.079768j -0.03383-0.165642j 0.0100899-0.12646j -0.00857255-0.0816272j -0.0179758-0.0590471j -0.0188701-0.0544493j -0.0630722+0.00161746j -0.021711+0.0219636j 0.0182454+0.0190115j 0.00929887+0.00431802j -0.0536292-0.0503589j 0.0131641-0.0505464j -0.0172551+0.00128502j 0.0186255+0.00440245j 0.0112312+0.0219481j 0.0154491+0.0427862j 0.00615187-0.0238448j -0.0144043-0.0141646j -0.00716181+0.00247013j -0.0257056-0.0154516j -0.00413819+0.0112322j -0.00210299-0.00903015j 0.024292+0.0455795j 0.0123814-0.0089721j -0.0225492+0.00148865j -0.00450151-0.00697984j -0.00137645+0.0094474j -0.0141283-0.0470299j 0.00406658+0.0515102j -0.0174735+0.0136549j 0.0159896-0.000490893j -0.0390549+0.012736j -0.0213426-0.0163379j 
-0.00196077+0.0158725j -0.0102947-0.0152303j -0.00239369-0.00613336j 0.019261-0.0231871j -0.00985049+0.0528662j -0.0150178-0.0231269j -0.0122027-0.00841773j -0.0197496-0.0196385j -0.0150843-0.0471834j -0.00451538-0.0094189j 0.00560785+0.0165535j -0.00819455-0.0361793j -0.00455715-0.0164562j -0.0117426+0.0103576j -0.00107249-0.00268798j 0.0128315-0.0294601j -0.01012-0.0104156j 4.19392e-05-0.00474217j 0.0361767+0.00607917j -0.055086+0.00221311j -0.0668235-0.0225545j 0.0356231-0.00271835j -0.0592809+0.00682917j -0.0413379+0.00103759j -0.0565005-0.0109012j -0.0881949-0.00392482j 0.0824789+0.00787609j 0.0225506+0.00368529j 0.0417569-0.00124388j -0.0200836-0.00711265j -0.0314101-0.0122831j 0.00384728-0.00505686j -0.00642992-0.00250645j -0.0111409+0.00334233j 0.0101682+0.00178455j -0.0325217-0.0251451j 0.0204425-0.00388113j -0.00277834+0.0109617j 0.0193163+0.00625666j -0.00215621+0.012004j -0.00955918+0.00930969j -0.0107821+0.00331522j -0.00107932+0.00257767j 0.00551512-0.0145248j 0.0105851-0.00298586j 0.00416156-0.0112761j 0.0149331-0.0250426j -0.00859462+0.00731544j -0.0474379-0.0418735j -0.00831305-0.0300429j -0.00587988-0.0123234j -0.0316193-0.016599j 0.0627774-0.0320494j -0.0102396-0.0194594j 0.169474+0.0437791j 0.0488002-0.0368769j 0.428803+0.251762j -0.180811-0.00543643j 0.28723+0.0593113j -0.00140446+0.029415j 0.12348+0.0969741j -0.158685+0.208068j 0.172484-0.48123j -0.0340086+0.0879776j 0.00883539+0.0632444j -0.153662+0.223059j -0.0299744+0.0132088j -0.0309501-0.00720372j 0.023854+0.0514623j -0.0377854-0.063794j -0.00305786-0.0751693j 0.0193073+0.0744169j 0.0604941-0.038692j 0.0251613+0.000538419j -0.00665917-0.0427229j 0.0023561+0.00366243j -0.00433614-0.02969j 0.0279927-0.0242234j 0.042127+0.0110098j -0.00299711+0.0112196j -0.00673456-0.0137652j 0.0118723+0.0387155j -0.0221745-0.00625186j -0.0196951-0.0281548j -0.00590397+0.0106027j -0.00205192+0.00644462j 0.000268511+0.0135775j -0.00299541-0.0029916j 0.00633693+0.0169494j -0.0279718+0.00515082j -0.0106747-0.00981562j -0.0039899-0.0791578j -0.0126782-0.0319481j -0.0082036-0.00976623j 0.00646809-0.00566967j 0.0117252+0.0243359j -0.0631853+0.00977581j 
0.0206216+0.0121455j -0.00374412+0.00381767j 0.00153213+0.0105935j -0.00524298-0.00674613j 0.00331641-0.0656937j -0.00239365+0.0123612j 0.0114504-0.0107289j -0.0229426-0.0215922j 0.00306206+0.0520735j -0.0112268-0.0492157j -0.00115298-0.0124325j -0.00928676-0.0318989j 0.00650815-0.00920143j 0.000117601+0.00856907j -0.00598404+0.000880026j 0.0200976+1.86895e-05j 0.0119402-0.0170041j -0.0133102+0.00217293j -0.0122888+0.00436003j -0.0174956-0.00836256j 0.0123466+0.0210352j -0.044867-0.000976938j -0.04726-0.00166842j -0.0907603+0.00396189j -0.136669-0.00532632j 0.049464+0.0069652j 0.00715313-0.00507665j -0.0421406+0.00140004j 0.0396367+0.00113129j -0.0021907+0.000679142j 0.00432832-0.00485935j -0.0229521-0.00867893j 0.00464146-7.05889e-05j -0.0124714-0.00259826j -0.0123338-0.0110929j -0.00939101-0.00150805j 0.00334715-0.0108341j 0.00781963+0.0147672j 0.0172702-0.00973687j -0.00886554+0.0139071j -0.00282866-0.0142056j -0.00356013-0.00533309j 0.00680731-0.0042874j 0.0144427+1.80876e-05j 0.0125353-0.00172435j 0.00695832+0.00511534j 0.0265895+0.0183481j -0.0120175-0.00402452j -0.00411333-0.0158378j -0.0146039-0.000239176j -0.0342181-0.0216278j -0.0359222-0.0102078j 0.0436236-0.0550571j 0.105643-0.00216249j 0.431998+0.101371j -0.36679-0.0857185j -0.0644135+0.0210871j 0.204528+0.229485j 0.0556011-0.126822j -0.0548009+0.0636482j -0.210967+0.467136j -0.0302142+0.260444j -0.0171005+0.200824j 0.0230853-0.171124j 0.004293+0.0122047j -0.0145088+0.00425595j -0.0317927-0.0348458j 0.0135262+0.0381395j -0.0183916+0.066328j -0.0555493-0.011624j 0.00983307-0.0286882j 0.0163714-0.00393716j 0.0250669+0.0188989j 0.00217938+0.0153712j -0.00316655+0.0135043j 0.0173572+0.0148082j 0.00550985-0.0181892j -0.0149582+0.0226872j -0.00957585-0.0196392j -0.00314044+0.00885743j -0.0259011+8.31752e-05j 0.00889126+0.00919714j -0.00583372-0.0199206j 0.00337955+0.000515112j 0.0125528+0.0111194j 0.0217817+0.0118571j -0.00392214-0.0117684j -0.00726817-0.0230197j 0.0128547-0.00930713j 0.00261376+0.00541715j -0.0118664-0.0101254j 0.0146218+0.0343412j 0.000767037-0.0497061j -0.00575616-0.0181436j -0.0184037+0.0149761j 0.0448958-0.0100139j 0.00947319+0.0167811j 
-0.00511427+0.00135212j -0.0218305-0.00195969j -0.0256785-0.00618431j -0.021315-0.0121785j -0.0147112-0.0273485j -0.00689324-0.026578j 0.0156352-0.0872663j 0.0031824+0.027758j 0.000245227-0.0181127j -0.00617753-0.0364697j -0.000284378+0.0152154j 0.00116677-0.0130417j 0.0115346+0.011611j 0.00600801+0.0150621j -0.00358525+0.00166269j 0.00519107+0.00171645j -0.000422095+0.000688078j 0.0294157-0.00132084j -0.0557028-0.00249133j 0.0542356+0.00861665j -0.0384955+0.00778591j -0.138279-0.00315287j 0.00428494+0.00108538j -0.00744883-0.00347904j 0.0176936-0.00216447j 0.0187241+0.0119084j 0.000619434+0.00592641j 0.000596343+0.00432964j 0.00438817-0.00506278j 0.0367976+0.00100145j 0.000387742-0.00347882j -0.0172893-0.00244023j -0.0200114-0.00120199j 0.00556177+0.00502579j -0.0330306-0.0104455j 0.0141992+0.00642082j -0.0149545-0.00741717j -0.00789948+0.0094804j -0.00708215+0.00421419j 0.00120505+0.011524j -0.00668591+0.0040698j -0.00289445-0.00171886j 0.0189405-0.00667686j -0.000315305+0.0227335j -0.0129396-0.0213652j -0.0167523-0.00759717j 0.028287+0.0309451j -0.00016386+0.0141241j 0.0464649+0.0143241j 0.108124+0.0414646j -0.104623-0.00419947j 0.326465+0.120093j 0.00551715-0.0480105j 0.470489+0.108925j -0.0422264+0.00511757j 0.0982637-0.026418j 0.211533-0.123607j 0.0387222-0.0357914j -0.153688+0.224764j -0.0644177+0.575371j -0.0593985-0.0124747j 0.0208459-0.0494138j 0.0339001-0.0592103j -0.0101661-0.0841427j 0.0195702+0.0487937j 0.00884392+0.00586701j -0.00472744+0.00918955j 0.0290416+0.0464064j 0.000748043+0.0101955j -0.0111949+0.0565356j 0.0311385+0.0160643j 0.00156596+0.0252785j -0.022692-0.017811j -0.00209729-0.00283681j 0.0219953+0.0401371j 0.00607598+0.0171062j 0.0082698+0.0103276j 0.0179411+0.00271646j 0.000574548-0.00805983j -0.0212464-0.0194452j -0.000686158+0.0321747j 0.0100962+0.0169335j 0.0153656-0.000214073j 0.0060959+0.00615597j 0.0107327-0.0110257j 0.0047551+0.0137193j -0.0205601-0.0494952j -0.0117061+0.00905445j 0.0224072-0.00229363j -0.008057+0.00300668j 0.00248375-0.0158809j 0.0126409+0.0316217j -0.00630799-0.0555288j 0.023058-0.0180054j -0.020849-0.00133016j 0.0384187-0.00781114j 0.00789319+0.0172342j 
