-0.0354561+0.00850261j -0.00627256-0.0286563j 0.0310922-0.0417486j -0.0406526-0.0367657j 0.00172535+0.0296861j 0.033576-0.0102277j 0.0100756-0.077676j 0.0481999+0.0137318j 0.00497434-0.000709417j 0.00761952+0.00238387j -0.0188232+0.00303535j -0.00357475-0.0156317j 0.0111587+0.0182519j 0.00947578-0.0151202j 0.0118181+0.0127131j 0.0066684+0.0174361j -0.0056236+0.0149432j 0.0130485-0.00467443j -0.0204728-0.0192901j -0.012043-0.012146j -0.0265093-0.00571713j 0.00713005+0.00488586j -0.00844869-0.00157098j -0.0042197-0.00560911j -0.0194544-0.000160507j 0.00920438-0.00694605j 0.0118807-0.001605j -0.0403591-0.0180876j -0.00949095+0.00731231j -0.00952063-0.000948699j 0.000823086+0.00298862j 0.00326974-0.00692406j -0.000482914-0.00131338j -0.00921609+0.000921408j -0.00716033-0.000536577j -0.00921782-0.00845248j 0.00515251-0.0111635j 0.0422289+0.000376556j 0.0334113-0.00720243j -0.000648443-0.00456406j 0.00847047+0.0126333j -0.0178539-0.0058742j 0.00497135+0.0039035j -0.00960243+0.0178423j -0.00915552-0.0101213j 0.0153273+0.0286708j -0.00943324-0.0141372j 0.00121073+0.0130521j 0.00660341-0.0186121j -0.00131974-0.0279989j -0.00240693+0.0168489j -0.00287784-0.00848139j -0.00276134-0.011705j 0.00373991+0.00326574j -0.00293051-0.00196298j -0.0181973-0.00763552j 0.00676346-0.0032376j -0.024344-0.0205888j 0.00858882+0.00371722j -0.0201516+0.0125393j -0.00522949-0.00698312j 0.00590501-0.0143767j 0.0205631+0.0179396j -0.00430612-0.025346j 0.0732825-0.022865j 0.0301468-0.0354977j -0.0476506-0.0305684j -0.0466265+0.00515655j 0.0105874+0.0410547j 
0.000814883-0.00255284j 0.00329857+0.0016877j 0.0136089-0.0065758j -0.0113141-0.0198714j 0.00968128+0.0106026j -0.00975645+0.00966812j 0.00236741+0.00427353j -0.00121946+0.00112613j -0.000487146-0.00855721j 0.00304524+0.00362417j -0.0211846-0.00668528j -0.0135718-0.00618946j 0.0129471-0.0103404j 0.0140929+0.00395329j -0.00915643+0.017184j 0.00840347+0.00199015j -0.0223335+0.000862139j 0.00212232+0.0106331j 0.0164206+0.00654564j -0.0160306+0.00176593j -0.00443893-0.0043585j 0.00254873-0.0124782j -0.0130254+0.00360734j 0.00198439-0.0170847j -0.00443959-0.00269869j -0.00368991+0.00773957j -0.00799951-0.00611076j -0.00263552+0.000178119j -0.0215531-0.00339124j -0.00636094-0.000755721j -0.00677586+0.00246571j 0.00361115+0.0100706j 0.00806228+0.00900414j -0.0214485+0.00916203j 0.0130971-0.0101299j -0.00892658-0.00260033j 0.0169204-0.00276482j 0.0173995+0.0056273j 0.0336136-0.0211921j 0.00924124+0.00270187j -0.0167271+0.00927768j 0.000297463+0.00351232j 0.0137021-0.0254514j -0.0190048+0.0197967j 0.00208269+0.012932j 0.00139763+0.00819218j -0.0119538+0.0101632j -0.00499118-0.0101794j -0.00140129+0.0108984j 0.0118386-0.0124284j 0.0101839-0.00465046j 0.0149413+0.0064917j 0.0108548-0.00149718j 0.015694+0.0185603j 0.00628764-0.00932547j 0.0199298-0.0168089j -0.00733793-0.00965549j 0.000315903-0.00235633j 0.0188943-0.0160149j -0.0104671+0.0160478j -0.00932373+0.0229451j 0.00540511+0.0172159j -0.00297343-0.0089568j 0.00427971-0.000689382j -0.012456-0.00206587j -0.00517108-0.0228853j -0.0206384+0.00654954j -0.00774518-0.00396742j -0.00118758+0.000507642j 
0.0106813-0.0122217j 0.0126786+0.0135675j 0.00109299+0.00864078j -0.00877143+0.00191519j -0.00379022-0.0240776j -0.011556+0.0144894j 0.000457095+0.0135263j 0.00275383-0.0199026j 0.00168649+0.0114476j -0.00346984+0.00361878j -0.0122657-0.0100432j -0.00433485-0.0191085j -0.00733779-0.025882j 0.0101852+0.0163144j -0.0121528-0.00963385j -0.0120894+0.00616872j -0.0195008+0.00271359j -0.0100506-0.000308813j 0.0132099+0.0119424j 0.0105048+0.00959307j -0.00285748+0.00374668j -0.0162093-0.000347283j 0.00233048-0.00223679j 0.00642073-0.0108027j 0.0038656-0.00324273j 0.0051632-0.0365975j 0.0111263+0.00339713j -0.0115703-0.00312537j -0.015602-0.0179411j -0.0104489-0.00320727j 0.0194507+0.00346461j 0.0109211+0.00155406j 0.00965777-0.0304315j 0.00669664-0.0059914j 0.00583294-0.00388879j -0.0068647+0.00885125j 0.0110864-0.0146653j 0.003047+0.00355022j -0.00515451-0.00425583j -0.0112068+0.0123102j -0.0360906-0.0117837j -0.00543683-0.0108221j 0.0150545-0.00607317j 0.00106647+0.0119451j -0.00251845+0.00384j 0.00726373-0.00911944j 0.012618+0.0149226j 0.00958699-6.31817e-05j 0.00298031+0.00497569j 0.0148753+0.0111409j 0.00104874+0.00299029j 0.0167182-0.00728323j -0.0140787+0.000644554j 0.0136651+0.0114348j 0.00350525-0.000760071j 0.00265729-0.00865462j 0.00345697-0.0123235j 0.0153097+0.0195874j 0.00995921-0.00691168j -0.0145502+0.0131533j -0.00969438+0.00689912j 0.00584562+0.0064592j 0.0113606-0.000985023j 0.00362456+0.0038236j -0.0140856+0.0012806j -0.0134543-0.0149749j -0.00287799+0.0140744j 0.00743901-0.00735413j -0.00799124-0.00181915j 
0.00999337-0.00364694j 0.00213032+0.00374449j -0.00396899+0.00498603j 0.00581543+0.00258975j 0.0235847-0.00471357j 0.0160823+0.0165106j -0.000461023-0.015476j -0.000149564+0.00332839j 0.00126772-0.00362367j -0.006445+0.00832637j 0.00994858-0.0041736j 0.0122272+0.0265057j 0.00424605-0.00826732j -0.00235852-0.0108569j -0.000693188-0.019756j -0.00728699-0.00895945j -0.013577+0.000716885j -0.00611976-0.010072j -0.00640043+0.00503859j -0.00561938+0.0106567j 0.00772777-0.00820002j 0.00763146-0.0118139j -0.0199245+0.0111293j 0.00178617+0.00309132j 0.0055482+0.00718794j -0.00707644+0.000679158j 0.000703567-0.0128484j 0.00554073+0.0062233j -0.00697308+0.0206735j 0.00410138-0.00275137j 0.00598039+0.00638246j -0.00881278-0.0148666j -0.00777222-0.0139126j -0.00229745+0.00212585j 0.0124616+0.00309365j 0.00427482+0.0145432j -0.00570038+0.0155359j 0.0192262-0.000308366j -0.0127509+0.00821199j -0.00615473+0.0110053j 0.00802944+0.00937644j 0.00115978-0.00452177j -0.00928833-0.00750823j -0.00464803-0.0201251j -0.018937+0.00391131j -0.0292327-0.0229628j -0.00530174-0.00691862j 0.0113723+0.00106096j 0.005355+0.0179855j 0.00328758-0.0229362j -0.00902776+0.017878j 0.00369708+0.0101974j -0.0172024+0.00280457j -0.0033197+0.00039097j 0.00265268-0.0155025j 0.0165809-0.0237606j 0.00454999-0.00142932j 0.010022+0.0014515j -0.00391531-0.00794184j -0.0129396+0.00398462j 0.00557807-0.0235039j -0.0152901+0.00415472j 0.019866+0.00658067j -0.0219642+0.00381912j 0.00159145-0.0046876j -0.00767038-0.00209955j -0.0070461-0.000666873j 0.00455106-0.00906995j -0.0111893-0.000213577j 
0.00331689-0.00543152j 0.0026009-0.000465114j -0.0238813+0.0161098j 0.0232009+0.0247416j -0.00367634-0.0374413j 0.0502185-0.00319632j 0.0105258-0.0256181j -0.0109715+0.0241806j -0.00921991+0.00618368j -0.00864372+0.00470051j -0.00371232-0.00568188j 0.0118814-0.00104092j -0.0248336+0.0146137j -0.0238582-0.022706j 0.00495184-0.0179203j -0.0342037-0.0138315j 0.0194686-0.000907255j -0.00202653-0.0281215j 0.00136842-0.00671268j 0.00402714-0.00656248j 0.0141579-0.0230889j 0.0156595+0.00677657j -0.00202168+0.00532182j -0.00814561+0.00833199j -0.00338184+0.00412615j -0.00932761+0.0143483j -0.0137691-0.0111885j -0.00296728+0.0101159j 0.0207544-0.0108012j -0.00249831-0.00155582j 0.0146523+0.0167105j -0.00444508+0.000225893j -0.00487501-0.0168617j 0.00533591-0.0118606j -0.0026608+0.00254717j -0.0164021+0.0032381j -0.011713-0.0150086j 0.0175304+0.00467319j -0.0141226+0.0260643j -0.00139813+0.0106008j -0.0110511-0.0153356j -0.0202186+0.0174089j 0.00114321+0.0018566j 0.0271241+0.00528548j -0.00416091+2.67728e-05j -0.00644428-0.00484692j 0.0169761+0.00904152j 0.0212202+0.000236927j -0.0145563-0.00276139j -0.00526748-0.000744041j -0.0101307-0.00454745j 0.012531-0.00155928j -0.000900772-0.0353618j 0.0124731-0.00632147j -0.00914388+0.00961367j 0.013287+0.012068j 0.00273459+0.00330985j -0.00292466-0.0257791j 0.0122026-0.00103137j -0.0172142-0.0263438j 0.0238251-0.0173853j -0.0322445-0.0216209j 0.02664+0.026541j -0.0292414+0.0107212j 0.0283577-0.0352538j -0.0150552+0.0334745j 0.0217778+0.0277614j 0.00259805+0.000430345j -0.00125643-0.00307824j 
-0.0277916+0.0145461j -0.0174811-0.0207713j 0.0225425-0.0115337j -0.0111673-0.0335217j -0.0243163+0.00487271j 0.014488-0.0149223j 0.0316286-0.0322361j 0.0209782+0.0143696j -0.0104108+0.0131409j 0.015125-0.00439921j 0.0181087+0.0032014j 0.00759671-0.0268557j -0.00319013+0.00766581j 0.0262182+0.0148219j 0.0162955+0.0116108j 0.0106955+0.0137332j -0.00541232-0.00438506j 0.0229954-0.0223805j -0.0117212+0.00796491j 0.000353064-0.00823846j 0.0154312-0.0132221j 0.000127048+0.0159151j 0.0134649+0.0062316j 0.010458+0.00673297j -0.0143212-0.000957541j -0.016363-0.0152038j 0.013641+0.00354233j -0.0417916-0.00558056j 0.000797388-0.00678093j -0.00134886-0.00376924j 0.00452396+0.0200026j 0.00615994-0.00309301j -0.00448598-0.00282727j -0.0404601-0.00722595j -0.00607829+0.00960423j -0.00974442-0.00569688j -0.00684439+0.00909906j 0.0146049+0.008536j 0.0306585-0.0186752j -0.0106993-4.23989e-05j 0.0220626+0.0310931j 0.00695017+0.0175651j 0.00157104-0.00895887j 0.00453512+0.00947097j -0.0258754+0.00225439j 0.0045535+0.0270487j -0.0113947-0.0101614j 0.00951184+0.0163982j 0.00501723-0.0162304j -0.036047-0.0191911j 0.000105529-0.0040144j -0.00790047+0.0128683j 0.0122262-0.0473251j 0.0294294+0.0232647j 0.0117796+0.00791971j -0.00465864-0.0265698j -0.0141321-0.0192251j -0.0298585-0.0211112j 0.0239222+0.00561025j 0.0107279+0.0103184j 0.0125246+0.0307372j -0.0118386-0.00763558j 0.026248+0.00855325j -0.00295349-0.00618145j 0.0217597-0.0109411j 0.0133104-0.0272801j -0.028725-0.0222309j -0.0263692+0.0111152j 0.0176782+0.0187294j 
-0.0148452+0.00308717j -0.00144958-0.0124421j 0.00748758-0.0211326j -0.01825-0.00895438j 0.0144908-0.00650211j 0.0149485-0.0143878j -0.0175793-0.0248347j 0.0204822+0.00144679j 0.000193217-0.00524288j 0.0057844-0.00380001j -0.0259208+0.0135331j -0.0132148-0.0209553j -0.000202509+0.0108289j -0.0186484-0.0188819j 0.0131068-0.00775166j 0.00328415+0.000818564j 0.0103779+0.00902511j 0.00301275-0.00695588j -0.0145754-0.013389j -0.00780602-0.0170507j -0.0304293-0.00973501j 0.0103293+0.00499346j -0.0136692-0.0112212j -0.0147393-0.00572978j 0.00308206+0.00699098j 0.00232151+0.00133058j -0.0232392-0.0112727j -0.0244534-0.0118843j 0.00137796+0.0150532j -0.00912848-0.00223465j -0.0028693-0.00500564j -0.00904135-0.00621002j -0.00317127+0.0095116j 0.00479971+0.000817497j -0.0132402-0.00875151j -0.011668+0.00225622j 0.00301799-0.0245285j 0.0163382+0.00745697j 0.0153084+0.0145177j -0.000314318+0.00884619j 0.0062958-0.00318926j -0.016717-0.0209133j 0.00982976+0.0033945j 0.00129292-0.00755239j 0.0030138+0.000917339j -0.000943064+0.0134891j 0.00874698-0.0196499j -0.015261-0.01256j -0.000611765-0.0232001j 0.0171811+0.0101336j -0.00525035-0.0108939j 0.00715479-0.0265912j -0.00988821+0.00625022j 0.0189999-0.00916575j -0.0019295-0.000573728j -0.00196574-0.00292246j -0.00699741+0.00980661j 0.0132852-0.0245292j -0.00691683+0.00996949j -0.028477-0.000299312j 0.00533465-0.0142103j 0.000341036-0.0162626j -0.00395013+0.0103315j -0.00438511-0.0101142j 0.0224658+0.0164346j 0.0082319-0.00528911j -0.00933101-0.0222919j -0.0234712+0.00263065j 0.00791382+0.0203482j 
0.00296648+0.00852714j -0.00685146-0.00130159j -0.0187667+0.0110618j 0.0171941+0.0248547j -0.0111391-0.000168998j 0.016785-0.00560036j -0.0100133+0.0069365j -0.0187898+0.00710876j -0.0043897-0.00101071j 0.00618367-0.0167979j 0.0369533-0.00214768j -0.00906167+0.0166948j -0.0187411+0.0127119j -0.00252151-0.00148405j -0.014105-0.0316495j 0.0166501-0.00641926j 0.00146981-0.00863393j -0.00506415-0.0014633j 0.0106134-0.00474496j 0.01431-0.00816461j 0.0216402-0.00851426j -0.00818162+0.00185503j 0.00859128+0.00120657j -0.00820824-0.0151519j -0.00940393+0.00253811j 0.0107217+0.00049521j -0.023417+0.0116287j 0.0197264+0.00275989j 0.0153062+0.00787846j -0.00419785+0.0193148j -0.00324907-0.00537617j 0.00476523+0.00450497j -0.0157845-0.00218483j -0.00567971-0.00964427j 0.00573905+0.0105239j 0.00805419-0.00708831j -0.00610579+0.00641406j -0.0135651+0.00114358j -0.00100104-0.0095847j -0.00613351+0.0119047j 0.00741133-0.000420062j 0.00448357+0.00513736j -0.00576147+0.014636j -0.00623168-0.0238122j 0.00148768-0.0176657j 0.00162439+0.0138232j -0.0131417-0.00144481j -0.0026009+0.00997106j -0.00524286-0.030328j 0.0081613+5.5805e-05j 0.00444274-0.00725045j 0.00186447+0.00444566j -0.00570177-0.0275223j -0.0106072+0.00677858j -0.0136068-0.0110376j 0.00729896-0.0145844j 0.00144383-0.0179756j -0.024362+0.00722041j 0.00458862+0.00829144j -0.00373738-0.00381801j 0.00469216-0.00791511j -0.00829742-0.00176968j -0.00795199+0.0170094j -0.0116934-0.00406829j -0.00333832+0.00176803j -0.0116567+0.0284318j 0.0208463+0.00647689j 0.00509765+0.00953449j 0.00340931-0.00101951j 
0.0120712+0.00382488j -0.0044553+0.0114527j 0.000185045+0.0100402j 0.0101272+0.00255792j 0.00499449+0.0138329j -0.0200366+0.00391093j 0.00601082+0.00977047j 3.98409e-05-0.0107144j -0.000258629-0.0046943j 0.00490586-0.000945368j 0.0162634+0.0126461j 0.00374735+0.0321063j -0.00233818-0.0266474j 0.0165187+0.0170093j -0.0026367+0.00420261j 0.0192631+0.00302822j -0.0179249+0.00152138j -0.0171217+0.009004j 0.0163144-0.00447123j 0.00659357+0.00160374j 0.0215799+0.0144947j 0.0112535-0.00423767j 0.0155911-0.00746323j -0.00887094-0.0095855j 0.00745407+0.00756202j 0.00962524-0.00809961j -0.000452477+0.00819532j 0.00738297+0.0124036j 0.01962+0.0225077j 0.0202333-0.000655901j 0.0114932-0.00024111j 0.00430126-0.0159245j 3.94564e-05-0.0149721j -0.0171379-0.00415827j 0.0131259+0.0161412j 0.0163211+0.00332949j 0.0115059+0.00552541j -0.0243342+0.00544605j -0.00873137-0.00508229j 0.00182643+0.00184484j 0.0202088+0.00653612j 0.00737488+0.00789065j 0.014568-0.0223034j 0.0102263-0.0129961j -0.011007-0.00566276j -0.00440711-0.00760305j 0.00448469+0.0104076j 0.010213+0.00962588j 0.0107008+0.00165055j -0.0123478+0.0130219j 0.00232289+0.017471j -0.0107552+0.0302698j -0.00396591+0.0078219j -0.00972491+0.00261507j 0.0247898-0.00944821j 0.00685807-0.0137994j 0.0117557+0.0133969j 0.00392752+0.0161999j -0.0164532+0.00271058j -0.00306577+0.0212069j -0.0164147-0.00115094j 0.0086538+0.0208332j -0.00648411-0.0190075j -0.00855963+0.00508796j -0.00911476+0.00862608j 0.0185233-0.00131508j -0.00127812-0.00325343j 0.0143163-0.0123025j -0.0101301-0.0130387j 
-0.00263361+0.0117388j -0.00927045-0.00560388j -0.0167431+0.000707616j 0.0151538+0.0275711j -0.0223843+0.0217265j -0.0147023-0.00875481j -0.00674087+0.0141761j -0.0202893+0.00606581j -0.0137965+0.0116588j 0.00591021-0.00914068j 0.0267848+0.00753021j 0.0254928+0.0133934j -0.00778434+0.00265906j 0.00343633+0.00763702j 0.0306236+0.0326333j -0.0090557-0.00102376j 0.0289073-0.000459418j -0.00551277+0.00985107j -0.00983999-0.0062011j -0.00652695-0.00483534j 0.0324147-0.019088j -0.00159237+0.0135726j 0.0220283+0.000442111j 0.0226226+0.00682087j 0.0034562+0.00623627j -0.0186414-0.00495024j 0.0208081+0.0120052j 0.00152037+0.0146166j 0.0194952-0.0100724j -0.000448859-0.00282103j 0.000374938+0.0183272j -0.00175695+0.00556931j -0.00895297+0.0213803j 0.000141156+0.0067275j -0.0162419+0.00640303j 0.00686068+0.0140776j 0.0106972+0.0110656j -0.0246991-0.0206316j -0.0140451+0.000465j 0.000247363+0.00669628j -0.000762609+0.0119428j 0.0143484+0.0228915j -0.00224671+0.00887611j -0.0020862-0.0133774j 0.00100397-0.00965981j 0.0041594+0.0156445j -0.00310981-0.0151789j -0.000365074+0.037931j -0.00808217-0.0220592j -0.0067406+0.0127326j 0.00473534+0.00344683j 0.000840876+0.0197861j -0.00066194-0.0229063j -0.0214857+0.0164087j 0.00528619-0.019706j 0.0118505-0.0199798j 0.0134275-0.0187206j -0.0396415+0.0177374j 0.00437891+0.0140914j 0.00257033+0.00955928j 0.0122548+0.0018092j -0.00204007+0.00479272j -0.00759653-0.000814175j 0.009052-0.00272898j 0.00498671+0.0210401j 0.00302707+0.0285704j 0.014416-0.00372015j 0.00309425+0.00900172j 0.00655794+0.00113206j 
-0.0139202+0.0162062j -0.0179053-0.00659751j 0.00912243-0.0157792j -0.0187954+0.000424249j -0.0562852-4.82195e-05j 0.0100226-0.00910571j 0.0199673-0.021259j -0.00542982+0.00248437j -0.00845301+0.00683822j 0.0117426-0.00151892j 0.0098581-0.0113972j 0.0247189-0.0236222j -0.029876+0.0235185j -0.00366187-0.00680083j 0.00648641-0.00119709j -0.000971879-0.000878491j 0.016273-0.00564797j 0.00750469-0.00324159j -0.0150175-0.00538808j 0.00959837-0.00512502j 0.0123948-0.00902438j -0.00323007+0.00350152j 0.0104147-0.0020219j 0.0102843+0.00876547j -0.0123422+0.00384434j 0.00182973+0.00563071j 0.00838722-0.00699121j 0.00421263+0.0014742j 0.00390443-0.00332157j 0.00218846-0.000536533j -0.00988358-0.00733044j -0.0041699-0.0115663j -0.0032368+0.0104931j 0.0139971+0.00445729j -0.00970928+0.0116738j -0.00249586-0.00171088j -0.00393242+0.00160854j -0.0129978-0.00734299j 0.000563807+0.00909734j -7.84198e-05-0.0182807j -0.00622003-0.0106704j -0.0117777+0.00691261j -0.00546537+0.0223359j 0.0213276+0.017489j 0.00547337-0.0267849j 0.00265221+0.00751504j 0.0134588-0.0143927j 0.0234093+0.0148731j -0.0152554+0.00321921j -0.00890804+0.00490714j -0.00407609+0.0125211j 0.0265712-0.0140688j 0.00895362-0.0180404j -0.0149573+0.00888198j -0.0120646+0.0233977j -8.4539e-06+0.0064166j -0.0199437-0.0131929j -0.0241626+0.00646531j 0.0147686+0.00225328j -0.00666305+0.00392557j 0.00917545-0.00511627j 0.00242444-0.0131721j 0.00555848+0.0280709j -0.0261301-0.0030668j 0.00855044+0.00204838j 0.00228534-0.0116539j -0.00748989-0.0273091j -0.00913695+0.0203436j 0.0234259+0.00833808j 
-0.0162145-0.000851925j 0.0003642-0.0141625j 0.00662305-0.0210333j -0.0138435-0.00986254j 0.00802797+0.0131428j -0.014016-0.00986323j -0.00875989-0.00441429j 0.016707-0.0108832j -0.00551051+0.00134254j 0.00162349-0.0161898j -0.00755901+0.00998343j 0.000558772-0.021934j -0.00890321+0.0256722j -0.0304365-0.0167122j -0.000456868+0.00582457j 0.00801457-0.00228699j 0.00215272-0.00425741j -0.00463879+0.00575201j -0.00688969+0.0036181j 0.003025-0.0112927j -0.00353578+0.00324867j -0.00489718+0.0108085j 0.000551875+0.00158916j -0.00482605+0.00103407j -0.00549266+0.00282139j -0.00630941-0.00777681j -0.00419803-0.0100779j -0.0196995-0.0245366j -0.0174334-0.0105932j -0.0155149-0.00304547j 0.0129417+0.00433342j 0.00335281+0.00267398j -0.00240675+0.00476194j 0.0041145-0.0117074j 0.000850298+0.010398j -0.00253004-0.0133403j 0.00281563+0.00370358j 0.00728201-0.00501409j -0.0030839-0.0084388j -0.0105962-0.00469451j 0.00677067-0.0119326j -0.0100844+0.00915135j 0.0103786+0.0136089j 0.00465066+0.000753285j 0.0162145+0.00734611j 0.0136524+0.0099539j 0.00303622-0.00761427j 0.00869182-0.0131979j 0.00138567-0.00644686j 0.0143761-0.00680628j -0.00673236+0.00142104j 0.00334881-0.00512947j 0.00787342-0.00222432j 0.00960719-0.00248737j -0.0232811-0.00982034j -0.0120163+0.01644j -0.0138312-0.0162697j -0.0025347-0.0192887j 0.00416612+0.00413088j -0.0109509+0.00206414j 0.0126986+0.00365582j 0.000837378-0.00882213j -0.000451667-0.00536857j 0.0309186-0.00199105j 0.0165609+0.0244875j 0.00561075-0.000217448j -0.000958991-0.0126762j -0.0117481+0.00626017j 0.0123435+0.0155415j 
-0.00178299-0.00444896j 0.00272392+0.000579436j 0.0165199-0.0154285j -0.015098-0.0215057j 0.0152808+0.00892257j -0.025396+0.000883255j -0.00281344-0.00373625j 0.0191103-0.00977445j -0.00616698+0.00991845j -0.0030856-0.00727853j -0.0225131-0.00229511j 0.000143595-0.0331297j -0.00296882+0.00402628j -0.00516817-0.00224058j -0.0131554+0.00327197j 0.00804458-0.00378551j -0.0113436+0.00777536j -0.00398822+0.00306874j 0.00431887+0.0203561j 0.00120032+0.00394601j -0.00634184+0.00421824j -0.0160299+0.00290192j -0.000711239+0.00225251j -0.000576573+0.007905j 0.00517975-0.00259855j -0.0102945+0.00325128j -0.0126918+0.0123727j 0.00310417-0.00665962j -0.00747712+0.00134829j -0.00639348+0.00271764j 0.00474201+0.00784613j 0.00563559-0.00542274j -0.000586978-0.0150801j -0.00393916+0.00491968j -0.00517496+0.00218839j -0.0088309-0.000489871j 0.00737884-0.0122988j -0.000377078+0.00418112j 0.00566788-0.0191148j 0.00445644-0.00101766j -0.0115073+0.0123063j -0.00342975-0.0077915j 0.00412932-0.00432491j -0.0122994+0.0158408j -0.00240633-0.0041463j 0.00159898-0.0159475j 0.000356098-0.0124477j 0.00343563-0.00541731j -0.00531406+0.000815589j -0.00812881+0.0045811j -0.00192494-0.000345913j 0.00974925-0.00111863j 0.0243788+0.0192246j 9.92256e-05-0.00338498j -0.00993417-0.0123145j 0.0259316-0.00189092j 0.016775-0.0122162j 0.00766158+0.00159206j 0.0116286-0.0176061j -0.00351637+0.00654204j 0.0145317+0.00944519j 0.00250337-0.00513671j -0.00119687-0.0104199j 0.0389524+0.00846655j -0.0078002+0.0195587j 0.00440143-0.0225744j -0.013555-0.0115395j -0.00578856+0.00638598j 0.00612757+0.00805299j 
0.0125543-0.00272631j 0.00277793+0.010537j 0.00245604+0.0207058j 0.0195955+0.00164255j -0.00382269-0.0182584j 0.0216395+0.00975451j 0.00671167-0.0156587j -0.00951043-0.00641197j 0.00501253-0.0135838j 0.00386639+0.013601j 0.00420906-0.00369001j 0.0026265+0.0202388j 0.00186038-0.0061996j 0.0130453+0.0131033j 0.00493095+0.00488127j 0.00143758+0.0154014j 0.00115349+0.0161474j -0.00780262+0.00513918j -0.00766342-0.00109527j 0.0111824+0.00387968j 0.00944351+0.0066089j -0.00331469-0.00845322j 0.00271014-0.00515031j 0.00545167+0.00717381j -0.0197623+0.00824638j 0.0181898-0.0096626j -0.00191531+0.0108629j 0.00446729+0.00966794j 0.0101632+0.0282319j 0.00294072+0.0145269j -0.00951487-0.00120699j 0.000469429+0.000564424j 0.00928062-0.00121247j -0.00508105-0.00979305j 0.0135148+0.00696091j -0.000984868+0.00704315j 0.00252239-0.00940695j 0.000762624-0.0102063j -7.44207e-05+0.0221802j -0.00524446-0.00301615j 0.025515+0.004749j 0.0157097-0.00356071j 0.00309629-0.00874195j -0.00776896-0.00879775j -0.00821325-0.0016315j 0.00271608-0.0127067j -0.00635001+0.0115472j 0.00819323-0.00184844j 0.00401658+0.000682691j 0.0151002+0.00248402j -0.000213215+0.0040704j -0.000766621+0.0171975j 0.00355898-0.0131755j 0.00547201+0.0195084j 0.0268329-0.0128525j -0.00639491-0.00701604j -0.00248095+0.0115349j 0.00914303+0.0166694j 0.00509415-0.0193375j -0.000766553-0.00568313j 0.0029734-0.00850439j -0.0202762+0.00498472j 0.00608346+0.0139177j -0.0200849+0.0150713j 0.00614862-0.0177203j -0.0122125+0.00200652j -0.0049918+0.00871451j 0.00873042-0.0135554j -0.0121997-0.00755225j 
-0.00905659-0.00334207j 0.0056452-0.00995082j -0.01248+0.00865888j 0.00463121+0.0155389j -0.00532299+0.00510155j 0.023992-0.00576957j 0.0142599-0.0234413j 0.00722646+0.0216971j -0.00282316-0.00359896j 0.00541233+0.00223978j 0.0142245-0.0146034j 0.00689249+0.0155514j -0.00182054+0.00309731j -0.000177697-0.0108483j 0.00369634-0.00415687j -0.0205475-0.0100997j -0.0103398-0.010591j 0.0156001-0.0202369j 0.000562282-0.00913303j -0.00503074-0.00113847j 0.00723343-0.0194781j 0.0199796+0.00604902j -0.0169166+0.00241003j -0.0127901+0.00300557j -0.011498-0.00145216j 0.000780398+0.00550212j 0.00267731-0.00492591j -0.00169297+0.0135106j 0.0128722-0.0100843j 0.00944553-0.00639804j 0.0126117+0.00756992j 0.000544438+0.0014155j -0.0032367-0.00796739j -0.00787083+0.000783023j 0.00691455+0.00838951j 0.0246833-0.00482089j -0.00577801-0.00460905j 0.0160497+0.0121738j -0.00600453+0.0109275j 0.000925306+0.00988193j -0.00228839-0.00823048j 6.89875e-05-0.00589629j -0.00117547+0.00433232j 0.0165562-0.00249611j -0.0139492-0.00439639j 0.00948416-0.0110943j -0.0232541-0.00257519j -0.00366538+0.00642996j 0.000994941-0.00927043j 0.000417969-0.0118902j 0.0139441-0.00264793j -0.0117423+0.0065017j 0.00411416-0.0120735j 0.0065365-0.0181308j -0.0150154+0.00426865j -0.0071236-0.0052157j 0.00413434-0.0032571j -0.0245581-0.0271096j -0.0185194+0.0166678j -0.00478905-0.0121966j -0.0124916-0.0161269j -0.012962-0.0129876j 0.0111703+0.00423189j -0.01803-0.00250251j 0.0121508-0.0245098j -0.00907511+0.0234283j 0.00807573+0.00409982j -0.00540503-0.00421144j -0.00644008+0.00519313j 
