-0.0117546+0.0108101j 0.00994819+0.00272197j 0.000601134+0.0116405j -0.00323377+0.023286j 0.00580168+0.00464304j 0.00129881-0.00758515j -0.00828205-0.00548311j -0.0194086+0.00264096j -0.00164954-0.00180571j 0.00169762-0.00145716j 0.00366161+0.00451702j 0.00915796-0.00418618j 0.00220838-0.00422359j 0.00402445+0.00257005j -0.00504891-0.000695759j -0.00187123+0.00280035j -0.000812604-0.00175052j 0.00850342-0.00831748j 0.00544393+0.00612715j 0.00666104-0.00135462j -0.00903006-0.00816112j 0.00146221+0.000241143j -0.00922962-0.00139828j 0.00252865+0.00297079j 0.00120646-0.00158839j 0.00341295-0.000358525j 0.000352006-0.00354396j -0.00470129+0.00214152j 0.0069968-0.00609517j -0.0108474-0.000158853j 0.0133196+0.00771563j -0.00282162-0.000939573j 0.00773934+0.0104411j -0.00107258-0.0213427j 0.0184909-0.00915599j 0.00900492+0.0125748j 
-0.00857955-0.0062209j 0.00214304+0.00502365j -0.00348909+0.0227907j 0.00277146-0.0140469j -0.0065539-0.0170496j -0.0124567+0.00793871j -0.00295193+0.000500406j -0.0162754-0.0039525j 0.0125058+0.0048505j -0.00698908+0.010609j -0.0194683-0.00604668j -0.0148179+0.00923062j -0.00759939+0.00199858j -0.00439732-0.00803233j -0.00436+0.00391427j -0.0176631-0.00464553j 0.00666254-0.0213946j -0.00596451-0.00335218j -0.00539411-0.0022226j -0.0109395-0.00933333j 0.000638457+0.00154518j 0.00554755-0.000477081j -0.00131065+0.00150417j -0.0105912+0.00772743j -0.00259067+0.00703172j 0.00249159+0.0114452j -0.000818155-0.0055656j 0.00480402+0.0025461j 0.00643905+0.0020917j -0.000975766+0.00349702j -0.00625572-0.000405529j 0.00173659+0.012664j 0.00574166+0.00325862j -0.00536631+0.00596007j 0.00383452-0.00350407j 0.00413645-0.0033149j 
0.000609494-0.00487929j -0.000395741+0.00110878j 0.00366032-0.00367526j 0.00104243-0.0200169j 0.011963+0.00357585j 0.000641251+0.000250479j 0.0184197-0.00178821j -0.0183902+0.00447401j -0.000434094-0.00676195j 0.0174858+0.00398642j -0.00522523+0.0160169j 0.0117229-0.00303787j 0.00896352+0.0067292j 0.0063211+0.010185j 0.0127845-0.0174511j 0.0208205-0.00805672j 0.0120535+0.0171955j 0.0103292-0.00822444j 0.00302542-0.0119063j 0.00513946+0.00190446j -0.00891759-0.00309406j 0.00926527+0.0183446j 0.0104717-0.00362493j 0.00334306-0.00207494j 0.0060187-0.00649717j -0.0109616-0.00741084j 0.0162534+0.00880708j -0.0014166+0.00487977j -0.00748638+0.00498044j -0.00256771+0.00753897j 0.00270866+0.00270093j 0.000908337-0.0115851j 0.00519732-4.89928e-05j 0.00196177-0.00405001j 0.00155153+0.00401918j 0.000502255+0.00381092j 
0.00173249-0.00518539j -0.0126733-0.00533936j 0.00144687-0.00550895j -0.00637241-0.0129947j 0.0144982-0.00911591j 0.00335641-0.00473959j -0.0125674-0.000225692j 0.00608635-0.00656606j 0.00562672-0.0147994j -0.00231375-0.00587989j -0.00463952-0.00586533j 0.000221777-0.00488863j -0.0166331-0.00847726j -0.00228876+0.00214736j -0.0203681+0.0370631j -0.004615-0.00175132j -0.0188916+0.00593748j 0.00693971+0.00139139j 0.0157627+0.0222335j 0.021973+0.0168731j 0.0217536+0.00235173j 0.00357009+0.00276099j -0.000909238-0.00803526j 0.00918379-0.0089404j -0.000821658+0.0132185j -0.0036787-0.0132004j -0.0167291-0.00125169j 0.00727272-0.0140453j 0.00538854+0.00119217j -0.00397198-0.00550935j -0.0172723-0.00307853j 0.00213596+0.0156578j -0.00412601-0.00240178j -0.00161412+0.00422682j -0.00482785-0.00541781j 0.00461651-0.00051751j 
-0.00387627-0.00493615j -0.0110707-0.00962162j -0.000183114-0.00623864j 0.0024511-0.010624j -0.00761608+0.00493748j -0.0151381+0.00117571j 0.0103586-0.00813105j -0.00162422-0.00359378j 0.0230722-0.00257007j 0.0258578-0.0102484j 0.0110377+0.0168522j 0.00767736-0.00473444j 0.00506378+0.0140248j 0.00579854+0.00819357j 0.00206467-0.0161599j -0.00578359-0.00126944j 0.00840324+0.00124629j -0.00136739+0.000261997j 0.00756258+0.00774695j 0.00591168-0.018942j -0.0126176+0.00787659j 0.00148608+0.0165066j 0.0222197+0.00328557j -0.0251669+0.000105243j 0.009237-0.0215391j -0.000932884+0.0090457j 0.01434+0.021359j 0.00713268-0.000492237j -0.0015016+0.00413865j -0.00516489+0.00456162j 0.0064829-0.00269065j 0.00592345+0.00829559j -0.00140014-0.00406259j -0.00325307-0.00473445j -0.00010468-0.00866786j 0.0101235-0.000604716j 
0.00561238-0.00558091j 0.00128348-0.0109658j -0.00141522-0.0236955j 0.00290864+0.00917435j 0.00427152-0.00258243j 0.00601196+0.00469541j -0.015459+0.00776912j -0.000380259-0.00779086j 0.00454999-0.000355114j -0.00565273+0.00504624j -0.0123944+0.00175839j 0.00344664-0.0226895j -0.00271992+0.00614908j 0.0267998+0.00619903j 0.00278484+0.0114857j -0.00582702+0.00373529j -0.00518424-0.00893275j -0.00988615+0.00517269j 0.00237399-0.00594536j 0.000593782+0.0142736j 0.0147103-0.000561643j -0.00841359-0.010413j -0.00301542-9.00964e-05j -0.000867744+0.00502569j 0.00585348-0.0115536j 0.00115756+0.00935864j 0.0101398+0.00491138j 0.000890573+0.00459547j 0.00253125+0.00356039j 0.00239105+0.00700634j 0.0138092+0.00292523j -0.00048037-0.00380704j -0.0012928-0.0014539j -0.000941026-0.00706441j 0.00472451-0.00299399j 0.00553266+0.000261177j 
0.00145213+0.00804514j 0.00405649-0.0117983j 0.00351641-0.00998728j -0.00998908-0.0168922j 0.00600806-0.00886323j 0.00242867-0.00533413j -0.0231205+0.00506502j 0.011255+0.000160581j 0.00807578-0.004615j 0.000960696-0.0117619j 0.00764861-0.00654833j 0.00418008+0.0101471j 0.0107096+0.010242j -0.0097554+0.00348456j 0.0148763-0.00687359j -0.0011792+0.000128676j 0.00933126+0.0146627j 0.00259512-0.00249488j -0.00233185-7.54834e-05j 0.00454883+0.008599j 0.0136966-0.0145654j -0.00622375-0.0152277j -0.0132363-0.0125369j 0.0121267-0.00418241j -0.0035079+0.00823944j -0.00886796+0.00254779j 0.00302618-0.00955894j -0.00467459+0.00936975j 0.00704116+0.00114672j 0.0059474+0.00360622j -0.00567783+0.0043696j -0.00508794-0.00310919j 0.0115007+0.00569562j 0.00979909+0.00423778j 0.0093846+0.00514362j -0.00658382+0.0101343j 
0.000661032-0.00190178j -0.015638-0.0126141j 0.00728265+0.00678455j 0.00155811-0.000512033j 0.000760879-0.000865097j 0.011423-0.0143079j -0.00479884-0.0102706j 0.0241235-0.0140612j 0.0132829-0.0131544j 0.0124093-0.00135959j 0.00675804+0.010621j 0.000965296-0.0204929j -0.00350376+0.0130628j 0.0198808+0.00692622j 0.00210385+0.00750107j 0.00296693-0.00761053j 0.00550344+0.010026j 0.00499467+0.004312j 0.00960195+0.00848579j 0.00581889-0.00535788j 0.0173577+0.0105375j 0.00590084+0.0064261j 0.00947694-0.00318883j -0.0165342+0.0168643j -0.00423461+0.0107081j 0.0222494+0.00620308j -0.0113606+0.00656713j -0.00487548+0.00382721j -0.00137464-0.0125748j -0.00619588-0.00956519j -0.0077251-0.0109356j -0.00626873+0.00623132j 0.00545458+0.00350216j 0.00184374-0.000207356j 0.00568792-0.00302071j -0.00277591+0.00720714j 
0.0136905-0.00962687j 0.00360644-0.00279753j 0.0109155+0.0173966j -0.00176998-0.00982224j 0.0116736+0.00165065j 0.0163189-0.0166454j -0.000299979+0.00789532j -0.00472547+0.00913594j -0.00484167+0.000983361j -0.0146811-0.0191525j 0.020938-0.0101022j 0.00483987-0.00660459j 0.00836684+0.00746434j 0.00213904-0.00214773j 0.00539941+0.00464808j -0.00637351+0.00668369j -0.0100346-0.00213744j -0.0111036+0.00772157j 0.00462589+0.00158681j 0.0060628+0.00654156j 0.00430939-0.00353197j -0.00958709-0.0138713j -0.00727176+0.00893148j 0.00916493-0.00609092j 0.00206415-0.00355828j 0.000137585-0.00962951j -0.00534048-0.00210202j -0.0021463-0.00141241j 0.000908614-0.00360258j -0.00566825+0.00105843j 0.00753312+0.00491352j 0.00135353+0.00105093j 0.000237927+0.00326413j -0.00563488-0.00935625j 0.00261046-0.00507257j 0.00715533+0.0057197j 
-0.00593591-0.0182486j -0.0109118-0.0115701j 0.0149501+5.86889e-05j 0.00264419+0.000711177j 0.0221793-0.00834916j 0.00706779-0.0148903j 0.00202645-0.0140075j -0.0111647+0.00445941j 0.0144955-0.0172346j -0.00519032+0.000188158j -0.00416852-0.00643908j -0.000140494-0.00129391j 0.00498358+0.0175208j -0.0009888+0.00245758j 0.00719004+0.0119061j -0.00826162-0.00715187j 0.00379654+0.00342488j -0.00312926-0.00736947j 0.00894927+0.00192773j 0.015495+0.000744234j 0.0120605-0.00298276j 0.0128562+0.000535067j 0.000458962+0.00469676j -0.00219985-0.00412126j 0.00181806-0.0046637j -0.00889917-0.00059936j -0.00301031-0.000496043j 0.000849811-0.00410322j -0.0016471+0.00452757j 0.000718643+0.00247512j 0.00935541-0.00173819j 0.00152499-0.000959627j -0.00461089-0.00197282j -0.00746236-0.00197059j -0.00425361-0.00397917j 0.00456329-0.00988116j 
-0.00657823-0.0249239j -0.0153212+0.0164915j 0.00121141-0.0032567j 0.0044486+0.00630191j -0.0111155+0.0123871j 0.012087-0.00559166j 0.0258852-0.00656792j 0.00272203+0.00701681j -0.011513-0.00527902j -0.0118838+0.00628888j 0.00804884+0.00148854j -0.00105543+0.00223821j -0.00367754+0.00564441j 0.00157108+0.00114593j 0.0027167+0.00490431j -0.000874333-0.00935738j -0.000449483-0.00713264j -0.00759164+0.00162468j -0.00300411-0.00895512j -0.00498025-0.00941406j 0.00104734+0.0084903j 0.0189759+0.00161656j 0.00307121+0.000691629j -0.00372852-0.00482402j 0.00119831+0.00337872j -0.00414028-0.00193415j -0.00697619-0.00577771j -0.00627104+0.00216331j -0.00273577-0.0031044j 0.00161504-0.000272731j -0.00217533+0.00668424j -0.00437122-0.00464624j 0.00310766+0.000582851j 0.00780245+0.000853292j 0.00357252+0.00630815j -0.00460389+0.00890519j 
0.0195625-0.00728427j -0.0152586-0.017831j 0.00599743+0.0114602j 0.00088722+0.0179806j 0.0100936-0.0171714j 0.0107217-0.000115609j 0.0113236-0.0108327j 0.00143227-0.0115248j -0.000229786-0.0105874j 0.00522284+0.000930775j -0.0119475+0.0029339j -0.00151011+0.00555297j 0.00848737+0.00885007j -0.00469036+0.000771744j 0.0069978+0.00115889j -0.00738688-0.0019033j 0.00672387+0.00318325j 0.00517675+0.00517578j 0.00292684+0.00244415j 0.00274356-0.000566574j 0.0109176-0.00407457j 0.00243502+0.00922854j 0.00272633-0.00843275j -0.00452181+0.00390513j -0.00112159+0.00193195j -0.000276811+0.00623184j 0.00672693-0.000983896j 0.00534086-0.00121785j 0.00342942+0.00485364j 0.00345868+0.00142432j -0.0145172+0.00198803j 0.00684059+0.00576962j -0.00293467-0.00300416j 0.00583643+0.0100343j -0.00500268+0.00548303j -0.00663038-0.00379822j 
