0.149486+0.130125j 0.121989-0.15467j -0.00895374+0.0338349j 0.0274105+0.0530135j 0.164228+0.143275j 0.108401-0.151097j 0.133485+0.0284612j 0.198244-0.100089j 0.0149905-0.0324993j -0.0597974-0.0659165j -0.00604217+0.0964308j -0.0956145-0.0104666j -0.0966572-0.168111j -0.118152+0.041993j -0.11563-0.0172549j -0.000149581-0.0300081j -0.0393854+0.0283084j 0.0881911-0.0420443j 0.0262451+0.14215j -0.0119182-0.0109656j 0.0988503-0.0612144j -0.0320598+0.0244749j -0.0347-0.0568291j 0.0056804+0.0564219j -0.125948-0.0719775j -0.0561475-0.0206054j 0.0643757-0.100064j -0.0123605+0.0213011j -0.0224067+0.0629643j 0.0115334-0.12259j -0.232866+0.0367008j -0.00745632-0.00823131j 0.0922671-0.0139072j -0.0177549-0.191217j 0.0523729+0.0500787j -0.12208+0.0631392j -0.0215464+0.0159498j -0.0511359+0.173515j 0.0519605+0.0141666j -0.138751+0.0354149j 0.0328325-0.00803286j -0.0396199+0.0664136j -0.182954-0.118586j -0.12313-0.0444853j 0.109235+0.0101625j 0.0623386+0.0207627j 0.0266599+0.125524j 0.118275-0.0836613j -0.00920505-0.27035j 0.162261+0.000534226j -0.0630822+0.0982996j -0.116046-0.0363149j 
0.000579825-0.00988208j -0.00431025-0.00182543j -0.00749924+0.000357297j 0.00296941+0.00468001j 0.00570916+0.000747987j 0.00414318-0.000803425j -0.00432157-0.00209609j -0.00803872+0.000871584j -0.00258202+0.0129714j -0.00609468-0.00075446j 0.00710765-0.00533535j 0.00172851-0.00401883j 0.00740516-0.00282885j 0.00180366+0.00865353j -0.00244614+0.0105175j 0.0120486+0.00465074j 0.0103356+0.00203431j -0.00380637-0.00617544j 0.00986063-0.00709696j 0.00454534-0.00345172j 0.00892252+0.0024141j -0.00419682-0.00938965j -0.00383016+0.00193107j -0.0147937-0.00195319j -0.00380407-0.00519278j -0.00629983+0.0188871j -0.016903-0.0173443j -0.00797233-0.00164248j -0.00735068-0.00432338j -0.0160531+0.00118472j 0.0122307-0.00301547j 0.000617805+0.00877536j 0.00151484+0.00394787j -0.00132588+0.000263469j -0.00955351-0.00413086j 0.00166676-0.0118314j -0.000616504-0.00372274j -0.0155394-0.00613513j 0.00283859+0.00122733j -0.00976549-0.00251006j 0.00462729-0.0031954j -0.00197108-0.00141013j -0.00880343-0.00590216j -0.00889373+0.0030126j -0.0113783-0.000609784j -0.025931+0.00736338j 0.00768203-0.0044814j -0.00840401+0.0172683j 0.00973638+0.00396274j -0.0100309+0.00139003j 0.0132816-0.00849438j 0.0050655+0.0144135j 
-0.00185564+0.00309527j 0.00522552-0.00185363j -0.00346585-0.00556753j -0.00219907+0.00150033j 0.00525082-0.00670192j -0.00911868+0.00121032j 0.00106014-0.000731779j -0.0034798+0.00286091j -0.0078283-0.0118705j -0.000552198+0.00567683j 0.00871411+0.00391087j 5.79941e-05-0.00307715j -0.00815609+0.00279166j -0.00659061+0.011592j -0.00653762-0.00256792j 0.00534937-0.00454278j -0.00603648+0.00469523j 0.00154186-0.00180299j -0.000803857+0.00187024j -0.000104508+0.00174843j -0.00149647-0.00133886j 0.00288172+0.000919469j -0.00371109-0.00669245j -0.00133092-0.00334408j -0.00369567+0.00268011j -0.00275138-0.00370461j 0.0116995-0.00190966j -0.000505786+0.00374614j 0.0015305-0.0050514j -0.00152123-0.0100493j 0.00148296-0.00242123j -0.00232015-0.00124942j 0.00160188-0.00133393j 0.00427885-0.00184995j 0.00105906+0.000463668j -0.00248246-0.00133242j 0.00438655+0.00671847j -0.0128913-0.00421698j -0.00143938+0.00468298j -0.00162332+0.00528493j -0.00745582+0.00807595j 0.00234181+0.000355359j 0.000157268-0.00113745j -0.00152076+0.00659666j -0.00309053+0.0105493j -0.00475896+0.0139924j -0.00566952-0.000226699j 0.00163529+0.00514861j -0.000319605+0.00240031j -0.00424385-0.00069687j -0.00270164-0.00606726j 0.00539093+0.00057025j 
0.00125954+0.00389759j 0.00422435+0.000635441j 0.00210144-0.00664657j -0.015723-0.0029489j -0.00728082+0.0029542j 0.00140252+0.00129084j 0.00177469+0.00570641j -0.00351545-0.010532j 0.0191193+0.00369157j -0.00371841-0.014843j 0.000465743-0.00770774j -0.0026336-0.0105567j 0.0122683-0.0132562j 0.00474217-0.0136467j 0.00327924+0.00694252j -0.00409556+0.00864409j 0.00859154-0.00488394j 0.00203917+0.00128141j 0.00250808-0.00619528j 0.00164452-0.00116744j 0.00317542+0.0105847j -0.00857423-0.00482696j 0.00323639+0.00347825j -0.00323836+0.00421426j -0.00142773+0.000905382j -0.00535321+0.0100807j -0.0192553+0.00240458j 0.00679963+0.00553369j -0.00484128+0.0103478j -0.000416052+0.00330469j 0.00175306+0.00349654j 0.00408075-0.00030707j 0.00450183+0.00774563j 0.0014896+0.0037152j -0.00786012-0.00887141j 0.00659921-0.000999828j -0.00703787-0.00894371j 0.017455+0.00680139j -0.0007589-0.0055794j -0.0182825-1.62863e-05j 0.00847009-0.013377j -0.00326411-0.00525554j 0.00258271+0.00435079j -0.00918898-0.00675541j -0.00716001-0.0146966j -0.0099018-0.0112362j 0.0123007-0.0156916j -0.014349-0.00700904j -0.00824432+0.00363637j -0.00336232+0.000231639j -0.0114992-0.000383207j 0.000274058-0.0126171j 
0.00216009+0.00510345j 0.0048942-0.00105006j 0.00349457-0.00314304j -0.00980755-0.00167097j -0.0137117-0.000292177j 0.00594326+0.00603783j 0.00152791+0.0125141j 0.00405849-0.00147111j 0.0109807-0.0017689j -0.0019464-0.00605358j 0.00429613+0.00568958j -0.000500684-0.00574177j 0.00556312-0.012181j 0.0023433-0.00716669j -0.00211244-0.00142744j -0.0020167+0.00176954j -0.0027244-0.00564255j 0.00644553-0.00334253j 0.00307795+0.00140295j 5.67087e-05-0.00228636j -1.37954e-05+0.00107462j -0.00201771-0.00413851j 0.00640246-0.00788671j -0.00137212-0.00151503j -0.00652836+0.00164854j 0.0026609-0.00090184j -0.00657371-0.000495216j 0.00348054+0.0065796j 0.00227577+0.00214719j 0.0109775+0.00151735j -0.00527136+0.00482957j 0.0119883-0.00367763j -0.00116507+0.00889496j 0.00289356+0.00761757j 0.00118327+0.0015387j 0.00273168+0.00632201j -0.00273953-0.000206191j 0.00415606+0.0126193j 0.00219885-0.00758396j 0.00103809+0.000542036j 1.34088e-05-0.00776922j 0.00194536+0.00294324j 0.00657562+0.0120325j -0.00744762-0.00644427j -0.00045949-0.00565014j 0.00216632-0.00172448j 0.00698825-0.0146731j -0.00778159-0.00998161j -0.0143845+0.00383822j -0.00142577-0.00280251j -0.00861935+0.000678063j 0.00074459-0.00714263j 
-0.00302141+0.00538703j 0.0101284+0.000213728j -0.0121697-0.00605463j -0.00489028+0.0104902j 0.00686095+0.00222546j -0.0013395-0.00635891j -0.00598537+0.0005461j -0.00169493+0.00291433j 0.00216334+0.00632901j -0.00722385+0.0109234j 0.0114084-0.00613647j 0.0143428-0.00439795j -0.00135556+0.0133234j -0.0191833+0.0100734j -0.00680883+0.0156306j -0.00556061-0.00510383j 0.00616239+0.00216672j -0.0277767-0.00785923j 0.00577294+0.0116506j 0.00609375+0.00893366j 0.0161853-0.00567521j -0.00220615-0.0049446j -0.0139117-0.00746941j -0.0133354-0.00726819j 5.74975e-05+0.000739342j 0.000985353+0.00272438j -0.00242771+0.000867815j -0.0068008-0.0110743j -0.0013732-0.00480296j -0.00573218-0.00589852j 0.0213966+0.00255056j -0.00734111-0.00992552j -0.0116014+0.00581754j -0.00572219-0.00362066j -0.00508301-0.000239766j -0.00113807-0.0141027j 0.0077272-0.00448183j -0.00724934+0.0046566j -0.00683525+0.00644571j -0.00711069-0.00450986j 0.00709658+0.00291251j -0.00683759+0.00309359j -0.0170203-0.000270504j -0.0137706+0.0108208j 0.00048526+0.00622495j -0.00254062-0.00130772j -0.0041487+3.2544e-06j -0.00811292+0.0012747j 0.00449034+0.00281446j -0.00448199+0.00162568j -0.00377356-0.00354481j 0.00327458-0.00272836j 
0.00407292-0.000465088j -0.00122933+0.00128488j 0.00254215-0.000651655j 0.00718664+0.00839492j -0.00876517+0.00466887j 0.00884813-0.00417369j -0.00196919+0.00487942j 0.00609178+0.00737818j -0.00231087+0.00787416j -0.00523016+0.0145671j -0.00672949+0.00525252j 0.00740131+0.0117556j -0.00526508+0.0046109j -0.00695103-0.000492328j 0.00839632-0.00268667j -0.00635053+0.001322j -0.00611073-0.0107552j -0.0094175-0.00413491j 0.0062304+0.00826403j 0.00161785-0.00367984j 0.00461244-0.0107932j 0.00166312-0.00181148j -0.00773967-0.00332117j -0.00217822-0.00346034j 0.000698223+0.00193962j 0.0159957-0.011264j 0.00201922-0.000453456j -0.00509338-0.00722055j 0.00563374+0.00141334j 0.0129707+0.000820605j 0.00544002+0.00212331j 0.00338139-0.0123006j -0.00158039+0.00224647j -0.000976168+0.00190438j 0.00643149+0.0156002j -0.00579111-0.000413222j -0.00837156-0.000676438j -0.00240303+0.00101698j -8.56179e-05-0.00349139j 0.0230698-0.00811669j -0.00454413-0.0050815j 0.00333368+0.0110283j 0.00259044+0.00575778j -0.000383102+0.00670154j 0.0103888+0.00201542j 0.00884537-0.00711008j -0.00846226-0.00665981j -0.0011995+0.000262774j -0.00425297+0.00340866j 0.00234193-0.00254588j -0.00170919+0.00724064j -0.00448176-0.00188036j 
0.000788402+0.0043822j 0.00648478-0.000872666j -0.00218203-0.000429349j -0.00191336+0.00663523j -0.0139275+0.00506784j 0.010386+0.000761598j -0.000250399+0.014953j 0.00693165+0.00497956j 0.00767001+0.00191946j -0.00112444+0.00895546j 0.00785022+0.00493038j 0.00896594-0.00395027j 0.00290146-0.00103823j -0.00641099+0.00313328j 3.9293e-05+0.00361323j -0.00690982+0.000463084j -0.0055994-0.00685941j -0.0125646-0.00300314j 0.0118864+0.00706856j 0.00350816-0.000399441j 0.00236003-0.0101993j -0.00191819-0.00691709j -0.00547394-0.00970951j -0.00839596-0.00404533j -0.00626733+0.00545246j 0.00808824-0.0094537j -0.00425732+0.000554704j -0.00533939-4.1187e-05j 0.00536468-0.00419157j 0.0147288-0.00313629j 0.00733436+0.00325607j 0.00796493-0.012103j -0.00586974+0.0157569j 0.00198271+0.00984788j 0.00692086+0.00795901j -0.000720779+0.000563101j -0.00111735-0.000777776j 0.00142232+0.0158436j -0.000209371-0.00512008j 0.0106191-0.0097567j -0.00107585-0.0052376j 0.00551847+0.00837119j 0.00512478+0.0161736j -0.00787244+0.00281673j 0.0055445-0.00410535j 0.00446367-0.00687298j -0.00150125-0.0153541j -0.0115562-0.0035322j -0.00707851+0.00879751j -0.00265078-0.00124443j -0.00306484+0.00101894j 0.00199602-0.00156522j 
-0.0167435+0.00676216j -0.000440752+0.0122832j -0.00925268+0.0172439j -0.00171873+0.00921659j 0.00492842+0.000104396j -0.000476272+0.00420242j -0.00465989-0.00842647j 0.010305+0.00505328j 0.00479013-0.0126865j -0.00173471-0.0140142j 0.00385411-0.00735056j 0.000703594-0.0144182j 0.00441672+0.00062478j -0.00649311-0.00135135j -0.00887492+0.00890332j -0.00214945-0.0110694j 0.00353835+0.0129561j -0.0118108+0.0137312j -0.0120815+0.00341336j -0.00233995+0.0103543j -0.000901377-0.00966906j 0.012794+0.00544277j 0.0064549-0.00805031j 0.00409544+0.00184869j 0.00764357+0.00539735j -0.00841265+0.00758428j 0.00318913+0.0239788j 0.00399939-0.00668159j -0.000370382-0.0124814j 0.000889212+0.0127149j 0.00590132-0.00142484j -0.00643948-0.00202222j -0.0194529+0.0118857j -0.00237035+0.00763009j -0.0070234-0.00749871j 0.0105716+0.000845124j 0.0241391+0.00114147j 0.0257133+0.010502j -0.00804674+0.00651426j -0.012874+0.0141128j 0.00209062+0.007517j -0.00637331-0.0112756j 0.00140893+0.0175206j -0.00672076-0.00253663j -0.00239903+0.00708196j 0.0100945-0.00556933j 0.00340084+0.0145095j -0.00402207-0.0057405j 0.000803367+0.0128934j -0.000359594+0.000972573j 0.011051-0.00307251j -0.00111189+0.005702j 
-0.00225607-0.00666639j -0.0082532+0.0031031j -0.004508+0.00734043j 0.00707738+0.00507275j 0.00226314+0.00766679j 0.00690828-0.00267028j -6.98824e-05-0.00645517j 0.00663078+0.00528457j -0.00161824+0.00607783j -0.00423507-0.00358063j -0.00351552+0.00184474j 0.00119195+0.00428033j 0.00118246-0.000743866j -0.00232391-0.0037067j -0.00132416-0.00127611j 0.00574859-0.00308436j -0.000833691+0.00230836j -0.00498266+0.00143854j -0.00119845-0.000266011j -0.00490665-0.00213184j 0.000330407-0.00791842j 0.00742356-0.000258075j 0.00422998-0.000315333j -0.00212569+0.00256917j 0.000768683-0.00116756j -0.000183127+0.000611839j -0.00460867+0.00305077j -0.00163504-0.00570446j -0.000229611-0.0049118j 0.000169957+0.0043199j 0.00157989+4.42928e-05j -0.000249492-0.00181579j -0.00406583+0.00105236j -0.00173083-6.19781e-05j 0.00272821+0.00227638j 0.00118262+0.00191994j 0.00329657+0.00290191j 0.0027749+0.0039882j -0.00122911-0.000304609j -0.00046306-0.00383401j -0.00287369+0.00137888j -0.000501034-0.00345436j -0.000240429+0.00114613j -0.000169754+0.000574052j 0.00148562+0.00260218j 0.000887845+0.00148516j -0.00469087+0.00751168j 0.00552229+0.00148112j -0.00145064+0.00268415j 0.00107206-0.00441105j 0.00869836+0.00384801j -0.00500545+0.00559564j 
-0.00384161+0.000492676j 0.00196087+0.00582433j 0.000957019-0.00200099j 0.00557844-0.0016728j -0.0020039-0.00258886j -0.00558841+0.0016558j 0.000707599-0.00053944j -0.00149909+0.00214525j -0.00125452-0.00233996j -0.0057855-0.00102684j 0.00039292+0.00322299j 0.00421931-0.00143991j -0.000663746-0.0030343j -0.00195096+0.00417855j -0.00398485-0.00131239j 0.00816792-0.000724034j 0.0021229+0.00623289j 0.00704753+0.000571347j 0.000704504-0.00233457j -0.00339681-0.00380272j -0.00130653-0.00592647j 0.00819852-0.00324376j 0.00114841-0.000990082j -0.00253956-0.0040754j -0.000125221-0.000593769j -0.00466966+0.000444985j 0.00294037-0.00297108j -0.00175708+0.00485912j -0.0052261-0.00374213j 0.00188522-0.00143793j 0.00128714-0.00392397j 0.00165364-0.000516075j -0.00187591+0.00202232j 0.00225247+0.00376436j 0.00118136+0.00033363j -0.00119683-0.000903369j 0.00466951+0.00057224j -0.00453992-0.00613872j -0.00196416+0.00103442j -0.000876073+0.00129728j -0.00661722+0.0046766j 0.00134528+0.00234013j 0.00132872+0.00284261j 0.00265819+0.00519616j -0.000427074-0.00235659j -0.00495429+0.00754023j -0.00296405+0.00444785j -0.00134779-0.00223058j -0.0070152+0.0105061j -0.0114088-0.0091675j -0.00392277-0.00351166j 0.00124607-0.00479338j 
0.00308366+0.00810377j 0.00914369-0.00570342j 0.00097251-0.00993921j -0.00847473-0.000854693j 0.00226034-0.00573768j -0.00758671-0.00301457j 0.00567112+0.00430839j -0.00462275-0.00605956j 0.00497758-0.00428103j 0.00135221+0.00432609j 0.00623804+0.000645491j 0.00387027-0.000959879j 0.000495181-0.00310502j -0.000889842+0.00483582j -0.000255989-0.00201554j -0.00395499+0.00381423j -0.00101676-0.00319013j -0.00189266-0.000504559j 0.00346904-0.00131244j 0.00617549+0.00118841j 0.00594941+0.00418605j -0.0115423+0.00371052j -0.00299603-0.00164783j 0.00485798-0.000176433j -0.00152846+0.00245835j -0.00206199-0.00175156j 0.00167628-0.00228321j 0.00276262+0.00479478j 0.00604967+0.00560661j -0.00193023-0.00563633j -0.000476874+0.000858587j 0.00136767+0.00155255j 0.00252873-0.00103498j -0.000913823-0.000498464j -0.00220957-0.00151461j -0.00544007+0.000584703j -0.00359377+2.83395e-05j -0.00644373+0.00286683j 0.00153468+0.00182558j -0.00458629+0.00385379j 0.00305876-0.000735743j 0.000645754+0.00160698j -0.00407076-0.00111685j -0.00121703-0.000852933j -0.000113809+0.000181129j 0.000853516-0.00165288j 0.00230618-0.00606337j -0.00185546-0.000527648j 0.00181181-0.00895018j 0.00579479+0.00796987j -0.00857314+0.000527556j 0.00153923-0.00675717j 
-0.00330184+0.00517972j 0.00526357+0.00208006j 0.00178088-0.00670618j -0.00349039+0.00108342j -0.00483656-0.00720595j -0.00703772+0.000316208j 0.00504186+0.00467284j -0.00608904-0.000379484j 0.000759401-0.00354943j 0.0026309+0.00254003j 0.00909569-0.0028802j 0.00520652-0.00151853j -0.000293033-0.00359516j 0.00280111+0.00616319j -0.002332-0.00136482j -0.00183653+0.00571047j 0.000268877+0.00195657j -0.00118123-0.00350587j 0.00466376-0.00501794j 0.00754694+0.000204387j 0.00582936+0.00472203j -0.00802851+0.00436205j -0.00384375-0.00138545j 0.0023715-0.0047226j 0.00216685+0.00655606j -0.00473863+0.00323278j -0.00101122-0.0022161j 0.0017579+0.00469611j 0.00583216-0.000249791j -0.0008703-0.00433837j 0.00407666+0.00267575j 0.00405615+0.00134838j -0.00160299+0.00384655j 0.00242727+0.00509829j -0.00561545-0.00225063j -0.000428723-0.00148206j 0.00160991+0.000594243j -0.00428962+0.000521034j -0.000420903+0.00176154j 0.00139192+0.00308766j 0.00125766+0.000247552j 0.00256836-0.00197528j 0.00301682+0.00207035j -0.00365198-0.00274136j -0.0018766+0.000368687j -0.00038431-0.00504003j 0.00352196-0.00771824j -0.00744941+0.00607445j 0.00390725+0.00223264j 0.00172651+0.00549172j 0.00080655-0.00585428j 0.0081368+0.000438762j 
-1.52481e-06+0.00180587j 0.00220323+0.00136502j 0.000409761-0.00302368j 0.00207914-0.00189562j -0.00242939-0.00179394j -0.00372968+0.00214216j 0.000723142-0.00168502j -0.00177978-6.41226e-05j 0.000756289-0.000969179j -0.00319483+0.00133851j 0.00027491-0.00085023j 0.00288499-0.00248292j -0.00201338-0.0020562j 0.00171169+0.00103858j -0.000847551+0.00171683j 0.00298128-0.00228398j 0.00180597+0.00257433j 0.00351472-0.000288016j -0.000648841-0.00403675j -0.00283647-0.00364499j -0.000100213-0.00372564j 0.00447316-0.00206597j -0.0010621+4.22847e-05j -0.00116942-0.00141264j 0.001444+0.000734798j -0.00119663-0.000855416j -0.00156366+0.000249886j 5.466e-05+0.00151209j -0.00507757-0.0015803j 0.000244352+0.00146042j 0.00109341-0.00250939j 0.00155121-0.00292453j 0.000762852+7.33962e-05j 0.0016351+0.00247618j 0.000535386+0.000429891j -0.000234631+0.000858312j 0.00134472-0.00118534j -0.00163087-0.00114839j -0.00210934-0.00142735j 0.000412893+0.00166018j -0.00365136+0.00222354j 0.000287681+0.00226527j 0.00140696+0.00071392j 0.00348081+0.00390245j -0.000585713+0.000587665j 0.000925699+0.0063209j -0.00379436+0.00154758j 0.000816509-0.00136755j -0.00488116+0.00445055j -0.00565835-0.00492831j -0.00884916-0.00143205j 0.00100708-0.00914595j 
0.00265581+0.00165874j 0.00403864+0.000752425j -6.30246e-05-0.00626661j -0.00135766-0.00161141j 0.00432949+0.00459849j 2.29815e-07-0.00168615j 0.000949837-0.00604161j 0.00193521+0.000621857j 0.000649263+0.00492746j -0.00717675+0.000642509j -0.00100014+0.00250299j 0.00852971-0.0017523j 0.0016094-0.00277239j -0.00316058+0.00127706j -0.000960467+0.00253379j 0.00589783-0.00148265j 0.00226322-0.00346148j 0.00252616+0.00297394j -0.00279764-0.000984527j -0.00252086-0.00207693j 0.000437694-0.00259812j 0.00287498-0.00167236j 0.000749496-0.00286374j -0.00181696-0.00101382j 0.00137855-0.00146662j 0.00471158+0.000334532j 0.000538641-0.00131412j -0.00153848+0.000810106j -0.00383415+0.00103919j -0.00403442-0.00231375j -0.000122752-0.00532787j -0.00335405+0.00207353j 0.00363763-0.0041745j 0.00174505-0.0030881j 0.00189497-0.0045124j 0.000735016-0.00213027j 0.00110751-0.000283021j 0.00325109-0.00371349j -0.00131799-0.000678918j -0.00223525+0.00180501j 0.00273218+0.00125928j -0.00204555+0.00213511j -0.00450155+0.00126199j 0.00500168+0.00630977j 0.00374188-0.00694507j -0.00237106+0.00308873j -0.00502272+0.00247744j 0.00161835-0.00379901j -0.00761163+0.00302238j -0.00398166-0.0079297j -0.0113685+0.00282162j -0.00255223-0.0123584j 
-0.000341315-0.00137721j 0.000503101+0.00590999j -0.00248746-0.00255825j 0.00817926-0.00125547j 0.00095779+0.0031162j 0.000558904-0.00216694j -0.00307288-0.0063706j 0.00457757-0.00346099j 0.00725094+0.0110684j -0.00910047+0.000757554j -0.003214+0.00120708j 0.00360804-0.00551392j 0.00079628-0.00327978j 0.0080792-0.005982j -0.00103611+0.00217481j 0.0079271+0.000593362j 0.00780932+0.00361912j -0.000567609-0.00759589j -0.00246734-0.0062773j -0.00491601-0.00812436j 0.00408269-0.00225778j 0.0194087-0.00985909j -0.00578407+0.00507513j -0.00710746-0.000142962j 0.00307672+0.0012038j -0.00229487-0.00356087j -0.00505384-0.00369993j -0.00933356+0.00294536j -0.0153692-0.0085992j 0.00188283+0.00923034j 0.0028245-0.000866472j 0.00185252-0.00596339j 0.0012352+0.00180074j -0.00048133-0.00140588j -0.00642981+0.00177062j 0.00540393-0.000178716j -0.00223221-0.00960388j 0.00290287-0.00490301j -0.006447+0.00184812j -8.7593e-06-0.000632437j -0.00594873-0.00553325j 0.00121072+0.00343048j -8.33149e-05-0.00365069j 0.00138564+0.00459507j 0.00127411-0.000890941j -0.00630161+0.0112848j -0.0045635+0.00850026j 0.00128519-0.00259646j -0.0128287+0.0154975j -0.0159105-0.0136038j -0.0118069-0.00118068j -0.00270803-0.0118383j 
-0.00149369-0.00185943j 0.00195454+0.00443102j -0.00645517-0.00428072j -0.00290384+0.00160793j 0.00316559+0.00870651j 0.00484936+0.00358863j 0.00123814-0.0112729j -0.00457513+0.013964j -0.00577244+0.00950113j -0.0212044-0.00208783j -0.00905538+0.00295101j 0.0161909+0.00403934j 0.00893201-0.00307857j -0.00836132+0.00212262j 0.00299989+0.00308689j 0.00248744+0.00135994j 0.00170571-0.0128483j -0.00089226+0.00258007j 0.0063964+0.00328908j -0.0087208+0.00441041j -0.0120964+0.000305796j 0.00301011-0.00552907j 0.0110023-0.000392409j -0.00204682+0.00754445j -0.00692923+0.00364238j 0.0116743+0.00608389j 0.0060147-0.00656656j 0.00931887-0.00961475j 0.00307231+0.00969405j -0.0138488-0.0131392j 0.00332545-0.010293j -0.00368003+0.00295403j -0.000278719-0.00385639j 0.000796529+0.00471445j 0.00724945-0.00634409j -0.00679766+0.000825803j 0.00291105+0.00800727j 0.00396884-0.0056669j 0.00986947+0.00763778j -0.00868333+0.000811958j 0.00625493+0.00414605j -0.00724211-0.00455186j -0.000726792+0.00970641j 0.00561632+0.00615337j 0.00440726-0.0187105j -0.00562525-0.000480819j -0.00309905+0.00103691j 0.00484069-0.00229673j 0.000602992-0.00290099j 0.00264672-0.00611336j -0.00283947+0.00442315j -0.00379801-0.00293318j 
-0.00156804+0.000688264j 0.000887322-0.000795327j -0.00226187+0.00164175j 0.00141097+0.00245529j -0.000501995-0.000640122j -0.0010687-0.00173336j 0.00341588+0.00090588j -0.00226459+0.00439081j -0.0013781-0.00427265j 0.00248451+0.00232411j 0.00291189-0.000111667j -0.000388211+0.00211627j 0.00272417+0.00512479j -0.00144922+0.000603992j -0.000102655+0.00131255j -0.00469613-0.000958982j -0.00151857+0.00529892j -0.00405197-0.00304467j 0.00174116-0.00425462j 0.000529477+0.00557779j -0.00161574+0.00412116j -0.00499222+0.00140827j 0.00198156-0.00359685j 0.0011723-0.000817463j 0.00117883+0.00270111j 0.00189076+0.00157608j 0.00148489+0.00311412j -0.000808665+0.00136791j 0.00228399-0.000491506j 0.00108087-0.00050095j 0.00019773+0.00173826j -0.000373658+0.0016649j -0.00234222-0.000797576j -0.00124478-0.000600084j -0.00406585+0.00604878j -0.00334543+0.0012508j 0.00319867+0.00174496j 0.00242612+0.00170763j 0.00249499+0.00546891j 0.00343824-0.000882j -0.00175555-0.00356704j -0.0012187-0.00250241j -0.000494772-0.000218957j -0.000183619-0.00229165j -0.0014589-0.0026869j -0.000859536-0.00398416j 0.00183441-0.00238727j -0.00276816+0.0020164j 0.00539877-0.00148123j 0.00218058+0.0050688j 0.00508114-0.000903303j 0.00173475+0.00504833j 
0.0060238-0.00333486j -0.00963279-0.00355533j 0.0195806+0.00879877j -0.0125885+0.000850508j 0.000748135-0.00366923j 0.0223572+0.00705473j -0.00860438+0.0075412j -0.00203228-0.00632028j -0.00822936-0.0110515j 0.00610025+0.00213989j -0.00293156+0.00622023j 0.0112284-0.0136484j -0.00383909-0.010503j -0.00558887-0.00341742j -0.0105743+0.0120383j -0.0109974-0.00288378j -0.00651982-0.0127365j 0.010815+0.00980053j 0.00122379+0.00982749j -0.00997218-0.0200077j -0.000946686-0.0149433j -0.00274735+0.00214337j -0.00203677-0.00351861j -0.00427186-0.00991611j 0.00178546-0.00577713j -0.0041384+0.00535898j -0.00773796-0.00303479j 0.000850311-0.0106824j -0.000291458-0.00484949j -0.00691996+0.000417229j -0.00417511-0.00943308j -0.00378624+0.00572992j 0.00392875-0.00572211j -0.00036468+0.00619224j 0.0164069-0.0169551j 0.0218042-0.0221883j -0.0135087+0.0107438j -0.00999393+0.00573898j -0.011705-0.0350144j -0.00127463+0.00938182j 0.0114095+0.021124j -0.00365918+0.000192661j -0.00622788+0.00736503j -0.00139752+0.00702765j -0.00316309+0.0101192j 0.00131942-0.000750642j -0.00433414+0.00353324j 0.000985816+0.00358204j 0.00131144-0.00250176j -0.000745837+0.00132989j 0.00394589-0.000507426j 0.000673636+0.00271299j 
0.00100754+0.00305017j 0.00355924-0.00270203j -0.00623189+0.00245744j 0.00466715-0.000374907j 0.00280076+0.00285734j -0.00398744-0.00147083j 0.00347642-0.00269568j 0.00164849-0.00165365j 0.00364349+0.000548914j -0.0024942-0.00125188j 0.000101099-0.000797958j -0.0027834+0.00515943j 0.00278261+0.00191317j 0.00238462-0.000399716j -0.000819031-0.00404337j 0.00133407-0.00116828j 0.00372876+0.00399788j -0.00478778-0.00322889j -1.27925e-05-0.00464647j 0.00539883+0.00298743j 0.00459485+0.00273315j 0.00159955-0.0013584j -0.000348328-0.00141654j 0.00247791+0.00266416j 0.00105879+0.000718285j 0.000742076-0.00273811j 0.00293259-0.0011728j -0.00074411+0.0025146j -0.000729508-0.00040307j 0.00268282+0.000574353j 0.000580493+0.00310394j 0.00044241-0.00195796j 0.000616786+0.00375494j -0.00180187-0.00397674j -0.00159534+0.00854017j -0.00249201+0.00910808j 0.00277958-0.00618335j 0.00235527-0.00111629j 0.00813029+0.00761648j -0.00208965-0.00300492j -0.00738857-0.004491j 0.000902404+0.00149592j -0.00110107-0.0053466j -0.00208375-0.00214026j 0.000952237-0.00186797j 5.80673e-05+0.00124717j 0.00107664+0.000287461j 0.000982039-0.000200272j 0.00085113-0.00211203j 0.00199849-0.000836095j -0.000976189+0.000619913j -0.000901364-0.000414883j 
