-0.0248134-0.0122751j -0.0552107+0.0512933j -0.0420579-0.044799j 0.0444659+0.107258j -0.0949361+0.000485847j -0.0852177+0.101268j -0.00406465+0.0834215j -0.0229707+0.0339656j -0.0922682+0.0463805j 0.0793647-0.221602j -0.15756-0.216237j 0.0554116-0.222407j 0.355642+0.0888209j 0.2802+0.0824317j 0.153487+0.304203j 0.0235212-0.137755j 0.0396263-0.143889j -0.0783327+0.174058j 0.118807+0.176015j -0.0480332-0.0341626j 0.209099-0.0929662j 0.0791554-0.0653183j 0.0152552+0.0237659j -0.00886742-0.0209336j -0.0504199-0.0542714j -0.0261528-0.0466905j -0.0662917-0.0414205j -0.00432743-0.0260545j 0.0641393+0.0477944j -0.0662239-0.0463485j -0.0207272+0.0082049j 0.00329563+0.000787123j 0.0333177+0.00242068j -0.0224244-0.0575722j -0.0388338+0.0497074j -0.0262429+0.0876918j 0.0184363+0.201699j 0.0828676-0.0568081j -0.0867496-0.103994j 0.262162-0.109102j 
0.000758303-0.030879j -0.0417362-0.00443552j -0.0551176-0.0143062j -0.00832948+0.0471412j -0.0393938+0.0100982j -0.00295732+0.0210504j -0.00430787+0.0486046j 0.0279841+0.0475295j -0.0630562+0.0205092j -0.00532871-0.0159782j -0.00128713+0.0197278j -0.0424584+0.00710068j -0.00551984+0.00354189j -0.000712497-0.00176746j 0.0263842+0.00939178j 0.0382473+0.0509667j 0.00942276+0.036228j -0.0494147-0.0169981j 0.0103283+0.0225574j -0.0309004+0.0133053j 0.0735518+0.00522985j 0.0259824-0.0458688j 0.0181675+0.000896548j -0.0356497+0.0232795j 0.0196635-0.0205941j -0.0201789-0.00792285j -0.020683+0.0238415j -0.0257901-0.0149977j 0.0265544+0.0643965j -0.000678634-0.0135515j 0.00261648-0.0964267j -0.0378872+0.0584154j 0.0030907+0.0099732j 0.0785447+0.0528465j -0.00765119-0.0982641j -0.00329792-0.119324j 0.0747019-0.0147798j -0.0179101-0.042715j -0.0354045-0.0618662j 0.000618838+0.00930819j 
0.00517695-0.0147433j 0.0443303-0.000625498j 0.0598622+0.0517186j -0.00523474-0.0194885j -0.0393851-0.0238798j 0.00560009-0.0276739j 0.0556486-0.0700314j -0.0417236-0.0494606j 0.0194269-0.0291925j 0.0453402+0.0124098j -0.00895653+0.00225046j -0.00161918-0.0144333j 0.0442461+0.00707742j -0.0593427-0.0149629j -0.0117777-0.0105448j 0.0217816-0.0787446j 0.00683446-0.0883007j 0.00528503+0.0178252j 0.0272106-0.0180103j 0.0343852+0.0492544j -0.032118-0.01985j 0.00466641+0.0194593j 0.0350383+0.0390481j 0.0922079-0.0461037j -0.0311375-0.00067543j -0.00833299-0.0191081j -0.00208216+0.0232645j 0.108419+0.0668897j -0.0445395-0.00281702j 0.0198352+0.00356007j 0.0360693+0.063861j 0.0199907-0.00879897j 0.0121561-0.00455578j -0.0220888+0.00222883j -0.00460592-0.0671185j 0.02402+0.0807961j 0.0412937+0.0170556j -0.0104949+0.108267j 0.037621+0.076186j 0.0221728+0.0239411j 
-0.00440775-0.0119162j -0.0018475+0.0213289j -0.0381449-0.00904489j -0.0169137+0.0311214j -0.0216507-0.0138275j 0.0115172+0.0208028j -0.0240901+0.0202188j -0.023224+0.038419j -0.0210937+0.0219556j 0.0244757-0.0212435j -0.0246006-0.0033004j -0.0164256-0.00404465j -0.0362476+0.00281005j -0.0119333+0.0263965j 0.00311093+0.0320183j -0.0450294+0.0253004j -0.0453106+0.011004j 0.0147812+0.0042492j -0.0431886-0.00742228j 0.0305903-0.00804824j 0.00297217-0.00479019j -0.0186847-0.0166136j -0.027945-0.0120992j -0.0189364+0.0407183j 0.00738545-0.0069484j -0.0116825+0.00455726j -0.000638099+0.00996259j -0.0512787+0.0858416j 0.0176494-0.0546875j -0.018299-0.00384447j -0.0136758+0.0660435j 0.00816143+0.0096042j 0.0667897+0.0392309j -0.0426375-0.0253435j -0.00449106+0.0364218j -0.00956777-0.0194585j -0.0286359-0.0188181j 0.0529068-0.0503446j 0.0356101-0.0406826j -0.0187252-0.0205506j 
-0.0173168+0.0213174j -0.0237468-0.0237452j -0.0438986-0.0276214j -0.0247238+0.0389394j 0.0123482+0.00906601j 0.0321016+0.0191915j -0.0250912-0.00931498j 0.0520919+0.0322406j 0.00372026+0.0116175j -0.0196115-0.0141705j -0.035607+0.00917346j 0.0179006-0.0132502j -0.0212766+0.00965876j -0.0304582-0.0150848j -0.00900707+0.0313609j 0.0191918+0.0131526j -0.00906727+0.0321184j -0.0106009+0.0592538j -0.0230622-0.0692336j -0.0134084+0.0306376j 0.0342149-0.00666955j 0.0477211-0.0067601j 0.00455375-0.0074943j -0.0490317+0.000668575j 0.0566732+0.0596231j -0.00739199+0.015188j -0.00227717-0.0228644j 0.0196086+0.063488j 0.0168066+0.0180574j -0.0329723-0.0216282j -0.0159725-0.0635002j 0.01366+0.0646392j -0.0689864-0.0246116j -0.0360288+0.0176931j -0.041625-0.0367223j 0.00132953-0.0630471j -0.0229001-0.00812165j -0.0105762-0.019369j -0.0129289-0.00828978j -0.0433311+0.0133461j 
-0.00335217-0.0214295j -0.0272135+0.00807864j -0.00236842-0.0122131j -0.0326671+0.00217496j 0.0152994+0.0140253j -0.0168616+0.0312188j -0.0140513+0.00125657j -0.0139308-0.0041516j -0.0314641+0.00474122j 0.0301631-0.0179877j 0.00623969+0.0103905j 0.0296179+0.0290283j -0.00840242+0.00824649j -0.00271859-0.0230485j -0.00565887-0.0252368j -0.0109968+0.0116416j -0.0421274-0.00737746j -0.0136635+0.0218611j 0.00546497-0.0108088j -0.0160721+0.0129471j -0.0164198-0.0117786j -0.0194271+0.0167194j -0.0203128+0.0115892j 0.0839685+0.0216509j 0.0471252-0.0757348j 0.0221171+0.00808707j -0.00150676+0.00895322j -0.00688516+0.0570834j 0.0201592-0.0100953j -0.0153648+0.0327137j -0.0327574+0.0448065j -0.013714+0.00467281j 0.0409961-0.0238314j -0.0704177+0.00481546j -0.0235597+0.0202806j 0.0619781-0.00772323j -0.00617699-0.0164753j 0.0449061-0.0172745j 0.0518472-0.000144878j -0.014179+0.00277944j 
0.0212749+0.0114124j -0.0206109+0.0301103j 0.00666034+0.0293811j -0.0305487-0.0275787j -0.0259833+0.00543139j -0.0223846+0.00929637j 0.00715572+0.00516217j 0.00238369-0.0102347j -0.0215961-0.0246671j -0.0368376-0.014146j -0.00279405+0.0456127j -0.00714031-0.0178414j 0.0292807+0.00370842j 0.0161728+0.033974j 0.00198023+0.0141773j 0.00388876-0.0147056j 0.012981-0.0186407j 0.0249526+0.00808699j -0.0159916+0.0303997j 0.0261341-0.0399385j -0.0148988-0.00776663j 0.0265048-0.0209322j 0.0673892+0.00870244j 0.0576325-0.00481726j -0.0467384-0.0419162j 0.00137335+0.00500768j -0.0118492-0.00264355j 0.0152446+0.111826j 0.023336+0.0168473j 0.0649999-0.0336326j 0.0221371-0.0195608j -0.0140672-0.0297248j 0.0257967+0.0478844j 0.0510253-0.000736663j -0.0297906-0.0107663j 0.00223282+0.0247513j 0.0559662+0.0320792j 0.0190747+0.0227593j 0.00942543-0.00738724j 0.0628309-0.0272142j 
0.00482293+0.0310733j -0.00981295+0.0150659j -0.00483325+0.00196468j -0.0039141-0.0252103j -0.00495982-0.0178732j 0.0137425-0.0170289j 0.0231922-0.0203689j 0.0119119-0.0294944j -0.043144+0.0122449j 0.00444963+0.0360596j -0.0417471+0.00674902j -0.00309194+0.0136075j 0.00141858-0.0243732j 0.0056503+0.0372898j 0.00134919-0.0241575j 0.00948911+0.0381988j 0.00956353-0.00704263j -0.0644497+0.000664061j 0.00330477+0.0425031j -0.0438491+0.016546j -0.0434509+0.0133917j -0.055991-0.0138942j 0.00909634+0.0499999j 0.0722502-0.0360596j 0.0021189-0.0575781j -0.0175358+0.0184902j 0.00259818-0.0216614j -0.00326958-0.0290679j 0.0247146+0.0245986j 0.0283421+0.021551j -0.0205396-0.0138767j -0.0477088-0.00839492j 0.0192583-0.0547291j 0.0164331+0.0318326j -0.0378433-0.0146885j 0.0412452-0.00403078j 0.0518895+0.00966396j 0.0183098+0.0219873j 0.0110959+0.00809844j 0.0275776-0.00306139j 
0.0265856+0.00127181j -0.0109814-0.00121252j -0.0143797-0.0254608j 0.0245889+0.0187482j 0.0280782+0.0273813j 0.012451+0.0350737j 0.062432+0.0188224j 0.0425949+0.0346359j 0.00939791+0.00822212j 0.0243572-0.000314704j -0.0472489+0.00944398j -0.00153452+0.0343693j 0.0118691+0.0198565j 0.0066157-0.026352j 0.0128645+0.0214644j 0.050885-0.0363418j 0.0377972-0.0101589j -0.00552698-0.000585364j -0.00297631-0.0173132j -0.0456611-0.0988845j -0.00445049+0.00130702j 0.0915886+0.0423111j -0.0319697-0.0455112j -0.0402711-0.0679875j 0.02975+0.063342j 0.0142865+0.0241172j -0.0332442-0.0164324j -0.0209567-0.0360107j -0.0267109-0.00218567j 0.00724942-0.00275105j -0.0504476-0.0198338j 0.0318704-0.00620122j -0.0195353+0.0146574j 0.000997806+0.045487j -0.0329127-0.00716855j -0.0349416+0.0159242j 0.0314967+0.0237902j -0.0197889-0.00695096j -0.0106381-0.0171547j 0.0586296-0.0146922j 
0.00177888-0.0172656j 0.0209606+0.0159537j -0.0345345+0.0241391j 0.0267241-0.0317223j -0.00075205-0.0450278j 0.00270673+0.0184568j 0.0352469+0.0268357j 0.0229884-0.0379163j -0.0347625-0.0400821j -0.0252968-0.056421j 0.0121+0.0212515j -0.0126384-0.0360812j 0.00964259-0.0141072j 0.0251205+0.0249732j 0.00731977+0.00848855j 0.0277457+0.039248j 0.0328792-0.0172812j -0.0684755+0.0207009j -0.000765192+0.0656993j 0.0305714+0.033928j -0.0308679+0.0177059j -0.050634+0.0165343j 0.0424563+0.0420336j -0.0576829-0.0600555j 0.00490779+0.0637482j -0.0388114-0.000175829j 0.0318386-0.0104856j -0.00240604-0.0382738j 0.0154769-0.0121813j 0.0265663-0.023773j -0.0250929-0.0286476j -0.00838865-0.0276502j -0.0172978-0.0151646j 0.0334818+0.0361292j -0.0338609-0.00949949j -0.000103792+0.0273008j 0.0377731+0.0210632j -0.0200514+0.0112895j -0.00721315-0.008635j 0.0418853-0.0126836j 
0.0174905+0.00710862j 0.0689904-0.0210716j 0.120251+0.032585j -0.059486-0.032793j 0.053618-0.0269858j 0.00652973-0.00317639j -0.0371551-0.0383656j -0.100976-0.0291719j 0.112025+0.000830304j 0.00544615+0.00642077j -0.00561963-0.00232811j 0.0189278+0.00430022j 0.0180496-0.0195849j -0.0192451+0.0321069j 0.00169052-0.0338659j -0.0428263+0.0193859j -0.0689007+0.00292363j 0.03355+0.0343507j -0.000666919+0.0162899j 0.000648475+0.0147272j 0.096997-0.0193159j -0.0496462-0.00454919j -0.0141507+0.0315363j 0.0853023-0.0378692j -0.051584-0.0378265j -0.0181735+0.0104982j 0.0133436-0.040349j -0.00414553+0.0184212j -0.0863906+0.0335107j -0.0860932+0.0170584j 0.0249544+0.0182712j 0.0376933+0.000112787j -0.00605789+0.0494711j 0.0085037-0.0162657j 0.0198878+0.00778987j -0.0293816+0.0161419j -0.0592396+0.0110844j -0.00773498+0.0405764j -0.0627859+0.0383027j -0.0208707+0.00170967j 
0.00918791+0.00410169j -0.0902547-0.0169885j -0.117772+0.00823493j -0.089564-0.0169607j 0.0183201-0.00555774j 0.0323802-0.00463554j -0.077701-0.0577627j 0.132477+0.0174888j 0.035991+0.00392896j -0.0218198+0.0160807j -0.0131998-0.0360139j -0.00877041+0.0302042j -0.0156879+0.0206744j -0.0159426-0.0276408j 0.0339925+0.00333568j -0.133189-0.0161104j 0.131125-0.00327346j -0.019423+0.0148248j -0.0151751-0.0493984j -0.0311034-0.0285617j 0.0365787+0.0132144j -0.00938964+0.0613843j 0.0537636-0.03533j -0.0184293+0.0275544j 0.00254129+0.000874738j -0.0333335+0.0153169j 0.021684-0.0261157j 0.00655027+0.00256689j 0.0325718-0.0174132j 0.00864413+0.00460122j 0.0096783-0.00328106j -0.038797+0.0148376j 0.00128147-0.0391082j -0.0109526-0.00794273j -0.00300025+0.00713774j 0.0295987-0.0295137j -0.00781194-0.0109842j 0.0204106-0.0103287j 0.0104754+0.00488j -0.0252371+0.0133181j 
