-0.718445-0j 0.700737-0j -0.0844039-0j -0.00180959-0j 0.118685-0j -0.0515245-0j -0.00743692-0j -0.00104149-0j -0.0368109-0j -0.000150326-0j -0.00531319-0j 0.0507753-0j 0.00732879-0j 0.0635831-0j 0.00917742-0j -0.0375102-0j -0.00663092-0j -0.000552577-0j -0.000734135-0j -0.0345968-0j -0.000129778-0j 0.033744-0j -1.08148e-05-0j -0.0061159-0j -0.000524491-0j -0.000509659-0j 0.00596516-0j 0.0486485-0j -9.27178e-05-0j 0.000497097-0j 0.0312251-0j -7.72648e-06-0j 0.00859992-0j 0.00551987-0j 0.00071666-0j 0.000459989-0j -0.0295614-0j -0.00492689-0j -0.00301709-0j -0.000566875-0j -0.000615862-0j -3.629e-05-0j -0.0258662-0j -9.44791e-05-0j -0.0172441-0j 0.0252287-0j -5.78564e-05-0j -1.18099e-05-0j -0.00431103-0j -0.000522846-0j -6.95904e-07-0j -0.00287402-0j -0.00263996-0j -0.0106693-0j 0.00420478-0j 0.0342918-0j -0.00175997-0j 0.00257489-0j -0.000538879-0j 0.0180242-0j -8.7141e-05-0j -0.000359253-0j -3.17538e-05-0j 0.000525597-0j 0.0319198-0j -0.00177821-0j -5.33627e-05-0j 0.0057153-0j -2.11692e-05-0j 3.09711e-05-0j 0.0139113-0j -0.00108893-0j 0.00300404-0j -1.08926e-05-0j 0.00349989-0j -0.000222276-0j 0.00183959-0j 0.00531997-0j 0.000714412-0j -6.41854e-07-0j 0.000375505-0j -1.30978e-05-0j 0.0032578-0j 0.00231854-0j 4.20971e-05-0j 0.000664996-0j 2.21268e-05-0j 0.00141981-0j 3.91852e-05-0j 0.000289818-0j 1.70777e-05-0j 
-0.0345968-0j 0.033744-0j 0.00799322-0j -8.7141e-05-0j 0.0057153-0j -0.00248117-0j -0.000358126-0j 9.86312e-05-0j -0.00177263-0j 1.42362e-05-0j -0.000255857-0j 0.00244509-0j 0.000352919-0j 0.00306185-0j 0.00044194-0j 0.260765-0j -0.000319313-0j -2.66094e-05-0j 0.00510359-0j -0.472991-0j -6.24947e-06-0j 0.461333-0j -5.20789e-07-0j 0.000579189-0j 0.00364618-0j 4.82657e-05-0j -0.000564913-0j -0.338197-0j -4.46484e-06-0j -4.70761e-05-0j -0.217072-0j -3.7207e-07-0j 0.00041413-0j 0.00026581-0j 3.45109e-05-0j 2.21508e-05-0j -0.00142353-0j 0.034251-0j -0.000145289-0j -2.72979e-05-0j -2.96569e-05-0j -1.74755e-06-0j -0.00124559-0j 0.000656804-0j 0.0040965-0j 0.00121489-0j -2.78608e-06-0j -5.68707e-07-0j 0.0299696-0j 4.95146e-05-0j -3.35114e-08-0j -0.0985643-0j -0.000127127-0j -0.00051378-0j -0.0292309-0j -0.0032475-0j 0.000418097-0j 0.000123994-0j -2.59498e-05-0j 0.000867958-0j -0.00119135-0j 8.53438e-05-0j -1.52911e-06-0j 2.53102e-05-0j 0.0015371-0j 0.0123618-0j 5.05356e-06-0j 0.0781368-0j 5.02893e-06-0j 1.49142e-06-0j 0.000669898-0j -5.24374e-05-0j -0.0208836-0j 1.03155e-06-0j -0.000331447-0j -1.07037e-05-0j 8.85856e-05-0j -0.0369836-0j -6.76563e-05-0j 6.07849e-08-0j 1.80825e-05-0j -6.30724e-07-0j 0.00015688-0j -0.0161182-0j -3.98669e-06-0j 3.20229e-05-0j 1.06552e-06-0j 6.83712e-05-0j 1.88697e-06-0j 1.39562e-05-0j 8.22378e-07-0j 
0.00043685-0j 0.000441377-0j -0.00736227-0j -0.00911035-0j -0.00531437-0j -9.29833e-05-0j -0.182837-0j 3.65511e-05-0j 2.23829e-05-0j 0.071872-0j 0.0440124-0j 3.19822e-05-0j 0.062888-0j 1.3192e-05-0j 0.02594-0j 2.28081e-05-0j -0.000578393-0j -0.211184-0j -7.64667e-05-0j 2.10366e-05-0j 0.00193913-0j 2.12546e-05-0j 0.70802-0j -0.00053347-0j 1.8407e-05-0j -0.194782-0j -0.000538998-0j 1.5185e-05-0j -0.000466786-0j -0.1968-0j 4.85168e-06-0j -0.170434-0j -0.000385079-0j -0.000123035-0j -0.140601-0j -0.0449226-0j 1.79748e-05-0j -0.000429757-0j 1.83454e-06-0j 1.98945e-05-0j 0.00510156-0j -0.0572937-0j -4.66792e-05-0j -0.000475653-0j 1.04853e-05-0j -4.7163e-05-0j 2.03047e-06-0j 0.00564639-0j 0.00111605-0j 1.83493e-05-0j -0.0634125-0j -0.000250691-0j -4.76418e-06-0j 6.48745e-06-0j 0.00112761-0j 1.07037e-05-0j 1.07015e-06-0j -4.81355e-06-0j -0.0132484-0j 1.1353e-05-0j -0.00043871-0j 0.00297591-0j 0.148788-0j -0.0133857-0j 6.6226e-06-0j -0.000155107-0j 1.87276e-06-0j -0.000255914-0j -0.0334213-0j 0.150329-0j 1.72767e-06-0j 6.62122e-07-0j -0.000271438-0j 0.00520784-0j 1.09245e-06-0j 0.00184125-0j 1.15871e-06-0j -0.000158339-0j 0.00303791-0j -0.0584873-0j 0.00322219-0j -0.0206784-0j 6.75916e-07-0j -4.13066e-05-0j -0.0341176-0j 0.00187961-0j -0.0361872-0j 1.76329e-07-0j -0.0211092-0j 0.000490342-0j -0.00550685-0j 
0.0623521-0j -0.0214057-0j -0.00248898-0j 0.00906449-0j -0.00179664-0j -0.0015194-0j -0.000219306-0j -0.00177263-0j -0.000963663-0j -0.000255857-0j -0.000139093-0j 0.00456485-0j 0.00065888-0j -0.000639777-0j -9.23439e-05-0j 0.159685-0j -0.000195538-0j -1.62949e-05-0j 0.180384-0j -0.433462-0j -0.000220884-0j 0.148809-0j -1.8407e-05-0j 0.000530785-0j 0.114406-0j 4.42321e-05-0j -0.00018222-0j -0.31289-0j -0.000140093-0j -1.5185e-05-0j 0.0339679-0j -1.16744e-05-0j 0.000383141-0j -4.15945e-05-0j 3.19284e-05-0j -3.46621e-06-0j -0.000871731-0j 0.0209744-0j -8.89707e-05-0j -0.00096483-0j -1.81611e-05-0j -1.07015e-06-0j 0.00224487-0j 0.0232144-0j -0.00050851-0j -0.000770669-0j -9.84725e-05-0j -2.01006e-05-0j -0.0540128-0j 0.00261901-0j -1.18444e-06-0j 0.0122351-0j 0.000229116-0j -0.00393043-0j 0.0185428-0j -0.000519104-0j -5.18996e-05-0j -7.86561e-05-0j 4.6768e-05-0j -0.000488789-0j -0.063015-0j -1.0594e-05-0j 2.75583e-06-0j -1.60556e-05-0j 0.000945251-0j 0.0945685-0j 0.000267302-0j 0.0124899-0j -6.24255e-07-0j -9.46086e-07-0j -8.37875e-05-0j -0.000401148-0j 0.0117606-0j 5.45627e-05-0j -5.29808e-05-0j -8.18839e-05-0j -4.98868e-05-0j -0.0227433-0j -1.08147e-05-0j 3.21514e-06-0j -1.01831e-05-0j -4.82506e-06-0j 9.64743e-05-0j 0.00201598-0j -6.3726e-07-0j 1.96927e-05-0j -6.00045e-07-0j -8.55152e-06-0j 1.16041e-06-0j -1.74557e-06-0j -1.02859e-07-0j 
0.0061159-0j -0.00596516-0j 0.0666251-0j -0.000726338-0j 0.0476382-0j -0.0419336-0j -0.00603341-0j 0.00166694-0j -0.0299588-0j 0.00023984-0j -0.00431048-0j 0.0413239-0j 0.00594569-0j 0.0517476-0j 0.00744544-0j 0.000319313-0j 0.254456-0j -0.000674792-0j 6.24947e-06-0j -0.000579189-0j 0.00498013-0j 0.000564913-0j -1.32068e-05-0j -0.461548-0j 4.46484e-06-0j 0.00122398-0j 0.450172-0j -0.00041413-0j 0.00355797-0j -0.00119381-0j -0.00026581-0j -9.43538e-06-0j -0.330015-0j -0.211821-0j 0.000875166-0j 0.000561727-0j 0.000251647-0j -0.00197757-0j -0.00493665-0j 4.82563e-06-0j 0.0477677-0j -5.91915e-05-0j 0.000220191-0j -3.79223e-05-0j -0.000724166-0j -0.000214764-0j -9.46663e-05-0j 0.000916002-0j -0.00173037-0j -8.75302e-06-0j -1.13507e-06-0j 0.00569086-0j -0.00431957-0j 9.08242e-05-0j 0.00168772-0j 0.000574083-0j 0.0142062-0j 0.0042131-0j 0.0417967-0j -0.000153435-0j 6.87857e-05-0j -0.137461-0j -5.17926e-05-0j -0.0407665-0j -0.000271724-0j -0.000713743-0j 0.000171711-0j -0.00451143-0j 0.000170336-0j 5.0516e-05-0j -0.000118422-0j -0.00178173-0j 0.00120577-0j -0.0016615-0j -0.011262-0j 0.0172403-0j 0.00300999-0j 0.00213534-0j 0.108972-0j 2.05885e-06-0j -0.029125-0j -2.13633e-05-0j 0.0053305-0j 0.000930623-0j -0.000135034-0j -0.0515786-0j 3.60904e-05-0j 0.00232314-0j 6.39138e-05-0j -0.0224789-0j 2.78549e-05-0j 
-0.0294104-0j -0.0305675-0j 0.00355642-0j 0.00412741-0j 0.00230491-0j 0.00217102-0j 0.00031336-0j -0.00244509-0j -0.00456485-0j -0.000352919-0j -0.00065888-0j 0.00215187-0j 0.000310595-0j 0.00432066-0j 0.000623634-0j -0.228169-0j 0.000279399-0j 2.32832e-05-0j 0.248813-0j 0.204457-0j -0.000304678-0j 0.212501-0j -2.53898e-05-0j -0.000250362-0j -0.523161-0j -2.08635e-05-0j -0.000260212-0j 0.132508-0j 0.000640624-0j -2.16844e-05-0j -0.508956-0j 5.33853e-05-0j -0.00016226-0j 0.000623229-0j -1.35216e-05-0j 5.19358e-05-0j 0.00124559-0j -0.0299696-0j 0.000127127-0j -0.00133084-0j 2.59498e-05-0j 1.52911e-06-0j -0.00105886-0j 0.0320209-0j 0.000726594-0j -0.00110052-0j -0.000135829-0j -2.77259e-05-0j 0.0254769-0j 0.00119254-0j -1.63377e-06-0j -0.0174823-0j -0.00010807-0j -0.00220939-0j 0.0264793-0j 0.000665961-0j 7.41577e-05-0j -0.000112322-0j -2.20597e-05-0j 0.00231399-0j -0.0286931-0j 1.51374e-05-0j -1.29988e-06-0j -2.29276e-05-0j -0.0021073-0j 0.0531593-0j 0.000121713-0j -0.0160234-0j 8.91978e-07-0j -1.35102e-06-0j 0.00217622-0j -0.000225495-0j -0.055676-0j 2.48445e-05-0j 6.79693e-05-0j -4.6029e-05-0j 0.000236171-0j 0.0507029-0j 1.38742e-05-0j 1.46398e-06-0j 4.82082e-05-0j -2.71228e-06-0j -0.000215075-0j -0.0523611-0j 8.17544e-07-0j -4.39021e-05-0j 2.84069e-06-0j 0.000222109-0j -2.58696e-06-0j 4.53379e-05-0j 2.67156e-06-0j 
-0.0110224-0j 0.00378402-0j -0.0207461-0j 0.0755544-0j -0.0149753-0j -0.025679-0j -0.0036947-0j -0.0299588-0j -0.0162866-0j -0.00431048-0j -0.00234332-0j 0.0771494-0j 0.0111003-0j -0.0108127-0j -0.00155573-0j 0.000195538-0j 0.155822-0j -0.000413224-0j 0.000220884-0j -0.000530785-0j 0.17602-0j 0.00018222-0j -0.000466786-0j -0.422976-0j 0.000140093-0j 0.00112169-0j 0.145209-0j -0.000383141-0j 0.111639-0j -0.000385079-0j 4.15945e-05-0j -0.000296054-0j -0.30532-0j 0.0331462-0j 0.000809678-0j -8.79002e-05-0j 0.000154102-0j -0.00121101-0j -0.00302307-0j 0.000170559-0j 0.0292516-0j -3.62472e-05-0j -0.00039684-0j -0.00134034-0j 8.98927e-05-0j 0.000136236-0j -0.00334593-0j 0.0323756-0j 0.00311857-0j -0.00046298-0j -4.01183e-05-0j -0.000706422-0j 0.00778496-0j 0.000694808-0j -0.00107061-0j 9.17655e-05-0j -0.00176346-0j -0.0026726-0j -0.0753282-0j 8.64065e-05-0j 0.00363833-0j 0.0170634-0j 9.33432e-05-0j 0.0258604-0j -0.000167098-0j -0.00546015-0j 0.00908245-0j -0.000721139-0j -2.11442e-05-0j -3.2045e-05-0j 1.48117e-05-0j -0.0136303-0j -0.000679026-0j -0.0878829-0j -0.0018002-0j 0.131889-0j -0.00169507-0j 0.00131314-0j 0.0174189-0j 0.0001089-0j 0.0164017-0j -0.00016343-0j 0.00327803-0j -0.000116398-0j -2.15847e-05-0j -0.0317186-0j -2.03242e-05-0j -0.000290566-0j 3.93042e-05-0j 0.00281155-0j -3.48395e-06-0j 
-0.000509659-0j 0.000497097-0j -0.0168918-0j 0.000184152-0j -0.0120779-0j -3.65511e-05-0j -0.071872-0j 1.45298e-06-0j -2.61133e-05-0j 0.00285705-0j -0.0513478-0j 3.60196e-05-0j 0.0708269-0j 4.51053e-05-0j 0.0886925-0j -2.66094e-05-0j 0.000674792-0j 0.246381-0j -5.20789e-07-0j 4.82657e-05-0j 1.32068e-05-0j -4.70761e-05-0j 0.00482208-0j -0.00122398-0j -3.7207e-07-0j -0.446901-0j 0.00119381-0j 3.45109e-05-0j 9.43538e-06-0j 0.435886-0j 2.21508e-05-0j 0.00344506-0j -0.000875166-0j -0.000561727-0j -0.319542-0j -0.205099-0j -2.09706e-05-0j 0.000501383-0j -2.1403e-06-0j -4.02136e-07-0j -0.00595182-0j 0.0668426-0j -1.83493e-05-0j 9.61461e-06-0j 6.03472e-05-0j 1.7897e-05-0j -4.10429e-08-0j -0.000114133-0j 0.00043871-0j 7.29419e-07-0j 0.00128179-0j -0.00144283-0j -1.87276e-06-0j -7.56869e-06-0j -0.000427897-0j -4.78402e-05-0j 6.15916e-06-0j 1.8266e-06-0j -0.00520784-0j 1.27862e-05-0j -1.74396e-05-0j 0.0171276-0j 0.0584873-0j 0.00507948-0j 2.26436e-05-0j 0.000180959-0j 7.4446e-08-0j 0.0011438-0j -0.192353-0j -0.0570457-0j 9.86853e-06-0j -7.72476e-07-0j -0.000305704-0j 0.000207022-0j -4.88267e-06-0j -0.00214812-0j 1.30499e-06-0j -0.000541383-0j -0.0135779-0j -0.00232498-0j 0.00362895-0j 0.0241248-0j 2.31106e-06-0j -0.000235945-0j 0.152488-0j 0.00642666-0j -0.0407554-0j 1.0072e-06-0j -0.0721754-0j 0.00280086-0j -0.0314554-0j 
-0.0124866-0j -0.0596283-0j -0.00146695-0j 0.00531997-0j -0.00126774-0j -0.000895501-0j -0.000129254-0j 0.00306185-0j -0.000639777-0j 0.00044194-0j -9.23439e-05-0j -0.00432066-0j -0.000623634-0j 0.00524609-0j 0.000757208-0j 0.094115-0j -0.000115246-0j -9.60384e-06-0j -0.311575-0j 0.0868052-0j 0.000381531-0j 0.414527-0j 3.17942e-05-0j -0.000106295-0j -0.2226-0j -8.85792e-06-0j -0.000507598-0j 0.0750175-0j 0.000272579-0j -4.22998e-05-0j -0.372745-0j 2.27149e-05-0j -9.18607e-05-0j 0.000456436-0j -7.65506e-06-0j 3.80363e-05-0j -0.00051378-0j 0.0123618-0j -5.24374e-05-0j 0.00166654-0j -1.07037e-05-0j -6.30724e-07-0j -0.000449557-0j -0.0400979-0j -0.000299705-0j -0.0021468-0j 0.000170091-0j 3.47196e-05-0j 0.0108166-0j 0.0015371-0j 2.04587e-06-0j 0.00721107-0j -4.58827e-05-0j -0.000185433-0j 0.0516533-0j -0.00036629-0j -3.05885e-05-0j -0.000219107-0j -9.36577e-06-0j -0.00153375-0j -0.0369836-0j -6.24385e-06-0j -5.51883e-07-0j -4.4725e-05-0j 0.00263363-0j 0.00446162-0j 0.00015688-0j 0.00881316-0j -3.67922e-07-0j -2.63545e-06-0j -0.00155277-0j -1.89257e-05-0j 0.0369029-0j 3.20229e-05-0j -3.73843e-05-0j -3.86318e-06-0j -0.000156538-0j -0.0633667-0j -7.63105e-06-0j 1.88697e-06-0j -3.19531e-05-0j -2.2764e-07-0j 0.000268794-0j 0.0373606-0j -4.49664e-07-0j 5.48673e-05-0j -1.88285e-06-0j -0.000158479-0j 3.23309e-06-0j -3.23494e-05-0j -1.90621e-06-0j 
0.000918533-0j -0.000315335-0j 0.00525986-0j -0.0191557-0j 0.00379677-0j -2.23829e-05-0j -0.0440124-0j -2.61133e-05-0j -1.41961e-05-0j -0.0513478-0j -0.0279144-0j 6.72466e-05-0j 0.13223-0j -9.4248e-06-0j -0.0185324-0j -1.62949e-05-0j 0.000413224-0j 0.150877-0j -1.8407e-05-0j 4.42321e-05-0j 0.000466786-0j -1.5185e-05-0j 0.170434-0j -0.00112169-0j -1.16744e-05-0j -0.409553-0j 0.000385079-0j 3.19284e-05-0j 0.000296054-0j 0.140601-0j -3.46621e-06-0j 0.108096-0j -0.000809678-0j 8.79002e-05-0j -0.295631-0j 0.0320943-0j -1.28418e-05-0j 0.000307033-0j -1.31066e-06-0j -1.42133e-05-0j -0.00364473-0j 0.0409326-0j 3.307e-05-0j 0.000339823-0j -7.49106e-06-0j -1.1353e-05-0j -1.45064e-06-0j -0.00403397-0j -0.000790666-0j 3.85817e-05-0j 0.0453041-0j 0.000179103-0j 3.37519e-06-0j -5.79007e-05-0j 0.000271438-0j -7.64712e-06-0j -7.64553e-07-0j -1.15871e-06-0j 0.00938584-0j -7.20054e-06-0j -0.000922443-0j -0.00212609-0j -0.105409-0j -0.00322219-0j 1.39249e-05-0j 0.00138434-0j 3.93773e-06-0j 0.000182834-0j 0.0238773-0j 0.0361872-0j -1.23431e-06-0j -5.90946e-06-0j 0.000172157-0j 0.0109501-0j -7.80481e-07-0j -0.0164332-0j -7.34902e-07-0j -0.000332927-0j -0.00217038-0j -0.122977-0j -0.00204364-0j 0.184555-0j 1.4212e-06-0j 2.95108e-05-0j 0.0243748-0j 0.00395212-0j 0.0229513-0j -1.25976e-07-0j -0.0443847-0j -0.000350317-0j 0.00393428-0j 
0.00519907-0j 0.00540363-0j 0.0296435-0j 0.0344028-0j 0.0192119-0j 0.0366919-0j 0.00527924-0j -0.0413239-0j -0.0771494-0j -0.00594569-0j -0.0111003-0j 0.0363682-0j 0.00523266-0j 0.0730225-0j 0.0105065-0j -0.000279399-0j -0.222649-0j 0.000590443-0j 0.000304678-0j 0.000250362-0j 0.242794-0j 0.000260212-0j -0.000643865-0j 0.19951-0j -0.000640624-0j -0.000529081-0j 0.20736-0j 0.00016226-0j -0.510505-0j -0.000549897-0j -0.000623229-0j 0.00135381-0j 0.129303-0j -0.496644-0j -0.000342897-0j 0.00131705-0j -0.000220191-0j 0.00173037-0j 0.00431957-0j 0.000235262-0j -0.0417967-0j 5.17926e-05-0j 0.000187183-0j -0.00184881-0j -0.000128445-0j 0.000194547-0j -0.00461522-0j 0.0446575-0j -0.00147098-0j -0.000210812-0j -5.53375e-05-0j 0.00100938-0j -0.00367203-0j 0.000390569-0j -0.00152885-0j -0.000117726-0j 0.00251975-0j -0.0038165-0j 0.035531-0j -0.00040906-0j 0.00165667-0j -0.0243814-0j -4.40284e-05-0j 0.0369289-0j 0.000372522-0j -0.00306929-0j 0.00413558-0j 0.000925153-0j 3.02123e-05-0j -4.57606e-05-0j -0.000384705-0j -0.00766194-0j 0.0032146-0j -0.0400164-0j 0.00230948-0j 0.0741378-0j 0.00802468-0j -0.00292746-0j -0.0223468-0j 4.95865e-05-0j -0.0776478-0j -9.18682e-05-0j -0.00730789-0j 0.0030232-0j 2.76911e-05-0j 0.0707121-0j 9.62176e-05-0j 0.00754689-0j -8.76231e-05-0j -0.0730247-0j 9.04888e-05-0j 
0.00220735-0j 0.0105409-0j -0.0122273-0j 0.044343-0j -0.0105669-0j -0.0151346-0j -0.00217757-0j 0.0517476-0j -0.0108127-0j 0.00744544-0j -0.00155573-0j -0.0730225-0j -0.0105065-0j 0.0886629-0j 0.0127568-0j 0.000115246-0j 0.0918382-0j -0.000243545-0j -0.000381531-0j 0.000106295-0j -0.304037-0j 0.000507598-0j 0.000806275-0j 0.0847052-0j -0.000272579-0j -0.000224629-0j 0.404499-0j 9.18607e-05-0j -0.217215-0j -0.00107269-0j -0.000456436-0j 0.000576031-0j 0.0732027-0j -0.363728-0j -0.000194126-0j 0.000964569-0j 9.08242e-05-0j -0.000713743-0j -0.00178173-0j -0.000294605-0j 0.0172403-0j -2.13633e-05-0j 7.94712e-05-0j 0.00231516-0j 5.29808e-05-0j 0.000379504-0j 0.00577938-0j -0.055922-0j -0.000624525-0j -0.000271724-0j 6.9296e-05-0j -0.00041635-0j -0.00155902-0j 3.27802e-05-0j -0.00298234-0j 6.47516e-05-0j -0.00103934-0j -0.00744488-0j 0.0150852-0j 0.000271131-0j 0.00213534-0j 0.0100568-0j -1.86929e-05-0j 0.0720375-0j -0.000465564-0j -0.000257603-0j 0.0053305-0j -0.000508851-0j -1.24619e-05-0j -8.92656e-05-0j 0.000274494-0j -0.000643061-0j -0.00213068-0j -0.0515786-0j -0.00127026-0j 0.00622234-0j -0.00531888-0j 0.00365864-0j 0.0122911-0j 6.39138e-05-0j 0.0514661-0j -7.71044e-06-0j 0.00913315-0j -0.00215711-0j -1.52306e-05-0j -0.0883734-0j -6.37744e-05-0j -0.00538484-0j 0.000109508-0j 0.0521044-0j -6.45654e-05-0j 
-0.000433256-0j -0.000450302-0j -0.00751565-0j -0.0087223-0j -0.00487089-0j 3.19822e-05-0j 0.062888-0j -3.60196e-05-0j -6.72466e-05-0j -0.0708269-0j -0.13223-0j 3.17e-05-0j 0.0623331-0j 6.36494e-05-0j 0.125157-0j 2.32832e-05-0j -0.000590443-0j -0.215584-0j -2.53898e-05-0j -2.08635e-05-0j 0.000643865-0j -2.16844e-05-0j 0.235089-0j 0.000529081-0j 5.33853e-05-0j 0.193179-0j 0.000549897-0j -1.35216e-05-0j -0.00135381-0j 0.200779-0j 5.19358e-05-0j -0.494305-0j 0.000342897-0j -0.00131705-0j 0.125199-0j -0.480883-0j 1.83493e-05-0j -0.00043871-0j 1.87276e-06-0j -1.96052e-05-0j 0.00520784-0j -0.0584873-0j -1.55985e-05-0j 0.000468737-0j 1.07037e-05-0j -1.62123e-05-0j -2.00095e-06-0j -0.00556429-0j 0.000372943-0j 1.75677e-05-0j 0.0624904-0j -0.000255914-0j -1.59202e-06-0j -3.25474e-05-0j 0.000387616-0j 9.81053e-06-0j 1.09245e-06-0j -1.65466e-06-0j -0.00442714-0j 3.40883e-05-0j -0.000420024-0j 0.00303791-0j 0.0497195-0j -0.00460132-0j -3.10435e-05-0j 0.000778171-0j 1.793e-06-0j -0.000234558-0j -0.0341176-0j 0.0516757-0j 3.20587e-05-0j -3.32186e-06-0j -0.000815013-0j 0.00498602-0j 1.00128e-06-0j -0.00923752-0j 3.47913e-06-0j 0.000742213-0j 0.0027844-0j -0.0559961-0j 0.00967485-0j 0.103743-0j -3.16836e-06-0j -0.000766487-0j -0.0312705-0j -0.00881067-0j -0.108655-0j 3.27198e-06-0j 0.0989493-0j 0.00909882-0j -0.102185-0j 
-0.000183946-0j -0.000878408-0j 0.00310005-0j -0.0112425-0j 0.00267908-0j -1.3192e-05-0j -0.02594-0j 4.51053e-05-0j -9.4248e-06-0j 0.0886925-0j -0.0185324-0j -6.36494e-05-0j -0.125157-0j 7.72823e-05-0j 0.151963-0j -9.60384e-06-0j 0.000243545-0j 0.0889237-0j 3.17942e-05-0j -8.85792e-06-0j -0.000806275-0j -4.22998e-05-0j -0.294389-0j 0.000224629-0j 2.27149e-05-0j 0.0820171-0j 0.00107269-0j -7.65506e-06-0j -0.000576031-0j 0.391662-0j 3.80363e-05-0j -0.210321-0j 0.000194126-0j -0.000964569-0j 0.0708796-0j -0.352185-0j -7.56869e-06-0j 0.000180959-0j -7.72476e-07-0j 2.45505e-05-0j -0.00214812-0j 0.0241248-0j -6.6226e-06-0j -0.000586973-0j -4.41507e-06-0j -3.16254e-05-0j 2.50567e-06-0j 0.00696784-0j 0.000158339-0j 2.26436e-05-0j -0.0782532-0j 0.000105559-0j -6.75916e-07-0j -2.73168e-06-0j 0.000756126-0j -5.39597e-06-0j -4.50611e-07-0j -3.22775e-06-0j -0.00187961-0j -2.25942e-05-0j -0.000541383-0j -0.00125307-0j 0.0211092-0j -0.00897582-0j 3.8797e-05-0j 6.53114e-05-0j 2.31106e-06-0j 0.000129011-0j 0.0140728-0j 0.100804-0j -2.28745e-05-0j -2.78801e-07-0j 0.000540202-0j 0.00642666-0j -5.50723e-07-0j -0.000775299-0j -2.30602e-06-0j -0.000927592-0j -0.00153147-0j -0.0721754-0j -0.00641264-0j 0.00870709-0j 3.95971e-06-0j 0.000546902-0j 0.0171993-0j 0.0110113-0j 0.0720179-0j -2.33462e-06-0j -0.123663-0j -0.00649217-0j 0.0729111-0j 
0.0228981-0j 0.0231354-0j 0.00269011-0j 0.00332884-0j 0.00194182-0j 0.00164218-0j 0.000237028-0j 0.00191588-0j 0.00117323-0j 0.000276533-0j 0.000169341-0j 0.00167639-0j 0.000241966-0j 0.000691477-0j 9.9806e-05-0j -0.00475278-0j -0.000840181-0j -7.00151e-05-0j 0.00135048-0j 0.00110266-0j 0.000238733-0j 0.00111409-0j 1.98945e-05-0j 0.000194925-0j 0.00096483-0j 1.62438e-05-0j 0.000196945-0j 0.000795944-0j 0.000170559-0j 1.64121e-05-0j 0.000254308-0j 1.42133e-05-0j 0.000140704-0j 4.49557e-05-0j 1.17254e-05-0j 3.74631e-06-0j -0.182243-0j 0.000157029-0j 9.61603e-05-0j 0.801883-0j 1.96286e-05-0j 1.15663e-06-0j -0.159463-0j -0.00069094-0j -0.106308-0j -0.161115-0j -0.000423113-0j -8.63675e-05-0j 0.0001374-0j -0.18604-0j -5.08925e-06-0j 9.16003e-05-0j 8.41403e-05-0j -0.065775-0j 0.000138824-0j -0.108523-0j 5.60935e-05-0j 8.50122e-05-0j 1.71751e-05-0j -0.115106-0j 0.000160301-0j 1.145e-05-0j 1.01205e-06-0j 1.7353e-05-0j -0.0671453-0j 5.66748e-05-0j 9.81636e-05-0j 9.35087e-05-0j 6.747e-07-0j 1.02254e-06-0j -0.0175165-0j 3.47061e-05-0j 9.91809e-05-0j 2.00376e-05-0j 5.72621e-05-0j 7.08435e-06-0j 6.07357e-05-0j 5.78555e-05-0j 1.16886e-05-0j 1.18073e-06-0j 1.23976e-05-0j 4.17449e-07-0j 3.54291e-05-0j 1.5093e-05-0j 6.88756e-07-0j 7.23194e-06-0j 7.30536e-07-0j 9.24256e-06-0j 4.26146e-07-0j 1.88663e-06-0j 1.11171e-07-0j 
-0.00381636-0j -0.00385591-0j 0.0211402-0j 0.0261597-0j 0.0152598-0j -0.000273697-0j 0.00376488-0j -0.000319313-0j -0.000195538-0j 0.00439236-0j 0.00268976-0j -0.000279399-0j 0.00384332-0j -0.000115246-0j 0.00158529-0j -0.114355-0j -0.00660257-0j -0.00167398-0j 0.0324934-0j 0.0265307-0j 0.00187609-0j 0.0268057-0j 0.000475653-0j 0.00153182-0j 0.0232144-0j 0.000388369-0j 0.00154769-0j 0.0191509-0j 0.00134034-0j 0.000392394-0j 0.0061188-0j 0.000339823-0j 0.00110573-0j 0.000353285-0j 0.00028034-0j 8.95699e-05-0j -0.000157029-0j -0.178147-0j -1.60267e-05-0j 0.00069094-0j 0.000311775-0j 3.69358e-05-0j -0.0001374-0j 0.783859-0j -9.16003e-05-0j -0.000138824-0j 7.05188e-05-0j -0.00137183-0j -0.155878-0j -0.000160301-0j -0.00016252-0j -0.103919-0j -1.40234e-05-0j -5.66748e-05-0j -0.157494-0j -9.35087e-05-0j -9.34892e-06-0j -1.41687e-05-0j 0.000272803-0j -9.91809e-05-0j -0.181858-0j 0.000181869-0j 3.23188e-05-0j 0.00027563-0j -5.78555e-05-0j -0.0642965-0j -1.63606e-05-0j -0.106084-0j 2.15459e-05-0j 3.26537e-05-0j -1.5093e-05-0j -5.78435e-06-0j -0.112519-0j 0.00031827-0j -9.54369e-06-0j 0.000112526-0j -1.01226e-05-0j -0.0656361-0j 0.000185658-0j 3.77053e-05-0j 0.00019692-0j 1.33308e-05-0j -5.90485e-06-0j -0.0171228-0j 2.19948e-05-0j 0.00011487-0j 2.3329e-05-0j -1.54043e-06-0j 1.36086e-05-0j 2.99666e-05-0j 3.55013e-06-0j 
