-0.00459308-0j -0.000765513-0j -0.000468779-0j -9.56892e-05-0j -5.63854e-06-0j 1.00464-0j -0.000667723-0j -0.000545194-0j -7.86919e-05-0j -6.81492e-05-0j -8.03146e-06-0j -3.66584e-07-0j -0.00266252-0j -0.00269011-0j 0.102214-0j 0.103273-0j -0.000332814-0j -0.000221876-0j -4.80376e-05-0j -0.000336263-0j -0.000224176-0j -4.85354e-05-0j -5.54691e-05-0j -1.96113e-05-0j -4.62242e-06-0j -5.60439e-05-0j -1.98145e-05-0j -4.90282e-06-0j -4.67032e-06-0j -4.95363e-06-0j -4.08568e-07-0j -4.12802e-07-0j -1.52264e-08-0j -1.53842e-08-0j -0.00200636-0j -0.00248274-0j -0.00144827-0j -0.000312796-0j -0.000387066-0j -0.000225788-0j 0.0588282-0j 0.00849111-0j -0.00022118-0j 0.0727961-0j 0.0105072-0j 0.0424644-0j -3.90995e-05-0j -0.000273697-0j 0.00612921-0j -2.60664e-05-0j -3.25829e-06-0j -0.000159656-0j -2.25741e-05-0j -4.83832e-05-0j -3.22555e-05-0j -4.60792e-06-0j -4.03193e-06-0j -2.82235e-05-0j -2.30396e-06-0j -2.79341e-05-0j -2.71524e-07-0j -1.88157e-05-0j -2.35196e-06-0j -5.70201e-06-0j -1.62949e-05-0j -3.32548e-07-0j -2.85101e-06-0j -3.35994e-07-0j -3.32618e-06-0j -2.14659e-08-0j -1.66309e-06-0j -4.11507e-07-0j -1.95997e-07-0j -6.76112e-10-0j -2.40046e-07-0j -2.65627e-08-0j -8.36646e-10-0j -1.54949e-08-0j -4.88044e-10-0j 
-0.0147379-0j -0.00121023-0j 7.77643e-06-0j 0.0070565-0j 0.00256644-0j 1.18924e-06-0j 0.00353773-0j 1.56696e-07-0j 0.000100543-0j -1.86668e-06-0j 3.14471e-05-0j 4.83501e-06-0j 4.41676e-05-0j -4.3079e-05-0j -0.000665543-0j 0.000649139-0j -0.00106791-0j 3.68063e-06-0j -0.685216-0j 0.00104158-0j -3.58991e-06-0j 0.668327-0j -8.7693e-05-0j 3.25325e-07-0j 0.00104463-0j 8.55316e-05-0j -3.17307e-07-0j 0.000361553-0j -0.00101888-0j -0.000352642-0j 0.000185964-0j -0.000181381-0j 1.74231e-05-0j -1.69937e-05-0j 3.32829e-05-0j 7.13572e-07-0j -4.68009e-05-0j -0.000494511-0j -1.06021e-05-0j 0.00069536-0j 4.01929e-06-0j 0.00257895-0j -0.000709705-0j 8.6172e-08-0j 5.52918e-05-0j -5.65175e-06-0j 0.0119565-0j -1.52158e-05-0j -0.00362641-0j -4.12092e-05-0j -0.14243-0j 0.000997956-0j 3.74475e-07-0j 0.000256344-0j -8.83511e-07-0j 0.000339807-0j -0.00305365-0j -0.0168127-0j -3.64241e-06-0j 8.02861e-09-0j 0.000123587-0j 5.79466e-05-0j 0.200279-0j 7.28533e-06-0j -5.2657e-07-0j 7.5153e-05-0j -7.80921e-08-0j 2.64967e-06-0j -0.000477821-0j 1.6341e-05-0j 5.12181e-06-0j 1.61125e-06-0j -0.000173783-0j 1.08462e-06-0j -0.000105677-0j 3.50345e-07-0j 2.32539e-08-0j -2.2978e-05-0j -1.52515e-06-0j 
8.79803e-05-0j 0.099812-0j -0.00172594-0j 0.0167004-0j -2.06944e-05-0j 1.37321e-06-0j -1.04487e-05-0j 0.00249727-0j 0.000359307-0j 0.000204977-0j 3.65562e-05-0j -2.91687e-08-0j 5.10004e-05-0j -4.97433e-05-0j -0.00038022-0j 0.000370848-0j -0.000609487-0j -0.00123135-0j -8.7693e-05-0j 0.000594464-0j 0.001201-0j 8.55316e-05-0j -0.691452-0j -0.000108494-0j 0.00183366-0j 0.674409-0j 0.00010582-0j 0.00172031-0j -0.00178846-0j -0.0016779-0j 0.000143361-0j -0.000139828-0j -8.39712e-08-0j 8.19015e-08-0j 3.84317e-05-0j 8.23962e-07-0j -5.4041e-05-0j -0.00028251-0j -6.05691e-06-0j 0.000397253-0j -0.00044371-0j -6.3841e-05-0j -0.000611625-0j -9.51298e-06-0j -1.36873e-06-0j 0.000623926-0j 0.00337617-0j -1.3113e-05-0j 8.97705e-05-0j 0.0068209-0j -8.95326e-06-0j 0.000860041-0j 0.0119985-0j 7.2384e-05-0j 0.000146238-0j -0.116099-0j -1.91955e-07-0j -0.00474743-0j 0.000600991-0j 0.000257243-0j 0.000143864-0j -0.00959126-0j 1.25897e-05-0j -0.00248911-0j -0.0168717-0j 0.000175639-0j 1.2885e-05-0j 3.0844e-06-0j 0.163253-0j 9.42495e-06-0j -0.000845087-0j 3.76565e-06-0j -0.000202296-0j -4.35224e-09-0j -0.000246977-0j 2.02068e-07-0j -9.33105e-11-0j -1.3253e-05-0j 6.11994e-09-0j 
3.11057e-05-0j 5.18429e-06-0j 0.175932-0j -0.000187163-0j 3.81859e-08-0j 4.85504e-07-0j 7.83479e-08-0j -1.84757e-05-0j 9.23338e-09-0j 0.00044313-0j -2.72173e-07-0j 4.30135e-11-0j 1.80314e-05-0j -1.75869e-05-0j 2.85101e-06-0j -2.78074e-06-0j -0.000650966-0j 1.50261e-06-0j 3.25325e-07-0j 0.000634921-0j -1.46558e-06-0j -3.17307e-07-0j -0.000108494-0j -0.696249-0j 3.13044e-08-0j 0.00010582-0j 0.679088-0j 0.00184002-0j -3.05328e-08-0j -0.00179467-0j -7.99136e-07-0j 7.7944e-07-0j 1.03118e-10-0j -1.00576e-10-0j 1.35877e-05-0j 2.91315e-07-0j -1.91064e-05-0j 2.11835e-06-0j 4.54167e-08-0j -2.97873e-06-0j -0.000473907-0j 2.36839e-07-0j 1.4979e-06-0j -1.01604e-05-0j 5.07774e-09-0j 0.000666388-0j -7.64765e-05-0j 3.21144e-08-0j -3.33032e-07-0j 1.76529e-07-0j 2.20661e-08-0j -2.10628e-06-0j 0.00847202-0j -1.63963e-06-0j 3.78472e-09-0j -9.01284e-06-0j 4.7309e-10-0j 0.000107538-0j -0.0817964-0j 0.000181637-0j 1.83885e-09-0j -2.48228e-07-0j -3.10285e-08-0j -1.93232e-07-0j -0.011913-0j 0.000124805-0j -0.00175368-0j 3.94242e-11-0j 1.26735e-05-0j -4.19861e-08-0j 0.115019-0j 2.67577e-06-0j -2.58571e-09-0j 4.57883e-12-0j -0.000175495-0j -9.00166e-10-0j 9.81686e-14-0j 5.9039e-08-0j -6.43856e-12-0j 
-7.33169e-06-0j -0.0253058-0j -7.48287e-07-0j -0.00208086-0j 0.0233694-0j -1.14434e-07-0j 2.64912e-06-0j 2.17672e-06-0j 0.00428018-0j 2.70374e-07-0j 0.00013961-0j 6.65074e-05-0j -4.25003e-06-0j 4.14528e-06-0j 9.63989e-05-0j -9.40229e-05-0j -5.31254e-07-0j 0.000102612-0j -0.00104463-0j 5.1816e-07-0j -0.000100083-0j 0.00101888-0j -0.00183366-0j -3.13044e-08-0j -0.669509-0j 0.00178846-0j 3.05328e-08-0j -0.000106617-0j 0.653007-0j 0.000103989-0j 0.00169334-0j -0.00165161-0j 0.000320558-0j -0.000312657-0j -3.20264e-06-0j -6.86635e-08-0j 4.50342e-06-0j 7.16261e-05-0j 1.53564e-06-0j -0.000100718-0j -3.86756e-07-0j -0.000760495-0j 5.09688e-05-0j -8.29191e-09-0j -1.63047e-05-0j 5.4384e-07-0j 8.95326e-06-0j 1.09275e-06-0j 0.00106938-0j -0.00172934-0j 0.00326903-0j -7.16701e-05-0j 5.20198e-06-0j 1.91955e-07-0j -3.70763e-05-0j 0.0144658-0j 7.00869e-05-0j -1.25897e-05-0j 5.27576e-07-0j 1.11529e-07-0j -0.16246-0j 0.00243172-0j -0.00459677-0j 0.000310142-0j -7.3148e-06-0j 0.000333644-0j 1.1311e-08-0j -0.00348309-0j -0.0203412-0j 0.000224776-0j -7.41855e-07-0j 7.15321e-06-0j 0.228444-0j 2.49878e-05-0j -0.000469156-0j 4.81912e-06-0j 5.3573e-07-0j -0.000316071-0j -3.51368e-05-0j 
-7.77643e-06-0j 0.000123518-0j -0.0145082-0j 0.13843-0j -0.000261937-0j -1.21376e-07-0j 1.86668e-06-0j 3.07396e-06-0j -1.02616e-05-0j 0.00348259-0j 0.00061691-0j -4.93471e-07-0j -4.50784e-06-0j 4.39673e-06-0j 6.79267e-05-0j -6.62525e-05-0j 0.000108307-0j -3.75653e-07-0j -0.000361553-0j -0.000105637-0j 3.66394e-07-0j 0.000352642-0j -0.00172031-0j -0.00184002-0j -0.000106617-0j 0.0016779-0j 0.00179467-0j -0.674536-0j 0.000103989-0j 0.65791-0j 0.00364813-0j -0.00355821-0j -1.77824e-06-0j 1.73441e-06-0j -3.39692e-06-0j -7.28287e-08-0j 4.7766e-06-0j 5.04708e-05-0j 1.08208e-06-0j -7.09698e-05-0j 7.88478e-05-0j -0.000263213-0j -3.74475e-07-0j 1.69047e-06-0j -5.64319e-06-0j -0.000110872-0j -0.00121262-0j -8.02861e-09-0j 0.000370119-0j 4.2059e-06-0j -7.5153e-05-0j 5.2657e-07-0j -0.000698643-0j -2.59982e-05-0j 9.01729e-08-0j 0.00666611-0j -1.61125e-06-0j 0.00170514-0j 0.0206013-0j -1.49787e-05-0j -1.26136e-05-0j -5.91415e-06-0j 0.000105677-0j 0.000142919-0j 0.000982402-0j -0.14021-0j 0.000441684-0j -2.70431e-07-0j -0.0093736-0j 0.000320567-0j -0.0289686-0j -0.00300605-0j 1.77367e-05-0j -1.10699e-07-0j 0.197157-0j 6.87284e-06-0j -2.37334e-09-0j -0.000450768-0j 1.5566e-07-0j 
6.48036e-07-0j -2.06944e-05-0j -1.27128e-05-0j -0.0354154-0j 0.094241-0j 1.01147e-08-0j -3.12745e-07-0j -1.27415e-07-0j 5.27804e-06-0j 6.13524e-06-0j 0.00487355-0j 0.000554291-0j 3.75653e-07-0j -3.66394e-07-0j -1.13805e-05-0j 1.11e-05-0j -4.48929e-06-0j 3.13044e-08-0j 0.000185964-0j 4.37864e-06-0j -3.05328e-08-0j -0.000181381-0j 0.000143361-0j -7.99136e-07-0j -0.00169334-0j -0.000139828-0j 7.7944e-07-0j -0.00364813-0j 0.00165161-0j 0.00355821-0j -0.652859-0j 0.636767-0j 0.00404314-0j -0.00394349-0j 2.83076e-07-0j 6.06906e-09-0j -3.9805e-07-0j -8.45593e-06-0j -1.81292e-07-0j 1.18904e-05-0j -3.26823e-06-0j 0.000135383-0j 3.12062e-08-0j -7.00697e-08-0j 2.90257e-06-0j 4.59565e-06-0j 0.000101054-0j 6.69051e-10-0j -0.00019037-0j -7.04661e-07-0j -0.00119362-0j -4.38809e-08-0j -6.12184e-07-0j 2.16656e-06-0j -1.51077e-08-0j -0.00170543-0j -2.55907e-05-0j -0.000142097-0j 1.79885e-05-0j -1.3125e-08-0j 0.00453819-0j 9.90864e-07-0j 0.00167841-0j -3.65639e-05-0j 8.60827e-07-0j 0.0234156-0j 3.85667e-07-0j 9.72971e-05-0j 0.00239811-0j -0.179101-0j -2.52947e-05-0j 0.000502023-0j -0.00638141-0j 0.00042185-0j -0.0329261-0j -0.00383987-0j 9.04432e-06-0j 0.251845-0j -0.000593188-0j 
-2.41509e-08-0j 1.15886e-06-0j -2.46489e-09-0j -3.47062e-05-0j -0.0557983-0j -3.76951e-10-0j 1.75134e-08-0j -4.96677e-11-0j -4.94503e-07-0j 1.78745e-09-0j 9.64998e-06-0j 0.00590514-0j -1.39998e-08-0j 1.36547e-08-0j 6.37297e-07-0j -6.21589e-07-0j -1.74997e-09-0j -1.16665e-09-0j -1.74231e-05-0j 1.70684e-09-0j 1.13789e-09-0j 1.69937e-05-0j 8.39712e-08-0j -1.03118e-10-0j 0.000320558-0j -8.19015e-08-0j 1.00576e-10-0j -1.77824e-06-0j -0.000312657-0j 1.73441e-06-0j -0.00404314-0j 0.00394349-0j -0.631223-0j 0.615665-0j -1.05496e-08-0j -2.2618e-10-0j 1.48344e-08-0j 4.73523e-07-0j 1.01522e-08-0j -6.65848e-07-0j -1.27399e-09-0j -1.26841e-05-0j -1.16299e-09-0j -2.73139e-11-0j -2.71943e-07-0j 1.79143e-09-0j 5.91904e-08-0j -2.4934e-11-0j 1.78359e-05-0j 3.94603e-08-0j 0.000225958-0j 1.63534e-09-0j -1.18697e-10-0j 1.26902e-09-0j 8.46014e-10-0j -1.67128e-06-0j 4.84446e-06-0j -8.3231e-08-0j 3.48783e-09-0j -2.54482e-12-0j -0.00268697-0j -5.54873e-08-0j -0.000317732-0j -3.58317e-08-0j 1.66907e-10-0j 2.30617e-05-0j 7.47778e-11-0j -5.76077e-05-0j 2.35009e-06-0j 0.0199577-0j -4.90443e-09-0j 4.94435e-07-0j 0.0037783-0j -0.209638-0j -3.24284e-05-0j 0.000427886-0j -0.00449456-0j -0.0280637-0j 0.294784-0j 
0.00275597-0j 0.000459328-0j 0.00028128-0j 5.74159e-05-0j 3.38327e-06-0j 0.00248274-0j 0.000400651-0j 0.00032713-0j 4.72172e-05-0j 4.08913e-05-0j 4.81908e-06-0j 2.1996e-07-0j -0.0015521-0j 0.00161413-0j -0.000245408-0j 0.000255217-0j -0.000194012-0j -0.000129341-0j -2.80032e-05-0j 0.000201767-0j 0.000134511-0j 2.91225e-05-0j -3.23354e-05-0j -1.14323e-05-0j -2.69461e-06-0j 3.36278e-05-0j 1.18892e-05-0j -2.85807e-06-0j 2.80231e-06-0j 2.9723e-06-0j -2.38172e-07-0j 2.47692e-07-0j -8.87616e-09-0j 9.23093e-09-0j -0.412289-0j 0.495658-0j -0.297606-0j 0.000187686-0j -0.000225638-0j 0.000135479-0j 0.000145381-0j 2.09839e-05-0j 0.000132714-0j -0.000174778-0j -2.5227e-05-0j 0.000104941-0j 2.34607e-05-0j -0.00015955-0j 1.5147e-05-0j 1.56405e-05-0j 1.95506e-06-0j 9.57979e-05-0j 1.3545e-05-0j -2.82047e-05-0j -1.88031e-05-0j 2.76487e-06-0j -2.35039e-06-0j 1.69348e-05-0j 1.38244e-06-0j -1.6284e-05-0j 1.62922e-07-0j 1.12899e-05-0j 1.41124e-06-0j -3.32396e-06-0j 9.77733e-06-0j 1.99537e-07-0j -1.66198e-06-0j -1.95866e-07-0j 1.99579e-06-0j 1.28801e-08-0j 9.97895e-07-0j -2.39886e-07-0j 1.17603e-07-0j 4.05684e-10-0j 1.44034e-07-0j -1.54846e-08-0j -4.87718e-10-0j 9.29734e-09-0j 2.92839e-10-0j 
-0.00278453-0j -0.000464088-0j -0.000284194-0j -5.80109e-05-0j -3.41833e-06-0j 0.00242155-0j 0.000390776-0j 0.000319067-0j 4.60534e-05-0j 3.98834e-05-0j 4.7003e-06-0j 2.14538e-07-0j -0.00161413-0j 0.00162988-0j -0.000255217-0j 0.000257707-0j -0.000201767-0j -0.000134511-0j -2.91225e-05-0j 0.000203735-0j 0.000135823-0j 2.94066e-05-0j -3.36278e-05-0j -1.18892e-05-0j -2.80231e-06-0j 3.39558e-05-0j 1.20052e-05-0j -2.9723e-06-0j 2.82965e-06-0j 3.0013e-06-0j -2.47692e-07-0j 2.50108e-07-0j -9.23093e-09-0j 9.32099e-09-0j 0.416562-0j -0.497607-0j 0.269974-0j -0.000189631-0j 0.000226525-0j -0.0001229-0j -0.000146887-0j -2.12014e-05-0j -0.000134089-0j 0.000175465-0j 2.53262e-05-0j -9.51976e-05-0j -2.37038e-05-0j 0.000160177-0j -1.37406e-05-0j -1.58026e-05-0j -1.97532e-06-0j -8.69031e-05-0j -1.36854e-05-0j 2.83156e-05-0j 1.88771e-05-0j -2.79352e-06-0j 2.35963e-06-0j -1.53624e-05-0j -1.39676e-06-0j 1.6348e-05-0j -1.6461e-07-0j -1.02416e-05-0j -1.2802e-06-0j 3.33702e-06-0j -8.86951e-06-0j -2.01605e-07-0j 1.66851e-06-0j 1.96636e-07-0j -1.81048e-06-0j -1.30136e-08-0j -9.05241e-07-0j 2.40829e-07-0j -1.06684e-07-0j -4.09889e-10-0j -1.3066e-07-0j 1.55454e-08-0j 4.89636e-10-0j -8.43408e-09-0j -2.65649e-10-0j 
-0.000429662-0j 0.0033765-0j -4.38521e-05-0j 0.000853076-0j 0.000101063-0j -0.000387066-0j 0.00294517-0j -5.10004e-05-0j 0.000701544-0j 0.00030059-0j 0.000107777-0j 8.22175e-06-0j -0.0707731-0j 0.0736018-0j -0.00180399-0j 0.00187609-0j 3.0247e-05-0j 2.01646e-05-0j -0.000416067-0j -3.14559e-05-0j -2.09706e-05-0j 0.000432697-0j -0.000237696-0j 1.78232e-06-0j -6.02642e-05-0j 0.000247196-0j -1.85356e-06-0j -4.24647e-05-0j 6.26728e-05-0j 4.41619e-05-0j -7.11458e-06-0j 7.39894e-06-0j -3.98409e-07-0j 4.14333e-07-0j -0.000187686-0j 0.000225638-0j -0.000135479-0j -0.403526-0j 0.485123-0j -0.29128-0j -2.26652e-05-0j 0.000311775-0j -2.06904e-05-0j 2.72483e-05-0j -0.000374819-0j -1.63606e-05-0j 0.000172459-0j 2.48742e-05-0j 0.000225051-0j 0.000114972-0j 4.37243e-05-0j -1.49351e-05-0j -2.11171e-06-0j -0.000207332-0j -0.000138221-0j 4.108e-05-0j -5.25658e-05-0j 0.000124487-0j 1.01622e-05-0j 2.53871e-06-0j 4.86672e-06-0j 8.29915e-05-0j 3.15619e-05-0j -4.93867e-05-0j -1.52431e-06-0j 4.46259e-06-0j -1.22171e-05-0j -5.85082e-06-0j 2.96531e-05-0j 4.81437e-07-0j 7.33548e-06-0j -5.36497e-06-0j 3.51298e-06-0j 2.12547e-08-0j 3.22127e-06-0j -5.78788e-07-0j -2.55526e-08-0j 3.4752e-07-0j 1.53424e-08-0j 
0.000434114-0j -0.00341149-0j 4.43066e-05-0j -0.000861916-0j -0.000102111-0j -0.000377525-0j 0.00287258-0j -4.97433e-05-0j 0.000684253-0j 0.000293181-0j 0.000105121-0j 8.0191e-06-0j -0.0736018-0j 0.0743199-0j -0.00187609-0j 0.00189439-0j 3.14559e-05-0j 2.09706e-05-0j -0.000432697-0j -3.17628e-05-0j -2.11752e-05-0j 0.000436918-0j -0.000247196-0j 1.85356e-06-0j -6.26728e-05-0j 0.000249608-0j -1.87164e-06-0j -4.41619e-05-0j 6.32843e-05-0j 4.45928e-05-0j -7.39894e-06-0j 7.47112e-06-0j -4.14333e-07-0j 4.18375e-07-0j 0.000189631-0j -0.000226525-0j 0.0001229-0j 0.407708-0j -0.48703-0j 0.264235-0j 2.29001e-05-0j -0.000315006-0j 2.09048e-05-0j -2.73555e-05-0j 0.000376293-0j 1.48415e-05-0j -0.000174246-0j -2.4972e-05-0j -0.000204155-0j -0.000116164-0j -4.41774e-05-0j 1.35484e-05-0j 2.13359e-06-0j 0.000208147-0j 0.000138765-0j -4.15057e-05-0j 5.27724e-05-0j -0.000112929-0j -1.02675e-05-0j -2.54869e-06-0j -4.91715e-06-0j -7.52858e-05-0j -2.86313e-05-0j 4.95809e-05-0j 1.38278e-06-0j -4.50884e-06-0j 1.22652e-05-0j 5.87382e-06-0j -2.68998e-05-0j -4.86426e-07-0j -6.65439e-06-0j 5.38606e-06-0j -3.1868e-06-0j -2.14749e-08-0j -2.92217e-06-0j 5.81064e-07-0j 2.5653e-08-0j -3.15253e-07-0j -1.39179e-08-0j 
-0.000332814-0j -5.54691e-05-0j 0.00652894-0j 0.000662891-0j -4.08568e-07-0j 0.0727961-0j -4.83832e-05-0j 0.00377685-0j -5.70201e-06-0j 0.000949151-0j 5.56383e-05-0j -2.65627e-08-0j 0.000187434-0j -0.000194925-0j -0.00719558-0j 0.00748317-0j -0.00223995-0j 1.56195e-05-0j 3.38171e-06-0j 0.00232948-0j -1.62438e-05-0j -3.51688e-06-0j -0.000373325-0j -0.000398732-0j 3.25406e-07-0j 0.000388246-0j 0.000414669-0j -6.63403e-05-0j -3.38411e-07-0j 6.89918e-05-0j -2.7498e-06-0j 2.8597e-06-0j 1.0719e-09-0j -1.11474e-09-0j -0.000145381-0j 0.000174778-0j -0.000104941-0j -2.26652e-05-0j 2.72483e-05-0j -1.63606e-05-0j -0.407534-0j 0.000615266-0j -1.60267e-05-0j 0.489942-0j -0.000739678-0j -0.294174-0j 0.000270864-0j 1.92675e-05-0j 0.000444122-0j -1.88877e-06-0j -2.36096e-07-0j -1.15687e-05-0j 0.000314402-0j -0.000325635-0j 2.27069e-06-0j 3.19216e-05-0j 2.83837e-07-0j 0.00019552-0j 4.82163e-05-0j -0.000377977-0j -1.96747e-08-0j -1.36338e-06-0j -1.70423e-07-0j -3.83764e-05-0j 0.000226947-0j 4.63158e-06-0j -5.79661e-05-0j 2.36531e-08-0j 2.30422e-05-0j 1.48706e-07-0j 3.48043e-05-0j -5.56813e-06-0j -1.42019e-08-0j -4.89911e-11-0j 3.34325e-06-0j -1.78776e-07-0j 5.88975e-11-0j 1.07342e-07-0j -3.53636e-11-0j 
4.80376e-05-0j -0.000763014-0j 4.90282e-06-0j 0.00444892-0j 0.00161807-0j -0.0105072-0j -0.000665543-0j 5.70201e-06-0j 0.00365866-0j -6.79267e-05-0j 0.00114433-0j 0.000175942-0j -2.70537e-05-0j 2.8135e-05-0j -0.09898-0j 0.102936-0j -3.38171e-06-0j -2.25448e-06-0j -0.00216986-0j 3.51688e-06-0j 2.34458e-06-0j 0.00225658-0j 5.3714e-05-0j -1.99269e-07-0j -0.000639859-0j -5.58609e-05-0j 2.07234e-07-0j -0.00022146-0j 0.000665433-0j 0.000230311-0j -0.000113908-0j 0.00011846-0j -1.06721e-05-0j 1.10986e-05-0j 2.09839e-05-0j -2.5227e-05-0j 1.5147e-05-0j -0.000311775-0j 0.000374819-0j -0.000225051-0j -0.000615266-0j -0.394781-0j 2.31326e-06-0j 0.000739678-0j 0.47461-0j -0.000444122-0j -3.89719e-05-0j -2.78102e-06-0j -0.284968-0j -2.59812e-05-0j 0.000464245-0j 1.6698e-06-0j 2.36096e-07-0j 4.68524e-05-0j 3.12349e-05-0j 0.000214238-0j -0.00055812-0j -2.81314e-05-0j -2.29644e-06-0j -2.83837e-07-0j 7.79184e-05-0j -1.87543e-05-0j 0.00033511-0j -0.00025756-0j 1.70423e-07-0j 4.73819e-05-0j 2.7608e-06-0j -9.36742e-05-0j 0.000154645-0j 1.03025e-05-0j -1.65766e-06-0j -5.69629e-05-0j 5.62444e-05-0j 6.83824e-07-0j 3.4202e-05-0j -1.23858e-05-0j -8.221e-07-0j 7.43676e-06-0j 4.9361e-07-0j 
0.000336263-0j 5.60439e-05-0j -0.0065966-0j -0.00066976-0j 4.12802e-07-0j 0.0710019-0j -4.71907e-05-0j 0.00368376-0j -5.56147e-06-0j 0.000925756-0j 5.42669e-05-0j -2.5908e-08-0j 0.000194925-0j -0.000196827-0j -0.00748317-0j 0.00755618-0j -0.00232948-0j 1.62438e-05-0j 3.51688e-06-0j 0.00235221-0j -1.64022e-05-0j -3.55119e-06-0j -0.000388246-0j -0.000414669-0j 3.38411e-07-0j 0.000392034-0j 0.000418715-0j -6.89918e-05-0j -3.41713e-07-0j 6.9665e-05-0j -2.8597e-06-0j 2.8876e-06-0j 1.11474e-09-0j -1.12562e-09-0j 0.000146887-0j -0.000175465-0j 9.51976e-05-0j 2.29001e-05-0j -2.73555e-05-0j 1.48415e-05-0j 0.411758-0j -0.000621642-0j 1.61928e-05-0j -0.491868-0j 0.000742587-0j 0.26686-0j -0.00027367-0j -1.93432e-05-0j -0.000402886-0j 1.90834e-06-0j 2.38542e-07-0j 1.04945e-05-0j -0.00031766-0j 0.000326915-0j -2.27962e-06-0j -3.22524e-05-0j -2.84953e-07-0j -0.000177366-0j -4.87159e-05-0j 0.000379463-0j 1.98785e-08-0j 1.23679e-06-0j 1.54599e-07-0j 3.85273e-05-0j -0.000205875-0j -4.67958e-06-0j 5.8194e-05-0j -2.37461e-08-0j -2.09028e-05-0j -1.50247e-07-0j -3.15728e-05-0j 5.59002e-06-0j 1.28833e-08-0j 4.94987e-11-0j -3.03283e-06-0j 1.79479e-07-0j -5.91291e-11-0j -9.73749e-08-0j 3.20801e-11-0j 
0.0587666-0j 0.00731001-0j -3.10082e-05-0j -6.32951e-06-0j -3.7297e-07-0j -0.000273697-0j 0.00854325-0j 0.00520614-0j 0.000751442-0j -4.50784e-06-0j -5.31254e-07-0j -2.42483e-08-0j 0.000171103-0j -0.000177941-0j 2.70537e-05-0j -2.8135e-05-0j -0.00413701-0j -0.00413109-0j -0.000597125-0j 0.00430236-0j 0.0042962-0j 0.000620991-0j -0.000514604-0j 1.26029e-06-0j -4.28837e-05-0j 0.000535172-0j -1.31066e-06-0j 3.15073e-07-0j 4.45977e-05-0j -3.27666e-07-0j 2.6256e-08-0j -2.73055e-08-0j 9.78505e-10-0j -1.01761e-09-0j -0.000132714-0j 0.00015955-0j -9.57979e-05-0j -2.06904e-05-0j 2.48742e-05-0j -1.49351e-05-0j -1.60267e-05-0j -2.31326e-06-0j -0.408536-0j 1.92675e-05-0j 2.78102e-06-0j -1.15687e-05-0j 0.000500263-0j 0.491147-0j -1.6698e-06-0j 0.000499548-0j 4.16886e-05-0j -0.294897-0j 0.000215564-0j -0.000601421-0j -0.000600561-0j 4.40018e-05-0j -5.01184e-05-0j 0.000361109-0j -1.52399e-07-0j -0.000259153-0j 2.59283e-06-0j 0.000360593-0j 3.00924e-05-0j -5.28994e-05-0j 0.000155602-0j -2.19969e-08-0j 1.83216e-07-0j -3.11713e-06-0j 3.17622e-05-0j -1.4199e-09-0j -1.10008e-07-0j 2.64449e-08-0j 1.8716e-06-0j -4.47225e-11-0j -1.58782e-08-0j 1.70701e-09-0j 5.37658e-11-0j -1.02493e-09-0j -3.22824e-11-0j 
-4.85354e-05-0j 0.000770921-0j -4.95363e-06-0j -0.00449503-0j -0.00163484-0j -0.0102482-0j -0.000649139-0j 5.56147e-06-0j 0.00356849-0j -6.62525e-05-0j 0.00111613-0j 0.000171605-0j -2.8135e-05-0j 2.84095e-05-0j -0.102936-0j 0.10394-0j -3.51688e-06-0j -2.34458e-06-0j -0.00225658-0j 3.55119e-06-0j 2.36746e-06-0j 0.0022786-0j 5.58609e-05-0j -2.07234e-07-0j -0.000665433-0j -5.64059e-05-0j 2.09256e-07-0j -0.000230311-0j 0.000671925-0j 0.000232558-0j -0.00011846-0j 0.000119616-0j -1.10986e-05-0j 1.12069e-05-0j -2.12014e-05-0j 2.53262e-05-0j -1.37406e-05-0j 0.000315006-0j -0.000376293-0j 0.000204155-0j 0.000621642-0j 0.398873-0j -2.33723e-06-0j -0.000742587-0j -0.476476-0j 0.000402886-0j 3.93757e-05-0j 2.79196e-06-0j 0.258509-0j 2.62505e-05-0j -0.000469056-0j -1.51476e-06-0j -2.38542e-07-0j -4.70366e-05-0j -3.13577e-05-0j -0.000216459-0j 0.000560315-0j 2.55194e-05-0j 2.32024e-06-0j 2.84953e-07-0j -7.87258e-05-0j 1.70129e-05-0j -0.000303995-0j 0.000258572-0j -1.54599e-07-0j -4.78729e-05-0j -2.77166e-06-0j 9.40425e-05-0j -0.000140287-0j -1.04093e-05-0j 1.50374e-06-0j 5.71869e-05-0j -5.10222e-05-0j -6.9091e-07-0j -3.10264e-05-0j 1.24345e-05-0j 8.25332e-07-0j -6.74626e-06-0j -4.47779e-07-0j 
