-0.294042-0j -0.363858-0j -0.212251-0j 0.10756-0j -0.0428542-0j -0.0262427-0j -0.0374974-0j -0.0154669-0j -0.0232169-0j -0.00335106-0j 0.0767964-0j 0.0110846-0j -0.0214136-0j -0.00309079-0j -0.0216355-0j -0.0187369-0j -0.00312282-0j -0.00270444-0j -0.0154572-0j -0.00223105-0j -0.00493864-0j -0.000712831-0j -0.017294-0j -0.00305717-0j -0.000254764-0j -0.0191409-0j -0.00338366-0j 0.0443106-0j -0.000281972-0j -0.0100881-0j 0.0447697-0j 0.00783307-0j -0.00178335-0j -0.0176542-0j 0.000652756-0j 0.00791425-0j -0.00624172-0j -0.000148612-0j -0.0102983-0j 0.000659521-0j -0.00312086-0j -0.010923-0j -0.00110339-0j -0.000260072-0j -0.0018205-0j -0.00637175-0j -9.19492e-05-0j -0.00193093-0j -0.000151708-0j -0.00166223-0j -0.00112638-0j -0.000160911-0j -9.38648e-05-0j -0.000293843-0j -2.44869e-05-0j -0.0138573-0j -0.00230955-0j -0.0014143-0j -0.000288694-0j -0.0151227-0j -1.70114e-05-0j -0.00252045-0j -0.011714-0j -0.00154345-0j -0.0118354-0j -0.000315056-0j 0.0313126-0j -1.85649e-05-0j -0.00195233-0j 0.0387474-0j -0.00119555-0j -0.00197256-0j 0.00521877-0j -0.00882158-0j 0.0226026-0j -0.00120794-0j -0.000244042-0j 0.00319583-0j -0.00763971-0j -0.000246571-0j -1.43803e-05-0j 0.000652346-0j 0.0064579-0j -0.0109161-0j -1.45293e-05-0j -0.00147026-0j 0.00395464-0j -0.00545807-0j 3.84399e-05-0j 0.00376711-0j -0.00450268-0j -0.000900348-0j -0.00127329-0j 0.00230687-0j 0.000807237-0j -0.00551463-0j -0.000779725-0j -0.00181936-0j -0.000183783-0j 4.75669e-05-0j 0.000470888-0j -0.00249178-0j -0.000909679-0j -0.000159161-0j -0.00111412-0j -0.000750447-0j -1.08295e-05-0j 2.77474e-05-0j -0.000549385-0j -0.000557062-0j -0.000919106-0j -0.00022742-0j -0.000459553-0j -9.37863e-06-0j -0.00011371-0j -0.000562835-0j -1.34008e-05-0j -0.000415296-0j -9.38058e-05-0j -0.000254316-0j -0.000114888-0j -6.70042e-06-0j -9.15642e-05-0j -5.52756e-06-0j -5.1912e-05-0j -5.60714e-05-0j -6.76985e-06-0j -3.05895e-06-0j -1.14455e-05-0j -6.74434e-07-0j 
0.00276275-0j -0.00328761-0j 0.00199426-0j -0.0162314-0j -0.0189366-0j 0.0338993-0j 0.015934-0j -0.00683458-0j 0.0812011-0j 0.0117129-0j -0.0234392-0j -0.00338102-0j 0.0184041-0j 0.00265471-0j -0.0193364-0j 0.0489529-0j -0.0027892-0j 0.00706126-0j 0.0132848-0j 0.00191627-0j -0.00441383-0j -0.000636676-0j 0.00016249-0j 0.1285-0j -0.000342516-0j -0.000703795-0j -0.556574-0j -0.000136726-0j 0.00148354-0j 9.47859e-05-0j 0.000143652-0j -0.108125-0j 0.0749584-0j -0.000159514-0j 0.000288207-0j 0.113603-0j -0.000286481-0j -0.000199801-0j 9.67606e-05-0j -0.000302808-0j -0.126146-0j -0.000300018-0j -0.226555-0j 0.000336242-0j 0.07652-0j -5.75715e-05-0j 0.00060388-0j -0.23726-0j -0.000203964-0j 1.56179e-05-0j -0.0455286-0j 0.000632415-0j 0.000121356-0j 0.0123509-0j -3.29214e-05-0j 0.0001302-0j -0.00102056-0j -0.00254131-0j 0.024527-0j 0.00014209-0j -3.05479e-05-0j -0.00111375-0j 0.000414195-0j -0.00277337-0j -0.000435177-0j 0.0267667-0j 0.000100472-0j -3.33374e-05-0j -0.00324661-0j -0.00011956-0j -0.00808446-0j 0.00341108-0j -0.000787539-0j 8.28855e-05-0j 7.25249e-05-0j 0.008494-0j 0.0780257-0j -0.00196107-0j -0.000209837-0j -0.0819784-0j -9.71795e-05-0j 0.0189269-0j 0.000937154-0j -9.8632e-05-0j 0.000102102-0j -0.000649687-0j 0.00233363-0j -0.000250514-0j -2.35731e-05-0j -0.000568476-0j 4.23062e-05-0j -0.0016178-0j 0.00164478-0j -0.00141558-0j -0.0225226-0j -0.000151468-0j 0.0040957-0j 0.000773113-0j 0.0156139-0j 2.80515e-05-0j 0.0136622-0j -2.25142e-05-0j 0.00196362-0j -0.0395289-0j 0.00192515-0j -0.000331611-0j -1.94468e-05-0j -1.7016e-05-0j 5.1619e-06-0j 0.00488965-0j 0.00118726-0j -0.0185802-0j -0.000825753-0j 4.92325e-05-0j -0.0471916-0j 0.00295643-0j 2.31413e-05-0j 0.000176475-0j 0.00796961-0j 0.000439444-0j -0.0285335-0j 5.87762e-05-0j -4.04608e-05-0j -9.92599e-06-0j -0.00424122-0j -0.000100753-0j 3.55379e-05-0j 5.28236e-06-0j 0.000972395-0j -1.2111e-06-0j 
-0.000230229-0j 0.000273968-0j -0.000166188-0j 0.00411537-0j 0.00480126-0j -0.00859495-0j -0.00403998-0j 0.00173287-0j 7.11387e-05-0j 0.139174-0j -2.05346e-05-0j -0.0401736-0j 1.61234e-05-0j 0.0315436-0j -1.69402e-05-0j 4.28867e-05-0j -0.0331415-0j 0.0839026-0j 1.16385e-05-0j 0.0227693-0j -3.86686e-06-0j -0.00756506-0j -1.35408e-05-0j 0.000342516-0j 0.124415-0j 5.86495e-05-0j -0.00148354-0j 1.13938e-05-0j -0.53888-0j -7.89882e-06-0j -1.1971e-05-0j -0.000288207-0j 0.000199801-0j 1.32928e-05-0j -0.104688-0j 0.000302808-0j 2.38734e-05-0j 0.0725754-0j -8.06338e-06-0j 0.109991-0j -0.000336242-0j 2.50015e-05-0j -0.00060388-0j -0.122136-0j 0.000203964-0j 4.79762e-06-0j -0.219352-0j -0.000632415-0j 0.0740874-0j -1.30149e-06-0j -0.000121356-0j -0.229717-0j -0.0440812-0j 3.29214e-05-0j 0.0119583-0j -1.085e-05-0j 0.000258755-0j -1.10737e-06-0j -0.00306382-0j -1.18408e-05-0j 0.0343213-0j 0.000282384-0j -3.45162e-05-0j -1.2085e-06-0j 3.62648e-05-0j -0.00334359-0j -8.3727e-06-0j 0.0374554-0j 0.000823157-0j 9.96333e-06-0j -3.5228e-06-0j -0.000864857-0j 0.000199676-0j -6.90713e-06-0j -6.04374e-06-0j 3.70126e-06-0j -0.00974666-0j -8.54536e-07-0j 1.74864e-05-0j 0.0102404-0j 0.109183-0j -0.00236428-0j -0.00023761-0j 8.21933e-06-0j -0.114715-0j 0.000164724-0j 1.01688e-06-0j 2.08761e-05-0j 0.026485-0j 0.000144134-0j -3.52551e-06-0j -7.04956e-07-0j -0.000417023-0j -6.16836e-07-0j 0.00281344-0j 1.26224e-05-0j 1.7847e-06-0j -0.000196018-0j -0.00195043-0j -0.0315165-0j -0.00170663-0j 1.87619e-06-0j -0.000497863-0j 0.0049378-0j 8.38882e-07-0j 8.40779e-05-0j 0.021849-0j 0.0191179-0j -4.30158e-07-0j 2.13066e-06-0j -0.000301023-0j 0.00232097-0j -3.59821e-07-0j -0.0553139-0j 0.00589499-0j 1.28826e-06-0j -0.0259998-0j -4.47441e-05-0j -0.000995532-0j 1.91488e-07-0j 0.00356429-0j -0.0660364-0j 1.02586e-05-0j 0.0111521-0j 0.000529796-0j -4.39028e-08-0j -0.0399277-0j -0.00593485-0j -0.000121468-0j 0.0013607-0j 
-0.00279138-0j 0.00331743-0j -0.00178038-0j 0.0163996-0j -0.0183755-0j 0.0117164-0j -0.0167281-0j 0.0323727-0j -0.0820426-0j -0.0118343-0j -0.0227447-0j -0.00328083-0j 0.0193364-0j 0.0027892-0j -0.0195215-0j -0.0162496-0j -0.00281589-0j -0.00234394-0j 0.012333-0j 0.00177899-0j 0.0464422-0j 0.0066991-0j -0.000164174-0j -0.129832-0j 0.000346066-0j -0.00068294-0j -0.540081-0j -0.000143652-0j 0.00143958-0j -9.57681e-05-0j 0.000145027-0j -0.113603-0j -0.0757352-0j 0.00016096-0j 0.000302808-0j 0.11469-0j -5.92535e-05-0j 0.000201872-0j -8.63832e-05-0j -0.000305706-0j 0.12729-0j 0.000103612-0j -0.0468588-0j -0.000339291-0j -0.0683134-0j -0.000283569-0j 0.000124902-0j 0.0819386-0j 0.000182089-0j -0.00028501-0j -0.224251-0j -0.000218407-0j 0.000597741-0j -0.225391-0j 0.000600778-0j -0.000131549-0j 0.00103113-0j 0.00256765-0j -0.0247812-0j 0.000137879-0j 3.08645e-05-0j -0.00108075-0j 0.000435177-0j -0.00269119-0j -0.000439342-0j 0.0259736-0j -0.000101514-0j -3.23496e-05-0j -0.00341108-0j 0.000120644-0j -0.008494-0j 0.00344372-0j 0.000795701-0j 8.04295e-05-0j -6.47467e-05-0j 0.0085753-0j 0.0819784-0j 0.00198139-0j -7.25249e-05-0j -0.082763-0j -0.000102102-0j -0.0191231-0j -0.000945653-0j 0.000103547-0j 0.00010308-0j -0.000630435-0j -0.00235479-0j 4.97632e-05-0j 2.38174e-05-0j 0.000507508-0j -0.000200388-0j -0.00156986-0j 0.000568476-0j 0.00126376-0j 0.0227269-0j -4.62573e-05-0j 0.00141558-0j -0.000811641-0j 0.0151512-0j -2.83059e-05-0j -0.0121969-0j -0.000246342-0j -0.000390062-0j -0.0136622-0j -0.00202109-0j 0.00157071-0j -1.88706e-05-0j 1.51911e-05-0j -0.000144106-0j -0.000971303-0j 0.000362581-0j 0.0195062-0j 0.00391126-0j 1.7016e-05-0j 0.00937436-0j 0.000902873-0j -2.42946e-05-0j 0.00193092-0j -0.0377489-0j 0.00480823-0j -0.00871392-0j -1.16756e-05-0j 0.00112956-0j 4.70155e-05-0j -0.0464058-0j 0.00281274-0j 1.0853e-05-0j 5.77975e-05-0j -0.0271467-0j 3.38106e-05-0j 
-0.00490364-0j 0.00312086-0j 0.0018205-0j 0.043388-0j 0.0336108-0j -0.0105859-0j -0.0151258-0j -0.00623909-0j -0.0189418-0j -0.00273227-0j 0.0626553-0j 0.00903777-0j 0.0339684-0j 0.0048998-0j 0.0343204-0j -0.0152868-0j 0.00495058-0j -0.00220505-0j -0.0126109-0j -0.00181908-0j -0.00402925-0j -0.000581203-0j 0.000148332-0j 0.117304-0j -0.000312673-0j 0.000164174-0j 0.129832-0j -0.000380057-0j -0.000346066-0j -0.000423001-0j -0.000383996-0j -0.300556-0j -0.334517-0j -0.000294414-0j 0.000801131-0j -0.303671-0j 5.3536e-05-0j 0.000891653-0j -0.000171742-0j 0.000809433-0j -0.232828-0j 9.3688e-05-0j 0.0423373-0j 0.000620602-0j -0.135816-0j 5.46514e-05-0j -0.00011285-0j 0.0740902-0j 0.000362018-0j 1.42571e-05-0j 0.0432193-0j -0.000197487-0j -0.000115201-0j 0.0112748-0j -3.0053e-05-0j 0.000118856-0j -0.000931635-0j -0.00231989-0j 0.02239-0j 0.000129709-0j -2.78863e-05-0j -0.00101671-0j 0.000100472-0j -0.00253173-0j 0.000101514-0j 0.0244346-0j 0.000522191-0j -3.04328e-05-0j -0.000787539-0j -0.000332341-0j -0.00196107-0j -0.000795701-0j -0.00409312-0j -0.000369893-0j -0.000193866-0j -0.00198139-0j 0.0189269-0j -0.0101924-0j -0.000127405-0j 0.0191231-0j -2.35731e-05-0j 0.0983699-0j 0.00260501-0j -0.000182045-0j -2.38174e-05-0j 0.00289936-0j 0.0064868-0j 4.68146e-05-0j -0.000122518-0j 0.00151959-0j -7.50898e-05-0j 0.00721976-0j 0.000998647-0j 0.00378397-0j -0.0626062-0j 4.72997e-05-0j 0.00248675-0j 0.00142694-0j -0.0696802-0j 7.79748e-05-0j -0.0365203-0j 2.13723e-05-0j -0.00036695-0j -0.0240005-0j 0.00355325-0j 0.000588581-0j 8.67854e-05-0j 4.54853e-05-0j 4.71215e-06-0j -0.00091375-0j -0.000370752-0j -0.0342935-0j 0.00146564-0j 2.98921e-05-0j 0.0088189-0j -0.00092322-0j 4.27119e-05-0j -0.000167524-0j -0.0141454-0j -0.000417155-0j 0.00891029-0j -1.09838e-05-0j -3.69355e-05-0j 1.76178e-05-0j 0.0040261-0j -9.1974e-05-0j -1.10976e-05-0j -5.01443e-06-0j 0.000887671-0j -1.10558e-06-0j 
0.0176542-0j -0.000415803-0j -0.0247303-0j -0.0064579-0j 5.09252e-05-0j -0.00460597-0j 0.00207929-0j -0.00271237-0j 0.00139394-0j 0.000201198-0j -9.12601e-05-0j -1.31723e-05-0j -0.00123636-0j -0.000178454-0j -0.00124757-0j -6.50895e-05-0j -0.000180072-0j -9.39486e-06-0j 0.00173192-0j 0.000249981-0j -0.00115672-0j -0.000166958-0j -0.148763-0j 0.000183552-0j 1.5296e-05-0j -0.00325884-0j 4.02094e-06-0j -0.366542-0j 3.35078e-07-0j -0.0867784-0j -0.369866-0j 0.00045226-0j 0.000107072-0j 0.00289045-0j 3.76883e-05-0j 0.000456361-0j 0.262279-0j 8.92267e-06-0j 0.171912-0j 3.80301e-05-0j -3.5664e-06-0j -0.2638-0j -0.000323615-0j -2.972e-07-0j -0.000212115-0j -0.153951-0j -2.69679e-05-0j 0.000325491-0j -1.76763e-05-0j 0.0697946-0j 0.000189953-0j 2.71242e-05-0j 1.58294e-05-0j -8.61165e-05-0j -7.17638e-06-0j 0.000831991-0j -0.0198668-0j 8.49147e-05-0j 1.73331e-05-0j 1.79709e-05-0j 1.02137e-06-0j -0.00042912-0j -0.000676333-0j 1.83415e-06-0j -0.000682467-0j 3.74393e-07-0j -0.00188001-0j 2.20613e-08-0j 0.0161499-0j 4.4279e-05-0j -6.9028e-05-0j 0.0162964-0j 0.0448919-0j 1.0483e-05-0j 0.00263354-0j -6.9654e-05-0j -1.40903e-05-0j -0.000191877-0j -0.00134088-0j -1.42181e-05-0j -8.30278e-07-0j -3.91668e-05-0j -0.00105732-0j 0.000605319-0j -8.37807e-07-0j -0.00025032-0j 4.51921e-06-0j -3.16839e-05-0j -2.30793e-06-0j -0.0628853-0j -0.000789619-0j 1.06992e-06-0j 0.0320183-0j 0.000268785-0j 9.2248e-07-0j 0.00187832-0j -0.000136853-0j -0.0144542-0j 2.18396e-07-0j 5.43577e-08-0j 5.48655e-05-0j 0.000561235-0j 0.000756568-0j -2.7935e-05-0j 6.17801e-05-0j 0.018855-0j 1.28691e-08-0j 3.23298e-06-0j -0.00019334-0j -3.23373e-06-0j -0.0448518-0j 1.26108e-05-0j -8.05901e-05-0j -1.64608e-06-0j -6.60081e-07-0j 0.000191706-0j 7.43099e-07-0j -0.0134015-0j -1.64504e-05-0j 5.72808e-05-0j 3.91317e-05-0j -3.88957e-08-0j 0.0046167-0j -9.69348e-07-0j 1.16924e-05-0j -1.97327e-05-0j 2.30586e-06-0j 6.88981e-07-0j -4.02792e-06-0j -2.37348e-07-0j 
0.000232615-0j -0.000276452-0j 0.000148365-0j -0.00415801-0j 0.00465899-0j -0.00297063-0j 0.00424131-0j -0.0082079-0j -7.18759e-05-0j -0.140617-0j -1.99262e-05-0j -0.0389831-0j 1.69402e-05-0j 0.0331415-0j -1.71024e-05-0j -1.42359e-05-0j -0.0334587-0j -0.0278509-0j 1.08047e-05-0j 0.0211381-0j 4.06871e-05-0j 0.0795994-0j 1.36812e-05-0j -0.000346066-0j -0.125704-0j 5.69116e-05-0j -0.00143958-0j 1.1971e-05-0j -0.522912-0j 7.98068e-06-0j -1.20856e-05-0j -0.000302808-0j -0.000201872-0j -1.34133e-05-0j -0.109991-0j 0.000305706-0j 4.93779e-06-0j -0.0733275-0j 7.1986e-06-0j 0.111044-0j 0.000339291-0j -8.63437e-06-0j -0.000124902-0j 0.123244-0j -0.000182089-0j 2.36307e-05-0j -0.0453691-0j 0.000218407-0j -0.0661417-0j 2.37508e-05-0j -0.000597741-0j 0.0793337-0j -0.217122-0j -0.000600778-0j -0.218226-0j 1.09624e-05-0j -0.000261437-0j 1.11885e-06-0j 0.00309557-0j -1.14899e-05-0j -0.034677-0j 0.000274017-0j -3.62648e-05-0j -1.17269e-06-0j 3.66119e-05-0j -0.00324452-0j 8.45947e-06-0j 0.0363455-0j 0.000864857-0j -1.00537e-05-0j -3.70126e-06-0j -0.000873135-0j -0.000201745-0j -6.70246e-06-0j 5.39556e-06-0j 3.73668e-06-0j -0.0102404-0j 8.63391e-07-0j 6.04374e-06-0j 0.0103384-0j 0.114715-0j 0.00238878-0j 0.000239764-0j -8.62894e-06-0j -0.115813-0j 0.000159843-0j -1.0261e-06-0j -4.14693e-06-0j -0.0267594-0j -0.000128676-0j 1.6699e-05-0j -6.84067e-07-0j -0.000144134-0j 5.50682e-07-0j -0.00283895-0j 3.85477e-06-0j 6.16836e-07-0j 0.000205787-0j -0.00189263-0j 0.0318023-0j 0.00152359-0j 2.05285e-05-0j 9.88978e-05-0j 0.00170663-0j -8.80688e-07-0j -0.000398244-0j 0.0212015-0j -0.0170675-0j 1.20089e-05-0j -4.23245e-07-0j -9.19303e-05-0j -0.00243663-0j 1.70433e-06-0j -0.0191179-0j -0.00117101-0j 3.93426e-07-0j 0.0272955-0j -0.000489573-0j 0.00471544-0j 2.09518e-06-0j 0.00108851-0j 0.0131178-0j -0.000286392-0j -0.052823-0j 0.00579683-0j 1.22565e-06-0j -0.0121936-0j -0.0649369-0j 0.00339105-0j -0.037987-0j 
-0.0575368-0j 0.000288258-0j -0.0164869-0j 0.00147026-0j -0.00016597-0j 0.00105041-0j -0.00144148-0j -0.00180825-0j 0.000929292-0j 0.000134132-0j 2.07771e-05-0j 2.99891e-06-0j -0.00419013-0j -0.000604793-0j 0.00406596-0j 1.48439e-05-0j 0.000586871-0j 2.14253e-06-0j -0.00120066-0j -0.0001733-0j -0.000771146-0j -0.000111305-0j -0.0991753-0j 0.000122368-0j 1.01973e-05-0j -0.00217256-0j 2.68063e-06-0j -0.0867784-0j 2.23385e-07-0j -0.379555-0j 0.0842069-0j 0.000107072-0j 0.000468316-0j 0.00979595-0j 8.92267e-06-0j -0.000103899-0j -0.0357942-0j 3.90263e-05-0j -0.560279-0j -8.65827e-06-0j -1.20868e-05-0j 0.0601603-0j 4.4165e-05-0j -1.00723e-06-0j 0.000691304-0j 0.106727-0j 3.68041e-06-0j -7.42292e-05-0j 5.76086e-05-0j 0.0465297-0j -0.000131686-0j -6.18577e-06-0j -1.09738e-05-0j -5.7411e-05-0j -4.78425e-06-0j 0.000554661-0j -0.0132445-0j 5.66098e-05-0j 1.15554e-05-0j 1.19806e-05-0j 6.8091e-07-0j -0.00028608-0j 0.000468871-0j 1.22276e-06-0j -0.000454978-0j 2.49596e-07-0j -0.00209243-0j 1.47076e-08-0j -0.011196-0j 1.0483e-05-0j 4.7854e-05-0j 0.0108642-0j 0.0499644-0j 4.58511e-05-0j -0.000599576-0j -4.6436e-05-0j 9.76816e-06-0j -0.000213558-0j -0.00149491-0j -9.4787e-06-0j 5.75594e-07-0j -4.35923e-05-0j -0.00025032-0j 0.00205147-0j -5.58538e-07-0j -0.00109486-0j 1.06992e-06-0j 4.32402e-06-0j -2.5687e-06-0j 0.014317-0j 0.00257344-0j 4.67965e-06-0j 0.0356963-0j -6.1194e-05-0j 2.18396e-07-0j -0.000428358-0j -0.000152573-0j -0.0489863-0j 9.5523e-07-0j 1.28691e-08-0j -1.24912e-05-0j -0.000389079-0j -0.000103252-0j -3.11439e-05-0j 0.000209377-0j -0.0614502-0j 5.62875e-08-0j -7.36049e-07-0j -0.000128893-0j 4.41319e-07-0j 0.0102286-0j 4.27389e-05-0j 0.000262651-0j -1.83517e-06-0j 9.00838e-08-0j -4.37191e-05-0j 2.51842e-06-0j 0.00929067-0j 5.36134e-05-0j -3.97102e-05-0j -8.92412e-06-0j 5.30824e-09-0j 0.0030778-0j 3.1592e-06-0j -8.10582e-06-0j -1.31551e-05-0j -5.25859e-07-0j -4.7764e-07-0j -2.68528e-06-0j -1.58232e-07-0j 
0.000408637-0j -0.000260072-0j -0.000151708-0j -0.0110008-0j -0.00852182-0j 0.00268399-0j 0.00383506-0j 0.00158188-0j -1.65945e-05-0j -0.0324652-0j 5.4891e-05-0j 0.107388-0j 2.9759e-05-0j 0.05822-0j 3.00674e-05-0j -1.33924e-05-0j 0.0588233-0j -0.0262007-0j -1.10482e-05-0j -0.0216144-0j -3.52995e-06-0j -0.00690592-0j -1.2361e-05-0j 0.000312673-0j 0.113575-0j -1.36812e-05-0j 0.000346066-0j 3.16714e-05-0j 0.125704-0j 3.52501e-05-0j 3.19997e-05-0j -0.000801131-0j -0.000891653-0j 2.45345e-05-0j -0.291001-0j -0.000809433-0j -4.46133e-06-0j -0.323882-0j 1.43118e-05-0j -0.294017-0j -0.000620602-0j -7.80734e-06-0j 0.00011285-0j -0.225426-0j -0.000362018-0j -4.55428e-06-0j 0.0409913-0j 0.000197487-0j -0.131499-0j -1.1881e-06-0j 0.000115201-0j 0.0717348-0j 0.0418453-0j 3.0053e-05-0j 0.0109164-0j -9.90465e-06-0j 0.00023621-0j -1.01089e-06-0j -0.00279687-0j -1.08091e-05-0j 0.0313309-0j 0.00025778-0j -8.3727e-06-0j -1.1032e-06-0j -8.45947e-06-0j -0.00305227-0j -4.35159e-05-0j 0.0341919-0j 0.000199676-0j 2.76951e-05-0j -8.54536e-07-0j 0.000201745-0j 0.00103778-0j 3.08244e-05-0j 1.61555e-05-0j -8.63391e-07-0j -0.00236428-0j -4.44132e-06-0j 1.06171e-05-0j -0.00238878-0j 0.026485-0j -0.012288-0j -0.000660484-0j 1.51704e-05-0j 0.0267594-0j -0.000735114-0j 2.82662e-06-0j -3.90122e-06-0j 0.137652-0j -0.000385283-0j 6.25748e-06-0j 3.14601e-06-0j -0.000253201-0j 1.64886e-06-0j 0.00782052-0j -3.94164e-06-0j 1.0836e-06-0j -0.000361791-0j 0.00870418-0j -0.0876066-0j 0.00456197-0j -1.78102e-06-0j 9.30378e-05-0j 0.00299804-0j 1.54833e-06-0j -0.000149231-0j -0.0975054-0j -0.0511038-0j -3.92679e-07-0j -3.98166e-07-0j 9.4002e-05-0j 0.00428381-0j 6.38652e-07-0j -0.0335845-0j -0.00110162-0j -4.02292e-07-0j -0.0479879-0j 4.24746e-05-0j 0.00176698-0j -1.81775e-07-0j -0.00111304-0j 0.0123405-0j 9.36477e-06-0j -0.019794-0j -0.000502924-0j -4.00776e-08-0j 0.0124684-0j 0.00563383-0j -0.000110884-0j 0.00124214-0j 
-0.0102983-0j 0.0247303-0j -0.028411-0j 0.00376711-0j 0.00291267-0j -0.000919106-0j -0.00116041-0j -0.000662822-0j -0.00081313-0j -0.000117365-0j -0.00521962-0j -0.000753387-0j -0.000749975-0j -0.00010825-0j -0.000669542-0j 0.00127349-0j -9.66401e-05-0j 0.000183813-0j -0.00206903-0j -0.000298639-0j 0.00217284-0j 0.000313622-0j 0.0867784-0j -0.000107072-0j -8.92267e-06-0j -0.186389-0j 0.000229977-0j -0.222343-0j 1.91648e-05-0j 0.0506207-0j -0.198498-0j 0.00027434-0j -6.24587e-05-0j -0.171912-0j 2.28617e-05-0j 0.000244918-0j 0.03132-0j -5.20489e-06-0j 0.197499-0j 2.04098e-05-0j 0.000212115-0j 0.0484298-0j -3.86443e-05-0j 1.76763e-05-0j -0.000243685-0j 0.0391213-0j -3.22036e-06-0j -5.97554e-05-0j -2.03071e-05-0j -0.360205-0j -4.82701e-05-0j -4.97962e-06-0j -4.0225e-06-0j 0.000444442-0j 3.70368e-05-0j -0.000485328-0j 0.011589-0j -4.95336e-05-0j -1.0111e-05-0j 0.00102784-0j -5.95796e-07-0j -0.0245435-0j -0.000410263-0j 0.000104904-0j -0.000366263-0j 2.14134e-05-0j 0.00109667-0j 1.2618e-06-0j 0.0097965-0j -0.00263354-0j -4.18722e-05-0j 0.00874585-0j -0.026187-0j 0.000599576-0j 0.0030255-0j -3.73815e-05-0j -8.54714e-06-0j 0.000111928-0j -0.000267568-0j -7.63048e-06-0j -5.03645e-07-0j 2.28473e-05-0j 0.0628853-0j -0.000337816-0j -4.4963e-07-0j -0.014317-0j -0.000268785-0j 0.000370969-0j 1.34629e-06-0j -0.0722447-0j -0.000192959-0j 6.1194e-05-0j 0.00638915-0j 0.000308789-0j -5.48655e-05-0j -0.000738167-0j -2.73085e-05-0j 0.00806657-0j 1.24912e-05-0j -3.23298e-06-0j 6.30312e-05-0j 0.0010963-0j -0.00885822-0j -5.57433e-06-0j -3.44782e-05-0j 0.00460759-0j 7.36049e-07-0j 3.71415e-06-0j 0.00185291-0j 3.78618e-05-0j 0.0176264-0j -7.03782e-06-0j -1.96938e-05-0j -3.2847e-07-0j 7.72851e-06-0j -7.53388e-05-0j -4.14708e-07-0j -0.0261781-0j -4.01998e-06-0j 0.00011189-0j -1.53785e-05-0j 4.55407e-07-0j -0.0442449-0j -2.36879e-07-0j 2.28395e-05-0j 0.000189112-0j -9.06185e-07-0j 1.34583e-06-0j 3.86022e-05-0j 2.27466e-06-0j 
-0.0198178-0j -0.0368709-0j 0.00735747-0j 0.00127329-0j -0.00288829-0j 0.0007728-0j -0.00379973-0j 0.000536145-0j 0.00080479-0j 0.000116161-0j 0.000909107-0j 0.000131218-0j 0.004219-0j 0.000608961-0j -0.00145819-0j 0.000551768-0j -0.000210472-0j 7.96409e-05-0j -0.00156633-0j -0.00022608-0j 0.000171193-0j 2.47096e-05-0j -0.0858883-0j 0.000105974-0j 8.83115e-06-0j -0.0950609-0j 0.000117292-0j 0.219692-0j 9.77429e-06-0j 0.244928-0j -0.0759311-0j -0.000271069-0j -0.000302206-0j -0.498344-0j -2.25891e-05-0j 9.3688e-05-0j -0.381857-0j -2.51839e-05-0j 0.0994428-0j 7.80734e-06-0j 0.000614885-0j -0.0460851-0j 0.000471157-0j 5.12404e-05-0j -0.000122698-0j 0.0925063-0j 3.92631e-05-0j 5.68625e-05-0j -1.02248e-05-0j -0.00825526-0j -0.000114139-0j 4.73854e-06-0j -9.51162e-06-0j 1.01858e-05-0j 8.48817e-07-0j 0.00048035-0j -0.0114701-0j 4.90255e-05-0j 1.00073e-05-0j 0.000524214-0j 5.89686e-07-0j -0.0125175-0j -0.00118702-0j 5.35024e-05-0j 0.000410263-0j 1.09211e-05-0j -0.000720712-0j 6.43534e-07-0j 0.0283443-0j -0.00134088-0j -0.000121149-0j -0.0097965-0j 0.0172096-0j -0.00149491-0j 0.000267568-0j 4.18722e-05-0j -2.47295e-05-0j -7.35573e-05-0j -0.000437424-0j 8.54714e-06-0j -1.4572e-06-0j -1.50148e-05-0j 0.0320183-0j 0.00215075-0j 5.03645e-07-0j 0.0356963-0j -0.000136853-0j 0.00233064-0j -8.84757e-07-0j -0.00638915-0j -0.000303472-0j -0.000152573-0j 0.0104451-0j 2.73085e-05-0j -2.7935e-05-0j 0.000162396-0j -4.46445e-05-0j -0.0513568-0j -3.11439e-05-0j -1.64608e-06-0j 5.57433e-06-0j -0.0002525-0j -0.0556525-0j -9.11301e-06-0j 0.00021951-0j 0.00724648-0j -1.83517e-06-0j 3.2847e-07-0j 1.90439e-05-0j 0.00023787-0j -0.00387779-0j 4.48072e-05-0j -3.0973e-05-0j -5.36989e-07-0j 4.8555e-05-0j 1.65745e-05-0j 2.64029e-06-0j 0.00602935-0j -6.32233e-06-0j -2.57707e-05-0j 3.38325e-06-0j 2.86113e-06-0j -0.000454742-0j -3.72547e-07-0j -5.26041e-06-0j 1.94366e-06-0j 1.9936e-07-0j -3.09973e-07-0j 3.96748e-07-0j 2.33786e-08-0j 
