-0.225061-0j 0.754544-0j -0.207581-0j -0.209732-0j -0.181633-0j -0.14984-0j -0.0478745-0j -0.0295614-0j -0.0327184-0j 0.0767687-0j -0.0172441-0j 0.0775643-0j -0.0301772-0j -0.0106693-0j -0.0176034-0j -0.0186712-0j -0.0108915-0j -0.00284133-0j -0.0192918-0j -0.00278453-0j -0.0210534-0j -0.0030388-0j -0.0163079-0j -0.00235384-0j -0.0164769-0j 0.0441834-0j -0.00237824-0j 0.00637733-0j 0.0546742-0j -0.0122812-0j 0.00789154-0j 0.0318933-0j -0.0106358-0j -0.00177263-0j 0.0046034-0j -0.00153514-0j -0.0151972-0j -0.00759858-0j -0.00219352-0j -0.00626851-0j -0.00767732-0j -0.00109676-0j -0.000904781-0j -0.00110813-0j -0.00346898-0j -0.000500705-0j -0.000764839-0j -0.000110395-0j 
0.00616118-0j -0.0272363-0j 0.00568265-0j 0.0602071-0j -0.0194585-0j -0.0522436-0j 0.0651887-0j -0.0381575-0j 0.165272-0j -0.0333878-0j -0.0222585-0j -0.35374-0j 0.152435-0j -0.0137718-0j 0.289397-0j -0.252724-0j 0.261754-0j -0.517933-0j 0.000528124-0j -0.0072647-0j -0.00225547-0j 0.0310255-0j 0.000446439-0j -0.00614107-0j 0.00472998-0j 0.000407541-0j -0.065064-0j -0.005606-0j -0.00197354-0j -0.00131569-0j 0.0271473-0j -0.00374674-0j 0.000291162-0j 0.0180982-0j 0.0515389-0j -0.00400512-0j 0.0043626-0j -0.000814043-0j -0.0600105-0j -0.00319505-0j -0.0026768-0j 0.0111977-0j 0.04395-0j 0.0368212-0j 0.00472357-0j -0.0649759-0j -0.000277936-0j 0.00382319-0j 
0.0186376-0j 0.0210534-0j 0.01719-0j 0.0173682-0j 0.0150413-0j 0.0124084-0j 0.00396455-0j -0.0122141-0j 0.00270946-0j 0.00214202-0j 0.00142801-0j 0.00216421-0j 0.00249902-0j 0.000883536-0j 0.00145776-0j 0.00154619-0j 0.000901943-0j 0.000235294-0j -0.152736-0j 0.00023059-0j 0.831651-0j -0.00125557-0j -0.129113-0j 0.000194925-0j -0.130451-0j -0.117863-0j 0.000196945-0j 0.000177941-0j -0.145848-0j -0.0972323-0j 0.000220191-0j -0.0850782-0j -0.0842056-0j 0.000146794-0j 0.000128445-0j 0.000127127-0j -0.120319-0j -0.0601594-0j 0.000181648-0j -0.049629-0j -0.0607828-0j 9.08242e-05-0j 7.49262e-05-0j 9.17655e-05-0j -0.0274646-0j 4.1464e-05-0j -0.00605537-0j 9.14196e-06-0j 
-0.00269011-0j -0.0030388-0j -0.00248117-0j -0.00250688-0j -0.00217102-0j -0.001791-0j -0.000572234-0j -0.168013-0j 0.0372704-0j 0.0294649-0j 0.0196432-0j 0.0297702-0j 0.0343757-0j 0.0121536-0j 0.0200525-0j 0.0212689-0j 0.0124068-0j 0.00323663-0j -0.00023059-0j -0.147957-0j 0.00125557-0j 0.805626-0j -0.000194925-0j -0.125072-0j -0.000196945-0j -0.000177941-0j -0.126369-0j -0.114175-0j -0.000220191-0j -0.000146794-0j -0.141284-0j -0.000128445-0j -0.000127127-0j -0.0941896-0j -0.0824159-0j -0.0815706-0j -0.000181648-0j -9.08242e-05-0j -0.116554-0j -7.49262e-05-0j -9.17655e-05-0j -0.0582768-0j -0.0480759-0j -0.0588808-0j -4.1464e-05-0j -0.0266052-0j -9.14196e-06-0j -0.00586589-0j 
0.0820069-0j -0.000403724-0j -0.0190259-0j 0.0185569-0j -0.000288435-0j 0.0267534-0j 0.0171717-0j -0.00270946-0j 0.000206556-0j -0.00237078-0j -0.00158052-0j 0.00231234-0j -4.79217e-05-0j -0.000977895-0j 0.00314303-0j 0.00165202-0j 0.00292562-0j 0.00127504-0j 0.169048-0j -0.000255217-0j 0.00319636-0j -4.82563e-06-0j -0.568106-0j 0.000857685-0j 0.554103-0j 0.130451-0j -0.000836545-0j -0.000196945-0j 0.00279682-0j 0.00186454-0j -4.22243e-06-0j -0.183434-0j 0.0931985-0j -2.81495e-06-0j 0.000276936-0j -0.000140704-0j -0.128554-0j 0.00115363-0j 0.000194081-0j -0.160981-0j -0.131052-0j -1.74166e-06-0j 0.000243037-0j 0.000197852-0j -0.118958-0j 0.000179594-0j -0.0393996-0j 5.94826e-05-0j 
-0.0118367-0j 5.82726e-05-0j 0.00274615-0j -0.00267846-0j 4.1632e-05-0j -0.00386152-0j -0.00247852-0j -0.0372704-0j 0.00284131-0j -0.0326116-0j -0.0217411-0j 0.0318078-0j -0.000659194-0j -0.0134516-0j 0.0432344-0j 0.0227246-0j 0.0402439-0j 0.0175391-0j 0.000255217-0j 0.163758-0j 4.82563e-06-0j 0.00309634-0j -0.000857685-0j -0.550328-0j 0.000836545-0j 0.000196945-0j 0.536764-0j 0.126369-0j 4.22243e-06-0j 2.81495e-06-0j 0.0027093-0j -0.000276936-0j 0.000140704-0j 0.0018062-0j -0.177694-0j 0.0902821-0j -0.000194081-0j 1.74166e-06-0j -0.124531-0j -0.000243037-0j -0.000197852-0j 0.00111753-0j -0.155943-0j -0.126951-0j -0.000179594-0j -0.115235-0j -5.94826e-05-0j -0.0381667-0j 
-0.0163079-0j 0.0546742-0j 0.0146131-0j -0.0151972-0j 0.038734-0j 0.0105483-0j -0.00346898-0j -0.00214202-0j -0.00237078-0j -0.0054043-0j -0.00124951-0j 0.00562031-0j 0.00212439-0j 0.00379945-0j -0.00127554-0j 0.00398172-0j 0.000766734-0j -0.000205882-0j 0.133644-0j -0.000201767-0j 0.145848-0j -0.000220191-0j -0.109758-0j 0.000165704-0j 0.114144-0j -0.306082-0j -0.000172327-0j 0.000462101-0j 0.367975-0j 0.0850782-0j -0.000555542-0j -0.220942-0j -0.216845-0j -0.000128445-0j 0.000333562-0j 0.000327376-0j -0.102282-0j -0.258702-0j 0.000154418-0j 0.0434253-0j -0.156527-0j 0.000390569-0j -6.55604e-05-0j 0.000236313-0j -0.0233474-0j 3.52482e-05-0j 0.00529845-0j -7.99922e-06-0j 
-0.0108719-0j -0.0122812-0j 0.0494679-0j 0.0499805-0j -0.00877408-0j -0.00723825-0j -0.00231266-0j -0.00142801-0j -0.00158052-0j -0.00124951-0j -0.00561035-0j -0.00126246-0j 0.00719143-0j -0.000515396-0j 0.004195-0j -0.000901943-0j -0.000526134-0j -0.000137255-0j 0.0890963-0j -0.000134511-0j 0.0972323-0j -0.000146794-0j 0.0753158-0j -0.000113706-0j 0.0760963-0j -0.339176-0j -0.000114885-0j 0.000512063-0j 0.0850782-0j 0.382005-0j -0.000128445-0j 0.049629-0j -0.242319-0j -0.000576723-0j -7.49262e-05-0j 0.000365835-0j -0.346242-0j 0.035093-0j 0.000522731-0j -0.142817-0j 0.0354566-0j -5.29808e-05-0j 0.000215615-0j -5.35299e-05-0j 0.016021-0j -2.41874e-05-0j 0.0035323-0j -5.33281e-06-0j 
0.00235384-0j -0.00789154-0j -0.00210922-0j 0.00219352-0j -0.00559078-0j -0.00152251-0j 0.000500705-0j -0.0294649-0j -0.0326116-0j -0.0743398-0j -0.0171878-0j 0.0773111-0j 0.0292224-0j 0.0522639-0j -0.0175459-0j 0.0547712-0j 0.0105469-0j -0.00283205-0j 0.000201767-0j 0.129462-0j 0.000220191-0j 0.141284-0j -0.000165704-0j -0.106323-0j 0.000172327-0j -0.000462101-0j 0.110573-0j -0.296504-0j 0.000555542-0j 0.000128445-0j 0.35646-0j -0.000333562-0j -0.000327376-0j 0.0824159-0j -0.214028-0j -0.210059-0j -0.000154418-0j -0.000390569-0j -0.0990812-0j 6.55604e-05-0j -0.000236313-0j -0.250606-0j 0.0420664-0j -0.151629-0j -3.52482e-05-0j -0.0226168-0j 7.99922e-06-0j 0.00513265-0j 
0.0164769-0j 0.0533266-0j 0.0151972-0j -0.0153454-0j -0.0128367-0j 0.00984927-0j 0.0367535-0j 0.00216421-0j -0.00231234-0j -0.00562031-0j 0.00126246-0j 0.00567514-0j -0.00213274-0j 0.000781106-0j 0.00115711-0j -0.00136611-0j 0.00376872-0j 0.00378118-0j -0.135029-0j 0.000203857-0j 0.142254-0j -0.000214764-0j -0.114144-0j 0.000172327-0j 0.115258-0j 0.309254-0j -0.000174008-0j -0.00046689-0j -0.369422-0j 0.0829812-0j 0.000557727-0j 0.200428-0j -0.0744434-0j -0.000125279-0j -0.000302591-0j 0.000112389-0j 0.106306-0j 0.051342-0j -0.000160493-0j -0.207372-0j -0.0482468-0j -7.75124e-05-0j 0.000313075-0j 7.28394e-05-0j -0.254612-0j 0.000384394-0j -0.148822-0j 0.000224681-0j 
0.00156923-0j 0.00177263-0j -0.00714007-0j -0.00721406-0j 0.00126643-0j 0.00104475-0j 0.000333803-0j -0.0196432-0j -0.0217411-0j -0.0171878-0j -0.0771741-0j -0.0173659-0j 0.098923-0j -0.00708962-0j 0.0577051-0j -0.0124068-0j -0.00723732-0j -0.00188803-0j 0.000134511-0j 0.0863082-0j 0.000146794-0j 0.0941896-0j 0.000113706-0j 0.0729589-0j 0.000114885-0j -0.000512063-0j 0.073715-0j -0.328562-0j 0.000128445-0j 0.000576723-0j 0.0824159-0j 7.49262e-05-0j -0.000365835-0j 0.370051-0j 0.0480759-0j -0.234736-0j -0.000522731-0j 5.29808e-05-0j -0.335407-0j -0.000215615-0j 5.35299e-05-0j 0.0339948-0j -0.138348-0j 0.0343471-0j 2.41874e-05-0j 0.0155197-0j 5.33281e-06-0j 0.00342177-0j 
-0.00237824-0j -0.00769703-0j -0.00219352-0j 0.00221492-0j 0.00185282-0j -0.00142162-0j -0.00530491-0j 0.0297702-0j -0.0318078-0j -0.0773111-0j 0.0173659-0j 0.0780653-0j -0.0293373-0j 0.0107446-0j 0.0159168-0j -0.0187918-0j 0.0518413-0j 0.0520127-0j -0.000203857-0j -0.130804-0j 0.000214764-0j 0.137802-0j -0.000172327-0j -0.110573-0j 0.000174008-0j 0.00046689-0j 0.111651-0j 0.299577-0j -0.000557727-0j 0.000125279-0j -0.357862-0j 0.000302591-0j -0.000112389-0j 0.0803845-0j 0.194156-0j -0.0721139-0j 0.000160493-0j 7.75124e-05-0j 0.102979-0j -0.000313075-0j -7.28394e-05-0j 0.0497354-0j -0.200883-0j -0.046737-0j -0.000384394-0j -0.246644-0j -0.000224681-0j -0.144165-0j 
0.0190259-0j 0.000372368-0j 0.0335279-0j 0.0336597-0j -0.00078295-0j 0.023973-0j -0.015838-0j 0.00249902-0j 4.79217e-05-0j -0.00212439-0j -0.00719143-0j -0.00213274-0j 8.44487e-05-0j -0.00443269-0j 0.00570101-0j 0.00448437-0j 0.00262157-0j -0.00117601-0j -0.155918-0j 0.000235394-0j -0.0029481-0j 4.45083e-06-0j 0.128051-0j -0.000193321-0j 0.128554-0j 0.236619-0j -0.000194081-0j -0.000357231-0j 0.00250616-0j 0.00848377-0j -3.78361e-06-0j 0.169187-0j -0.497522-0j -1.28082e-05-0j -0.000255426-0j 0.000751123-0j 0.226541-0j 0.00522926-0j -0.000342015-0j -0.291997-0j -0.355737-0j -7.89476e-06-0j 0.000440835-0j 0.000537066-0j -0.106595-0j 0.000160929-0j 0.0363395-0j -5.48627e-05-0j 
0.00672667-0j 0.00759858-0j -0.0304912-0j 0.00626851-0j 0.0678176-0j -0.0220097-0j 0.00143088-0j 0.000883536-0j 0.000977895-0j -0.00379945-0j 0.000515396-0j 0.000781106-0j -0.00443269-0j 0.00230929-0j 0.000526134-0j 0.0069714-0j -0.00159984-0j 8.49221e-05-0j -0.0551255-0j 8.32245e-05-0j -0.0601594-0j 9.08242e-05-0j 0.229017-0j -0.000345753-0j -0.0470822-0j -0.0425391-0j 7.10812e-05-0j 6.42224e-05-0j 0.258702-0j -0.035093-0j -0.000390569-0j -0.0307064-0j -0.379663-0j 5.29808e-05-0j 4.63582e-05-0j 0.000573187-0j 0.213418-0j -0.157238-0j -0.000322203-0j -0.017912-0j -0.274055-0j 0.000237386-0j 2.70423e-05-0j 0.000413749-0j 0.0487159-0j -7.35478e-05-0j -0.0021855-0j 3.29951e-06-0j 
-0.00274615-0j -5.37466e-05-0j -0.00483933-0j -0.00485836-0j 0.000113009-0j -0.00346021-0j 0.00228602-0j 0.0343757-0j 0.000659194-0j -0.0292224-0j -0.098923-0j -0.0293373-0j 0.00116165-0j -0.0609746-0j 0.0784212-0j 0.0616855-0j 0.0360615-0j -0.0161768-0j -0.000235394-0j -0.151039-0j -4.45083e-06-0j -0.00285585-0j 0.000193321-0j 0.124043-0j 0.000194081-0j 0.000357231-0j 0.124531-0j 0.229215-0j 3.78361e-06-0j 1.28082e-05-0j 0.00242773-0j 0.000255426-0j -0.000751123-0j 0.00821829-0j 0.163893-0j -0.481953-0j 0.000342015-0j 7.89476e-06-0j 0.219452-0j -0.000440835-0j -0.000537066-0j 0.00506563-0j -0.282859-0j -0.344605-0j -0.000160929-0j -0.103259-0j 5.48627e-05-0j 0.0352023-0j 
-0.0110984-0j 0.0244224-0j 0.020131-0j 0.0182618-0j 0.0174482-0j -0.0284042-0j 0.0300683-0j -0.00145776-0j 0.00314303-0j -0.00127554-0j 0.004195-0j -0.00115711-0j -0.00570101-0j -0.000526134-0j 0.0065625-0j -0.000826677-0j -0.000643025-0j 0.00611598-0j 0.0909524-0j -0.000137313-0j -0.193357-0j 0.000291916-0j 0.0768849-0j -0.000116075-0j 0.0697461-0j -0.138028-0j -0.000105298-0j 0.000208385-0j -0.169187-0j 0.556423-0j 0.000255426-0j 0.194753-0j -0.0986119-0j -0.000840047-0j -0.000294024-0j 0.000148877-0j -0.12651-0j -0.0697861-0j 0.000190995-0j -0.0695826-0j 0.139138-0j 0.000105358-0j 0.000105051-0j -0.000210061-0j -0.208299-0j 0.000314475-0j -0.350627-0j 0.000529351-0j 
-0.000970911-0j -0.00109676-0j 0.00440103-0j -0.000904781-0j -0.00978862-0j 0.00317683-0j -0.00020653-0j 0.0121536-0j 0.0134516-0j -0.0522639-0j 0.00708962-0j 0.0107446-0j -0.0609746-0j 0.0317658-0j 0.00723732-0j 0.0958962-0j -0.0220069-0j 0.00116816-0j -8.32245e-05-0j -0.0534005-0j -9.08242e-05-0j -0.0582768-0j 0.000345753-0j 0.22185-0j -7.10812e-05-0j -6.42224e-05-0j -0.0456088-0j -0.0412079-0j 0.000390569-0j -5.29808e-05-0j 0.250606-0j -4.63582e-05-0j -0.000573187-0j -0.0339948-0j -0.0297455-0j -0.367782-0j 0.000322203-0j -0.000237386-0j 0.20674-0j -2.70423e-05-0j -0.000413749-0j -0.152318-0j -0.0173515-0j -0.265479-0j 7.35478e-05-0j 0.0471915-0j -3.29951e-06-0j -0.00211711-0j 
-0.0117717-0j 0.0128367-0j 0.031954-0j 0.0109633-0j 0.00814156-0j 0.0207093-0j -0.026258-0j -0.00154619-0j 0.00165202-0j 0.00398172-0j -0.000901943-0j 0.00136611-0j -0.00448437-0j -0.0069714-0j -0.000826677-0j 0.000866444-0j 0.00792422-0j -0.00270141-0j 0.0964696-0j -0.000145643-0j -0.101631-0j 0.000153435-0j -0.240003-0j 0.000362339-0j -0.0823443-0j 0.0744434-0j 0.000124317-0j -0.000112389-0j 0.261718-0j -0.0592847-0j -0.000395122-0j 0.0482468-0j 0.047215-0j 8.95036e-05-0j -7.28394e-05-0j -7.12817e-05-0j 0.223522-0j -0.458229-0j -0.000337457-0j 0.148154-0j 0.0306-0j 0.000691801-0j -0.000223672-0j -4.61976e-05-0j -0.535353-0j 0.000808237-0j 0.106324-0j -0.00016052-0j 
0.00160192-0j -0.00352507-0j -0.00290566-0j -0.00263587-0j -0.00251843-0j 0.0040998-0j -0.00433998-0j -0.0200525-0j 0.0432344-0j -0.0175459-0j 0.0577051-0j -0.0159168-0j -0.0784212-0j -0.00723732-0j 0.0902715-0j -0.0113715-0j -0.00884524-0j 0.0841294-0j 0.000137313-0j 0.0881063-0j -0.000291916-0j -0.187306-0j 0.000116075-0j 0.0744789-0j 0.000105298-0j -0.000208385-0j 0.0675636-0j -0.133709-0j -0.000255426-0j 0.000840047-0j -0.163893-0j 0.000294024-0j -0.000148877-0j 0.539011-0j 0.188659-0j -0.0955261-0j -0.000190995-0j -0.000105358-0j -0.122551-0j -0.000105051-0j 0.000210061-0j -0.0676023-0j -0.0674052-0j 0.134784-0j -0.000314475-0j -0.201781-0j -0.000529351-0j -0.339655-0j 
0.00169909-0j -0.00185282-0j -0.00461216-0j -0.00158242-0j -0.00117513-0j -0.00298914-0j 0.00379001-0j -0.0212689-0j 0.0227246-0j 0.0547712-0j -0.0124068-0j 0.0187918-0j -0.0616855-0j -0.0958962-0j -0.0113715-0j 0.0119185-0j 0.109003-0j -0.0371596-0j 0.000145643-0j 0.0934508-0j -0.000153435-0j -0.0984505-0j -0.000362339-0j -0.232493-0j -0.000124317-0j 0.000112389-0j -0.0797675-0j 0.0721139-0j 0.000395122-0j -8.95036e-05-0j 0.253528-0j 7.28394e-05-0j 7.12817e-05-0j -0.0574295-0j 0.046737-0j 0.0457375-0j 0.000337457-0j -0.000691801-0j 0.216527-0j 0.000223672-0j 4.61976e-05-0j -0.44389-0j 0.143518-0j 0.0296424-0j -0.000808237-0j -0.5186-0j 0.00016052-0j 0.102997-0j 
0.00686681-0j -0.0227331-0j -0.00615317-0j 0.0302446-0j 0.0477992-0j -0.0053176-0j -0.0271962-0j 0.000901943-0j -0.00292562-0j -0.000766734-0j 0.000526134-0j 0.00376872-0j 0.00262157-0j -0.00159984-0j 0.000643025-0j -0.00792422-0j 0.00449174-0j 0.0027259-0j -0.056274-0j 8.49583e-05-0j 0.179982-0j -0.000271724-0j 0.0462159-0j -6.97733e-05-0j -0.227165-0j -0.0434253-0j 0.000342957-0j 6.55604e-05-0j -0.153001-0j 0.10499-0j 0.00023099-0j -0.0375284-0j 0.0913073-0j -0.000158505-0j 5.66576e-05-0j -0.000137849-0j 0.203556-0j -0.319247-0j -0.000307315-0j 0.254398-0j 0.0789082-0j 0.000481976-0j -0.000384071-0j -0.00011913-0j -0.183039-0j 0.000276339-0j -0.45294-0j 0.000683816-0j 
