0.0702211-0.143334j 0.0594266-0.0369228j 0.357549+0.170838j 0.0265769+0.215961j 0.0743733-0.0363751j 0.0754941-0.0865878j -0.117583-0.00528117j -0.0742503+0.0975856j -0.0293328-0.0772265j 1.7804e-05+0.398173j 0.210932-0.101197j 0.0949871-0.0877208j 0.0857444+0.0296005j -0.365337-0.05273j 0.0774761+0.112813j -0.0354861+0.0933317j -0.0779116+0.111577j 0.0458026+0.0353926j 0.0992253-0.00214388j -0.103596+0.101767j 0.331244-0.0990614j 0.027897+0.406956j 
0.00168991+0.00345218j 0.00021513+0.00028261j -0.00251925-0.00310901j -0.00296998-0.0158053j -0.00389096-0.0218592j -0.0124913-0.0063925j -0.00848949-0.00337369j -0.00112719+0.00865449j -0.00079161+0.0104508j -0.00677442-0.00961878j 0.0097267-0.0088313j -0.00852888+0.00362877j -0.00154328+0.00791889j -0.000581487-0.000484694j 0.007311+0.00851843j -0.0173252-0.00864046j 0.012074+0.00913594j 0.0117576-0.00102058j 0.0105518-0.00435047j 0.00352997-0.0103049j -0.00129626-0.00146635j -0.00719257-0.00204488j 
-0.00798391-0.00716509j -0.00335377+0.00862223j 0.00327379-0.0136312j -0.0062468+0.00366932j 0.00661396+0.0111134j -0.000309292-0.0244242j -0.015107+0.000337818j 0.0150018-0.0139999j 0.0103565-0.0129964j -0.0197695+0.000932713j 0.00566569-0.00328584j -0.00153669+0.0217573j 0.0209024+0.000409847j 0.00628636+0.0139449j -0.0178213-0.0115302j 0.0179625+0.00635876j -0.0102818+0.0143062j -0.0115219+0.00884452j 0.00390819-0.00077567j 0.00923563-0.014057j 0.0108607+0.00994958j 0.0090523+0.00471394j 
4.62896e-05+0.00170611j -0.00123849+0.00351251j -0.00187117-0.0094415j -0.011826-0.0221449j -0.0155631-0.0265663j -0.0180044-0.00308591j -0.0210105+0.00253462j 0.00711092+0.00970083j 0.00751033+0.013829j -0.0179988-0.0119007j 0.0123709-0.0162984j 0.000251537+0.0105704j 0.000613552+0.0168918j -0.0080007-0.00254413j 0.017649+0.0117453j -0.0313603-0.00620948j 0.0210316+0.0173129j 0.0175666-0.00563137j 0.0153651-0.00738158j 0.00390725-0.0130678j -0.0011301+0.00236614j -0.000978906+0.00408479j 
0.000119348-0.00647395j 0.000261309-0.00277563j 0.00831338+0.0137393j 0.0142299+0.00993389j 0.0168916+0.00804897j -0.0203677+0.0150896j -0.0320462+0.00566065j 0.0149759-0.0140629j 0.00603983-0.00293326j 0.0023109-0.0175495j 0.0132603+0.0182677j -0.0016316-0.0090029j -0.0179919+0.0124321j -0.00596058+0.0144007j 0.0044879-0.00804157j -0.0208984-0.00177298j 0.0182241-0.00556805j -0.017604+0.0253877j -0.0135712+0.0207987j 0.0013836+0.00915713j 0.000799675-0.00315687j 0.00108099+0.00063498j 
0.00886461-0.0011689j 0.00715982-0.00702553j -0.00361528+0.00666873j 0.00568292-0.00771806j -0.00707911-0.0106873j 0.0125068+0.0207442j 0.0214725-0.00828084j -0.0124216+0.0138039j -0.00417363+0.0165359j 0.0210654-0.00837678j -0.00298738+0.00420302j -0.00951215-0.0230266j -0.0202964-0.00176196j -0.00725214-0.0119722j 0.0147638+0.00379692j -0.0140083-0.00240203j 0.00476877-0.0241206j 0.00780126-0.0099649j -0.00505215-0.00397772j -0.00142837+0.00404908j -0.0108509-0.00522561j -0.0118041-0.00735816j 
-0.00354626-0.00601496j 0.00325569+0.00255043j 0.00655521+0.00646225j 0.00947929+0.00449374j 0.011164-0.000754483j -0.00968242+0.00973645j -0.0157176+0.00906549j 0.00774008-0.0144734j 0.0045544-0.00217708j -0.00159554-0.00672495j 0.0122306+0.00926442j -0.00356281-0.00282826j -0.00888512+0.00762198j -0.00140923+0.00898156j -0.00117677-0.00520953j -0.00796439+0.00158587j 0.0109162-0.0091642j -0.00603143+0.0218134j -0.0050391+0.0132384j 0.00326445+0.00308521j 0.00318286-0.00031857j 0.0030203+0.00131145j 
-0.0299421-0.00532125j 0.0183981+0.0247511j -0.00737141+0.00999158j -0.00503283+0.00840374j -0.0133888-0.016307j -0.0112653-0.0254916j 0.00325189-0.0127393j 0.00396021+0.00354977j -0.000367362+0.0265801j 0.00888888+0.0133967j 0.0108511+0.0069375j -0.0316877+0.0173334j -0.00688715-0.0106269j -0.00384103-0.00684975j -0.00810846+0.00282949j 0.0136896-0.00194353j 0.0138025-0.0184994j 0.00627076+0.0141439j -0.000248584-0.0108633j 0.00310809-0.0196334j 0.014128+0.0135799j 0.0120921+0.00257879j 
-0.00450929+0.00142139j 0.0107327+0.0031145j 0.0107281+0.00795269j -0.00308573+0.005316j -0.00787766-0.000143471j -0.00729139-0.00893944j -0.00322455-0.00446671j 0.00214961-0.000902841j 0.00449136+0.00613438j 0.002182+6.35951e-05j 0.00765232+0.00216546j -0.00758016+0.0101433j 0.00116365-0.000172246j -0.00237706-6.27693e-05j -0.00347449+0.00255957j 0.0042614-3.73736e-05j 0.00226527-0.00678735j 0.00206815+0.00819773j -0.00382413-0.000541412j 0.00283984-0.00543669j 0.0108988+0.00232825j 0.0104494+0.00576185j 
0.00807672-0.0403697j -0.0222713-0.00396814j -0.0176917+0.00967279j -0.0226612+0.0198103j -0.00669981-0.0133602j -0.0283371+0.00956201j -0.0157939+0.0199603j 0.00504465+0.0117894j -0.0267729-0.00353805j 0.00101351+0.00212554j -0.0092598+0.005218j -0.000752905+0.0141374j -0.0181583-0.0142172j -0.00428554-0.00531585j 0.00208154+0.0093588j 0.000213152+0.0218854j -0.00163017+0.0102212j -0.00213442-0.000456563j 0.00933021+0.0133219j 0.0123023+0.00408766j -0.00885411-0.00700299j -0.00399448+0.00521621j 
0.0147661-0.0108198j 0.0119963+0.00310943j -2.94767e-05-0.00876117j -0.00235677-0.00462936j 0.00985733-0.00433554j 0.00557701+0.000569351j 0.00178011-0.00773118j -0.00181703-0.00618841j 0.00861899+0.000585033j 0.0022959+0.000405612j 0.00304206-0.00239561j 0.000667633-0.00244564j -0.000393713-0.000443674j -0.00318201+0.000223496j -0.00538879-0.00257566j -0.00135565-0.00576239j -0.000136-0.00453891j 0.00228063+0.000180646j -0.00785855-0.00758317j 0.00297416-0.00921256j 0.00835511+0.00195199j 0.00711638+0.00333604j 
