-0.0725598-0.0812341j 0.0813084-0.0907825j -0.000492573+0.000777784j 0.0691676+0.0302993j -0.0101809-0.0288356j 0.134627+0.0806819j 0.232658-0.371691j 0.00765128+0.00677298j -0.569458-0.155559j -0.0497448+0.0302929j 0.0154983+0.562121j 0.284862-0.0641753j -0.0960572-0.0101767j 0.0247453-9.95429e-05j -0.0511118+0.109764j -0.0200772+0.0235162j 0.0244595+0.00929398j -0.0760259+0.0134996j -0.0476048+0.00417738j -0.0514671+0.00658759j -0.0254193-0.00310889j -0.0373818+0.00121696j 0.0208132-0.0031021j 0.00245396+0.0243113j -0.0107661-0.0346737j -0.022313-0.0299397j 0.0142526+0.0337258j 0.0001046-0.0235331j -0.0544413-0.0906864j -0.0321969-0.00655459j -0.0123831+0.0114053j -0.0645638+0.0348308j -0.0364691+0.0126973j -0.0060198+0.039351j 
-0.00289563-0.00974635j -0.0137817-0.00686763j 0.0190719+0.0109242j -0.00846418+0.00848514j 0.000122842-0.00185236j -0.00344442-0.000533023j -0.00770463-0.00931086j 0.0188887+0.0130963j 0.00678268-0.00219963j -0.00891886+0.016202j -0.00287611-0.0118994j 0.0166403+0.000294137j 0.00162514-0.0160892j 0.00845772-0.00322766j -0.0019051+0.00682744j 0.00214628-0.00464685j -0.00019125-0.00496325j -0.00578336+0.00435297j -0.00899039-0.0162023j 0.0101214+0.0104976j -0.0116802-0.00642627j 0.00584586+0.00199713j -0.00502763+0.00430859j 0.0010097-0.000397353j -0.0104971+0.0147929j 0.00653044+0.00403558j 0.00611072+0.0183412j 0.00753897-0.0129017j 0.0002169+0.000347017j 0.00983122+0.00558941j 0.000181774+0.00132231j 0.000711174+0.00660499j 0.0114688-0.0096562j -0.00352045-0.00652824j 
-0.00342807-0.00067522j -0.00225653+0.00176597j 0.000575636-0.000300437j -4.81471e-05+0.0005741j 0.00202158-0.000930561j 0.00246437-0.00112519j 0.00857551+0.00784345j -0.0163499-0.0059022j -0.00337381+0.00788938j 0.00453782-0.016027j 0.00232687+0.0104907j -0.0168491+0.00893012j 0.00390946+0.00516747j 0.0138497-0.0214418j -0.00245387+0.00169208j -0.00404931-0.0198507j 0.00610281+0.00866258j 0.0033545+0.015041j -0.0271763-0.0376719j 0.0110029+0.0243478j -0.0186465-0.00936021j 0.0107386-0.00137916j -0.00950888+0.0104792j 0.00783187-0.0282443j -0.0202586+0.0510693j 0.0196601+0.00787149j 0.0188653+0.0335293j 0.0190556-0.010457j -0.000235454-0.00947756j 0.00854833+0.00990648j -0.000631567+0.00267893j -0.00994173+0.0267799j 0.00661663-0.0545513j 0.000547738-0.0038344j 
0.00618684+0.00678471j -0.00239619-0.00707495j 0.00620168-0.00168853j -0.00768015+0.00256622j 0.00102844-0.00568457j -0.0142501-0.0265024j 4.92918e-05-0.0112171j -4.78994e-05-0.0208519j -0.0034327-0.00931118j 0.0160345-0.0112227j 0.00116224-0.003414j 0.0037947-0.00313748j 0.00627327-0.0175031j 0.00310788+0.0271547j -0.0124451-0.00535925j -0.00232517-0.00914801j -0.0254878-0.000805788j 0.00900493-0.00621101j -0.0282239+0.00777186j 0.0102251+0.0152911j -0.00290387-0.0140981j -0.00148074+0.036025j -0.0017487-0.0111231j 0.00577672+0.00830807j -0.00716121+0.01469j 0.00731491+8.01204e-05j 0.00151391-0.0123573j 0.0227851+0.00436291j -0.0157835-0.00303202j 0.00621551-0.0221643j -0.00445338+0.0114799j -0.000324582+0.00396988j 0.00502976-0.00888572j 0.00160785-0.00951921j 
-0.00978047-0.0158515j -0.013384+0.0136134j -0.0065816+0.0297614j 0.0145957+0.0129154j -0.0107482+0.0143636j 0.000242249-0.00276239j -0.0115304+0.00259878j -0.00869757-0.0119809j -0.00555644+0.000135492j 0.0112031-0.0111678j -0.0101667+0.00170648j -0.00380249-0.00849398j 0.00571887-0.0191552j 0.00488387-0.00647387j -0.00324142+0.000487097j -0.00254619-0.0044016j 0.00437065-0.00165597j -0.0110318+2.83054e-05j -0.00467372+0.0120906j 0.00834671-0.0066987j 0.0162103-0.010494j -0.00543991+0.013667j 0.00298874+0.0011241j 0.000634331+0.00206179j -0.00404002-0.0182997j 0.00911504+0.00886068j -0.0104312-0.0149551j 0.00129687-0.000193966j -0.00540358+2.20769e-05j -0.00118979-0.00539989j 0.0108993-0.00412764j 0.0104334-0.00158116j -0.000558356+0.00150931j -0.00155174-0.000608759j 
-0.00129933-0.00206471j -0.0153731-0.0133018j 0.0286289-0.0188746j -0.0193795+0.0095894j 0.00691139-0.0168191j 0.000367702-0.0065563j 0.00648586+0.00427755j -0.01331-0.00592727j -0.00309585+0.00215296j 0.00189977-0.0100549j 0.000569363+0.00752111j -0.00555286-0.00019819j 0.004056-0.000304712j -0.00343626+0.00653482j -0.00222054+0.0010571j -0.00574331+0.00352251j 0.0112356+0.0102454j 0.0034582-0.00109731j 0.0077781+0.0121004j -0.0104057-0.00492152j 0.00725125+1.78171e-05j -0.00487633+0.00187893j 0.00478827-0.00317068j -0.00189393+0.00118482j 0.00406198-0.00794245j -0.00272506-0.00415451j -0.00456255-0.0159504j -0.0027348+0.0143637j 0.00078097+0.00429128j -0.0112332-0.00582146j -0.00150625-0.00145651j 0.00548301-0.00408983j 0.000785301+0.00744586j -0.00140721+0.00576129j 
-0.00032936-0.00482959j -0.000122788-0.00128211j -8.80868e-05-0.00110539j -0.000438567-0.00133902j 3.13611e-05+0.00291867j -0.000326726+0.0102679j -0.0123774+0.00337973j -0.00614903-0.00805639j -0.00743719-0.000669438j 0.00682676-0.00722044j -0.0132598-0.000535593j -0.00112064-0.0146374j -0.00526827-0.00235783j -0.0188882+0.0246962j 0.00361917-0.00638152j 0.021111+0.0127456j -0.0083702+0.00572443j 0.0180109-0.00739722j 0.0168534-0.0134754j -0.0251006+0.0228332j -0.044327+0.0358135j 0.00980628-0.0258129j -0.000556188-0.00931806j 0.000497107+0.00892679j 0.0205896+0.035802j -0.0389643-0.0254861j 0.0330289+0.0293407j 0.000355459+0.0036973j 0.0118491+0.00264382j 0.00664145+0.00898825j -0.0139945+0.0170922j -0.00820844-0.0178389j 0.0148208+0.0233249j 0.00207926+0.00453768j 
-0.00606785-0.0145919j -0.0231467-0.00448082j 0.0291391+0.0127021j -0.00674276+0.0190421j -0.00434191-0.00248536j -0.0119434+2.33093e-05j 0.00567484-0.00359238j -0.00251621-0.00606558j 0.00106159-0.0011051j 0.00387762-0.000450075j 0.00269638-0.00465642j 0.000867123+0.00328685j 0.0025014+0.0228813j -8.61705e-05+0.0123821j 0.00673347+0.00712621j -0.00642978+0.00172613j 0.0142761+0.000192885j 0.00497048+0.00217779j 0.00148734-0.0116898j -0.00120352-0.0150736j -0.00424028+0.00204069j -0.000299483-0.00576889j -0.00210509-0.00670393j -0.00298743-0.00360876j -0.00113205-9.33442e-06j 0.00420471-0.00279153j 0.00673744-0.00537042j -0.00327881-0.00408095j 0.0083507+0.00451152j -0.00194342+0.00488779j -0.00654116+0.000824069j -0.00334313+0.00340455j 0.00185941-5.37661e-05j 0.00150441+0.00343335j 
0.0147569+0.00463815j 0.00824318-0.0156256j -0.00753349-0.0261868j -0.0148847-0.00914561j 0.00593917-0.0117538j 0.000179952+0.0243443j -0.00922972+0.00186025j -0.00785648-0.006859j -0.00939287+0.00209031j 0.00713944-0.00970986j -0.00964182-0.00295876j -0.00268059-0.00963361j -0.000889888+0.00990354j 0.00951822-0.00365079j 0.00882343+0.00100865j -0.00226282-0.00526283j -9.32593e-05-0.00874583j -0.00612035+0.00140191j -0.00997738-0.00245214j 0.0147079-0.0215017j 0.00778716-0.0166902j 0.00270106+0.0109233j -0.00352374-0.00536635j -0.000142134-0.00496285j -0.013335-0.0151107j 0.018308+0.00568241j -0.00916488-0.00758588j 0.0024949-0.0171493j -0.0024853-0.00218281j 0.00470003+0.00207728j 0.00440786-0.00267799j -0.00343802+0.00442265j -0.00470111-0.00323794j -0.000889242+0.00147574j 
-0.00493988-0.00276607j -5.11338e-05+0.00157199j -0.00129391+0.00328355j 3.62071e-05-0.0015739j 0.0017093+0.00174561j 0.0124027+0.00624432j -0.00509308+0.012169j 0.0100059+0.016632j 0.00433738+0.00233067j -0.0161259+0.0154717j -0.00494617+0.00753359j -0.00276681-0.00787243j -0.0115333+0.00973042j 0.0138066+0.0586624j 0.00202162-0.000858808j -0.00349409-0.00890718j 0.0150269+0.00254425j 0.0147504-0.00648599j -0.0265617-0.00204898j 0.00912515-0.0339802j -0.0249175-0.00927948j 0.0139179+0.0444967j -0.0100303-0.0312593j 0.00873087+0.00753866j -0.0131074+0.0122788j 0.0139948-0.0143056j 0.0222503-0.0348754j 0.029068-0.0217335j 0.00161516+0.00678911j 0.00114781-0.00803803j -0.00342533+0.0217624j -0.00929291-0.00712596j 0.0133401+0.00977109j -0.000470129+0.00687687j 
-0.00462213-0.00282412j -0.00684744+0.00271496j 0.00590284-0.000786659j -0.000370616+0.00622615j -0.000629375-0.00215824j 0.000844878-0.00378742j 0.00948435+0.00883946j -0.016664+0.00808219j -0.00136886+0.0054494j -0.00474627-0.0125986j 0.0033864+0.00877604j -0.0108379-0.000694464j -0.00317318+0.00825658j -0.00339383+0.0151331j 0.00432929-0.0111575j 0.00299353+0.00788911j -0.0254673-0.0294082j -0.0206715+0.0080785j 0.0104924-0.00056818j 0.00683611-0.02536j -0.00252522+0.00308909j -0.000748644+0.00651472j 0.00314556-0.00308565j 0.00469093+0.0167953j -0.00833924-0.0353137j 0.00412265+0.00276066j -0.00573344+0.00163838j -0.0190756-0.030285j 0.00217538-0.00317487j 0.0196733+0.0072221j -0.00844449-0.0021332j -0.00227503-0.0176033j -0.00314789+0.0103512j 0.011098-0.0102549j 
0.00554688+0.0029904j 0.00945543+0.00558153j -0.0150003+0.0111286j 0.00883519-0.00718055j -0.00125819+0.00767762j -0.0148061-0.00638996j -0.00326305-0.00914604j -0.012222-0.0168357j -0.00372398-0.00577581j 0.0123284-0.0138582j 0.00172949-0.0084337j 0.00591137+0.00219857j 0.0109668+0.00585394j 0.00398684+0.024914j 0.00086315+0.0124899j -0.00676144+0.000375075j 0.0178986-0.00790059j 0.00285724+0.0072012j -0.00838315-0.00906186j -0.00245361-0.0254368j -0.00975924+0.00221103j 0.00540568+0.0102876j -0.00676248-0.00877034j 0.00223543+0.00181775j -0.00826608+0.00617484j 0.0128157-0.00347152j 0.008767-0.0152329j -0.00359231-0.00883952j 0.013085+0.00663998j -0.00111425+0.000836481j -0.00210669+0.00587761j 0.00298618+0.00221422j 0.00442122+0.0013315j 0.00590305+0.000810428j 
0.00151202+0.000973584j 0.00238382+0.00408164j 0.00142463+0.00310673j 0.00535195-0.000126567j -0.00141573+0.00237258j -0.0179634-0.00222353j 0.0111798-0.0069153j -0.00285702-0.00147044j 0.000256907-0.000538457j -0.0026281-0.00510237j 0.0116096-0.000415899j -0.00439579+0.00893971j -0.0108005+0.0274142j -0.00546887+0.0148482j -0.00918538-0.00919898j 0.00646447+0.00187774j -0.0331125+0.0120435j 0.00314593-0.0256436j 0.0111626+0.012651j 0.0076154+0.0145511j -0.00443358+7.3439e-05j 0.00216359-0.00143045j -0.00647427-0.0165916j -0.00218971+0.00277065j 0.0119484-0.00957247j -0.0222923+0.000296462j -0.00975494+0.00876142j 0.0144232-0.00509066j -0.0161011+0.00422206j 0.000289333-0.0131693j -0.00720207+0.00765316j -0.01452-0.00373883j -0.00208113+0.012658j -0.00242952-0.0156761j 
-0.00188388+0.00487307j -0.00208709+0.000976152j 0.000548968-0.002445j -0.00147159+0.00218424j 0.000554471-0.00245435j 0.00485753-0.0199426j -0.00409205+0.00975955j 0.00908598+0.00347207j 0.000859789-0.00235599j -0.0051345+0.00952892j -0.0039049+0.00770273j -0.000376277-0.00971683j -0.0206804-0.0420161j -0.00235035-0.0110024j 0.000721568+0.00042908j -0.00196322-0.00478023j 0.00433528+0.0131207j -0.016147+0.0166049j 0.0113359+0.0125471j 0.0183484+0.0179343j -0.000254235+0.00012703j 0.00399379+0.00894812j 0.00762603+0.0102337j 0.00495227+0.0064677j 0.00257396+0.00433312j 0.00770356+0.0102202j -0.00469921+0.0140738j -0.00341079+0.00801013j 0.00519834+0.00902919j 0.0040613-0.025255j 0.000958649-0.00135844j 0.0108425-0.00795961j -0.00330162-0.0125422j 0.0144387+0.0106186j 
