-0.023402+0.00591729j -0.0105419-0.0205036j 0.0630153+0.0292583j 0.0106528-0.0689183j -0.0426428+0.0141075j -0.076123-0.0491212j -0.0739898-0.0475307j 0.0556114-0.0815689j 0.0594526-0.1039j 0.020254-0.0450314j 0.00171211-0.0152598j 0.0032463+0.00395439j -0.0848928-0.026609j 0.00983503+0.0112153j 0.0104355+0.0144124j -0.0427271+0.00640823j -0.149058+0.00957975j -0.03833-0.084897j 0.198309-0.0652503j 0.015599+0.231121j -0.0151937-0.0599791j -0.0186911-0.0787721j 0.0403748+0.257747j 0.0596122+0.299667j -0.0357816-0.0888611j 0.062767+0.0672784j 0.0296042+0.0138556j -0.000906604-0.00451639j 0.0958925-0.00564694j -0.519159+0.19792j 0.0640902-0.0342573j 0.139548+0.105627j -0.0190529+0.013282j -0.220957-0.394282j 0.0841439-0.0641784j -0.176159+0.114118j 
0.00478609-0.00869492j -0.00866512-0.00570804j 0.0110285-0.0119354j 0.0185151+0.00823213j -0.00702923+0.0135624j -0.00919529+0.00129642j -0.0209536-0.00918056j 0.00291822-0.00338911j 0.00748275+0.00109937j 0.00309753+0.00515796j -0.00401857+0.00219254j 0.000300566+0.0349531j 0.0101032+0.00170115j 0.000703124+0.00565248j 0.00651383+0.00490618j 0.00195388+0.0156935j 0.00116042+0.00833804j -0.0125691-0.00741188j 0.0100214+0.015619j 0.00065014+0.0114487j -0.0160161-0.00454413j 0.00358614-0.000673007j -0.0171232+0.00732236j 0.00162197+0.000537198j -0.00388023-0.00468083j 0.0115081+0.00944772j 0.000698843+0.0225356j -0.0317364-0.0148966j -0.002907-0.000715525j -0.00446839+0.00628019j -0.0129015-0.00310948j 0.020894-0.00225373j -0.003188+0.00607348j -0.00152971-0.00607454j 0.00822964-0.00603755j -0.00304252+0.00290092j 
-0.00184412-0.000158315j -0.00043044+0.00252526j -0.0086789-0.00639657j 0.00795477-0.0120706j 0.0103053+0.00652249j 0.00742265+0.0140114j -0.00841406-0.0212103j 0.0192941-0.00658561j -0.0181216+0.00904335j 0.0249256-0.0216466j 0.00122716-0.0138535j 0.00602981+0.000767688j -0.00196584+0.00277832j -0.0321191+0.00519548j 0.0105595-0.007658j -0.00820398+0.00594513j -0.000751545-0.0082643j -0.00323855+0.00169061j -0.000109576+0.0289152j 0.010843+0.00449214j 0.0223721-0.000842764j -0.00616342+0.0127356j 0.0135242-0.00123898j -0.00241105+0.00451424j 0.000386018+0.00227225j -0.00482954+0.0196259j 0.040618-0.0227879j 0.0252398-6.24809e-05j -0.00109341-0.00362125j -0.00825356+0.0251926j 0.010256+0.00711337j -0.0150076-0.00556011j -0.00221471+0.0157422j 0.00260898-0.0044285j -0.014021+0.0488842j 0.000896619-0.0127227j 
-0.0283881+0.00858325j 0.00834751+0.0300258j -0.00634513+0.00114909j -0.00226234-0.00534414j 0.00360003-0.00315323j 0.00424131+0.00544574j -0.00163642+0.0030165j 0.00408672-0.00230669j -0.00165636+0.00200387j 0.00356267-0.00253399j -0.00365505-0.00185578j -0.00306673+0.00577552j -0.00177651-0.00333265j -0.000968487-0.000731505j 0.00237494+0.00208599j -0.000584621-0.00921793j -0.00610237+0.00656119j 0.00557018-0.00681225j 0.00232672-0.00532762j -0.00788258+0.00206171j -0.0211589+0.000255075j 0.00884848-0.00202042j 0.00695825-0.00451861j -0.00630052-0.00443353j -0.00316676-0.0136918j 0.00708853+8.00186e-06j -0.0116989+0.0163593j -0.0142987+0.00310665j -0.00055253-0.00016527j 0.00341409-0.00827791j -0.0178364-0.00555715j -0.000654795-0.00323089j -0.00411724+0.00422005j -0.00211989+0.0016041j 0.00689434-0.00346384j 0.00152508+0.00885275j 
-0.00402458+0.00462737j 0.00389152+0.00428514j 0.00669796-0.0081543j 0.0138169+0.0085091j -0.00697907+0.0102242j -0.0217385-0.0121666j 0.0225566+0.0125683j 0.00269239+0.0110146j -0.000795673+0.0152295j -0.00711438-0.0451037j 0.0161211+0.00570993j -0.00286912-0.00780975j -0.00129535-0.00203629j 0.000334073-0.0154076j -0.000356309+0.00686674j 0.00838753-0.0118615j 0.00268679+0.00491244j 0.00831118+0.00072674j -0.0205318-0.0313016j -0.00270167-0.00298941j 0.00994266-0.00173402j -0.00144118-0.00744165j 0.0151001-0.00851897j 0.00560626+0.00667521j 0.00511873+0.00374653j -0.0042344-0.0118145j -0.00962382-0.0296998j 0.0425004+0.00403921j 0.013263+0.00275297j -0.00958987-0.0138062j 0.0369733+0.00883782j -0.0144955+0.00364228j -0.00214417-0.00584516j -0.00149819-0.00754111j -0.00618428-0.0159591j 0.000649559+0.00723577j 
-0.00336037+0.00151415j 0.00150078+0.00275298j 0.00974775+0.00534699j -0.0107513+0.0116323j -0.00710192-0.00847706j 0.000923165+0.00369655j 0.00817121+0.0142475j 0.00575203-0.00599212j 0.0147954-0.0084382j 0.00433724-0.00291909j 0.00118105+0.0120334j -0.00599144+0.0457687j 0.00312484-0.0121912j 0.0104138-0.000589252j 0.0262162-0.00773338j -0.00199592+0.00574189j 0.00238258-0.0179545j 0.00249967+0.00357057j 0.00125752-0.00271292j 0.0226517+0.00477766j 0.0359107-0.0103953j -0.00947933+0.0138481j -0.0337223+0.0101561j 0.029171+0.00113446j -0.00427994+0.0292995j 0.0109629-0.0102457j 0.00716524-0.0076128j 0.000201121-0.0140409j -0.0129672-0.00234562j -0.00532793+0.00619046j 0.0159937+0.00239437j -0.00269544-0.00892865j 0.0219476-0.0303925j 0.00438276-0.0101136j -0.00636841+0.0135604j 0.00282351-0.00895296j 
0.00982551+0.0258471j 0.0259813-0.00924096j 0.00493028+0.00235344j 0.00131301-9.87543e-05j -0.00138167+0.00281988j -0.0133504-0.00326483j -0.010399-0.00957535j 0.00315178-0.00298283j 0.00226605+0.00131756j -0.00051609-0.0012719j 0.00303565-6.62803e-05j 0.00790137+0.00419138j 0.00477722+0.00449598j -0.00356816+0.00298222j 0.000411055+5.22594e-05j 0.000342624+0.0215049j -0.00278068-0.00935246j -0.014398-0.00741436j 0.0076893+0.0145203j -0.00663211+0.00808132j -0.00382934-0.00204216j 0.00313645+0.00428313j -0.00227523+0.00312717j -0.00882903+0.000981595j -0.00618197-0.0068717j 0.00498192+0.00555954j 0.0101505+0.00616822j -0.00732781-0.0026654j 0.00634404+0.00189228j 0.0017638+0.011193j -0.0118332+0.00175957j 0.0126049-0.00547032j -0.0052715+0.00844292j -0.00315492-0.00331037j -0.00125599+0.00317098j -0.00729249-0.00198608j 
-0.000273463-0.000572439j -0.00118705+0.000465583j 0.0030556-0.00786753j 0.0110821+0.0114417j -0.00952367+0.00601874j 0.0133198+0.00228185j 0.0284855-0.00248589j 0.00137665-0.00602137j -0.000460704-0.0111959j -0.00315478-0.0051074j 0.000859586-0.00259485j -0.0287486-0.0219189j -0.0160931-0.00441058j 0.00305709-0.00295384j 0.00970047-0.0215945j 0.000147671+0.0297271j -0.0240418-0.0440494j -0.017647-0.0058318j 0.0105847-0.00460873j -0.0109739+0.00188499j -0.00755472+0.00688101j 0.006084+0.0267694j 0.0131441-0.00345832j -0.0191198+0.00173705j -0.0406227-0.023009j -0.00526034-0.0144968j -0.0026131+0.00313958j 0.0121349+0.00722544j 0.00900702-0.00355165j 0.0121399+0.00915408j -0.0254682-0.00217484j 0.00667073-0.00486132j 0.000980917-0.0271777j 0.00121667+0.00260541j 0.00334106+0.014013j 0.000504955-0.0136589j 
-0.00400475+0.0107861j 0.010522+0.00479606j -0.0098843-0.00939745j 0.0170981-0.0105365j 0.00269862+0.0135603j 0.00488374-0.00846868j -0.00140955+0.00502311j -0.0128452+0.00332376j 0.00377554-0.0166715j 0.00369455+0.0351677j -0.00422974+0.00845301j 0.000677996+0.0016517j -0.000124644-0.000892554j 0.014832+0.00301998j -0.00287696-0.00345645j 0.000487155+0.00457677j 0.007864-0.00810865j -0.00379174+0.0107739j 0.00313513+0.00194255j 0.0103062-0.000360088j 0.0177082-0.00303223j -0.015528-0.000537365j -0.027868+0.0169711j 0.0205663-0.00570679j 0.00596858+0.0232314j 0.00176644-0.00535556j 0.0108941-0.00366774j -0.0115574-0.0088103j -0.0086486+0.00695942j -0.00424697+0.0066102j 0.0169687+0.00212008j 0.00127006+0.00259706j 0.00810233-0.0136057j 0.00210126-0.0016732j -0.00111954-0.00113749j 0.00271331-0.0101447j 
0.00732757+0.00429524j 0.00296891-0.00746041j 0.0101199-0.0127496j 0.0105601+0.0168628j -0.00802482+0.00372256j 0.0314419+0.0138616j -0.013809+0.000676804j -0.00366906-0.00329181j -0.011726+0.00476602j 0.0196007+0.00360763j -0.0128902-0.00899363j 0.00243984-0.00112697j -0.000857171-0.00271918j -0.00805043+0.00996986j -0.000909424-0.000350211j -0.0075472-0.0164698j 0.0150033+0.0400976j 0.00804187+0.01117j -0.00279825+0.00508022j 0.0164255-0.0105199j -0.00288014-0.00190532j -0.00789932-0.0128482j 0.0104669-0.00709012j 0.000565779+0.00057802j 0.0261673-0.00123595j 0.000104921+0.0164767j -0.00474925+0.00150489j -0.00778228+0.00760016j -0.011518+0.00417217j -0.00490488-0.0114033j 0.00684468-0.00413486j -0.00559721+0.011587j -0.00103078+0.0160122j 0.00770586+0.00587728j 0.00684035-0.00394437j 0.00869275+0.00527313j 
-0.00118093-0.000407242j -0.000422534+0.00117879j 0.00326928-0.00162825j -2.77198e-05+0.00502448j -0.00300761-0.00165121j 0.00782232+0.00578692j -0.00246799-0.000834427j 0.00682733-0.0041779j 0.00503785+0.00913416j -0.0099182-0.0207361j 0.00137849-0.00446424j 0.00503253+0.0106882j 0.000289872-0.00312259j -0.00694197+0.0015769j 0.00553337+0.000978039j 0.0122735-0.0104931j 0.000417324+0.00273013j -0.0119696+0.000414239j 0.000706102-0.00154239j -0.0137578+0.015547j -0.0449244+0.0459621j 0.00461473-0.0104173j 0.00584713+0.00802263j -0.00980903-0.0142421j -0.0345342-0.0109999j 0.00192527-0.00198731j 0.0115696-0.000174434j -0.0262435-0.00514018j 0.00413595-0.00407585j 0.00159773-0.00168811j 0.0158524-2.59707e-05j 0.0023304-0.00409757j -0.00822197+0.0137201j 0.0036992-0.00449125j 0.00868665-0.0156234j 0.00806394-0.0104585j 
8.7401e-05+0.000623668j 0.000486295-0.000452738j 0.00263353-0.00019736j -0.00489815-0.000468961j 0.00254874-0.00224473j -0.00956945+0.0226279j -0.000411245-0.00501224j -0.00480903+0.00957265j 0.00476522-0.00237051j -0.00988634+0.0055007j 0.01028+0.000838815j 0.00371193-0.00283007j 0.00747972+0.00075418j 0.00491308-0.00569336j -0.00757674+0.00321725j 0.0413911+0.0541642j 0.00754357-0.00281633j -0.0204087+0.010136j -0.0025151+0.00349696j 0.0102958-0.00258604j 0.0180064-0.011535j 0.011684+0.0268267j 0.0102964-0.00333987j -0.0150812+0.0114272j -0.0220654+0.00961836j 0.00536131+0.0121445j 0.00518054-0.000981522j -0.0140957+0.00833885j 0.00438901+0.00588707j -0.00254983-0.00365268j 0.00818337-0.00475409j 0.00891478+0.00153095j -0.00750086-0.0157787j 0.010635-0.0031473j 0.00686137+0.0205603j 0.00585887+0.017325j 
