-0.00315546-0.211574j 0.140937-0.0292972j -0.435125+0.135948j 0.0895757+0.139976j 0.0130804-0.0198423j 0.0793804+0.380015j 0.0845603+0.333419j 0.183214+0.10862j 0.277743-0.0492918j -0.00187148+0.104162j 0.00130304+0.166524j -0.0872823-0.0318003j -0.101058+0.0563611j 0.394756+0.0399815j -0.0854405+0.351147j 
0.0024985-0.00474001j -0.00240808-0.00379781j -0.0145053-0.0032712j 0.0217782+0.0043299j 0.0346778+0.0032099j -0.00922909-0.0143633j -0.0120645+0.0196958j 0.000505617+0.00457473j -0.0194005-0.0154817j -0.00182635-0.0195933j 0.0300108-0.00719844j 0.022535-0.00916307j -0.0119068+0.0121123j 0.00108126-0.00421664j -0.000899055-0.00222692j 
0.0124554-0.00268257j -0.013614-0.00815592j -0.00424338+0.01215j -0.00518107-0.000659032j 0.00591675+0.0102364j -0.0153789-0.00101989j 0.0123074-0.00752342j -0.00489711-0.00857505j -0.00540912-0.00320689j -0.0178335-0.0140994j -0.00974998+0.0138201j -0.00222715+0.00617453j -0.00920016+0.00907233j -0.00733594-0.00933812j -0.0114375-0.00898102j 
-0.00396111+0.0456496j 0.00852972-0.00371334j -0.0242028+0.00709031j 0.0198882-0.0139086j 0.0057944+0.0309421j -0.017621+0.0144496j 0.0142305-0.0178279j 0.0156036-0.00298601j -0.0257433+0.0118825j 0.00848648-0.00818717j -0.00519164+0.00119797j -0.00297084+0.0150701j -0.00963884-0.0216116j 0.00514779+0.0128125j 0.00832537-0.000192578j 
0.00796893+0.0119728j 0.00948798-0.000138478j -0.00792422+0.00925185j 0.00745546-0.00860314j 0.0103088+0.0104937j -0.00819232+0.00645992j 0.0047553-0.0111632j 0.010442-0.0011451j -0.00948332+0.010683j 0.00323766-0.00525159j -0.00300826+0.0025799j 0.00233373+0.0103362j -0.00183664-0.0135275j 0.00771392+0.00703707j 0.00785671+0.00307121j 
-0.000626383-0.00117779j 0.00150873-5.62669e-06j -0.000362009+0.00455034j 0.000437721-0.000477684j -0.000483952-0.00151454j -0.000510696+0.00245666j -0.0052111-0.00104806j -0.00240856-0.000748333j 0.00309839+0.00283684j 0.00557047+0.00312382j -0.000992052-0.00699005j 0.0011308-0.00124939j -0.000743626-0.00314919j -0.00185171-0.00370947j -0.00261453+0.00786651j 
-0.0030704+0.000373511j -0.00606964+0.00542702j -0.00583517-0.000900204j 0.00257357-0.00809246j 0.00116488+0.00181464j -0.00133881-0.00568721j 0.0080521-0.0100545j 0.00473398+0.000171761j -0.0035722+0.00639614j -0.012883+0.000547573j 0.0181617+0.00913569j 0.00460541+0.0106481j -0.00275705+8.09375e-05j 0.00730894+0.0137285j 0.00210916-0.00512967j 
-0.000353053+0.00286911j -0.0012741-0.00208883j 0.00435025-0.000941083j 0.00205208-0.0030162j -0.000375871-0.00251125j 0.00244424+0.00469607j 0.000598673-0.00448097j -0.000331871+0.0018283j -0.00481895+0.00252844j -0.00210757-0.00344652j 0.00591385+0.00103188j 0.00328709-0.00234065j -0.00431382-0.00354845j -0.00600067+0.00485969j 0.00133512+0.00234302j 
-0.0051842+0.000413391j -0.00557799+0.0102951j -0.00751567+0.00609433j -0.000589923-0.0168379j -0.000675826+0.00099948j -0.00231843-0.00586197j -0.00259561-0.0198798j 0.00481766-2.55133e-05j 0.0039511+0.0153633j -0.0123189+0.00671928j 0.0279933-0.00571122j 0.0155929+0.0100743j -0.0126952+0.000186976j 0.0131818+0.0199587j 0.0117352+0.00640843j 
0.00742225-0.00524346j 0.00538135-0.0130604j 0.00131726-0.00613755j 0.000256959+0.000287913j -0.00593391-0.0085647j 0.0204843+0.00974581j -0.00658512-0.011208j 0.0016698+0.0034596j -0.00416406+0.015727j -0.005328-0.00891838j 0.00853175-0.0109282j 0.00861318-0.0180648j -0.0168765-0.00708295j -0.00848001+0.00612255j 0.0136381+0.0187796j 
-0.0035132+0.000823996j -0.00229103+0.00459266j -0.00186629-0.000498772j 0.00379972+0.00353484j 0.00655665+0.00897159j -0.0107364+9.95782e-05j 0.00814856-0.00515519j -0.000467509-0.00217921j 0.00607363-0.00630642j 0.00250524+0.00229569j -0.00284757+0.000839582j -0.00341249+0.00410772j 0.0102724+0.00185742j 0.00341127-0.00265107j -0.00640566-0.00630231j 
0.00486555-0.000927625j -0.00187133-0.00753621j 0.00138726-0.00489555j 0.00373531-0.00688742j -0.00586458-0.00230272j -0.00774549-0.00253017j 0.00461434-0.0110837j 0.00548536+0.000327704j 0.00761612-0.0113432j -0.00405417-0.00260568j 0.0083443+0.00164089j -0.00124621-0.00370113j 0.000544963-0.000562698j -0.0019172+0.0103802j 0.00212776-0.000269809j 
-0.000738174+0.00161373j 0.000422111+0.0093777j 0.00548801+0.00950598j -0.0135116-0.0151832j -0.0116289-0.0040657j -0.0181929-0.00741399j 0.000340689+0.0130939j 0.00412591-0.0010684j -0.00759506-0.0108764j -0.000312727+0.00567126j 0.00901522+0.0119208j 0.00453964+0.0198451j 0.00792816-0.000583471j 0.0121491+0.00739038j -0.00178398-0.00954586j 
-0.00607216+0.00204099j -0.00504457+0.00957048j -0.00281937+0.000170351j 0.00899998-0.00755905j 0.0137136+0.00963532j -0.0257121+0.00484074j 0.00694658-0.0207004j 0.00201057-0.00342868j 0.00742767-0.0258996j 0.00198927+0.000983286j 0.00343809+0.00358084j -0.0040341+0.0120284j 0.0198729-0.00404243j 0.00872177+0.00476773j -0.0103123-0.00947711j 
-0.0020169-0.00311145j 0.00132256-0.00121271j -0.00427284-0.00104949j -0.00355626-0.00550883j -0.00699832-0.0135948j 0.0111343-0.00316087j -0.0155237+0.00833095j -0.00126839+0.00319781j -0.00813947-0.0126117j -0.00396314-0.00869742j -0.0158073+0.00741684j -0.0109987+0.00172561j -0.00308104-0.00177016j -0.00344683-0.000677986j 0.00350893+0.00240198j 
-0.0077966+0.00904233j -0.00420192+0.0209316j 0.0027448+0.00515418j -0.0011542+0.00829593j 0.0194891+0.000613311j 0.0134296-0.000313102j 0.00504111+0.026204j -0.014207+0.000410626j -0.00210993+0.0242499j 0.01782+0.00619048j -0.0164371-0.00013515j 0.00235413+0.0122695j -0.00321253+0.00399294j -0.000599647-0.0162526j -0.00622528-0.00660132j 
-0.00365135-0.000726528j 0.00351335+0.00117736j -0.00230969+0.00195545j -0.0107338-0.00388776j -0.0153012-0.00929982j 0.00506711-0.00673609j -0.00942545+0.0147355j 0.000781306+0.00310721j -0.0139931-0.00848403j -0.00746938-0.00403672j -0.00934585+0.0139724j -0.00603612+0.00838829j -0.00124858-0.000275241j 0.000174036+4.48545e-05j 0.00226522-0.00110297j 
0.00769965-0.000794578j 0.00075214-0.00212971j 0.0101236+0.00307304j -0.00823193+0.00275474j -0.0066587+0.00469839j -0.001903-0.00283217j 0.0116197+0.0114768j 0.00135804-0.00194164j 0.00493511+0.0225601j 0.00650469+0.00801543j 0.0154852-0.00771292j 0.0141321-0.00326421j -0.00610867+0.00479685j 0.00359012+0.00156411j 0.00408529-0.000523974j 
-0.0164286+0.0152084j 0.021003-0.00126007j -0.0216021+0.00212951j 0.00289948+0.0252764j -0.00573606+0.0146013j 0.00285246-0.00549137j -0.00362767-0.0239746j 0.00523629+0.00586351j -0.00848304+0.00443623j -0.0302634+0.00481547j -0.00302196+0.00579166j 0.00367668-0.0104794j 0.00278222+0.00640315j -0.00111165-0.0131888j -0.00392252+0.00166637j 
-0.00384611+0.00567505j 0.0014814+0.0124053j 0.00311804+0.00188444j 0.000384808+0.00191799j 0.00908562-0.00134788j 0.00182845-0.00407751j 0.00879048+0.00630887j -0.00506807+0.00241781j 0.00281413+0.0101217j 0.00775775-0.000903427j -0.00431252+0.00218956j 0.00473583+0.00733894j 0.00103664-4.59706e-05j -0.000467614-0.0049554j -0.00421931-0.00561327j 
0.00573414-0.00480019j -0.00116477-0.00240218j 0.00661421-0.00101918j -0.00247111-0.00130218j -0.00128764+0.000343956j -0.00246399+0.00091129j 0.00530774+0.00421875j 0.000716604-0.0015018j 0.00629294+0.00531758j 0.00722569+0.000556679j 0.00632124-0.00778618j 0.00502703-0.00411938j -0.00119193+0.00130528j 0.0021471+0.00231525j 0.00295889+0.000976722j 
0.0109067-0.0185339j -0.00764522-0.00706418j 0.0197961-0.00662654j -0.00919474-0.0140987j -0.01181-0.00930466j -0.00629444+0.00559043j 0.00407354+0.0125944j 0.00128494-0.00289701j 0.00528317-0.010366j 0.0169591-0.00895812j 0.00545117-0.00889738j -0.000578977-0.0023267j -0.000209303-0.00534118j 0.00128067+0.0110555j 0.00577508+0.00354603j 
0.00806636+0.00558263j 0.0189852-0.0208538j 0.00743792+0.00332157j -0.0108315+0.010114j -0.0297047+0.00424208j -0.018468-0.00337688j -0.00111634+0.0114724j 0.0093791+0.000320079j -0.00493124-0.016636j -0.00122453+0.00554903j -0.00116393+0.00231612j -0.000157616-0.0139254j 0.00893578+0.0016825j -0.00515651-0.00851744j -0.00393483+0.000558452j 
-0.000305274+0.00751435j 0.000524461-0.000666478j -0.00128145+0.00430436j 0.00286194+0.00166693j 0.00180627+0.00119347j -0.00180918-0.00263891j -0.000912295-0.00057325j -0.000499068+0.00020529j -0.000838325+0.000820599j -0.00269327+0.0039774j -0.000686375+0.00410226j -0.00067923+0.000586519j -0.000531397+0.00120433j -0.00362191-0.00309575j -0.00447023-0.00356836j 
0.00445415-0.00612432j 0.00524178-0.011421j 0.0041542-0.000908975j -0.0052761+0.0108016j -0.0121165+0.0056057j -0.00656655-0.000841174j 0.000904064+0.00701589j 0.00313271-0.00127332j -0.00327646-0.0066388j -0.00191631+0.00316352j -0.000421375+0.00175368j -0.00222558-0.00702871j 0.00629588+0.00215776j -0.00250802-0.00595175j -0.00296273+0.00141355j 
0.00247687-0.00085864j 0.00240314+0.00207374j -0.000158088+0.00181095j -0.000385925-0.00271033j 0.00257007-0.0016632j -0.000408198-0.000401228j 0.000130333-0.0020127j 0.00138864+0.0006462j 0.000517903+0.0017256j 0.000737626-0.00160105j -0.000350317-0.000353761j 0.00213418+0.00207167j -0.000215159-0.00264207j 0.00261063+0.00153819j 0.00257779+0.000936403j 
