2.3405e-16+0.0370378j 1.48043e-16+0.00195986j 3.48701e-18-0.020478j 2.44492e-17-0.00172664j -1.4278e-16+0.0107648j 1.8026e-17+0.0264693j -6.56226e-18-0.0138566j 3.12487e-17-0.00125329j 2.49006e-17-0.00731458j 8.76476e-17-0.0106312j 3.7009e-17-0.00285092j 5.0946e-17-0.0215282j -8.29688e-17+0.0129345j 4.47907e-17+0.00713411j 3.47684e-19-0.00880531j 3.26094e-17-0.0100376j 1.15369e-17-0.0153315j -1.07837e-16-0.00902164j -2.46662e-17+0.00240809j 6.94762e-17+0.0104925j -3.66623e-17+0.014101j 2.19244e-18+0.00389765j 2.72399e-16-0.00736239j -1.36724e-16+0.00721324j 1.68074e-16+0.00861578j -8.7709e-17+0.0197127j -7.00713e-17-0.0115306j 1.35732e-16+0.0192397j 6.01515e-17+0.0157178j 8.60104e-18+0.00931255j 1.94737e-15+0.0054067j -1.84665e-17+0.00690071j -5.02395e-17+0.00144711j 2.51269e-17-0.00580694j 1.45252e-16+0.00307949j -5.55142e-17+0.00588728j -2.40953e-17+0.0160665j -2.79393e-16+0.00920017j -1.54732e-16-0.0163328j 1.1612e-15-0.00350554j 1.13343e-15+0.00940916j -5.49163e-15+0.00369892j -3.27086e-16-0.00653276j 3.47755e-17+0.0011251j 6.62308e-17+0.00378884j -1.24291e-16-0.00643036j 3.09394e-16+0.0151958j 1.88229e-16+0.0105568j 2.15767e-16+0.0184632j 5.47917e-17+0.00640369j 1.09237e-16+0.0175983j 1.62896e-16+0.0172056j 1.09916e-15+0.0103486j 4.50484e-18-0.00805988j 6.09881e-17-0.0212065j -1.23499e-16-0.0039382j -3.98046e-16-0.0242692j 2.03494e-17+0.00319551j -3.8006e-17-0.00235664j -2.81817e-17-0.00686522j 7.93371e-17+0.00985617j 1.48855e-18-0.00401301j 2.38474e-17-0.0273455j 1.26821e-17-0.0122952j 4.6893e-17-0.0104793j 1.01105e-17+0.013312j 1.17331e-18+0.0259239j -2.78356e-17-0.00964398j 4.02381e-17-0.00572059j 2.63134e-17-0.0208995j -2.76907e-17-0.00486603j 6.52517e-17+0.0367919j 
-3.29374e-17+0.0252222j 7.0612e-17+0.0025223j 1.03218e-16-0.0179224j -3.74062e-17+0.000502422j -1.93402e-16+0.0120677j -1.0884e-16+0.0213714j 4.92889e-17-0.00537832j -7.03933e-17+0.00137247j 4.47797e-17-0.00638723j 1.90905e-16-0.0177882j 6.74921e-17-0.0138827j 1.60189e-16-0.0133188j -9.72373e-17+0.00535675j 1.94303e-17+0.0123337j -9.36223e-18+0.000919265j 9.67305e-17+0.00598432j -1.88292e-19-0.0151816j 1.56319e-17-0.0036536j 1.95425e-17+0.00838019j 3.05902e-17+0.00690366j -9.90346e-17+0.0171583j -2.73835e-16+0.00598842j -3.76365e-16+0.0123333j -1.76262e-16-0.00433366j 5.15531e-17+0.00264859j -2.89621e-16+0.0146783j -5.8174e-16-0.0227947j -2.6248e-16+0.00689847j 2.5585e-16+0.00757273j -1.4573e-16-0.00415303j 5.04172e-15+0.0149323j 2.76607e-16-0.00341529j -2.22701e-17-0.00431869j 9.77029e-17+0.00134205j 1.58724e-16+0.00266669j -6.27241e-17+0.00890895j -1.28148e-16+0.0160075j -2.28993e-16+0.00508805j 6.13027e-17-0.00694543j 5.60431e-15+0.0118065j 4.83053e-15+0.0107197j -2.49199e-14+0.0164734j -3.18735e-16-0.0101444j 1.04187e-16-0.000147193j 5.13909e-17+0.00704047j 1.70531e-17+0.003081j 1.7566e-16+0.0152281j 5.18908e-17-0.00616665j 2.6697e-17+0.017702j -2.97505e-17+0.00452957j -1.08472e-17+0.00846418j -4.71208e-17-0.00168062j 1.1137e-15+0.0118125j 7.53844e-17-0.0100246j 1.40067e-16-0.0107469j 2.73799e-17-0.00584099j 9.27086e-17-0.00503305j -5.76335e-17-0.000241785j -1.06012e-16-0.00407359j -7.47389e-17-0.0096168j 6.11074e-17+0.0140199j 3.40606e-17-0.00168501j 1.2184e-16-0.0204327j 8.90394e-17-0.00763773j -2.0403e-17-0.00241684j -1.03335e-16+0.00756468j -1.39197e-16+0.0195255j 2.347e-17-0.0104207j -5.50648e-19-0.000868938j 1.28033e-16-0.0169015j -1.71229e-17-0.00271123j -1.55712e-16+0.0248656j 
-1.29634e-15-0.0126964j 3.55742e-17+0.00114059j 5.72921e-16+0.00587142j 4.28743e-16+0.00530697j -2.71209e-16-0.00335946j -8.44101e-16-0.00873076j 7.072e-16+0.00769407j 6.13609e-16+0.0076578j 2.68708e-16+0.00295353j 4.61581e-17+0.000221698j -1.62029e-16-0.00177899j 5.65006e-16+0.00573268j -4.73659e-16-0.00515937j -2.43729e-16-0.00258359j 6.68097e-16+0.00760881j 6.49729e-16+0.00714938j 5.49987e-16+0.00623921j 1.00501e-16+0.000125254j -1.11058e-16-0.00155661j -3.68074e-16-0.00363422j -2.59734e-16-0.00249644j 1.97328e-16+0.00342551j 3.75584e-16+0.00742908j -2.20474e-16-0.00270845j -5.06112e-16-0.00462613j -7.18798e-16-0.00761843j 1.65352e-16+0.00242061j -7.54888e-16-0.00833258j -1.06859e-15-0.00972969j -4.81589e-16-0.00572643j -5.81826e-16-0.00117646j -4.49355e-16-0.00582061j -4.85254e-16-0.00624044j 1.04758e-16+0.000428047j -3.92754e-16-0.00277018j -1.5267e-17-0.000157871j -5.17709e-16-0.00588448j -1.08763e-16-0.00142584j 8.17192e-16+0.00745253j -3.20356e-16+0.00149105j -8.36385e-16-0.00405611j -5.80253e-15+0.00402306j -1.80191e-18-0.00110351j -4.09226e-16-0.00504195j -3.96356e-16-0.00411476j 5.10877e-16+0.00487332j -4.12178e-16-0.00307191j -1.11175e-15-0.0112804j -5.73715e-16-0.00482032j -7.67728e-17-0.000312414j -8.77158e-16-0.00905694j -7.1466e-16-0.00675716j -3.30708e-16-0.00148361j -7.2406e-17-0.00120271j 8.37785e-16+0.00915217j -4.3202e-16-0.00558183j 1.26271e-15+0.0112726j 2.56993e-16+0.00352734j 1.2592e-16+0.00161047j 1.3569e-16+0.00144054j -7.84027e-17-0.000521905j 2.57593e-16+0.00278487j 1.03501e-15+0.0112132j 3.36168e-16+0.00337333j 1.00206e-15+0.0118897j -3.09057e-16-0.00280678j -7.47167e-16-0.00760415j 1.76693e-16+0.00162527j 5.87789e-16+0.00704749j 6.27068e-16+0.00658145j 3.03956e-16+0.00332985j -1.18623e-15-0.0119781j 
8.86881e-17+0.0151762j 2.21432e-17+0.00191226j 1.69585e-17-0.00885562j -1.00983e-16+0.00228236j -4.40355e-17+0.00427957j 7.03296e-18+0.0108251j -5.1551e-17-0.00403301j -1.58835e-16+0.00409547j -3.76329e-18-0.00259875j 8.36881e-17-0.00583778j 2.67421e-17-0.002107j 7.74261e-17-0.0100079j -4.50751e-17+0.00507554j 5.79398e-17+0.0022803j -8.1375e-17-0.00108699j -1.3162e-17-0.00261003j -4.81729e-17-0.00528259j 4.52138e-17-0.0058399j 4.23482e-17+6.42693e-06j 2.58662e-17+0.00429237j -4.85497e-17+0.00676372j -1.30394e-16+0.0044954j -1.60342e-17-0.00105769j -9.02473e-17+0.00348227j 7.95872e-17+0.00266325j -2.45465e-17+0.00741606j -7.40867e-17-0.00463352j 1.34404e-16+0.00719397j -1.93581e-17+0.00380424j 5.64976e-17+0.00291688j 6.83059e-16+0.00183208j 5.90292e-17+0.0011448j 1.12384e-16-0.002809j 1.00336e-16-0.00380214j 3.15739e-17+8.75428e-05j -4.82654e-17+0.00327913j 3.90159e-17+0.00596031j -1.93828e-16+0.00499771j -4.69385e-17-0.00577647j 1.28255e-16-0.00229285j 1.49709e-16+0.00298856j -6.05063e-15+0.00397977j -9.66218e-17-0.00446399j 1.35111e-16-0.00254645j 9.97167e-17-0.000636307j -6.83231e-17-0.00142286j 9.69453e-17+0.00727761j 1.70761e-16+0.000251846j 5.66715e-17+0.00818309j -2.42579e-17+0.00385475j 9.42961e-17+0.0054735j 2.42024e-17+0.00747136j 5.26668e-16+0.00525152j 7.67165e-17-0.00558651j 1.94742e-18-0.00771871j 8.20591e-17-0.00595809j -1.49165e-16-0.00884233j -1.19913e-16+0.00454053j -5.77012e-17-0.00025339j -1.53627e-17-0.0030511j 7.33171e-18+0.00538569j -2.37796e-17-0.000791036j -3.87652e-17-0.00985648j 3.40558e-17-0.00564785j -1.65317e-16+0.000837205j -5.33605e-17+0.00672524j -2.97682e-17+0.011331j 1.0971e-17-0.00477705j -9.64849e-17+0.000791598j 1.77684e-17-0.00875139j -4.90968e-17-0.000940905j -1.51974e-18+0.0155081j 
-6.68734e-17+0.00768156j 9.12217e-17-0.00508881j 2.65995e-17-0.00318575j 2.1982e-16-0.0157138j -1.10263e-16+0.00462301j -6.82996e-17+0.00679345j 1.37085e-16-0.0102027j 3.31129e-16-0.0240603j 4.47255e-17-0.00414453j -6.62228e-17+0.00193836j -1.301e-17+0.000158507j -3.64771e-17+0.00234619j -2.7031e-18+0.00264845j -7.96899e-17+0.00757705j 1.91916e-16-0.0128114j 1.14863e-16-0.00552781j 1.52205e-16-0.0102045j -1.56662e-16+0.0104543j -9.85934e-17+0.00813504j -2.96503e-18+0.00212678j 5.0814e-17+0.000359326j 2.56788e-16-0.0134683j 4.51043e-16-0.00579215j -3.4652e-17-0.00461285j 1.78595e-17+0.00526536j -1.12852e-16+0.00806396j -7.12907e-17-0.00820847j -5.27726e-16+0.00545613j 5.93517e-16+0.0162095j -3.30046e-16+0.00298415j 2.47114e-15+0.00718036j -1.27277e-16+0.00751574j -3.34897e-16+0.0165613j -2.10389e-16+0.00827732j 3.45912e-16+0.00710804j 3.3646e-17-0.00165656j -2.22519e-16+0.00846346j 1.6626e-16-0.00506446j -1.0357e-16-0.0067845j 4.04573e-15+0.0089069j 3.4854e-15+0.00811539j 1.13816e-14-0.00740367j -1.08844e-16+0.00615002j -2.40804e-16+0.0159559j -6.78327e-17+0.0140568j 2.73054e-17-0.00513956j 8.39295e-17-0.000716567j -1.1e-16+0.0191632j 9.33523e-17+0.00236212j 6.84883e-17-0.00517975j -1.23135e-16+0.0116651j 1.08619e-18-0.00345988j -1.60525e-16-0.00154966j -1.04377e-16+0.008898j 1.28017e-16-0.00825956j -1.64249e-16+0.0212389j -1.4892e-17-0.00681296j 2.29259e-16-0.017442j 8.3763e-17-0.00517014j -3.71814e-19-0.00191633j 2.15377e-17-0.00253733j 5.27991e-17-0.00501179j 1.80016e-16-0.013512j -1.15685e-17+0.000966815j 3.93374e-16-0.0278702j 6.67136e-17-0.00455509j -2.16831e-17+0.00226231j -1.58281e-17+0.00102997j 2.44932e-16-0.0168388j 5.7168e-17-0.00428429j 8.00417e-17-0.00641297j -4.78072e-17+0.00525441j 
-9.49203e-16+0.0223378j -1.21502e-17+0.00231423j 5.58413e-16-0.0118165j -8.86461e-17+0.00245191j -2.81143e-16+0.00494471j -7.05749e-16+0.0149666j 3.83994e-16-0.0073439j -1.88573e-16+0.00473383j 1.80072e-16-0.0034737j 2.40776e-16-0.00532677j -8.60445e-17+0.000491742j 7.76203e-16-0.0149523j -5.08251e-16+0.00850262j 1.1086e-17+0.00128041j 2.43768e-16-0.0039593j 4.75356e-16-0.00776882j 3.05221e-16-0.00654219j 3.8924e-16-0.00901554j 1.10463e-16-0.00180595j -2.82921e-16+0.00638894j -3.59209e-16+0.0076269j -2.05881e-16+0.00524225j 6.61333e-16-0.00686024j -5.02254e-16+0.007731j -1.72919e-16+0.004975j -5.41191e-16+0.0106453j 1.33763e-16-0.00250228j -4.00463e-16+0.0124838j -5.75344e-16+0.00687815j -3.39667e-16+0.00746157j -1.05065e-17-0.000509959j -3.34176e-16+0.00427382j 6.5014e-17-0.00211816j 4.11727e-16-0.00693101j -2.96341e-17+0.00012917j -1.68027e-16+0.00328441j -3.06963e-16+0.00739236j -5.88965e-16+0.00752434j 4.40323e-16-0.00984197j -7.77162e-16-0.00736785j -1.10641e-15+0.0032712j -2.13815e-15+0.00146647j 1.03668e-17-0.00466812j 1.62452e-16-0.00305981j 1.39235e-16-0.00192098j 1.82609e-16-0.00442707j -2.40114e-16+0.00914956j -2.30947e-16+0.00481523j -3.62261e-16+0.0104713j -2.25639e-16+0.00545155j -4.15433e-16+0.00932136j -6.9076e-16+0.0148206j 4.08848e-16+0.00620623j 2.88383e-16-0.00658649j 6.77402e-16-0.0125686j 2.12885e-16-0.00724224j 6.05668e-16-0.0165014j -3.38624e-16+0.00692885j -4.11751e-17+0.000242209j 1.19579e-16-0.00302519j -1.82489e-16+0.00561947j 8.53595e-17-0.00158819j 7.00829e-16-0.0141729j 4.24497e-16-0.00844024j 1.10992e-16-0.000858226j -4.97374e-16+0.0101548j -7.7353e-16+0.0160359j 2.41964e-16-0.00579834j 5.49856e-17-0.000153695j 5.8967e-16-0.0120812j 7.35143e-17-0.00170784j -1.08054e-15+0.0228202j 
-3.4885e-16-0.0469797j -1.94702e-16+0.00109642j 3.3159e-17+0.025767j -5.95668e-17+0.0124123j 2.00774e-16-0.0158911j -6.84766e-17-0.0348927j 2.34891e-17+0.0220342j -8.4289e-17+0.017482j -1.83591e-17+0.0112458j -8.15292e-17+0.0120306j -6.37398e-17+0.00464867j 1.30671e-18+0.0225034j 3.7231e-17-0.0159375j -4.36058e-17-0.0141596j -3.2964e-18+0.0177436j -2.53307e-17+0.0134189j -1.8955e-17+0.0248347j 1.82006e-16+0.00274274j 4.93594e-17-0.00911575j -1.18484e-16-0.0132442j -5.69667e-18-0.017118j -5.70264e-17+0.00433096j -4.35646e-16+0.00999781j 1.72256e-16-0.0038025j -2.60744e-16-0.0128775j 1.00531e-16-0.0278687j 2.41432e-16+0.02051j 1.44586e-16-0.0245994j -6.56658e-16-0.0283358j 1.59853e-16-0.0111725j -4.38624e-15-0.01243j -2.0127e-17-0.0118414j 1.5779e-16-0.012205j 8.21537e-17+0.000235882j -4.59557e-16-0.0083776j 5.00866e-17-0.00614417j 1.06352e-16-0.0245217j 2.09987e-16-0.00677768j 3.25006e-16+0.0224869j -4.68969e-15-0.00393585j -4.23875e-15-0.0166821j 1.26449e-15-0.00093941j 4.18818e-16+0.00391999j 5.8932e-18-0.0119975j -1.18352e-16-0.0144036j 1.80164e-16+0.00978028j -4.26916e-16-0.0172754j -3.17263e-16-0.0232046j -3.45203e-16-0.0230842j -8.42533e-17-0.00372028j -1.63296e-16-0.0273164j -2.27463e-16-0.0153158j -1.18392e-15-0.0112293j 1.00727e-17+0.00362384j -4.47387e-17+0.0290467j 1.02719e-16-0.00959035j 5.56403e-16+0.030509j -7.32451e-17+0.00856681j 2.94812e-17+0.00649051j 5.76814e-17+0.00968103j -9.69829e-17-0.0103311j 4.68706e-18+0.00779614j -2.82736e-18+0.0402497j 1.41391e-17+0.0131099j -9.16674e-17+0.0301517j -5.54166e-17-0.011718j -5.20788e-17-0.0310071j 4.71316e-17+0.0106704j -7.54872e-17+0.0175059j -2.72832e-18+0.02682j 3.33363e-17+0.00976793j -1.54713e-16-0.045028j 
-6.95503e-17+0.00887111j -1.29125e-18+0.00278763j 7.71171e-17-0.00527903j -8.64615e-17+0.00609649j -3.51253e-17+0.00146687j -8.01889e-17+0.00571862j 8.87351e-18-0.000275677j -1.39799e-16+0.00979735j 1.76317e-17-0.000604815j 8.18648e-17-0.00410486j -6.35599e-20-0.000768121j 1.43576e-16-0.00808481j -9.67101e-17+0.00318025j 3.99037e-17-0.00103597j -3.1304e-17+0.00243609j 3.90791e-17-0.00118725j -6.13742e-18-0.000585939j 9.14064e-17-0.00746142j 4.65706e-17-0.0028089j -2.68939e-17+0.00253887j -8.27919e-17+0.00432223j -1.26909e-16+0.00695135j -1.48438e-17-0.000286238j -9.33086e-17+0.00451195j 2.05018e-18+0.000644581j -6.41217e-17+0.00300291j 2.86753e-17+9.90932e-06j 1.6867e-16+0.00410525j -3.09066e-16-0.00169174j 7.49596e-17+0.00198775j -4.78037e-16-0.00150737j -6.29173e-18-0.00078062j 1.20549e-16-0.00647815j 1.47232e-16-0.0055348j -1.08133e-16-0.00203014j -5.02978e-17+0.00254011j 2.98397e-17+0.00156237j -2.1577e-16+0.00519762j 7.66088e-17-0.00254639j -1.37417e-15-0.00522295j -1.22124e-15-0.000457354j -6.22382e-15+0.0040938j -3.53157e-17-0.00465078j 1.19561e-16-0.00641187j 5.65715e-17-0.00483466j -7.40456e-18-6.47964e-05j 2.25277e-18+0.00519212j 4.02514e-17-0.00444197j -4.36045e-17+0.00494676j -4.65211e-17+0.00430343j 3.49219e-18+0.000868871j -6.87804e-17+0.00737845j 3.80747e-16+0.00396j 8.15279e-17-0.00634514j 7.17856e-17-0.00350642j 5.8973e-17-0.0102791j 1.42004e-17-0.00527999j -1.28591e-16+0.00852711j -4.61583e-17+0.00147867j 1.16542e-17-0.00133756j -1.59787e-17+0.00416951j -4.53399e-18+0.000799131j 4.86606e-17-0.00317329j 7.20623e-17-0.0044578j -1.12738e-16+0.00834673j -9.80276e-17+0.00633513j -1.10655e-16+0.00749941j 3.60384e-17-0.00352541j -6.99818e-17+0.00523984j 7.59011e-17-0.0049748j -2.33173e-17+0.00112521j -1.34439e-16+0.00982838j 
-3.56665e-16-0.0079744j -1.2393e-16-0.00283859j 1.61547e-16+0.00391738j -1.96272e-16-0.0068006j -3.71266e-17+7.69531e-05j -1.82143e-16-0.00419786j 2.47356e-17+0.000393049j -3.17226e-16-0.0109428j 7.61317e-18-8.53839e-05j 9.07554e-17+0.00164255j 5.05183e-19-0.00206856j 2.47772e-16+0.00834987j -6.22037e-17-0.00368435j 3.61921e-17+0.00339397j -5.89968e-17-0.00177376j 7.68899e-17+0.00373345j 8.31723e-18-0.00138886j 2.70299e-16+0.00868055j 1.14847e-16+0.00498496j -8.58768e-17-0.00234528j -9.38046e-17-0.00237377j -2.34007e-16-0.00705394j -1.75812e-17+0.00390961j -1.68588e-16-0.00694137j -4.60874e-17-0.000956126j -1.14275e-16-0.00195545j -2.26862e-16-0.00421802j -4.82176e-16-0.00500305j 4.88556e-16+0.00222576j -2.54153e-16-0.00416755j 1.66243e-15+0.00471218j 8.18957e-17-0.000548737j 1.49032e-16+0.00638183j 1.32259e-16+0.00729834j 2.49426e-16+0.00268514j -5.02956e-17-0.00143909j -1.09617e-16+0.000376544j -2.49522e-17-0.00573346j 7.09423e-17+0.00290297j 3.09506e-15+0.00915336j 2.47873e-15+0.00212819j 1.81258e-15-0.00127282j 1.94997e-16+0.00366522j 1.85537e-16+0.00730729j 1.90435e-16+0.00689432j 5.41267e-17+0.00140807j -2.134e-16-0.00393869j 1.1173e-16+0.00271434j -1.71669e-16-0.00338997j -1.60333e-16-0.00455717j -6.45136e-17-0.000721366j -3.44611e-16-0.0106095j -4.53917e-16-0.00283915j 2.04241e-16+0.00580767j 1.16047e-16+0.00359907j 4.26927e-16+0.0109582j 3.30068e-16+0.00728348j -2.81827e-16-0.0102687j -4.89613e-17-0.00244131j 1.30669e-17-2.9341e-05j -1.40822e-16-0.00252128j -2.28321e-17-0.000937014j 1.01754e-16+0.00154321j 1.46298e-16+0.00457613j -2.63482e-16-0.00925758j -2.13975e-16-0.00687145j -2.43435e-16-0.00664456j 1.15239e-16+0.00259104j -1.63862e-16-0.00574272j 1.56986e-16+0.00384207j -2.78792e-17-0.00147328j -3.40361e-16-0.00914608j 
-6.17941e-17-0.00534079j 2.20227e-17-0.00023589j 2.35474e-18+0.00200924j 1.22187e-16-2.95777e-05j -1.93931e-17-0.000262416j -2.87076e-17-0.00292315j 7.4012e-17+0.00267736j 1.88917e-16-0.000344597j 2.22936e-17+0.00058482j -2.75931e-17-0.000909529j -5.66781e-18-0.00253279j -5.04582e-17+0.0037481j 1.10659e-17-0.00272742j -5.91641e-17+0.0011123j 9.45085e-17+0.00249565j 4.29889e-17+0.00448799j 5.17169e-17+0.000709566j -7.87783e-17+0.00248138j -5.39006e-17+0.00168029j -7.46478e-18-0.00157548j 2.18612e-17-0.000265551j 6.69882e-17-0.000378647j -1.27896e-16+0.00519403j 5.41965e-17-0.00362317j -6.48198e-17-0.00188714j -6.91772e-17-0.00234927j -8.61324e-17-0.00232776j -1.33544e-16-0.00425481j -2.84193e-17-0.0024594j -5.81581e-17-0.00391226j 6.93399e-16+0.00230106j 2.10863e-17-0.00274248j -1.42327e-16-0.000793244j -7.70415e-17+0.00258862j -4.44573e-17-8.33095e-06j 3.29442e-17+0.000242355j -6.62302e-17-0.000820325j 1.061e-16-0.00193673j 7.89565e-17+0.00324262j 1.12345e-15+0.00448248j 9.50913e-16-1.58591e-06j -3.84788e-15+0.00257569j -4.7578e-17-0.000137684j -1.2906e-16+0.000323713j -1.21187e-16+0.00116842j 7.46635e-17+0.00261486j -8.61914e-18-0.00114983j -1.9172e-16-0.0040824j -3.31916e-17-0.00144994j 3.76e-17-0.00117675j -1.00214e-16-0.00305163j 5.14108e-18-0.00614113j -4.59977e-17-0.000471663j -8.32396e-17+0.000510849j 3.99055e-17+0.00380397j -1.5107e-16+0.000781278j 1.51388e-16+0.00628517j 1.45023e-16-0.00188563j 2.74693e-17-0.00048835j -1.06982e-17-0.000264765j 3.71535e-17+0.000193255j 4.33161e-17+0.000650241j 7.85983e-17+0.00313566j -2.05345e-17+0.00211593j 2.09327e-16+0.00152153j 4.49457e-17-0.00262589j 8.23068e-18-0.0034128j -1.86696e-17+0.000567265j 1.27403e-16+0.000869158j 1.10263e-17+0.00235031j 5.09814e-17+0.000606613j -1.6967e-17-0.00546036j 
-2.68981e-16-0.00180976j -2.67515e-16-0.00130994j 1.82068e-16+0.00120229j -6.74245e-16-0.00332282j 3.79294e-17+4.81809e-05j -1.18407e-16-0.000973508j -2.29371e-16-0.000920565j -1.05567e-15-0.00522299j -7.27759e-17-0.000240423j 2.35668e-16+0.00135037j 4.06376e-17+0.0002018j 4.47391e-16+0.00258147j -7.70285e-17-0.000669851j 2.28508e-16+0.00107565j -4.22454e-16-0.00195714j -7.15023e-17-0.000165179j -2.09595e-16-0.0008578j 6.21232e-16+0.00320924j 3.33598e-16+0.0016429j -7.50996e-17-0.0005258j -1.91472e-16-0.00119447j -6.48393e-16-0.00334269j -7.80693e-17-0.000438791j -3.36771e-16-0.00179474j 9.79291e-17+0.00032597j 4.89457e-17-6.62955e-05j -2.28073e-16-0.000863738j -1.86795e-16-0.000667772j 6.46384e-16+0.0020903j -8.9323e-17-0.000312355j 6.59725e-16+0.00118455j 2.18535e-16+0.000947636j 6.93535e-16+0.00350651j 4.42579e-16+0.00244304j 3.53425e-16+0.00129616j -1.58437e-16-0.000885995j 9.94151e-17+0.000402798j -3.26991e-16-0.00201363j -6.50146e-17+7.76273e-05j 1.32247e-15+0.00244244j 9.42334e-16+0.000951598j 2.46832e-15-0.00187932j 4.01175e-16+0.00194173j 6.85831e-16+0.00344066j 5.90351e-16+0.00281126j -1.18472e-16-0.000468578j -2.87096e-16-0.00156175j 6.93005e-16+0.00314966j -1.82527e-16-0.00118417j -3.40505e-16-0.00176164j 2.32221e-16+0.000895396j -4.66231e-16-0.00252424j -3.7489e-16-0.00128753j 5.2838e-16+0.00270944j -2.66399e-17+0.000208083j 1.05034e-15+0.00507968j 1.10193e-16+0.000889954j -8.35882e-16-0.00421181j -1.88374e-16-0.000949677j 1.84834e-17+0.000182423j -2.78209e-16-0.00143854j -1.61822e-16-0.000726104j -1.66157e-16-0.000426915j 2.41408e-16+0.00139091j -1.07461e-15-0.00517295j -4.19432e-16-0.0022939j -3.14668e-16-0.0019443j 2.01696e-16+0.00111271j -6.58484e-16-0.00318197j 1.41945e-16+0.00100902j -2.06573e-16-0.000961142j -3.60619e-16-0.0023289j 
2.29336e-16+0.0122735j 7.8811e-17+0.00331214j -7.32888e-17-0.00935849j 5.35779e-17+0.00596735j -4.64294e-17+0.00529421j 9.67148e-17+0.010132j -3.40192e-17+0.000318001j 8.87382e-17+0.00951448j -1.0623e-18-0.00223484j 5.19958e-17-0.0108319j 4.89904e-17-0.00777706j -1.00056e-16-0.00888901j 2.92199e-17+0.00240318j -3.1983e-18+0.00423879j -2.40408e-17+0.00489899j -4.13721e-17+0.00497501j -5.53946e-17-0.00511426j -1.31409e-16-0.0061313j -4.09332e-17+0.00170624j 8.2314e-17+0.00336235j 1.6373e-17+0.00976073j -7.39245e-17+0.00834579j -4.03339e-16+0.00864748j 4.38707e-17-0.00045248j 4.76258e-17-0.000185162j -5.29048e-17+0.00576672j -2.60634e-16-0.00989913j 1.65111e-16+0.00243242j -1.17001e-16-0.00124854j 1.10562e-16-0.0030628j 1.86575e-15+0.00575361j 1.92216e-16-0.00439573j -4.73208e-17-0.00838257j -1.96713e-17-0.00248435j -8.89337e-17-0.0010335j 4.49736e-18+0.00569459j 3.43771e-17+0.00622926j -6.30864e-17+0.00495315j -2.03308e-18-0.00187554j 1.47403e-15+0.00310886j 1.39157e-15+0.00323115j -1.79574e-14+0.0118787j -2.51558e-16-0.00803846j -1.67318e-17-0.00588083j -7.94702e-17-0.00115005j -1.96397e-17+0.00335847j 1.9413e-16+0.00913076j -1.51123e-17-0.0100464j 9.7821e-17+0.00947172j 6.84278e-17+0.0045956j 6.62851e-17+0.000966167j 1.90475e-16+0.0009151j 7.95242e-16+0.00739848j -7.11144e-17-0.00902883j -5.83185e-17-0.00358574j -1.85146e-16-0.011109j -1.07946e-16-0.00107884j 1.08097e-16+0.00635463j -4.62332e-17-0.000424083j -6.36351e-17-0.00480873j 1.16936e-16+0.00895572j 1.91772e-17+0.00077468j -6.65432e-17-0.00718768j -5.82599e-17-0.00495725j 5.46872e-17+0.00852039j 8.04505e-17+0.00626371j 1.11408e-16+0.0107578j -6.15318e-17-0.00642054j 4.17333e-17+0.00549295j -6.48296e-17-0.00840989j -1.02801e-17+0.000695334j 1.74386e-16+0.0129575j 
