0.000931619+0.014479j 0.00986468+0.0396844j -0.0110044+0.0036151j -0.041059+0.0487847j 0.00310011+0.00503216j 0.0154276-0.0142076j -0.00908706+0.0706325j 0.00443977-0.00146429j -0.0123102+0.00339753j -0.014553-0.00779203j 0.000789301-0.0162863j 2.79063e-05+0.00814864j -2.84536e-05+0.0252004j 0.0076522-0.0178023j -0.0193704+0.00262361j 0.011119+0.0199349j 0.00568753-0.0232754j 0.000189041+0.0341417j -0.0219429-0.00200234j -0.0153453-0.00900049j 0.00294939-0.00341373j -0.00597726-0.00032296j -0.00210983+0.00310505j 0.00538124-0.022302j -0.00099347-0.00792108j 0.00949548+0.00676247j -3.07095e-05+0.0309627j -0.00459213-0.00727819j -0.00215991+0.02069j -0.0135209+0.00549213j -0.00402305-0.024867j -0.00322649-0.00250814j 0.0103974-0.00608273j 0.0118088+0.0165114j -0.00481961+0.0183738j 0.00601649+0.007222j -0.000706234-0.00134338j 0.0101024-0.00217066j 0.00700413+0.0215891j 0.0134595+0.00895673j 0.00874585-0.0271148j 0.0333143+0.0234711j -0.0053554+0.0282116j -0.0168914+0.0189847j 0.00938383-0.0325963j -0.00616264-0.0284696j 0.00361466-0.0200641j -0.00012532+0.0203842j 0.0361724-0.00751778j -0.013764-0.0335102j 0.0070093-0.043191j -0.0162047+0.00473607j -0.0448045-0.0488145j 0.00817052-0.0115078j 0.0033962+0.0274423j -0.0414744+0.0209915j -0.0176852-0.0398611j -0.00208817+0.00106512j 0.0291041-0.0494738j 0.0285954+0.0640755j 0.0370602+0.0279778j -0.0297291-0.0285721j -0.0198774-0.0040684j -0.00478177+0.012233j -0.00258861+0.00174833j -0.0384245-0.0627489j -0.0268465-0.0263165j 0.0666491-0.00365072j 0.084388+0.110406j -0.066972+0.00468865j 0.0963249+0.146193j 0.0445106-0.000412246j 
-0.00490372-0.030843j -0.0183461-0.0181114j -0.0354741+0.019126j 0.010051-0.00459256j 0.0245694+0.0463882j 0.0485959-0.0168283j -0.0220829-0.020033j -0.0633074+0.0190984j -0.00699565-0.00841007j -0.0202024-0.0388919j 0.00978155+0.00838083j -0.0178796+0.0496531j -0.0328829-0.0299765j -0.0141975-0.0206022j -0.0524686-0.00910005j 0.0835484-0.0779401j -0.00330265+0.0524621j -0.0793467+0.027784j -0.0281475+0.00602987j 0.0168719-0.117576j 0.0167122-0.0446218j 0.0710712+0.080979j -0.0160858-0.0361793j 0.0300637+0.0360131j 0.018418+0.0471729j 0.0475518+0.0232603j -0.00641339-0.0213165j 0.102567+0.0132683j 0.0238728-0.0251576j -0.0639187-0.105489j 0.00325095-0.0564973j -0.0140452+0.0880411j 0.11132+0.0156766j -0.0531979+0.0566882j 0.0227291+0.0330182j 0.0562992-0.05145j -0.141615+0.0414699j -0.0121634+0.0705601j 0.0635667+0.0621095j -0.00579606+0.0441693j 0.110252+0.0266632j -0.00563227+0.106071j 0.0690387-0.0503951j 0.0213968+0.0702301j 0.0648702+0.00180559j -0.0198194+0.0620867j -0.0736052-0.0184166j 0.022673+0.0473541j -0.0483851-0.0739068j -0.0635978+0.0539794j -0.00651572-0.00611011j 0.0796687-0.0370355j 0.110496-0.13444j 0.00413163+0.123024j 0.0673622+0.03212j 0.0437158+0.020054j 0.0150297-0.0473826j 0.0455106+0.0084679j -0.033599-0.102674j -0.0644257+0.00814272j -0.000230507+0.0377231j -0.0348298+0.0153921j 0.0267869+0.00879766j 0.0653663-0.0294368j 0.00581902-0.0488706j -0.0560606-0.0249685j 0.0386025-0.0363821j -0.0501838-0.0172177j 0.0662553-0.0288428j 0.0752658+0.0272438j 0.00471747-0.0146209j -0.0573096-0.0463183j 
-0.0126515+0.010253j -0.0354568+0.0145181j 0.00598029-0.0346419j -0.0454904+0.00862769j 0.00953706-0.00333345j -0.0183464+0.0128813j -0.00783882-0.00571797j -0.0141568-0.020689j -0.075971+0.0779588j -0.0271205-0.0887326j 0.0124065-0.0220048j -0.00552771+0.00382169j -0.00469385+0.0491906j -0.0769799+0.0148171j 0.0703943-0.00436061j -0.092982-0.0926041j -0.102558+0.047559j 0.00882251-0.0140427j 0.00344776-0.0597084j 0.110914+0.0153919j 0.0741407+0.0937891j 0.039836+0.0065321j 0.0715222-0.00137661j -0.0572014+0.0612293j 0.00790883-0.00183986j 0.039517-0.063481j 0.0677277-0.0709371j -0.0740391-0.0605397j 0.125943+0.0127499j -0.0440329-0.0327957j 0.0714993-0.0303086j -0.00325514+0.00043251j 0.113315+0.0158097j -0.032088-0.114451j -0.00930984+0.107139j -0.0242456+0.0360719j -0.0326624+0.0922667j -0.0031235-0.00458739j 0.0349563-0.0621364j -0.0519656+0.0412365j -0.0211264-0.0294538j 0.0025412+0.0431912j -0.0293559-0.0200783j -0.0903347-0.0174093j -0.0177745-0.117362j 0.0518198-0.00526306j -0.0646083-0.122648j -0.00277513+0.0435829j 0.0551944+0.138451j -0.00390265+0.0749891j -0.102928+0.0533373j 0.0821593+0.0608977j -0.0458925-0.0379148j -0.0129022-0.0399627j 0.0188068+0.0757986j -0.048717-0.00992223j -0.00672183-0.0995352j 0.0488058-0.0378172j 0.106701+0.0743272j 0.0996397-0.00682001j -0.102438-0.00859063j 0.0770599-0.0918055j 0.0539574+0.0133124j 0.0753671+0.130774j -0.0554485+0.0526336j -0.0503129+0.0732611j -0.0492397-0.0550374j 0.0526818-0.0124838j 0.0828661+0.0268543j 0.0246369+0.0458086j 0.0279297+0.0330128j 0.00337127-0.0170262j 
-0.00608522+0.010425j 0.0214007-0.00652615j 0.0655728+0.0215784j 0.0290123-0.030685j 0.00170699+0.00150506j -0.0277996+0.0515461j 0.00489502-0.0684556j -0.0797926+0.0163868j -0.0214363-0.0344893j 0.00774421-0.05153j -0.0538038-0.0116425j -0.0100916+0.0283581j -0.034434-0.0322628j -0.0421034+0.0252359j 0.00356568+0.0316285j 0.0309256-0.101402j -0.0344918+0.0171183j -0.112326+0.00885251j 0.0697326-0.0430612j 0.0139547-0.0629709j 0.0577348-0.0312644j 0.107946+0.0483876j 0.0444929-0.0523832j 0.024547+0.0771867j -0.0197792+0.0159267j 0.0110284-0.00949882j -0.0407311+0.00926749j 0.0682011-0.0245372j 0.0150489-0.0242938j -0.034229-0.0814585j 0.0802939-0.0884946j -0.0270455-0.037147j 0.0429101+0.0844976j -0.0435316+0.0386072j 0.048096+0.133241j -0.0253946-0.125241j 0.0188951-0.0636952j 0.0808974-0.0206906j -0.0547534+0.0431745j 0.00529714+0.00945065j 0.0506273-0.0686815j -0.0167418-0.139218j -0.0217152+0.0422865j 0.0275562+0.00328732j -0.0442114-0.10278j -0.0681812+0.0604759j 0.116914+0.0247107j 0.0640715+0.0416355j 0.0273317+0.0433096j 0.0554733+0.0591858j -0.098755-0.108782j -0.149379+0.0253516j -0.00787272-0.0180495j -0.0721374-0.0593634j -0.0583785-0.153703j 0.0723948+0.0286065j 0.0105132+0.102151j -0.140265-0.0491561j -0.0264849-0.0346342j -0.0678402-0.0642796j 0.0876739-0.141714j 0.0735116+0.0580979j -0.00546283+0.0524446j -0.0769984+0.0668013j 0.0119991-0.0117067j -0.00478499-0.00879564j 0.040646+0.0319369j -0.0489895+0.00754466j -0.0103377+0.00702936j -0.0539146-0.023498j -0.00288976-0.0300592j 0.000112049+0.002083j 
-0.00585219-0.0153998j 0.0488949+0.0143214j -0.00439235+0.0571844j -0.0300382+0.0213099j 0.00486001+0.0382688j 0.0620096+0.0337026j -0.00824879+0.0363845j 0.0271552-0.033055j 0.0151959+0.0326201j -0.0278467+0.0341436j -0.0902641-0.0194923j 0.011783-0.00413206j 0.0716337+0.0126725j 0.0217591-0.0324789j -0.0349327-0.0673685j 0.0237822+0.0100539j 0.0701063-0.0551199j 0.084339+0.0441189j -0.0926116+0.017243j -0.0121393-0.0035681j -0.0128502+0.0389023j 0.0556745-0.0369336j 0.0200824+0.061403j -0.068499-0.0521655j 0.0760523-0.047891j 0.00567282-0.10741j 0.113341-0.0557956j -0.00573648+0.00194963j 0.026135+0.0185297j 0.031259-0.0351512j -0.0365987-0.0077271j -0.012258+6.70267e-05j 0.0356628+0.0132074j 0.0293327-0.0732061j 0.0100517-0.110005j 0.0684134-0.108539j -0.0811832+0.0571164j -0.0071479-0.0386514j -0.00270742+0.118616j 0.0121472-0.0278115j 0.026259-0.0279865j -0.121425+0.0906308j -0.05076+0.0587986j 0.101765+0.0503826j -0.0348905-0.216855j 0.0568164-0.153281j 0.0116608-0.0394454j -0.0191592+0.0487469j 0.0387576+0.0712347j 0.00248496-0.0104072j 0.161258-0.0880928j -0.0555658-0.012364j 0.127292-0.0608795j -0.081899+0.0152858j 0.0271713-0.0989672j 0.0483734-0.0252661j -0.0385553-0.0594322j 0.0623098+0.00880633j -0.058911+0.0201407j -0.140322+0.00756472j -0.012622-0.0145783j 0.0549388-0.0645587j -0.0135616+0.0607124j -0.0465766+0.0318304j 0.00742296+0.0390401j 0.0778146-0.0413905j 0.0299399+0.0615587j -0.00991733-0.0483745j 0.0346741+0.0503588j -0.0228155+0.044269j 0.053541+0.0681042j -0.00014069+0.0126303j 
0.00574595+0.00488484j 0.00244124-0.016648j -0.00195473+0.00694766j -0.0201007+0.00542864j 0.0800862-0.00231695j 0.0367137+0.0201079j 0.0055391+0.0523079j 0.000651585+0.0163678j 0.0209966+0.035788j 0.000948237+0.0172807j -0.0278744-0.0325429j 0.0292513+0.0276236j 0.0478853-0.0403131j -0.0291911-0.025339j 0.0111405+0.00186067j 0.0407702+0.0313082j 0.02923-0.0272976j -0.0299305+0.0191673j 0.00941101+0.0139918j -0.0783834-0.0217129j 0.0157693-0.0464204j 0.010485+0.0267037j 0.0415636-0.0599736j -0.0114293+0.0104062j 0.0570405-0.116505j 0.0400551-0.0109937j -0.0421275+0.0396766j 0.0220764-0.00247637j 0.0369152-0.000314683j -0.0265167-0.0199889j -0.0520361+9.75844e-05j -0.0601538+0.0346758j -0.00276844+0.0565941j 0.0933187+0.0455184j 0.0384299+0.0733739j -0.0234244+0.00426824j 0.0202954+0.054497j -0.0118395+0.0340782j -0.118904+0.00290513j -0.0339793-0.0236547j 0.00830067-0.00641655j -0.0577629-0.071211j 0.0684211+0.00142209j -0.0297563-0.00966974j 0.0449513-0.0331433j -0.032604-0.0128535j 0.085031-0.0420917j 0.0431227+0.0343513j 0.012536+0.0975828j -0.01504+0.0669867j -0.00367914-0.106329j -0.0170432+0.0199096j 0.0136941+0.0065106j -0.0403839-0.0961435j 0.0336918-0.0349223j 0.0772346+0.0233309j 0.00223805-0.0682343j -0.0325828-0.126808j 0.0285646+0.0254903j 0.071019-0.0280163j -0.0687739-0.0250273j 0.00829167-0.0237745j 0.00944506+0.026699j -0.00770131+0.0521529j -0.0888462+0.0119459j -0.0541437+0.111305j -0.022802-0.113297j 0.0755477+0.00963912j -0.0508103+0.0624153j -0.0284715-0.0517448j -0.0304309+0.0109242j 0.0432085+0.0581927j 
0.00585132-0.0113639j -0.00216004+0.0121241j -0.0153858+0.0114454j -0.047717+0.0304434j 0.0151706+0.0139653j 0.0559174+0.018562j -0.0694218+0.0559077j 0.00953186+0.0462435j -0.0450773+0.0497676j -0.0386212-0.0280495j 0.0344+0.00731957j 0.00320185+0.0394686j -0.00437868+0.0693947j 0.00783931+0.0295495j 0.0183326+0.0350182j 0.00441008+0.0204853j 0.0123675+0.00177999j 0.00287108+0.0322212j 0.0298865+0.0176173j -0.0186066+0.0224884j 0.06426-0.0158009j 0.0271739-0.0251895j 0.0207523+0.00584945j -0.0755233+0.0472751j -0.0340192-0.0352674j -0.0326354+0.0112946j -0.0188259-0.046514j -0.0713086+0.00272748j 0.0224155-0.000206405j -0.029868+0.0328717j 0.0435067-0.061443j 0.0122982-0.00835667j -0.00305439+0.0402905j -0.0440814-0.0461412j -0.00595109+0.0462218j 0.0262993+0.00814808j 0.0619556-0.0249691j 0.016915-0.0521997j -0.0244587+0.0449704j -0.0105742-0.0101799j 0.0321188-0.0720964j 0.0718966-0.0416954j -0.0319806+0.0351321j 0.03544+0.0402257j -0.0585567-0.0953462j 0.024726+0.0153391j 0.072465-0.0199928j -0.0392875-0.00506215j -0.00836346-0.0185188j -0.00633218-0.0517258j -0.0136647-0.0438828j -0.0633225+0.00935173j -0.026533-0.0266354j 0.0117816-0.0484849j 0.0590961-0.0260256j 0.0152157+0.0646192j -0.032722+0.00363628j -0.0264253-0.0249702j 0.0484031-0.0290569j -0.0181214-0.00355288j 0.0524618+0.025086j -0.0383855-0.0693042j 0.0153056+0.00562341j 0.0509459+0.013804j -0.0518943-0.0397683j -0.0796585-0.0427758j 0.04398-0.0262335j 0.0218049+0.00938216j 0.0413393+0.0569081j -0.0476968+0.0192199j 0.00527948+0.0399481j 0.0246531+0.0381965j 
0.0176307+0.0482232j 0.00974642-0.0123541j 0.031678-0.0180253j -0.0337095-0.013336j 0.0120951+0.0147675j 0.00959214+0.094643j -0.100017+0.0148636j -0.0246079+0.0937129j -0.0336396+0.0142533j -0.0041541+0.0236479j 0.0167861+0.00229489j -0.00427646+0.0256412j -0.0181133+0.00397199j -0.0345642+0.0560646j -0.0451113+0.0658045j 0.0631765-0.00549838j 0.0161046-0.0142964j 0.0333546+0.0119968j 0.0316502+0.0717272j 0.00525649-0.0164021j 0.0817145-0.0129719j 0.0515293+0.00178108j -0.0211087-0.0143939j -0.0826039+0.0662103j -0.0439194+0.0235175j 0.0196509+0.0175712j 0.0301405-0.072095j -0.0215293+0.0553838j -0.00454873-0.0211028j -0.00574934-0.00755119j 0.0279045+0.00520633j -0.0103068+0.0169734j 0.0567781+0.0305263j -0.0796677-0.0995129j 0.0727165-0.0889155j 0.0994268+0.0180429j -0.064797+0.0107613j -0.0778807-0.0460753j 0.0611032+0.0252796j -0.0672093+0.0409164j 0.0335217-0.0561892j 0.0570732+0.0121284j 0.0132547-0.0195808j 0.147176+0.0820792j 0.0262353-0.0371657j 0.142461+0.0642796j 0.0943986+0.028564j -0.0317647+0.0182616j -0.0894999-0.046954j -0.0298616-0.0197864j 0.0749814+0.0345449j 0.0479594+0.00963111j 0.0525245+0.0855832j 0.0154823+0.0486731j 0.051286-0.0587642j 0.0294377+0.0136433j -0.0204092-0.0586195j 0.179921-0.0153039j -0.0485145-0.0359929j -0.0404337+0.0105578j -0.0366314-0.0155599j -0.0174254-0.047364j 0.022447-0.000445959j 0.0592836-0.0271497j -0.0138282+0.0507844j 0.0603764+0.0449628j 0.0204037+0.0860903j 0.00596073-0.0174728j -0.0723665-0.0129045j 0.0100772-0.00170694j -0.00387441-0.028324j -0.0246977+0.0646933j 
0.0388356-0.0173503j 0.0219815+0.0134267j -0.0215785+0.0533348j 0.0489293+0.00606568j -0.0369977+0.0186897j -0.0305829+0.0282216j 0.0299553-0.0335707j 0.0213726-0.014053j -0.00253967-0.0390672j 0.0481605-0.0254069j -0.018569+0.0156273j 0.0101161-0.0728941j -0.0692904-0.011059j -0.00752712+0.0892818j -0.0240851+0.00268078j -0.0483597-0.0261961j 0.0369093+0.0347919j -0.0325168+0.00884735j 0.019888-0.0243157j 0.0605511-0.0137151j 0.0278403+0.0374984j 0.0329738-0.00319542j -0.0372412+0.0590402j 0.109084+0.0176418j 0.0452732+0.0431024j 0.0151398-0.0591617j -0.0587671+0.0287161j -0.0300416-0.06932j -0.0670708+0.000155246j -0.0264428+0.00272435j 0.0321642+0.0267212j 0.101186-0.0685955j 0.0139082+0.00806669j -0.011605+0.00541869j -0.0315872-0.0181079j -0.0560291-0.0248653j 0.0511665-0.0473271j 0.022603+0.00262898j 0.0748637-0.0186839j 0.00880209+0.0989252j -0.0290965+0.00917249j 0.032435-0.0552694j -0.0200438+0.0663179j -0.113375-0.00538241j 0.108558+0.00833146j -0.0582795-0.01947j 0.0578173-0.0701907j -0.0470185-0.0130288j 0.0644717+0.0271742j -0.0161618+0.00512742j -0.0268075-0.0141569j -0.199357+0.122699j -0.141607+0.0747012j -0.0465999-0.0124564j -0.0380128-0.0573058j -0.0584819-0.055442j -0.0309699+0.143633j 0.0459364+0.0104495j -0.0641589+0.0128287j 0.0456639-0.0727922j -0.0634966-0.0211086j 0.0207199-0.0586196j 0.0397744-0.00587409j -0.00353949+0.137361j 0.0239201+0.0458672j 0.0709899+0.00526623j -0.0616336+0.0514503j -0.0204669-0.0162466j -0.0176635-0.017448j -0.0214915+0.0157222j -0.00251135-0.0266166j -0.00178577-0.00544084j 
0.0284843-0.00282327j -0.00529657-0.0210296j -0.0497726+0.0192465j 0.0309033+0.0277931j 0.0187113-0.00355893j -0.0138067-0.00711101j 0.02904-0.00950867j 0.00329771-0.0352468j 0.0262068+0.0588546j 0.00125939+0.0431557j -0.00311268-0.0572373j 0.00844275-0.0126523j 0.0491302-0.0420418j -0.0151854-0.0388177j -0.00487751-0.0265728j 0.0499675+0.0337877j 0.0564018-0.00618017j -0.0167084-0.0018429j 0.00344817-0.0189347j -0.0154527-0.0373308j -0.00859652+0.0194634j -0.00605492+0.0428177j -0.0180195-0.0355627j 0.0305401-0.0227848j 0.0289419-0.0227826j 0.0312529+0.0164263j 0.0356867+0.104592j 0.0247126+0.0694795j -0.0868398+0.0436725j -0.0491059-0.01809j -0.0321393+0.0191478j 0.00357952+0.0907643j -0.0214369+0.0224431j 0.0541704+0.0804593j 0.051806-0.00725272j 0.0249394-0.0344684j -0.0296842+0.0860552j -0.0632835+0.0895342j -0.0363331-0.0173259j -0.0160933+0.0261684j 0.002539+0.024035j 0.00740149+0.0484655j 0.0696073-0.00849622j -0.0233313+0.0246765j 0.193611+0.114132j -0.0624962-0.0130946j 0.0677778-0.111659j -0.0873419+0.00838054j -0.028871+0.135756j -0.0934654+0.0467943j -0.0626724-0.0473004j 0.016021+0.0648875j -0.0228457-0.0769065j -0.0222254-0.00819067j 0.0557283-0.00364329j 0.0323582-0.0347758j 0.0684612-0.0834229j 0.0555463-0.0113607j -0.0327872-0.0214716j 0.0766538+0.0366246j -0.0632137+0.0416747j -0.0150028+0.0702249j -0.00571717-0.0494849j 0.0147169+0.0131447j -0.0545169+0.0406741j -0.0072694+0.12814j -0.085456-0.111671j 0.0759476-0.0211555j -0.0392629+0.0296825j 0.0141777-0.0283027j 0.0115635+0.0202118j 0.0258439-0.0123911j 
0.0263122+0.010118j -0.0155285+0.0264789j -0.0754927+0.00362441j -0.0242829+0.026136j -0.0158908+0.0152786j -0.015511-0.00919248j -0.0234185+0.0111332j 0.0361934-0.0044139j -0.000199154+0.0813494j -0.000624268-0.0128953j -0.00232091-0.0456802j -0.0144826-0.0122587j -0.00502617+0.0163535j -0.0479964-0.0906409j 0.0565714-0.0340938j -0.00852322-0.0550663j 0.0190678+0.0495849j 0.0289163-0.0293833j 0.00872564-0.023105j -0.0305146-0.0162953j 0.00850093-0.00867391j 0.0612792+0.0555618j 0.0271691-0.0436473j 0.0370631-0.00354943j 0.00812589+0.0385931j 0.017491-0.00810108j -0.0151776-0.0431415j -0.0523032+0.0183533j -0.0359905+0.0258958j 0.024584-0.000800125j -0.0260686+0.0412397j 0.0264018-0.0216538j 0.0227118-0.087014j 0.074479+0.0666571j -0.0674498+0.023179j -0.0339504+0.00539198j -0.0446972+0.0728194j -0.0902847+0.0457813j -0.0556324-0.0979328j -0.0747774-0.0798334j 0.0163582+0.0410468j -0.0314123+0.00778374j 0.0158754-0.0319627j 0.0293724+0.0468285j 0.214903+0.0458794j 0.0267003-0.0271074j -0.0211423-0.127652j -0.15245+0.0200993j -0.0092767+0.0068251j -0.113104+0.0689125j -0.0401837-0.0726769j -0.153336+0.0236023j -0.0315003-0.0608436j -0.0067285+0.0318443j 0.0884285-0.087771j 0.12183-0.128358j 0.0405814+0.078606j 0.10587+0.049329j -0.163509-0.0758876j -0.0806415-0.0563314j 0.0360082+0.0254746j -0.0425376-0.0291004j -0.0645714-0.0320846j -0.0619082-0.0625351j -0.00104619+0.00317535j 0.0431368-0.0443808j 0.0237451-3.51757e-05j -0.0592377+0.0472125j -0.0110635-0.0685569j 0.0652455-0.03181j -0.0507018-0.014409j -0.0209303-0.00324094j 
-0.00943825+0.0138074j 0.0321015-0.0184535j 0.0694443-0.0119252j -0.0144298-0.0365604j 0.015772+0.0556546j 0.0600758+0.0863217j -0.0629151+0.0264651j -0.0106825+0.00367482j -0.0802552+0.0317565j 0.00153018-0.0151247j 0.0321671-0.0816843j -0.0486213-0.00322933j 0.0753244+0.0682396j 0.0822882-0.0456133j 0.0432981+0.0608146j 0.0734152+0.055658j 0.0266264-0.0044642j -0.0438646-0.0221959j -0.00491681+0.0398371j -0.00146332+0.0103679j 0.0423502+0.026234j 0.0134281+0.0457917j 0.00130654+0.046849j 0.0168813+0.0581247j -0.0184644+0.0552565j -0.102936-0.0458263j -0.0297464+0.072995j -0.0943235+0.0100925j -0.0447122-0.00263044j -0.0385803-0.0351727j 0.0261468-0.00654254j 0.0349572+0.070981j -0.0429517-0.141977j -0.0332345+0.0332517j 0.0594983-0.0342167j -0.0235504-0.0320292j 0.0922218+0.0832546j 0.11279+0.0263855j 0.0180577-0.0920785j 0.0987963+0.0167959j 0.0870054-0.0299713j 0.0237569-0.0402314j -0.0564378+0.115331j -0.0332023+0.0197789j -0.0105718+0.00336284j 0.0392392-0.0786216j 0.0878689+0.0367483j -0.160879-0.0610486j -0.00244103+0.174265j -0.0227674+0.126019j 0.144619-0.0322052j -0.0984329-0.011198j -0.0297796-0.0426454j -0.0231298-0.0892576j -0.0543789-0.0710519j -0.0902509+0.0862554j 0.0766187+0.100889j 0.0522383+0.00331247j 0.164356+0.0252084j -0.00161616-0.110435j 0.0223148-0.0447417j 0.0755965-0.00759093j 0.0192713+0.0268955j 0.0985338+0.0507601j -0.0595495+0.0323874j -0.0299463+0.0847829j -0.000511643-0.03561j 0.00118099+0.00908955j 0.0451138+0.0164272j -0.0312044+0.0509134j 0.0484417-0.000402153j -0.0133499+0.0398325j 
0.0443725-0.00919322j -0.0126241+0.0118851j -0.086406+0.0298816j -0.0146331+0.0640444j 0.00365567-0.0177448j 0.0487747-0.0113725j -0.0588716+0.0324931j 0.0239213+0.04937j 0.0247525+0.00776016j 0.0033579+0.070739j 0.0160057+0.081902j 0.0558887-0.0223883j -0.0264024-0.0396981j -0.0258133+0.102735j -0.058668-0.0545576j -0.0403172+0.013968j 0.0179892-0.0142861j 0.0674444+0.0831689j -0.0274484+0.0384105j 0.0158093-0.0216849j 0.00560638+0.0127062j -0.00541266-0.0446567j 0.0171278-0.0263588j -0.0363971-0.0456293j 0.00786039+3.67973e-05j 0.0305224-0.0059599j -0.0157722-0.0541658j -0.00618924-0.108333j -0.0673462+0.0659349j -0.0677091+0.0286779j -0.0143057-0.0207481j 0.0201001-0.0569952j 0.0933624+0.127194j -0.0378063-0.0636411j -0.0531422+0.0695095j 0.0271148+0.0920658j 0.0194441-0.0421032j -0.107153-0.0826768j 0.0252255+0.107309j -0.0777785-0.0764565j 0.0274428+0.0615716j 0.0955944-0.0795602j -0.00794313-0.033891j 0.0788565+0.0252751j 0.0160283+0.0371333j -0.0672429+0.0299369j 0.0616822-0.0386854j -0.0897161-0.0510657j 0.0443414-0.162732j -0.0989305-0.181655j -0.0884064-0.0448564j -0.0529681+0.0393536j -0.0152354+0.135158j 0.0320274-0.0173997j 0.0118412-0.0416486j -0.0165849-0.0418625j -0.121343+0.0638135j -0.0525745+0.00741372j 0.0688132-0.0674181j 0.0268663-0.0727316j 0.0331235-0.0153248j -0.0650634+0.00115094j 0.00587066+0.0295351j 4.1045e-05+0.00114296j -0.0719999-0.0566516j -0.0737613+0.00302262j -0.0173113-0.0274384j 0.0283-0.00719206j -0.0245474+0.0296669j 0.000413118-0.00144814j -0.0174875-0.0106995j 0.0169152-0.00179994j 
-0.0144817+0.00288594j -0.0255866+0.0517184j -0.0219026-0.0559951j -0.0567833+0.0392281j -0.0272544-0.00990127j -0.0148498-0.00232132j -0.0108614+0.0367773j -0.0182113-0.00189003j -0.0323604+0.00752817j -0.0211964-0.0392608j 0.0232642-0.0464561j -0.024578+0.0131881j -0.0198925+0.044975j 0.0430987-0.0553381j 0.0101709+0.0308683j -0.0229823+0.0121402j -0.0173064+0.00117883j -0.0103701-0.0316931j -0.042455-0.0403132j -0.00720584-0.0358588j -0.0137649+0.0507551j -0.0340149+0.0164438j -0.00780483+0.0298359j -0.00684456-0.00779573j -0.00907765-0.0127085j 0.0340148-0.0111061j 0.0184315+0.0426892j -0.00936845+0.0241736j 0.0332084-0.00477587j -0.0338291-0.037424j 0.0409716-0.0365121j -0.0661261+0.0564917j 0.0603842-0.123717j 0.00297399+0.0150236j 0.0355192+0.030534j -0.0584293+0.00899745j 0.0561387+0.0780561j 0.0622433+0.0894024j -0.0795497-0.0451496j -0.0355057+0.00169361j -0.00337214+0.0599328j -0.0463816-0.0287897j 0.0243241-0.0562706j -0.0880335-0.0574215j 0.0716315+0.0289275j 0.0464907+0.0513923j -0.102849-0.130567j -0.0349691+0.045963j 0.0705603+0.0179323j -0.0410117+0.0980903j -0.0949622+0.0519779j 0.00330804-0.0221931j -0.0520577-0.0973107j 0.00649111-0.031447j -0.0416423+0.0884799j -0.060593+0.0273663j 0.0046987-0.0276542j -0.0237242+0.095835j 0.0331783-0.0602895j 0.0298726-0.0171381j -0.0134949-0.0562048j 0.00843065+0.0379419j -0.0158087-0.0207185j 0.0413953+0.0171172j 0.0639792+0.0220835j -0.0163464-0.0720199j 0.0489157+0.0323844j -0.0450047+0.028357j 0.0758+0.0157643j -0.0432069-0.0219747j -0.0043352+0.0233913j -0.0142565-0.00545918j 
0.0136688-0.0518709j 0.0568502-0.0333388j -0.0036803+0.0823352j 0.0999912-0.0204618j -0.00527913+0.0434128j 0.0283915+0.0214368j -0.0153893-0.0230651j -0.00724873+0.00682997j 0.0145199+0.0240138j 0.00458633+0.00677995j 0.00230525+0.0148515j -0.0280772-0.0166808j -0.0250002+0.0400927j 0.0530077+0.0440631j 0.012653-0.0194688j -0.0678397+0.0432879j 0.0321833-0.0103546j -0.0531783+0.00536839j 0.0174563-0.0261955j 0.00808496-0.0393202j 0.0503334-0.0145331j 0.0235313-0.0575632j 0.029005+0.0528903j 0.0610303+0.0408743j 0.0421783-0.0203637j -0.0127448-0.00202811j 0.00291355+0.0246879j -0.0127193-0.0358653j -0.017074-0.0209623j -0.015669+0.0065231j 0.0276111-0.0343729j 0.0364144+0.00978021j 0.00720446+0.0100849j -0.00524607-0.0128508j 0.0274769-0.00106281j -0.0300841-0.0327686j 0.0856152+0.024104j 0.0597503+0.0436775j -0.0984488+0.0803912j 0.0552985-0.00640086j 0.0168608+0.0169024j 0.0506113+0.0325261j -0.0264629+0.0582294j 0.00305699+0.0102165j 0.0859053+0.0179171j -0.0532905+0.00177668j -0.0150367-0.0931167j -0.0407586-0.0399159j 0.0976039-0.060536j -0.0386141-0.0799168j -0.0519213-0.0477424j -0.0977227+0.0764792j -0.0737198-0.0563704j -0.0125822+0.0226121j -0.024871-0.0701589j -0.0040055-0.0250265j -0.0387977+0.033699j -0.0328046+0.0343445j -0.110235+0.0183723j 0.0293644-0.0151425j 0.00344803+0.0335913j 0.00882854-0.0356395j -0.034186+0.0198613j 0.0401636+0.0435298j 0.0229359-0.0690254j -0.0153996-0.055474j 0.0196533-0.00891339j -0.028805+0.00159826j 0.0111898+0.0100967j -0.0157501+0.0104922j 0.00270896+0.00411919j 0.0342639-0.00714044j 
