-0.498328-0j -0.499525-0j -0.0010304-0j -0.0840006-0j 0.0594546-0j 0.035307-0j 0.00509613-0j 0.000600815-0j 8.67202e-05-0j 0.00595153-0j -0.0767161-0j -0.011073-0j -0.000158247-0j -0.00647155-0j -0.0448362-0j -0.00420232-0j -0.00421242-0j 0.0361803-0j 0.00522218-0j 7.46315e-05-0j 0.000495961-0j -0.0237719-0j 0.0336669-0j -0.000350194-0j -0.023829-0j -0.000895182-0j -0.000351035-0j -0.00387914-0j -1.31873e-05-0j 0.000422179-0j 6.21929e-06-0j 0.0046416-0j -0.000323262-0j 0.0262569-0j -0.0219437-0j 0.0003868-0j 
0.00435096-0j -0.00430808-0j -0.0579896-0j 0.0318872-0j -0.0962157-0j 0.000313295-0j 0.202318-0j -0.000694154-0j -0.448268-0j 0.00229607-0j -0.00021935-0j -0.141651-0j -0.0029526-0j -0.398619-0j -0.000617273-0j 0.00699708-0j -0.00692812-0j -0.000307026-0j -0.19827-0j -0.00413277-0j -0.0274385-0j -0.00041401-0j -0.000135856-0j -0.0836165-0j 0.00040993-0j 0.000174702-0j 0.0827924-0j 0.00847266-0j 0.0352841-0j 0.000244532-0j 0.0493875-0j 0.00376575-0j -0.10125-0j -0.000222816-0j -0.000501319-0j -0.0450015-0j 
-0.0298472-0j 0.0290672-0j 0.00421242-0j -0.0024973-0j 0.00690094-0j -0.203464-0j 0.000305232-0j -0.47139-0j 0.000707166-0j -0.0170238-0j -0.429508-0j 0.000644336-0j -0.0622442-0j -0.000127954-0j 0.085293-0j -0.0483051-0j 0.0470427-0j 0.202561-0j -0.000303877-0j 0.0293552-0j 1.47447e-05-0j 0.00284008-0j 0.0010009-0j 4.18383e-05-0j -0.00276586-0j 0.00365962-0j -4.07449e-05-0j 0.00552785-0j 5.39113e-05-0j -0.00172592-0j -2.54253e-05-0j 0.0259868-0j -4.78781e-06-0j -0.00152788-0j -0.000325007-0j -2.25078e-05-0j 
0.00430808-0j -0.00419549-0j 0.0581289-0j -0.0344613-0j 0.0952289-0j -0.000305232-0j -0.197111-0j -0.000707166-0j -0.45667-0j 0.00244162-0j -0.000644336-0j -0.416096-0j 0.00892732-0j 0.0826296-0j 0.000127954-0j 0.00692812-0j -0.00674706-0j 0.000303877-0j 0.196236-0j -0.00421024-0j -0.0291778-0j -0.00040993-0j -0.000144468-0j -0.0827924-0j 0.000399217-0j -0.00052822-0j 0.0806288-0j -0.000792827-0j -0.106683-0j 0.000249116-0j 0.0503132-0j -0.00372713-0j 0.00947444-0j 0.00022053-0j 4.69108e-05-0j 0.0445399-0j 
0.00284793-0j -0.00302847-0j -0.0821276-0j -0.0963157-0j -0.0344613-0j -0.000201779-0j -0.130304-0j -0.000500889-0j -0.323462-0j 0.00682407-0j -0.000465106-0j -0.300354-0j -0.012613-0j 0.0694021-0j 0.000107471-0j -0.00229607-0j 0.00244162-0j 0.00021935-0j 0.141651-0j 0.00594845-0j -0.081549-0j 0.000135856-0j -0.000403773-0j 0.0274385-0j -0.000144468-0j 0.000746298-0j -0.0291778-0j 0.00741497-0j 0.150728-0j -0.000351964-0j -0.0710852-0j -0.00269038-0j -0.0886104-0j 0.000159187-0j -0.000438736-0j 0.0321506-0j 
0.0355146-0j -0.0361803-0j -7.46315e-05-0j 0.00598652-0j -0.00423718-0j -0.246045-0j 0.00036911-0j 0.00411975-0j -6.18034e-06-0j -0.0414745-0j 0.177241-0j -0.000265892-0j 0.000365607-0j 0.000461211-0j -0.307439-0j -0.0288151-0j 0.0293552-0j -0.748747-0j 0.00112325-0j -0.00154449-0j 3.59221e-05-0j 0.00169417-0j 0.00243848-0j 2.49574e-05-0j -0.00172592-0j -2.14957e-05-0j -2.54253e-05-0j -0.026599-0j -3.16661e-07-0j 9.08075e-05-0j 1.33772e-06-0j 0.0318272-0j 2.30381e-05-0j -0.00187126-0j 0.00156388-0j -2.75663e-05-0j 
-0.00512609-0j 0.00522218-0j -0.00102987-0j 0.0826104-0j -0.0584706-0j -0.00036911-0j -0.238362-0j 6.18034e-06-0j 0.00399111-0j 0.00594845-0j 0.000265892-0j 0.171707-0j -5.24369e-05-0j -0.297839-0j -0.000461211-0j 0.00413277-0j -0.00421024-0j -0.00112325-0j -0.725367-0j 0.000221517-0j -0.0710852-0j -0.000244532-0j -0.000351964-0j -0.0493875-0j 0.000249116-0j 3.10264e-06-0j 0.0503132-0j 0.00381494-0j 0.000626631-0j -1.31069e-05-0j -0.00264717-0j -0.00456478-0j -0.0455893-0j 0.000270094-0j -0.000225726-0j 0.0545501-0j 
0.072809-0j 0.00681309-0j -0.00387914-0j -0.00746242-0j 0.000797901-0j -0.504421-0j 0.000756718-0j 0.214133-0j -0.000321237-0j 0.0516996-0j -0.0333762-0j 5.007e-05-0j 0.0190032-0j -0.000551595-0j 0.367688-0j -0.0590742-0j -0.00552785-0j -0.0467169-0j 7.00834e-05-0j 0.026599-0j -4.47783e-05-0j 0.00347324-0j -0.00303965-0j 5.11656e-05-0j 0.000325007-0j -0.00111729-0j 4.78781e-06-0j -0.0647934-0j -1.64592e-05-0j -0.00156388-0j -2.30381e-05-0j -0.00599335-0j 5.61192e-05-0j 0.000352376-0j 0.0038095-0j 5.19099e-06-0j 
-0.0105091-0j -0.000983384-0j -0.0535298-0j -0.102977-0j 0.0110106-0j -0.000756718-0j -0.48867-0j 0.000321237-0j 0.207447-0j -0.00741497-0j -5.007e-05-0j -0.032334-0j -0.00272552-0j 0.356207-0j 0.000551595-0j 0.00847266-0j 0.000792827-0j -7.00834e-05-0j -0.0452581-0j -0.00381494-0j 0.0886104-0j -0.000501319-0j 0.000438736-0j -0.10125-0j -4.69108e-05-0j 0.000161266-0j -0.00947444-0j 0.00929294-0j 0.0325706-0j 0.000225726-0j 0.0455893-0j 0.000859591-0j -0.111053-0j -5.08611e-05-0j -0.000549854-0j -0.0102723-0j 
0.0323607-0j 0.0320287-0j 0.0046416-0j 0.0027076-0j 0.00375098-0j -0.224194-0j 0.00033633-0j -0.256222-0j 0.000384377-0j -0.0187582-0j -0.156903-0j 0.000235382-0j -0.0227384-0j 0.000138729-0j -0.0924755-0j -0.0262561-0j -0.0259868-0j -0.219619-0j 0.000329466-0j -0.0318272-0j 1.6247e-05-0j 0.00154371-0j 0.00110288-0j 2.2741e-05-0j 0.00152788-0j 0.00133689-0j 2.25078e-05-0j -0.00599335-0j 1.96943e-05-0j 0.00187126-0j 2.75663e-05-0j 0.11423-0j 5.19099e-06-0j -0.00671608-0j 0.000352376-0j -9.89371e-05-0j 
-0.00467086-0j -0.00462295-0j 0.0640513-0j 0.0373633-0j 0.0517613-0j -0.00033633-0j -0.217194-0j -0.000384377-0j -0.248221-0j 0.00269038-0j -0.000235382-0j -0.152004-0j 0.00326124-0j -0.0895878-0j -0.000138729-0j 0.00376575-0j 0.00372713-0j -0.000329466-0j -0.212761-0j 0.00456478-0j -0.0321506-0j -0.000222816-0j -0.000159187-0j -0.0450015-0j -0.00022053-0j -0.000192964-0j -0.0445399-0j 0.000859591-0j -0.0389725-0j -0.000270094-0j -0.0545501-0j -0.0163833-0j -0.0102723-0j 0.000969382-0j -5.08611e-05-0j 0.195784-0j 
