0.00901015+0.0454118j 0.0343117+0.017668j 0.0386746-0.0295683j -0.0397197+0.052297j 0.00238711-0.0158732j 0.00315023-0.037723j -0.0149803+0.0933291j -0.00227817+0.0268908j 0.00958684-0.0177302j -0.00240338+0.0101715j -0.0249274-0.0338529j 0.0155178+0.030549j 0.00559403+0.00308698j 0.00239239-0.0651825j 0.0157261+0.00116669j 0.00629771+0.0112144j -0.0143499+0.00873439j -0.00703679+0.0398761j -0.0397529-0.0191223j -0.0173516+0.0139721j -0.011477+0.0127817j 0.00524784-0.0276593j 0.000598792+0.026163j -0.00996309+0.0185477j 0.0102342-0.0164572j -0.0131995+0.0113584j -0.0120307+0.0113585j -0.00406219-0.0095979j -0.0225303-0.0153094j 0.0191395+0.0323718j 0.0141795+0.0122703j 0.0249531-0.0260238j -0.0112502-0.040739j 0.0088821-0.0094844j 0.00271022+0.0122778j -0.0072181-0.0147828j -0.0105411-0.0136695j 0.0104077-0.00306536j -0.00237823-0.0180378j -0.0201683-0.00184297j -0.0216632+0.0104022j 0.000979506-0.0293805j 0.000661466-0.0177552j -0.0106733-0.0209219j -0.0144206-0.0111893j 0.00285513+0.0128715j -0.024226-0.00607703j 0.00852447+0.0168951j 0.0081179-0.00644588j 0.0229547+0.0308259j 0.0173133-0.00205747j 0.0169749+0.000796472j 0.0115472+0.0067405j 0.0154813-0.00144811j 0.00521594-0.00403911j -0.00204843-0.0172698j -0.0265878-0.0186363j 0.00179895+0.0364673j -0.0267539+0.016372j -0.0515943-0.0334697j -0.0159593+0.00514052j -0.00480176+0.0111788j 0.0441776-0.004307j -0.00784487+0.00743505j 0.0233164+0.0296124j -0.0251634+0.0408628j -0.00458536-0.0549876j -0.0102494+0.0344138j -0.0469436-0.053706j -0.00612953+0.017262j -0.0118417-0.0309497j 0.0218306-0.00367336j -0.0174919+0.0674487j 0.0107378-0.00570053j 0.00446171-0.0247097j -0.0420785+0.0160357j -0.0584782-0.0104015j 0.146538+0.0250436j -0.01558+0.080137j -0.029622-0.102355j -0.03255+0.0532353j -0.0618055+0.0252578j 0.0501614-0.00175421j 0.0392423+0.0755159j -0.00486031-0.100037j -0.0253899+0.0376312j 0.0276761+0.0622885j 0.0772281+0.0244912j -0.0424182-0.0278567j 0.0580888+0.00143111j 0.0163365-0.0719533j -0.0440174-0.0808322j 0.00281272-0.0218851j 0.131549+0.0261627j 0.0795445+0.165144j -0.164205-0.0422666j 0.133672+0.233003j 0.173937+0.0964829j 
-0.000120338+0.028829j 8.57046e-06+0.0114286j 0.0184778-0.0193455j -0.0166907+0.0104175j -0.0177617-0.0156741j 0.0414027-0.0459235j -0.0302751-0.0149041j -0.058256-0.0166169j -0.0135048-0.0193974j 0.0440142-0.0596773j 0.0213775-0.0343681j -0.00841287+0.0126572j 0.0917826+0.0114319j -0.0303756-0.0430993j 0.000150751+0.0214867j -0.0198409+0.0223886j -0.149076+0.0538651j -0.00523291+0.145446j -0.0444622+0.011583j 0.0703508+0.14742j 0.0101278+0.0697274j -0.128227+0.048885j -0.0351194+0.0165233j -0.0373959-0.0270296j -0.0313353-0.172706j 0.0630102-0.0916771j -0.164634-0.00331425j -0.0442093-0.0551073j 0.0406681-0.0433211j -0.0647514+0.045245j 0.0768605-0.0796414j -0.0665142+0.0559087j -0.0714275+0.00300951j 0.0189624-0.0770734j 0.0348843-0.0119091j 0.0159459+0.0506965j -0.1211+0.0633286j -0.0837673+0.00526542j 0.0571605+0.0664533j 0.0617647+0.0587381j 0.00215815+0.0527154j -0.00499703+0.0921081j -0.0656912+0.0818764j 0.039461+0.0688856j -0.0821021+0.0374633j 0.0756446+0.075142j -0.00735978+0.0152695j -0.0071731-0.0236242j -0.135246+0.0246162j 0.0253697-0.029124j 0.0830404-0.0224467j 0.0448729+0.0348969j 0.0113736-0.0734944j -0.0607484+0.0670331j -0.0364165-0.0383942j 0.0488173+0.0301416j 0.127216+0.0421206j 0.00362322-0.0445999j 0.011774-0.0659351j 0.040788+0.0409378j -0.00187866+0.0393628j -0.0327205+0.0254643j -0.0410826-0.05786j 0.0228067+0.0165006j -0.0349986-0.134265j 0.0026851-0.0663147j -0.0278672-0.0644782j -0.11887-0.0653585j 0.0866771-0.0309644j 0.0547233+0.0449108j 0.00760538-0.0143714j 0.0502796+0.00765291j -0.101043+0.00802062j -0.0221028+0.0627823j 0.107492-0.0158238j -0.0127394-0.00471028j -0.0125115+0.0445656j -0.00545919-0.0289141j -0.00280161-0.0709677j 0.0228712+0.163835j -0.0989139-0.0105559j 0.0362205-0.0782214j 0.0244363+0.0370913j -0.00487483+0.0295801j 0.0747737+0.0345112j -0.0717975-0.0298482j -0.0123241-0.00283901j 0.0611657-0.0562811j -0.0141339+0.00523161j 0.000812114+0.0161153j 0.0137309-0.0167122j 0.0230783+0.0164614j -0.0455876+0.00883367j 0.00880905+0.0122414j 0.0484499+0.0163619j 0.0209247+0.0457249j 0.0259894+0.0111215j -0.0216492+0.00588187j 
0.00971128+0.0170865j 0.0196427+0.0110647j 0.0055769-0.0295898j 0.00955996-0.0216103j -0.0144284-0.0164331j 0.0043674+0.00326759j 0.0210344+0.0263557j 0.0448433-0.00233641j -0.0918471+0.00584975j -0.0161543-0.0898721j 0.0210716-0.00213324j 0.0620666-0.0609817j -0.0110332-0.0358082j 0.0344849-0.0216648j -0.0244613+0.0463417j 0.0551671-0.0305469j -0.102003-0.024501j -0.0906331+0.0921184j -0.135536+0.000425804j 0.0269812-0.0520529j -0.0570175+0.087781j 0.0298201-0.0219276j 0.012556+0.00664381j 0.054025+0.0982867j 0.0187371-0.00227365j -0.129848+0.0608298j -0.0879006+0.0909884j 0.0514768+0.10279j -0.0384033+0.0225689j -0.0550586+0.0854772j -0.0159088-0.0890895j 0.0968986-0.103783j 0.0227439-0.0621606j 0.0464848-0.0519637j 0.117962-0.0011497j -0.057425-0.00830634j 0.126942+0.0129868j 0.0967276-0.0449622j -0.023121+0.0169124j 0.00761428-0.00466316j -0.0117861-0.0270553j -0.0855386-0.0407701j -0.142736-0.122549j 0.0190526+0.0055841j -0.054916-0.0693135j -0.00311777-0.107521j 0.045667+0.0289973j -0.039269+0.0472023j -0.0537467+0.114736j -0.0165066+0.0179568j -0.0728892+0.121845j -0.0166886-0.124384j 0.0434793-0.0952808j 0.0734041-0.00760048j 0.0047616+0.0380724j 0.01581+0.0337906j -0.0551718+0.0512488j -0.0045159-0.0277295j 0.0509839-0.0101871j -0.0465628-0.0368259j -0.0369009-0.0487945j 0.000212695-0.048244j 0.0239827-0.0119204j -0.0702619+0.0209943j 0.0467092+0.0506009j -0.00535009+0.0297821j -0.00881143+0.0131745j 0.0262426-0.018561j -0.0549843-0.0295822j -0.0332254-0.0699499j -0.0234637-0.0528192j -0.121856-0.0252433j 0.00859572+0.00633899j 0.0741403+0.0708416j 0.0391932-0.0523379j 0.0371911+0.0125303j -0.12625-0.0837621j -0.0556417-0.04767j 0.0340831-0.00115921j -0.041392-0.0697808j -0.10597+0.10317j -0.0197128-0.102077j 0.0359506-0.00975668j 0.116953+0.0483991j -0.0752854-0.0723533j 0.0864766+0.0562853j -0.0576711-0.0206667j 0.0314374-0.0242565j 0.0185723+0.0579209j 0.0332155+0.00103028j -0.0400544-0.0335664j 0.00518342+0.0158091j 0.0430106+0.00449086j 0.0538401+0.0469905j -0.066157+0.0446338j -0.0693844-0.0779529j -0.0208796+0.00131448j 0.0569878+0.0658563j 
-0.00323716-0.000915117j 0.0238726-0.00865619j 0.0147142+0.0141338j -0.0040075+0.0114815j 0.0288732+0.0425038j -0.0273977-0.0223511j -0.0692152+0.0560288j -0.0105267+0.0341005j 0.0266447+0.0469479j -0.0668185+0.0347935j 0.048373-0.0416449j -0.0559681+0.00839886j -0.00512052+0.0093616j -0.00801991-0.0459677j 0.00726913-0.0315909j -0.0172511-0.0289172j 0.0233314+0.0677031j 0.104357+0.00577219j 0.0941007-0.00165094j -0.111989+0.0917639j -0.0510284-0.138016j -0.053558+0.00967495j -0.0288937-0.0516743j 0.0391958+0.0476853j -0.0256457+0.177569j -0.127662+0.0338204j 0.0902631+0.0618664j -0.0267501-0.0222261j -0.0125732+0.0516678j 0.0817804+0.0966606j -0.00305396+0.0460351j 0.0996191-0.0504772j -0.0523986+0.0408106j -0.0171232+0.0186059j -0.0176839-0.00350072j -0.0518995+0.0268822j 0.128552+0.0639912j 0.0327333-0.0699886j -0.0782781-0.00484295j 0.0179994-0.00434563j 0.0457784-0.0214612j -0.00525816-0.0243297j -0.12421+0.0700241j -0.00608375+0.044905j -0.103681-0.0448877j 0.0773019-0.0846098j 0.0488595+0.0565202j 0.0467732-0.0878761j -0.0540998-0.0167063j 0.0511488-0.0816114j 0.0126505+0.0100449j 0.0289388-0.0735001j 0.00530353-0.0477039j -0.0465862+0.0231676j 0.0254942-0.0587599j -0.0116152-0.063402j 0.0300097+0.0247528j -0.00113116-0.0148365j 0.00115868+0.000504721j 0.0935354+0.0169117j 0.05999-0.025764j -0.0255005-0.0865937j -0.0185485-0.0295671j 0.00297292-0.0383433j -0.0383301+0.0218604j 0.0741282-0.0755861j -0.0500705-0.00343534j -0.0919234-0.0559045j 0.123382-0.033188j -0.126698+0.0203294j -0.0290809-0.00044131j 0.0545931+0.0217155j -0.0496016+0.0789875j -0.056464-0.0316315j 0.0971506+0.0223841j -0.0377681-0.0451176j 0.048004+0.0822891j -0.0239963+0.0887754j -0.133744-0.0233941j 0.0395199+0.0149921j 0.0116182-0.0207196j 0.0320918+0.0378592j 0.00827428+0.0330137j -0.0716102+0.10773j 0.0552576+0.0505279j -0.0411222+0.00856209j -0.00777709-0.0167898j 0.0605876-0.0131706j -0.0395928-0.035265j -0.0173869+0.0117992j -0.021593-0.0236202j 0.0725739-0.0209918j -0.0647305+0.048584j -0.00475726-0.0392626j 0.0792933+0.0161794j 0.0188701+0.0897742j 0.0622553+0.029806j -0.0393434-0.0211516j 
-0.0032786-0.00452849j -0.00566598+0.00872812j -0.01553-0.000306631j -0.0438369+0.0334208j -0.0071396-0.000152815j -0.00808239-0.0374026j -0.0158791+0.0314341j 0.0131632+0.00380547j -0.00150799-0.00619688j 0.057103-0.0120629j 0.00813067-0.00310224j 0.0323106+0.016958j 0.016572+0.0165569j 0.00308772-0.0495146j 0.00246518+0.0448547j -0.0156627-0.00146692j -0.0666805-0.0211048j -0.047654+0.0322756j -0.0736688-0.0529368j 0.0339976+0.0641081j 0.0410224+0.0233096j -0.0451823-0.0229392j 0.00162961+0.033146j 0.01619+0.0148331j 0.0250263-0.0750683j 0.0067844+0.00198278j -0.00217073+0.0540543j -0.0465027+0.00283643j 0.00475352-0.0718594j 0.0183047+0.0178586j 0.0859302-0.00896893j 0.0153717+0.0107376j -0.00509104-0.0493506j 0.0784814-0.0383356j -0.0122509-0.00127245j -0.047568+0.00776474j -0.0616593-0.0575966j -0.00441646-0.0234257j 0.0153481+0.0625633j 0.050885+0.00613683j -0.0404082-0.00135401j -0.0309319+0.0234583j -0.019943-0.0250059j -0.091976+0.0202533j 0.00734594+0.0662197j 0.122029-0.068112j 0.0433097-0.0221661j -0.00287092+0.0616401j 0.0195692+0.0343098j -0.0412481-0.076274j 0.0485064-0.0592885j 0.0328293-0.0246042j 0.00142952-0.0726748j 0.00591003+0.0296046j -0.0353096-0.0190029j -0.00480078-0.0446248j -0.0425456+0.012825j -0.026694-0.00999645j 0.0307952+0.0562369j 0.00189579-0.00232605j -0.012173-0.0385407j -0.0522759+0.0145248j -0.0224045+0.0686417j 0.0136598-0.0294647j -0.0137031+0.0805383j -0.0189136-0.0319712j 0.061697+0.0642664j -0.0722013+0.105988j 0.0480541+0.0521963j -0.123488-0.0242552j -0.11192-0.0459665j 0.0244426+0.0474555j 0.127044-0.0678932j -0.0558566+0.014663j -0.0213961+0.113531j 0.0243491-0.169355j 0.0312582+0.0654262j 0.0607066-0.00193812j -0.0863318+0.0939865j 0.0807797-0.186553j -0.166403+0.0634698j -0.0086208+0.00750755j 0.108032+0.0128869j -0.00878925+0.17563j -0.0189015-0.0332021j -0.0686472+0.00561947j 0.0443506-0.00146226j -0.0113014+0.0442671j -0.0410206-0.0291855j -0.0313183+0.0283771j 0.0534329-0.0104396j -0.0437173+0.0227056j -0.0677012-0.0328903j 0.0884491-0.0520109j 0.0878325+0.0951721j -0.0600313+0.0545107j 0.0585514+0.069899j 0.0280482+0.00282207j 
0.0200396+0.00379546j 0.0434021-0.0384073j 0.0497887+0.00334092j 0.0523333+0.00556238j 0.00233785-0.00264112j 0.0577457-0.0285368j 0.0212667-0.0439977j -0.0438348-0.0168938j -0.0197469+0.0422679j -0.0274651-0.00567479j 0.0456636-0.053885j 0.0132821-0.0187167j 0.0192496+0.0358211j 0.0188985+0.0164873j 0.0582818-0.0200939j -0.0645461-0.000229861j -0.115285+0.0384553j 0.019978+0.0886186j 0.0729463+0.044679j -0.027579+0.00722133j 0.0136713-0.0125107j 0.080832-0.0419768j -0.119862+0.0660399j -0.0829987+0.015542j -0.016607-0.0106206j 0.00785833-0.102457j 0.0326655-0.0790782j 0.0727157-0.0573776j 0.0277572+0.000601707j 0.00422799+0.0820596j -0.0328511-0.00200174j 0.0340856-0.0406746j 0.0566476+0.00946434j -0.0617543-0.069138j -0.0423769+0.0571362j 0.0191806-0.00828854j 0.0197261+0.0311468j -0.0807917+0.138697j 0.0407726+0.0639274j 0.0339171+0.00357756j -0.112184-0.0559156j -0.0496065-0.00222437j 0.119053+0.051315j 0.0560619-0.0489563j 0.0327916+0.0891513j -0.0703783-0.0377743j 0.0241293-0.0389113j 0.0393903+0.0155705j -0.0687366+0.0683979j -0.0587557-0.0696076j -0.0745282+0.0248832j 0.0656303-0.0244768j 0.0187068+0.0621439j -0.0464214+0.0480816j 0.0458014+0.00159051j -0.0610814-0.0161587j -0.0782372-0.0125771j -0.0144148+0.0651925j -0.0654986-0.130365j -0.149626-0.0468342j 0.0222562-0.0606067j 0.00654245-0.0183579j 0.0348161+0.0102454j -0.0421307-0.0679179j 0.0711956+0.00342205j 0.0812139+0.168497j -0.122582-0.00412938j -0.00410969-0.0329761j 0.0364315+0.0595526j -0.0912592-0.0267323j 0.00575579-0.0298191j 0.0456121+0.0334344j -0.0366829+0.104964j -0.0425499-0.0724285j -0.0773206+0.00658864j 0.0694414+0.0223755j -0.0722259-0.0213238j 0.132214+0.181907j 0.00364828+0.0101205j -0.0449987-0.0772974j 0.0942695-0.077341j 0.0481073+0.0735432j 0.0500193-0.0304407j 0.0384087+0.154421j -0.0643749-0.0517962j 0.0341042+0.0247504j 0.0669516-0.0561307j 0.0535179+0.028895j -0.0192619-0.0167848j -0.0223272-0.023772j -0.0429944-0.0491925j 0.0176254-0.0157046j -0.0230338+0.0590733j 0.0369911-0.033095j 0.00611056+0.112195j -0.154806+0.0106175j 0.0644351+0.059261j 0.0681395+0.0417349j 
-0.00689936+0.0148571j -0.00580584-0.0190609j -0.010603-0.0103419j 0.0091024-0.032033j 0.0402191+0.00428548j -0.0137249+0.041637j -0.0032765+0.0489556j 0.0483595+0.0492816j 0.0381304-0.052851j -0.0203768+0.0821711j -0.011434+0.0250131j -0.0303721+0.0177228j -0.0667921+0.021194j 0.0160653+0.0222751j -0.0138885-0.0925653j -0.0435339-0.0243422j 0.14387-0.0109745j 0.0610454-0.100306j 0.108904-0.0251167j -0.0472131-0.0225273j 0.00193366-0.113928j -0.0215958-0.0158701j 0.052085-0.020823j -0.00751244-0.0123988j 0.0293637+0.109081j -0.0743401+0.0293103j 0.0565049+0.0112201j 0.0420562+0.116562j -0.00441194+0.0566321j 0.026337-0.035091j 0.0374037+0.0352383j -0.0125172+0.0740623j -0.0177206+0.04304j -0.00259731-0.0143968j -0.013954-0.00367799j 0.0223221+0.00700511j -0.0100852+0.0576937j 0.0540431-0.11092j -0.0718314-0.00786257j -0.036879+0.0124626j 0.032562-0.00271531j -0.0269578-0.0466588j -0.0416758+0.0755011j -0.0758554+0.0481563j -0.0324269-0.0160726j -0.0138799-0.0668088j 0.0140058+7.10998e-05j 0.000652239+0.00329644j 0.0283312+0.0139393j 0.0253705-0.0349565j 0.0627709+0.0276387j 0.0151145-0.115308j -0.0114635+0.136243j -0.0410234+0.0203264j 0.0602105-0.00468499j 0.0221844+0.0177447j 0.0368803-0.0521602j 0.0275808-0.00433357j -0.0463908-0.0863218j -0.0866074-0.00158267j 0.000569788+0.0508592j -0.0312505-0.0132619j 0.00214138+0.0629914j -0.0448971+0.0130036j -0.094423-0.00323983j 0.020165+0.0400964j -0.0146921-0.034755j 0.0265802+0.0266858j 0.0399826+0.0332782j 0.0359115+0.0466285j -0.0269829+0.025119j 0.0175899+0.0161734j 0.0368838+0.024331j 0.00299249+0.0577809j 0.0195902-0.027402j 0.0234624+0.0130191j -0.0694642-0.00903034j -0.0731901-0.0286128j 0.0531429+0.0197929j -0.0336938+0.0313444j -0.110553+0.117055j -0.0681261-0.102095j 0.0278134-0.0292596j 0.0135587+0.0403786j -0.0326436-0.0274931j -0.0618184-0.00810108j -0.00627665-0.0114475j 0.0471745+0.0190744j -0.0236567+0.0395395j 0.000962944+0.0439593j 0.0251358+0.0346643j -0.00187808+0.0456337j -0.0115794-0.0477255j 0.0413326+0.0119985j -0.0345935+0.0144191j 0.00873697-0.0490859j -0.021746+0.000208234j 0.0309794+0.0231135j 
-0.0251632-0.011098j 0.00167067-0.00593553j -0.012247-0.00854524j 0.0134579-0.000248176j -0.0107268+0.0264204j -0.0399253+0.0509029j -0.00367428+0.0155056j -0.0118083-0.0431852j -0.0243333+0.0103538j -0.0263738+0.0271008j 0.00713466-0.0524713j -0.00920194-0.0183351j 0.0327859-0.0632493j -0.0572019+0.0185503j -0.0147423+0.0586438j 0.0151133-0.0161488j -0.0909274+0.067067j 0.0473565+0.0673045j 0.0145772+0.0093455j -0.00508109-0.0210122j -0.00682168+0.00804263j 0.109679+0.00718045j -0.0201185-0.00137364j -0.00449471+0.0273062j 0.0570727+0.0766703j -0.0785863-0.032965j 0.0148575-0.116896j 0.0483711+0.023175j -0.0885863+0.0859971j 0.0487168+0.069253j 0.0612257+0.0164795j 0.0427877-0.0851295j -0.019063+0.0490664j -0.0336332-0.0125921j 0.0394842+0.0715055j 0.0321923-0.0403961j 0.0878123-0.0710485j -0.0137119-0.0613683j -0.049958-0.0400481j -0.0464563+0.0043534j -0.0289751-0.0397113j -0.026+0.0258737j 0.0124849-0.0629735j -0.0226644-0.0655002j -0.0738344+0.0905394j -0.00309651-0.000349893j 0.0527646-0.0463657j -0.0429252+0.01937j -0.0452078+0.00747588j 0.0326989-0.0107062j -0.0132976+0.0516082j -0.0984298+0.0378309j 0.03083-0.0603056j 0.0401217+0.0899268j 0.0306158-0.0533855j -0.0383542+0.0307413j 0.0475372+0.0700842j -0.0147939-0.0940692j 0.00615765-0.0291986j 0.0478416-0.0785889j -0.00291887+0.00716066j 0.0147919-0.00931171j -0.105143-0.0435452j -0.0858828-0.00638537j -0.00105045-0.0673596j 0.00748652-0.040838j 0.0286427+0.058105j 0.0465747+0.0154031j 0.0942436-0.134295j -0.0112994-0.00147612j -0.0896103-0.0528445j -0.0509451+0.0375567j -0.0310714-0.0115177j 0.0635457-0.00629734j 0.0767926-0.0498719j 0.0325254+0.109699j -0.00516718-0.0958134j -0.165895+0.109133j -0.0171531-0.0793563j -0.0119124+0.0456982j 0.0468324+0.0362274j -0.0137973-0.0107175j -0.0392478+0.0743273j 0.042179-0.0215101j 0.00755331+0.0553601j -0.01724+0.0213147j -0.0362193+0.00996342j 0.0634475-0.0460487j 0.0093722+0.0798575j 0.0239664+0.0288976j 0.00242878+0.0343647j -0.00874076-0.0125656j -0.0182494-0.0530106j -0.0475932-0.00306775j 0.0703344-0.0377166j 0.0633006+0.0272585j 0.00504336+0.00349145j -0.039804-0.0431492j 
0.0293821-0.0181011j -0.0084929-0.00188906j -0.0271818+0.00860541j 0.0112556+0.0244883j -0.0117007+0.000352293j 0.00628862-0.00443954j 0.0068955-0.0317276j -0.00447599-0.0580655j -0.0133637-0.063367j 0.0686333-0.0166625j -0.0464957+0.0213369j -0.0214376-0.0205972j 0.0222787-0.0247147j -0.0338327-0.0579303j -0.0524659+0.0211643j 0.0110814+0.0260617j 0.0166403-0.0526464j -0.084576-0.00853655j -0.0933469-0.0119119j 0.0575586-0.0467209j 0.0549926+0.102541j 0.0684672+0.00760442j 0.000770904+0.069521j -0.00674996-0.0283734j 0.0444136-0.0780858j 0.063073-0.0148396j -0.141876-0.0129198j -0.065489+0.00129314j -0.0303393-0.00579891j -0.00812312-0.0110452j 0.056237+0.00255241j -0.110282+0.115056j -0.0602024+0.0174261j -0.0174368-0.0587998j 0.0155647+0.00293975j -0.0130563+0.0512603j -0.0493882-0.0848589j 0.00412923+0.0282813j -0.000285528-0.0120717j -0.0353953-0.00301754j -0.0336197+0.0507661j 0.00540417-0.0092258j 0.0207086+0.0373509j -0.0433973-0.0106128j -0.125609+0.109777j -0.0464961-0.0433169j -0.0485769-0.0369739j -0.0647614+0.0667061j 0.0897974+0.0688223j -0.00216727+0.0495555j -0.00179536+0.0533882j 0.0385067+0.000725426j 0.0744137+0.00349902j 0.0100851+0.00354513j -0.0161931-0.00159329j 0.0319865+0.0365184j 0.0633793-0.0813956j -0.0137992+0.0195738j -0.0197654+0.015389j -0.00861136+0.023777j 0.000236226-0.0213111j 0.0334499+0.0574907j -0.0481467-0.0323137j -0.00494143+0.0914957j -0.0264199+0.0625408j -0.0105461-0.0839249j -0.0160539-0.0425335j 0.0576271+0.00568528j 0.0466161-0.0212097j -0.0333998-0.000160965j -0.0389725-0.0262802j -0.0981213+0.0635071j 0.0522861+0.0178591j -0.042543-0.0447639j -0.00645184-0.0970723j -0.0883197-0.0252097j 0.00939998+0.0403187j -0.0456948+0.032928j -0.0470805+0.0381676j 0.075733-0.00424795j 0.000599576+0.00868823j -0.0275732-0.00347526j -0.0117541-0.0292634j -0.0585179+0.0300541j -0.000310355+0.0158025j -0.0406509+0.0149431j -0.00609793-0.0418333j 0.0178331+0.018214j -0.0131901+0.0273445j 0.0205309+0.0164669j 0.0266331+0.00673511j 0.0363999+0.0607345j -0.0447834-0.0570533j 0.0372665-0.0412598j 0.00293608+0.0174299j 0.0180116-0.000788436j 0.0225591+0.0141352j 0.0128577-0.00773089j 
-0.022362+0.00332753j -0.0115991+0.00614839j -0.0158903-0.00630928j 0.00179182-0.0145234j -0.0314418+0.0143558j -0.0119389+0.0150711j -0.0369858+0.00388173j 0.00517891-0.00833138j 0.0115854-0.0204186j -0.0237084-0.000474795j 0.0278266+0.051512j -0.0512464-0.0272123j 0.0545239+0.00278214j 0.062715-0.060499j 0.0102188-0.0206721j -0.0123274+0.04446j 0.0950615-0.0188531j -0.0324503-0.0186002j 0.0266166+0.0190002j -0.0281982-0.0654926j -0.0103052+0.0170548j -0.0381272+0.0570286j 0.0100208+0.00461533j -0.0371289-0.0136986j -0.0458575-0.026405j 0.0490565-0.00233778j 0.0525633-0.00822594j 0.045245+0.0363511j -0.0823479-0.0104419j -0.0143596+0.00508023j 0.0105813+0.0155581j -0.0274469+0.0224751j -0.0100947+0.0365587j 0.0116883-0.00758783j -0.00671955-0.00555334j 0.0661963+0.0365353j -0.02083+0.0225164j 0.015045+0.0211109j -0.00420765+0.0180805j -0.0136437-0.0184691j -6.65668e-05-0.0306284j -0.0129832+0.0180747j -0.0256948+0.0335743j 0.070764+0.0346588j 0.0151783+0.0409032j -0.00908737+0.0343731j 0.0468095-0.023538j -0.02408+0.0537144j 0.017406+0.063214j 0.058583+0.0196342j -0.0171217+0.00968879j 0.104006+0.0722575j 0.00994293-0.00656174j -0.0113415-0.139188j -0.0750499+0.0295468j 0.0741559+0.0795135j -0.0144489+0.0633638j -0.0408439+0.045881j -0.0387717-0.0620326j -0.0291568+0.0936761j -0.0998243+0.0350806j 0.0722473+0.0253925j -0.0189515-0.0341157j 0.00938013-0.021808j -0.0998111-0.033051j 0.0636233+0.131615j 0.00973655+0.181698j -0.0267674+0.0514308j -0.0639585-0.0412909j -0.0728798-0.0743596j -0.0478088-0.0323863j 0.119023+0.0290625j 0.101455-0.118186j 0.0657614+0.027369j 0.11433+0.0970317j 0.0355558-0.0115837j 0.0163979-0.0830306j -0.0374043+0.129121j -0.0245717-0.103076j -0.0406461-0.0119871j -0.0741116+0.0117141j -0.0171987+0.0109586j -0.0153197+0.0848928j 0.00885887-0.00360365j 0.00197085+0.0465419j -0.0880376-0.0529945j -0.00120866-0.00730346j 0.0307731-0.00337377j 0.0326484+0.0301708j -0.0312311+0.0297953j 0.0259737+0.0640915j -0.0769837-0.0272353j -0.0155938-0.037404j -0.0178528-0.016238j 0.10846-0.0290305j 0.071313+0.0702767j 0.0366461+0.00111227j -0.0409703-0.0775349j 
0.0166756-0.0268559j -0.0211203+0.00200473j 0.0031186-0.0275494j -3.84039e-05+0.0315149j -0.0154853+0.00879125j -0.00288547-0.0109261j -0.0527365+0.00505313j -0.0450123+0.0442384j 0.06343+0.0146591j -0.000933949+0.042429j 0.00797095-0.00579461j -0.0236158+0.0479945j 0.039469+0.0237561j 0.0203353-0.0251122j 0.00306304-0.0671985j -0.0110847-0.000617264j -0.00168713+0.00199293j -0.0314957+0.00170901j 0.0406108+0.000600459j -0.0214721+0.0405642j -0.0169396-0.0122499j 0.0181357-0.0292239j 0.000920026-0.0127859j 0.00510919+0.0101606j 0.0115683-0.0444371j -0.0300284-0.000882341j 0.0647192+0.00368124j -0.0324701+0.0164296j 0.026772+0.00475123j 0.000732928-0.0332045j 0.0151218-0.0478622j 0.0141504-0.0284498j 1.89392e-05-0.0305277j 0.0511863-0.061231j -0.0207082+0.00286546j -0.0343745-0.0328576j -0.0882106+0.0364225j -0.00586301+0.0187086j 0.0292851+0.00966349j 0.053439+0.00992621j 0.00212529+0.00732141j 0.0308966+0.0189974j -0.0237447+0.016202j -0.00748841+0.0598694j 0.0501453-0.0251254j 0.0244606-0.0218133j -0.0555567+0.00605764j -0.0251652+0.00105302j -0.0217672-0.0190002j -0.0100237-0.0279905j 0.00962946-0.0156537j 0.00159779-0.067538j -0.0374605+0.0995916j -0.0386091+0.0153538j 0.0590023+0.0180034j -0.0425117-0.0207731j -0.11271+0.0500341j -0.0225735+0.0349j -0.0791939+0.00498345j -0.0787716-0.00387797j -0.0188149+0.0267828j 0.0598112-0.0880232j -0.053235+0.0157575j -0.0663259-0.0625652j -0.0561674+0.0399875j 0.0122579+0.12623j -0.0212035+0.00104856j 0.0277519-0.0267981j 0.00976668-0.0206115j -0.084569-0.0221942j -0.00421631+0.150168j 0.0299689+0.058152j 0.00519747+0.0385349j 0.0155833+0.0256934j 0.0553931+0.0142919j -0.00870626-0.00360967j 0.0410776+0.049082j -0.0958227+0.0209156j 0.03614+0.1005j -0.0661858-0.0272809j 0.0667873+0.0678302j 0.0384585+0.0564482j -0.0117616-0.0888196j -0.0135636-0.0161288j -0.0122924-0.0766057j 0.000396621+0.040288j 0.0541159+0.0103217j -0.00460457+0.0495583j -0.0498157+0.0323778j -0.0774436+0.0471259j 0.0112645+0.0516911j -0.0680022-0.0477832j 0.0395398-0.0456935j -0.00854222+0.0407588j -0.00425487+0.0186382j 0.00976695-0.0299476j -0.0207053-0.0260387j 0.0172125+0.0357388j 
