-0.0125679+0.0349484j 0.00855216-0.0379223j -0.048856-0.051549j -0.0118654-0.0404788j -0.010383+0.0193917j -0.00937628-0.00190591j 0.00330837-0.021463j -0.000187277-0.0755439j -0.0244524-0.0182454j 0.00353903+0.0143127j 0.019643-0.000557983j 0.00410285+0.0194759j -0.00192998+0.00701931j -0.0325029+0.00111412j 0.0048833-0.0128162j -0.00250357-0.0182218j 0.000265244+0.00737472j -0.00132587-0.0532657j 0.000776039+0.016041j -0.00695322+0.00111114j 0.00161571+0.0325623j -0.0115771-0.0257802j -0.00179641+0.00991296j -0.00108747-0.000962421j 0.00143164+0.00604323j 0.00566064-0.0077081j 0.00566759-0.00196744j 0.0064361-0.00156452j 0.0184749+0.00121231j 0.00759662-0.00944709j -0.00650964-0.000490335j -0.00942587+0.00713989j -0.0209727+0.0384569j 0.0155883-0.021529j 0.005323-0.0150878j -0.0217024-0.0178687j 0.00911048+0.0141516j 0.0123024+0.0164682j -0.0177735-0.00889631j 0.00698408-0.0103731j 0.015738+0.0322678j -0.00605248+0.000193398j -0.0106183+0.0138472j 0.00522897+0.00167217j 0.000631425+0.00208542j -0.0177252+0.0170584j -0.000618663+0.0113471j -0.00955666-0.0407081j -0.0217835+0.0267448j -0.0002669-0.0336652j -0.0134997+0.0203421j -0.011199-0.0125799j -0.0096225+0.00407036j -0.00190824-0.00151638j 0.000497221-0.000704899j 0.0178635+0.00168924j -0.0227187-0.0437688j 0.00825821+0.00901653j -0.0107116-0.0176003j -0.0284889+0.0160257j 0.00451891-0.0234975j 0.0112807+0.01734j -0.00720273-0.00459932j 0.00518315+0.0026676j -0.00544375+0.0468034j -0.0174817+0.0326221j -0.000317701-0.0162102j 0.0162029+0.0146707j 0.00325409+0.00314466j -0.0451252+0.00973877j 0.00276102+0.0320217j 0.00380484+0.0378278j -0.0350583-0.0309189j -0.00458885+0.0590152j -0.00385826-0.0351456j 0.0122663+0.052311j 0.0137236-0.0224069j 0.0384721+0.0081022j 0.00543399-0.0165386j -0.0324909+0.023123j -0.0333918+0.019157j -0.0165653+0.0192477j 0.0504246-0.0406236j -0.0113916+0.00447812j -0.0195648+0.0208741j 0.0155813-0.0100416j -0.00270672-0.00966573j 0.00171822-0.0106535j 0.0631341-0.0654577j 0.0183384-0.0218733j -0.0742672-0.0126909j 0.013415-0.0053848j 0.000369147-0.0091815j -0.102099+0.132641j 0.0811659+0.0177367j -0.0886228+0.157177j -0.0574957+0.00718158j 
-0.0207332+0.00553813j 0.0057371-0.0128602j 0.0366837+0.00843731j -0.00428618+0.0373978j 0.014979+0.0309435j -0.0399001-0.00333452j -0.0245824+0.00340524j -0.0500708+0.0287353j 0.0553869-0.029483j 0.0139171+0.016035j -0.0191189+0.0305055j -0.0331997-0.0679631j -0.0378254-0.0574219j 0.0258664-0.00771054j -0.0247571+0.0320222j -0.0292979+0.0154689j 0.0195128-0.0394448j 0.0493242-0.0147316j -0.0817417+0.0135709j -0.0509419+0.0514027j -0.0239105-0.00107303j 0.0725552+0.0285817j 0.043325+0.0730322j 0.0288152-0.00573091j -0.000327273+0.043565j 0.0177167-0.0214572j 0.0188743-0.0407552j 0.0470897-0.0349836j -0.0305912-0.0368093j 0.0255762+0.0189281j -0.0415614-0.0477915j 0.0437554+0.0237837j 0.0762382+0.00411329j 0.0114805+0.00495811j 0.00846082+0.00227032j -0.0167914+0.0373473j -0.0114033+0.000923372j -0.0337855-0.0172857j 0.0223092-0.0546548j -0.0072594+0.0282424j -0.0450455-0.0386149j 0.0462294+0.0231123j 0.0124695+0.0151735j 0.00068053-0.0843972j 0.0370948+0.0616164j -0.000282557-0.0895912j -0.0757072+0.00312021j 0.0928046+0.0491496j -0.00366371+0.0702857j -0.048967-0.0488381j 0.0241737-0.102503j 0.0665726-0.0249881j -0.0778419+0.00263082j 0.0658499+0.0236966j 0.0550598+0.0265932j 0.105036-0.0714757j 0.0360142+0.0664958j 0.012757+0.0517614j -0.0613559-0.0553425j 0.0513416-0.0488909j -0.0454915-0.0638015j 0.0441635-0.0151701j 0.090093-0.0550485j 0.128543-0.0146593j 0.00712465+0.0571682j -0.131829-0.0907425j 0.047898-0.0129933j -0.115853+0.0227421j 0.0237041-0.0471393j 0.0582094-0.00333527j 0.218074+0.0382182j -0.0350445-0.0779964j 0.0332572+0.0262974j -0.0281836+0.110635j 0.0459881-0.0738242j -0.0499633-0.0278955j -0.0346166-0.138563j -0.109282-0.082919j 0.0151993+0.0163745j -0.10446-0.0461251j -0.000354721-0.0604091j 0.0154909+0.0193676j 0.0797112+0.00578437j -0.0704255+0.0285005j -0.0107978+0.0980692j 0.0271579+0.033761j -0.02084-0.00577765j -0.0820499+0.00948492j -0.0356889+0.0362173j 0.0793608+0.0547632j -0.0359267-0.0669657j -0.0280771+0.0221113j 0.0227704-0.00696611j -0.0249955+0.0615347j 0.0672171-3.57742e-05j -0.0322491+0.0220359j -0.0385083-0.0166419j 
0.0175393+0.00089689j -0.0239694+0.0077578j -0.0592428-0.00830061j -0.00811685-0.0299367j -0.0328122-0.0187383j -0.0072911-0.033733j 0.0159436+0.0134702j -0.0433165-0.0318524j 0.00112049+0.00281697j -0.0391281+0.00526797j -0.0486403+0.000111753j -0.0562403-0.0437901j -0.0495647+0.0395304j -0.0148709-0.00696871j 0.00879556-0.0511401j 0.0115249+0.0286542j -0.00890762+0.0520246j 0.029184-0.0230771j -0.02251+0.0177749j 0.0494989+0.0155282j -0.0116042-0.00554005j 0.0162861+0.0156918j -0.010714-0.0526189j -0.0266976-0.0640042j 0.033109+0.012806j 0.00857013+0.047193j -0.0132578-0.0077774j -0.0484714+0.0386095j -0.0345068+0.0163999j 0.0200712-0.0306441j -0.0292798+0.0363166j -0.0136451+0.0253905j -0.0191205+0.0352219j -0.00830832-0.00700626j 0.0547551-0.0266515j 0.00782542-0.0510604j 0.00821475+0.0206508j -0.0267199+0.0094282j -0.0389533+0.0423414j 0.0200961-0.0385622j -0.0871806+0.0380054j -0.0404598+0.0489309j 0.057719+0.0591808j 0.00253419-0.044687j -0.0905257-0.00535299j -0.057596+0.0763946j 0.00882052-0.0127122j -0.0248702-0.0637765j 0.0166124+0.048924j 0.0471437+0.021126j 0.0339718+0.105359j 0.0686092+0.15186j -0.0128027-0.120917j 0.151195-0.00521582j -0.0951431+0.0253845j 0.0233985-0.0124545j 0.0115099-0.00520407j -0.0540126-0.0115899j 0.123429-0.0075358j -0.0248737-0.00715907j -0.0151374-0.00300469j -0.0794529+0.0227178j -0.243197-0.000688387j -0.0583071-0.00378158j 0.0248959+0.00360787j -0.078246+0.0534631j 0.181043+0.03604j -0.13479-0.0507825j -0.0557674-0.0679179j 0.100339+0.0530899j 0.173328+0.188548j 0.0349565+0.0974674j -0.122349-0.0686455j -0.0389361+0.11099j 0.0516071+0.0179138j -0.0599059+0.00726246j -0.124278+0.0114796j -0.0946904-0.0124982j -0.0702754-0.115025j -0.0157041+0.0075429j 0.019836-0.00592476j 0.038569-0.0445467j 0.00938696-0.0978668j -0.0398855-0.0417913j -0.0204311-0.0331606j -0.036944+0.0227671j -0.0101417+0.00749059j -0.0708978-0.0205719j 0.0255621-0.0246628j -0.0882539-0.0274793j -0.00631105+0.00367341j -0.0245782+0.00274962j 0.0107045-0.0125693j -0.0129403-0.000992466j -0.0335974+0.00732413j -0.00700468+0.0243442j 0.0167785-0.00437851j 
-0.0195402+0.0339116j 0.0100058+0.00870478j -0.00333391-0.0293605j 0.0308334+0.0229371j -0.00386917+0.0348351j -0.0159129+0.015304j 0.00353034-0.0175104j -0.00215175-0.0407869j -0.0277823-0.00791324j 0.0711575+0.0273191j -0.00936507+0.0444508j 0.0267553-0.00434037j 0.0012086-0.0527009j 0.0148706-0.0150244j -0.042545+0.0329794j -0.0437922-0.038868j 0.031485+0.0188039j 0.0595569-0.0157717j -0.00715504-0.0112681j 0.00365561-0.041835j -0.00148696+0.0205619j -0.0189647+0.00743485j 0.0315112+0.0151769j -0.0332874-0.03233j -0.00655452-0.00780611j -0.0270244-0.0362171j 0.0153902-0.0385142j -0.0304203-0.0223029j 0.0533551+0.0231908j -0.00686685+0.0397474j -0.0148382+0.0116071j 0.036973+0.0101805j 0.0637136+0.0191584j 0.0188139-0.00150035j 0.0640294-0.0128808j 0.0298762-0.0286917j 0.00551028-0.0236666j 0.0128945-0.0301243j 0.042342+0.029964j -0.0334571+0.061243j 0.0470497-0.0252427j -0.0550368+0.0649896j 0.0412376+0.0391519j -0.0131535+0.00169151j -0.0716673+0.0308625j 0.0261485-0.0621575j -0.0105499-0.0304981j 0.0463881-0.0554592j -0.000293326-0.0138718j 0.0421378-0.0954618j -0.0206136-0.0672662j -0.141391+0.0696651j -0.0358386-0.0410218j 0.0483311-0.137322j -0.050611+0.0665617j 0.020438-0.14337j -0.0841705+0.0220986j 0.0283575+0.0303206j -0.0278153+0.112316j 0.0580443+0.056167j -0.0937886-0.0431284j 0.13435+0.0124628j -0.225136-0.0181755j 0.0610047+0.123277j 0.02937-0.0588703j -0.14891+0.0128761j 0.0336739-0.105137j -0.0408269-0.0241425j 0.202609+0.0132579j -0.0266055+0.0472427j -0.00482768-0.0240415j 0.0617477+0.0861702j 0.0436702-0.15223j 0.0605104-0.102104j 0.0822879+0.0513838j 0.0175322-0.0907161j 0.0587017+0.039579j 0.0629142+0.0184295j 0.0208636+0.0627149j 0.027338-0.00159535j -0.0465144+0.017294j 0.0689398+0.0867156j 0.0113783-0.0242501j -0.0201269+0.0500182j -0.00348297+0.0692068j -0.0479268+0.0147964j 0.00401099-0.0190546j 0.00433227-0.0456307j -0.0314388-0.0293112j 0.0750918+0.0386618j -0.00557692-0.0256538j -0.00838791-0.0125162j 0.00289024-0.0478833j -0.0537011+0.0540315j 0.0396974+0.0403245j -0.0214739+0.0344385j -0.0254518-0.00119813j 
-0.0122844+0.00769832j -0.00180458-0.0104631j 0.00502658-0.00677782j 0.00075222-0.0119136j -0.00142513+0.011951j 0.00658482+0.0273762j -0.00190684+0.00699665j -0.00853185-0.0468089j -0.0286596-0.0212868j -0.00479092-0.00819127j 0.0474234-0.0248152j 0.0121543+0.00553822j 0.0207416-0.0452082j 0.0102598+0.00822172j 0.0150337-0.00278329j -0.0307559-0.0176556j -0.0239797-0.0281785j -0.0458041-0.0515236j -0.031226-0.0158059j 0.0135645+0.00441945j 0.0101603-0.0245208j -0.0170798+0.00190719j -0.0295896+0.0192343j 0.0152723+0.0501393j 0.012693-0.0290907j 0.021698-0.00939002j -0.0164423+0.0253087j 0.0141297-0.00297609j 0.0288223-0.00954016j 0.0346779+0.0220261j 0.0545765-0.00450101j 0.00243113-0.00432251j 0.0467215+0.00404722j -0.0286831+0.0405562j -0.0431383-0.0263478j 0.0493856+0.00670696j 0.00513951-0.00229298j -0.0313669+0.0492894j -0.0115277-0.014386j 0.0334089+0.00894347j 0.0412622+0.0237147j -0.00359074-0.0744404j -0.015711-0.0279725j -0.00676015+0.0165943j -0.011515-0.0975549j 0.0471243+0.0412041j 0.00446019+0.0332766j 0.0106536-0.0492953j -0.0100563-0.0541339j -0.0138064-0.0749035j -0.0356542-0.0858818j 0.0533481+0.102188j -0.0460128+0.0243272j 0.0101307+0.0468099j -0.0808726-0.0485261j -0.0069075+0.115709j 0.0476025+0.0034339j -0.0281646+0.0388511j -0.12003-0.0776713j 0.0707333-0.0870021j 0.0802879-0.0365236j 0.00813956-0.0870261j -0.100143+0.0834002j -0.0824258-0.0493809j 0.0254228-0.0231696j -0.182648+0.0365285j 0.0602005+0.154923j 0.00352712+0.102117j -0.186296+0.0255193j -0.0654452+0.0279765j 0.0761455+0.0594402j 0.0558639+0.0183503j -0.0229784-0.0348686j 0.0708226+0.0754396j 0.0570761+0.0271022j 0.00496378-0.0684041j -0.103796-0.0455169j -0.0468026+0.0774357j -0.0133861+0.0244525j -0.0152105+0.0718781j -0.000858372+0.0315433j -0.0111907-0.00747387j 0.0348723+0.0136836j 0.0270447-0.00541091j -0.0057323-0.0379553j 0.0371986-0.0167013j -0.015905-0.0463177j 0.0570619-0.0152264j 0.0224833-0.0262561j -0.0627648+0.0253871j -0.0179821+0.00467656j 0.0381554+0.0030318j -0.00773641+0.0228134j 0.0039095+0.0524256j 0.0545381-0.0184007j 0.0108427+0.0390714j -0.0244516+0.0226402j 
-0.0178393-0.0192663j -0.00804826-0.00960586j 0.0169251+0.0499781j -0.0552965+0.0127761j 0.0176345+0.0158245j -0.0273394+0.0132361j 0.0252755-0.00542662j 0.00270236-0.00252033j 0.00372032+0.0266411j 0.00622125-0.0128238j 0.0108829+0.0163005j -0.0147155+0.0160015j 0.00161838-0.0282332j 0.0516623+0.0249159j -0.00224588+0.048662j -0.0384979-0.0189173j 0.0154073+0.0066696j 0.0502391+0.0158992j -0.0439541-0.0306262j -0.014469-0.0346561j 0.012416+0.00306605j 0.0303711-0.00482696j 0.019316+0.0468608j 0.019274+0.0593738j -0.0161083-0.0681433j -0.0443976-0.0657369j 0.015486+0.0373819j 0.0254179-0.0161135j 0.0205476+0.0530325j -0.0152123+0.0328796j -0.0466126+0.0402937j -9.49924e-05+0.0248576j 0.0295779-0.0533277j 0.0162886+0.0296876j -0.00799909+0.00782189j 0.0172829+0.0649798j -0.00804414-0.0291498j -0.0375302-0.010799j -0.0476266-0.0392869j 0.0307475+0.0193715j 0.0544615-0.0838739j 0.0279678+0.0032725j -0.00408147-0.125604j -0.0197425+0.073246j 0.0444128+0.0169968j -0.0158644+0.0470725j -0.0401762+0.0201684j 0.0171593-0.00903722j -0.0861824+0.0154766j -0.0285465-0.0722282j -0.0358898-0.0409169j 0.0233634+0.174021j -0.0567831-0.050472j -0.0290093-0.146177j -0.1211-0.0351329j 0.0325923+0.0213621j -0.00909131+0.0418014j -0.0483804-0.0634417j -0.0307023+0.0202907j 0.0277488+0.00481771j -0.0821966+0.0626851j -0.0554067+0.0680285j -0.20184-0.114666j -0.176982-0.00637776j 0.191-0.044545j -0.114973-0.0928384j 0.168973+0.0920288j 0.0926407+0.113656j -0.0768787-0.133007j 0.0268869+0.100516j 0.0711534-0.0532635j -0.059776+0.0361287j -0.0644616-0.0482446j -0.0293275-0.131291j 0.137958-0.0234802j -0.0150611+0.0212069j 0.0393672+0.0133373j 0.00929522+0.0306993j -0.0522352+0.0584467j -0.0247816+0.00737126j 0.0220194+0.0129978j 0.0137893-0.060394j -0.000245881-0.00854395j 0.0220233-0.0109312j 0.0357872-0.0150074j 0.0548796+0.0749756j 0.0192872+0.0130511j -0.0588537+0.0266862j -0.0402695-0.0131222j -0.0361433+0.0497841j -0.0118697+0.00205858j -0.00932047+0.00582548j 0.0411121-0.0156733j 0.0506935-0.0224987j 0.0193403-0.0107025j -0.00140148-0.0264953j 0.00340774+0.026602j 
-0.0225428-0.00415196j -0.0187235-0.00101714j -0.0159433+0.0309694j -0.0522058-0.0099143j 0.00179135+0.0384768j -0.0338584+0.0181519j 0.0465955+0.00288815j 0.00784557-0.0760595j 0.00300504+0.0196752j 0.0168866-0.0403616j 0.0538662+0.0234458j -0.0318167+0.000232681j 0.039734+0.0349332j -0.0221853+0.0266017j -0.021068+0.00505052j 0.0246203+0.0128195j 0.0373178+0.0419524j 0.0061175-0.0353506j 0.0309393-0.0154154j 0.0316655+0.0399719j -0.0226961+0.0279644j -0.00185894-0.0223903j -0.0157897-0.0391524j -0.046362+0.00204694j 0.0455335-0.0158896j 0.0483121+0.015618j -0.0268442+2.1927e-05j 0.0340471+0.0276533j 0.0269531-0.0172891j -0.0227173-0.024774j -0.0140374+0.00357838j -0.0460666+0.0381063j -0.0130978+0.009017j 0.000845161-0.0412407j -0.00698059+0.0333253j -0.0101439+0.0219298j -0.0764609+0.0317065j 0.0327491-0.00638576j 0.038553-0.0147037j -0.0414036-0.0613968j 0.0031469+0.0161591j 0.0652666+0.0875533j -0.0109508+0.0602705j -0.0153925-0.0126253j 0.10283+0.00450103j -0.0449842-0.0463937j 0.074715+0.0254258j 0.0026411-0.0864818j 0.0120818+0.0726706j -0.00833162-0.00297196j -0.0457519+0.0919295j -0.152969-0.0769891j -0.0143486-0.018219j -0.0682571+0.0328354j 0.0377068+0.0668553j -0.106826-0.101458j -0.0241101-0.016504j -0.0195068+0.108219j 0.117056-0.0269687j -0.0453695-0.0687362j -0.0711571+0.0925428j 0.118778-0.0227603j -0.0199584-0.0913091j 0.0636899-0.00763506j 0.0439332-0.0611135j 0.0198591+0.0324756j -0.109744-0.157132j -0.0141487-0.102406j 0.0931158-0.023221j -0.00157777-0.261701j -0.0224584+0.013786j -0.0568772-0.0278382j -0.0970067-0.0873844j -0.023779-0.00606252j 0.0126622+0.0659691j -0.0153485+0.0299846j -0.0195084-0.0148034j 0.0133763-0.0254457j -0.00138892+0.057328j -0.0498127+0.0593024j 0.00118864+0.0657373j 0.0120952+0.036532j -0.05731-0.00281553j -0.0158156+0.011146j -0.00662299+0.0192311j 0.008529+0.00422j 0.0205923+0.0144367j -0.0468674+0.016099j 0.00157742-0.0461168j -0.0808087-0.011034j 0.000993972+0.0417108j -0.00911651-0.000938426j 0.0281698-0.0162635j 0.000224076+0.00921442j 0.0458873+0.00239373j -0.00339205+0.0234829j -0.00591661+0.0412534j 
0.00735933-0.0193728j -0.0118802+0.00951954j 0.00571845+0.0237061j -0.0221085+0.00776446j -0.0129872+0.0059725j -0.00417169-0.00514504j 0.042477-0.00413678j 0.0261789-0.00992782j 0.0020075-0.00847322j -0.00495632-0.0201115j 0.00143232+0.0150726j -0.0456458-0.00925153j -0.0146595+0.0153177j 0.0405164+0.020222j 0.025448+0.0166392j 0.0263702+0.0246959j 0.037983+0.00461163j 0.0172234-0.0101697j 0.0650748+0.0201959j 0.00939398+0.00901255j -0.00370294+0.0089373j 0.00827726-0.0319113j 0.0192988+0.0059624j -0.0111393-0.0217464j 0.0264591-0.0255483j -0.00728383-0.0191421j -0.0168796-0.0125176j 0.0371003-0.00669342j -0.072626+0.0339072j 0.0159102-0.0392542j -0.0566621-0.0201972j -0.0335386+0.0190799j -0.065549-0.0156343j 0.0311936-0.0478817j -0.00800317+0.0691044j 0.0296287-0.0114494j 0.0378009-0.0223282j 0.00932614-0.00295794j 0.0453724+0.050697j -0.0408895-0.0987137j 0.0601289-0.0940471j 0.0534931-0.0430593j -0.0431315-0.0640619j -0.00779405+0.0915445j -0.0240071+0.00328463j -0.0257656+0.0393139j 0.0147986-0.0199249j 0.0502432+0.0415761j 0.0358636+0.0646623j -0.106304-0.0249282j 0.050065-0.0511377j 0.0262953+0.0897619j -0.0234047-0.108722j 0.00678607-0.0248372j 0.00563892-0.00833146j -0.0533102-0.0209578j -0.0922217-0.00249006j -0.0642549+0.0143324j 0.0794174+0.00224924j -0.0360448+0.0310291j -0.049281+0.0411641j -0.0162987+0.0279613j -0.0471616-0.0579291j -0.0940908+0.0106807j 0.10211+0.0289489j 0.0182659+0.038005j 0.099213-0.0527487j 0.0674588-0.0566255j 0.026206-0.0674503j 0.0407147+0.00502312j 0.00690384+0.0915048j 0.00871969+0.0868992j -0.0239726+0.00344896j 0.0447729+0.0287519j -0.0128958+0.0635248j 0.026494-0.00353545j 0.053325+0.0976117j 0.0843625-0.00491226j 0.0131845-0.0196795j 0.0333195-0.0402128j 0.0103989-0.00106124j -0.00324548+0.00198903j -0.0447709+0.0254576j -0.0448458-0.033482j -0.0235781-0.0288442j -0.0313566-0.00378346j 0.0355818-0.00778398j 0.00956588-0.023333j -0.00588583+0.0297199j 0.0213727+0.0285346j 0.0201348-0.0275546j -0.0365128-0.00976767j 0.00485528+0.0123943j -0.0337005-0.0522451j -0.0392942+0.0296136j -0.0300041-0.0077227j 0.0339075-0.0375868j 
0.0242516-0.00739355j -0.00296451+0.0104921j 0.0151315-0.034808j 0.0335456-0.00616934j 0.0288144+0.000939751j 0.0734823+0.0302915j -0.00843783+0.0152371j 0.032087+0.0743455j 0.0313356-0.0563283j -0.0279533-0.0394773j 0.118366+0.0157071j -0.00785656+0.0896019j 0.00395293+0.00841815j -0.0183113-0.0827305j 0.0381025+0.0441472j 0.0546064-0.0202068j -0.0382994-0.00292244j 0.0206278-0.025387j 0.0365054-0.00975914j -0.00584183+0.0118921j -0.0376538-0.0270964j -0.0236764-0.0225216j -0.00883797-0.0319772j 0.00683294+0.042054j -0.000923969-0.0422657j -0.00311608-0.00668196j -0.0128686-0.0279717j -0.0403436+0.00847487j 0.0172626+0.0599978j -0.060815+0.00481538j -0.0499687+0.157135j 0.0280134-0.0624589j -0.0379686+0.00324082j -0.0547341+0.011654j 0.111823-0.0624663j -0.0651151-0.0337744j -0.0377172+0.00151135j -0.0127131-0.0073049j -0.0308321-0.0425063j 0.0277934-0.0610001j 0.0144059+0.00762077j -0.0267538+0.0454646j 0.102334-0.0779027j 0.117239-0.124583j 0.120705+0.0857584j 0.0247945+0.0308072j -0.0245941+0.00567569j 0.0427187+0.02294j 0.00249704+0.00998884j 0.0944138+0.0404596j 0.0562526-0.0129649j -0.129151+0.0681083j 0.0523111+0.120701j 0.0110694-0.135437j 0.0756732+0.125087j 0.139555+0.0852109j 0.0569877-0.0791089j -0.0889678-0.00105154j -0.104121+0.104325j 0.0591774+0.118785j -0.0626231-0.0635777j -0.0785326+0.114647j -0.158667-0.0918182j 0.0553251-0.0255621j -0.0285597-0.0857587j 0.0703416-0.0598299j 0.00144619-0.0530145j -0.0476762+0.000354159j -0.00849815+0.0289527j 0.000312344+0.0135328j -0.0915179-0.0798898j -0.016765-0.0334363j -0.0133741+0.0117792j -0.0618179+0.0332392j 0.0261932+0.0315881j -0.0483324+0.0435913j 0.100419+0.00600025j -0.0149688+0.0718765j -0.0318259-0.0509721j -0.0302564-0.0107657j -0.0379562+0.110885j 0.053458-0.0460444j -0.00405128+0.0218199j 0.0257546+0.0199781j -0.0210881-0.0241893j 0.0867397+0.0147317j 0.0286537+0.0110194j 0.0283473+0.0213625j 0.055684-0.0360121j -0.00421063-0.0851071j 0.00695229+0.0234765j -0.00420129-0.0366161j 0.0557308-0.017234j 0.0278731+0.00467134j -0.0412526-0.0357611j 0.0248932-0.0122769j -0.0215897-0.0224183j 
-0.0109634+0.00785447j 0.00353343+0.0247837j 0.0279677+0.0108726j 0.0469613+0.0562671j -0.0162985+0.000974094j -0.0101152-0.00544023j 0.0209381+0.00204172j -0.0217941-0.0196616j -0.067197+0.00738101j 0.0133075+0.00232971j -0.0277363-0.0248501j -0.0272416-0.0141369j 0.0268579+0.018473j -0.0250622-0.0103184j -0.00192644-0.00807991j -0.0194856+0.0631021j 0.00394509+0.0281657j -0.0103372+0.0253607j -0.0283157+0.0160289j 0.0120372-0.00346419j 0.0100825+0.0117547j 0.000482695+0.0110709j -0.00124807+0.000409925j -0.00297677-0.0200985j 0.0142295+0.0102479j 0.0113906+0.0469566j -0.014688+0.0372226j -0.00836265+0.00160053j -0.0333726-0.0228584j -0.00199446+0.0242995j 0.0604389+0.0381533j 0.00211056-0.0338592j 0.029636-0.0437018j 0.0202874+0.0484856j 0.000857476-0.0239604j 0.00635246+0.0399148j 0.0336479+0.0399274j -0.038393+0.0173044j -0.0221042+0.070033j -0.0399767+0.0503779j -0.0589544-0.0315647j 0.00435687+0.060164j 0.0576748-0.0307894j -0.0562596-0.00967736j -0.00421685-0.0524764j -0.0452097+0.022427j -0.0384493+0.0124526j -0.0440274-0.00373236j -0.0368674+0.0545309j 0.0106559+0.00788303j -0.00178501+0.0167756j -0.0527151-0.0400118j 0.010037-0.0227556j -0.0228526-0.0437467j -0.0010534+0.00472808j 0.0269491-0.0166704j -0.0510105+0.00315865j -0.0189947-0.0732608j -0.048104+0.0517874j 0.0309355-0.00143233j 0.0246115-0.0259932j 0.0054187+0.0648087j -0.00900849-0.00119495j -0.00860941-0.0333338j -0.00549422-0.0209519j 0.0282742-0.0109781j 0.0131117+0.0551498j -0.0443618+0.00575383j 0.0608785-0.013119j 0.077392+0.0815876j 0.0166517-0.0048811j -0.0477169-0.00949855j 0.0152795-0.0220513j 0.0554556-0.0788258j -0.0414152-0.085403j -0.0629689-0.0480369j -0.123542-0.013067j -0.0747518-0.00802116j 0.0230576+0.0847369j -0.030559+0.0639479j -0.0778477+0.00795526j -0.0270073-0.0388875j -0.0529363-0.0368246j 0.04846-0.0448027j 0.0942873-0.0230817j -0.0751062+0.0387817j 0.00713724+0.0159264j -0.00751168-0.0529921j -0.0263911-0.0698402j -0.0426496-0.0128844j 0.0640899+0.0148967j -0.0196826-0.00720222j 0.00385305+0.0360855j 0.0168948-0.0627266j -0.0638284+0.0137448j 0.00101267-0.0131656j 0.0063219-0.0142856j 
-0.012798-0.0116759j 0.00309994+0.00774254j -0.0126593+0.00530534j -0.0384725+0.0178036j -0.020703+0.0426221j -0.0257831+0.0119396j 0.0581213-0.00880486j -0.0998569-0.0655919j -0.0427544+0.0588663j 0.0199558-0.0410365j 0.0481485+0.00151965j -0.0142556-0.0203831j -0.0441149-0.0126662j -0.068075-0.0374311j -0.000942666-0.0150826j -0.0451221+0.030026j -0.0024884+0.0193005j -0.0060729-0.0739156j 0.012395-0.00689002j 0.00068906+0.0412107j -0.0119326+0.011676j 0.0614185-0.00666998j 0.0286794-0.023084j 0.0249523+0.0113417j 0.0170228+0.0316206j 0.0111463+0.0139166j -0.0124295+0.0199162j -0.0255992-9.74042e-05j 0.0240696+0.0353402j 0.0166463+0.0130475j 0.0124159-0.00939458j -0.00404966+0.0112323j 0.0253824-0.0129466j -0.00713179+0.0603772j -0.00945167-0.00691453j 0.00241526+0.0264934j -0.0310418-0.0128831j 0.0356924-0.0226939j -0.0536314+0.00177881j 0.0169875-0.0839547j 0.0351086+0.0346704j -0.00392349+0.0192114j -0.0242872-0.0185641j -0.00703666-0.064435j -0.0178374-0.0436841j 0.0758805-0.0476237j 0.0226492-0.00307377j 0.0512977-0.0295764j -0.106062-0.0248935j 0.0208971-0.0336652j -0.0788703-0.00947651j -0.0350019+0.0184738j 0.0286773-0.00191797j -0.0216637-0.0558709j -0.0429959-0.0247657j 0.0737738+0.0649103j -0.00872441+0.0530751j -0.00544737-0.032853j -0.0531281+0.0970551j 0.0159518+0.043997j -0.059575-0.0350066j -0.0370043+0.0893024j -0.00852177-0.0197822j 0.0269056-0.0438328j 0.0172066-0.0171322j -0.0172991-0.0387078j -0.00542374+0.030958j -0.072697+0.115903j -0.0673968-0.00385109j -0.00729888-0.0493048j 0.0797377-0.05377j -0.00975318+0.0543359j -0.0297223+0.0272483j 0.0253088+0.00160767j 0.0216685-0.0483338j -0.0494873+0.0543439j 0.0255307-0.0750251j 0.0717711-0.0330387j 0.0176338+0.0198858j -0.0402608-0.0966264j 0.0689057-0.00718399j 0.016905+0.0457215j -0.02084+0.0858792j 0.0480052-0.0190159j -0.0445404+0.110673j 0.0367308+0.0413671j 0.109734-0.0030734j 0.0691672+0.0413266j 0.103614-0.000662009j -0.019818-0.0850375j -0.03775+0.0273232j 0.00683509-0.0130776j 0.0188233-0.00176593j -0.0145197+0.0276208j 0.0378371+0.0521513j -0.00779245+0.00100341j -0.012793+0.0184j 
