-0.0767731-0.017925j 0.0100356+0.0252205j -0.0084446-0.0108856j 0.00699664+0.00588098j 0.0165565+0.0129241j 0.0185468+0.00839636j 0.00360898+0.00334386j 0.0103564+0.00494438j 0.00727287+0.0037262j -0.00273752-0.000966596j 0.0200474+0.00493164j -0.00609007+0.000779971j -0.00633214+0.00180025j -0.0270001+0.00116729j -0.00910294+0.00320946j -0.000146266-0.000189198j 0.00614721+0.00193298j 0.00139772+0.000495999j 0.000372976-0.000318083j -0.000761847+4.06299e-05j -0.0111065-0.00129634j 0.00256874-0.0013062j -0.00178277+0.00122564j 0.000352737-0.00107243j -0.000293474+6.70661e-05j 0.00147451-0.00016305j -0.00182145+4.5018e-06j 0.00940367+0.00195335j -0.0118423+0.00744167j -0.00870167+6.9485e-05j 0.0017517-0.000482227j -0.000319445-0.000817125j -0.00469693+0.00911846j -0.0141356+0.0109159j -0.0129167+0.00595992j 0.00297525-0.00166928j -0.00751341+0.00407383j 0.00831546-0.00882848j 0.00484737-0.00592671j -0.000720004-0.00190946j 
-0.000570605+0.00304055j -0.000194868-0.00390813j 0.00841282-0.00505506j 0.000257604-0.0195909j -0.00808291+0.00440158j -0.00908024-0.00791859j -0.00153995-0.00343591j -0.00103739-0.00250322j -0.0177889-0.00535197j -0.0130305+0.00563818j 0.000984014-0.00297183j -0.0174449-0.00381367j -0.0138038-0.00191315j -0.0154743+0.00437015j -0.00513401+0.00440243j 0.00139698+0.000413082j -0.000206556-0.00370659j 0.00172759-0.00331019j 0.000550299+0.000891065j -6.06109e-06-0.00092821j 0.00281726-0.00441157j 0.00187637+0.0178147j -0.00387338+0.00698645j 0.00615398+0.000639164j -0.00249971-0.00144861j -7.11049e-05-0.00705746j -0.000677014+0.0337319j 0.00115328-0.00619245j 0.00602108+4.8198e-06j -0.00293545-0.0024212j -0.00534081+0.00220735j 0.0038933-0.000252871j -0.00227127-0.0180762j 0.00373426-0.00551363j 0.00292331+0.000630684j -0.000772247+0.000388233j 0.00213489-0.00150175j 0.00073655+0.00383878j -0.00118193+0.00208693j -5.88578e-05+0.000435572j 
-0.108797+0.0651682j -0.0117287-0.0173179j -0.00854817+0.00418389j -0.00859064+0.00820385j 0.00725997-0.0065522j -0.000159975+0.00114098j -0.000747437+0.00324488j 0.00138835+0.00194497j 0.00138444+0.0125605j 0.01538+0.0178523j 0.0021574+0.0022619j -0.0117039-0.00423514j -0.0197023-0.00411703j -0.0169192-0.00370041j -0.00789852+0.00215023j -8.93758e-05-0.000812586j -0.000789194+0.00192256j -0.000263173-2.55929e-05j -0.000723661-3.00112e-05j -0.000118542-0.000121908j -0.00191754-0.00236753j 0.00554605-0.00302771j 0.00212566-0.00427209j -0.00143376+0.00148689j 3.18247e-05-0.00069941j 0.00126706+0.00249036j -0.00728346-0.00990683j 0.00668134+0.00281688j 0.0114131-0.00660319j -0.00423532-0.000772253j -0.00201964-0.000311949j -0.00210975+0.00144867j 0.0174087-0.00739112j 0.00860984-0.0107139j 0.00138645-0.0059666j -0.000678739+0.00158173j 0.0014475-0.00382375j -0.00357932+0.0092808j -0.000909727+0.00439817j 0.000754951+0.00112106j 
0.202948-0.314541j 0.029381-0.00740282j 0.00181385-0.000285869j 0.0134289+0.00791775j -0.000369324+0.00475008j 0.0108444+0.00450912j 0.00236968-0.00329888j -0.000556179-0.00257863j 0.0029978-0.017768j -0.000142928-0.0204022j -0.0009879+3.91493e-05j -0.00453536-0.00887926j -0.00415042-0.00109779j -0.0061187-0.00502458j -0.00357308-0.000101787j -0.00106276+0.000914829j -0.00196547+0.00419451j -0.000521884+0.00212253j 0.000424901+0.00291229j -0.000334303+0.000474311j -0.000917587-0.00292446j 0.00409726-0.0101451j 0.0027735+0.00195307j 0.0124685+0.00938838j -0.00622307-0.00305617j -0.000959605-0.000569847j 0.00304408+0.00109626j 0.00591115+0.000951025j 0.00999565-0.00315131j -0.000653583+0.00599037j -0.0121797-0.00282012j 0.011139+0.00373126j 0.00871327-0.00907952j 0.00975365-0.00492736j 0.00340863-0.00116704j -0.00146966+0.000554591j 0.00550253-0.00205425j -0.00415058+0.00508778j -0.00219693+0.0029407j 0.000337437+0.000948499j 
-0.138769+0.332097j -0.0144129+0.00254513j 0.00229317+0.0147915j -0.0046363+0.010666j -0.0103077-0.0166898j -0.00987427-0.00188347j 0.0028433+0.001394j 0.00680356+0.00505608j 0.00158281-0.00580742j -0.0191892-0.0103725j 0.0151675+0.00537161j 0.0077943+0.000476231j 0.0149208-0.002023j -0.0068597-0.00284935j -0.00263554-0.000825667j -0.00065559+0.000513232j -0.00083641+0.00293929j 0.00111517+0.000901061j 0.000938214+0.00293896j -0.000734158-0.000597704j 0.00175863-0.00674013j 0.00212467+0.00331971j -0.00198544+0.000142257j 0.013204+0.00956124j -0.00582934-0.00436803j 0.00188703-0.000349866j -0.00731537+0.00282578j 0.004276+0.00795352j -0.00222051+0.000133226j -0.00344186-0.00546879j -0.010989-0.00387964j 0.0124037+0.00328751j 0.00467305+0.000679032j -0.00249338-0.000956327j -0.00428524-0.00331748j 6.0765e-05+0.00107615j 0.000831855-0.0028751j 0.00223507+0.00156685j 0.00150857+0.00121977j 0.000495979-5.72197e-05j 
-0.0136511-0.00421709j -0.00961377+0.000333113j -0.00624158-0.000813087j 0.00267112-0.00273274j 0.0103343-0.00191892j 0.00728545-0.00469565j 0.000538935+0.00113501j -0.000595234+2.05485e-05j 0.00724445-0.00140756j 0.00872893-0.00535579j -0.00230122+0.00204927j 0.000477471-0.00260853j -0.00245383+0.000176922j -1.84848e-05-0.00408826j -0.00095148-0.000729376j 0.000401259+0.000641728j 0.00607159-0.00372246j 0.00473247-0.00427711j -0.000961867+0.00100631j 0.00079516-0.00174042j -0.00691024-0.00251356j -0.000377856+0.0242514j 0.00763848+0.00215145j -9.54829e-05+0.0058568j -0.000754455-0.00404202j -0.00534345+8.00457e-05j 0.0245896+0.00272386j 0.00300238+0.000346373j 0.00823732-0.00126899j -0.00481465-0.00734072j -0.00202178-0.00364864j 0.00148364+0.00450143j -0.000515732+0.00316966j 0.00504868-0.00693756j 0.000350725-0.00284896j -0.00010918+0.000148366j 0.00164916-0.00184527j -0.00205989+0.00450963j 0.00025341+0.00155464j 0.000789512+0.000203921j 
-0.0379853+0.0298097j -0.0320864+0.00388265j 0.00301266+0.000718889j 0.0381324-0.0177687j 0.0093092-0.00204194j 0.0240289-0.0210417j 0.00102227+0.00313589j 0.000432602+0.00176308j 0.00976179+0.00623915j 0.00998832+0.00663692j -0.00300368+0.00269206j 0.0107977-0.00428332j 0.00343473-0.00609031j 0.00784167-0.0104044j 0.00114118-0.00467349j -0.000182623-0.000834098j -0.00152297-0.0043075j 0.000596443-0.000856871j 0.00205145+0.000844546j -0.000285725-0.000607779j 0.00663723+0.00502568j -0.00403409+0.00481185j -0.000283112-0.00169882j 0.0121153-0.00432873j -0.00570083+0.00209316j 0.000128434+0.000271355j -0.00127779-0.000821746j -0.00538107-0.00605662j 0.000891793-0.00350641j 0.00501857+0.000197084j -0.00679907+0.00616964j 0.00968004-0.00618341j -0.00263623-0.00506987j 0.00148003-0.0051656j 0.00499795-1.47458e-05j -0.00159997+0.000245239j 0.00261659-0.00324444j -0.000150995+0.00296252j -0.00138238+0.00123719j 8.89386e-05-0.000137614j 
-0.0743589-0.0677031j 0.0150713-0.0156263j 0.00671255-0.00640876j -7.56037e-05-0.00336127j -0.00689658+0.0109116j -0.00345998+0.00562894j 0.00037737-0.00120088j 0.00482267-0.00361907j -0.002876+0.00300341j -0.00844723+0.0178235j 0.00550795-0.00964849j 0.0044671-0.00714926j 0.00223985-0.0146879j -0.00118578+0.00135651j -0.00127204+0.000163565j -0.000384971+0.00114423j 0.00605198+0.0065494j 0.00526484+0.00331976j 0.00333108-0.00115184j 0.00112002+0.000969225j -0.000781737-0.00550162j -0.022573-0.0032671j 0.00296059-0.00260473j 0.0104103-0.0146402j -0.00290793+0.0059134j -5.57369e-06+0.00268985j -0.0024473-0.0107469j 0.00231753+0.00810301j -0.00373705+0.00368127j 0.00770455-0.0087497j -0.0038622+0.0103957j 0.00433611-0.0146319j -1.40665e-05+0.0137763j 0.00107796+0.0029399j -0.0013887-0.0039184j 0.000436283+0.00189401j -0.00123921-0.004815j -0.00222715-0.00192967j 0.00127173+0.000881759j 0.000211762+0.000453988j 
0.419729+0.00400278j -0.0155751+0.0557263j -0.00719399+0.00871397j -0.00434235+0.011274j 0.00433243-0.0129718j 0.000468957+0.000644796j 0.00178168+0.000624261j 0.00570355-0.00213246j 0.000694676+0.00507224j -0.0031675+0.0133398j 0.00898166-0.00716259j 0.00126108+0.00258204j 0.000798392-0.00335688j -0.00609413+0.00935594j -0.001855+0.00409863j -0.000559779-0.00112741j -0.00655575-0.0035094j -0.000341948-0.00172583j 0.00081611-0.000320596j -0.000706514-0.000506381j 0.0132271-0.00159478j 0.00221392+0.00949267j -0.00197598-0.00131465j 0.00317554-0.00386953j -0.00117464+0.000737574j 0.00130463+0.000195549j -0.00744688+0.00122438j -0.0103733+0.00457957j 0.00181391+0.00141565j 0.0043134-0.00757939j -0.00151236+0.00270694j 0.00269871-0.00406507j 0.00132039+0.00346751j 0.00281971-0.000505916j 0.00636439-0.00445403j -0.00212862+0.00171393j 0.00267979-0.00324229j -0.00249335+0.000658775j -0.00243364+0.00290672j -0.000517651+0.00131902j 
0.00759181-0.033693j -0.00211147-0.0112135j 0.00353173-0.00257376j 0.0137879+0.0193938j -0.00132301+0.0123752j 0.0131697+0.0172412j 0.000420107-0.00133474j 0.0029944-0.00749621j 0.00212024+0.00677175j -0.000605223+0.0128088j 0.000883835-0.0177058j 0.00864887+0.0102225j 0.00794831+0.00183767j 0.0128282+0.0224391j 0.00759798+0.00716368j -0.000336808+0.000446617j 0.00296956-0.0012637j 0.00348442-0.00267637j -0.00127099+0.0013833j 0.000846463-0.00107433j 0.0036482-0.00341423j -0.0109851+0.0152277j -0.00162848-0.00662663j -0.00176323+0.00945776j 0.00145743-0.00681841j 0.00200235+0.00250641j -0.00848554-0.00364434j -0.00273885+0.0077491j -0.00763602-0.0102724j 0.0024262-0.0134512j 0.000344085-0.00566675j 0.00217584+0.00861922j -0.00564028-6.34315e-05j -0.00901327-0.00978303j -0.00613645-0.0108804j 0.0014506+0.00321201j -0.00244569-0.00505214j 0.00612476+0.00486104j 0.00535912+0.00390179j 0.00202328+0.000371254j 
-0.0411735-0.214507j 0.0495489+0.0165067j 0.0129079+0.0204868j 0.00766359+0.00472756j -0.0240207-0.0218257j -0.0111574-0.00956715j -0.000986571+0.00703935j 0.000905882+0.00958131j 0.00280604+0.0181581j 0.00641554+0.0108376j 0.00398556+0.0122814j 0.00572096+0.00725942j 0.00296117+0.00326183j -0.000195074-0.00681601j -5.87747e-05-0.00290807j 0.000950985-0.000893775j 0.00228752-0.00234226j 0.000756516-0.00148001j 0.000172357-1.61781e-05j -0.000112671-0.00119588j -0.00190137-0.000131973j 0.00127838+0.0106906j -0.00197915-0.000859506j 0.000725564-9.22244e-05j -0.000384953-0.00039648j 0.000770144-0.000219896j -0.00206982+0.00237577j 0.00191521-0.000647351j -0.00307891+6.29251e-05j -0.00537428-0.00490345j -0.000257191+0.000383108j 0.000417632-0.000169364j 0.000166572+0.00086455j -0.00532812-0.00180459j -0.00391298-3.12827e-05j 0.000788943-0.000431293j -0.00257034-0.000630546j 0.00326916+0.000978166j 0.00187052-0.000981609j 0.000317366-0.000880405j 
0.0767116-0.0179833j -0.00876539+0.0240807j -0.0144777+0.00785667j -0.00348216+0.00225537j 0.0167893-0.0157658j 0.00742832-0.00965008j -0.00858688-0.00187466j -0.0129581+0.00149693j -0.0191092-0.000745284j -0.00950103+0.000475615j -0.0180513+0.00679774j -0.00864408+0.0019457j -0.00525605+0.00236892j 0.0103052-0.00639309j 0.00397921-0.00289826j 0.00113083+0.0027968j 0.0120604+0.0116164j 0.00289019+0.00459727j 4.27319e-05+0.000141464j 0.00193746+0.00129184j -0.0201108-0.00625799j -0.0149521-0.0150248j 0.00299192+0.00172934j -0.000357677+0.000985866j 0.000258822+0.000557462j -0.000849298-0.000548724j 0.00529603+0.000577759j 0.0201465+0.00146283j -0.0028967+0.000693014j -0.00380765+0.00194802j -0.000303937-0.000915004j -0.00209733+0.000441441j 0.00144215+0.000407925j -0.00093442+0.000490593j -0.0116123+0.00247426j 0.00412312-0.00110372j -0.004491+0.0014245j 0.00119941-0.000422317j 0.00495289-0.00270161j 0.00151408-0.00123386j 
