-0.000213549+0.00324771j 0.0207879+0.0137978j -0.00309984-0.00187205j 0.0217139-0.00520017j 0.020358-0.00821916j 0.00110004-0.000700191j 0.00158847-0.000428241j 0.00645996-0.00786518j 0.00260715-0.00789707j 0.00526932-0.00525356j 0.00803081-0.00815762j -0.00769204+0.00464497j 0.0160379-0.0255326j -0.0014762+0.00238378j 0.00188-0.00772794j -3.24258e-05-0.000746026j 0.000118833+0.00011435j 0.00140847-0.00411538j -0.000455876-0.000714741j 0.0012696+0.00502296j 0.00195869-0.00348838j -0.00614219+0.0056754j 0.00417418+0.00213183j 0.00111409+0.00568331j 0.000207745-0.00314657j -0.00481762+0.0132388j -0.00204122+0.00544805j -0.00223569+0.00214896j 0.000514596+0.00387736j -0.00662833-0.0245196j 0.00187778-0.000615702j -0.0034407+0.00340913j 0.000223453-0.00148815j 0.00250228+0.012905j -0.000278111-0.000553684j 0.00143578-0.000983172j 
0.00888516+0.0106365j -0.0149012-0.00899758j -0.00722153+0.0102239j 0.0116669+0.0208554j 0.0157768+0.000955115j -0.00111243+0.000545151j 0.00142302+0.000321006j -0.00252861-0.0116454j -0.00481469+0.00280645j -0.00418911-0.00412686j -0.0102083-0.0225824j 0.00157822+0.00664893j -0.0117029-0.0121368j 0.00670653+0.00571735j -0.00695314-0.00434277j -0.000291092-0.000465587j 0.000877311-0.00244891j -0.001598+0.00781934j 0.000522949+0.0029253j -0.00368311-0.0068188j -0.000930966+0.00697473j 0.00634549-0.0249389j -0.000482007-0.00343055j -0.000403321-0.00376214j 0.00193047-0.000569173j -0.00947599-0.0142554j 6.31593e-05-0.000927394j 0.00101085+0.00364086j 0.00062145-0.0139412j 0.00580654+0.00121556j -0.00300449-0.004031j -0.00414047-0.0100732j 0.00236121+0.00296676j -0.00350369-0.00395274j -0.00195044-0.000387372j -0.00148875-0.00014145j 
-0.0195219+0.0454811j 0.000106779+0.0412547j 0.0123936-0.0275483j 0.00570897-0.0142379j 0.00861744+0.0223907j -0.000452863+0.00476709j -0.00115175+0.00692178j -0.00582233-0.015329j -0.00399489-0.0149792j -0.00154956+0.000941793j -0.00707242-0.00444214j -0.00189849-0.0147419j -0.00299656+0.00786259j 0.00234379-0.00104282j 0.00454537+0.00909931j 0.00206006-0.0017453j 0.00188085-0.00232243j -0.004165+0.00361193j -9.74824e-05-0.000218374j 0.000779003-0.00300388j 0.00157017+0.0027708j 0.00229909-0.00916293j 0.00211415+0.00228485j -0.000756753+0.00283176j -0.00179629+0.000475489j -0.0030824-0.00561723j -0.00250934-0.00711963j -0.0013499-0.000216375j -0.00226534-0.00255738j 0.0039984+0.00382836j 0.00271962+0.00273124j -0.00159641+0.000381539j 0.00180864+4.61034e-05j -0.00744395-0.00462144j 0.000530106+0.00148931j -0.000794921+0.00210025j 
0.00214249-0.00690786j -0.00167864-0.00497244j -0.004503-0.00802967j -0.00137229-0.000829098j 0.00913483+0.00512097j -0.00218675+0.00740803j 0.00383424-0.00933107j -0.00580632-0.0210585j -0.00289261+0.00568485j 0.00718184+0.0226493j 0.00457357+0.0119137j -0.00205012+0.00179445j -0.000278749-0.000616696j -0.0114199-0.0112846j 0.00432761+0.0023801j -0.00175722-0.000622826j 0.00116346+0.00198135j 0.00186884-0.0152025j 0.00032696+0.0030509j 0.00512111-4.3448e-05j -0.00232117+0.0111282j 0.00117736+0.00747237j -0.00135626-0.00211415j -0.00975351-0.0122821j 0.00259908-0.0118371j -0.00165952-0.00314151j 0.0088229+0.00711609j -0.00512729-0.00115464j 0.00119931-0.0123839j -0.000970255-0.00610481j -0.00414224-0.002396j -0.0106125-0.00997225j 0.00218308+0.00462265j 0.000449971-0.000900757j -0.00356609-0.00034048j -0.00121523-0.0008202j 
0.0654628+0.0163617j 0.0550353-0.00289582j -0.0155525-0.0113672j -0.0084868+0.00185652j 0.017025+0.00328701j -0.00627918-0.00407306j -0.00256675+0.00283569j 0.00849783+0.00317898j 0.00346385-0.00305349j -0.00180459-0.00254537j 0.000967879-0.00174838j 0.00169727-0.00497293j -0.00144131+0.00704722j 0.00317128+0.000726037j -0.000147289+0.00430306j -0.00118776-0.0012636j -0.00319049-0.00240482j 0.00704961+0.000303686j 0.00132744-0.00328709j -0.0124699-0.00416093j 0.000544632+0.000613389j -0.000201807+0.00303882j -0.00409576+0.00266009j 0.01195+0.00696347j -0.00623417-0.0031913j 0.00204784+0.00193143j -0.00951456-0.00475529j 0.0111223-0.00163969j -0.00514381+0.00157757j 0.00118477+0.001221j 0.00159121+0.00304281j 0.0154688+0.000533575j -0.000417603-0.00162314j 0.00650397-0.00339029j 0.00213295-0.00177289j 0.000855109-0.00175351j 
0.0405236-0.000559477j 0.0319581-0.00901865j -0.0128092-0.00891268j -0.00547018+0.0015112j 0.0146372+0.00206022j -0.00238673-7.26514e-05j 0.0040304+0.00266482j 0.00145817-0.00118767j -0.00448258-0.00237876j -0.00414315+0.00060171j -0.00408122+0.00133844j -0.00750962-0.00179039j 0.00767524+0.00162915j 0.00346448-0.00272687j 0.00533782-0.00142652j -0.000429619-0.000698951j -0.00306011+0.00124088j 0.00184034+0.000955289j 0.00487517+0.00199762j 0.00393913+0.00739435j -0.0043307-0.00346682j -0.000826475-0.0013954j -0.00671753+0.00294852j -0.0119754-0.00178691j 0.011767+0.00325086j -0.00108057+0.00235317j 0.0152293-0.00292495j -0.00249187-0.00237103j 0.00949156+0.000624807j -0.00391207+0.00297227j -0.00637854+0.00560885j -0.00670773+0.00340116j -0.00210002+0.00187729j 0.00472297-0.00809226j 0.000371989+0.00191038j -0.000515168-0.00156322j 
0.00853578+0.00122608j 0.00629505-0.00226243j 0.0145697-0.0102337j 0.00134362-0.00219802j -0.00758517+0.0179138j -0.00479243-0.00614617j 0.0138387-0.00211112j 0.0201313+0.00149331j -0.00549638+0.00713831j -0.0257818+0.0112443j -0.0128733+0.0092273j -0.00212072+0.0077967j 0.00275631-0.00948893j 0.0124172-0.0135042j -0.00654792-0.00284806j 0.00490092+0.000329094j 0.00282462-0.00104904j -0.00369325+0.00557368j -0.0020897+0.00112706j 0.00296327-0.00479053j -0.000394202-0.00237908j 0.000292586-0.000711473j 0.0044292-0.00504107j 0.00281852+0.00147206j -0.000251509+0.00242332j 2.97458e-05-0.000462766j -0.00510454+0.00423319j -0.000973465+0.00423282j -0.000177419+0.00264977j 0.00164012-0.00326199j 0.00197057-0.00546238j 0.000762599+0.00210683j 0.000507385-0.00265752j -0.00161519+0.0100106j -0.000673901+0.000742423j 0.000828337+0.00146273j 
-0.00369095+0.00719513j -0.00134586+0.00649584j -0.0084728+0.00443758j -0.00185461+0.00131058j 0.00499-0.00841745j 0.00187825+0.000114919j -0.00234565-0.00427144j -0.00602793+0.00216634j 0.000368616+0.00444454j 0.00636598+0.000703646j 0.00470703+0.00115924j 0.00210256+0.00595519j -0.00283237-0.00472863j -0.00465037+0.00117573j -0.0036109-0.00422354j -0.000185908+0.000133643j 0.00175001+0.00363346j 4.23048e-05+0.00335568j 0.000472551-0.00787554j 0.00882696-0.00141921j -0.00312991-0.000862713j -0.00232501-0.00121081j 0.00666692+0.00975147j 0.00197746+0.0179505j 0.00392343-0.00683246j 0.00323611+0.00374151j -0.00846617-0.0197084j -0.00442048+0.00165666j 0.00243712-0.00335833j 0.0065601+0.00496768j 0.0105677+0.00862667j 0.00679523+0.0112222j 0.000578771+0.00071891j -0.014557-0.00408048j 0.00413894-0.000254982j -0.001813+0.00187648j 
-0.0139311-0.0629451j -0.019879-0.0487181j -0.0137751-0.00827371j 0.00131274-0.000919716j 0.0183082-0.00279436j -0.0042116+0.00462907j -0.000262144+0.00417339j 0.0010902-0.00594757j -0.00121269-0.00851555j -0.00227444-0.000305166j -0.00313088-0.00279511j -0.00278446-0.007133j 0.00337512+0.00582243j 0.00332641-0.00151497j 0.00242237+0.00352151j 0.0029902-0.000232521j -0.00092485-0.00156611j -0.0123523+0.00735835j -0.000147362-0.00183716j -0.00787875+0.00610828j 0.0101347-0.0075335j 0.00618395-0.00673291j -0.000290698+0.00439294j 0.00144756+0.00369987j -0.0113039+0.0153089j -0.000885437+0.000366094j -0.00329888-0.0021852j 0.00145929-0.00599146j -0.00871624+0.0154509j -9.95197e-05+0.00627957j 0.00187491+0.00355324j -0.00121715+0.00257551j -0.00017451-0.00609227j -0.00392059-0.0052491j 0.000726313+0.00294736j -0.00120868+0.00196976j 
-0.0189114-0.0473777j -0.0211459-0.0360209j -0.00433904+0.00464555j 0.00279171+0.000637396j 0.0012933-0.00811171j -0.00311251+0.00716839j 0.00640866+0.00468581j 0.00462277-0.0115663j -0.00719339-0.00754186j -0.00812527+0.00676512j -0.00798711+0.00463198j -0.00767219-0.00642237j 0.007345+0.00314043j 0.00264825-0.00938905j 0.00654577+0.00499182j -0.000699617-0.0029599j -8.45965e-05-0.00182822j 0.00990781-0.00118895j 0.00133611-0.00154946j -0.000610907-0.00948868j -0.00593077+0.00729498j -0.00359955+0.00184338j 0.000727626+0.00153611j 0.00699074+0.00685625j 0.00264189-0.0141474j 0.00149923-0.00106448j -0.00805195-0.00770288j 0.00478012+0.00360707j 0.000280038-0.0114653j 0.00394433-0.00106171j 0.0039207+0.00157109j 0.0114958+0.00115426j 0.000954877+0.00201466j 0.00100569+0.000590276j 0.00163149-0.00218107j 0.00176784-0.000183691j 
0.00568068+0.0122397j 0.00693619+0.00784023j 0.00972358+0.0161223j 0.00201809+0.00214869j -0.0188064-0.00886387j 0.00679633+0.00235881j 0.00858396+0.013961j -0.00454341+0.00706109j -0.0160954-0.00719558j -0.0108073-0.0150888j -0.00817936-0.00661917j -0.0184927-0.00493123j 0.0189129+0.00495159j 0.00869706+0.00512131j 0.0142065-0.00546724j -0.00225976+0.00317164j -0.00199756+0.00142102j -0.001481-0.0110066j 0.00194288+6.89602e-05j -0.000344913+0.00332488j 0.00250301+0.00525517j 0.000319574+0.00274482j -7.1303e-05+0.00366497j -0.00406408-0.00348775j -0.00333894-0.00570392j -0.00223771+0.0003185j 0.00154643-0.00114937j -0.000583324-0.00310363j -0.00393823-0.00560007j -0.00133498-0.00141619j 0.000402478+0.00228896j -0.00378687-0.00470436j 0.00313059+0.00203271j -0.00150281-0.00556628j -0.00192662-0.000807003j -0.000258832-0.00149631j 
-0.0120447-0.0022258j -0.00945181-0.000750092j -0.00698305-0.000252571j -0.0025009-0.000391198j 0.00501518-0.00391933j -0.0034098-0.00174855j 0.00191963+0.00253977j 0.0074425+0.0025206j 0.000250238-0.00122039j -0.00825262-0.00101599j -0.00628492+0.000132561j -0.000162681-0.00109738j 0.00252+0.000964629j 0.00680155-0.00273373j -0.00217614+0.00143127j 0.0017549-0.000415916j 0.00152386+0.00169027j 0.00240009+0.00577778j 0.00211326+0.00241708j 0.0139379+0.00253466j -0.00914304-0.00467683j -0.00322324-0.00155992j -0.000639031+0.000102627j -0.0114828+0.00225288j 0.0182965+0.000770083j 0.000384636+0.00231058j 0.0123358-0.00447391j -0.00756325+0.00418529j 0.0147862-0.00214281j -0.000608682+0.00114421j -0.00284919+0.00277427j -0.00665878+0.00915092j -0.00223188+0.0025894j -0.000714506+0.00138059j 0.000897398+0.00175268j -2.69408e-05+0.00116492j 
0.0585846-0.0518168j 0.0420536-0.0434037j 0.0266972-0.00733041j 0.00935015-0.00173087j -0.014384+0.0176998j 0.00201775-2.33587e-05j -0.00573269+0.00180883j -0.00408473+0.0014339j 0.00694396-0.00315329j 0.0045696-0.00620853j 0.00199534-0.00686598j 0.00698706-0.00396563j -0.00455015+0.00325548j -0.000599183+0.00689352j -0.00291035+0.00142356j 0.00149312+0.00225825j 0.00536112+0.00305307j -0.00516854-0.00561804j -0.00354188+0.000655593j 0.0133586-0.000905801j -0.00124+0.00452336j -0.00197367+0.00162417j 0.00717869-0.00085931j -0.00644457-0.00248071j 0.00264229-0.00642989j -0.000312848-0.000363374j 0.00139961-0.000544045j -0.00975046+0.00322491j 0.00146443-0.00894836j 0.000818621-0.00326237j 0.00334798-0.00180329j -0.00996741-0.000534531j 0.00311231+0.00288353j -0.0109861+0.00501953j -0.00165084-0.000521981j -0.00162161+0.00205976j 
-0.00979767+0.00181171j -0.00628654+0.00259396j -0.0108296+0.00547966j -0.00299164+0.00145176j 0.00563288-0.012083j -0.00519378+0.00292918j -0.0087835+0.00929013j 0.00403305+0.000358211j 0.00744065-0.0136649j 0.00211945-0.00857839j 0.00109774-0.00490359j 0.00550884-0.016785j -0.00176554+0.0152104j 0.00275214+0.00391374j 0.00057187+0.0148897j 0.00166279-0.00105893j 0.00568922-0.00324369j 0.00330421+0.00055767j -0.00538286+0.0073422j 0.0101616-0.00780138j -0.00581734+0.0021945j -0.00532863+0.00398262j 0.00466867-0.0124692j -0.000397884-0.00909833j 0.00736365-0.00345806j 0.0014139-0.00122065j 0.00136518+0.0121005j -0.00506423+0.00967236j 0.00600031-0.00601909j -0.00248724-0.00691152j -0.00121389-0.0106143j -0.00455449+0.000476394j -6.0074e-05+0.00194787j 0.00249918+0.0183215j -0.00165801-0.000818838j 0.00285061+0.00349447j 
-0.0373269-0.030248j -0.0287218-0.0227545j -0.00588429-0.0323694j -0.00524486-0.0103665j 0.0171868+0.023306j 0.00698542-0.0134585j -0.000182318+0.000718508j -0.00463363+0.0215675j -0.00196021+0.00599278j 0.000540918-0.0147903j -0.00223204-0.00486402j -0.00188203+0.0062195j -0.00038768-0.00299687j 0.0044039+0.0114191j -0.0030024-0.0102742j -0.0047667+0.00153446j -0.00164742+0.00173638j 0.00771823-0.00641032j 0.000916682+0.000670168j -0.000718765-0.00207867j -0.00344409+0.00407616j -0.00129068+0.00560747j -0.0023367-0.00152157j 0.000361063-0.00350327j 0.00252008-0.00722842j 0.00159518-0.000976049j 0.00147573+0.00140716j 0.00206248+0.000929095j 0.00110449-0.00806234j -0.001378-0.00145041j -0.002239-0.00168261j 0.00182174-0.00468686j 0.000643433+0.00354532j 0.00492144-0.0010943j -0.00182928-0.00311929j -0.000947537-0.00377072j 
0.0119188-0.0154403j 0.00943955-0.0117983j 0.0181491-0.00314175j 0.00607295-0.00294141j -0.0144407+0.00922633j 0.0115875+0.00662172j 0.00150534-0.000834804j -0.0175605-0.00515373j -0.00828005-0.00108343j 0.0120941+0.00321866j 0.00326889-0.00101369j -0.00863689-0.000354695j 0.00327834-0.00238876j -0.0101878+0.00126371j 0.0110249-0.0028605j -0.00162049-0.00778669j -0.00543344-0.00624406j 0.0096393+0.0188998j 0.00320221+0.00212927j -0.00911741-0.00533165j -0.00420028-0.00745532j -0.00120128-0.0078181j -0.00687137-0.00382134j 0.00678248+0.00513018j 0.00730825+0.00885606j 0.000343692-0.00228503j -2.77076e-05-0.000763131j 0.00852877+0.00324006j 0.00872519+0.00677351j 0.0026692+0.00417265j -0.00338538-0.00126465j 0.0137793+0.00514665j -0.00634076-0.0016914j 0.0121995+0.00154559j 0.00527382-0.000820226j 0.00601853-0.00238099j 
