-0.0168944-0.18966j 0.0516783+0.187733j -0.0561006-0.0784421j 0.11414+0.518119j -0.287615-0.219061j -0.0338117+0.285022j -0.000727713-0.60685j -0.197074+0.259668j -0.432593+0.622944j -0.534245-0.162526j -0.108167+0.316224j -0.0496027+0.36993j -0.144061+0.00952858j -0.705694-0.247938j 0.454658+1.31503j 0.28383-0.661734j -0.385202+0.536403j 0.125711+0.127367j 0.158126-0.274624j 0.926267-0.467142j 0.340188-0.0981235j -1.22287-0.49455j -0.390176-1.04877j -0.244654+0.148075j 0.429807-0.816711j -0.976078-0.458799j -0.08965+0.0895197j 0.396713-0.373375j 0.579918+1.06096j -0.0503208+0.301249j -0.000421069+0.0441867j 0.67036+0.16366j -0.647955-0.877786j 0.170694+0.209622j 0.325571+0.290284j 0.645237-0.185322j 0.0118823+0.771493j -0.162255+0.694231j 0.776252-0.877916j 0.654586+1.02528j 0.246014+0.933665j -1.50017-0.407394j 0.412702-0.0654394j 0.452263-1.42607j 0.106919+0.363688j 0.782323-0.935809j -0.357879-0.111758j -0.374156-0.226071j -0.31881+0.19j 1.27277+0.4046j 1.25383-1.4781j -1.74617-0.992678j 
0.115358-0.134737j 0.266844-0.111308j -0.0579278+0.156737j -0.167918-0.0870593j 1.7527-0.496667j 0.271252+0.551896j 0.14692+0.488997j -0.201974-0.284919j -0.398854-0.814501j -0.811334+0.148808j 0.274908-0.759017j 0.148043+0.747215j -0.00016725+0.278347j -1.45529-0.916959j 0.551382+0.0953288j -0.0527268-0.860715j 2.22167-1.31168j 1.19697+1.25757j -0.12213-0.988047j 0.285155-0.539194j -1.48529+0.0911268j 1.51733-0.969373j 0.803352-0.214212j -0.336066-0.514547j -0.383273-0.829939j -0.543349-0.331238j -1.20745+1.04796j 0.965749+0.637072j 0.338437-1.78589j 1.60842+0.665313j -0.445016-0.1224j -0.867372+0.604133j -0.332182-0.675818j -0.493539+0.0454096j -0.135451+0.635414j 0.34742+0.219018j 1.8443+0.0895767j -0.359575-0.0389889j 0.769677-0.0400644j -0.373009-1.12856j -1.18774-0.760875j -1.84379+0.845624j -0.756325+0.478637j 1.67795+0.0075759j 2.88232+0.441066j -0.853741-0.0240395j -0.21692+2.99102j -0.507875-1.00289j 0.298954+0.159538j 0.240074+0.169604j 0.227173+0.00922316j 0.307734+0.0607139j 
0.613275-0.607187j 0.3701+0.981339j 0.48864-0.42082j 0.976159-0.620376j 1.63074-0.811503j -0.501082+0.0116815j -1.3152-0.367623j 0.0568864+1.20102j 1.37673-0.902679j -0.491713-0.75401j 0.246595-0.451991j 0.219186-1.31943j 0.164962+0.0231931j 0.0480373+0.0633725j 0.0752705+0.908006j -1.392-0.739343j 0.304646+0.493246j -0.106869-2.16005j 1.66917-0.732526j -0.517698-0.659593j 0.857632-0.0157142j -1.03476-0.16208j 0.180403+0.0707492j -1.28698+0.773113j 1.3829+0.105831j -0.129389+0.263724j 0.716628+0.0234362j -1.59808-0.107083j -1.63585+0.296084j 0.90811+0.35926j -0.680979+1.07438j 0.457603+0.149828j 1.17566-0.64834j -1.09962-0.469266j -0.000574705-2.22749j -0.72068+0.704644j 1.58729-2.20526j 0.641782-0.604164j -0.604689+0.152437j -0.162078+0.905095j 0.449027+0.928522j 0.00692267-0.0360461j 1.15742-0.300266j 1.27562+1.99743j -0.283457+0.621239j -1.46178+0.112511j -0.460881-0.399613j -1.52166-0.809448j -0.930741-1.03701j 0.195062+0.554438j 0.546404-0.703967j 0.208021+0.798619j 
0.5579-0.0483529j -0.402557+1.15257j 1.27099-1.07461j 0.728737-0.492989j -1.23268-0.331827j 0.0518195+0.764797j 0.683371-1.77049j 1.13394-0.526538j -1.33624-0.0237772j 0.275247-1.3189j -0.900355-1.43992j 0.859044-0.667725j 1.16016-0.386224j -0.790338-0.32587j -0.43018-0.623956j 1.12999+0.913223j 1.49571-0.47201j -0.990433+0.871459j 0.760853-1.53107j -0.525122-0.241646j 1.35842+1.54182j 0.591737-0.293387j -2.23043+0.822553j 0.492364+1.15382j 0.436567+0.563883j -1.29003-1.16772j 0.254873-0.35731j 0.0488969+1.61874j 0.84584-0.464885j 0.954008-0.0618698j -0.224484-0.631692j -0.463515-0.152298j 0.485717-0.311099j 0.150496+0.83356j 1.23406+0.214731j 1.38576+0.555179j 1.07943-0.320049j 1.51818+1.42324j -0.37522-0.311121j -0.634633+0.838595j 0.899596+0.216453j 0.405906+0.43089j -0.764541+0.370295j -0.605084-0.770675j -0.239518+0.373246j -1.22608+0.904174j -0.0983586-0.320892j 1.35742+0.534281j -0.978381-0.19128j -0.431919+0.256401j 0.577587-0.878039j -0.401147+0.375153j 
-0.706053-0.127587j -0.0197865-0.516035j -0.649772+0.461836j 0.333057-0.0741984j -0.0381578+1.15181j -0.451451+2.79038j 0.584989+0.891991j 2.36174-0.0954239j -0.915862-0.435698j -1.57803-0.3988j -1.31597-0.570225j 1.40963-0.218532j -0.944201+1.51185j 1.52213+0.320223j 0.395935+0.139764j 1.42347-0.838927j -0.122172+0.110941j 0.654839-1.44124j -0.481736+0.0066643j -0.555874+0.24635j 0.389677-0.14422j 0.387236-0.271314j -0.542565-0.290853j -0.666445-2.43272j 1.05172-0.677066j 0.208994+0.95951j 1.4785+0.684967j -0.495665-0.24445j -0.0618654-0.740527j -0.922942-0.196971j -1.40329-1.27118j 1.89648+0.307072j 0.38264+0.474541j -0.771583+0.88494j 0.952662-1.97563j 1.81853+1.18195j -0.0897361+1.26291j -1.13135-0.578216j -1.55102+0.979889j 0.422028-0.666656j -0.842608+0.778609j 0.328344+0.645742j -0.526646-0.320253j 1.1107-0.781361j -0.166189+0.507748j 0.253406+0.141051j -0.426685+0.743023j 1.05448+0.379607j 0.14702+0.167203j 0.375626+0.0641609j -0.41771+0.0290217j 0.110333-0.230762j 
1.56382+0.229864j 0.456164+0.786353j -0.0837976-0.188558j -0.655191+1.35794j 2.48609+0.752322j -0.810933+0.0692692j -0.631517-0.137533j 1.03454-0.116284j -2.30276+0.177642j 1.64166+1.17617j 0.777674-1.48882j -0.124894-1.33034j -0.801852+0.737328j 0.303266+0.246334j 1.19668+0.439537j -0.180299+1.90157j -0.127213-0.98235j 0.599102+0.240555j -0.268243+0.480788j 0.23379+1.49726j 0.42433+0.644179j -1.75257+0.845983j -0.660675+1.25227j 1.02933-0.459434j 0.0163055-1.23714j 0.324591-1.19151j 0.245902+1.75215j 0.243091+0.628351j -0.705749+0.906655j 0.30327-1.02222j -0.342995+1.60296j 0.22582-1.14463j -0.858889+0.868622j 0.944368+1.2594j -0.361575-0.712298j 0.0613485+0.562848j -0.817358+0.116286j -0.0499868+0.0827325j -0.642875-0.654184j -0.117764-0.124191j 0.464523+0.0991321j -1.9118-1.19952j -0.0465365-0.840318j -0.757156+1.71228j 0.656287-0.706054j -1.27566-0.316839j 0.856178+0.761861j 0.31936-0.521294j -0.130485-0.98285j -0.402945+0.269906j 0.349987-0.179266j -0.0578771-0.0307178j 
1.46181+1.10073j -1.08939+0.298009j 2.34763+0.828766j -0.616308-2.57124j -0.232351-0.949559j -0.250052+1.19448j -1.84379+0.35529j 0.360351+0.461288j 1.17972+0.328037j 0.244595+0.305427j -1.49676-0.517932j 0.0728498+2.46972j 1.85472-0.701094j -0.138122+0.35145j 1.31819+1.60342j 0.616713-0.303208j -0.34744+0.38033j 0.449486-0.273249j 0.0239-0.332311j 0.0703089+1.73048j 0.664863-0.716179j 0.322366+0.399353j 1.79786-0.239175j -0.433934-0.526947j -0.251623-0.684289j 0.456404+1.0853j -0.990762+0.522872j 0.804754+1.52724j -0.635632-0.180895j 0.0925596-2.0401j -0.64701+0.22573j -0.121302+0.157689j 0.24786+0.224904j 0.58742-0.464438j 0.758731-0.23021j -0.470388+0.356211j -0.0921283-0.651052j 0.62404+2.04207j 0.222543+0.110485j -0.00790221+0.538648j 0.707199+0.0753321j 0.0909684-1.13755j -0.755615+0.817431j 0.0171776+0.0998613j -0.0142654+0.237609j -0.663313-0.713912j 0.123729+0.415288j -0.156722+0.840544j -0.569294-0.758173j -0.630208-0.492176j 0.312856+0.549616j -0.0512273-0.134225j 
1.22529+3.19702j 2.8985-1.52809j 0.0770239-2.49215j 1.02091-0.408603j 0.281764-0.730078j -0.409133-0.123537j 2.30037-0.306105j 0.645775+0.108652j 1.15087+1.01578j -0.568386-0.365878j 0.776037-0.382771j 0.580605-0.71016j -1.08504-1.08474j 0.183226-0.302231j 0.036117-1.84643j 0.331708-1.16158j 1.39523+0.36784j 0.44345-0.884025j 0.889257-1.17466j 0.864292+1.76793j -0.169194+0.797797j -1.1641-0.10993j 0.408948-0.26614j -0.776651+1.28918j 0.131279-0.149593j 0.377148+1.63558j -0.355845+1.12557j 0.160457+0.952952j 0.334207+0.571384j -0.509444-0.818247j 1.66028-0.157218j -0.163948+0.0424663j -0.386744+0.0827429j -0.333886-0.26137j 0.0794913-0.38998j 0.0757956-0.754355j -0.00898897+0.784973j -0.597069+1.04218j -0.694197-0.104754j -0.206463+0.00816291j 0.00252003-0.131377j 0.142705-0.0925563j -0.840826+0.0658502j -0.216705+0.674287j 0.0361022-0.311577j 0.382104-0.522339j -0.202774+0.279693j -0.360271-0.0948734j 0.516567-0.270977j -0.0584028-0.067305j -0.171766+0.160751j 0.283954-0.0684504j 
-0.235879+0.0545055j 0.153814+0.04299j -0.0302846-0.0298959j 0.548059-0.172191j -0.17485+0.209523j 0.260868+0.0757715j -0.61265-0.122918j 0.0711524+0.185788j 0.343928+0.258875j -0.65331+0.219493j 0.272629-0.033371j -0.107356-0.0178311j -0.130255+0.0879755j -0.384583+0.257564j 0.78586+0.595386j -0.336719-0.634783j 0.157383+0.579494j 0.0669798+0.14768j -0.638196+0.226811j -0.290787+0.0705626j 0.0213673+0.0669888j -1.23675+0.167029j 0.723689-0.221226j -0.36018+0.401419j -0.172491-0.606013j 0.33608-0.742197j 0.272995+0.781186j -0.0425087-0.070853j 0.693217+0.629834j 0.0627435-0.14174j 0.89753-0.606423j 0.0906085+0.367069j 0.513405-0.432322j 0.607775+1.24186j 0.318565+0.639403j 0.42907-0.557942j 1.1685+1.18146j 0.537131-1.729j -0.365872+0.119918j -1.33085+0.476958j 0.139303-0.322094j 0.612784+1.15668j 0.0249291-0.580897j -1.39795+0.995799j 0.292956+0.406729j -0.0819183+0.480165j 0.640079+0.813208j -0.176885+0.869008j -0.502846-1.03119j -2.0386+0.370283j -3.5111+2.15392j 2.04439+3.23217j 
-0.0851889-0.130271j -0.015441+0.0313485j -0.025624+0.0904103j 0.212343+0.206285j -0.135786-0.0198658j -0.00952825+0.160278j -0.0930013-0.304568j -0.129513+0.147607j -0.202749+0.321742j -0.187311-0.280653j 0.00317359+0.036913j -0.00218471-0.0185197j -0.0598039-0.0570087j -0.272616-0.215146j -0.24358+0.523445j 0.294027-0.304203j -0.285675+0.117339j -0.0967704+0.0198527j -0.230766-0.449859j 0.0775912-0.113129j -0.018947+0.0434437j -0.481155-0.63387j 0.116265+0.554509j -0.40055-0.043748j 0.31618-0.0690161j 0.202576+0.317248j -0.587836+0.252089j 0.10063-0.176003j -0.290999+0.657483j 0.184057+0.185863j 0.489985+0.589618j -0.0707578+0.109415j 0.0685938+0.403315j -0.84585+0.351115j -0.401652+0.17644j 0.384191+0.183141j -0.594046+0.960894j 1.11273+0.247457j -0.0385328-0.341133j -0.39132-0.903524j 0.0597259+0.160354j -0.914134+0.417972j 0.607508+0.103335j -0.830698-0.941025j -0.333317+0.242582j -0.417681+0.398869j -0.698703+0.619942j -0.718261-0.0110082j 0.447383-0.851138j -0.608164-1.68981j -2.28872-1.84499j -1.77826+1.75453j 
0.0346482+0.104398j -0.130504-0.605622j -0.360858+0.753813j 0.166699-0.907962j 0.407421+0.467108j -0.123938-0.28279j -0.431447+0.75075j -0.167313+0.138174j -0.392389+0.0350629j 0.804528+0.73716j -0.255608-0.611876j -0.0158756+0.429384j 0.193967+0.354303j 0.145711+0.232436j -0.134862-0.998517j -0.430767-0.195734j 0.379889-0.315389j -0.168315-0.307083j -0.41465-0.575962j 0.893087+0.499839j 0.0112723+0.0551466j -0.862302+0.25335j -0.390722+1.33235j -0.703618+0.314666j -0.479576+1.3766j -1.09146+1.48084j -1.10921-0.65693j 0.39947-0.725068j -0.587536+0.412695j 1.06276+0.796209j -0.228214-0.216987j 0.441335+0.258517j -0.461506+1.42725j -0.702151-0.837709j -0.455179-0.841509j -0.435757+0.540423j 0.160053+0.249033j -0.053103-0.508856j 0.311544+0.036319j -0.855478-1.32174j -1.02311-0.383093j 0.290736-1.00199j 0.452521+0.0336213j -0.856165-0.153439j -0.107181+0.623966j -0.544388+0.99115j -0.608581+0.734136j -0.990592+0.573101j -2.8271-1.15318j 1.33015-2.0592j -0.693824+1.58361j 0.400544-1.76127j 
0.00889907-0.0606584j -0.302737+0.227469j 0.496663+0.0304747j -0.503004+0.000445089j 0.180118-0.365181j -0.223423+0.0833402j 0.464782+0.199034j 0.018836-0.0454672j 0.0464972+0.0914205j 0.337025-0.466128j -0.00960778+0.488989j 0.225159+0.0272306j 0.314014+0.00928713j 0.323256+0.0467265j -0.383097+0.195479j -0.490233-0.043471j -0.231399+0.125899j -0.177277+0.0363731j -0.613776+0.1959j 0.204194-0.873105j -0.0129777-0.0306256j -0.171001+0.126732j 0.855739+0.220905j 0.0499143+0.130236j 0.857458+0.137926j 1.11028+0.583051j -0.57273+0.469241j -0.53948-0.194978j 0.0564676+0.0341068j 0.465509-0.663699j -0.467945-0.291884j 0.0226594-0.426654j 1.04454+0.265735j -0.494998+0.847529j -0.575793+0.36601j 0.118161+0.0754309j 0.757123+0.206776j -0.302225+0.0803427j -0.275307-0.470039j -1.13583+0.495549j 0.111082+0.676907j -0.92453-0.175035j -0.197122-0.362442j -0.126811+0.835564j 0.608987+0.0848103j 0.925857+0.269579j 0.577591+0.195109j 0.540053+0.692131j -0.24416+2.30016j -1.71666-0.431205j 1.06261+0.292288j -0.941756+0.0525992j 
