-1.67018-0.200475j -0.0282739-1.99093j -0.554608-0.514919j -0.875357+1.32904j 0.641044+0.758849j 0.388813+0.21918j -0.528537+0.291242j 1.95271-0.52427j -0.602228-0.0237371j -0.674719+0.389194j -0.0425751+1.16497j -1.60909-0.607609j 0.0985374-1.04615j -1.10646-1.93478j -1.43812+1.00135j -0.68117-2.53439j -2.82897+1.28524j 0.0928258-1.34021j -2.36965-0.233692j 0.160197-1.75204j 0.291473+0.0523538j 0.590846+0.26213j -1.47357+0.0120867j -2.33031-2.20533j -0.323996-0.328626j -0.313945+0.0487833j 0.709443-0.405921j 0.195538-0.744163j 0.94033-3.09587j 0.812217+1.24211j -0.308303+0.456205j -0.0277026+0.59184j -1.26514-1.08473j -1.64601+1.9408j 1.12816+1.15214j 2.92617-0.779798j 0.940445+2.23455j 2.474-2.21293j -0.856562-2.16688j 2.79529+1.70067j -2.23124+1.56038j 0.451371+0.711131j -0.425103+0.0402257j 1.45551-0.980038j -1.76771-1.86137j -0.314502-1.45846j 1.85359-0.170362j 1.64121-1.04416j 0.0901233+0.357958j 0.334234+0.674466j 0.348897-0.63832j -0.257261+1.73677j 1.03497+0.490767j 1.16026+0.826874j -0.38143+0.820844j 0.334649-2.31361j 0.591712+0.238789j 0.407347+0.283136j 0.30662+1.00683j -0.760921-1.04838j 2.29513+1.124j -0.6249-0.12387j -0.156851-0.164777j 1.49125+0.050414j 0.112252+0.0820644j 0.762441-1.09627j 0.834583+0.616739j 0.31949-0.320988j -0.835357+0.0928109j 1.29002-0.558536j 0.567441-0.33477j -1.79456+1.17738j -0.46942+1.05404j 0.145197+0.686341j 0.537629-0.27873j -0.0733689-1.6765j 1.06753+2.10997j 0.269985-0.313625j 0.755156+0.763824j 0.726544-0.969242j -0.504954+0.405942j -0.603206-1.62527j -0.00264475+0.341405j -1.66702-0.67385j -0.23379-0.951172j -1.20901+0.237486j -0.532977+0.985483j -0.921675+2.22928j -1.04525-0.578554j -1.37126-0.347057j 1.19817+0.157192j -1.65597-0.88456j -1.38681+3.15411j 0.431609+0.425534j 2.39432+0.453062j 
-0.395843-0.0539447j -0.111853+0.439266j 0.205485-0.186491j 0.0813366+0.200036j -0.22034-0.871612j -0.143378+0.395618j -0.0101187-0.8663j -0.775974+0.418588j -0.0956428-0.204314j 0.112944-1.20621j -0.0705196-0.570773j 0.965878+0.790021j 0.704802+0.47607j -0.766328+0.466308j -0.414922-0.391722j 0.464616+0.140466j -0.0940498+0.259355j -0.268362+0.164471j 0.0113497-0.567148j -0.32807-0.993223j -0.248473-0.315092j 0.280843-0.351369j 0.37287+0.545873j -0.444222+0.432328j 0.387153+0.558091j -0.221339+0.225822j 0.0625368+0.288703j -1.52755+0.546872j -0.864879-1.04667j 0.179648+0.065281j 0.608181-0.106897j 0.523226-1.0539j -1.28764-0.197564j 0.184447+1.1305j -0.405853+0.0929073j 0.692465+0.547101j 0.218189-0.74066j 0.0663258+0.461845j -0.853119-0.222975j 0.308312-0.145157j 0.137868-0.514297j -0.790276+0.157451j -0.341203+0.939551j 0.947146-1.18951j -0.000412994+0.529648j 0.794152+2.13494j 0.860189+0.416932j -0.467692-0.0276718j 0.27938+0.559967j -0.880957+0.837789j -0.743396-0.138327j -0.175828-0.817318j 0.812924+0.160861j -0.341116+0.0216701j 0.0887064-1.37311j -0.445747+0.821515j 0.676201-0.30704j 0.822665+0.963997j 1.34402+0.2201j 0.294966-0.534772j -0.109362+0.830846j 0.424338-0.694658j 1.44504-0.62862j -1.85992+0.337973j -0.156976+0.0847742j 0.756975-1.65658j -1.08649-0.66164j 0.0351724-0.223819j 0.666224-0.251216j 0.642852-0.3152j -0.821769-0.289419j 1.52935-0.0873238j -0.480632+0.396596j -0.871089-0.605667j 0.395783+2.15531j 0.604249-0.0633525j -0.506137+0.626631j -0.079839-0.558936j 1.00697+0.161457j -1.98118+0.96348j -0.682351-1.0328j 1.19997-0.774517j 1.52191+1.17549j 0.96669+1.05886j -0.714798+0.571986j -0.215682+1.21386j -0.126871-2.16233j -0.507028+0.0107461j -1.00215-1.62735j -0.985744+0.299793j -0.449205-0.649964j -0.660729+1.10892j -0.835635+0.0441168j -0.532205+0.749305j -0.28381-0.426339j 
-0.405209-0.979167j 0.242906-0.611976j 0.440141+0.484916j -1.21041+0.772234j -1.27699-0.259468j -0.530912-0.036204j -0.82752-0.207412j 0.106799+0.176938j 0.123163-0.163986j 1.12255-0.896453j 0.0510025+0.157936j -0.468715-0.928049j 0.609283-0.089793j -0.448337-0.0522644j 0.705244-0.0498207j 0.0933254-1.62489j -0.376931+0.359438j 0.020615+0.769705j -1.34339+0.892647j 2.19904-0.211951j -0.0388075-1.03586j -0.560815-1.51096j 0.473374-1.31388j -1.44422-1.39329j 0.74218+0.428836j 0.349336-0.174841j 0.887729+0.0482231j -0.600013-0.385029j 0.380786+0.454432j 0.385193-0.153171j -1.71883-0.995202j -0.0772204+0.0369436j -0.333824+0.0890638j -0.373908+0.868704j 0.752958+0.477412j -0.639055-0.642339j -0.375756-0.858626j 0.849442-1.60191j -0.334918-0.834709j -0.124941-0.310985j 0.125186+0.250418j -0.184161+0.981675j -0.322415-0.61902j 0.923087+0.70568j -1.58818+1.16471j 0.729275+0.0513405j -0.0547347-1.54597j 1.30976-0.00670872j -0.662275+0.720252j -0.718249+0.167066j -0.0671505+0.41227j -0.576751+0.947835j 0.763469+1.14734j -1.13045+0.492135j -0.431573-0.272027j -1.73474-0.835112j -1.16112+0.789308j -0.102715-0.0678145j -0.0471063-0.726701j -0.010653-0.174127j 2.08167-0.609782j 1.1957+0.212118j -0.240973-0.0549978j 0.257638+0.437268j -0.364228-0.266208j 0.974664-0.181229j -0.0602364-0.0788191j -0.312948+0.0326345j -0.417246+0.0515279j -0.16596+0.498813j 0.109064-0.169623j -0.53377+0.29167j -0.424379+0.464351j 0.398408-0.31392j 0.0496309+0.136322j -0.178602-0.245658j 0.215443+1.31778j 0.0389716-0.67637j -0.208268-0.696106j 0.193498-0.0354008j 0.411524+0.031268j 0.588091-0.267582j 0.495893+0.071773j -0.194617+0.710121j -0.232069+0.0139651j 0.606899-1.67395j 0.0992267-0.0849798j 0.749559+0.757282j -0.576625-0.20236j -0.171673-0.225296j 0.107267-0.742733j 0.193723-0.297406j 0.229853-0.118756j -0.254898-0.182281j -0.39577+0.219865j 
-0.351055+0.607006j 0.644638-0.276773j -1.23979+0.68421j 1.78292-0.807874j -0.26321-0.0414143j 0.0754904-2.22513j -0.903441+0.645577j 0.105172-1.49442j -0.0169563+1.46622j -0.245844+1.21748j 0.169435-1.59659j -1.16126-1.56176j -0.305055-1.29258j 0.661998+0.586772j -0.330758+0.428935j -0.887617+0.251953j -0.252554-0.134j -0.03718+0.0362j 1.08089-0.178168j 1.05528+1.23282j -0.0188424-0.423721j 0.0748077-0.184936j 0.244323-0.207559j 1.16671+0.671512j 0.258592+0.147315j 0.159029-0.433246j -0.504552-0.452625j 0.100112-0.705665j -0.425896+0.95358j -0.189986-0.202293j -0.111938+0.389352j -0.382789+0.427954j 0.972313-0.569936j -0.415843+0.278101j 0.513766-0.50946j -0.647292+0.198704j 0.165941+0.502959j 0.206194+0.174649j -0.222259-0.0973857j -0.231634+0.0545154j -0.342445-0.0895978j 0.109939+0.430865j 0.493897+0.613108j -0.0480737-0.267438j -0.425562-0.0445597j 0.429944+0.845439j -0.338644+0.039901j -0.0204362-0.463139j 0.351318-0.147713j 0.127975+0.160081j -0.276009+0.102797j 0.462852-0.309741j -0.414575-0.312426j 0.0168268-0.000458331j 0.221804+0.614373j 0.105759-0.193719j 0.164527-0.542635j 0.321563-0.275916j 0.466271-0.194541j -0.0661508+0.0358025j 0.317282-0.283993j -0.0675089-0.435475j -0.138136+0.061486j -0.504763-0.456203j 0.0383116-0.430196j -0.406137-0.293138j 1.00952-0.823921j 0.21137+0.234609j -0.289314-0.654833j -0.348281-0.275996j -0.312968+0.12965j -0.194345-0.168898j 0.0653559+0.427377j 0.595393+0.350467j 0.183673-0.184223j 0.0852002-0.19791j 0.458038+0.245259j -0.258381-0.167498j 0.537865-0.291798j -0.268177-0.273435j 0.545411-0.430671j -0.38183-0.475712j 0.0331788+0.163742j 0.359692+0.300308j -0.0800285+0.60171j 0.213496+0.481976j -0.793681-0.7771j -0.184127+0.532668j -0.313162-0.320927j -0.270065+0.379863j -0.0587909-0.0668086j 0.0487083-0.0284292j -0.143556+0.133119j 0.168492+0.226744j -0.247824-0.139832j 
-1.20277-0.0922576j -0.215555+0.837424j -0.151908+0.288015j 0.966454-0.0101611j 0.267584-2.59438j -0.50913-1.06241j -0.00952177-1.30769j -2.04686-0.722937j -0.351025+0.44571j 1.39546-1.45519j 0.110134-2.35265j 0.501944+1.52739j 1.01747+0.868417j -1.49163+0.61617j -0.644517-0.976212j -0.217804-0.0173233j -0.0273274+0.0938681j -0.0535411+0.39894j 0.381189-0.723429j -0.16771+0.177835j -0.502631-0.328869j 0.142498-0.692749j 0.862001-0.410555j 0.875355+0.824331j 0.928266+0.42383j 0.14169-0.219254j 0.273063-0.0296912j -0.852402+0.940765j -0.960433+0.589692j -0.112908-0.42727j 0.182814-0.3328j -0.58899-0.808742j -0.0949513-0.313483j 0.543536+0.423407j -0.0275755-0.120915j 0.108305+0.142573j -0.232501-0.0103844j 0.196555-0.0982461j -0.173481-0.376057j -0.316626-0.0850406j 0.0590547-0.0608945j 0.302014+0.335399j -0.171425-0.0439687j -0.449018-0.180302j -0.154485+0.0155238j -0.650903+0.516561j -0.393558+0.267665j -0.126999-0.0945003j 0.322813-0.237346j 0.0531592-0.521078j -0.0844703-0.265659j 0.234589-0.175766j -0.548601+0.0074166j -0.0848642+0.259061j 0.0411312+0.514936j -0.0189673-0.264169j -0.0685285-0.023302j -0.521673-0.0566838j -0.148886-0.0775408j 0.0177058+0.0900623j -0.442097-0.219601j 0.185653+0.205245j 0.149634+0.258427j 0.122646-0.261546j -0.0964733-0.158232j 0.343654+0.761805j 0.803-0.337518j 0.0848399+0.329019j -0.270282-0.265015j -0.195014+0.387416j -0.172768+0.0627481j -0.170381+0.220532j -0.203302-0.0462471j 0.443368+0.139018j -0.0885668-0.31147j 0.059334+0.505099j -0.214735-0.416758j 0.217868+0.13783j -0.542915+0.24262j 0.17666-0.470196j 0.573538-0.344996j 0.324982+0.459022j -0.534902-0.0690975j -0.0640285+0.261816j 0.321129-0.243882j 0.0898183-0.342126j -0.0567148-0.388469j 0.242453-0.479394j 0.483283-0.369246j 0.854733-0.157251j 0.376336-0.192999j 0.0232074-0.147818j 0.302684-0.0248015j -0.234617-0.0142803j 0.254352+0.297131j 
-0.558652-0.00509033j -0.253373+0.352425j 0.539378+0.188207j 0.558416-0.166979j -0.148736+0.550031j -0.139831-0.560614j -0.503955+0.284197j -0.665117-1.40246j 0.297055-0.284897j 0.508968+0.626267j 0.0357195+0.382421j -0.517656-0.0762883j -0.528751-0.790921j -0.398527+0.530109j -0.0544747-0.607118j 0.402687+0.2167j -0.458753+0.0654554j -0.508504-0.433807j 0.340875-0.0543483j -0.171157+0.581766j -0.353342-0.0502612j -0.707608-0.0575976j 0.0467444+0.0654237j -0.596118-0.51447j 0.606108+1.13775j 0.316569-0.291632j 1.33877-0.149173j 0.46226+1.25607j 0.617398-0.562883j -0.840824+0.769991j 0.403459-0.00592372j 0.264878-0.35041j 1.09993-0.220464j 0.0465664-0.430249j -0.436575+0.857732j 0.65485+0.0824119j 0.86819-0.248906j 0.232792+0.533443j -1.05393-0.23846j 0.570799+0.15563j 0.726448-0.793761j -0.203756-1.05823j -1.70518-0.577706j -0.645568+0.123172j 0.29468+0.847529j 0.459695-0.553264j 0.572392-0.0290936j 1.38385+0.1977j 0.495588-0.252294j 1.24786-0.871497j -0.31807+0.885817j -0.196499-0.371072j -0.203753-0.421001j 0.698527+0.501332j 0.0525648-0.516842j -2.42995-0.233079j -0.516767+0.306519j 0.465365+0.0495588j 0.116008+1.00186j -0.55045+1.02026j -1.41486+1.01097j 0.366377+0.816412j -0.0421768+0.0455947j 1.06542+1.40859j -0.829246+1.69763j -0.995894+0.280092j -1.08409+0.895198j -1.0038-1.45389j -0.575086+1.12628j 0.0722614-1.31598j -0.659979+0.323997j 1.1505+2.34207j -0.43259-0.916284j -1.08595+0.61161j -0.126207-0.979091j 0.324414-1.02668j -1.25584-0.264008j 0.511694-0.44203j -0.152467-0.869622j 1.1613+0.0463889j -0.376349+0.144491j -0.0716331+0.881079j 0.399106+1.00227j -1.78744+0.100823j -0.423559+0.282463j -1.11748-0.468383j -0.137452+0.84684j 0.232889-0.79081j -1.52297+0.169505j 1.1407+0.0372648j -0.44357+0.281654j 0.105474+1.40003j -0.945788-0.218842j -0.481988-0.415j 0.225599-0.347452j 
-0.530864-0.1919j -0.283887-0.00364158j 0.702906+0.0112992j 0.486963-0.789823j 0.429552+0.0619635j 1.16636+1.24635j 0.0872719-0.144045j -0.354358+0.345006j 0.355423+0.184758j -0.74188+0.309542j -1.36623-0.387301j 0.90338+1.5546j 0.710843-0.0984464j -0.0507787+0.865712j 1.26073-0.910289j 0.380401-0.608431j -0.265909+0.278102j -0.513632+0.617522j 0.713801+0.44061j 0.0984332-0.468359j -1.56295+1.17864j 0.248762-0.172654j 0.00198535+0.031903j 0.415156-0.504455j -1.20045+0.313471j -0.80104+0.15537j -0.802129+0.627536j 0.71325-0.487821j -0.584682+1.59036j 1.57546-0.244041j 0.202996+1.62376j -1.11011+1.87829j 2.32648+0.660331j 1.45246+1.42845j 0.119944+0.763507j -0.17194-0.411799j 0.177895-1.99423j 0.314219+0.212376j 0.0255074-0.151765j 0.17066+0.393967j -0.0848093+0.0601522j 0.0589173-0.698234j 0.262562+0.132073j -0.154464-0.0091149j -0.636792+0.191491j -0.037056-0.0241802j 0.121036-0.171849j 0.135055+0.133616j 0.460117+1.51323j 0.0160792-0.00248117j 0.955446+0.361721j -0.0868006-0.246057j -0.0845418+0.0712014j -0.108054-0.559604j -0.254565+0.999591j 0.105739+1.01907j -0.143791+0.000799413j 0.438578+0.705786j 0.399861+0.0564938j 0.325748+0.183327j -0.805808-0.712635j -0.361316+0.0765626j -0.675554-0.0373439j 0.295322+0.320675j 0.733063+0.0845556j 0.563701-0.02624j -0.325812-0.165858j 0.448796-0.468034j -0.193779-0.202393j -0.508498+0.186549j 0.813679-0.300484j 1.30857+0.459111j -0.171002-0.275346j 0.400853+0.237786j 1.26714+0.589053j 0.15332-0.767415j 1.33428-0.983178j 1.22605-0.568184j -0.677647+0.47905j 0.342623+0.619011j -0.667799-0.553764j 0.908638+0.287857j -0.22966-0.550274j 0.212545+1.39542j 0.700101-0.42963j -0.209366-0.051371j -0.444778+0.0701416j 1.7828+0.642289j 0.346945-0.711636j 0.19061-0.362131j 0.273897+0.943519j -0.0249329+0.533135j 0.0155298-0.253394j 0.497042-0.75415j -0.745576-1.16797j 
-0.814288-0.502631j -1.26154+0.512958j 1.37827+1.15456j 0.358441-0.226638j -1.16751+0.556212j -0.15428-0.504289j -0.814913+0.050331j -0.544782-2.4222j 1.03868-0.627278j 0.336984+1.39248j -1.34361+1.23064j -0.456495+0.269647j -0.186965-1.75273j -1.47627+0.27607j 0.537579-1.14418j 0.504737-0.135784j -0.079173+0.234868j -0.590546+0.121951j 0.390234-0.200035j 0.272847+0.455379j -0.33388+0.476036j -0.600847+0.233738j 0.0507048+0.166876j -0.601982+0.165363j 0.905658+0.497698j -0.1483-0.25162j 0.605149-0.992566j 0.838935+0.544318j 0.00883566-0.529351j 0.0138035+0.510979j 0.391692-0.121554j 0.0233462-0.198255j 0.406761-0.543436j 0.00811582-0.269698j 0.223306+0.275131j 0.164376-0.288109j 0.138262-0.53212j -0.0115154-0.217587j 0.0329204-0.295983j -0.104043-0.336145j 0.283841+0.206474j -0.338908+0.114271j 0.342269-0.513398j 0.127786+0.254005j 0.0324722-0.138302j 0.259903+0.353091j -0.36984+0.403464j -0.00404415+0.0911699j -0.0123535-0.0201577j 0.189663+0.314276j -0.252563-0.166454j 0.119032+0.153826j -0.0454369+0.172461j -0.0234005+0.0724835j -0.147975+0.134779j 0.087666+0.172307j -0.0506109-0.393768j -0.280461+0.129194j -0.0782079+0.120415j 0.127802+0.257684j -0.45444-1.09386j -0.440135+0.00781213j -0.517296+0.059746j -0.117164-0.137253j 0.133224+0.0117036j 0.225515-0.432408j -0.0462841-0.0144652j 0.940369-0.00829057j 0.0531856+0.0586054j 0.5076+0.427523j 0.0191197-0.0209966j 0.0302688+0.207238j 0.657216+0.0202341j 0.0784925-0.0354117j 0.124481-0.087721j 0.297327+0.215307j 0.864293-0.892336j 0.0363199+0.498425j 0.46985+0.176388j 0.0304406+0.177794j 0.016598-0.0213155j -0.227954-0.222804j -0.131263+0.142459j -0.0599888-0.138517j 0.155035-0.449103j 0.357269-0.268871j 0.0113625-0.208737j 0.338215+0.543561j -0.241921-0.193641j -0.455262+0.0915595j -0.137386-0.65078j -0.105379-0.318814j 0.421818-0.176606j -0.106134-0.213489j -0.0903737+0.278409j 
-0.257122-0.190901j -0.156453+0.130454j -0.433688-0.329919j 0.462524+0.699095j 0.615355-0.114726j 0.820593-0.295452j -0.137434-0.220408j 0.515087-0.60234j -0.642262+0.0206589j -0.108989+0.173883j 0.882006-0.208646j 0.00297305-0.320234j 0.209799-0.0275807j -0.337856+0.0909105j -0.0348585-0.290027j -0.0386994+0.54886j -0.11593+0.248423j -0.129398+0.251481j 0.0386243-1.03929j 0.8325-0.433626j -0.551634-0.160669j -0.587303-0.476721j -0.236004-0.648697j 1.10023-0.622749j 1.16858-0.627152j -0.286954-0.295018j -0.348126-0.515376j -0.114051+0.539599j 0.211526+0.827086j -0.64587+0.234614j 0.294567-0.126574j -0.697232+0.53598j -0.378566-1.50447j 0.364803+0.550865j -0.28582-0.544819j 0.131729+0.489377j 0.462463+0.0290366j -0.629608+0.474464j -0.224186-1.32156j 0.533825-0.321946j -0.0341991-0.934455j -0.959001+0.0832746j -0.562251+1.1632j 1.4685-0.683233j -0.730653-0.836676j -0.724983+1.98403j -1.50955-0.398017j 0.779832+0.754376j 0.371857+0.981941j 1.45776-0.765724j -1.22839-0.335857j 0.473641+1.71768j -0.887435-0.998217j -1.29199+0.334215j -1.73732+0.448941j 0.335404-1.19356j 0.314035-1.61543j 0.620158-1.35129j 0.440846+0.282633j -0.131439-0.287005j -0.564611-0.645153j 0.422935-0.0655938j -0.972666-0.287394j 0.472022-0.167112j 0.437942-0.321045j -0.608544+0.212761j 1.55238+2.28906j 0.218932+0.564456j 0.0459369-1.10087j -2.27712+0.0716975j -0.436878-0.884097j -0.786405+0.464509j 0.444503+0.956481j -0.525777+1.30045j 0.988356-0.179123j 0.859653-0.0807595j 0.0403367-0.523105j -0.895639-0.541658j 0.0471228-1.08547j 1.07311-0.272119j 1.59718+0.900343j -0.575975+0.274911j 0.0300734-0.761013j -0.961692+0.302531j 0.921373+0.0412598j -0.286923+0.713154j 1.09642-2.05998j 0.141146-0.756833j -0.267681-1.53865j -0.916186-0.451164j -0.267007-0.39297j -0.419402+0.218902j -0.386116-0.226563j -0.390521-0.0672047j 0.118211-0.291989j 
-1.74258+0.520866j -0.961303-0.355561j 0.801798-0.507031j 0.988159+2.16994j -0.843977+1.8819j -0.358042+0.672412j -0.398526+1.08451j 0.251069-0.0591342j -0.26443-0.194486j -0.929637-2.0361j 0.324744-0.118329j -1.49207+0.497165j 0.0852224-0.876081j -0.119399+0.738435j 0.0339348-1.08004j -1.293+0.0854513j 0.591302+0.205714j 0.621908+0.0718755j 0.859431+1.17087j -0.189574-1.51074j -0.793285+0.0209788j -0.610924+0.534366j -0.810513-0.360364j -1.04414+1.00487j 0.105406-0.474297j -0.132318-0.476901j 0.126317-0.319564j -0.0460987+0.320776j 0.158748-0.473842j 0.105077-0.12381j -0.526374+1.07192j 0.100284+0.0423077j 0.046049+0.1922j 0.479562+0.184277j 0.407917-0.306165j -0.32855+0.304782j -0.477019+0.337165j 0.469043+0.189985j -0.508622-0.332186j -0.104084+0.0734904j 0.137646-0.0347415j -0.329281+0.0940311j -0.386846-0.125014j -0.22235+0.245728j -0.363792-0.594801j 0.306917-0.367015j -0.185247-0.571485j -0.17406+0.00628214j -0.125217-0.144145j -0.127559+0.254785j -0.0148675+0.102895j -0.564384-0.0913074j 0.295229+0.623338j 0.192263-0.853363j 0.126319-0.315943j 0.0588268-0.795112j -0.204448+0.537459j -0.144605+0.111372j 0.379412-0.542235j 0.188714+0.0663136j 0.0774523-0.239577j 0.164887+0.050908j 0.00258542-0.266874j -0.0275653+0.316549j 0.0565679-0.364259j 0.157684-0.133084j -0.136486-0.39807j -0.00294418-0.14638j -0.259323-0.18746j 0.168295-0.0407903j 0.15121-0.0879577j -0.586587-0.251409j 0.00263136-0.0665667j 0.604123+0.132406j -0.190384-0.00517289j -0.0851546-0.0356985j -0.174701-0.0254231j 0.154504+0.0444502j 0.157983-0.00997329j 0.0577668+0.0446526j 0.304409+0.227044j 0.393499+0.24273j 0.535678+0.360584j -0.328834+0.328913j -0.135668-0.102334j 0.259758+0.103172j -0.0917159+0.189565j -0.226964+0.0761244j -0.259722+0.0236191j 0.245357+0.0793024j 0.151514-0.125129j 0.161626+0.0721125j 0.046933-0.0398196j -0.0568532-0.0964909j -0.058308-0.0387241j 
-0.431343+1.16484j -1.62025-1.35714j -0.212888+0.142845j -0.532985+0.22776j 0.371391-0.900353j -0.881969-0.646033j 0.512588-0.730449j 0.755476-0.0608048j -0.236577-0.394037j -0.6437-0.0414104j 0.245094+0.264908j 0.111399+0.22858j -0.572901+0.0350687j 0.298442+0.440189j 0.0144695-0.335349j -1.4043+1.052j 1.71901+2.03924j -1.93837+0.144426j -1.06417+1.2257j 0.338089+0.0334134j 0.062265+0.0581642j 0.724731-0.576426j 1.30373+1.00451j 0.556889-0.3105j 0.170108-0.385189j 0.389564-1.26171j 0.469144+0.818126j 0.857608+0.418858j 0.386229-0.621568j 0.603132-0.0198315j 0.297868+1.02714j 0.157621+0.144306j -0.477098-0.0306462j 0.296224-0.296234j -0.0998918-0.91598j -0.419196+0.61946j -0.421588+0.0702771j -2.28907+0.673135j -0.551228+1.20176j -1.62425-2.34869j 1.75864+0.604341j -1.59042-0.189408j 0.512039-0.596885j -1.56173+0.455528j -0.719614+1.8187j -0.646824+0.896474j -0.579653-1.37092j -0.278827-0.126455j -0.755466+0.926464j -0.213524+0.0799417j 0.0522915+1.08815j -0.225727-0.153409j -0.269928+0.188788j 0.127038-1.02909j 0.131179+0.161316j -0.226979-0.608771j -0.337632-0.875365j 0.257753+0.177159j 0.648123+0.480918j 0.482197+0.193626j 0.982964+0.116548j -0.560342+0.282392j -0.0520681+0.0393563j -1.09317+0.507559j -0.212574-0.10316j -0.504941+1.34651j -0.171034+0.483102j -0.311133+0.445554j -0.397503-0.374905j 0.236843+0.579813j 0.0967382+0.514344j 0.357034+0.108776j -1.10119-0.0704042j -0.137798+0.121533j 0.337342-0.031357j 0.857559+0.359585j 0.689714-0.320799j 0.0914211+0.0994469j -0.555705+0.729554j 0.330307-0.421496j -0.0661814-0.0104767j -0.302402-0.993321j -0.201956+0.19051j 0.140184-0.105701j -0.195211-0.0773056j -1.09751+0.215168j 0.0693763-0.0703693j 0.0255857-0.0526615j -0.00246549+0.543505j -0.216796+0.328074j -0.581855+0.0633487j -0.143875-0.0957532j -0.0911314-0.308687j -0.0959083+0.147697j -0.0593519+0.21836j 
0.299758+1.17358j 0.730922-0.379098j 0.217334+1.1768j -0.164984-2.33048j -1.54619-0.320642j -2.47384-0.588686j -0.376929+0.609918j -1.97952+0.896349j 1.3152+0.664838j 0.417756-0.585406j -2.08593-1.21913j -0.549652+0.224886j -0.586948-0.314984j 1.01243+0.584401j -0.51212+0.797647j -0.340077-0.20303j -0.0590366-0.185705j 0.0850524-0.0997265j 0.314775+0.565211j 0.0557943+0.991294j 0.196222-0.20958j 0.80722-0.123083j 0.653839+0.26303j 0.0757986+0.593878j -0.487585+0.966987j 0.447974-0.210201j 0.438395+0.272181j -0.277588-0.356869j -0.221704-0.228243j 0.279922-0.611166j -0.0944279+0.0967584j 0.116653-0.386281j 0.78494+0.408214j -0.556379-0.104392j 0.387194+0.0958991j -0.287009-0.0805188j -0.107286+0.273397j -0.382214-0.0902562j -0.430399+0.40342j 0.169862+0.0222369j -0.291466+0.0472477j -0.272872-0.168517j 0.406011+0.200578j 0.0946991+0.26733j 0.0762361-0.101496j 0.89823+0.296657j -0.0843577+0.525256j -0.0969507+0.657268j -0.156587+0.0247262j -0.2575-0.561676j -0.132079+0.55361j -0.312429-0.114547j -0.466335+0.65224j -0.464634+0.175486j -0.174907-0.29007j -0.081597+0.0798412j -0.711926-0.257643j -0.379255-0.403353j -0.238626-0.121039j 0.22805+0.120183j -0.527722+0.436181j 0.119552-0.129553j 0.0837006+0.117878j -0.302825+0.293562j -0.0941431+0.0353649j 0.126854+0.558527j -0.263498-0.169155j 0.0995889+0.0311822j -0.0877971+0.244111j -0.514313+1.10123j 0.0476467+0.18649j 0.155405-0.0352689j 0.454097-0.223828j 0.088579-0.22834j -0.0913551+0.0697851j 0.251808-0.155707j -0.411217-0.282002j -0.247281+0.420674j -0.486307-0.248958j -0.120962+0.0405016j -0.0746642-0.256385j 0.291975+0.415848j -0.0230379-0.355878j 0.187766+0.0315322j 0.343297-0.560684j 0.176696+0.232227j -0.137834+0.0481633j -0.282505-0.39392j -0.632048-0.0244403j -0.651814-0.316221j -0.326165+0.0446486j -0.079934+0.0486066j -0.144505-0.0107521j 0.020924+0.154639j 0.0813953-0.210087j 
-0.156559+0.415369j 0.485765+0.192769j -0.190837-0.342475j -0.0299973+0.412096j -1.51341-0.26396j 0.19157+0.35768j -1.06269-0.46332j 0.590623+1.27135j -0.353661+0.0667463j -1.339-0.983307j -0.862537+0.166648j 1.43131-0.927717j 1.09883-0.648119j 0.0642666+0.796153j -0.730455+0.332148j -0.558861-0.264066j 0.344257-0.318527j 0.562976-0.159294j -0.753754+0.255568j -0.737324+1.72781j 0.0322869+0.587646j -1.04006-0.225458j -0.0612716-1.5531j 1.19089-0.500495j 0.585187-0.888544j 0.366018-0.237684j 0.981974-0.383096j 2.1455+1.69084j 0.592955+1.92916j -0.890332-0.216351j -0.84307-0.484078j -1.65192+0.259893j 1.16922+0.964766j 0.846155-1.84065j 0.132756+0.307674j -0.255478-0.874386j -0.547611+1.07259j 0.318981-0.153424j -0.0300902-0.175761j -0.0822259-0.302037j 0.131518+0.0212377j 0.090808+0.940001j -0.395427-0.223972j -0.45667-1.35887j 0.574814+0.255003j -0.756109-0.114301j 0.262087-0.0432699j -1.08814+0.614763j 0.58942-0.167543j 0.112755-0.64945j 0.040398-0.286758j -0.780507-0.070683j -0.304686+0.0956541j -0.548577+0.791398j -0.702634-1.19306j 0.349239+0.273989j -0.265649+0.20475j -0.998504-0.267628j 0.393876-0.524109j -0.00858771-0.661591j -0.217782-0.00538958j -0.178949+0.701016j 1.32479-0.544538j -0.605554+0.921903j -0.0878127-0.24111j -0.127416+1.66533j -0.655141+0.0582001j -0.221287+0.209139j 0.129319-0.286286j -0.544808+0.27801j -0.333889-0.148791j 0.332182-0.474548j 0.2695-0.251066j -0.560124-0.356472j 0.468568+1.01721j -0.0951182+0.540888j -0.204805-0.417032j 0.491545+0.298711j -1.47659-0.0717362j -0.608031+0.500131j -0.372925-0.570671j 0.0320586+1.17968j 0.844409-0.470789j 0.378751+0.181213j 0.796283+0.0531948j 0.579461-0.650611j 0.357539-1.12586j 0.50712-0.63115j 0.41383+0.0511579j 1.32623+1.00281j 0.685492-0.000298885j 0.096993+0.415144j 0.116218+0.637972j -0.557574+0.11699j 0.229053+0.806812j 
