-0.00694808-0.0038704j 4.87929e-05-0.0051518j 0.00515008-0.00110934j 0.000478055-0.010152j -0.00322295+0.0011723j 0.000931424+0.000636682j 0.00136075-0.0029196j -0.00198277+0.00978225j 0.00515902+0.0112199j -0.00338253+0.0020635j -0.00241232+0.00589832j -0.00879383+0.00505792j -0.00674659-0.00721976j -0.0071328+0.00125122j -0.00492801+0.0072105j 0.00726285-0.00850923j 0.00110452+1.97377e-06j -0.00945509+0.000853144j -0.00832599-0.00512796j -0.00573716-0.00789568j -0.00584693-0.000865679j 0.00846711-0.000654141j 0.0100292+0.00383406j -0.00470325+0.00016926j 0.00491115-0.00206209j 0.00375954-0.00478313j -0.00134044+0.00289183j -0.0137008+0.00398697j -0.00803159-0.00884218j -0.0012876-0.00280372j 0.00719151+0.00415485j -0.000813665-0.00357586j 0.00825194+0.0101934j -0.00490707+0.00705411j -0.000573522-0.00167545j -0.00426456+0.000907089j 0.00313487+0.0068737j -0.00150368+0.00367466j 0.00811544-0.0114814j 0.013051-0.00165473j 
-0.00251648+0.000273391j 0.00132034+0.00719521j -0.00168861+0.00177847j 0.000793388-0.0058388j -0.0019051-0.00441166j 0.0134234-0.000836946j 0.00324656+0.00755768j 0.00808959-0.000548017j -0.00181828+0.00515725j 0.00296725-0.0196711j -0.000553146+0.0105113j 0.00141023-0.00794287j -0.00319787+0.0055817j -0.00461927+0.00343323j 0.0082115+0.00400002j -0.00359844-0.000304667j -0.0185887-0.000877491j 0.00100587-0.0108926j -0.00596803+0.00142535j 0.00242563+0.00250697j 0.00604268-0.000930566j 0.000547283-0.00668376j -0.00423227-0.00234982j 0.00514955+0.00269502j 0.00222688+0.00938453j -0.00228358-0.0102824j 0.00728152-0.00664204j 0.00618697+0.00553184j -0.000605914-0.00471905j -0.00497077-0.00420546j -0.00325534+0.00315977j 0.000704394+0.00150949j 0.0115039-0.00177505j -0.00476893-0.00895936j 0.00340824+0.003781j 0.00378494+0.00812506j -0.00460749+0.0106032j 0.00387779-0.00392435j 0.00178524+0.000102449j -0.00186574+0.00153919j 
0.00255738+0.00290061j -0.000840098+0.000130803j 0.00694541-0.00465646j -0.00375165-0.00816522j -0.00171618+0.00492465j 0.00668585+0.000975739j 0.00159559+0.0115172j 0.00133933+0.00177198j -0.00685329+0.000746043j 0.00500221-0.00347481j 0.0100678-0.000532198j -0.00141452-0.00510315j -0.002357-0.00225794j 0.0049786+0.000356321j 0.000107808-0.00410492j 0.00541265-0.00221158j -0.000546433-0.0007665j -0.0012617-0.00444212j -0.0037478+0.00167036j -0.00105094-0.000768825j -0.00112757+0.00260183j 0.00217821+0.000160298j 0.000433311+0.00889572j -0.00280753-0.0060279j -0.00163624+0.000502814j -0.000521736-0.00289262j 0.00317719+0.00142485j -0.00452642+0.00353328j -0.00320835-0.00114263j -0.000220792-0.0015849j -0.000587043+0.00397086j -0.00197589-0.00142172j 0.000846736+0.00276168j -0.00431506-0.00565427j 0.00262118+0.000364376j -0.000411517-0.00284381j -0.00103533+0.00302417j 0.00382257-0.00326011j 0.000681299-9.62895e-05j -0.00203214+0.000312318j 
0.0140343+0.000679618j -0.0057151-0.0125722j 0.00700343-0.00069093j 0.000136106-0.011499j 0.00219841-0.012143j 0.0187074+7.44329e-06j -0.00567009+0.00435748j 0.00530144-0.00930726j -0.0026274-0.00204876j -0.00227816+0.00546849j 0.00189237-0.00893167j -0.000755067-0.00416087j 0.000789697-0.00643019j -4.49706e-05+0.001721j -0.00545148-0.00434184j -0.00279429+0.00368093j 0.0078007+0.00159871j 0.00110377+0.00356982j 0.00104813+0.00169275j -0.00183138+0.00206631j 0.00550784-0.000589689j 0.00521197-0.00144235j -0.00352415-0.00155385j 0.00557129+0.00312571j 0.00284911+0.00688623j -0.000872623-0.00815688j 0.00124215-0.000530505j 0.00357088+0.00316024j -0.000296468+0.00139198j -0.00292739-0.00299806j -0.000867425+0.00303049j 0.00225935+0.00214261j 0.00544523-0.00293278j -0.00486147-0.00426792j -0.00132779+0.00426658j 0.00294239+0.00495477j -0.00223937+0.00390844j 0.00193552-0.00293322j -0.0008715-0.00057933j -0.00250358-0.00131153j 
-0.007984+0.000577554j 0.00207266+0.00310968j -0.00501882-0.00489252j 0.000490864+0.00364581j 0.00975153+0.00164586j -0.0103712+0.00312309j 0.000432769-0.0116673j -0.0120534+0.00130176j -0.000589753+0.00754695j -0.00241676+0.00449489j 0.000751138-0.0108403j -0.00319635-0.00726167j -0.012873-0.00254398j 0.00217697+0.00906957j -0.0102292+0.00163269j -0.000227915-0.00399202j 0.00791321-0.000684905j 0.00382807-0.00497423j -0.00246976+0.00132558j -0.00657114-0.00073553j -0.00646375+0.0072056j -0.00663201-0.000692008j -0.00742326+0.00198091j -0.00838326-0.00537904j -0.0069368-0.00436388j -0.00150535+0.00244084j -0.000983099-0.00306447j -0.00337001+0.00223061j -0.00538644+0.00245636j 0.00182196+0.00452087j -0.000220778-0.000794501j -0.00367611-0.00129643j 0.00213875+0.000245148j 0.0014181-0.00309066j 0.00355121-0.00372016j -0.00191042-0.00618317j 0.00198541-0.000989586j 0.000966668-0.000977991j -0.00282225+4.263e-05j -0.00120898+0.000119608j 
-0.011193-0.00745725j 0.000181052-0.0248265j -0.00953802+0.0010544j 0.004535-8.46034e-05j 7.31254e-05-0.00501677j 0.00386839-0.00132945j 0.00116286-0.00210002j 0.000321617-0.00196094j 0.00131795+0.00742445j -0.00573644-0.00642508j 0.000919118+0.00166359j -0.00124885-0.00555985j -0.00711667+0.00404925j 0.00212287+0.00481148j 0.000103503-0.00523743j 0.00106896-0.00606395j -0.00385116-0.000220044j -0.00333183-0.0122723j 0.00348011-0.00485038j 0.000411382-0.00389771j 0.00550756-0.00368482j 0.0030263-0.00830796j 0.00495771+0.00967649j 0.00204815+0.0094374j 0.00752965+0.00423281j -0.0092144+0.00979409j 0.00417144+0.00812483j -0.0096719-0.00536339j 0.002118-0.00167183j -0.00523861-0.00532814j 0.00376576-0.00262582j 0.00776123+0.000365822j -0.00830438+0.000868886j -0.00278782+0.0107259j -0.0130362+0.00313221j 0.00471251+0.00314724j 0.00255356-0.00323537j -0.0033021+0.00594721j 0.00242041-0.000907296j 0.00582457-0.000563906j 
0.00996899+0.00394466j -0.00066476-0.0125188j 0.0137236-0.0069011j -0.000821681-0.00455734j 0.0095473+0.00794546j -0.00807445+0.00177502j -0.00620547-0.00685709j -0.0120378-0.00511142j -0.00384129-0.00575315j 0.00470433-0.00394652j 0.00301965+0.00398259j -0.000921163-0.0144264j -0.00100953+0.000114893j 0.000355109-0.00367253j -0.00301304-0.00675191j -0.00144304+0.000384503j -0.00803055+0.000316839j -0.00270302-0.0123553j -0.00570938-0.0032689j -0.000731009+0.00338556j 0.00782669-0.00652345j 0.00529984-0.00580993j 0.0105254+0.00780749j 0.00640489+0.0169084j 0.011757+0.000582393j -0.00521102+0.0126905j -0.00304981+0.0154885j -0.0106867+0.000319748j -0.00387667+0.0115274j -0.00472196-0.00628896j 0.00617862-0.00608673j 0.00945332+0.00213358j -0.0135709-0.00360902j -0.00174963+0.0133002j -0.0212663+0.00399336j 0.00720978+0.000903104j 0.00653506-0.0128494j 0.00017768+0.00564988j -0.00970952+0.00142951j -0.0038283-0.00766142j 
-0.00680184+0.0044712j 0.00237391-0.0112396j 0.00287521-0.00385571j -0.00691145-0.00838796j 0.00160171-0.00476328j 0.00490681-0.0032211j -0.00467664-0.000499033j -0.00334443-0.00204949j -0.000890418-0.00385987j 0.00240498-0.00199206j -0.00391188+0.00151902j -0.00255054-0.00443415j 0.00228615-0.00320151j -0.00317912+0.00163879j -0.00072434+0.0100037j 0.00233115+0.00570795j -0.0020513-0.000157521j 0.000701754+0.000587943j -0.00625068-0.00102067j 4.59516e-05-0.000855082j -0.00389815+0.00600018j -0.00339461+0.00993686j -0.0128295-0.00536246j -0.0024923-0.0126569j -0.00957879+0.00341931j 0.0134022-0.0156909j -0.00125156-0.0138987j 0.0043561+0.00426862j -0.000135919-0.010381j 0.00538875+0.00298428j -0.00770218+0.00713951j -0.00798651-0.00179463j 0.0163279+0.0065788j -5.44114e-05-0.0194387j 0.0179971-0.00204717j -0.00674539-0.00015385j -0.00992753+0.0137044j 0.00406431-0.00500921j 0.00808431-0.000675443j 0.00201408+0.0051756j 
-0.00054153+0.00523119j 0.0022049-0.000940062j 0.00811128-0.00345707j -0.00713949-0.0036486j -3.13373e-06+0.00603508j -0.0046947-0.00291425j -0.000625726-0.000204458j -0.00579636+0.000295989j -0.00136847-0.00606958j 0.00490406+0.000812935j -0.00173681+0.00208024j -0.00135549-0.00144999j 0.00507668-0.00151821j -0.000263321-0.00407328j -0.00101392+0.00743885j 0.00286472+0.00557118j -0.00148507+0.000165061j -4.80761e-05+0.0034671j -0.00636881+0.00036908j 0.000407442+0.000449809j -0.0116602+0.000524498j -0.011314+0.00816129j -0.00401605-0.00388492j -0.00391258-0.0159754j -0.00292523-0.0107179j 0.00623217-0.00043818j -0.00664943-0.010984j 0.00315382+0.000422684j -0.00531051-0.00234407j 0.00463416+0.0109345j -0.000706528+0.00294792j -0.00752129-0.00504816j 0.00365345-0.000955083j 0.00228439-0.00524906j 0.0162173-0.00483766j -0.00199875-0.0105598j 0.00321737+0.00416446j 0.00129511-0.00366946j -7.25115e-05-0.000457544j -0.00146087+0.00143724j 
0.00619844-0.000302275j 0.00264268-0.0295809j 0.00590644-0.00433463j -0.00527413+0.00280852j 0.00208259+0.00804369j -0.00905833-0.00205559j 0.00346913-0.00339962j -0.00491792+0.00363004j 0.000265449-0.000456581j 0.00459794-0.00639792j -0.00271833+0.00601505j -0.000347729-0.000670154j -0.00288948+0.00233649j -0.0032913+0.000659565j 0.0030539+0.00719856j 0.000858056+0.00162138j -0.00648502-0.00133669j 0.00360563-0.00061433j -0.00452579+0.00522232j 0.00140145+0.00374746j -0.00624177+0.00379626j -0.00681893+0.00244635j -0.00534286-0.00570097j -0.00273005-0.0102533j -0.00746805-0.00489354j 0.00471122-0.00559437j 0.00172785-0.00841971j 0.00746447+0.00556576j -0.000163682+0.00137022j 0.00258963+0.00575418j -0.00398976+0.00126094j -0.00646172-0.00221936j 0.00576961+0.000737742j 0.00198588-0.00984827j 0.0126682-0.00158616j -0.00309766-0.00499123j -0.00361499+0.00446504j 0.00344247-0.00621876j -0.00103899+0.00451613j -0.00634977+0.00431222j 
0.00992763+0.013896j -0.000690481+0.00413767j 0.00684788-0.0136034j -0.0161757-0.00564865j 0.00711724-0.0041272j 0.000956769-0.0018462j -0.0120049-0.00019528j -0.0040756-0.00212697j -0.000578928-0.0127652j 0.00343587+0.00165846j 0.00197101-0.0025098j -0.00169202-0.00301788j 0.00617164+0.000931018j -0.000876629+7.14875e-05j -0.00486231+0.00327688j 0.00213289+0.00208835j -0.000909898+0.00147961j -0.00413998+0.000649218j 9.49787e-05-0.00594948j 0.0042687-0.00344065j 0.000260532-0.00152594j -0.000336547+0.00202928j 0.000545813-0.00512432j 0.00177454+6.96604e-05j 0.00250312-5.31435e-05j 0.00246162+0.00019579j -0.00374873+0.000984j -0.0025709-0.00562425j 0.00428877-0.0063911j 0.00165648+0.000553774j 0.0035033-0.00205052j 0.00119879+1.60696e-05j 0.000512102+0.000991437j 0.00237336+0.00788107j 0.000581602-0.000922729j -0.00336708+0.00189093j 0.000154302-0.000825736j -0.00627301+0.00601704j 0.00686438-0.00470474j 0.0101192-0.000789623j 
-0.0171585+0.00258777j 0.000719852+0.0127634j 0.00528707-0.00279664j 0.0037404-0.0165364j 0.00677654-0.00182288j 0.00622728+0.00263247j -0.00354993-0.00269891j -0.0118334-0.00241685j -0.0056075+0.00809342j 0.000163603-0.000694302j 0.00353747-0.00393704j -0.00904879-0.0159888j -0.00894073-0.00748909j -0.000497954+0.00137746j -0.00926224-0.00292452j 0.0029898+0.00197364j 0.0012348+0.00069706j -0.002636-0.0118459j -0.00746149+0.00146377j -0.00443022+0.00261229j 0.000514176+0.000701785j 0.00324423+0.00118749j 0.000808011+0.0109002j -0.000797924+0.0022932j 0.00260495+0.00153892j 0.000546859+8.27784e-05j -0.0041473+0.00409113j -0.00628059+0.0041546j -0.00585802+0.00755769j -0.00106988-0.00222276j 0.00199349+0.0043898j 0.00129549-3.54639e-06j -0.000491715+0.000856734j -0.00994855-0.0026879j -0.00496839+0.00126726j 0.00164657-0.00491787j 0.00266706-0.000716444j 0.00201227-0.0049265j -0.00261969+0.0038743j -0.00416762+0.00219666j 
