-0.109163-0.43205j 0.0577708-0.0286933j -0.0976889-0.12113j -0.102741-0.0706732j -0.0922501-0.0419853j -0.0162233+0.0228989j -0.0299587-0.0113912j 0.103756+0.0128592j -0.0505186-0.0308702j 0.0440829+0.0593551j -0.0530474-0.0186087j 0.00560478-0.0134397j 0.0295505+0.0397078j 0.0181292-0.0165221j 0.0456996+0.0218153j -0.0045849+0.0237833j 0.000987656-0.0246314j -0.0661257-0.0156138j -0.00114511+0.015193j -0.00647596+0.0068799j 0.012669+0.0293163j -0.005698+0.0213081j 0.0629727-0.0198818j -0.0323008-0.0128967j 
-0.0494117-0.0422794j 0.0569674+0.0885627j -0.20433-0.0159103j -0.0451612+0.0944826j 0.117876-0.0926387j -0.0563896+0.218389j -0.0495707-0.0372513j 0.0219308+0.0907199j -0.0689243+0.17892j -0.0120633+0.0640481j -0.0232866-0.149526j 0.0102623+0.110368j 0.0123085-0.0163262j 0.0532419-0.0503585j 0.0535742-0.0412453j -0.0280139-0.00360259j 0.00805306+0.022528j -0.0225483-0.0319304j -0.00415471-0.0276489j 0.00492586+0.0079803j 0.00761267+0.0443698j -0.00722587+0.0440494j 0.0279519+0.0205394j -0.00546705-0.042197j 
-0.0430284+0.0353363j -0.0742702+0.122705j -0.129252-0.140309j -0.0970567+0.208684j 0.13884-0.18396j -0.0462844+0.224105j -0.0636192+0.107223j -0.0974964-0.124651j -0.0817862+0.0305062j -0.0335129+0.0970814j 0.00368632+0.0278886j -0.0324291-0.0306169j -0.0197104+0.0214988j 0.00528556-0.0499622j -0.0260462-0.00955098j -0.0204789+0.0911467j -0.0364308-0.0312855j 0.034494+0.00159397j 0.00356547+0.00303418j 0.0189815-0.0118032j -0.0112063-0.000753235j -0.0456735-0.00688306j -0.0298367+0.0330841j 0.0591524-0.0345431j 
-0.0808833-0.0165579j 0.33447-0.177998j 0.0119622-0.14574j -0.123225+0.11478j 0.0843782+0.092642j -0.0437318+0.0205288j 0.124939-0.0162546j 0.120215+0.00971754j 0.061731+0.0254967j -0.0298427-0.0455955j 0.0995411+0.0130134j 0.000312487+0.0544663j -0.00223033-0.0207498j 0.0194042-0.000351644j 0.0717995-0.0165946j -0.00499704-0.051058j 0.031601+0.00507153j -0.0494591-0.00193155j 0.033374+0.00257481j -0.0143609-0.00428326j -0.0014161+0.00209563j 0.0145731+0.0367653j 0.0437508+0.00420458j -0.0832981+0.0131996j 
-0.0655026-0.03454j 0.231111+0.220784j 0.0783564-0.0682163j -0.101153-0.296456j -0.137908+0.024125j 0.0967867+0.120871j 0.0328078-0.148268j -0.131468-0.0273607j -0.0253351+0.00623387j 0.0310837-0.00608586j -0.00299521-0.13834j -0.0593879-0.0575965j 0.0203642-0.0220263j -0.0295666-0.0294237j -0.0267701-0.056771j 0.0356924-0.00513568j 0.000645629-0.0425008j -0.00641716+0.0657587j 0.00126707-0.00595308j -0.0102915-0.000422128j -0.021998+0.00247855j -0.0469519+0.00913056j -0.034383+0.0390075j 0.0303694-0.024451j 
0.0201267-0.000579439j -0.0409447-0.0369842j -0.163421-0.337539j 0.098197-0.110036j -0.0487154+0.225188j 0.0873584-0.0352318j 0.0170198-0.0899698j -0.0339421-0.0247147j 0.00237101-0.055376j 0.0472758-0.0242609j -0.0023464-0.0158299j 0.0270684-0.000286651j -0.0254737+0.0286278j -0.0447148+0.0340828j -0.00745991-0.0289797j 0.0196155-0.0261514j -0.0380271-0.000549672j -0.023695+0.0314582j -0.0207616+0.0145917j 0.0261516-0.00954208j 0.0297324-0.0261554j -0.0127474-0.00759931j 0.0062924+0.00736463j -0.000433147+0.0184942j 
-0.00756578+0.0516735j 0.0957097-0.167508j 0.230518-0.185958j -0.0575648+0.192993j -0.10933-0.35425j -0.00765976+0.0640885j 0.0370525+0.01134j 0.0335685+0.0769246j 0.017815-0.0137453j 0.0362174+0.127323j -0.0173696-0.072671j -0.0160949+0.0177209j -0.00425386+0.0356807j 0.0311469+0.0268401j 0.0175259+0.0232767j -0.0188385+0.0142019j 0.00676996-0.014037j 0.0260075-0.0460694j -0.00860342-0.000897107j 0.00586845+0.00569475j 0.000728096+0.0271381j -0.00561928+0.00780442j -0.0239815+0.0213223j -0.0104402+0.00460974j 
-0.000382523-0.0285615j -0.0877972+0.0326239j -0.0470864-0.294335j -0.0439884+0.00872366j 0.00674996+0.126925j -0.0411663+0.0485117j -0.0522219-0.0182507j 0.0518441-0.03412j -0.0319867-0.0119975j -0.0107028-0.13298j -0.00638152+0.0294814j -0.0101552-0.00153122j 0.0655027+0.0211988j 0.0181305-0.00121536j -0.0396983-0.011309j 0.0131922-0.0111658j 0.0526754+0.0139367j -0.00212018+0.016586j -0.0258205-0.0105576j 0.00163286+0.0129088j 0.00818431-0.00239858j 0.00546864-0.0248723j 0.00566749-0.00124567j 0.00364735-0.00518318j 
0.00345739-0.11908j -0.0998386+0.311855j 0.15672-0.109698j 0.121268-0.122704j 0.0474775-0.0674767j -0.0280039+0.0990436j 0.0324005+0.0422268j 0.0951749-0.017107j 0.0696429-0.0379906j 0.015494+0.0885997j -0.0114878-0.0211778j 0.0572121-0.023342j -0.0326762+0.0230697j -0.00419097+0.00144242j -0.00323061+0.0294147j -0.0229701+0.0371597j -0.004408-0.00841907j 0.0181216-0.0425729j 0.00609969+0.0109636j -0.00207327-0.00387959j 0.000345182+0.00617762j 0.0252659-0.0270846j -0.0162667+0.00619316j -0.00963819-0.012849j 
-0.0135548-0.0149709j 0.103938+0.0243851j 0.409909-0.0403243j -0.142868+0.0786552j 0.167832+0.277818j -0.115421+0.0438203j 0.0367045-0.022112j -0.0969868-0.0839643j 0.0853037+0.0309885j -0.0417274-0.121584j 0.0450584+0.0545934j -0.0225761+0.0438918j -0.0223614+0.00096269j -0.00632185-0.0517898j -0.000998565-0.0355014j 0.00390309+0.0342794j 0.0280908+0.0188095j 0.00747878+0.0397481j 0.000257034-0.00387598j -0.00198958-0.0050732j -0.0137836-0.0049046j -0.00579093+0.0220185j -0.00461578-0.0151145j -0.0148-0.0186596j 
-0.0310855-0.0267368j -0.0129043+0.0654708j -0.0624972-0.0331028j 0.0801643+0.0652046j 0.110124-0.024596j 0.0736895-0.128563j -0.041506+0.181655j -0.0508933-0.137169j 0.168163-0.113054j -0.0692459-0.0468429j -0.068859+0.225397j -0.0295976-0.0731465j -0.00737287+0.0220821j -0.0546908+0.0413685j -0.0626133+0.0501999j 0.0188176-0.000632692j -0.018501+0.0150945j 0.0852248-0.0262654j 0.0130802+0.00441039j -0.00607332+0.0130144j 0.00365686-0.0205023j 0.042399-0.0761395j -0.00826623-0.0376318j -0.0470785+0.0301193j 
0.0213712+0.00366856j 0.0818595+0.0555503j -0.0478189+0.0587606j 0.0735031+0.0306531j 0.15709+0.0573696j 0.0763921+0.00626308j -0.0134945+0.0127821j -0.009268-0.0309115j -0.155979-0.100468j 0.167779+0.169448j -0.0576938+0.0168668j 0.103964+0.0990945j 0.00701706+0.00951749j 0.0517215+0.0203121j -0.0183999+0.00133215j 0.0368142+0.0190232j -0.0275551-0.0191404j 0.00876146+0.00569591j -0.0194443-0.00063876j -0.00958756-0.000825049j 0.011683-0.00203374j 0.0194601-0.00839555j -0.00695054-0.00603691j 0.0156054+0.0107391j 
-0.0325295-0.0217755j -0.081951-0.018347j 0.150536-0.00568995j -0.0868953+0.0097518j -0.154083-0.152074j -0.0295596-0.106794j -0.091585+0.00115379j 0.140625+0.0568786j -0.133984-0.171221j 0.162725-0.0566139j -0.14118+0.0129016j 0.0661643+0.0245938j 0.00234176+0.0136844j 0.0118709+0.051388j -0.00145317+0.0877047j 0.0027633+0.00400832j -0.0131731-0.000666497j -0.0566181-0.0429297j -0.041857+0.0183758j -0.0100126+0.00292963j 0.002448-0.00734752j 0.000765483-0.0366673j 0.105853-0.0135174j 0.00152572+0.0269517j 
0.00704391-0.02897j 0.0581125-0.0211705j -0.100481+0.0552207j 0.197816+0.0620898j 0.104027-0.0805792j 0.0665234+0.107962j 0.174974-0.157901j -0.118887+0.0355062j 0.172519-0.199136j 0.173905-0.28903j 0.0771016-0.0581248j -0.063403+0.0734177j -0.01061-0.00178994j 0.0384283-0.068909j -0.0131762+0.0078588j 0.0253144-0.00194352j -0.0294891+0.00196444j 0.0282132+0.0631753j 0.0193344-0.000897946j -0.00245503-0.000917273j 0.00899778+0.00467501j 0.00511269+0.0544219j -0.0826979+0.00314069j -0.0138371+0.012332j 
-0.00912309+0.0341984j -0.14166-0.152857j 0.0457846+0.0315547j 0.248414-0.0799179j -0.0767622+0.0623011j -0.0641736+0.0302093j 0.14401-0.132975j -0.0611419+0.0407086j 0.0808572+0.0389326j -0.00552918+0.0403359j 0.111446-0.094536j -0.0313771-0.0197417j 0.0140302-0.0149593j 0.0333163-0.0162585j 0.0656984-0.0456286j 0.0267284-0.00787322j -0.00330666-0.0247196j 0.0222687+0.0416936j 0.0226704-0.00498894j -0.000485871-0.00856387j -0.0185304+0.0318878j -0.0309536+0.0984661j -0.0212153+0.0128449j -0.0282741-0.0122796j 
0.0469422-0.0206458j -0.145601+0.0841684j 0.0582779+0.0246471j -0.147141+0.099336j -0.00190112-0.010106j -0.14228+0.0891003j -0.0798532-0.109017j 0.0713003+0.067756j -0.0323936-0.143624j 0.21288-0.18481j -0.0178812-0.0429809j 0.0203987+0.110675j -0.00525904+0.0121824j 0.0348941-0.0509038j -0.0197454+0.0880568j 0.00169412-0.0184852j -0.00295793+0.025248j -0.042556+0.0145981j -0.0131723-0.0124521j 0.00457103+0.00456903j -0.00798842-0.0126277j -0.033054+0.00664365j 0.0606689+0.0195846j 0.0204878+0.00130848j 
0.0137779-0.0084248j -0.156737-0.00976803j 0.0656779-0.018575j 0.0638482-0.01188j -0.0205868-0.0664673j -0.0591025+0.0943882j -0.098736-0.0854076j 0.0809878+0.116296j -0.149065+0.265347j -0.217867-0.328712j -0.00131111-0.0238185j 0.0247247-0.0528202j -0.0303063-0.065683j 0.0179497-0.0255257j 0.0292203-0.010534j 0.0222211-0.0200411j 0.0216718+0.0677423j -0.00192688+0.00190129j -0.0187077+0.0182717j 0.00113583-0.0111457j -0.0173736+0.00567564j -0.0445197+0.0441368j 0.0234693+0.0179738j 0.0360711-0.0525164j 
0.0414521+0.0297547j -0.188079-0.0368789j 0.0785241+0.00765093j -0.00461143-0.0271602j -0.00765094+0.135118j -0.16815+0.0692154j -0.0238982+0.0621572j 0.0628365-0.0287006j -0.152483+0.0554152j 0.0548813+0.459392j 0.042394-0.0488686j 0.0426655+0.0443871j 0.0498578+0.0172825j 0.0133431+0.0406577j 0.0537544-0.0391986j 0.0136109+0.000193641j -0.00235292-0.0537257j -0.00164066+0.00236399j -0.0033252-0.022935j 0.00936749-0.00667755j -0.0162199+0.0160941j -0.0280335+0.0295297j 0.0492291+0.0255695j 0.000404167-0.0107166j 
-0.0067587+0.00998027j 0.0336398+0.000487246j -0.0408732+0.0344205j -0.12982+0.0177523j 0.03418+0.0975508j 0.131852+0.0585806j -0.0697122-0.0788666j 0.00422277+0.339815j 0.191817+0.142374j 0.0626607+0.112417j -0.10305-0.134343j -0.0326188+0.174042j 0.00555514-0.00605425j -0.0500888+0.0269054j -0.0206395+0.0815315j 0.0243705+0.00857302j 0.0117755+0.0529655j -0.0271975-0.075187j 0.0242814+0.00878345j 0.00658096-0.00374831j 0.00513336+0.0129098j -0.0218777+0.00660428j -0.0920856+0.020133j 0.051874-0.0287954j 
-0.0117376+0.0799081j 0.0837319-0.0794051j 0.0391814-0.0114574j 0.176326-0.0353736j 0.105079+0.32053j 0.139987-0.131228j 0.00985782-0.0760181j -0.0175625+0.101721j 0.10457+0.0740548j 0.00340899-0.00357404j -0.040277-0.0306949j 0.0817704+0.0671347j -0.0189091+0.00839749j -0.00576758+0.0518711j 0.0155863+0.0622654j -0.00888819-0.0106287j 0.0177803+0.0452674j 0.0334126-0.0368579j -0.00967807-6.16108e-05j 0.00216679+0.000804153j -0.012922+0.00769564j -0.0145799+0.0181402j -0.0277592-0.000756434j -0.00288221-0.0112938j 
-0.0655881-0.00392649j 0.109697-0.0523222j -0.0180091-0.0594767j -0.0104138-0.02265j -0.0851943-0.0830859j 0.126188-0.0671011j -0.0986035+0.0231965j -0.025999+0.0754464j -0.00696617+0.146493j -0.153995+0.0140019j -0.0402793+0.00851662j 0.00237522-0.0894458j -0.0239137-0.00316705j -0.0331319-0.0181454j -0.00555791-0.0131083j 0.0040174-0.0167102j 0.0166232+0.0225243j 0.00269806-0.0452416j 0.00474678+0.00983021j -0.00866231+0.00340146j 0.0117212+0.00146631j 0.0332358-0.0079292j -0.0392845-0.0108j 0.0206723+0.00677315j 
0.0198353-0.042953j -0.0821273+0.0207045j -0.0615095+0.00885509j -0.144334+0.0174485j -0.0886649-0.107307j -0.104724+0.0533387j 0.110464-0.0254988j -0.0187702-0.0107951j 0.283766-0.0455179j -0.0666507-0.329073j 0.0776383-0.00339285j -0.179982-0.0325047j 0.0174719-0.0171355j -0.0355454-0.0360866j -0.0179761+0.00516194j -0.0421746-0.0030501j 0.0213385+0.0140417j -0.01744+0.0251056j 0.0345238+0.00274441j 0.00930154-0.000137598j -0.00471021-0.00655829j -0.0151414-0.005678j -0.00815871+4.55745e-05j -0.0334033-0.00521073j 
0.00196154+0.0265699j 0.0217972-0.0600418j 0.13327+0.00719312j 0.0331847-0.0241943j 0.0414826+0.0218186j 0.257891-0.0189066j -0.199621+0.0426435j -0.272913-0.159498j -0.358373-0.083672j 0.0817239+0.0383756j -0.0732893+0.0404566j 0.00444458-0.0700318j -0.0282879+0.00896051j -0.0361744-0.0140063j -0.0510153-0.0641522j 0.0431847-0.00175157j -0.0632774-0.0436154j 0.0753592+0.0436814j -0.0684767-0.0115727j -0.00342521-0.000236263j -0.00487964-0.00476428j 0.00812658+0.00964566j -0.0514521-0.00349959j 0.141199+0.0191643j 
0.0493674+0.00776166j -0.249498+0.00563343j -0.0418598-0.00862073j -0.294558+0.00165023j -0.168207-0.0545803j 0.053771-0.0672373j -0.0469329+0.0500471j -0.213013-0.168249j 0.243889-0.114793j -0.015193+0.0115821j 0.0055783+0.110788j -0.214483-0.0657766j 0.0077612+0.00862996j -0.0463232+0.0245358j -0.091184+0.00722791j 0.0128596+0.00234358j -0.0303288-0.0239358j 0.0560752+0.0210974j 0.0355321-0.00648231j 0.0136854+0.00219066j -0.00802809-0.00331984j -0.0322071-0.00825574j -0.0432435-0.00898848j 0.0280128+0.0129646j 
0.0180098-0.0381947j -0.117537+0.067672j 0.0737761-0.0240917j -0.0399951+0.0338054j 0.0749724-0.0532144j 0.228347-0.0301818j -0.210388+0.0999657j -0.0444328+0.00260672j 0.0251951-0.0528583j 0.0299432-0.0363883j -0.133119+0.102463j -0.030559+0.00579005j -0.0375076+0.0125202j -0.0323931+0.0517331j -0.0315583+0.0832772j 0.0368149-0.0258118j -0.0320286+0.0367538j 0.0837678-0.0771427j -0.0159861+0.00765228j -0.00376714-0.000817598j -0.000125238+0.0164139j 0.0223294+0.0147046j -0.0289624-0.0221411j 0.0492495+0.00723646j 
-0.0674016+0.0101958j 0.169662+0.00496243j -0.000708494-0.0231499j 0.209242-0.0258718j 0.0531365-0.0324421j -0.0417371-0.0277731j 0.0843737+0.0413253j 0.121425-0.049083j -0.0615089-0.0479773j -0.0297786+0.0238794j 0.0169325+0.0802225j 0.0906825-0.0960955j -0.00089405+0.0098903j 0.00196596+0.0380983j 0.0328583+0.0490872j 0.0223046+0.0226375j 6.6709e-05-0.0173177j 0.0186492+0.0211421j -0.00277201+0.00943899j -0.00614866+0.00117846j -0.0237556-0.0107093j -0.0352832-0.0225026j 0.0432429+0.0118783j -0.0572429-0.00710309j 
