-0.0185465-0.0204189j -0.00561214+0.0064658j -0.00824477+0.0494934j 0.0270877-0.0363633j -0.0214474+1.34351e-05j -0.0214431+0.0190588j 0.024552+0.00818923j -0.0124493+0.00414607j 0.0406446+0.00809549j 0.00700856+0.0205879j 0.0221603-0.00660632j -0.0101304-0.0153009j 0.0463425+0.0142853j 0.0135498+0.00123667j -0.0122453+0.00410224j 0.0152033-0.00327718j -0.00267986-0.00294148j 6.75007e-06+0.0034834j -0.00167449-0.0181674j 0.013119+0.00582477j 0.0163189+0.00486349j -0.0188968-0.0129975j 0.0210913+0.00351552j -0.0167456-0.0178634j 0.00301289-0.011101j 0.0226402+0.00642174j 
0.0405943-0.00915538j 0.0138568-0.023673j -0.00944547+0.0129231j 0.0331711+0.00282193j -0.024849+0.0211696j 0.00715725+0.00879715j 0.0147917+0.00483716j -0.00938284+0.0155264j -0.00493424-0.0103281j -0.097787+0.0137698j 0.0478038-0.0153893j 0.0410427-0.0169322j -0.0003095+0.00503625j 0.00668527+0.0240805j 0.0014036-0.0127967j 0.0225798+0.00623216j 0.00225408+0.0206322j 0.00210759+0.00636706j 0.0301002+0.00618531j 0.00942558-0.012118j -0.0172299-0.0458598j 0.0428135-0.043121j 0.0211332-0.00196231j 0.0036562-0.00731391j 0.0192535+0.0299041j 0.026039-0.0222947j 
0.000231648+0.013551j 0.000207331+0.00185885j 0.0345436+0.0121659j -0.00929489+0.0103536j 0.039039+0.0365478j 0.0399457+0.0213933j 0.0289508+0.0245555j 0.0458242+0.0273419j -0.0122114-0.00135133j 0.0325997-0.0046994j 0.038772+0.0449717j 0.0052678+0.0392558j 0.0270809+0.0269946j -0.0158562-0.00850609j 0.0114418+0.0165457j -0.0160038-0.00417588j -0.0128355-0.00081909j 0.0108233+0.0120425j 0.016037+0.0265953j 0.00588656-0.0103915j -0.0325551-0.0216606j 0.0154982+0.0521811j -0.00770992-0.0185792j 0.00277249+0.0168173j 0.0136481+0.036653j 0.00526873+0.0183279j 
-0.00354598+0.0140403j -0.0146976+0.0186617j -0.0484218+0.0078219j 0.00961038-0.000159432j 0.0149542+0.0399217j -0.0667332+0.0329777j -0.00256899+0.00751995j -0.00357676+0.0215264j 0.0381377-0.0453663j 0.0458425-0.0117426j -0.0271837+0.0420699j -0.00831287-0.0215657j 0.0145773-0.0373031j -0.00672765-0.0155655j -0.00072684+0.0179851j -0.0247891-0.0174957j -0.0213805-0.00119602j 0.00205486+0.0148883j -0.00608043+0.0267889j -0.0319279+0.0136646j 0.0119681-0.0310076j -0.0032765-0.00706567j -0.0124769-0.0109838j 0.00655176-0.0126683j 0.00150197+0.011084j -0.0124488+0.0214166j 
0.0224278+0.00500981j 0.00775565-0.0181534j -0.031871-0.0312794j 0.024626+0.0201146j 0.0554925+0.0327474j 0.0120958-0.0443216j 0.00601047-0.000910503j 0.0278485-0.00321969j -0.0446981+0.0338723j -0.00543076+0.029138j 0.0446414-0.00915795j 0.00873527-0.00481092j -0.0509699-0.0273009j -0.0325954-0.0102373j 0.0253927+0.0129414j -0.0176075-0.059222j -0.00403604-0.0247456j 0.00526325+0.00137634j 0.0146372-0.00581738j 0.00591783-0.0404649j -0.0289308-0.00333455j -0.000441106-0.00143167j 0.00483231+0.00208754j -0.0125752-0.0103167j 0.00034556-0.00714311j 0.00395536-0.0287372j 
-0.00990178+0.0150825j -0.00226034+0.00638208j 0.0304495-0.0503711j -0.0118008+0.00881256j -0.0383935+0.064255j 0.0001647-0.0139539j 0.017436-0.0252867j -0.0401372+0.0440804j 0.0622503-0.0604776j -0.0319759+0.0318501j 0.00340342-0.00387794j -0.0240301+0.0191462j -0.0249817+0.0226182j 0.0080491-0.00363916j 0.0157423-0.00151211j -0.038426+0.0192993j -0.022806+0.0175054j 0.0227874-0.00843071j 0.0130131-0.00692439j -0.00842188-0.00695647j -0.0113427-0.0035845j 0.00839496-0.00217394j -0.0104158+0.00627852j -0.00602475-0.00149198j 0.000619654+0.00367941j -0.00440403+0.0031362j 
0.00419885+0.0485469j 0.0724419+0.012017j 0.00464209-0.015866j -0.0325225-0.0315942j 0.0490936+0.0308782j -0.0673237-0.012807j 0.0902554+0.0189397j 0.0109422+0.00495658j -0.0377075-0.0175002j -0.030641-0.0134413j -0.00761663-0.03425j -0.00579102-0.0107959j 0.00271768+0.0189563j 0.00912052+0.0237748j -0.00175984-0.0044317j 0.0129581+0.00142528j 0.0107562+0.00842601j 0.0172944+0.00820254j 0.0254439+0.00363117j 0.041166+0.00766776j -0.0188926-0.000279989j 0.017726-0.00244926j -0.000610561+0.00640795j 0.00656431+0.0169635j 0.00317196+0.0126552j 0.0181773+0.00589215j 
-0.0124459-0.0285875j -0.018867+0.0373777j -0.0421693-0.0358157j -0.0209348-0.00815596j 0.0219534+0.0149535j 0.0506514+0.00676809j -0.0489079+0.0270378j -0.0243063-0.0162379j 0.0434356+0.0280526j 0.027956-0.00875744j -0.0368353-0.0199731j -0.0402022-0.0169606j -0.0027575-0.00700471j -0.0354995-0.0451146j 0.0267489+0.0271763j 0.0483502+0.0355648j 0.0307067+0.0202683j 0.0396385+0.0377939j 0.0732216+0.0618107j 0.0602239+0.057703j -0.0327812-0.0106581j 0.0272808+0.0112626j -0.0137047-0.0428222j 0.00294493+0.0202761j 0.0090055+0.0273975j 0.0261266+0.040298j 
-0.0138125-0.00808905j -0.010686+0.0512488j 0.0329019-0.0160868j -0.034703-0.0272224j 0.0261703-0.00747075j -0.0435345-0.0203356j -0.0652744+0.0228501j 0.00114647+0.00341159j 0.00626487-0.0175561j -0.00449498-0.0117253j 0.0264019-0.0127893j -0.0141616+0.0270312j 0.0112243+0.028681j 0.00821673-0.0277241j 0.00256551+0.0157792j -0.00171975-0.0123131j 0.000892285+0.0101997j -0.0161367+0.0119737j -0.0163541+0.0131951j -0.0171506+0.0164269j 0.0139347-0.0253473j -0.0112821-0.00389719j 0.00353229-0.0181546j 0.00383752-0.0124586j 0.0043978+0.00411279j -0.00394883+0.00876964j 
0.043765-0.00185343j -0.0212088+0.00345012j 0.0296073-0.0429372j 0.0450033+0.00218314j 0.00635247+0.013254j 0.0120394+0.0190061j 0.00469329+0.0787197j 0.0087975+0.000903014j -0.0236982-0.00600077j 0.0122495-0.00277331j 0.00441382-0.0108769j -0.00973595-0.00324516j -0.0282309-0.0033809j 0.0481845-0.0124993j -0.022333+0.00442795j -0.0394964+0.023158j -0.0314735+0.0170544j -0.0376423+0.0280823j -0.0634015+0.034716j -0.0474035+0.0110354j 0.0549715-0.0139648j -0.0314406+0.00777008j 0.0148356-0.0149073j 0.0207154+0.0014713j 0.00692589-0.0103882j -0.0182263+0.0137368j 
-0.0409682+0.0180196j 0.0286997-0.0945838j 0.0183353-0.0456691j 0.0401706-0.0330653j 0.00237523-0.0375876j -0.0284681+0.0791318j 0.00283887-0.0457722j 0.000550623-0.0270596j 0.0151645+0.0376318j 0.00957355+0.0241688j 0.0226418-0.00681556j -0.00772545+0.00485194j -0.0243229-0.00346025j -0.0164905-0.0326396j 0.0083286+0.00952416j -0.00257664+0.02182j -0.0109079+0.0212539j -0.00299473+0.0117558j 0.000764635+0.0265038j 0.00704637+0.00285586j 0.0106188-0.0120473j 0.00268794-0.0017936j -0.00995191-0.0141891j 0.00100314-0.00316227j -0.0016785+0.00254781j 0.00406531+0.00207181j 
-0.0339337+0.0734575j -0.0435009+0.0349137j -0.0157872+0.0408532j -0.0155321+0.0857407j 0.0244399-0.0356521j 0.0129884+0.0163008j 0.00769986+0.0144437j -0.00624038+0.0144145j 0.0308025-0.037907j -0.000320923+0.00940744j 0.00454787-0.00284389j -0.0275514+0.0293575j -0.00796903-0.00894666j -0.00133086+0.0438208j 0.00371639-0.022237j 0.0438702-0.0547324j 0.0233431-0.0282181j 0.0212418-0.029461j 0.0411354-0.052239j 0.00516873-0.0239769j -0.0259107+0.0191047j 0.0208963-0.00805202j 0.000934432+0.0293699j -0.00715072+0.00357248j -0.00970471+0.00135258j 0.00401065-0.0209671j 
