0.111014-0.508799j -0.101281-0.0244901j 0.0204844+0.00957702j 0.00656558+0.0295135j -0.0269831-0.00358886j -0.0219007+0.0219053j -0.00478593-0.0028031j -0.00791634-0.00840295j -0.0062833+0.00121444j 0.0229567-0.00394568j -0.0171126-0.0169765j -0.0169528+0.0235816j -0.0128189+0.0298771j 0.0154315+0.0391155j 0.0114692+0.0138359j 0.00115554+0.00146832j 0.00635923-0.0034569j 0.000604072-0.00633935j 0.00351104+0.00212164j 0.000870517-0.00241364j -0.0141675+0.00205185j 0.00757254+0.0103438j 0.00249308-0.00862953j 0.0218198-0.00204253j -0.01089+0.000132177j -3.85031e-05+0.00432463j 0.00602119-0.0193159j 0.0174198-0.00122027j 0.00214809-0.00799693j -0.0128738-0.00325441j -0.0158563+0.00746877j 0.0139394-0.00385322j 0.00990198+0.00448689j -0.00221586-0.00684833j -0.0117099-0.00070917j 0.00178581+0.00247694j -0.00378924-0.00433288j 4.27363e-05+0.00152644j 0.00517965-0.00158778j 0.00148868-0.000860226j 
0.0598834+0.00913742j -0.0146171+0.0161246j -0.0408885+0.0640799j -0.033353+0.153663j 0.0344343+0.0280761j 0.0184572+0.0557722j 0.032146+0.0260829j 0.033515-0.0224973j -0.00817057+0.0158674j -0.00808477-0.0162032j -0.0162283-0.0234976j -0.00252955+0.0271367j -0.0154188-0.00808184j 0.0100451-0.0162564j 0.00710662-0.00653514j -0.0019234+0.00475552j 0.00302591+0.0121111j 0.000189809-0.00348471j 0.000965248+0.000319993j 0.00935019+0.0258731j -0.00990041-0.00396356j 0.00334285+0.00693498j 0.00870157+0.0202568j -0.0156477-0.0134332j -0.0314502-0.0288653j 0.00246284+0.00810108j -0.0105847-0.00517673j -0.00149279-0.0100351j 0.0182706-0.000855199j 0.0104438+0.00549415j 0.00822597-0.0168341j 0.0113813-0.0119015j -0.00301521+0.00400524j -0.011792-0.00270741j 0.0103997+0.00113771j 0.0241938+0.00630607j 0.00535809-0.000233265j 0.00365211+0.000369826j 0.00324052+0.000985537j 0.000969454-0.00174334j 
0.0037499+0.000635246j 0.0161773-0.0121377j 0.0815203+0.212369j -0.0932113-0.280194j 0.200518+0.522305j -0.179651-0.149382j 0.0395529+0.0396217j -0.035021-0.000399919j -0.0402063-0.0165946j 0.019028-0.00442273j 0.0273915+0.000323258j 0.0257226-0.0169519j -0.00855383-0.000417626j 0.0128947+0.0447227j -0.043584-0.0800238j -0.00288752+0.0103809j -0.00302592-0.00436725j -0.000356493-0.00663708j 0.0059242-0.00287921j -0.000844597-0.00695503j -0.00256153+0.0021116j -0.00419344+3.91617e-05j 0.00818881-0.0151256j 0.00349823+0.00580773j 0.0100996-0.00597127j 0.0118799-0.00795877j -0.0035788+0.010997j -0.00454475-0.00856144j 0.00506278+0.00627158j -0.0114756+0.0326032j -0.00119976-0.0260909j -0.00208026-0.0330344j -0.0104149+0.0140969j -0.0182025-0.024008j -0.0244771-0.0111776j -0.0383198-0.00156917j -0.00803565-0.0209277j -0.0390699-0.0132169j -0.000188482+0.00790794j -0.0260906+0.0219167j 
0.00903416+0.0475984j -0.017365-0.0145947j 0.00975675+0.0630939j -0.0596374-0.0561496j 0.291421+0.0836056j 0.272688-0.0596552j -0.00694185+0.0162244j 0.0162509+0.00129959j 0.0213981-0.0162408j -0.0172171+0.0122601j -0.0358584+0.00767328j -0.0335771-0.0039359j 0.0119803+0.00628701j 0.00528783-0.000761575j 0.0174147+0.00430125j -0.0102015-0.00451226j -0.000160072+0.00471118j 0.00484821+0.00312478j 0.00528528+0.00144782j 0.0344391+0.0173259j -0.00279015-0.00257544j -0.000782492-0.00202146j 0.0066427-0.00866953j -0.0126262+0.00325746j -0.0292918+0.0114113j -0.000425469+0.00558781j 0.00528758+0.00603586j -0.0158883-0.0148422j 0.00573135+0.000864338j 0.00962931-0.00910657j -0.0157412-0.00965257j -0.0124166-0.00484086j 0.0241104+0.000250109j -0.0198359-0.000267647j 0.0182611-0.0117412j 0.0290329-0.0141749j 0.0127878-0.00199331j 0.00832792-0.014879j 0.0133807+0.000854019j 0.010132-0.0105431j 
0.000683509+0.0117729j -0.0236855+0.0229459j -0.184708-0.515637j -0.283982-0.330487j -0.0270959+0.0718932j 0.00296513+0.0230849j -0.0589556-0.0744385j 0.0308489-0.0187647j -0.00710955-0.0136181j 0.00722968-0.00500906j -0.00293034-0.0264367j 0.00538841+0.0578095j -0.00641006-0.0214341j -0.0129656-0.0383827j 0.0111101+0.00613642j 0.0142418-0.00468173j 0.00867517-0.00486593j -0.000382363+0.00293506j -0.00611281+0.00754163j 0.0153405-0.00920651j 0.00138614+0.00772233j 0.000199046-0.00930059j -0.0204925+0.0388485j -0.00193071-0.0100968j 0.0116027-0.00911048j 0.0133833-0.00878512j 0.0151986+0.00178502j -0.00783904-0.00983601j -0.039423-0.0414641j -0.00519023-0.00931475j -0.0132541-0.0385834j -0.00888281-0.0404487j 0.01567+0.0155549j 0.02187+0.00925407j -0.00886344-0.00148878j -0.0465574+0.0055433j -0.00217883+0.00541692j -0.000688479+0.00830115j -0.00763589+0.00613138j 0.00814287-0.00735587j 
0.00532109+0.00834399j 0.0206442+0.0198849j -0.0177433-0.0188291j 0.179797-0.264761j -0.155311+0.0425558j 0.227266-0.56444j -0.00195442-0.0121062j -0.0120947+0.0177945j -0.0117966+0.0359133j 0.00405269-0.0176094j 0.0216126-0.038783j 0.0198273-0.0305047j -0.0133082+0.0305541j 0.0336377-0.0493895j -0.0534561+0.0421647j 0.0140342+0.00275014j -0.010802-0.00381481j 0.000425819-0.0107452j -0.00938228+0.00241468j -0.0548794-0.000790326j -0.00646864+0.0190407j 0.0058833-0.00706754j 0.00466705-0.00743709j -0.00255508+0.0285983j -0.0138069+0.0522667j -0.0146263-0.0094013j -0.00602175-0.000178863j 0.0218487-0.00604466j -0.00325471+0.00791414j 0.018675-0.0334874j 0.0100135+0.00344706j 0.00659104-0.00820862j -0.0123622-0.00946613j 0.0209948+0.00896304j -0.00132752-0.0056733j 0.0123202+0.0173548j -0.0132348-0.00147038j 0.00265366+0.00032541j 0.00083957+0.0146115j 0.00609144+0.00953364j 
0.00385001+0.0373937j 0.055037+0.0202799j -0.31341-0.0630174j 0.1961-0.0983408j 0.124073-0.0985807j -0.0774763+0.0555259j 0.0111176-0.0172535j -0.072821+0.00613929j 0.00160892+0.00358417j 0.00059694+0.00441852j 0.0101879+0.02193j 0.0148952-0.0238832j 0.0039402+0.0018149j 3.00301e-05+0.0228102j -0.00405021-0.00524845j 0.00533951+0.0162574j 0.0176448+0.00205309j -0.000880084+0.0103341j 0.00102671-0.00214124j 0.0193809+0.0148686j 0.00307804+0.015383j 0.00517876+0.00448376j 0.0357957+0.00919675j -0.00900609+0.00363817j -0.0181637+0.0135368j 0.00263871+0.00472045j -0.0157454+0.00453339j -0.00492374+0.00989472j 0.0233919-0.00635447j -0.000432376+0.00145639j -0.0157894-0.00550786j -0.00879038-0.00491854j -0.0112532+0.00233615j -0.00931914+0.0030801j -0.00882792-0.00301489j 0.0244886-0.0128389j -0.00807349-0.00522156j 0.00104448+0.00380274j -0.00189391-0.00846957j -0.00932473+0.00891738j 
-0.00594493+0.00122047j 0.042741+0.0612324j -0.180296+0.0643903j -0.180823+0.512032j -0.141009+0.323149j 0.0575476-0.148234j 0.0296334-0.0539352j -0.0271076+0.0342243j 0.000144063+0.0117723j 0.00902853-0.00428749j 0.0527426-0.0630962j -0.0588114+0.0523739j 0.015839-0.00513976j 0.0534811-0.0494662j -0.0301412+0.0278113j 0.0228952+0.0323764j 0.00341787+0.0218416j 0.0415978-0.0322027j -0.0100252-0.00609214j 0.0412255-0.000546022j 0.0108483-0.0032417j 0.0136072-0.000157041j 0.00679848+0.0219552j -0.00402338-0.0093263j 0.00514301-0.0370684j 0.00952016+0.012068j -0.00333989-0.00885219j -0.00265516-0.00730062j -0.00122671-0.00516301j 0.00559889-0.00531116j -0.0167492+0.0068884j -0.0036725+0.00198966j -0.00558522-0.00666481j 0.00732927+0.0118149j -0.00719856+0.00028413j 0.00671113-0.00864632j -0.0123149-0.00167595j -1.3209e-05-0.00485371j -0.0033259+0.00595992j 0.00253574+0.00878435j 
0.0420833-0.0244583j -0.00962868+0.0286557j -0.00867295-0.0542747j -0.0455979-0.11574j -0.0382587+0.0881165j -0.0411048-0.0741055j -0.00930464-0.0203355j -0.0238833-0.00194488j -0.00274325-0.0246775j 0.0149083+0.0192775j -0.0014787+0.0149364j -0.00112412-0.00141133j 0.0324999+0.00827243j -0.0174951-0.00546068j -0.021226+0.02234j 0.00789815+0.00339911j -0.00238443+0.00192876j -0.00806536-0.00310062j -0.00433847+0.00221724j -0.0259025+0.0102201j -0.0120818-0.00376969j 0.00231366-0.000677536j -0.00847069+0.0160203j -0.00748766-0.00809083j -0.0130584-0.0238216j 0.00335296-0.00565845j -0.00512241-0.00202591j 0.017738-0.0158141j -0.00263481+0.00101961j 0.00975843+0.00426188j 0.0258779-0.0245324j 0.0209841-0.0229912j -0.0069424+0.0164435j 0.00140781-0.0182383j 0.00583592+0.00932621j -0.0131558+0.0205029j 0.00274896+0.000610534j 0.00371279+0.00487375j -0.0125092+0.0130963j -0.00205054+0.0109111j 
0.00681176-0.00567063j 0.100308-0.0672564j -0.00196684-0.139773j -0.0582817-0.0568688j 0.00614825-0.0914396j 0.049858+0.05271j -0.0297853-0.0596759j -0.0298628+0.0102237j 0.0413905+0.0187917j -0.0315744-0.000435046j 0.0164084+0.00686745j 0.0052559-0.0257301j -0.0329074+0.0137002j 0.0028108+0.0185985j 0.0134022-0.0281658j -0.0200288+0.00591526j 0.00976586+0.018746j -0.0201223-0.0109248j -0.00283212+0.0035575j -0.00198016-0.000434676j -0.0172156+0.0112949j -0.00282085+0.00590362j -0.0331696+0.0138162j -0.00146756-0.0065968j -0.00280514-0.00575972j -0.00160614-0.00100477j 0.00477324-0.00802731j -0.0232622-0.000239297j -0.00477992+0.00287232j 0.000121017+0.00308347j 0.000303395-0.00844946j 0.00501473-0.00318514j 0.00426202-0.0107876j 0.0154961+0.00988189j 0.00210649-0.0173142j 0.0005252+0.0133356j 0.00470261-0.00291169j -0.00582002+0.00601286j 0.0179954-0.0144497j 0.000386114-0.0199165j 
0.0128757+0.0193515j -0.0343686-0.0333076j 0.270167+0.070636j 0.0893218+0.136867j -0.414767-0.152049j -0.23224+0.0193239j -0.0109284+0.0114882j 0.00795034+0.0258728j -0.0357869+0.00580193j 0.0385914-0.0128164j 0.0509126+0.014509j 0.0222139-0.00304504j 0.00517635-0.0294057j -0.0134693+0.0220078j 0.0106574+0.0171608j 0.00473337-0.00945969j -0.00214867-0.00502453j -0.0151931+0.00727832j -0.00243184+0.00285475j -0.0341622+0.00228848j -0.0131679+0.017789j 0.000737697-0.00279025j -0.00262375-0.0026119j -0.00183517+0.0232469j -0.0136899+0.0414449j -0.0098052-0.0114441j -0.00269945+0.00321104j -0.0026196-0.00986087j -0.00259937+0.0049188j 0.00121447-0.0197192j -0.000218779-0.0169973j -0.00198747-0.0139446j 0.00243118+0.000238826j -0.00560575+0.00524183j 0.00667972-0.0115718j 0.000499594+0.0111505j -0.002236-0.0084071j 6.29132e-05-0.00400272j 0.00374482+0.0136928j 0.0031551+0.00268606j 
-0.00163023+0.00182124j 0.0728053+0.11207j 0.438847+0.169156j -0.190289-0.00848343j 0.0675719+0.0988427j 0.163387-0.0107255j -0.0604924+0.0448057j 0.0838168+0.0508729j 0.0426303-0.0432664j -0.0200439+0.0277495j -0.0195939-0.0280653j -0.0499533-0.0103298j 0.00417016+0.0332457j 0.0238811+0.00106556j -0.0150418-0.0205514j -0.00281554-0.00291467j 0.0179448-0.0198451j -0.0353847+0.0218191j 0.00651935+0.00773161j -0.00620638+0.00375969j 0.00652954+0.0100263j 0.00498006+0.00154455j -0.0119045+0.00357405j 0.00399467+0.00499338j 0.00312763+0.00815185j -0.00385103-0.000910674j 0.00182531+0.00521193j -0.00776111+0.0260186j 0.000745902+0.000999252j 0.0135623+0.00681146j -0.000809653-0.000389109j -0.00315497-0.00879407j 0.0012521+0.00355649j 0.00992744-0.0177484j -0.00982174-0.00105277j 0.00461942-0.0019361j 0.0052777+0.00176345j 0.00398304+0.00977698j -0.00446425-0.0238447j -0.00801268-0.00649582j 
