-0.0013953-0.00783207j 0.00790503-0.00118712j 0.00605504-0.00506309j -0.00575322-0.00702389j 0.00533947-0.000927316j -0.00460083-0.00100185j 0.00320897+0.00628655j 0.00672651-0.00315574j -0.000289799+0.0023846j -0.000832013+0.00225856j 0.000310351+0.00356447j -0.00463497-0.00151071j 0.00385395-0.00476374j 0.00134863+0.0018427j 0.000720408-0.000893814j -0.00110593-0.00169276j -0.00198148+0.000721381j -0.00164394-0.00288932j 0.00230838-0.000678892j -0.00367099-0.00487529j 0.000411274+0.0020244j -0.000977789+0.00147396j 0.00230106-0.00436242j 0.00323502-0.000394887j -0.00215138+0.000816135j -0.00263676+0.000364742j 0.0010907-0.000166208j -0.000138007+0.00240487j 0.00011548-0.00208563j -0.00201224+0.00176721j 0.000740206-0.000544542j 0.00275366+0.00257796j -0.000351005-0.000532185j 0.00097837-0.00147847j -0.00274508-0.00143251j -0.0013103-0.00383887j -0.00272548-0.00150088j -0.00131772+0.00433586j -0.000735362+0.000924293j -0.00033751+0.00261747j 0.00070654-0.00174796j 0.00128939+8.92661e-05j 0.00157374-0.000320812j 0.000569578+0.000826309j -0.00134431-0.00322419j 0.003375+0.00128774j -0.00141079+0.000222538j -0.00132063-0.00236194j -0.000311546+0.000412096j -0.00262436-0.000493759j -0.000233994-0.00294244j -6.97888e-05+0.0025255j -0.000942332-0.000801498j -0.000586314-0.000252664j -0.00111154-0.00329506j -0.000233362+0.00108216j 7.80813e-06-0.000176191j 0.00182861+0.000940418j 0.00323502-0.00420672j -0.000727746-0.00107014j 0.00163189-0.000454993j -0.00212823-0.00336487j 0.00113917+0.00551482j -0.00499675-0.000176695j 0.00186069-0.00069292j -0.00688324+0.00926841j -0.0108827-0.00661954j -0.00936141-0.0087631j 1.4913e-05+0.00812076j -0.00101588-0.00427816j -0.00781374-0.00612179j -0.00144963+0.0076349j 0.00127194-0.00587144j 0.0107734+0.00516837j -0.00540472+0.00734589j -0.011363+0.0130906j 0.0145652+0.0124374j 
0.00107062-0.000219219j 0.00135304-0.00214636j 0.00273087+0.00193138j 0.00167899-0.00170321j -0.000583365+0.00150886j 0.00054625+0.0010442j -0.00308948-0.00221914j -0.000161088+0.000988409j -0.0036731+0.00180552j 0.000414757-0.000519815j 0.000272099+0.00184004j -0.00417027+0.00346513j 0.00641247-0.000813841j 0.00226141-0.00629913j -0.00209843-0.00103935j 0.00383941-0.00262147j -0.00527627-0.00400346j -0.00501529-0.00234547j 0.00352785-0.000214621j -0.000520201-0.0014842j -0.000555866-0.00112876j -0.00173858-0.00503801j -0.00385758-0.00443741j 0.00109567-0.00140046j 0.000177049+0.000898754j 0.004583-0.00125993j 0.000525375-0.00152117j 0.00175877-5.64018e-05j -0.00513645+0.00226107j -0.00424194+0.00588901j -0.00426141+0.00501023j 0.00151742-0.00246255j -0.00766944+0.00361636j -0.00181763-0.000114579j 0.00512177+0.0005035j 0.00404026-0.00258835j 0.00674976+0.00128383j -0.00729886+0.00344183j 0.00779327-0.0013518j 0.00171887-0.00133952j -0.000931631+0.0021567j 0.00473611+0.00489736j -0.00324903+0.00127097j -0.00667481-0.000212776j -0.00365238+0.000725512j 0.00412522-0.00620201j -0.00232776-0.0102736j 0.0115975-0.00610028j 0.00986782-0.00273603j -0.00399897-0.00628704j -0.00486728-0.00786578j -0.000356755+0.00125681j 0.00365779-0.00211306j 0.000895443-0.00637931j 0.00221017+0.00481465j 0.00113389+0.00620687j 5.10258e-05+0.000572946j 0.000280107-0.00306275j 0.00378478+0.000707575j 0.00026465-0.00852699j 0.00801883-0.0130685j 0.00236803+0.000226714j -0.00183657+0.00731172j 0.000383302+0.0151718j 0.00412036-0.00352723j -0.00460557+0.00180771j -0.000180231+0.000637543j 0.001925+0.00766194j 0.00267186-0.00665788j 0.0016328+0.0018419j 0.000702759-0.00532936j 0.0043377-0.00795203j 0.00264059+0.0022008j -5.07691e-05+0.00122254j 0.00044729+0.00504691j 0.00189971-0.00382736j 0.00184689-0.00467736j 
-0.0021526-0.00120383j -0.00165579+0.000597154j -0.00275591-0.000837114j -0.00170797-0.00174908j -0.00242819-0.000677586j -0.000661078+0.00116371j -0.000868421+0.000980489j -0.00711719-0.0027585j 0.00381062-0.00318465j 0.00283364-0.00166165j 0.00274857+0.000193731j 0.00182434-0.000602457j -0.00371556+0.00129404j 0.00462616+0.00211355j -0.00194471-0.00138936j -0.00476967+0.00312032j 0.00410881+0.000637946j 0.00839909+0.000210409j -0.004593+0.000264481j -0.00301678+0.00469071j -0.00556599-0.00141158j -0.00584402+0.0006656j 0.00461931-0.000841798j -0.00179228-0.00667679j -5.17748e-05-0.000375371j 0.00594395+0.000826488j -0.00265834+0.00320882j -0.00551839-0.000450692j 0.00193733-0.00210205j 0.00398739-0.00362995j -0.002576-0.000627754j 0.00558206-0.000858292j -0.00643861+0.00293976j 0.000545028-0.000946217j 0.00272358+0.00202475j 0.00143937+0.00281497j -0.0131192+0.00025996j 0.000998923-0.00218988j 0.00611736+0.00233282j -0.00939494-0.000817966j 0.00341435-0.0011875j 0.01051+0.00333556j -0.00815201-0.00292305j 0.00535638+0.00190546j 0.00320545+0.0070665j -0.000198214+0.00315154j -0.00914057+0.00451361j 0.00417712+0.0095303j 0.001318-0.00148366j 0.00294291+0.000293025j -0.0206517-0.00422712j 0.000724484-0.000148763j 0.00285607-0.00156399j 0.00451981+0.00358629j -0.00584032+0.000937768j -0.00565681+0.000381295j 0.000137791+0.000852779j -0.00857673-0.00932217j -0.00177725+0.00405111j -0.00908175+0.0013319j 0.00630904+0.0010417j -0.00222743-0.00697428j -0.0118689+0.00288154j 0.00666423+0.00481095j 0.00330845+0.00372319j 0.00125522+0.00481515j -0.00681172+0.000105374j -0.00102161-0.000528517j 0.00141157-0.00396387j -0.00109136-0.00148851j -0.00594011-0.00109455j 0.00155618+7.17355e-05j 0.00673375-0.00108056j -0.000424117-0.00276777j -0.00237375+0.00179053j -0.00429762+0.000809541j -0.00290193+0.000301116j 
-0.000492785+0.00122297j -0.000879101-0.00123181j -0.000326407+0.000524946j -0.00240697-0.000800697j 0.000582816+0.00110934j 0.00101667-0.000176377j -0.00332633-0.00100065j -0.00646923-0.000799677j -0.00312426-0.00145735j -0.000434233-0.00429283j -0.00331632-0.00203768j -0.00338807+9.20655e-05j 0.00655747+0.00231531j 0.00227003+0.00321342j 0.000491054+0.002229j 0.000864331-0.00369744j -0.00113272-0.000376146j -0.00118526+0.0047853j -0.00474489+0.00158708j -0.00457344+0.00397022j -0.00145328-0.00443291j 0.000837572+0.000101821j -0.00261969-0.00225764j -0.00165083+0.00118583j 0.00877787-0.00688312j 0.00124461-0.00637827j -0.0165537+0.00150865j 0.0102091-0.00155789j -0.0065845+0.00302693j 0.00136122+0.00290158j -0.0066396+0.00196753j 0.00368885-0.00237845j 0.00120328+0.00851238j -0.00340146-0.00338347j 0.000994548+0.00212985j 0.00640595-0.00635282j 0.00200346-0.00351106j -0.00123142-0.00180448j 0.00570509-0.004424j -0.00161364-0.000667039j -0.00366866-0.00827327j 0.00197385-0.00348014j -0.0030627-0.00150207j -0.00178362+0.00456951j -0.00232351-0.00580795j 0.00105247-0.00477377j -0.00198571+0.00355578j 0.00117916-0.000566474j -0.0096877+0.0062444j -0.0104079-0.0035198j -0.00232546+0.000757028j 0.0074899+0.000363594j 0.000296466-0.00325223j -0.00310692-0.00331317j 0.000571433+0.00607763j -0.00887304-0.00562895j -0.00487195-0.00455699j -0.000327111+0.00279547j 0.00400529+0.000170993j -0.00093736+0.00929248j -0.00211455+0.00248431j -0.0110992-0.00138152j -0.00637727-0.0043698j 0.0107855-0.00254056j -0.00645319-0.00148259j 0.00293879-0.000871226j -0.00117015+0.00104731j 0.00074502+0.00121146j 0.00651616-0.00146421j -0.00624588-0.000487475j -0.00139698+0.000674897j -0.00147469+0.00227389j 0.00279175-0.000655639j -0.00311176-0.00133164j -0.00109527+0.00199171j -0.00211272+0.000323904j 2.06932e-05+0.00286349j 
-0.00093039-0.000728649j 0.000866792+0.000878495j -0.00143844-0.0011449j -0.000794116+0.00189989j -0.00235315+0.000793101j 0.00110303+0.00305352j 0.00145299-0.000636186j -0.00117091+0.00367555j 0.00221898-0.0006659j -0.000103354+0.00123062j 0.00389647+0.00341934j 0.00317403+0.00325447j 0.00481297+0.000510472j -0.00439749+0.000836921j 0.00428233+0.00271572j -0.00204574-0.00661527j 0.00289074-0.000108955j 0.00155871+0.00329129j -0.000594415-0.00140271j 0.00321265+0.00634767j -0.0010954+0.00302214j 0.00759604+0.00254212j 0.00640279-0.00283485j -0.00489768+0.000458263j 0.00923988-0.00274078j -0.00721106+0.00832857j 0.000506194+0.00131048j 0.00591067+0.00216562j 1.79216e-05-0.00249405j -0.0100661+0.000142716j 0.00461298+0.00350964j -0.00276659+0.00303841j -0.000371193+0.00169128j 0.00217307+0.0104738j -0.00572176+0.000277069j -0.00391637+0.000583374j -0.00888425-0.00161849j 0.00760335+0.00367913j -0.00765017+0.00163356j 0.00548744+0.000364322j 0.00618288-0.00189402j -0.00993901+0.00234887j -0.00779315+0.00577429j 0.000175161-0.00671678j 0.00517482-0.00122445j 0.00657041-0.00584843j -0.00213057+0.00254227j 0.00132553+0.00490393j -0.00618509+0.00186359j -0.000618661-0.000727936j -0.000294218+0.00259083j -0.00452008-0.001942j 0.00739192-0.0088525j 0.00657084-0.00301748j 0.00412096+0.0101154j 0.00143118+0.00958528j -0.00236058-0.000842159j 0.00546262-0.00379136j 0.00714032-0.00538425j -0.00733487-0.00520753j 0.00361474+0.00134039j 0.00106177-0.00143611j -0.00812502+0.0027302j 0.00026235+0.00389145j -0.0008269-0.0029018j 0.00537795-0.00310271j -0.000118979+0.00554667j -7.76805e-05+0.0047897j -0.00042088+0.00128657j 0.00663074-0.000443409j -0.00117756+0.000371235j 0.00138558-0.0020144j -7.69643e-06+0.00103838j 0.00342151+0.00256769j 0.000540273-0.00196675j -3.72239e-05-0.0011251j -0.000880032+0.00161758j 
-0.00085444+0.00434647j 0.00356514+0.00257149j -0.00228871-0.000910426j 0.000868094+0.000415544j -0.00187962-0.000298757j 0.00156069-0.00150743j 0.00177258+0.000685307j -0.00247668-0.000436616j 0.00170706-0.00181539j 0.00353232+0.0027334j -0.000707922+0.000943777j -0.000191811-0.00183483j 0.00224108-0.000353534j 0.00175266+0.000545175j 0.00652712+0.0030736j 0.00116359-0.00195379j -2.37006e-05-0.00141245j 0.00175067+0.00187656j 0.00354074+0.0010549j 0.00591747+6.95886e-05j -0.00583401+0.000527418j -0.00268012+0.00179346j -0.00227066-0.00145621j -0.000945965+0.00012133j 0.00393318+0.00570492j -0.00281245+0.00257919j -0.00121163-0.00190221j -0.00859681-0.00329609j 0.00301105-0.00270787j 0.00133442+0.00205938j 0.00218851+0.00538399j -0.000132548-0.00279627j -0.00123717-0.00290289j 0.00347958-0.00447156j -0.000460596+0.00225507j -0.000730637+0.000322469j -0.0015092+0.00814841j 0.00239287-0.00484015j 0.00474857-0.0026298j 0.00520806+0.00420719j -0.0054742+0.00147266j 0.00273866-0.00404915j 0.00765498-0.00213192j 0.00237088+0.000901768j 0.00575295-0.000411553j 0.00703731-0.00240977j -0.00315698+0.00135222j 0.00199261-0.00825297j -0.00372569+0.00759461j -0.00469544+0.00702199j -0.00360415+0.00109114j -0.00446562+0.00940842j -0.00526828+0.00281963j -0.00340684+0.000231964j 0.00251008-0.0134053j 0.0018536-0.00403898j -0.000500796+0.00425689j -0.000887379+0.00126026j 0.0060073-0.00139638j -0.00833106+7.85127e-05j 0.00399627-0.004094j 0.00976382-0.00500428j 0.00237252+0.00443812j 0.00157513+0.0109358j 0.00426313-0.000833735j -0.00735736-0.00209609j -0.00152198+0.00525301j 0.0043887+0.001231j -0.00251445-0.00251265j 0.00516941+0.00249812j -0.00115526+0.00431534j 9.9929e-05+0.00126342j 0.00404073+0.00313568j 0.00214827-0.00309983j -0.000662587-0.00267191j 0.0022304+0.000635003j -0.00426188+0.0013372j 
0.00215739-0.000298346j -0.000983527-0.00278818j 0.00294255-0.0013328j 0.00619757+0.00203213j 0.00281387-0.00249419j 0.00292272+0.00298673j -0.00102747+0.000120976j 0.0107934-0.000178434j -0.000595081-0.0024785j 2.44395e-05-0.0022439j 0.000759229-0.00131189j 0.00256782+2.02904e-05j -0.00259319+0.000998672j 0.000614283-0.00374138j -0.000261369+0.00190254j -0.00107807+0.00160601j -0.00107796+0.000127558j -0.00357879+0.00228639j 0.000632315+0.0030229j -0.00447072+0.000998161j 0.00822689-0.00267743j -0.00051771+0.00258304j -0.004604-0.00349366j 0.000770163-0.00251601j -0.00468542-0.00263226j 0.00609822+0.00138979j -0.000330705-0.0011486j -0.00797254+0.000221131j -0.00649478+0.000192253j 0.00119222+0.000943634j 0.00252497-0.000262849j -0.00460358-0.0012281j 0.00729946-0.000549189j -0.00455127+0.000868605j 0.00973103-0.00186679j 0.000432914+0.00243032j -0.00534485+0.00144233j 0.00405399+0.00161198j 0.000410366+0.00388005j -0.00747477+5.54453e-05j -0.00746227-0.00219379j -0.00102556+0.00134108j -0.0177681+0.000302452j 0.0021193-0.00709026j 0.00872677-0.00158856j 0.00112585-0.00212246j 0.00940017+0.0032612j 0.00763369+0.000697864j 0.00463712+0.00393828j -0.0114225+0.00303093j 0.00244961+0.00701545j 0.00344236+0.00468215j 0.0107485-0.00187176j 0.00469076+0.00812735j -0.000470503-0.00153532j -0.000654479-0.00427091j 0.00263131+0.00197519j 0.00439207+0.00402057j -0.000491186-0.00309012j -0.00390686+0.0036242j -0.00736237+0.00164264j 0.00206111-0.00112933j 0.00122533+0.00732011j 0.00379403-0.00458272j -0.00552403+0.0044996j 0.00557457+0.00113282j 0.00306126+0.00564732j 0.00105495+0.00278959j 0.00259202-0.00605475j 0.00999064-0.00392644j 0.00273765+0.00348326j 0.000555125+0.00131767j -0.00178207+0.00192536j 0.00480123+0.000404686j 0.00527525-0.00191518j -0.00134147-0.00494307j 0.00401999-0.00111507j 
0.00105095-0.00342679j -0.00117343-0.00168629j 0.000892529-0.00291006j 0.000129236-0.000734619j -0.00107436-0.00263462j 0.0020849+0.00223009j -0.00548974-0.000797795j -0.00134317-0.00395185j -0.00217027-0.00435127j 0.00353617+0.00164586j 0.00505675+0.0032499j 0.00613139+0.00269762j 0.00486504-0.00211805j -0.00758967+0.00243519j 0.00322254-0.00518464j -0.00388968+0.00278677j -0.00292677+0.00190711j -0.0062554+0.00214785j -0.00449468-0.00151061j -0.00385686-0.00608451j -0.0068403+0.000863455j -0.00227029-0.00629156j -0.00332225+0.00538411j -0.000303972+0.00200404j 0.00459514+0.00130019j 0.000351518-0.000141918j -0.00538538+0.00154595j 0.00761266+0.00103368j 0.00274643+0.00519003j -0.0111365+2.47858e-05j 0.00420724+0.000798778j 0.00905154-0.000735401j -0.00113021+0.000505152j 0.00665218+0.00406056j 0.00164684-0.00366248j -0.00124547-0.000575768j 0.00207623-0.000341046j -0.00180403+0.00995036j 0.00149399+0.00459571j 0.00656354+0.00202349j -0.00290228-0.00119859j 0.00216808-0.00381073j 0.00395383+0.00201256j 0.00924713-0.00306544j 0.000964107+0.00110951j -0.00382905+0.00358205j 0.00118569+0.000443007j 0.00755947-0.00395493j 0.00903024-0.00740223j -0.00143423+0.000974775j 0.00455619+0.00322091j -0.00299772+0.00690757j 0.00410227+0.00308942j -0.00615828-0.000455341j 0.00588534+0.00347219j -0.00520299-0.00910634j 0.00719702+0.00667058j 0.000257257+0.012416j 0.00142474-0.00420239j -0.000958507-0.00706403j -0.00164934-0.00717006j 0.00414546+0.00237406j -0.00371793-0.000120976j 0.00832462-0.000398647j -0.0040624+0.00071477j -0.00157877+0.00818956j -0.00478811+0.00147616j 0.0080613-0.00189985j 0.00467963-0.00354785j -0.00133704-0.00790539j -0.00533316+0.00150049j -0.00148365-0.00386605j 0.00560849+0.00101187j 0.00247441-0.00110639j -0.00188603-0.00386729j -0.00303142-0.00227604j 0.00225106-0.00415878j 
-0.00076749-0.0021939j 0.000342445-0.00189157j -0.00116548-0.00206859j -0.000514913-0.00210234j -0.00269209-0.000472826j 0.00060494+0.00136027j 0.00126432-0.000580173j -0.00299504-0.0011724j -0.00196969-0.00220779j -0.000393923-0.00422045j -0.00137026-0.00320026j 0.00216501+0.00161265j -0.00280984+0.00102035j -0.000784379-0.00346356j 0.00120502+0.0027055j 0.0025594+0.000975796j 0.001996+0.000742077j -0.00366665-0.0032302j -0.00188745-0.00827078j -0.000909502+0.00172386j 0.00342845+0.00366094j 0.00153224-0.00401434j 0.00129987+0.00293887j 0.000882838+0.00488287j 0.000884798+0.0040868j 0.000964145-0.00172422j -0.000506734-0.00239693j 0.00596-0.000213739j 0.00410091+0.00456002j -0.00136829+0.00712204j 0.00361231+0.00482414j 0.00555051+0.00290771j 0.000576869+0.00160374j 0.000722974-0.00966575j 0.000402332+0.00441782j 0.000232654+0.00218814j 0.00230046-0.000666602j -0.000476649+0.00328881j -0.00689551-0.00419347j -0.00183701+0.00532306j 0.00128389-0.00821052j 0.00376173+0.00210268j 0.000943852-0.00372185j 0.00324435-0.00114249j 0.000772223+0.00713069j 0.00395665+0.000269338j -0.00349942+0.00448442j 0.00598963+0.000533099j 0.00411001+0.00250656j 0.00492667+0.00810006j 0.00446622-0.00421416j -0.000495225-0.0130239j 4.69074e-05+0.0136791j 0.00118794+0.00708801j -0.00312189-0.00597195j 0.000905657-0.00357905j 0.0083647-0.0103268j -0.00468502+0.00036064j 0.00355615-0.0053006j 0.00248391+0.0126844j 0.00422864-0.00210514j 0.000360529+0.00116839j -0.00755763-0.00170799j -0.0103823+0.0052202j -0.00107934+0.00318699j -0.00120265+0.00711731j -0.000134856-0.00172634j -0.00339561-0.000943056j 0.0028471-0.0049759j 0.00563206+0.00181461j -0.00398323+0.00343263j 0.00159921+0.00691542j 0.00200762+0.0015757j -0.000299925-0.000353722j 0.00028861+0.00387028j -0.00311689-0.00217994j -0.00125001-0.00212229j 
0.00146949-0.000673943j 0.00144564-0.00174634j 4.3392e-05-0.000555858j 0.00151215-0.00188031j -0.004389-9.44939e-05j 0.000147615+0.00114525j 0.00215214+0.00178657j -0.000838695-0.00421475j -0.00543869-0.00291597j -0.00175154-0.000844374j 0.00222005-0.00323296j -0.000773083-0.00211492j 3.42338e-06-0.00461404j -0.00277199+0.00029883j -0.00162823-0.00016633j 0.00278448+0.00214291j 0.00208065-0.00165008j 0.00232273-8.04333e-05j -0.00249418+0.000651159j 0.00031551+0.00206447j 0.000299846-0.000826852j 0.00432455-0.0036282j -0.00171803-0.0065752j -0.00167161+0.000859905j 0.000885027-0.00242934j 0.000549931-0.00148016j 0.00722171+0.00489882j 0.00835075+0.0034956j 0.00627085+0.00247297j -0.00515848+0.00109816j -0.00354387+0.00206248j 0.00200942-0.00363256j -0.0041964-0.00287108j 0.000645802+0.000330548j -0.00379984-0.00188496j -0.0017765-0.00469935j 0.00696312-0.00826068j 0.00136196+0.000672518j -0.00855335+0.00550834j -0.00157486-0.00754553j 0.0117915-0.000704271j -0.00210789+0.000124878j 0.000485643+0.00608727j -0.00699958+0.000768193j 0.000729887-0.000648462j 0.00347314+0.00353707j -0.000508354-0.00201799j -0.00135063-0.00194424j 0.00469233+0.00443736j 0.00773199-0.00188723j -0.000322783-0.000893222j 0.00259992+0.0157668j 0.00440516-0.00504834j 0.00509886+0.00246731j -0.000467471-0.0114972j 0.00505658-0.0169778j 0.00714409+0.00812981j -0.000119934+0.000803737j -0.00862891+0.00408831j -0.00594324+0.00383877j -0.000755113+0.00423441j -0.000295307+0.00292632j 0.0026311+0.00233825j 0.00697522+0.00156691j 3.99117e-05-0.000137775j 0.00184391-0.00429355j 0.00368248-0.00646686j -0.00836065-0.00243111j -0.00534214-0.00203089j 0.00134339-0.000938729j 0.00465086-0.000969382j -0.000713043-0.00112622j 0.00129097-0.00140798j -0.000849964-0.00381277j -0.00189693+0.00574449j -0.0012427-0.00280924j -0.00141737-0.00422355j 
-0.000561942+0.00308096j 0.00500688-0.000268827j -0.00147624-0.000784075j 0.00334292+0.000957976j 0.00269899-0.00113134j 0.000593174+0.000707701j -0.00320986-0.00206557j 0.00466636-0.00200749j 0.00866164-0.000717124j 0.0108132-0.000760503j 0.000143255-0.00313414j 0.000882028+0.00257194j 0.0034451+0.00452461j 0.00377841-0.00210659j 0.00506262+0.004728j 0.00324044-0.0003286j -0.00198083-0.00206478j -0.00629056+4.92569e-07j -0.000944638-0.00671259j 0.00715376+0.00128159j -0.000295331-0.00017104j -0.00749365-0.00221183j -0.00264853+0.000526043j -0.00190128-0.00551901j 0.000990036+0.0012299j -0.00254714-0.000107513j 0.00436176+0.00128539j -0.0013521-0.00199977j 0.00298006-0.000681159j 0.00297617+0.00031476j 0.00151211-0.00418597j 0.00160667-0.00257407j 0.00761341+0.00337196j 0.0045627-0.00576299j -0.00376716+0.00221296j 0.000641466-0.00630633j -0.00759595-0.00385028j -0.000298824-0.00191486j 0.0019472-0.00166589j 0.0119412-0.000327924j 0.00265434-0.0042273j 0.00294034-0.00635933j -0.00186669-0.00396852j -0.000289755+0.00321126j -0.00310224+0.00107877j -0.00541765+0.00279452j -0.00257732-0.00293234j -0.00273511-0.0007566j 0.00966885+0.00316006j 0.00385338-0.004941j 0.00653933-0.00273424j -0.00611657-0.00701192j 0.00444372-0.0045584j 0.0109514-0.00310569j -0.0148081-0.00517151j -0.0118426+1.12192e-05j 0.00695718-0.00821374j 0.000500223-0.00264181j -0.00784505+0.00408527j -0.00518473+0.00323198j 0.00359151+0.00385325j -0.0038379-0.00540633j 0.00856293-0.00277586j 0.00999412-0.00260982j 0.00742131-0.00960295j 0.001199-0.00280552j -0.00118778+0.000766203j 0.00506151-0.00396145j 0.000878806+0.00628189j 0.00615177-0.0048512j -0.0045223+0.00470875j 0.00398659-0.000943682j -9.09343e-05-0.000344863j 0.00511192+0.00235727j -0.00180285-0.0012282j 0.00300149-0.00272615j 0.000267212+0.00351914j 
-0.00165496+0.00125578j -0.00189856-0.00229162j -0.00183754-0.000457104j -0.00117054+0.00139344j -0.00102038-0.00313435j 0.000140134-0.00106312j 0.00317368+0.0011823j -0.00151346-0.00136127j 0.00305171-0.00268791j -1.86776e-05+4.36568e-05j 0.000242163+0.00168849j 0.00181049-0.00210926j -0.00550094+0.000134444j -0.00718955+0.000625175j 0.00386772+0.00305728j -0.0045707-0.00375969j 0.00306307-0.00176698j 0.00462584+0.00395957j -0.00440064+0.00439878j 0.000773917-0.00828999j 0.00123989-0.00439389j 0.00453529-0.00122407j -0.00313336-0.00868942j -0.00490865-0.00306301j 0.00489304+0.00431993j 0.00223093-0.00335724j 0.0063147+5.21766e-05j -0.00630182-0.00340372j 0.00640032+0.00481805j 0.00152219+0.00505748j -0.00508432+0.00174929j 0.0029385-0.000336744j -0.00482776+0.00228682j 0.00159169-0.00532841j 0.00330956-0.00310899j -0.00346301-0.0101806j -0.000556769-0.00135189j 0.00248479-0.00260539j -0.000688109-0.00295182j -0.0060524+0.00224733j 0.00218212-0.00103789j 0.00438406-0.00338774j 0.000707593+0.00210896j 0.00233338+0.00810437j 0.00967952-0.00136211j 0.00948761+0.000218699j -0.00427103-0.00385014j 0.00342135-0.00482626j 0.00331362+0.00833802j 0.00262635-0.00193744j -0.00400426-0.000337384j 0.00853205-0.00813083j -0.00318875+0.00641379j 0.00501157-0.0212492j -0.00759581+0.00752726j -0.00094461+0.00450867j 0.0146951-0.00198033j -0.0013551+0.00839122j 0.00677208-0.00549134j 0.00030457-0.00615784j 0.00344039+0.0039137j -0.00235089+0.0137007j -0.00367607-0.00425734j -0.00254387-0.00580041j -0.00369713-0.00125044j -0.00583379+0.00443562j -0.00180446-0.00122556j -0.00551816-0.00201459j -0.000891639+0.00460265j 0.000868061-0.00745882j 0.00504289+0.00400494j -0.00228+0.000915557j -0.00067305+0.0002444j 0.000687764-0.00146849j -0.000554047-0.00603952j -0.00277997+0.0023327j 0.000398138-0.000376477j 
0.00491354+0.000458968j -0.000171851-0.00309284j 0.00808933+0.0003785j -0.000439363+0.00263459j 0.00294231+0.00280039j 0.00156389+0.0038281j -0.000303126-4.4459e-05j -0.00176814+0.00218798j -0.000505138+0.00181114j -0.00774261+0.00184233j -0.000877882-0.0026349j 9.30684e-05+0.000410157j 0.00228516-0.00590346j 0.00289936-0.00286053j -7.12507e-05+0.00134697j -0.00425851+0.00293265j -0.00181766+0.00389569j 0.00641706+0.000425901j -0.00596895-0.00217644j -0.00492402+0.0027669j -0.0056552-0.00337992j -0.000464575+0.000137646j 0.00700118-0.00249827j 0.0045185-0.00371265j -0.00242151+0.00524656j 0.000814705-0.00458761j 0.000945823+0.00275424j -0.00178471-0.000292773j 0.00619214-0.000686274j 0.000621249+0.000440508j -0.00693012+0.00512131j -0.00224493+0.00013184j -0.00405647-0.00397863j -0.00372497-0.0029093j 0.00101784+0.0063086j 0.00590017+0.00175284j -0.00135803+0.0113691j -0.00316245-0.00777127j 0.00258514+0.000572776j 0.00471018-0.00145263j 0.00795545-0.00130909j 0.00323576+0.00120878j 0.00292442-0.0014779j 0.00406754-0.00506801j 0.00689798+0.00398502j -0.0022054-0.0029529j 0.00899404-0.00498863j -0.0046481+0.0017362j 0.00257231+0.00156778j 0.0043061+0.00721383j -0.00869017+0.00793691j -0.00117782-0.000252838j -0.00594481-0.00371703j -0.00608575-0.00957556j -0.00608235-0.00439629j -0.00417577-0.00094234j 0.00979497-0.00886923j -0.00379646+0.00118893j 0.00596005-0.00118944j -0.00115449-0.00100457j -0.000438456-0.00901922j 0.00764752-0.0007385j 0.000633251+0.00798576j 0.00969224-0.00200075j 0.000358186-0.00480413j 0.000857189-0.0105345j -0.000327805+0.00517199j -0.0015997+0.00520068j -0.00555358+0.000890521j -0.00229369+0.00596953j -0.00115652-0.00207727j -0.0035429+0.000410103j -0.00199535+0.00194665j -0.00282421+0.00403822j 0.00620503-4.60373e-05j 0.00109314-0.00618379j 0.00419376+0.000373301j 
