-0.101423-0j -0.0146982-0j 0.702657-0j -0.00105411-0j 0.709938-0j -0.00106503-0j -0.00483821-0j 0.0822902-0j -0.00598698-0j -7.12736e-05-0j -0.00349241-0j 0.101829-0j -8.81966e-05-0j 0.0594002-0j -5.1448e-05-0j -0.00360593-0j -0.000600989-0j -0.00420692-0j 0.0711871-0j -0.0025762-0j 0.00722794-0j -0.00368105-0j -0.000701153-0j -4.4267e-06-0j -0.00151836-0j 0.0830516-0j -0.000429367-0j 0.0508585-0j 0.00843259-0j -0.000613509-0j 0.00516389-0j 0.0726701-0j -5.16448e-06-0j -0.00025306-0j 0.00737852-0j 0.0299749-0j -3.16259e-06-0j -4.51892e-06-0j 0.00304348-0j -1.86396e-06-0j -0.00286668-0j -0.000462608-0j -0.00323826-0j -0.00264402-0j 0.0363417-0j -5.45189e-05-0j -0.00267142-0j -0.000522571-0j 0.00913265-0j -0.00231352-0j 0.000535364-0j -0.00190856-0j -0.000426678-0j 0.0410524-0j -2.53975e-07-0j -0.000609793-0j -0.000431099-0j -6.15856e-05-0j 0.0335191-0j -0.000373343-0j 0.0103164-0j -5.02844e-05-0j 0.0338665-0j 0.000604758-0j -0.000307992-0j 0.0293292-0j 0.00842332-0j -5.08055e-05-0j -2.86895e-07-0j -9.8405e-05-0j 0.000493783-0j -4.39989e-05-0j 0.00851061-0j 0.0241954-0j 0.00737041-0j -2.34249e-07-0j 0.00773054-0j 0.0004989-0j -3.62972e-05-0j 0.00043206-0j 0.00608028-0j -1.15971e-05-0j -2.36676e-07-0j -2.04968e-07-0j 0.000356431-0j 0.00194268-0j -1.6909e-07-0j 0.000113882-0j -5.4025e-08-0j 
0.00521756-0j -0.000734603-0j -0.0726701-0j 5.42271e-05-0j 0.0733935-0j -5.47668e-05-0j 0.000248895-0j -0.00851061-0j -0.000299224-0j 3.66657e-06-0j 0.000164537-0j 0.0102315-0j -4.40799e-06-0j -0.0056261-0j 2.42386e-06-0j 0.000185502-0j 3.0917e-05-0j -0.000210258-0j 0.350507-0j 0.000132529-0j -0.000747528-0j -0.00018929-0j -3.50431e-05-0j 2.27726e-07-0j 0.00037295-0j -0.397283-0j 2.20882e-05-0j 0.250414-0j 0.000847288-0j -3.15484e-05-0j -0.000534059-0j -0.357664-0j -2.58116e-07-0j 6.21584e-05-0j 0.000762792-0j 0.70469-0j 1.62695e-07-0j -2.32376e-07-0j -0.0015029-0j 4.5784e-07-0j 0.000147472-0j 2.37982e-05-0j -0.000161845-0j 0.000136018-0j -0.00375853-0j 2.80465e-06-0j -0.000137372-0j -2.61177e-05-0j 0.0449668-0j -0.000115628-0j -5.53684e-05-0j 8.99174e-05-0j 2.19499e-05-0j 0.00412485-0j 1.30654e-08-0j 0.000331802-0j -2.21683e-05-0j -3.078e-06-0j -0.00346661-0j -1.86594e-05-0j -0.0493494-0j 2.58681e-06-0j 0.00350112-0j 6.07648e-05-0j 1.45104e-05-0j 0.00294693-0j 0.0414743-0j -2.61256e-06-0j -1.43388e-08-0j 5.35443e-05-0j -5.1068e-05-0j -2.19903e-06-0j -0.0418871-0j -0.00229167-0j -0.0352569-0j 1.20506e-08-0j -0.00845642-0j 5.15763e-05-0j 1.71006e-06-0j 4.34124e-05-0j 0.0274173-0j 6.31025e-06-0j -1.21706e-08-0j -1.02441e-08-0j -3.37595e-05-0j 0.101172-0j 7.96628e-09-0j -0.000124575-0j 2.93961e-08-0j 
-0.00106503-0j -0.014336-0j 0.00737852-0j -0.0495236-0j -0.00745196-0j 0.0500165-0j -5.08055e-05-0j -0.0826143-0j 6.10789e-05-0j -0.0102611-0j -3.35859e-05-0j 0.0993197-0j 0.0123359-0j -0.0546137-0j -0.00678326-0j -3.78655e-05-0j 0.000603355-0j 4.29188e-05-0j 0.000747528-0j -2.70524e-05-0j 0.33958-0j 3.86387e-05-0j -0.000683876-0j -0.00128353-0j -7.61282e-05-0j -0.000847288-0j 0.000431058-0j 0.000534059-0j -0.384899-0j -0.000615676-0j 0.242608-0j -0.000762792-0j 0.00145483-0j 0.00121304-0j -0.346514-0j 0.0015029-0j -0.000917001-0j 0.00130974-0j 0.682722-0j -0.00258053-0j -3.01027e-05-0j 0.00046443-0j 3.30365e-05-0j -2.77646e-05-0j 0.000381621-0j -0.00256138-0j 2.8041e-05-0j -0.000509694-0j -0.00916862-0j 2.36024e-05-0j 0.0770749-0j -1.83543e-05-0j 0.000428358-0j -0.000418814-0j -0.000123162-0j -6.77287e-05-0j -0.000432622-0j 0.00281102-0j 0.00035198-0j -0.000364143-0j 0.0100622-0j -0.00236244-0j -0.000355484-0j -0.0845868-0j 0.000283174-0j -0.000299215-0j -0.0084565-0j 0.00238596-0j 0.000135166-0j 0.00104493-0j 0.0710886-0j 0.00200829-0j 0.00854067-0j 0.000232683-0j 0.00718879-0j -0.000113596-0j 0.000858618-0j -0.0717961-0j -0.00156174-0j -0.0604317-0j -0.00559033-0j -0.00576292-0j 0.000114727-0j 9.65671e-05-0j 0.0469944-0j -0.0206287-0j -7.50949e-05-0j 0.173413-0j -0.000277106-0j 
-6.21138e-05-0j 0.00173018-0j 4.40083e-06-0j 0.0175394-0j -4.51892e-06-0j -0.0180101-0j -2.96304e-06-0j 0.000100679-0j 3.60776e-06-0j 0.114419-0j -2.13883e-06-0j -0.000122585-0j -0.139315-0j 7.26739e-05-0j 0.0825919-0j -2.20836e-06-0j 7.07449e-05-0j -2.57642e-06-0j -2.2539e-07-0j 4.68257e-06-0j -0.00127037-0j 2.2182e-06-0j 8.25357e-05-0j -0.325303-0j -9.29879e-07-0j -2.62955e-07-0j -0.000150006-0j 4.77913e-07-0j -0.0014821-0j -7.10603e-05-0j 0.00269367-0j 2.26395e-07-0j -0.37952-0j 2.97887e-05-0j 0.00127603-0j -9.49054e-08-0j 0.689767-0j 0.326753-0j -0.000534917-0j -0.136976-0j -1.75562e-06-0j 5.44555e-05-0j -1.98319e-06-0j 1.59329e-06-0j -2.31324e-07-0j -0.000921935-0j -1.63605e-06-0j 6.1514e-05-0j 5.55784e-06-0j 4.20511e-06-0j 0.00893265-0j 1.1501e-06-0j -4.94203e-05-0j -2.61308e-07-0j -0.0974389-0j -3.73452e-07-0j 5.07465e-05-0j -0.00104144-0j 2.09934e-07-0j -0.000130433-0j 6.27825e-06-0j 0.000836689-0j -2.15568e-07-0j 0.0100905-0j -3.56735e-05-0j 5.54072e-07-0j -5.04394e-06-0j -0.000859141-0j -0.110069-0j 1.15837e-05-0j -0.0081067-0j 0.00220824-0j 5.17929e-06-0j 1.51539e-07-0j -1.33123e-05-0j 0.0884293-0j -4.92067e-08-0j 0.00832424-0j 0.000603954-0j -0.0213957-0j -3.64091e-06-0j -0.000196112-0j -0.0908023-0j 0.233388-0j -0.00585172-0j 1.18225e-06-0j 0.0638317-0j 0.00190013-0j -0.020727-0j 
6.27575e-05-0j 0.00169835-0j 4.51892e-06-0j 0.0180101-0j -4.5639e-06-0j -0.0181893-0j 2.99374e-06-0j -0.000101722-0j -3.59911e-06-0j -0.115605-0j 1.97907e-06-0j 0.000122292-0j 0.138981-0j -6.72454e-05-0j -0.0764226-0j 2.23125e-06-0j -7.1478e-05-0j -2.52901e-06-0j 2.27726e-07-0j 1.59408e-06-0j 0.00128353-0j -2.27681e-06-0j 8.10171e-05-0j 0.328674-0j 4.4859e-06-0j -2.58116e-07-0j -5.10664e-05-0j 1.62695e-07-0j -0.00145483-0j 7.29376e-05-0j 0.000917001-0j -2.32376e-07-0j -0.372537-0j -0.000143706-0j -0.00130974-0j 4.5784e-07-0j 0.234816-0j -0.335385-0j 0.00258053-0j 0.660796-0j 1.77382e-06-0j -5.50198e-05-0j -1.9467e-06-0j 1.63605e-06-0j 2.33721e-07-0j 0.000931489-0j -1.65233e-06-0j 6.03822e-05-0j -5.61544e-06-0j -1.39079e-06-0j -0.00902522-0j 1.08154e-06-0j -5.07465e-05-0j -2.565e-07-0j 0.0984487-0j 3.99095e-06-0j 5.12516e-05-0j -0.00102227-0j 2.15568e-07-0j 4.31391e-05-0j 6.16273e-06-0j 0.000859141-0j -2.17714e-07-0j 0.00990484-0j -3.35469e-05-0j -1.83252e-07-0j -5.17929e-06-0j -0.000867693-0j -0.108044-0j -0.000123791-0j -0.00832424-0j -0.000730348-0j 5.23085e-06-0j 1.42505e-07-0j 4.40287e-06-0j 0.0908023-0j 5.25854e-07-0j 0.00840709-0j 0.000567951-0j 0.00707636-0j -3.42387e-06-0j 0.00209578-0j -0.0917061-0j -0.0771902-0j -0.00550289-0j -1.26343e-05-0j 0.0600265-0j -0.0203061-0j 0.221502-0j 
0.0367194-0j 0.00532138-0j 0.00264402-0j 0.000381632-0j 0.00267142-0j 0.000385587-0j -0.00349399-0j -0.000617657-0j 0.00216755-0j -5.14714e-05-0j 0.0012644-0j 0.000383172-0j 3.1931e-05-0j 0.000223517-0j 1.86264e-05-0j 0.0013055-0j 0.000217584-0j -0.0030381-0j 0.000133242-0j 0.000932697-0j 2.7198e-05-0j 0.0013327-0j -0.000506349-0j 1.60266e-06-0j 0.000549711-0j -0.000310074-0j 0.000155449-0j 9.51929e-05-0j -6.32936e-05-0j 0.000222117-0j 1.94312e-05-0j 0.000136018-0j -3.72961e-06-0j 9.16185e-05-0j 2.77646e-05-0j 5.61047e-05-0j 1.14499e-06-0j 1.63605e-06-0j 1.14523e-05-0j 6.74834e-07-0j -0.255998-0j 0.000167484-0j -0.289181-0j 0.470978-0j 0.00013675-0j 1.97382e-05-0j 0.475859-0j 0.000189193-0j 1.70938e-05-0j -0.206601-0j 2.01452e-06-0j -0.170437-0j -0.000308132-0j 0.000154476-0j 9.19499e-08-0j -0.0544554-0j -0.000311325-0j 2.22967e-05-0j -0.000251589-0j 0.000135166-0j 1.93095e-05-0j -3.63137e-05-0j -0.000254196-0j 2.27564e-06-0j 0.000111507-0j 0.000110363-0j -3.14486e-05-0j -3.669e-05-0j 1.03868e-07-0j 3.56269e-05-0j -3.70625e-06-0j 1.59295e-05-0j -3.17745e-05-0j 9.10447e-05-0j 1.37954e-05-0j -1.69167e-07-0j 2.90892e-05-0j -3.74466e-06-0j 1.31412e-05-0j 1.6258e-06-0j 1.13806e-05-0j 4.19867e-06-0j -1.7092e-07-0j 7.42072e-08-0j 1.34121e-06-0j 3.63615e-06-0j 6.12178e-08-0j 4.28525e-07-0j 1.95594e-08-0j 
-0.045438-0j -9.37279e-05-0j 0.00321933-0j 0.00046467-0j 0.00321161-0j 0.000463556-0j -0.00216755-0j -0.000383172-0j 3.75656e-05-0j -3.1931e-05-0j 0.00306242-0j 6.64072e-06-0j 5.53393e-07-0j 0.000541365-0j 4.51138e-05-0j -0.00161548-0j -0.000269246-0j -2.68268e-05-0j -0.000164879-0j 0.00342543-0j -3.36558e-05-0j -0.00157649-0j -4.47114e-06-0j -1.98319e-06-0j 0.00200197-0j -2.738e-06-0j 0.000570905-0j 0.000349607-0j -5.58893e-07-0j -0.000262748-0j 7.13632e-05-0j -0.000160899-0j -3.29331e-08-0j 0.000333662-0j -3.28435e-05-0j 0.000204325-0j 4.20511e-06-0j -1.93532e-06-0j 4.17077e-05-0j 2.45765e-06-0j 0.316782-0j -0.000207251-0j 0.00509348-0j -0.287491-0j -0.00016922-0j -2.44248e-05-0j -0.286802-0j -3.33235e-06-0j -2.11525e-05-0j -0.0108001-0j -2.49284e-06-0j 0.406182-0j 0.000188088-0j -2.72085e-06-0j -1.13782e-07-0j -0.264745-0j 0.000187637-0j -3.92721e-07-0j 0.000153573-0j 7.06586e-06-0j -3.40107e-07-0j 2.21663e-05-0j 0.000153205-0j -4.0082e-08-0j -0.00026574-0j 5.76925e-06-0j 1.91966e-05-0j 2.21132e-05-0j -1.82948e-09-0j 0.000173206-0j 2.26234e-06-0j 8.3272e-07-0j 1.91506e-05-0j -0.000216976-0j 7.21156e-07-0j 1.03261e-07-0j 0.000141422-0j 2.25692e-06-0j -3.13178e-05-0j 8.49891e-08-0j -2.7122e-05-0j 2.04126e-05-0j 1.03014e-07-0j 3.8792e-09-0j -3.19636e-06-0j 1.76778e-05-0j -1.45893e-07-0j 2.08335e-06-0j 9.50915e-08-0j 
0.0265055-0j -0.00751833-0j 0.00190856-0j 0.000275477-0j 0.00176599-0j 0.000254899-0j 0.0012644-0j 0.000223517-0j -0.00306242-0j 1.86264e-05-0j 0.00353387-0j -0.000541365-0j -4.51138e-05-0j 0.000624706-0j 5.20588e-05-0j 0.000942362-0j 0.00015706-0j -0.0021519-0j 9.61794e-05-0j 0.000673256-0j 1.96325e-05-0j 0.000881007-0j -0.00035865-0j 1.15686e-06-0j 0.000461712-0j -0.000219627-0j 0.000112209-0j 6.87139e-05-0j -4.48312e-05-0j 0.000146834-0j 1.40262e-05-0j 8.99174e-05-0j -2.6417e-06-0j 7.6952e-05-0j 1.83543e-05-0j 4.71233e-05-0j 8.265e-07-0j 1.08154e-06-0j 9.619e-06-0j 5.66805e-07-0j -0.184789-0j 0.000120896-0j 0.40857-0j -0.170437-0j 9.87115e-05-0j 1.42478e-05-0j -0.157706-0j -0.000267302-0j 1.23389e-05-0j 0.291896-0j 1.45416e-06-0j -0.476353-0j 0.000111507-0j -0.000218252-0j 6.63729e-08-0j 0.509298-0j 0.000103177-0j -3.15019e-05-0j 9.10447e-05-0j -0.00019097-0j -2.72814e-05-0j 1.31412e-05-0j 8.42439e-05-0j -3.21515e-06-0j 0.000311649-0j -0.000155926-0j 1.13806e-05-0j 1.21596e-05-0j -1.46751e-07-0j -0.000333203-0j 1.34121e-06-0j -2.2506e-05-0j 1.05305e-05-0j 0.00025446-0j -1.94908e-05-0j 6.12178e-08-0j -0.000272059-0j 1.24103e-06-0j 3.67282e-05-0j -2.29701e-06-0j 3.18075e-05-0j -3.92683e-05-0j 5.6645e-08-0j -1.04844e-07-0j 3.74855e-06-0j -3.40074e-05-0j 1.71097e-07-0j -4.00781e-06-0j -1.82931e-07-0j 
-0.00592558-0j 0.0406203-0j -0.000426678-0j 0.0058879-0j -0.000431099-0j 0.00594891-0j 0.000563841-0j -0.00471483-0j -0.000349786-0j -0.00119532-0j -0.000204042-0j 0.00292491-0j 0.000741533-0j 0.0017062-0j 0.000432561-0j 0.0412684-0j 0.00166091-0j -0.0960374-0j -2.15019e-05-0j 0.0294835-0j 0.000419616-0j 0.0421281-0j -0.00386517-0j 4.97109e-05-0j 0.017377-0j 5.0038e-05-0j 0.00118661-0j -1.53617e-05-0j -0.000976507-0j 0.00169551-0j 0.000299788-0j -2.19499e-05-0j -0.000115684-0j 0.000699362-0j 0.000428358-0j -9.05385e-06-0j 3.55152e-05-0j 5.07465e-05-0j 0.000176689-0j 2.09319e-05-0j -0.000167484-0j -0.250436-0j -0.000189193-0j 0.000308132-0j -2.2068e-05-0j 0.000304525-0j 0.000311325-0j -0.282898-0j 0.000130484-0j -0.000135166-0j 4.67832e-05-0j -0.000111507-0j 0.460745-0j -2.49284e-05-0j 3.56881e-06-0j -3.56269e-05-0j 0.46552-0j 0.000343997-0j 4.06e-05-0j -0.202112-0j 0.000147397-0j -0.000560255-0j 4.10207e-05-0j 5.28472e-05-0j -0.166734-0j -1.78097e-05-0j -0.00024006-0j -0.000566061-0j 4.0314e-06-0j -0.0532723-0j -8.60703e-05-0j 0.000245764-0j -0.000242548-0j -1.46923e-05-0j 0.000105306-0j -6.56579e-06-0j -4.69425e-06-0j -8.69622e-05-0j 0.000202745-0j 3.77559e-05-0j 8.68727e-05-0j 6.47779e-05-0j -6.63383e-06-0j 2.88017e-06-0j 3.1147e-05-0j 2.77563e-05-0j 2.37602e-06-0j 9.95162e-06-0j 7.5915e-07-0j 
-0.00483821-0j -0.000701153-0j 0.0335191-0j -5.02844e-05-0j 0.0338665-0j -5.08055e-05-0j -0.0670949-0j -0.00783022-0j 0.0416233-0j 6.78195e-06-0j 0.0242802-0j 0.00485759-0j -4.20728e-06-0j 0.00283359-0j -2.45424e-06-0j -0.000172015-0j 0.00417825-0j 0.000400304-0j 0.00339586-0j -0.000122894-0j 0.000344797-0j -0.000175599-0j -0.00972339-0j -2.11169e-07-0j -7.24308e-05-0j -0.00790267-0j 0.00298509-0j 0.00242612-0j -0.000802393-0j 0.0042653-0j 0.000246335-0j 0.00346661-0j 4.9142e-07-0j 0.00175935-0j 0.00035198-0j 0.0014299-0j -1.50866e-07-0j -2.15568e-07-0j 0.000145185-0j -8.89172e-08-0j -0.00013675-0j -2.2068e-05-0j -0.000154476-0j 0.000251589-0j -0.252658-0j 0.000379031-0j 0.000254196-0j -2.49284e-05-0j 0.000435658-0j -0.000110363-0j 2.55387e-05-0j -9.10447e-05-0j 4.06e-05-0j -0.285408-0j -1.21155e-08-0j -2.90892e-05-0j 4.10207e-05-0j 0.000428161-0j 0.464833-0j -1.78097e-05-0j 0.000492128-0j -0.00069733-0j 0.46965-0j 2.8849e-05-0j -1.46923e-05-0j -0.203905-0j -0.000801511-0j -0.000704557-0j -1.36859e-08-0j -4.69425e-06-0j -4.69853e-05-0j 0.000305893-0j -0.000809817-0j -0.168213-0j 0.000351594-0j 2.22897e-08-0j -0.053745-0j -4.74722e-05-0j 0.000252349-0j 2.06107e-05-0j 0.00029005-0j 8.06268e-05-0j 2.25206e-08-0j -9.77766e-09-0j 1.7003e-05-0j 9.26723e-05-0j -8.06615e-09-0j 5.43254e-06-0j -2.57718e-09-0j 
0.00733253-0j -0.000715464-0j -0.000519517-0j 0.00716903-0j -0.000518272-0j 0.00715184-0j 0.000349786-0j -0.00292491-0j -6.06212e-06-0j -0.000741533-0j -0.000494197-0j 5.06914e-05-0j 1.28515e-05-0j 0.00413247-0j 0.00104768-0j -0.051067-0j -0.00205527-0j -0.000848025-0j 2.66072e-05-0j 0.108282-0j -0.000519248-0j -0.0498344-0j -3.41301e-05-0j -6.1514e-05-0j 0.0632844-0j 4.41843e-07-0j 0.00435796-0j -5.64175e-05-0j -8.62271e-06-0j -0.00200566-0j 0.00110101-0j 2.5965e-05-0j -1.02151e-06-0j 0.00254698-0j -0.000506716-0j -3.29728e-05-0j 0.000130433-0j -6.00293e-05-0j 0.000643475-0j 7.62308e-05-0j 0.000207251-0j 0.309899-0j 3.33235e-06-0j -0.000188088-0j 2.73077e-05-0j -0.00037683-0j -0.000187637-0j 0.00498281-0j -0.000161466-0j -7.06586e-06-0j -5.78913e-05-0j 0.00026574-0j -0.281245-0j 4.39076e-07-0j -4.41618e-06-0j -0.000173206-0j -0.28057-0j -6.05899e-06-0j -2.47827e-05-0j -0.0105655-0j -2.59618e-06-0j 0.000341987-0j -2.47233e-05-0j -9.30823e-07-0j 0.397357-0j -9.31009e-07-0j 0.000146536-0j 0.000341167-0j -7.10069e-08-0j -0.258993-0j 5.25384e-05-0j 1.28474e-05-0j 0.000146185-0j 3.50143e-05-0j 5.50489e-06-0j 4.00784e-06-0j -2.2822e-05-0j 5.24124e-05-0j -0.000483177-0j 1.9737e-06-0j -0.000207033-0j 0.000314929-0j 3.99823e-06-0j 1.50562e-07-0j -7.4229e-05-0j 0.000134942-0j -5.66249e-06-0j 4.83816e-05-0j 3.69074e-06-0j 
0.000698336-0j -0.0096755-0j 5.02844e-05-0j 0.0324724-0j 5.08055e-05-0j 0.0328089-0j 0.00968432-0j 0.00112304-0j -0.0060078-0j -0.0134206-0j -0.00350455-0j -0.000696695-0j 0.00832564-0j -0.000406405-0j 0.00485663-0j 2.48282e-05-0j 0.0576574-0j -5.77789e-05-0j 2.53402e-06-0j 1.77382e-05-0j 0.00231423-0j 2.53455e-05-0j -0.134177-0j 0.000841608-0j 1.04545e-05-0j -5.89704e-06-0j 0.0411924-0j 1.81039e-06-0j -0.00538555-0j 0.0588586-0j 0.00165337-0j 2.58681e-06-0j -0.00195854-0j 0.0242779-0j 0.00236244-0j 1.06701e-06-0j 0.000601274-0j 0.000859141-0j 0.000974459-0j 0.000354378-0j 1.97382e-05-0j -0.000304525-0j 2.22967e-05-0j -3.63137e-05-0j -0.000379031-0j -0.244769-0j -3.669e-05-0j -0.000343997-0j -3.10804e-05-0j 1.59295e-05-0j 0.000525264-0j 1.31412e-05-0j 0.000560255-0j -0.000428161-0j 8.07569e-05-0j 4.19867e-06-0j 0.000566061-0j -0.276496-0j 0.00069733-0j -0.000245764-0j -3.51091e-05-0j 0.450318-0j 0.000704557-0j 0.000593348-0j -0.000202745-0j -0.000305893-0j 5.71808e-05-0j 0.454985-0j 9.12246e-05-0j -6.47779e-05-0j -0.000966364-0j -0.197538-0j 5.77734e-05-0j -0.000252349-0j -2.50831e-05-0j -0.000148574-0j -8.06268e-05-0j -0.000976378-0j -0.162961-0j 0.000423908-0j -2.06925e-05-0j -0.0520667-0j -0.000150114-0j 6.5174e-05-0j 0.000349707-0j -6.61137e-06-0j 5.37658e-05-0j 0.000111733-0j 1.71784e-05-0j 
-0.00427731-0j -0.0573905-0j -0.000307992-0j 0.00425011-0j -0.000284986-0j 0.00393264-0j -0.000204042-0j 0.0017062-0j 0.000494197-0j 0.000432561-0j -0.000570276-0j -0.00413247-0j -0.00104768-0j 0.00476864-0j 0.00120896-0j 0.0297891-0j 0.00119891-0j -0.0680238-0j -1.55209e-05-0j 0.0212823-0j 0.000302895-0j 0.0278496-0j -0.00273772-0j 3.58832e-05-0j 0.0145952-0j 3.54422e-05-0j 0.00085654-0j -1.10887e-05-0j -0.000691665-0j 0.00112085-0j 0.000216399-0j -1.45104e-05-0j -8.19398e-05-0j 0.000587407-0j 0.000283174-0j -7.60449e-06-0j 2.56362e-05-0j 3.35469e-05-0j 0.000148404-0j 1.7581e-05-0j -0.000120896-0j -0.180774-0j 0.000267302-0j -0.000111507-0j -1.59295e-05-0j 0.000219818-0j -0.000103177-0j 0.399693-0j 9.41882e-05-0j 0.00019097-0j 3.37699e-05-0j -0.000311649-0j -0.166734-0j 3.52202e-05-0j 2.5761e-06-0j 0.000333203-0j -0.154279-0j -0.000486018-0j -1.46923e-05-0j 0.285555-0j -0.000208251-0j 0.000202745-0j -1.35948e-05-0j -7.46654e-05-0j -0.466004-0j 2.51625e-05-0j 8.68727e-05-0j 0.0001876-0j -5.69578e-06-0j 0.498233-0j 3.1147e-05-0j -0.000347228-0j 8.03836e-05-0j -4.10634e-05-0j -0.000148781-0j 2.37602e-06-0j 4.39033e-05-0j 2.88204e-05-0j 0.00056665-0j -5.33435e-05-0j 0.0002428-0j -0.00060584-0j 2.19854e-06-0j -4.06926e-06-0j 8.70526e-05-0j -0.000259592-0j 6.64073e-06-0j -9.30733e-05-0j -7.1e-06-0j 
0.000604777-0j -0.00414579-0j -0.00842332-0j -0.000600931-0j -0.00851061-0j -0.000607158-0j -5.75468e-05-0j -0.0930785-0j 3.56999e-05-0j 0.000121997-0j 2.0825e-05-0j 0.0577426-0j -7.56824e-05-0j 0.0336832-0j -4.41481e-05-0j 2.15019e-05-0j -0.000169516-0j -5.0038e-05-0j 0.0406279-0j 1.53617e-05-0j 0.00828392-0j 2.19499e-05-0j 0.000394488-0j -5.07359e-06-0j 9.05385e-06-0j -0.0945469-0j -0.000121108-0j 0.029026-0j -0.0192779-0j -0.000173047-0j 0.00591832-0j 0.0414743-0j 1.1807e-05-0j -7.13784e-05-0j 0.0084565-0j 0.0171073-0j -3.62475e-06-0j -5.17929e-06-0j 0.00348813-0j -2.13635e-06-0j 1.70938e-05-0j -0.000130484-0j 1.93095e-05-0j -3.14486e-05-0j -0.000435658-0j -3.10804e-05-0j -3.17745e-05-0j -0.000147397-0j -0.24655-0j 1.37954e-05-0j 0.000923578-0j 1.13806e-05-0j 0.00024006-0j -0.000492128-0j -3.6424e-07-0j 3.63615e-06-0j 0.000242548-0j -3.51091e-05-0j 0.000801511-0j -0.000105306-0j -0.278507-0j 5.71808e-05-0j 0.000809817-0j 0.00104329-0j -8.68727e-05-0j -0.000351594-0j 0.453594-0j 5.77734e-05-0j -4.11453e-07-0j -2.77563e-05-0j -0.00169917-0j -2.50831e-05-0j 0.458295-0j -0.00029005-0j -0.198975-0j 6.70118e-07-0j -9.26723e-05-0j -0.00171678-0j -2.06925e-05-0j 0.000745364-0j -0.164146-0j -6.61137e-06-0j 6.77062e-07-0j -2.93956e-07-0j 0.000614894-0j -0.0524455-0j -2.42502e-07-0j 0.000196462-0j -7.74804e-08-0j 
0.00598698-0j 1.23497e-05-0j 0.0408124-0j -6.12257e-05-0j 0.0407146-0j -6.10789e-05-0j -0.0416233-0j -0.00485759-0j 0.00072137-0j 4.20728e-06-0j 0.0588076-0j 8.41865e-05-0j -7.2916e-08-0j 0.00686305-0j -5.94426e-06-0j 0.000212858-0j -0.00517032-0j 3.53475e-06-0j -0.00420217-0j -0.00045134-0j -0.000426665-0j 0.00020772-0j -8.5859e-05-0j 2.61308e-07-0j -0.000263783-0j -6.97818e-05-0j 0.0109631-0j 0.00891021-0j -7.08525e-06-0j -0.00504553-0j 0.000904693-0j -0.00410074-0j 4.33931e-09-0j 0.00640728-0j -0.000416366-0j 0.00520751-0j -5.54072e-07-0j 2.55001e-07-0j 0.000528741-0j -3.23824e-07-0j 0.00016922-0j 2.73077e-05-0j 2.72085e-06-0j -0.000153573-0j 0.312649-0j -0.000469027-0j -0.000153205-0j 4.39076e-07-0j -0.0005391-0j -5.76925e-06-0j -3.16025e-05-0j 0.000216976-0j -2.47827e-05-0j 0.00502703-0j 1.49921e-08-0j -0.000141422-0j -2.47233e-05-0j -7.54141e-06-0j -0.28374-0j -9.31009e-07-0j -8.66809e-06-0j 0.000425659-0j -0.28306-0j -5.08131e-07-0j 3.50143e-05-0j -0.0106592-0j 0.000489252-0j 0.000424639-0j 2.41056e-10-0j -2.2822e-05-0j 2.86804e-05-0j 1.59907e-05-0j 0.000488079-0j 0.400883-0j 1.83797e-05-0j -1.36059e-08-0j -0.261291-0j 2.86117e-05-0j -0.000601394-0j 1.07743e-06-0j -0.000691241-0j 0.000391981-0j -1.35733e-08-0j -5.1113e-10-0j -4.05212e-05-0j 0.000450543-0j 1.92231e-08-0j 2.64113e-05-0j -1.25294e-08-0j 
-7.12736e-05-0j 0.00148642-0j 0.000493783-0j -0.0101558-0j 0.0004989-0j -0.0102611-0j 6.78195e-06-0j 0.0165998-0j -4.20728e-06-0j -0.0634029-0j -2.45424e-06-0j -0.0102979-0j 0.0393329-0j -0.0060071-0j 0.0229442-0j -2.53402e-06-0j 6.07775e-05-0j 5.89704e-06-0j 5.00258e-05-0j -1.81039e-06-0j 0.0696378-0j -2.58681e-06-0j -0.000141438-0j 0.00815435-0j -1.06701e-06-0j -0.000116417-0j 4.34216e-05-0j 3.57402e-05-0j -0.162057-0j 6.20437e-05-0j 0.0497516-0j 5.1068e-05-0j -0.0189764-0j 2.55917e-05-0j 0.0710886-0j 2.10645e-05-0j 0.00582575-0j 0.00832424-0j 0.0293225-0j 0.00343357-0j -2.01452e-06-0j 4.67832e-05-0j -2.27564e-06-0j 3.70625e-06-0j 2.55387e-05-0j -0.000525264-0j 3.74466e-06-0j 5.28472e-05-0j -0.000923578-0j -1.6258e-06-0j -0.238755-0j -1.34121e-06-0j -8.60703e-05-0j 2.8849e-05-0j 0.00118197-0j -4.28525e-07-0j -8.69622e-05-0j -0.000593348-0j -4.69853e-05-0j 3.77559e-05-0j -0.00104329-0j 0.000966364-0j -4.74722e-05-0j -0.269703-0j 3.1147e-05-0j 2.06107e-05-0j 0.00169917-0j 0.000976378-0j 0.00133518-0j 9.95162e-06-0j 0.439255-0j -0.000423908-0j 0.00171678-0j 1.7003e-05-0j -0.000745364-0j -0.00217455-0j 5.43254e-06-0j 0.443807-0j -0.000349707-0j -0.192685-0j -0.000614894-0j -0.000111733-0j -0.00219709-0j 0.000953897-0j -0.158957-0j -0.000196462-0j 0.000786925-0j -0.0507875-0j 0.000251426-0j 
