-0.35418-0j -0.41321-0j 0.750996-0j 0.355759-0j -0.149135-0j -0.045438-0j -0.0513277-0j 0.0412366-0j -0.0423432-0j 0.108834-0j 0.0297662-0j -0.00966548-0j -0.0291464-0j -0.00420692-0j -0.0322591-0j -0.00465621-0j 0.025094-0j -0.0170021-0j 0.00362201-0j -0.0257674-0j -0.00245404-0j -0.0037192-0j 0.0292763-0j 0.0520912-0j 0.00422567-0j -0.0173563-0j 0.00751872-0j 0.0546367-0j -0.00250516-0j 0.00788613-0j 0.0105664-0j 0.00152513-0j -0.00280144-0j -0.000404353-0j -0.0218946-0j -0.00387046-0j -0.000322538-0j -0.0238939-0j -0.00422389-0j -0.000351991-0j 0.0182113-0j -0.0187-0j -0.0168956-0j 0.00321933-0j 0.000268277-0j -0.00330572-0j -0.00298674-0j 0.0205718-0j -0.000275477-0j -0.0139381-0j -0.000248895-0j -0.0121959-0j 0.0358251-0j 0.00363662-0j -0.00246394-0j 0.0169709-0j 0.000303052-0j -0.00215595-0j 0.00633304-0j 0.0427039-0j -0.000205328-0j -0.00711426-0j -0.000179662-0j 0.000527753-0j 0.00300006-0j 0.0258599-0j 0.00754905-0j 0.000250005-0j -0.00125763-0j 0.00387387-0j 0.000629088-0j 0.00457143-0j -0.000104803-0j -0.000868031-0j 0.000684809-0j 0.000380952-0j 5.70674e-05-0j -0.000153448-0j -1.27873e-05-0j 
0.0026029-0j 0.00303672-0j 0.00174124-0j -0.00788613-0j 0.00109601-0j -0.0319252-0j -0.0360634-0j 0.0873922-0j -0.0297508-0j -0.024125-0j 0.063083-0j -0.00679107-0j 0.0002142-0j 0.138325-0j 0.000237075-0j 0.153097-0j -0.000556261-0j 0.00012495-0j -0.359219-0j 0.000189367-0j 0.0806894-0j 0.122288-0j -0.000648971-0j 0.00098281-0j -0.419089-0j 0.000127553-0j 0.634674-0j 0.000126679-0j 0.0823705-0j 0.0818061-0j -0.000234226-0j -0.151257-0j 2.0588e-05-0j 0.0132952-0j 0.000160905-0j -0.00271942-0j 0.0324976-0j 0.000175599-0j -0.00296775-0j 0.0354652-0j -0.000403691-0j 0.000137428-0j 0.000124167-0j 0.00682268-0j -0.0815324-0j -0.00232263-0j -0.00209852-0j -0.000456017-0j 0.0277559-0j 0.000102433-0j 0.0250777-0j 8.96286e-05-0j 8.30629e-05-0j 0.00770704-0j -0.00173119-0j -0.000376195-0j -0.0921006-0j -0.00151479-0j -0.00140383-0j 0.000805699-0j 0.020688-0j 5.22833e-05-0j 0.018102-0j 0.016776-0j 0.00635798-0j 5.9958e-05-0j -0.0136169-0j -0.0759791-0j -0.000883627-0j -8.58723e-05-0j 0.162725-0j -0.00101334-0j 0.0105595-0j 6.37924e-06-0j 0.00145131-0j 0.0121096-0j -0.0173434-0j -0.000107814-0j 0.0012884-0j 
-0.0037192-0j 0.00421555-0j 0.00788613-0j -0.00373427-0j -0.00747742-0j 0.045617-0j -0.0500629-0j -0.041399-0j -0.0424927-0j 0.106153-0j -0.0273676-0j 0.102635-0j -0.000306063-0j -0.197648-0j 0.000329106-0j 0.212529-0j 0.000263509-0j -0.000178537-0j 0.170168-0j 0.000270471-0j -0.115295-0j 0.174663-0j -0.000298676-0j 0.000547004-0j -0.192877-0j -0.000166913-0j 0.353242-0j -0.000573502-0j -0.107788-0j -0.370353-0j 0.000529783-0j 0.34212-0j -0.000539015-0j -0.348082-0j -0.000229913-0j 0.0038857-0j -0.0464349-0j 0.000243765-0j -0.00411981-0j 0.0492326-0j 0.000191235-0j 0.000196287-0j -0.000177419-0j -0.00323201-0j 0.0386232-0j -0.00331739-0j 0.00299851-0j -0.000209873-0j 0.0396435-0j 0.000142196-0j -0.0358328-0j -0.000117286-0j 0.000376195-0j 0.00354701-0j -0.00240322-0j -0.000178137-0j -0.0423875-0j 0.00198222-0j -0.00635798-0j -0.000435663-0j 0.028719-0j -0.000356698-0j -0.0236879-0j 0.0759791-0j 0.00301065-0j 0.000248691-0j 0.00736304-0j -0.0359779-0j 0.00602847-0j 0.000430264-0j -0.0879897-0j -0.00420306-0j -0.0720414-0j -0.000255333-0j -0.00727178-0j 0.0502274-0j 0.0868992-0j 0.00431533-0j -0.051569-0j 
-0.0106285-0j 0.0364938-0j -0.00759337-0j -0.0518051-0j 0.0631189-0j -0.00136354-0j 0.00453315-0j -0.00125763-0j -0.00606704-0j 0.00323864-0j -0.00105631-0j 0.00542151-0j 0.0841534-0j -0.000126245-0j -0.274119-0j 0.000411226-0j 0.0736342-0j 0.0490895-0j -0.000110464-0j 0.355224-0j -7.36427e-05-0j -0.000532897-0j -0.252829-0j 0.0303726-0j 0.000379287-0j 0.0583096-0j -4.55641e-05-0j 0.253784-0j -8.74744e-05-0j -0.00038072-0j -0.437287-0j 0.000656006-0j 0.262043-0j -0.00039311-0j -0.000657031-0j 0.011175-0j -9.67897e-06-0j 0.00211026-0j -0.0358921-0j 3.10871e-05-0j -0.000555408-0j -0.00267938-0j -0.000507016-0j 0.00944659-0j -8.18193e-06-0j 0.045572-0j 0.00862352-0j 0.00184648-0j -3.9471e-05-0j 0.00123099-0j -7.46905e-06-0j -0.000425851-0j -0.00036223-0j -0.0314056-0j -0.0209371-0j -0.00247128-0j 2.72012e-05-0j 0.00724305-0j 0.00616094-0j 0.000761634-0j 1.81341e-05-0j 0.00301099-0j -6.27338e-06-0j -5.33614e-06-0j 0.0420324-0j -0.000304243-0j -0.0129542-0j -3.64053e-05-0j -0.051212-0j 0.00220833-0j 1.12199e-05-0j 0.00517468-0j 4.4356e-05-0j -0.00538743-0j -0.0375602-0j -4.48192e-06-0j 3.25318e-05-0j 0.0916316-0j -7.93644e-05-0j 
0.00153409-0j -0.00526742-0j 0.00109601-0j 0.00747742-0j -0.00911043-0j -0.018816-0j 0.0625548-0j -0.0173546-0j -0.0837216-0j 0.0446913-0j -0.0145764-0j 0.0748137-0j 0.000126245-0j 0.0815256-0j -0.000411226-0j -0.26556-0j 0.000110464-0j 7.36427e-05-0j 0.0713349-0j 0.000532897-0j 0.0475566-0j 0.344132-0j -0.000379287-0j 4.55641e-05-0j -0.244934-0j 8.74744e-05-0j 0.0294241-0j 0.00038072-0j 0.0564888-0j 0.24586-0j -0.000656006-0j -0.423633-0j 0.00039311-0j 0.253861-0j 9.48342e-05-0j -0.00160277-0j 0.0191534-0j -0.00030459-0j 0.0051478-0j -0.0615172-0j 8.01662e-05-0j 0.000386735-0j 7.31814e-05-0j -0.00135487-0j 0.016191-0j -0.00653612-0j -0.00123682-0j -0.000266516-0j 0.0781079-0j -0.000177677-0j 0.0147803-0j 6.14664e-05-0j 5.22833e-05-0j 0.00450432-0j 0.00300288-0j 0.000356698-0j -0.0538276-0j -0.00103883-0j -0.000883627-0j -0.000109932-0j -0.035885-0j -0.000434598-0j 0.0124142-0j 0.0105595-0j -0.00602847-0j 4.39137e-05-0j 0.00185794-0j 0.0720414-0j 0.00734504-0j -0.000318746-0j -0.0222027-0j -0.000742174-0j -0.0877747-0j 0.000777609-0j 0.00538704-0j 0.00886913-0j -0.0643762-0j -0.0131422-0j 0.157052-0j 
0.0183183-0j 0.0213714-0j 0.0130873-0j 0.0187-0j 0.00771334-0j -0.00952785-0j 0.00265469-0j 0.00216755-0j 0.00219001-0j 0.0018966-0j 0.00156462-0j 0.000499903-0j 0.00150747-0j 0.000217584-0j -0.00676439-0j -0.000976356-0j 0.00131903-0j 0.000879355-0j 0.000190386-0j 0.0013327-0j 0.000126924-0j 0.000192359-0j 0.00153887-0j 0.000544073-0j 0.000222117-0j 0.000897675-0j 7.85302e-05-0j 0.000952128-0j 0.000129568-0j 0.000137428-0j 0.000555408-0j 8.01662e-05-0j 0.000144892-0j 2.09133e-05-0j -0.165036-0j 0.000200182-0j 1.66818e-05-0j -0.180106-0j 0.000218462-0j 1.82051e-05-0j 0.565612-0j 0.571473-0j -0.127355-0j -0.000686063-0j -5.7172e-05-0j -0.000693173-0j 0.000154476-0j -0.157593-0j -5.77644e-05-0j -0.105062-0j 1.2873e-05-0j -0.0919294-0j -0.0909865-0j 0.000191154-0j 0.000127436-0j -0.130008-0j 1.59295e-05-0j 0.000111507-0j 0.000110363-0j -0.0650039-0j 1.06197e-05-0j -0.0536255-0j 9.29221e-06-0j 9.1969e-06-0j 0.000157694-0j -0.0656775-0j 7.8847e-05-0j 1.31412e-05-0j 6.50455e-05-0j -0.0296763-0j 6.57058e-06-0j 7.96641e-05-0j 5.42046e-06-0j -0.006543-0j 3.59961e-05-0j 6.63867e-06-0j 2.99967e-06-0j 7.93639e-06-0j 6.61366e-07-0j 
-0.00323826-0j -0.00377796-0j -0.00231352-0j -0.00330572-0j -0.00136354-0j -0.0796718-0j 0.0221985-0j 0.018125-0j 0.0183128-0j 0.0158594-0j 0.0130833-0j 0.00418018-0j 0.0256396-0j 0.00367733-0j -0.115051-0j -0.0165011-0j 0.0224346-0j 0.0149564-0j 0.00321766-0j 0.0226671-0j 0.00214511-0j 0.00325101-0j 0.0261737-0j 0.00925381-0j 0.00375394-0j 0.015268-0j 0.00132722-0j 0.0161942-0j 0.0021898-0j 0.00232263-0j 0.00944659-0j 0.00135487-0j 0.00246438-0j 0.000353451-0j -0.000200182-0j -0.161054-0j 0.000424377-0j -0.000218462-0j -0.175761-0j 0.00046313-0j 0.000686063-0j 0.000693173-0j -0.000154476-0j 0.551966-0j -0.00145443-0j 0.557686-0j -0.124282-0j -0.000191154-0j -0.0014695-0j -0.000127436-0j 0.000327482-0j -0.000111507-0j -0.000110363-0j -0.153791-0j -0.102527-0j -0.000157694-0j 0.000405239-0j -0.0897115-0j -0.0887913-0j -7.8847e-05-0j 0.000270159-0j -6.50455e-05-0j 0.000236389-0j 0.000233965-0j -0.126871-0j -7.96641e-05-0j -0.0634356-0j 0.000334305-0j -0.0523317-0j -3.59961e-05-0j 0.000167152-0j -0.064093-0j 0.000137894-0j -7.93639e-06-0j -0.0289603-0j 0.000168885-0j 7.63102e-05-0j -0.00638514-0j 1.68248e-05-0j 
0.000269855-0j 0.00031483-0j 0.000192793-0j 0.000275477-0j 0.000113628-0j 0.0201987-0j -0.00562784-0j -0.00459511-0j -0.00464273-0j -0.00402072-0j -0.00331693-0j -0.00105977-0j 2.22071e-05-0j 0.0439448-0j -9.96489e-05-0j -0.197192-0j 1.94312e-05-0j 1.29541e-05-0j 0.0384517-0j 1.96325e-05-0j 0.0256345-0j 0.0388502-0j 2.26697e-05-0j 8.01495e-06-0j 0.0448604-0j 1.3224e-05-0j 0.0158605-0j 1.40262e-05-0j 0.0261685-0j 0.0277559-0j 8.18193e-06-0j 0.016191-0j 2.13446e-06-0j 0.00422381-0j 1.66818e-05-0j -0.000424377-0j -0.155954-0j 1.82051e-05-0j -0.00046313-0j -0.170196-0j -5.7172e-05-0j -5.77644e-05-0j 1.2873e-05-0j 0.00145443-0j 0.534487-0j 0.0014695-0j -0.000327482-0j 1.59295e-05-0j 0.540026-0j 1.06197e-05-0j -0.120347-0j 9.29221e-06-0j 9.1969e-06-0j -0.000405239-0j -0.000270159-0j 1.31412e-05-0j -0.148921-0j -0.000236389-0j -0.000233965-0j 6.57058e-06-0j -0.0992808-0j 5.42046e-06-0j -0.0868707-0j -0.0859797-0j -0.000334305-0j 6.63867e-06-0j -0.000167152-0j -0.122854-0j -0.000137894-0j 2.99967e-06-0j -0.0614269-0j -0.000168885-0j -0.0506746-0j 6.61366e-07-0j -7.63102e-05-0j -0.0620634-0j -0.0280432-0j -1.68248e-05-0j -0.00618295-0j 
0.0624527-0j -0.000343627-0j -0.0147836-0j 0.0205225-0j 0.0256434-0j -0.00265469-0j 0.000128825-0j -0.0024485-0j 0.00240345-0j -3.04951e-05-0j 0.00345938-0j 0.00221861-0j -0.00170286-0j -0.000245787-0j -2.68268e-05-0j -3.87212e-06-0j 0.00449698-0j -0.000993337-0j 0.000649083-0j -0.00441423-0j -0.000143376-0j -0.00063714-0j -2.47432e-05-0j -0.000614596-0j -3.57138e-06-0j 0.00198476-0j -8.87093e-05-0j 0.00104492-0j 0.000286476-0j 0.000150822-0j 0.00184648-0j 0.000266516-0j 0.000804385-0j 0.000116103-0j 0.186428-0j -0.000226129-0j -1.88441e-05-0j 0.0028959-0j -3.51261e-06-0j -2.92717e-07-0j 0.157593-0j -0.154694-0j -0.43419-0j -0.000191154-0j -1.59295e-05-0j 0.000187637-0j 0.000526654-0j -0.00764759-0j 1.56364e-05-0j 0.00168927-0j 4.38879e-05-0j 0.613446-0j 0.10278-0j 9.27621e-06-0j -2.04902e-06-0j -0.142679-0j 7.73017e-07-0j -0.000744085-0j -0.000124668-0j 0.00104519-0j -1.70752e-07-0j -0.17828-0j -6.20071e-05-0j -1.0389e-05-0j 0.000173063-0j -0.145213-0j -1.26777e-06-0j 1.44219e-05-0j 0.000216247-0j -0.131706-0j -1.05647e-07-0j 0.000176138-0j 1.80205e-05-0j -0.0436102-0j 0.000159754-0j 1.46781e-05-0j 1.33128e-05-0j 5.28974e-05-0j 4.40811e-06-0j 
-0.0168956-0j 0.0393184-0j 0.0358251-0j 0.0169709-0j -0.00711426-0j -0.00216755-0j -0.0024485-0j -0.00392382-0j 0.00402911-0j 0.00519177-0j 0.00141995-0j -0.000461076-0j -0.00139038-0j -0.000200684-0j -0.00153887-0j -0.000222117-0j 0.00119707-0j 0.00404668-0j 0.000172782-0j -0.00122919-0j 0.000584087-0j -0.000177419-0j -0.00278575-0j 0.00248493-0j -0.000402089-0j 0.00165151-0j 0.000358668-0j 0.00260636-0j 0.000238376-0j 0.000376195-0j 0.000504052-0j 7.27537e-05-0j -0.000133638-0j -1.9289e-05-0j 0.152218-0j -0.000184634-0j -1.53862e-05-0j 0.166118-0j -0.000201494-0j -1.67912e-05-0j -0.12661-0j 0.130008-0j -0.234303-0j 0.000153573-0j 1.27977e-05-0j -0.000157694-0j 0.0002842-0j -0.143021-0j -1.31412e-05-0j -0.483482-0j 2.36833e-05-0j 0.0847893-0j 0.496812-0j 0.000173479-0j 0.000586444-0j 0.235347-0j 1.44566e-05-0j -0.000102846-0j -0.000602612-0j -0.29689-0j 4.88703e-05-0j -0.0986585-0j -8.57049e-06-0j -5.02177e-05-0j -0.000285467-0j -0.179786-0j 0.000360116-0j -2.37889e-05-0j 0.000119669-0j -0.0269323-0j 3.00096e-05-0j 0.000218073-0j 9.97239e-06-0j 0.00603481-0j 3.26677e-05-0j 1.81727e-05-0j 2.72231e-06-0j -7.31998e-06-0j -6.09998e-07-0j 
-0.0110402-0j 6.07452e-05-0j 0.0026134-0j -0.0036279-0j -0.00453315-0j -0.0221985-0j 0.00107724-0j -0.0204744-0j 0.0200976-0j -0.000255-0j 0.0289273-0j 0.018552-0j -0.028963-0j -0.00415399-0j -0.000456281-0j -6.54418e-05-0j 0.0764863-0j -0.0168951-0j 0.01097-0j -0.075079-0j -0.00242316-0j -0.0107681-0j -0.000420842-0j -0.0104533-0j -6.0359e-05-0j 0.0337576-0j -0.00149925-0j 0.0177725-0j 0.00484166-0j 0.002549-0j 0.0314056-0j 0.00450432-0j 0.0136813-0j 0.00196223-0j 0.000226129-0j 0.18193-0j -0.000479385-0j 3.51261e-06-0j 0.00282603-0j -7.44658e-06-0j 0.000191154-0j -0.000187637-0j -0.000526654-0j 0.153791-0j -0.000405239-0j -0.150961-0j -0.423715-0j -9.27621e-06-0j 0.000397783-0j 2.04902e-06-0j 0.00111649-0j 0.000744085-0j 0.000124668-0j -0.00746308-0j 0.00164852-0j -0.000173063-0j 1.96652e-05-0j 0.598646-0j 0.1003-0j 1.26777e-06-0j -4.34384e-06-0j -0.000216247-0j -0.00157743-0j -0.000264291-0j -0.139236-0j -0.000176138-0j 0.00101997-0j 0.000366887-0j -0.173979-0j -0.000159754-0j -2.68761e-06-0j -0.14171-0j 0.000458434-0j -5.28974e-05-0j -0.128528-0j 0.000373405-0j 0.000338671-0j -0.042558-0j 0.00011214-0j 
0.0170707-0j 0.038595-0j 0.0121959-0j -0.0174192-0j 0.0343204-0j 0.00219001-0j -0.00240345-0j -0.00402911-0j 0.00406922-0j -0.00171711-0j 0.0013353-0j 0.00492736-0j 0.00140479-0j 0.000202764-0j -0.00151056-0j -0.00021803-0j 0.00122919-0j -0.00408861-0j 0.000177419-0j -0.00124143-0j -0.00059014-0j -0.000179184-0j 0.00277907-0j 0.000507016-0j 0.000401125-0j -0.00152815-0j 7.31814e-05-0j -0.000886918-0j -0.00022057-0j -0.000128016-0j 0.00247128-0j 0.000356698-0j 0.00247401-0j 0.000357092-0j -0.153795-0j 0.000186547-0j 1.55456e-05-0j 0.163061-0j -0.000197787-0j -1.64822e-05-0j -0.130008-0j 0.131302-0j 0.236731-0j 0.000157694-0j 1.31412e-05-0j -0.000159264-0j -0.000287145-0j 0.142679-0j -1.3272e-05-0j -0.474586-0j -2.39287e-05-0j -0.0784558-0j 0.169129-0j -0.000173063-0j 0.000575654-0j -0.241565-0j -1.44219e-05-0j 9.51636e-05-0j -0.000205146-0j 0.0588519-0j 4.79711e-05-0j 0.475945-0j 7.9303e-06-0j -1.70955e-05-0j 0.000293008-0j -0.0560515-0j -7.1385e-05-0j 2.44174e-05-0j -0.000577302-0j -0.292508-0j -5.94875e-06-0j 6.79882e-05-0j -4.81085e-05-0j -0.1708-0j 0.0003548-0j 5.66568e-06-0j 2.95666e-05-0j 0.000207173-0j 1.72644e-05-0j 
0.000920015-0j -5.0621e-06-0j -0.000217783-0j 0.000302325-0j 0.000377762-0j 0.00562784-0j -0.000273104-0j 0.00519073-0j -0.00509522-0j 6.46485e-05-0j -0.00733374-0j -0.00470337-0j -2.50855e-05-0j -0.049641-0j -3.95197e-07-0j -0.000782042-0j 6.62467e-05-0j -1.46332e-05-0j 0.131094-0j -6.50278e-05-0j -0.0289572-0j -0.128681-0j -3.64502e-07-0j -9.05385e-06-0j -0.000721302-0j 2.92383e-05-0j -0.0179164-0j 1.53932e-05-0j 0.0578587-0j 0.0304611-0j 2.72012e-05-0j 0.0538276-0j 1.18497e-05-0j 0.023449-0j -1.88441e-05-0j 0.000479385-0j 0.176169-0j -2.92717e-07-0j 7.44658e-06-0j 0.00273655-0j -1.59295e-05-0j 1.56364e-05-0j 4.38879e-05-0j 0.000405239-0j 0.148921-0j -0.000397783-0j -0.00111649-0j 7.73017e-07-0j -0.146181-0j -1.70752e-07-0j -0.410298-0j -6.20071e-05-0j -1.0389e-05-0j -1.96652e-05-0j 4.34384e-06-0j 1.44219e-05-0j -0.00722676-0j 0.00157743-0j 0.000264291-0j -1.05647e-07-0j 0.00159632-0j 1.80205e-05-0j 0.57969-0j 0.0971244-0j -0.000366887-0j 1.46781e-05-0j 2.68761e-06-0j -0.134827-0j -0.000458434-0j 1.33128e-05-0j 0.000987672-0j -0.000373405-0j -0.16847-0j 4.40811e-06-0j -0.000338671-0j -0.137223-0j -0.124458-0j -0.00011214-0j -0.0412104-0j 
0.00298674-0j -0.00695058-0j -0.00633304-0j -0.00300006-0j 0.00125763-0j -0.018125-0j -0.0204744-0j -0.0328109-0j 0.0336914-0j 0.0434135-0j 0.0118736-0j -0.00385551-0j -0.0236482-0j -0.00339172-0j -0.0261737-0j -0.00375394-0j 0.0203602-0j 0.0688274-0j 0.00292015-0j -0.0209066-0j 0.00987152-0j -0.00299851-0j -0.0473812-0j 0.0422646-0j -0.0067956-0j 0.0280896-0j 0.00606177-0j 0.0443299-0j 0.00402873-0j 0.00635798-0j 0.00857312-0j 0.00122959-0j -0.00227297-0j -0.000325999-0j 0.000184634-0j 0.148545-0j -0.000391416-0j 0.000201494-0j 0.16211-0j -0.000427159-0j -0.000153573-0j 0.000157694-0j -0.0002842-0j -0.123556-0j 0.000325568-0j 0.126871-0j -0.22865-0j -0.000173479-0j -0.000334305-0j -0.000586444-0j 0.000602492-0j 0.000102846-0j 0.000602612-0j -0.139571-0j -0.471818-0j 0.000285467-0j 0.000367769-0j 0.0827437-0j 0.484826-0j -0.000360116-0j 0.00124324-0j -0.000119669-0j -0.000218029-0j -0.00127751-0j 0.229669-0j -0.000218073-0j -0.289727-0j -0.000605178-0j -0.0962782-0j -3.26677e-05-0j 0.00076343-0j -0.175448-0j 0.000253693-0j 7.31998e-06-0j -0.0262825-0j 0.000462305-0j 6.92542e-05-0j 0.00588921-0j -1.55181e-05-0j 
0.0147836-0j 0.000245499-0j 0.00988966-0j 0.0435156-0j -0.0183205-0j 0.0018966-0j 3.04951e-05-0j -0.00519177-0j -0.00171711-0j 2.04001e-05-0j 0.0073352-0j -0.00158505-0j 0.00121658-0j 0.000175599-0j 1.9166e-05-0j 2.76638e-06-0j -0.00315938-0j 0.000709674-0j -0.000456017-0j -0.00104492-0j 0.000102433-0j -0.000150822-0j -5.24651e-05-0j 0.00558205-0j -7.57269e-06-0j -0.00141798-0j 0.000805699-0j -0.000699013-0j -0.000204668-0j -0.000100894-0j 0.00391524-0j 0.000565116-0j -0.000574681-0j -8.2948e-05-0j -0.133191-0j 0.000161555-0j 1.34629e-05-0j -0.00206893-0j 2.50953e-06-0j 2.09127e-07-0j 0.334158-0j 0.110518-0j -0.10278-0j -0.00040532-0j -3.37766e-05-0j -0.000134054-0j 0.000124668-0j 0.00537286-0j -1.11712e-05-0j -0.00120688-0j 1.0389e-05-0j 0.145213-0j -0.0687559-0j -6.51706e-06-0j 1.46389e-06-0j -0.302533-0j -5.43089e-07-0j -0.000176138-0j 8.3398e-05-0j -0.00949286-0j 1.21991e-07-0j 0.12737-0j -1.46781e-05-0j 6.94984e-06-0j 0.00036696-0j 0.0971419-0j 1.15144e-05-0j 3.058e-05-0j -0.000154494-0j -0.279267-0j 9.59537e-07-0j -0.000117829-0j -1.28745e-05-0j 0.0311566-0j 0.000338739-0j -9.8191e-06-0j 2.82282e-05-0j -3.77917e-05-0j -3.14931e-06-0j 
-0.000248895-0j 0.000579215-0j 0.000527753-0j 0.000250005-0j -0.000104803-0j 0.00459511-0j 0.00519073-0j 0.00831834-0j -0.00854155-0j -0.0110063-0j -0.00301023-0j 0.000977463-0j -2.04823e-05-0j -0.0405317-0j -2.26697e-05-0j -0.0448604-0j 1.76345e-05-0j 5.96132e-05-0j 0.0348963-0j -1.81077e-05-0j 0.117967-0j -0.0358328-0j -4.1038e-05-0j 3.66064e-05-0j -0.0812088-0j 2.43291e-05-0j 0.0724393-0j 3.83953e-05-0j 0.0481441-0j 0.0759791-0j 7.42539e-06-0j 0.0146939-0j -1.96868e-06-0j -0.00389575-0j -1.53862e-05-0j 0.000391416-0j 0.143842-0j -1.67912e-05-0j 0.000427159-0j 0.156977-0j 1.27977e-05-0j -1.31412e-05-0j 2.36833e-05-0j -0.000325568-0j -0.119643-0j 0.000334305-0j -0.000602492-0j 1.44566e-05-0j 0.122854-0j 4.88703e-05-0j -0.22141-0j -8.57049e-06-0j -5.02177e-05-0j -0.000367769-0j -0.00124324-0j -2.37889e-05-0j -0.135151-0j 0.000218029-0j 0.00127751-0j 3.00096e-05-0j -0.456877-0j 9.97239e-06-0j 0.0801236-0j 0.469474-0j 0.000605178-0j 1.81727e-05-0j -0.00076343-0j 0.222397-0j -0.000253693-0j 2.72231e-06-0j -0.280553-0j -0.000462305-0j -0.0932296-0j -6.09998e-07-0j -6.92542e-05-0j -0.169893-0j -0.0254502-0j 1.55181e-05-0j 0.00570273-0j 
-0.00301769-0j -0.0068227-0j -0.00215595-0j 0.00307932-0j -0.00606704-0j 0.0183128-0j -0.0200976-0j -0.0336914-0j 0.0340267-0j -0.0143584-0j 0.0111658-0j 0.0412025-0j 0.0238932-0j 0.00342686-0j -0.0256921-0j -0.00368487-0j 0.0209066-0j -0.0695407-0j 0.00299851-0j -0.0211147-0j -0.00997381-0j -0.00302835-0j 0.0472676-0j 0.00862352-0j 0.00677931-0j -0.0259914-0j 0.00123682-0j -0.015085-0j -0.00372779-0j -0.00216356-0j 0.0420324-0j 0.00602847-0j 0.0420789-0j 0.00603513-0j -0.000186547-0j -0.150085-0j 0.000395473-0j 0.000197787-0j 0.159127-0j -0.0004193-0j -0.000157694-0j 0.000159264-0j 0.000287145-0j -0.126871-0j 0.000334305-0j 0.128134-0j 0.23102-0j 0.000173063-0j -0.000337632-0j -0.000575654-0j -0.000608736-0j -9.51636e-05-0j 0.000205146-0j 0.139236-0j -0.463136-0j -0.000293008-0j -0.000366887-0j -0.076563-0j 0.165048-0j 7.1385e-05-0j 0.00122036-0j 0.000577302-0j 0.000201743-0j -0.000434902-0j -0.235737-0j -6.79882e-05-0j 0.0574321-0j 0.000621166-0j 0.464463-0j -0.0003548-0j -0.000151333-0j -0.0546992-0j -0.00122386-0j -0.000207173-0j -0.285451-0j 0.000144132-0j 0.000752161-0j -0.166679-0j 0.000439199-0j 
-0.0121959-0j 0.0278494-0j 0.0258599-0j 0.0112189-0j -0.00597539-0j -0.00156462-0j 0.00345938-0j 0.00141995-0j -0.0013353-0j -0.0073352-0j 0.0039686-0j 0.00431225-0j -0.00100363-0j -0.000144862-0j 0.0021742-0j 0.000313818-0j 0.00086409-0j -0.000585451-0j 0.000124721-0j -0.00081258-0j -8.45026e-05-0j -0.000117286-0j -0.00197316-0j 0.00179372-0j -0.000284801-0j -0.00231404-0j 0.000258901-0j 0.00172298-0j -0.000334003-0j 0.000248691-0j 0.000423363-0j 6.11071e-05-0j 0.00426724-0j 0.000615923-0j 0.109877-0j -0.000133276-0j -1.11063e-05-0j -0.2347-0j 0.000284681-0j 2.37234e-05-0j -0.0913921-0j 0.085944-0j 0.0847893-0j 0.000110855-0j 9.2379e-06-0j -0.000104247-0j -0.000102846-0j 0.202068-0j -8.68721e-06-0j -0.136908-0j -8.57049e-06-0j 0.236977-0j -0.179786-0j -0.0002451-0j 0.000166064-0j -0.0779973-0j -2.0425e-05-0j -0.000287443-0j 0.000218073-0j 0.419462-0j 1.38387e-05-0j 0.0415427-0j -2.39536e-05-0j 1.81727e-05-0j 9.46075e-05-0j -0.502482-0j -0.00050879-0j 7.88396e-06-0j -5.03895e-05-0j 0.251886-0j -4.23992e-05-0j 0.00060949-0j -4.19913e-06-0j -0.428743-0j -0.000305527-0j 5.07908e-05-0j -2.54606e-05-0j 0.000520047-0j 4.33372e-05-0j 
-0.0026134-0j -4.33985e-05-0j -0.00174826-0j -0.00769254-0j 0.00323864-0j 0.0158594-0j 0.000255-0j -0.0434135-0j -0.0143584-0j 0.000170585-0j 0.0613369-0j -0.0132542-0j 0.0206921-0j 0.00296775-0j 0.000325983-0j 4.67538e-05-0j -0.053736-0j 0.0120704-0j -0.00770704-0j -0.0177725-0j 0.00173119-0j -0.002549-0j -0.000892347-0j 0.0949416-0j -0.000127984-0j -0.0241176-0j 0.0136169-0j -0.0118891-0j -0.00345905-0j -0.00170518-0j 0.066592-0j 0.00955089-0j -0.00977439-0j -0.00140188-0j -0.000161555-0j -0.129977-0j 0.000342489-0j -2.50953e-06-0j -0.00201902-0j 5.3201e-06-0j 0.00040532-0j 0.000134054-0j -0.000124668-0j 0.326096-0j -0.000859261-0j 0.107852-0j -0.1003-0j 6.51706e-06-0j -0.00028419-0j -1.46389e-06-0j 0.000264291-0j 0.000176138-0j -8.3398e-05-0j 0.00524324-0j -0.00117776-0j -0.00036696-0j -1.38159e-05-0j 0.14171-0j -0.0670971-0j -1.15144e-05-0j 3.10339e-06-0j 0.000154494-0j -0.000373405-0j 0.0001768-0j -0.295234-0j 0.000117829-0j -0.00926384-0j 0.000777941-0j 0.124297-0j -0.000338739-0j 2.44102e-05-0j 0.0947983-0j -0.000327521-0j 3.77917e-05-0j -0.272529-0j -0.000249793-0j 0.000718113-0j 0.0304049-0j -8.01169e-05-0j 
