0.018731-0j -0.0209878-0j -0.0391198-0j 0.0183735-0j 0.036975-0j 0.00241665-0j -0.00262183-0j -0.00214346-0j -0.00225028-0j 0.0054757-0j -0.00136713-0j 0.0053535-0j 0.00155896-0j 0.000225016-0j -0.00165715-0j -0.000239189-0j -0.00131177-0j 0.000909393-0j -0.000189338-0j -0.00137715-0j 0.00013126-0j -0.000198774-0j 0.00146982-0j -0.00274855-0j 0.00021215-0j 0.000820276-0j 0.00287617-0j -0.000396719-0j 0.000118397-0j 0.00041514-0j -0.00258943-0j -0.000373753-0j 0.00270639-0j 0.000390634-0j 
0.00356782-0j -0.000160183-0j 0.00254897-0j -0.00349797-0j -0.00438799-0j -0.0216486-0j -0.00048402-0j 0.0388226-0j -0.0376722-0j -0.0003458-0j 0.0279704-0j 0.0179645-0j 0.000296945-0j -0.00407431-0j 6.50495e-06-0j -8.92529e-05-0j 0.000259827-0j -0.000846799-0j -0.00356502-0j -0.000252127-0j 0.0116187-0j 0.00345938-0j -1.16654e-05-0j 0.000107173-0j 0.000160058-0j 0.0006672-0j -0.000180128-0j -0.0014705-0j -0.0091545-0j 0.0024715-0j -0.000319556-0j 0.00438455-0j -0.000139317-0j 0.00191153-0j 
6.5959e-05-0j -2.62795e-05-0j -1.60928e-05-0j -2.29945e-05-0j -9.48476e-06-0j 0.000555429-0j -0.00183724-0j 0.00051229-0j 0.000517598-0j 0.000448253-0j 0.00036979-0j 0.00011815-0j -1.87475e-06-0j -0.00738715-0j -2.07496e-06-0j -0.00817608-0j 4.80347e-06-0j -1.0936e-06-0j 0.0189274-0j 4.85325e-06-0j -0.00430917-0j 0.0191235-0j -1.9138e-06-0j -6.76632e-07-0j -0.00754105-0j -1.11639e-06-0j -1.18411e-06-0j -0.00266616-0j -0.00439895-0j -0.00466579-0j -6.90728e-07-0j -0.00272171-0j -1.80193e-07-0j -0.000710025-0j 
-0.00772616-0j 0.0263279-0j -0.00551983-0j -0.036975-0j 0.0447698-0j -0.000996816-0j 0.00328892-0j -0.000919395-0j -0.00435481-0j 0.00234972-0j -0.000812043-0j 0.00393526-0j -0.000643038-0j -9.28145e-05-0j 0.00207879-0j 0.000300048-0j -0.000562658-0j -0.000375105-0j -8.12127e-05-0j -0.00266509-0j -5.41418e-05-0j -0.000384672-0j 0.00191733-0j -0.000232085-0j 0.000276743-0j -0.000468538-0j -0.00190403-0j -3.34985e-05-0j -6.76277e-05-0j -0.000274823-0j 0.00326037-0j 0.000470594-0j -0.00189714-0j -0.000273829-0j 
0.00218483-0j 0.00254897-0j 0.00132605-0j -0.00651997-0j 0.000919972-0j -0.013257-0j -0.0149754-0j 0.0357442-0j -0.0123541-0j -0.00908908-0j 0.0258015-0j -0.00282001-0j 0.000181841-0j -0.002495-0j 0.000201261-0j -0.00276145-0j -0.000465127-0j 0.000106074-0j 0.00638191-0j 0.000160759-0j -0.00145541-0j -0.00220575-0j -0.000542648-0j 0.000808459-0j 0.00744556-0j 0.000108284-0j 9.75704e-05-0j -0.0110927-0j -0.00148574-0j -0.00133874-0j -0.000195852-0j 0.00268724-0j 1.74778e-05-0j -0.000239809-0j 
0.00218483-0j -9.80918e-05-0j 0.00156092-0j -0.00214206-0j -0.00268708-0j 0.000281884-0j 6.30234e-06-0j -0.000505504-0j 0.000490524-0j 4.50261e-06-0j -0.000364198-0j -0.000233913-0j -0.0347755-0j 2.62464e-05-0j -0.000761801-0j 5.74961e-07-0j -0.0304285-0j 0.0991695-0j 2.29656e-05-0j 0.0295269-0j -7.48472e-05-0j -2.22851e-05-0j 0.00136614-0j -0.0125511-0j -1.03108e-06-0j -0.0781364-0j 0.021095-0j 9.47284e-06-0j 5.89727e-05-0j -1.59213e-05-0j 0.0374235-0j -2.8245e-05-0j 0.0163155-0j -1.2314e-05-0j 
0.00133793-0j 0.00156092-0j 0.000812036-0j -0.00399265-0j 0.000563366-0j 0.000172618-0j 0.000194992-0j -0.00046542-0j 0.000160861-0j 0.000118348-0j -0.000335958-0j 3.67189e-05-0j -0.0212955-0j 1.60726e-05-0j -0.0235698-0j 1.77891e-05-0j 0.0544715-0j -0.0124224-0j -4.11118e-05-0j -0.0188267-0j 9.37568e-06-0j 1.42093e-05-0j 0.0635501-0j -0.0946794-0j -4.79638e-05-0j -0.0126812-0j -0.0114266-0j 7.14583e-05-0j 9.57101e-06-0j 8.62409e-06-0j 0.0229364-0j -1.73111e-05-0j -0.00204685-0j 1.54484e-06-0j 
-0.00312184-0j 0.00349797-0j 0.00651997-0j -0.00306225-0j -0.0061625-0j 0.0189426-0j -0.0205509-0j -0.0168012-0j -0.0176385-0j 0.0429205-0j -0.010716-0j 0.0419626-0j -0.000259827-0j 0.00356502-0j 0.000276192-0j -0.00378956-0j 0.000218629-0j -0.000151566-0j -0.00299976-0j 0.000229524-0j 0.0020796-0j -0.00314925-0j -0.00024497-0j 0.000458092-0j 0.00336118-0j -0.000136713-0j -0.000479362-0j -0.00628538-0j 0.0018758-0j 0.00657722-0j 0.000431572-0j -0.00592151-0j -0.000451065-0j 0.00618896-0j 
-0.000445977-0j 2.00229e-05-0j -0.000318621-0j 0.000437246-0j 0.000548499-0j 0.0054697-0j 0.000122291-0j -0.00980885-0j 0.00951819-0j 8.73692e-05-0j -0.00706694-0j -0.00453887-0j 0.0035307-0j -0.0236946-0j 7.73444e-05-0j -0.00051906-0j 0.00308936-0j -0.0100685-0j -0.0207328-0j -0.00299782-0j 0.0675701-0j 0.0201184-0j -0.000138702-0j 0.0012743-0j 0.000930835-0j 0.00793307-0j -0.00214174-0j -0.00855184-0j -0.0532391-0j 0.0143733-0j -0.00379955-0j 0.0254989-0j -0.00165649-0j 0.0111167-0j 
-0.00191173-0j 0.00214206-0j 0.00399265-0j -0.00187524-0j -0.00377374-0j -0.000246648-0j 0.00026759-0j 0.000218766-0j 0.000229669-0j -0.000558861-0j 0.000139532-0j -0.000546389-0j 0.0304285-0j -2.29656e-05-0j -0.0323451-0j 2.44121e-05-0j -0.0256038-0j 0.01775-0j 1.93242e-05-0j -0.0268798-0j -1.33966e-05-0j 2.02873e-05-0j 0.0286887-0j -0.0536476-0j -2.16525e-05-0j 0.0160106-0j 0.0561386-0j 4.049e-05-0j -1.20838e-05-0j -4.237e-05-0j -0.0505419-0j 3.8146e-05-0j 0.0528246-0j -3.98689e-05-0j 
-0.000273104-0j -0.000318621-0j -0.000165756-0j 0.000814996-0j -0.000114997-0j 0.00334949-0j 0.00378365-0j -0.00903105-0j 0.00312136-0j 0.00229643-0j -0.00651896-0j 0.000712497-0j 0.0021621-0j -0.0145099-0j 0.00239301-0j -0.0160596-0j -0.0055304-0j 0.00126123-0j 0.0371147-0j 0.00191144-0j -0.00846413-0j -0.0128278-0j -0.00645214-0j 0.00961265-0j 0.0433005-0j 0.0012875-0j 0.00116012-0j -0.0645108-0j -0.00864046-0j -0.00778561-0j -0.0023287-0j 0.015628-0j 0.000207813-0j -0.00139464-0j 
2.62795e-05-0j -1.17986e-06-0j 1.87749e-05-0j -2.5765e-05-0j -3.23206e-05-0j -0.000648001-0j -1.4488e-05-0j 0.00116206-0j -0.00112763-0j -1.03507e-05-0j 0.000837227-0j 0.000537724-0j 2.1872e-06-0j 0.00861834-0j 4.79134e-08-0j 0.000188796-0j 1.9138e-06-0j -6.23726e-06-0j 0.00754105-0j -1.85709e-06-0j -0.024577-0j -0.00731759-0j -8.59235e-08-0j 7.89404e-07-0j -0.000338568-0j 4.91439e-06-0j -1.32677e-06-0j 0.00311052-0j 0.0193644-0j -0.00522794-0j -2.35375e-06-0j -0.00927459-0j -1.02616e-06-0j -0.00404344-0j 
0.00128769-0j -0.00438799-0j 0.000919972-0j 0.0061625-0j -0.00746164-0j -0.00781341-0j 0.0257798-0j -0.00720655-0j -0.0341346-0j 0.018418-0j -0.00636508-0j 0.030846-0j 0.000107173-0j -0.0014705-0j -0.000346465-0j 0.00475377-0j 9.37764e-05-0j 6.25176e-05-0j -0.00128668-0j 0.000444181-0j -0.00085779-0j -0.00609452-0j -0.000319556-0j 3.86808e-05-0j 0.00438455-0j 7.80897e-05-0j 0.000317339-0j -0.00053073-0j -0.00107145-0j -0.00435413-0j -0.000543395-0j 0.0074558-0j 0.00031619-0j -0.00433837-0j 
1.60928e-05-0j 1.87749e-05-0j 9.76728e-06-0j -4.80241e-05-0j 6.77624e-06-0j -0.000396818-0j -0.000448253-0j 0.00106992-0j -0.00036979-0j -0.00027206-0j 0.000772308-0j -8.44102e-05-0j 1.33938e-06-0j 0.00527764-0j 1.48243e-06-0j 0.00584127-0j -3.42599e-06-0j 7.81307e-07-0j -0.0134996-0j 1.18411e-06-0j 0.00307862-0j 0.00466579-0j -3.99698e-06-0j 5.95486e-06-0j -0.0157495-0j 7.97584e-07-0j 7.18674e-07-0j 0.0234642-0j 0.00314276-0j 0.00283182-0j -1.44259e-06-0j -0.0056843-0j 1.28736e-07-0j 0.000507266-0j 
0.00039023-0j -0.000437246-0j -0.000814996-0j 0.000382781-0j 0.000770312-0j -0.00478599-0j 0.00519234-0j 0.00424496-0j 0.00445651-0j -0.0108442-0j 0.00270749-0j -0.0106022-0j -0.00308936-0j 0.0207328-0j 0.00328394-0j -0.0220386-0j 0.00259952-0j -0.00180213-0j -0.0174454-0j 0.00272906-0j 0.0120941-0j -0.0183148-0j -0.00291272-0j 0.00544676-0j 0.0195473-0j -0.00162553-0j -0.00569966-0j -0.0365533-0j 0.010909-0j 0.0382506-0j 0.00513143-0j -0.0344372-0j -0.0053632-0j 0.0359926-0j 
0.000788548-0j -0.00268708-0j 0.000563366-0j 0.00377374-0j -0.0045693-0j 0.000101737-0j -0.000335674-0j 9.38353e-05-0j 0.000444461-0j -0.000239817-0j 8.28787e-05-0j -0.000401641-0j -0.0125511-0j 9.47284e-06-0j 0.0405749-0j -3.06235e-05-0j -0.0109822-0j -0.0073215-0j 8.28874e-06-0j -0.0520185-0j 5.52583e-06-0j 3.92605e-05-0j 0.0374235-0j -0.00452994-0j -2.8245e-05-0j -0.00914517-0j -0.0371638-0j 3.41893e-06-0j 6.90222e-06-0j 2.8049e-05-0j 0.0636375-0j -4.80298e-05-0j -0.0370293-0j 2.79475e-05-0j 
-0.000160962-0j 0.000548499-0j -0.000114997-0j -0.000770312-0j 0.000932705-0j 0.00197412-0j -0.00651346-0j 0.00182079-0j 0.00862436-0j -0.00465344-0j 0.00160819-0j -0.00779348-0j 0.0012743-0j -0.00855184-0j -0.0041195-0j 0.0276461-0j 0.00111501-0j 0.00074334-0j -0.00748286-0j 0.00528136-0j -0.00498857-0j -0.0354433-0j -0.00379955-0j 0.000459918-0j 0.0254989-0j 0.000928494-0j 0.00377318-0j -0.00308652-0j -0.00623115-0j -0.0253219-0j -0.00646101-0j 0.04336-0j 0.00375953-0j -0.0252303-0j 
-2.29945e-05-0j 2.5765e-05-0j 4.80241e-05-0j -2.25556e-05-0j -4.53911e-05-0j 0.000567001-0j -0.000615141-0j -0.000502905-0j -0.000527968-0j 0.00128472-0j -0.000320759-0j 0.00125605-0j -1.9138e-06-0j -0.00754105-0j 2.03434e-06-0j 0.00801602-0j 1.61035e-06-0j -1.11639e-06-0j 0.00634535-0j 1.69061e-06-0j -0.00439895-0j 0.00666157-0j -1.80438e-06-0j 3.37417e-06-0j -0.00710987-0j -1.00698e-06-0j -3.53083e-06-0j 0.0132954-0j -0.00396787-0j -0.0139127-0j 3.17883e-06-0j 0.0125257-0j -3.32241e-06-0j -0.0130914-0j 
9.48476e-06-0j -3.23206e-05-0j 6.77624e-06-0j 4.53911e-05-0j -5.49602e-05-0j -0.000233876-0j 0.000771657-0j -0.000215711-0j -0.00102174-0j 0.000551298-0j -0.000190524-0j 0.000923302-0j 7.89404e-07-0j 0.00311052-0j -2.55196e-06-0j -0.0100556-0j 6.90728e-07-0j 4.60485e-07-0j 0.00272171-0j 3.27171e-06-0j 0.00181447-0j 0.0128917-0j -2.35375e-06-0j 2.84911e-07-0j -0.00927459-0j 5.75185e-07-0j 2.33742e-06-0j 0.00112265-0j 0.00226643-0j 0.00921024-0j -4.00248e-06-0j -0.0157712-0j 2.32896e-06-0j 0.00917691-0j 
