-0.257036-0j -0.290353-0j 0.472887-0j 0.477788-0j -0.207438-0j -0.171128-0j -0.0546762-0j -0.0336554-0j -0.0372497-0j -0.0294484-0j 0.0979532-0j -0.0297536-0j 0.0685308-0j -0.0121469-0j 0.0399763-0j -0.021257-0j -0.0123999-0j -0.00323482-0j -0.0218946-0j -0.00316021-0j -0.0238939-0j -0.00344879-0j -0.0185082-0j -0.00267142-0j -0.0187-0j 0.0337015-0j -0.00269911-0j 0.0048644-0j -0.0209072-0j 0.0695428-0j -0.00301769-0j -0.0121959-0j 0.0240775-0j 0.0100376-0j -0.00176032-0j 0.00347529-0j 0.0344036-0j -0.00862378-0j 0.00496574-0j 0.0141908-0j -0.00871315-0j -0.00124474-0j 0.00204826-0j -0.00125763-0j -0.00393702-0j -0.00056826-0j -0.000868031-0j -0.00012529-0j 
0.00327181-0j -0.000158773-0j 0.00301769-0j -0.00296217-0j 3.75842e-05-0j -0.00426356-0j -0.00273436-0j -0.0409571-0j -0.000645237-0j 0.108161-0j -0.0238917-0j -0.106171-0j -0.000595122-0j -0.0147822-0j 0.0477373-0j 0.0251324-0j 0.0444114-0j 0.019347-0j 0.000278696-0j 0.179975-0j 4.32916e-06-0j 0.00279567-0j 0.000235591-0j 0.152138-0j -0.000231256-0j -0.000649083-0j -0.149339-0j -0.419161-0j -1.14326e-05-0j 2.52535e-06-0j -0.00738289-0j 0.000917058-0j 0.000153649-0j 0.0016308-0j 0.592213-0j 0.0992227-0j -0.000213294-0j 1.56248e-06-0j -0.13774-0j -0.000266516-0j -0.000217083-0j 0.00100901-0j -0.17211-0j -0.140187-0j -0.000196891-0j -0.127147-0j -6.51941e-05-0j -0.0421007-0j 
-0.0185082-0j -0.0209072-0j -0.0335046-0j 0.0344036-0j 0.0443313-0j 0.0121246-0j -0.00393702-0j -0.00242339-0j -0.0026822-0j 0.00208645-0j 0.00705323-0j -0.00214244-0j -0.00485548-0j 0.00433115-0j 0.00287854-0j 0.0045428-0j 0.000878547-0j -0.000232927-0j 0.151686-0j -0.000227555-0j 0.165537-0j -0.000248334-0j -0.126168-0j 0.000189273-0j 0.129553-0j -0.233484-0j -0.000194352-0j 0.000350266-0j -0.142521-0j -0.481792-0j 0.000213807-0j 0.0844929-0j 0.495075-0j 0.000722771-0j -0.000126754-0j -0.000742698-0j 0.234525-0j -0.295852-0j -0.000351828-0j -0.0983136-0j -0.179157-0j 0.00044383-0j 0.000147487-0j 0.000268767-0j -0.0268381-0j 4.02618e-05-0j 0.00601371-0j -9.02161e-06-0j 
0.00267142-0j 0.00301769-0j 0.00483597-0j -0.00496574-0j -0.00639867-0j -0.00175003-0j 0.00056826-0j -0.0334414-0j -0.0370128-0j 0.0287918-0j 0.0973303-0j -0.0295644-0j -0.0670027-0j 0.0597673-0j 0.0397221-0j 0.0626879-0j 0.0121234-0j -0.00321426-0j 0.000227555-0j 0.146949-0j 0.000248334-0j 0.160368-0j -0.000189273-0j -0.122228-0j 0.000194352-0j -0.000350266-0j 0.125508-0j -0.226193-0j -0.000213807-0j -0.000722771-0j -0.138071-0j 0.000126754-0j 0.000742698-0j -0.466748-0j 0.0818545-0j 0.479616-0j 0.000351828-0j -0.00044383-0j 0.227202-0j -0.000147487-0j -0.000268767-0j -0.286614-0j -0.0952437-0j -0.173563-0j -4.02618e-05-0j -0.0260001-0j 9.02161e-06-0j 0.00582593-0j 
0.0187-0j -0.0205225-0j -0.0344036-0j 0.0347461-0j -0.014662-0j 0.0114018-0j 0.0420735-0j 0.0024485-0j -0.00263285-0j 0.00214244-0j -0.00712632-0j -0.00216377-0j 0.00484384-0j 0.000883712-0j -0.00266352-0j -0.00154587-0j 0.00430736-0j 0.00431212-0j -0.153258-0j 0.000229913-0j 0.162491-0j -0.000243765-0j -0.129553-0j 0.000194352-0j 0.130843-0j 0.235904-0j -0.000196287-0j -0.000353896-0j 0.14218-0j -0.472927-0j -0.000213294-0j -0.0781815-0j 0.168538-0j 0.000709473-0j 0.000117286-0j -0.000252835-0j -0.240721-0j 0.0586462-0j 0.000361122-0j 0.474282-0j -0.0558556-0j -8.79794e-05-0j -0.000711504-0j 8.3793e-05-0j -0.291485-0j 0.000437278-0j -0.170203-0j 0.000255333-0j 
0.0161946-0j 0.000260391-0j -0.0443313-0j -0.014662-0j 0.000174191-0j 0.0626336-0j -0.0135344-0j 0.00212047-0j 3.34058e-05-0j -0.0055067-0j 0.00123694-0j -0.00182127-0j -9.1445e-05-0j 0.00972933-0j -0.0024715-0j -0.00121836-0j 0.00682414-0j -0.00100165-0j -0.132725-0j 0.00019911-0j -0.0020617-0j 3.0929e-06-0j 0.33299-0j -0.000499542-0j 0.110132-0j -0.102421-0j -0.000165217-0j 0.000153649-0j 0.00535408-0j -0.00120266-0j -8.03205e-06-0j 0.144706-0j -0.0685155-0j 1.80419e-06-0j -0.000217083-0j 0.000102785-0j -0.301476-0j -0.00945968-0j 0.000452266-0j 0.126924-0j 0.0968024-0j 1.41911e-05-0j -0.000190408-0j -0.00014522-0j -0.27829-0j 0.000417484-0j 0.0310477-0j -4.65769e-05-0j 
-0.00269911-0j 0.00296217-0j 0.00496574-0j -0.00501516-0j 0.00211628-0j -0.00164571-0j -0.00607279-0j 0.0337879-0j -0.0363318-0j 0.0295644-0j -0.098339-0j -0.0298587-0j 0.0668421-0j 0.0121947-0j -0.036755-0j -0.0213321-0j 0.059439-0j 0.0595047-0j -0.000229913-0j -0.148472-0j 0.000243765-0j 0.157417-0j -0.000194352-0j -0.125508-0j 0.000196287-0j 0.000353896-0j 0.126757-0j 0.228537-0j 0.000213294-0j -0.000709473-0j 0.13774-0j -0.000117286-0j 0.000252835-0j -0.45816-0j -0.0757403-0j 0.163275-0j -0.000361122-0j 8.79794e-05-0j -0.233204-0j 0.000711504-0j -8.3793e-05-0j 0.0568149-0j 0.459472-0j -0.0541114-0j -0.000437278-0j -0.282383-0j -0.000255333-0j -0.164888-0j 
-0.0023375-0j -3.75842e-05-0j 0.00639867-0j 0.00211628-0j -2.51423e-05-0j -0.00904038-0j 0.00195352-0j 0.0292612-0j 0.00046098-0j -0.0759892-0j 0.017069-0j -0.0251324-0j -0.00126189-0j 0.134259-0j -0.0341052-0j -0.0168126-0j 0.0941691-0j -0.0138222-0j -0.00019911-0j -0.12858-0j -3.0929e-06-0j -0.00199732-0j 0.000499542-0j 0.322592-0j 0.000165217-0j -0.000153649-0j 0.106693-0j -0.0992227-0j 8.03205e-06-0j -1.80419e-06-0j 0.0051869-0j 0.000217083-0j -0.000102785-0j -0.0011651-0j 0.140187-0j -0.0663761-0j -0.000452266-0j -1.41911e-05-0j -0.292062-0j 0.000190408-0j 0.00014522-0j -0.00916429-0j 0.122961-0j 0.0937796-0j -0.000417484-0j -0.269601-0j 4.65769e-05-0j 0.0300782-0j 
-0.0133599-0j 0.0295388-0j 0.0121246-0j -0.0114018-0j -0.0626336-0j 0.033887-0j 0.0368213-0j -0.0017493-0j 0.00378956-0j 0.00150608-0j -0.00102042-0j -0.0014163-0j -0.00343916-0j 0.00312639-0j -0.0040333-0j 0.0030031-0j 0.000737907-0j 0.00743766-0j 0.109493-0j -0.000164258-0j -0.23388-0j 0.00035086-0j -0.0910726-0j 0.000136625-0j 0.0856436-0j 0.0844929-0j -0.00012848-0j -0.000126754-0j 0.201362-0j -0.13643-0j -0.000302078-0j 0.236149-0j -0.179157-0j 0.000204668-0j -0.000354264-0j 0.000268767-0j -0.0777246-0j 0.417996-0j 0.0001166-0j 0.0413975-0j -0.500726-0j -0.000627066-0j -6.21033e-05-0j 0.000751175-0j 0.251005-0j -0.000376551-0j -0.427244-0j 0.000640939-0j 
0.00192834-0j -0.00426356-0j -0.00175003-0j 0.00164571-0j 0.00904038-0j -0.00489116-0j -0.00531469-0j -0.0241392-0j 0.0522936-0j 0.020783-0j -0.0140812-0j -0.0195441-0j -0.0474583-0j 0.0431423-0j -0.0556571-0j 0.041441-0j 0.0101827-0j 0.102635-0j 0.000164258-0j 0.106073-0j -0.00035086-0j -0.226576-0j -0.000136625-0j -0.0882288-0j 0.00012848-0j 0.000126754-0j 0.0829693-0j 0.0818545-0j 0.000302078-0j -0.000204668-0j 0.195074-0j 0.000354264-0j -0.000268767-0j -0.13217-0j 0.228775-0j -0.173563-0j -0.0001166-0j 0.000627066-0j -0.0752976-0j 6.21033e-05-0j -0.000751175-0j 0.404943-0j 0.0401048-0j -0.48509-0j 0.000376551-0j 0.243167-0j -0.000640939-0j -0.413903-0j 
0.00426855-0j -0.0189442-0j 0.00393702-0j 0.0420735-0j -0.0135344-0j -0.0368213-0j 0.0461469-0j 0.000558909-0j -0.00243037-0j 0.000489045-0j 0.00032603-0j 0.00522625-0j -0.0022416-0j 0.000201721-0j -0.00431225-0j 0.00373381-0j -0.00384906-0j 0.00767934-0j -0.0349834-0j 5.24811e-05-0j 0.149995-0j -0.000225018-0j -0.0295725-0j 4.43639e-05-0j -0.316031-0j -0.0269959-0j 0.000474101-0j 4.04985e-05-0j 0.131245-0j 0.0874969-0j -0.000196891-0j 0.252481-0j -0.0192868-0j -0.00013126-0j -0.000378765-0j 2.89335e-05-0j -0.291485-0j 0.054136-0j 0.000437278-0j 0.212473-0j 0.180381-0j -8.12133e-05-0j -0.000318746-0j -0.000270603-0j -0.319705-0j 0.000479613-0j 0.0232016-0j -3.48064e-05-0j 
-0.000616113-0j 0.00273436-0j -0.00056826-0j -0.00607279-0j 0.00195352-0j 0.00531469-0j -0.00666073-0j 0.00771261-0j -0.0335376-0j 0.00674853-0j 0.00449902-0j 0.0721192-0j -0.0309328-0j 0.00278363-0j -0.0595064-0j 0.0515244-0j -0.0531147-0j 0.10597-0j -5.24811e-05-0j -0.033891-0j 0.000225018-0j 0.145311-0j -4.43639e-05-0j -0.0286491-0j -0.000474101-0j -4.04985e-05-0j -0.306163-0j -0.0261529-0j 0.000196891-0j 0.00013126-0j 0.127147-0j 0.000378765-0j -2.89335e-05-0j 0.0847647-0j 0.244597-0j -0.0186845-0j -0.000437278-0j 8.12133e-05-0j -0.282383-0j 0.000318746-0j 0.000270603-0j 0.0524455-0j 0.205838-0j 0.174749-0j -0.000479613-0j -0.309722-0j 3.48064e-05-0j 0.0224771-0j 
0.0148632-0j 0.0167897-0j 0.0137088-0j 0.0138508-0j 0.0119952-0j 0.00989551-0j 0.00316166-0j -0.0099318-0j 0.00215397-0j 0.00170286-0j 0.00113524-0j 0.00172051-0j 0.00198667-0j 0.000702395-0j 0.00115889-0j 0.00122919-0j 0.000717028-0j 0.000187055-0j 0.00126606-0j 0.00018274-0j -0.00705118-0j -0.00101775-0j 0.00107024-0j 0.000154476-0j 0.00108133-0j 0.000976991-0j 0.000156077-0j 0.000141016-0j 0.00120896-0j 0.000805976-0j 0.000174499-0j 0.000705229-0j 0.000697996-0j 0.000116333-0j 0.000101791-0j 0.000100747-0j 0.000997345-0j 0.000498672-0j 0.000143954-0j 0.000411384-0j 0.00050384-0j 7.19771e-05-0j 5.93781e-05-0j 7.2723e-05-0j 0.000227659-0j 3.28598e-05-0j 5.01941e-05-0j 7.2449e-06-0j 
-0.00262746-0j -0.00296804-0j -0.00242339-0j -0.0024485-0j -0.00212047-0j -0.0017493-0j -0.000558909-0j -0.0830496-0j 0.0180115-0j 0.0142393-0j 0.00949288-0j 0.0143869-0j 0.0166125-0j 0.00587342-0j 0.00969065-0j 0.0102785-0j 0.00599578-0j 0.00156415-0j 0.0215337-0j 0.00308845-0j -0.119929-0j -0.0172007-0j 0.0182031-0j 0.00261076-0j 0.0183917-0j 0.016617-0j 0.00263781-0j 0.00238328-0j 0.0205625-0j 0.0137084-0j 0.00294916-0j 0.0119948-0j 0.0118718-0j 0.00196611-0j 0.00172035-0j 0.0017027-0j 0.0169632-0j 0.00848161-0j 0.00243294-0j 0.00699697-0j 0.00856951-0j 0.00121647-0j 0.00100353-0j 0.00122907-0j 0.00387212-0j 0.000555355-0j 0.000853721-0j 0.000122444-0j 
0.000218955-0j 0.000247336-0j 0.000201949-0j 0.000204042-0j 0.000176706-0j 0.000145775-0j 4.65757e-05-0j 0.021055-0j -0.00456633-0j -0.00361-0j -0.00240667-0j -0.00364741-0j -0.00421167-0j -0.00148905-0j -0.00245681-0j -0.00260584-0j -0.00152007-0j -0.000396548-0j 1.86508e-05-0j 0.0369075-0j -0.000103874-0j -0.205552-0j 1.57661e-05-0j 0.0311991-0j 1.59295e-05-0j 1.43924e-05-0j 0.0315224-0j 0.0284807-0j 1.78097e-05-0j 1.18731e-05-0j 0.0352431-0j 1.0389e-05-0j 1.02824e-05-0j 0.0234954-0j 0.0205585-0j 0.0203476-0j 1.46923e-05-0j 7.34614e-06-0j 0.0290741-0j 6.06025e-06-0j 7.42226e-06-0j 0.014537-0j 0.0119924-0j 0.0146877-0j 3.35374e-06-0j 0.0066366-0j 7.39429e-07-0j 0.00146323-0j 
0.066695-0j -0.000264505-0j -0.0151728-0j 0.0148937-0j -0.000188972-0j 0.021437-0j 0.0137482-0j -0.00215397-0j 0.000137576-0j -0.00188472-0j -0.00125648-0j 0.00185005-0j -3.1298e-05-0j -0.000777409-0j 0.00251055-0j 0.00132174-0j 0.00233563-0j 0.00101748-0j -0.00140127-0j -0.000202256-0j -2.17668e-05-0j -3.14177e-06-0j 0.00480244-0j 0.000693173-0j -0.00471408-0j -0.00108133-0j -0.000680419-0j -0.000156077-0j -1.9046e-05-0j -1.26973e-05-0j -2.74905e-06-0j 0.00152776-0j -0.00077254-0j -1.8327e-06-0j 0.000220513-0j -0.000111507-0j 0.00107243-0j -7.85606e-06-0j 0.000154792-0j 0.00134003-0j 0.00109148-0j -1.13393e-06-0j 0.000193417-0j 0.000157542-0j 0.000989957-0j 0.000142888-0j 0.000327793-0j 4.73128e-05-0j 
-0.0117901-0j 4.67583e-05-0j 0.0026822-0j -0.00263285-0j 3.34058e-05-0j -0.00378956-0j -0.00243037-0j -0.0180115-0j 0.00115041-0j -0.01576-0j -0.0105067-0j 0.0154701-0j -0.000261713-0j -0.00650068-0j 0.0209932-0j 0.0110523-0j 0.0195305-0j 0.00850812-0j -0.0238334-0j -0.00341828-0j -0.000370219-0j -5.30983e-05-0j 0.0816818-0j 0.0117151-0j -0.0801789-0j -0.0183917-0j -0.0114996-0j -0.00263781-0j -0.000323941-0j -0.000215961-0j -4.6461e-05-0j 0.0259847-0j -0.0131397-0j -3.0974e-05-0j 0.00372684-0j -0.00188454-0j 0.0182404-0j -0.000133619-0j 0.00261611-0j 0.0227918-0j 0.0185644-0j -1.91642e-05-0j 0.00326889-0j 0.00266258-0j 0.0168376-0j 0.00241491-0j 0.00557523-0j 0.000799623-0j 
-0.0130053-0j 0.0443389-0j 0.0118028-0j -0.0121195-0j 0.0311506-0j 0.00851968-0j -0.00276646-0j -0.00170286-0j -0.00188472-0j -0.00442484-0j -0.000993337-0j 0.00454358-0j 0.00171045-0j 0.0030434-0j -0.00101403-0j 0.00319212-0j 0.000617336-0j -0.000163673-0j -0.0011078-0j -0.000159898-0j -0.00120896-0j -0.000174499-0j 0.000921438-0j 0.000132998-0j -0.000946164-0j 0.00258007-0j -0.000136567-0j 0.000372401-0j -0.00314146-0j -0.000705229-0j -0.00045343-0j 0.00186239-0j 0.00181264-0j -0.000101791-0j 0.000268813-0j 0.000261633-0j 0.000858678-0j 0.00216069-0j 0.000123939-0j -0.000359961-0j 0.00130844-0j 0.000311869-0j -5.19558e-05-0j 0.000188856-0j 0.000196006-0j 2.82911e-05-0j -4.39199e-05-0j -6.33928e-06-0j 
0.00098251-0j -3.89653e-06-0j -0.000223517-0j 0.000219404-0j -2.78381e-06-0j 0.000315796-0j 0.000202531-0j 0.00456633-0j -0.000291656-0j 0.00399554-0j 0.00266369-0j -0.00392202-0j 6.63505e-05-0j 0.00164808-0j -0.00532226-0j -0.00280203-0j -0.00495144-0j -0.00215701-0j -2.06427e-05-0j -0.0408492-0j -3.20656e-07-0j -0.000634535-0j 7.07467e-05-0j 0.139998-0j -6.9445e-05-0j -1.59295e-05-0j -0.137422-0j -0.0315224-0j -2.80574e-07-0j -1.87049e-07-0j -0.000555218-0j 2.2506e-05-0j -1.13806e-05-0j -0.000370146-0j 0.0445365-0j -0.0225207-0j 1.57984e-05-0j -1.15731e-07-0j 0.031263-0j 1.97405e-05-0j 1.60791e-05-0j -0.000229016-0j 0.0390639-0j 0.0318184-0j 1.45834e-05-0j 0.0288587-0j 4.82885e-06-0j 0.00955565-0j 
-0.00867019-0j -0.00979402-0j 0.0398991-0j 0.0403125-0j -0.00699718-0j -0.00577238-0j -0.0018443-0j -0.00113524-0j -0.00125648-0j -0.000993337-0j -0.00460751-0j -0.00100363-0j 0.00578217-0j -0.000409731-0j 0.00337293-0j -0.000717028-0j -0.000418267-0j -0.000109115-0j -0.000738535-0j -0.000106598-0j -0.000805976-0j -0.000116333-0j -0.000624306-0j -9.01109e-05-0j -0.000630776-0j 0.00284351-0j -9.10447e-05-0j 0.000410425-0j -0.000705229-0j -0.00327114-0j -0.000101791-0j -0.000411384-0j 0.0020315-0j -0.000472149-0j -5.93781e-05-0j 0.000293222-0j 0.00290275-0j -0.000290892-0j 0.000418976-0j 0.00119732-0j -0.000293907-0j -4.19867e-05-0j 0.000172819-0j -4.24218e-05-0j -0.000132801-0j -1.91682e-05-0j -2.92799e-05-0j -4.22619e-06-0j 
0.0131401-0j 0.0435231-0j 0.0121195-0j -0.0122401-0j -0.0103027-0j 0.00801181-0j 0.0295641-0j 0.00172051-0j -0.00185005-0j -0.00454358-0j 0.00100363-0j 0.0045888-0j -0.00170635-0j 0.000620965-0j 0.000938286-0j -0.00108625-0j 0.00302668-0j 0.00303003-0j 0.00111928-0j 0.000161555-0j -0.00118672-0j -0.000171288-0j 0.000946164-0j 0.000136567-0j -0.000955582-0j -0.00260681-0j -0.000137926-0j -0.00037626-0j 0.00313393-0j -0.000692253-0j 0.000452344-0j -0.00172328-0j 0.000617075-0j -9.99181e-05-0j -0.000248734-0j 8.90672e-05-0j -0.000881363-0j -0.00042831-0j -0.000127214-0j 0.00173651-0j 0.000407929-0j -6.18212e-05-0j 0.000250644-0j 5.88795e-05-0j 0.0021288-0j 0.000307266-0j 0.00124304-0j 0.000179417-0j 
