-0.000838014-0j -0.000585825-0j 0.00111275-0j -0.0729019-0j 0.291021-0j 0.121371-0j 0.0860497-0j -0.358369-0j 0.0509077-0j 0.000311965-0j -0.00100162-0j -0.000717486-0j 0.00258424-0j -0.00092113-0j -0.000775681-0j 0.000228335-0j 0.000110296-0j -0.00010356-0j -0.122901-0j -0.0871345-0j 0.362886-0j 0.0485274-0j -0.174786-0j 0.0280173-0j -0.0827258-0j -0.0434521-0j -0.154975-0j -0.108338-0j 0.0597171-0j -0.223312-0j 0.0353291-0j -0.0383031-0j -0.0889157-0j 0.0483261-0j -0.142691-0j -0.0917934-0j 0.18377-0j 0.03155-0j -0.0418934-0j -0.0558171-0j -0.0193828-0j 0.0471672-0j 0.148649-0j -0.143448-0j 0.0214556-0j 0.0274513-0j 0.0591871-0j -0.21318-0j -0.0271095-0j -0.0338869-0j 0.122054-0j 0.133409-0j 0.00854292-0j 0.0377095-0j -0.0458235-0j 0.0207789-0j -0.0613532-0j -0.0159744-0j 0.00734645-0j 0.0103218-0j 0.00313243-0j -0.0147625-0j 0.00336536-0j -0.00430616-0j 0.000912008-0j -0.0319489-0j -0.00126289-0j 0.0690382-0j 0.156402-0j 0.00013719-0j 
-0.077893-0j -0.0821064-0j 0.133321-0j -0.0628026-0j 0.042085-0j 0.070221-0j 0.0750694-0j 0.0405421-0j -0.117761-0j 0.0177197-0j 0.0183416-0j 0.0198112-0j 0.00990562-0j 0.0102305-0j -0.0273688-0j 0.174558-0j 0.0423553-0j -0.214506-0j 0.0138332-0j 0.0147883-0j 0.00798658-0j -0.085996-0j -0.042998-0j 0.13165-0j 0.0760084-0j 0.0330653-0j -0.00908254-0j -0.00957383-0j 0.0551022-0j -0.0123737-0j -0.0864386-0j -0.0228843-0j -0.0257697-0j 0.146243-0j 0.0844333-0j -0.237462-0j -0.0282632-0j 0.157153-0j -0.268981-0j 0.123742-0j 0.0823715-0j -0.0220453-0j -0.0169435-0j -0.00319128-0j 0.183455-0j 0.0095839-0j -0.0352865-0j -0.0176433-0j 0.0486505-0j -0.161251-0j -0.0806255-0j -0.00922285-0j 0.382064-0j -0.0370052-0j -0.016201-0j -0.0281499-0j -0.0162523-0j -0.0381836-0j -0.0672864-0j -0.0177769-0j -0.308083-0j -0.00993016-0j -0.0945054-0j -0.00512561-0j 0.0130046-0j -0.0112956-0j 0.296107-0j -0.00217385-0j -0.00489115-0j -0.00049694-0j 
0.22766-0j -0.0576922-0j -0.0353291-0j -0.0955753-0j 0.0579624-0j 0.0247475-0j 0.0264562-0j 0.014288-0j -0.0651043-0j 0.262879-0j -0.0654168-0j -0.0706583-0j -0.0353291-0j 0.151774-0j -0.0192307-0j -0.0462567-0j 0.0929419-0j -0.0101986-0j 0.0256893-0j 0.027463-0j 0.0148317-0j 0.0314628-0j 0.0157314-0j 0.0181651-0j 0.0104876-0j 0.00908254-0j -0.26411-0j 0.0669292-0j 0.0758906-0j -0.0920714-0j -0.186754-0j 0.023663-0j -0.034691-0j 0.00932446-0j 0.00538348-0j 0.00571004-0j -0.065413-0j 0.29806-0j -0.046254-0j -0.109023-0j -0.10504-0j 0.00583304-0j 0.0303094-0j 0.0223097-0j 0.00437478-0j -0.165863-0j 0.0114201-0j 0.00571004-0j -0.159782-0j 0.021432-0j 0.010716-0j 0.0164983-0j 0.00164835-0j -0.0856458-0j -0.12055-0j -0.125888-0j -0.0726817-0j 0.0101031-0j -0.0445083-0j 0.478622-0j 0.00203092-0j -0.0834317-0j -0.0589951-0j -0.0527538-0j -0.031152-0j 0.0202062-0j 0.000798722-0j 0.00388869-0j 0.00874956-0j -0.0076958-0j 
0.0253734-0j -0.136783-0j -0.24922-0j -0.105952-0j -0.0683915-0j 0.0231626-0j -0.126637-0j 0.099805-0j -0.222909-0j -0.0285759-0j -0.0295789-0j 0.163392-0j 0.081696-0j -0.12313-0j 0.345308-0j 0.0638043-0j 0.0512822-0j -0.167471-0j -0.0225913-0j 0.123513-0j -0.097343-0j 0.0283683-0j 0.0141842-0j 0.0487313-0j 0.209977-0j 0.0405421-0j -0.014288-0j 0.0770237-0j 0.0175093-0j 0.103338-0j 0.0308204-0j -0.138226-0j 0.0421876-0j 0.0094561-0j 0.0407452-0j 0.0172291-0j 0.0210938-0j 0.00463253-0j -0.0455012-0j 0.00211445-0j -0.00471946-0j 0.201716-0j -0.0276685-0j -0.194446-0j 0.0283593-0j -0.0156517-0j -0.0112956-0j -0.00564782-0j 0.0160475-0j 0.0596835-0j 0.0298417-0j -0.112402-0j 0.0115776-0j -0.00540035-0j -0.0264562-0j -0.00238133-0j -0.0102609-0j 0.046814-0j 0.00427351-0j -0.000985964-0j 0.0162998-0j -0.000389736-0j 0.000840696-0j 0.000767175-0j 5.95679e-05-0j -0.0184457-0j 0.00813107-0j -0.314847-0j -0.00798722-0j -7.15143e-06-0j 
-0.142206-0j 0.0483261-0j -0.0917934-0j -0.0631225-0j 0.0228654-0j 0.0429112-0j -0.0147895-0j 0.0247748-0j -0.00874956-0j 0.0529385-0j -0.169968-0j 0.0591871-0j -0.21318-0j 0.0305641-0j 0.0161087-0j 0.038747-0j 0.0187166-0j 0.00854292-0j 0.218904-0j -0.0754458-0j 0.126384-0j -0.086434-0j 0.311319-0j -0.0499027-0j -0.0288113-0j 0.0773942-0j 0.0250477-0j -0.00851203-0j -0.00965173-0j 0.0383809-0j -0.00571004-0j -0.00300946-0j 0.0778256-0j 0.0870117-0j 0.0502362-0j -0.165275-0j -0.149805-0j 0.0529057-0j 0.0341505-0j 0.153375-0j -0.128646-0j -0.00326077-0j 0.0525553-0j -0.00283734-0j 0.0075857-0j -0.0488945-0j 0.106567-0j -0.383834-0j -0.00958466-0j -0.0119808-0j 0.0431526-0j -0.00922285-0j 0.0153816-0j 0.0632344-0j -0.016201-0j -0.0570964-0j -0.0329646-0j -0.00564782-0j -0.0201866-0j -0.140925-0j -0.00557929-0j 0.490242-0j -0.111759-0j -0.133093-0j -0.0975208-0j -0.0112956-0j -0.000446499-0j -0.00217385-0j 0.0552965-0j -0.0330523-0j 
0.0988941-0j 0.104244-0j -0.0230695-0j -0.136161-0j -0.0159013-0j -0.0298417-0j -0.0319022-0j -0.0172291-0j 0.00682069-0j -0.0374332-0j -0.038747-0j -0.0418516-0j -0.0209258-0j -0.0216121-0j 0.0347479-0j -0.0302051-0j -0.178126-0j -0.205503-0j 0.0499027-0j 0.0533482-0j 0.0288113-0j -0.186446-0j -0.0932229-0j 0.0389015-0j 0.0224598-0j 0.237462-0j 0.00571004-0j 0.00601891-0j -0.0208196-0j 0.00874956-0j 0.00445124-0j 0.028641-0j -0.055031-0j 0.187692-0j 0.108364-0j -0.041537-0j -0.0341505-0j 0.114122-0j -0.0266219-0j -0.106661-0j -0.277501-0j 0.0310328-0j 0.0119808-0j 0.0020063-0j 0.0588291-0j 0.0345736-0j -0.0753543-0j -0.0376772-0j -0.020675-0j 0.00933961-0j 0.0046698-0j 0.00652154-0j -0.37001-0j -0.0447134-0j 0.0114559-0j 0.0403733-0j 0.0233095-0j 0.0537503-0j 0.192116-0j 0.0996489-0j 0.247689-0j 0.111759-0j 0.087121-0j 0.0941109-0j -0.210361-0j 0.00798722-0j 0.0314935-0j 0.00153714-0j 0.00345857-0j 0.0234441-0j 
-0.03155-0j 0.0684117-0j 0.0418934-0j -0.147083-0j 0.122836-0j 0.00714399-0j -0.0157105-0j -0.0210938-0j -0.00929443-0j -0.0364308-0j -0.0377095-0j 0.0837869-0j 0.0418934-0j 0.107568-0j 0.0905828-0j -0.0266646-0j -0.0128802-0j 0.0120936-0j 0.0799404-0j -0.175798-0j -0.236037-0j 0.0979066-0j 0.0489533-0j 0.0565264-0j -0.166904-0j 0.0282632-0j -0.065413-0j 0.141839-0j -0.0781835-0j -0.0131443-0j -0.046254-0j 0.0501476-0j 0.102607-0j -0.0557675-0j 0.164663-0j -0.0341505-0j -0.156679-0j 0.0834354-0j -0.110789-0j 0.100826-0j 0.0248241-0j -0.00861151-0j 0.00874956-0j 0.187806-0j 0.00126289-0j 0.0553843-0j -0.0683009-0j -0.0341505-0j 0.0049495-0j 0.00618687-0j 0.00309344-0j -0.024357-0j -0.00985839-0j 0.0997244-0j 0.00836618-0j 0.116424-0j -0.34376-0j 0.00291652-0j 0.0411619-0j -0.0132194-0j 0.00631984-0j -0.149963-0j -0.10604-0j 0.443883-0j -0.217504-0j 0.00583304-0j 0.000230571-0j -0.0126046-0j 0.00252578-0j -0.111494-0j 
-0.0202111-0j -0.0213044-0j -0.0388169-0j 0.0632331-0j -0.102041-0j 0.00366233-0j 0.0039152-0j 0.00211445-0j 0.00689165-0j 0.0227621-0j 0.0235611-0j 0.0254488-0j 0.0127244-0j 0.0131417-0j -0.00710147-0j -0.0508233-0j -0.0408488-0j -0.0260842-0j -0.0689528-0j -0.0737136-0j -0.0398099-0j 0.0865854-0j 0.0432927-0j 0.148737-0j 0.0858735-0j 0.123742-0j 0.109023-0j 0.11492-0j -0.133603-0j -0.00319489-0j -0.235171-0j -0.206234-0j -0.0510686-0j 0.0585405-0j 0.0337983-0j 0.106661-0j -0.100826-0j 0.113243-0j 0.21749-0j -0.0661885-0j -0.165091-0j 0.00427351-0j -0.00437478-0j 0.0383066-0j 0.004484-0j -0.0477719-0j -0.0699285-0j -0.0349643-0j 0.00253734-0j 0.00943678-0j 0.00471839-0j -0.00238133-0j 0.0716743-0j -0.132012-0j -0.00418309-0j 0.0745427-0j 0.0430372-0j 0.00740194-0j -0.133774-0j 0.176387-0j 0.0497501-0j 0.0539479-0j -0.11637-0j -0.153489-0j 0.319604-0j -0.00291652-0j 0.00128564-0j -0.000561285-0j -0.00126289-0j -0.293773-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
