-0.201932-0j -0.223498-0j 0.533269-0j -0.117794-0j 0.538795-0j -0.206139-0j -0.0728812-0j -0.120248-0j -0.127542-0j -0.0743995-0j -0.0194089-0j -0.0268153-0j -0.029264-0j -0.0226678-0j -0.0229027-0j 0.0624527-0j 0.0772813-0j -0.0170707-0j 0.0450808-0j -0.0147836-0j -0.0211239-0j -0.0105619-0j -0.00871315-0j -0.0106714-0j -0.00482184-0j -0.00106312-0j -0.0176256-0j -0.00254403-0j -0.0190378-0j -0.00274787-0j -0.0145403-0j -0.00209872-0j -0.014691-0j -0.00212047-0j -0.0130053-0j 0.062651-0j -0.00187715-0j 0.00904289-0j -0.0160932-0j -0.00232286-0j -0.00938771-0j 0.0443389-0j -0.001355-0j 0.0271519-0j 0.00639977-0j -0.00848187-0j 0.00391904-0j 0.0387965-0j -0.00122425-0j -0.00856977-0j 0.0055998-0j 0.0160028-0j -0.0104958-0j -0.00123694-0j 0.0023098-0j -0.00262394-0j -0.00151493-0j -0.00865857-0j -0.00530227-0j -0.000378734-0j -0.00124976-0j -0.00276646-0j -0.000765317-0j -0.00378813-0j -0.000399304-0j -0.000546769-0j -0.00139756-0j -0.000201721-0j -0.000266852-0j -3.85167e-05-0j 
0.00551068-0j -0.0239627-0j 0.00482184-0j 0.00321456-0j 0.0515293-0j -0.0221016-0j 0.00198891-0j -0.0425175-0j 0.0368143-0j -0.0379506-0j 0.0757161-0j -0.0346152-0j 0.148416-0j -0.0292613-0j -0.312705-0j -0.0267118-0j 0.129864-0j 0.0865761-0j 0.249824-0j -0.0190838-0j -0.288417-0j 0.0535662-0j 0.210236-0j 0.178483-0j -0.316341-0j 0.0229574-0j 0.000480997-0j -0.00663748-0j -0.00204117-0j 0.0281669-0j 0.000396803-0j -0.00547564-0j 0.00424049-0j -0.0585162-0j 0.000354911-0j 0.000242991-0j -0.00489756-0j -0.00335313-0j -0.00172546-0j 0.0238104-0j -0.00331933-0j -0.00157513-0j 0.0458048-0j 0.000245509-0j 0.0217358-0j 0.000231468-0j -0.00338788-0j 0.00371043-0j -0.00319412-0j 0.00247362-0j -0.0512017-0j -0.00270465-0j -0.00112532-0j -0.0341345-0j 0.0373225-0j 7.16068e-05-0j 0.0155288-0j -0.00306152-0j 0.00153047-0j -0.000988131-0j 0.0422472-0j 0.0038369-0j -0.0211196-0j -0.00193229-0j -0.052947-0j 0.0266645-0j 0.00545202-0j -0.0752347-0j -0.00754537-0j 0.104122-0j 
-0.0848053-0j 0.0183922-0j 0.0145403-0j 0.00969356-0j 0.014691-0j 0.0169637-0j 0.00599759-0j 0.00989551-0j 0.0104958-0j 0.00612254-0j 0.00159721-0j 0.0022067-0j -0.01229-0j 0.00186539-0j 0.00188472-0j 0.00170286-0j 0.00210719-0j 0.00140479-0j 0.00122919-0j 0.00121658-0j 0.00173834-0j 0.00086917-0j 0.000717028-0j 0.000878177-0j 0.000396803-0j 8.74867e-05-0j -0.139554-0j 0.000209355-0j -0.150736-0j 0.000226129-0j 0.58753-0j -0.000881397-0j 0.593619-0j -0.000890531-0j -0.102972-0j -0.0705001-0j 0.000154476-0j 0.000105762-0j -0.127421-0j 0.000191154-0j -0.0743291-0j -0.116319-0j 0.000111507-0j -0.0712307-0j 0.000174499-0j -0.067157-0j 0.000106858-0j -0.101779-0j 0.000100747-0j -0.0678529-0j 0.000152687-0j -0.0419818-0j -0.0831025-0j 0.000101791-0j 6.298e-05-0j -0.0207756-0j 0.000124668-0j -0.0685561-0j -0.0419818-0j 3.1167e-05-0j 0.000102846-0j -0.021904-0j 6.298e-05-0j -0.0299933-0j 3.28598e-05-0j 4.49951e-05-0j -0.0110655-0j 1.66001e-05-0j -0.00211285-0j 3.16964e-06-0j 
0.0122406-0j -0.00265469-0j -0.00209872-0j -0.00139915-0j -0.00212047-0j -0.0024485-0j -0.000865677-0j -0.00142829-0j -0.00151493-0j -0.000883712-0j -0.000230538-0j 0.0304512-0j -0.169594-0j 0.0257413-0j 0.0260081-0j 0.0234985-0j 0.0290779-0j 0.0193853-0j 0.0169621-0j 0.0167881-0j 0.0239881-0j 0.011994-0j 0.00989457-0j 0.0121183-0j 0.00547564-0j 0.00120726-0j -0.000209355-0j -0.135196-0j -0.000226129-0j -0.146029-0j 0.000881397-0j 0.569184-0j 0.000890531-0j 0.575083-0j -0.000154476-0j -0.000105762-0j -0.0997566-0j -0.0682987-0j -0.000191154-0j -0.123443-0j -0.000111507-0j -0.000174499-0j -0.0720081-0j -0.000106858-0j -0.112687-0j -0.000100747-0j -0.0690065-0j -0.000152687-0j -0.0650599-0j -0.000101791-0j -0.0986012-0j -6.298e-05-0j -0.000124668-0j -0.0657341-0j -0.0406709-0j -3.1167e-05-0j -0.0805075-0j -0.000102846-0j -6.298e-05-0j -0.0201269-0j -0.0664153-0j -3.28598e-05-0j -0.0406709-0j -4.49951e-05-0j -0.02122-0j -0.0290567-0j -1.66001e-05-0j -0.01072-0j -3.16964e-06-0j -0.00204688-0j 
-0.0183922-0j 0.00117473-0j -0.0160932-0j -0.0107288-0j 0.0157971-0j -0.000267246-0j -0.00663811-0j 0.021437-0j 0.011286-0j 0.0199434-0j 0.00868799-0j -0.00244237-0j -3.79389e-05-0j 0.00837051-0j -0.00821649-0j -0.00188472-0j -3.31965e-05-0j -2.2131e-05-0j 0.00266284-0j -0.00134651-0j 0.00186922-0j -1.36929e-05-0j 0.00233563-0j 0.00190242-0j 0.00172546-0j 0.000571333-0j 0.154458-0j -0.000231714-0j 0.00237468-0j -3.56243e-06-0j 0.127421-0j -0.000191154-0j -0.125077-0j 0.000187637-0j -0.462062-0j 0.0780293-0j 0.000693173-0j -0.000117057-0j -0.00813852-0j 1.22092e-05-0j 0.652826-0j 0.00183249-0j -0.000979352-0j 0.0788379-0j -2.74905e-06-0j 0.0743291-0j -0.000118271-0j -0.109442-0j -0.000111507-0j -0.0729615-0j 0.000164182-0j -0.136751-0j 0.00130919-0j 0.000109455-0j 0.00020515-0j 0.0229944-0j -1.96402e-06-0j -0.148515-0j -0.0451426-0j -3.44956e-05-0j 0.000222798-0j -0.0952477-0j 6.77217e-05-0j -0.0976994-0j 0.000142888-0j 0.000146566-0j -0.0601903-0j 9.02959e-05-0j -0.0161032-0j 2.41576e-05-0j 
0.00265469-0j -0.000169558-0j 0.00232286-0j 0.00154857-0j -0.00228012-0j 3.85736e-05-0j 0.000958129-0j -0.00309416-0j -0.00162899-0j -0.00287858-0j -0.001254-0j -0.0337033-0j -0.000523534-0j 0.115508-0j -0.113383-0j -0.0260081-0j -0.000458092-0j -0.000305395-0j 0.0367456-0j -0.0185811-0j 0.0257941-0j -0.000188953-0j 0.0322303-0j 0.0262523-0j 0.0238104-0j 0.00788405-0j 0.000231714-0j 0.149635-0j 3.56243e-06-0j 0.00230053-0j 0.000191154-0j 0.123443-0j -0.000187637-0j -0.121171-0j -0.000693173-0j 0.000117057-0j -0.447634-0j 0.0755928-0j -1.22092e-05-0j -0.00788438-0j 0.000979352-0j 2.74905e-06-0j 0.632441-0j 0.000118271-0j 0.00177527-0j 0.000111507-0j 0.0763762-0j -0.000164182-0j 0.0720081-0j -0.000109455-0j -0.106025-0j -0.00020515-0j 1.96402e-06-0j -0.0706832-0j -0.13248-0j 3.44956e-05-0j 0.00126831-0j -0.000222798-0j -6.77217e-05-0j 0.0222764-0j -0.143878-0j -0.000142888-0j -0.043733-0j -0.000146566-0j -0.0922735-0j -0.0946486-0j -9.02959e-05-0j -0.0583108-0j -2.41576e-05-0j -0.0156004-0j 
-0.0145403-0j -0.0160932-0j -0.0377827-0j -0.00848187-0j 0.0387965-0j 0.0146052-0j 0.0259869-0j -0.00865857-0j 0.0272568-0j 0.00527128-0j -0.00139756-0j -0.00193087-0j -0.00210719-0j 0.00160604-0j -0.00164913-0j 0.00449698-0j -0.00547546-0j -0.00122919-0j 0.00324609-0j 0.00315938-0j 0.00149665-0j 0.00376602-0j -0.0006274-0j 0.00228056-0j 0.000341633-0j -7.65509e-05-0j 0.12211-0j -0.000183186-0j 0.131894-0j -0.000197863-0j -0.0991195-0j 0.000148696-0j 0.101779-0j -0.000152687-0j 0.0901005-0j -0.434046-0j -0.000135166-0j 0.000651143-0j -0.109705-0j 0.000164577-0j 0.065038-0j -0.30718-0j -9.75682e-05-0j 0.55829-0j 0.000460823-0j -0.0578197-0j -0.000837532-0j 0.264471-0j 8.67396e-05-0j 0.0593713-0j -0.000396752-0j -0.110867-0j -0.215811-0j -8.90672e-05-0j 0.00016632-0j -0.126084-0j 0.000323754-0j -0.0590243-0j -0.181903-0j 0.000189148-0j 8.85466e-05-0j 0.019166-0j 0.000272886-0j -0.0778904-0j -2.87523e-05-0j 0.000116849-0j -0.00952699-0j 1.42921e-05-0j 0.00184875-0j -2.77344e-06-0j 
-0.00969356-0j -0.0107288-0j -0.00848187-0j -0.0393424-0j -0.00856977-0j 0.0493726-0j -0.00349859-0j 0.0288007-0j -0.00612254-0j -0.00357148-0j -0.000931708-0j -0.00128724-0j -0.00140479-0j -0.00108815-0j -0.00109942-0j 0.00495615-0j -0.00122919-0j -0.0057015-0j -0.000717028-0j 0.00354084-0j 0.0050594-0j -0.000507016-0j 0.0020869-0j -0.00051227-0j -0.000231468-0j -5.10339e-05-0j 0.0814065-0j -0.000122124-0j 0.0879291-0j -0.000131909-0j 0.067157-0j -0.000100747-0j 0.0678529-0j -0.000101791-0j -0.299698-0j 0.0411251-0j 0.000449598-0j -6.16947e-05-0j 0.0743291-0j -0.000111507-0j 0.0433587-0j -0.338545-0j -6.50455e-05-0j 0.0415512-0j 0.000507875-0j 0.272564-0j -6.2334e-05-0j 0.0593713-0j -0.000408893-0j 0.275389-0j -8.90672e-05-0j 0.0244894-0j -0.241868-0j -0.00041313-0j -3.67383e-05-0j 0.0121191-0j 0.000362844-0j -0.199531-0j 0.0244894-0j -1.81808e-05-0j 0.000299331-0j -0.0637511-0j -3.67383e-05-0j 0.0174961-0j 9.56376e-05-0j -2.62471e-05-0j 0.00645487-0j -9.68342e-06-0j 0.0012325-0j -1.84896e-06-0j 
0.00209872-0j 0.00232286-0j 0.00545346-0j 0.00122425-0j -0.0055998-0j -0.00210807-0j -0.00375089-0j 0.00124976-0j -0.00393418-0j -0.000760844-0j 0.000201721-0j -0.0266448-0j -0.0290779-0j 0.0221623-0j -0.0227571-0j 0.0620556-0j -0.0755581-0j -0.0169621-0j 0.0447941-0j 0.0435976-0j 0.0206528-0j 0.0519688-0j -0.00865775-0j 0.0314704-0j 0.00471433-0j -0.00105636-0j 0.000183186-0j 0.118297-0j 0.000197863-0j 0.127775-0j -0.000148696-0j -0.0960244-0j 0.000152687-0j 0.0986012-0j 0.000135166-0j -0.000651143-0j 0.087287-0j -0.420492-0j -0.000164577-0j -0.10628-0j 9.75682e-05-0j -0.000460823-0j 0.0630071-0j 0.000837532-0j -0.297588-0j -8.67396e-05-0j 0.540857-0j 0.000396752-0j -0.0560142-0j 8.90672e-05-0j 0.256212-0j -0.00016632-0j -0.000323754-0j 0.0575174-0j -0.107405-0j -0.000189148-0j -0.209072-0j -8.85466e-05-0j -0.000272886-0j -0.122147-0j -0.0571812-0j 2.87523e-05-0j -0.176223-0j -0.000116849-0j 0.0185675-0j -0.0754582-0j -1.42921e-05-0j -0.0092295-0j 2.77344e-06-0j 0.00179102-0j 
0.014691-0j -0.0157971-0j -0.0387965-0j 0.00856977-0j 0.0391827-0j -0.0145702-0j 0.00530227-0j 0.00801181-0j -0.00927522-0j 0.0258441-0j 0.0258727-0j 0.00195087-0j -0.00206841-0j 0.00164913-0j -0.00166555-0j -0.00454358-0j 0.00546234-0j -0.00120657-0j -0.00300362-0j 0.00107554-0j -0.00153619-0j -0.00074653-0j 0.00302668-0j 0.000711007-0j 0.00371043-0j 0.00216658-0j -0.123375-0j 0.000185084-0j 0.129467-0j -0.000194223-0j -0.101779-0j 0.000152687-0j 0.102792-0j -0.000154206-0j -0.0910342-0j 0.438544-0j 0.000136567-0j -0.000657891-0j 0.109442-0j -0.000164182-0j -0.0601799-0j -0.301528-0j 9.02802e-05-0j 0.190058-0j 0.000452344-0j -0.0593713-0j -0.000285119-0j -0.271458-0j 8.90672e-05-0j 0.0599622-0j 0.000407233-0j 0.534841-0j 0.0713768-0j -8.99537e-05-0j -0.000802354-0j -0.0183671-0j -0.000107077-0j -0.0555057-0j 0.0370997-0j 2.75538e-05-0j 8.32682e-05-0j -0.20482-0j -5.5656e-05-0j -0.126606-0j 0.000307266-0j 0.000189931-0j -0.179246-0j 0.0002689-0j -0.0740529-0j 0.000111092-0j 
0.00139915-0j 0.00154857-0j 0.00122425-0j 0.00567859-0j 0.00123694-0j -0.00712632-0j 0.000504978-0j -0.00415702-0j 0.000883712-0j 0.000515499-0j 0.000134481-0j -0.0177632-0j -0.0193853-0j -0.0150158-0j -0.0151714-0j 0.0683919-0j -0.0169621-0j -0.0786773-0j -0.00989457-0j 0.0488615-0j 0.0698167-0j -0.00699652-0j 0.0287979-0j -0.00706902-0j -0.00319412-0j -0.000704238-0j 0.000122124-0j 0.0788645-0j 0.000131909-0j 0.0851834-0j 0.000100747-0j 0.0650599-0j 0.000101791-0j 0.0657341-0j -0.000449598-0j 6.16947e-05-0j -0.290339-0j 0.0398409-0j 0.000111507-0j 0.0720081-0j 6.50455e-05-0j -0.000507875-0j 0.0420047-0j 6.2334e-05-0j -0.327973-0j 0.000408893-0j 0.0402538-0j 8.90672e-05-0j 0.264053-0j 0.00041313-0j 0.0575174-0j 3.67383e-05-0j -0.000362844-0j 0.266789-0j 0.0237247-0j 1.81808e-05-0j -0.234315-0j -0.000299331-0j 3.67383e-05-0j 0.0117407-0j -0.1933-0j -9.56376e-05-0j 0.0237247-0j 2.62471e-05-0j -0.0617604-0j 0.0169497-0j 9.68342e-06-0j 0.00625331-0j 1.84896e-06-0j 0.00119401-0j 
