-0.00599897-0j -0.000865877-0j -0.00494579-0j -0.0008743-0j -7.28583e-05-0j -0.00302676-0j -0.00305813-0j -0.00050446-0j -0.000308918-0j -0.000509688-0j -0.000312119-0j -6.30575e-05-0j -6.3711e-05-0j -3.7157e-06-0j -3.75421e-06-0j -0.00220905-0j -0.00273356-0j -0.00159457-0j -0.000356483-0j -0.000291067-0j -0.000441126-0j -4.2012e-05-0j -0.000257323-0j -0.000360178-0j -3.63834e-05-0j -5.19871e-05-0j -0.000210104-0j -4.28783e-06-0j -4.50222e-05-0j -1.95712e-07-0j -3.03258e-05-0j -5.30592e-06-0j -2.62629e-05-0j -3.09512e-06-0j -2.42181e-07-0j -1.41272e-07-0j 
-0.0103955-0j -0.00149951-0j 1.78332e-06-0j 0.00141028-0j -3.7591e-06-0j -0.0105585-0j 0.0102456-0j -0.000432213-0j -0.00107626-0j 0.000419405-0j 0.00104437-0j 0.0103874-0j -0.0100796-0j -1.29373e-05-0j 1.25539e-05-0j 4.02438e-05-0j 9.85648e-07-0j -5.63741e-05-0j 0.0584844-0j -0.000504386-0j 0.0014324-0j -7.27556e-05-0j -0.0819259-0j -1.23534e-05-0j 0.00596151-0j -1.78192e-06-0j 0.000706551-0j 0.00106321-0j 0.000146009-0j -8.52673e-07-0j 0.000101917-0j 2.604e-05-0j -0.00835097-0j -0.00148935-0j -2.08836e-08-0j 1.19444e-06-0j 
7.28583e-05-0j -0.000999673-0j -0.000341855-0j -9.88416e-06-0j -2.50607e-06-0j 3.67605e-05-0j -3.56712e-05-0j 0.0828533-0j 3.75185e-06-0j -0.0803981-0j -3.64067e-06-0j -7.28013e-05-0j 7.0644e-05-0j -8.62484e-06-0j 8.36927e-06-0j 2.68292e-05-0j 6.57099e-07-0j -3.75827e-05-0j -0.000203619-0j -0.00101648-0j -4.98703e-06-0j 0.0139469-0j 0.000285233-0j -2.48956e-05-0j -2.07818e-05-0j 0.000341587-0j 0.0014239-0j -7.45162e-06-0j -5.08986e-07-0j -5.68449e-07-0j -0.0195371-0j -1.82505e-07-0j 2.91114e-05-0j 1.04383e-05-0j -1.39224e-08-0j 7.96292e-07-0j 
-9.10729e-06-0j -0.0178173-0j -1.4861e-07-0j 3.7591e-06-0j 0.00136545-0j 0.000879876-0j -0.000853804-0j 0.000109585-0j -4.68981e-07-0j -0.000106338-0j 4.55084e-07-0j -0.00129755-0j 0.0012591-0j 0.0145353-0j -0.0141046-0j -3.35365e-06-0j -8.21373e-08-0j 4.69784e-06-0j -0.0148284-0j -4.41882e-07-0j -0.000363175-0j -0.000864489-0j 0.0207718-0j -1.08225e-08-0j 7.90364e-06-0j -2.1173e-05-0j 6.18995e-07-0j 0.00406007-0j 1.93575e-07-0j 0.00193434-0j 0.00121099-0j 9.9439e-05-0j -1.10715e-05-0j -0.00568741-0j 4.73758e-05-0j -0.00270966-0j 
-0.0120668-0j 9.10729e-06-0j -0.000147513-0j -3.48077e-05-0j 1.51675e-08-0j 3.18355e-05-0j -3.08921e-05-0j -0.000760188-0j 0.0587939-0j 0.000737662-0j -0.0570517-0j -0.000126839-0j 0.00012308-0j 3.90818e-08-0j -3.79237e-08-0j 2.32348e-05-0j 5.69064e-07-0j -3.25476e-05-0j 3.74949e-06-0j 0.0838821-0j 9.18323e-08-0j -6.33092e-05-0j -5.25235e-06-0j 0.00205443-0j 0.00692457-0j -1.55056e-06-0j -0.117503-0j -8.62487e-06-0j 0.000169596-0j 2.0585e-09-0j 8.86845e-05-0j -2.1124e-07-0j -0.00970005-0j 1.20819e-05-0j 5.04166e-11-0j -2.88357e-09-0j 
0.00122512-0j -0.00822183-0j 3.01109e-05-0j -0.000335941-0j -4.19644e-05-0j -6.49839e-06-0j 6.30583e-06-0j -0.0147508-0j 0.000126839-0j 0.0143137-0j -0.00012308-0j 0.0569541-0j -0.0552664-0j -0.000217783-0j 0.000211329-0j -4.74277e-06-0j -1.1616e-07-0j 6.64375e-06-0j 7.27556e-05-0j -0.00851641-0j 1.78192e-06-0j 0.0571539-0j -0.000101917-0j -0.000208583-0j -0.00142008-0j 0.00139981-0j 0.0119299-0j 0.011869-0j -3.47805e-05-0j -1.91852e-05-0j -0.0800621-0j 0.000290695-0j 0.00198927-0j -0.0166263-0j -4.69884e-07-0j 2.6875e-05-0j 
0.00185056-0j 8.83595e-05-0j -1.05083e-07-0j -0.000251052-0j 2.21507e-07-0j -3.2492e-06-0j 3.15292e-06-0j 2.54684e-05-0j -0.0181925-0j -2.47137e-05-0j 0.0176534-0j -0.00184911-0j 0.00179432-0j 7.62336e-07-0j -7.39746e-07-0j -2.37139e-06-0j -5.80799e-08-0j 3.32188e-06-0j 1.79976e-05-0j 8.97885e-05-0j 4.40795e-07-0j 4.28716e-06-0j -2.52112e-05-0j 2.19909e-06-0j 0.100769-0j 1.05001e-07-0j -0.000125777-0j -0.000189267-0j 0.00246804-0j 5.02442e-08-0j -6.00552e-06-0j -4.63552e-06-0j -0.141159-0j 0.000265128-0j 1.23058e-09-0j -7.03829e-08-0j 
7.58941e-07-0j 0.00299049-0j -1.7743e-06-0j -4.18408e-07-0j -0.000470091-0j 3.82922e-07-0j -3.71575e-07-0j 0.00174754-0j 3.90818e-08-0j -0.00169575-0j -3.79237e-08-0j 0.000217783-0j -0.000211329-0j 0.0551174-0j -0.0534842-0j 2.79471e-07-0j 6.84478e-09-0j -3.91487e-07-0j -8.61943e-06-0j -5.27576e-06-0j -2.11106e-07-0j -0.0207883-0j 1.20742e-05-0j -1.29214e-07-0j -8.79716e-07-0j -0.000509147-0j 7.39037e-06-0j -0.00139778-0j -2.1546e-08-0j 0.0151604-0j 0.0291206-0j -3.42344e-05-0j 1.23232e-06-0j 0.00195804-0j 0.000371307-0j -0.0212369-0j 
-0.000177761-0j 0.00181847-0j 1.51675e-08-0j 7.3372e-05-0j -0.000139361-0j 4.68981e-07-0j -4.55084e-07-0j -1.11845e-05-0j 0.000866116-0j 1.0853e-05-0j -0.000840451-0j -0.0253262-0j 0.0245757-0j -0.0014835-0j 0.00143955-0j 3.4228e-07-0j 8.38311e-09-0j -4.79472e-07-0j -7.90364e-06-0j -8.62487e-06-0j -1.93575e-07-0j 8.82316e-05-0j 1.10715e-05-0j -2.1124e-07-0j -0.0145965-0j 2.16096e-06-0j 1.20819e-05-0j 0.0792465-0j -0.000357496-0j -0.000197423-0j -0.000123596-0j 0.0019409-0j 0.020447-0j -0.11101-0j -4.83527e-06-0j 0.000276553-0j 
5.7072e-06-0j -0.000395413-0j -9.79055e-10-0j -3.93712e-06-0j 9.38977e-05-0j -3.02726e-08-0j 2.93756e-08-0j 1.20662e-06-0j 5.90876e-07-0j -1.17086e-06-0j -5.73367e-07-0j 0.00273909-0j -0.00265793-0j -0.0227549-0j 0.0220806-0j -2.20941e-08-0j -5.41127e-10-0j 3.09498e-08-0j 8.52673e-07-0j 2.76911e-07-0j 2.08836e-08-0j -1.91852e-05-0j -1.19444e-06-0j 6.78209e-09-0j -1.66429e-05-0j -4.69884e-07-0j -3.87901e-07-0j -0.0265575-0j -4.07617e-07-0j 0.0539189-0j 2.6875e-05-0j -0.000650446-0j 2.33136e-05-0j 0.0372022-0j 0.00132058-0j -0.0755304-0j 
1.88981e-09-0j 2.62455e-05-0j 3.08373e-11-0j -1.82734e-09-0j -1.04386e-05-0j 9.53497e-10-0j -9.25243e-10-0j -5.32705e-08-0j 9.73159e-11-0j 5.1692e-08-0j -9.44322e-11-0j 1.91133e-06-0j -1.85469e-06-0j 0.00512434-0j -0.00497249-0j 6.95899e-10-0j 1.70439e-11-0j -9.74826e-10-0j -3.76443e-08-0j 9.16927e-11-0j -9.21981e-10-0j 1.27342e-06-0j 5.27327e-08-0j 2.24573e-12-0j -3.84205e-09-0j 3.11885e-08-0j -1.28445e-10-0j -3.10384e-05-0j -9.40993e-11-0j -0.0383489-0j -1.78383e-06-0j -7.60191e-07-0j 5.38201e-09-0j 4.34791e-05-0j -0.000939239-0j 0.0537197-0j 
